"","Table 6#19C# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"44","37","    Transportation","A3237C0",1508,2856,-1095,-1809,-1230,-553,3264,6306,7410,11319,13577,15741,11341,11035
"45","38","      Railroad transportation","B3238C0",384,570,-1034,-5,264,321,450,1811,2080,1925,633,259,-95,2017
"46","39","      Local and interurban passenger transit","B3239C0",-6,18,150,-57,267,260,168,249,369,524,429,640,386,617
"47","40","      Trucking and warehousing","B3240C0",1216,1427,1197,1723,2454,3326,3761,3722,2302,3026,4085,6485,5817,5858
"48","41","      Water transportation","B3241C0",-102,240,274,311,353,86,226,144,162,420,441,594,173,578
"49","42","      Transportation by air","B3242C0",-530,39,-2279,-4376,-5503,-5419,-2426,-542,1269,3717,6398,5912,4018,1617
"50","43","      Pipelines, except natural gas","B3243C0",525,513,481,477,439,408,425,402,485,476,432,587,118,-311
"51","44","      Transportation services","B3244C0",21,49,116,118,496,465,660,520,743,1231,1159,1264,924,659
"52","45","    Communications","A3245C0",12072,12061,10131,11842,15375,18807,22379,24454,21102,21420,13572,6949,-11243,-14002
"53","46","      Telephone and telegraph","B3246C0",12740,13380,12161,13324,15465,17712,20067,21881,19712,21797,14294,8784,486,-12492
"54","47","      Radio and television","B3247C0",-668,-1319,-2030,-1482,-90,1095,2312,2573,1390,-377,-722,-1835,-11729,-1510
"55","48","    Electric, gas, and sanitary services","B3248C0",10412,12983,15197,15617,17482,18675,19240,23905,26681,27501,26056,21475,20635,16329
"56","49","  Wholesale trade","B3249C0",14623,19267,18326,15026,16251,18885,20874,25650,23860,28142,33350,33888,39934,45553
"57","50","  Retail trade","B3250C0",15963,15492,15689,15489,19660,25349,29829,35347,33822,39699,45464,53496,55829,51776
"58","51","  Finance, insurance, and real estate","A3251C0",21215,28789,28871,41607,66701,70446,70735,57278,85026,95415,112266,80452,113893,115601
"59","52","    Depository institutions","B3291C0",25832,27736,31224,41003,57138,63261,53130,44427,54222,57320,63190,52255,71255,91582
"60","53","      Federal Reserve banks","B3253C0",-2026,252,-1475,-2206,-505,1055,237,-2414,-894,2053,3188,-1376,887,5455
"61","54","      Commercial and mutual depository institutions","B3292C0",27858,27484,32699,43209,57643,62206,52893,46841,55116,55267,60002,53631,70368,86127
"62","55","    Nondepository institutions","B3293C0",2029,3433,5222,6281,8352,11237,11788,11420,14268,15659,14908,15669,20812,20392
"63","56","    Security and commodity brokers","B3256C0",158,-2257,-3296,-286,-3009,-101,1960,1873,-1302,2788,6447,4816,169,-16807
"64","57","    Insurance carriers","B3257C0",-5415,3764,4544,936,7200,-3384,1238,8787,6933,9654,3275,-8095,-11147,-16204
"65","58","    Insurance agents, brokers, and service","B3258C0",2284,1857,2135,2392,2448,2584,2723,3205,3386,3695,3814,4817,4741,6795
"66","59","    Real estate","B3259C0",-2379,-2209,-4214,-5857,-7462,-5058,-3097,-1746,471,1369,3428,4220,4849,6737
"67","60","    Holding and other investment offices","B3260C0",-1294,-3535,-6744,-2862,2034,1907,2993,-10688,7048,4930,17204,6770,23214,23106
"68","61","  Services","A3261C0",8617,9766,9126,14074,18130,25264,29005,32373,37147,41432,43579,32854,33600,-1463
"69","62","    Hotels and other lodging places","B3262C0",-877,-851,-1294,-1662,-1258,-563,331,708,1455,1803,1578,839,2155,2727
"70","63","    Personal services","B3263C0",601,754,1258,1243,1126,1294,1452,1827,2083,1993,2254,2821,2821,3685
"71","64","    Business services","B3264C0",2280,3665,3865,5073,5480,8715,9181,10493,11710,13362,15554,4610,-4872,-41300
"72","65","    Auto repair, services, and parking","B3265C0",-256,-456,-705,-469,-436,-240,440,178,57,133,970,1623,1286,1075
"73","66","    Miscellaneous repair services","B3266C0",421,608,654,678,636,664,771,802,874,1061,988,1060,1185,1212
"74","67","    Motion pictures","B3267C0",-880,-392,-1763,-1116,-1460,-174,-179,-827,-596,-431,-1608,-2457,45,-668
"75","68","    Amusement and recreation services","B3268C0",-781,-205,109,-27,266,1104,951,928,739,1616,1865,102,264,-105
"76","69","    Other services","A3269C0",8109,6643,7002,10354,13776,14464,16058,18264,20825,21895,21978,24256,30716,31911
"77","70","      Health services","B3270C0",4876,3941,3721,6154,9442,9265,10371,11298,11923,12173,11321,11214,16079,20652
"78","71","      Legal services","B3271C0",1435,1014,1123,1311,1279,1915,1785,2033,2710,2835,3413,3736,4306,5592
"79","72","      Educational services","B3272C0",302,333,322,456,676,574,467,666,762,634,595,1258,1035,968
"80","73","      Other \1\","B3273C0",1496,1355,1836,2433,2379,2710,3435,4267,5430,6253,6649,8048,9296,4699
"81","74","Rest of the world \2\","A3274C0",48012,56984,67129,76088,76469,73090,76931,77075,92810,101880,110917,102950,121513,145703
"82","75","  Receipts from the rest of the world","B3275C0",58923,71580,75510,80919,75489,78328,88948,103635,127227,139268,158856,146976,176804,202480
"83","76","  Less: Payments to the rest of the world","B3276C0",10911,14596,8381,4831,-980,5238,12017,26560,34417,37388,47939,44026,55291,56777
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services; membership organizations; engineering and management services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","except for commercial research and testing services and for management and public relations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","2. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","their incorporated foreign affiliates, and earnings of unincorporated foreign affiliates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","(line 75), net of corresponding payments (line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
