"","Table 7#2#5A# Auto Output                                       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"11","3","  Personal consumption expenditures","A135RC1",4.4,4.8,4.5,5.4,6,5.6,6.3,7,7.3,9.3,9.6,9.6,10.4,10.9,13.2,12.3,12.1,10.3,9.3,8.8,9.2,9.5,7.6,11.1,12.5,12.3,12,11.2,10.7,11.3,10.6,11.7,14.2,16,16.8,15.5,13.7,13,12.9,14.3,15.6,15.3,14.5,14.7,12.6,12.2,12.2,12.9,15.3,16.4,17.1,14.8,16.4,16.9,17.1,15.9,13.6,14.2,14.8,16.3,17,17.9,17.7,19.1,19.8,20.5,20.6,21,21.6,21.8,22.9,20.5,25.5,24.7,25.3,25.3,26.8,23.9,24.6,24.5
"12","4","    New autos","A136RC1",3.7,4.1,3.8,4.5,4.9,4.5,5,5.6,6.1,7.9,8.4,8.5,9.3,9.7,11.6,10.7,10.4,8.7,8,7.3,7.6,8.1,6.1,10.1,11.2,11.2,11.4,10.6,9.9,11.5,10.5,11.5,12.7,14.2,15.1,13.3,11.9,11.4,10.8,12.1,13.3,12.7,12.2,12.1,9.8,9.3,9.4,10.3,12.9,13.6,14.5,11.7,14.2,14.1,14.6,13.2,10.8,11.7,12.2,13.7,14.2,15,14.4,16.4,16.7,17.4,16.9,17.9,18.1,18.5,19.6,16.9,22.1,20.9,21.1,21.3,22.7,19.9,20.9,20.6
"13","5","    Net purchases of used autos","A137RC1",0.7,0.7,0.7,0.9,1.1,1.1,1.3,1.4,1.3,1.5,1.2,1.1,1.1,1.2,1.6,1.6,1.7,1.6,1.3,1.5,1.6,1.4,1.6,0.9,1.3,1.1,0.6,0.6,0.8,-0.1,0.1,0.2,1.6,1.8,1.6,2.2,1.8,1.7,2.1,2.2,2.3,2.6,2.3,2.6,2.8,2.9,2.8,2.6,2.4,2.8,2.6,3.1,2.2,2.8,2.5,2.7,2.8,2.5,2.7,2.6,2.8,2.9,3.2,2.7,3.1,3.1,3.6,3.2,3.5,3.3,3.3,3.6,3.4,3.8,4.2,4,4.1,4,3.7,3.9
"14","6","  Private fixed investment","A138RC1",1.7,1.9,1.7,2,2.1,1.8,2,2.1,2.1,2.6,2.6,2.7,2.9,3,3.6,3.3,3.2,2.6,2.3,2.1,2.2,2.3,1.7,2.8,3,3.2,3.4,3.2,3.1,3,3.4,3.6,3.9,4.1,4.3,3.7,3.3,3.1,3,3.3,3.6,3.6,3.5,3.6,2.6,2.4,2.4,2.8,3.4,3.7,4.1,3.4,4.2,3.8,3.9,3.4,3.3,3.5,3.6,3.8,4.1,4.1,4.3,4.4,4.2,3.9,3.8,4.1,4.1,4.2,4.6,3.8,5.5,5.1,4.9,4.9,5.1,4.6,4.5,4.8
"15","7","    New autos","B139RC1",1.7,1.9,1.8,2.1,2.3,2,2.2,2.4,2.5,3.1,3.2,3.2,3.4,3.5,4.3,4,4,3.4,3.1,2.9,3,3.2,2.3,3.8,4,4.1,4.3,4.1,3.9,3.8,4.2,4.6,4.7,4.9,5.1,4.5,4,3.9,3.8,4.2,4.6,4.5,4.4,4.5,3.6,3.4,3.4,3.8,4.5,4.8,5.2,4.2,5.1,4.8,4.8,4.3,4.2,4.6,4.7,5,5.2,5.4,5.6,5.7,5.6,5.2,5.1,5.6,5.5,5.6,6,5,7,6.6,6.3,6.5,6.9,6.3,6.2,6.9
"16","8","    Net purchases of used autos","B140RC1",-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.7,-0.7,-0.8,-0.8,-0.8,-0.8,-0.9,-0.9,-0.7,-1,-1,-0.9,-0.9,-0.9,-0.8,-0.8,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.9,-1,-0.9,-0.9,-0.9,-1,-1,-1.1,-1,-1.1,-1.1,-1,-0.8,-1,-1,-0.9,-0.9,-0.9,-1.1,-1.1,-1.1,-1.1,-1.2,-1.2,-1.3,-1.3,-1.4,-1.3,-1.4,-1.4,-1.4,-1.4,-1.2,-1.6,-1.5,-1.4,-1.6,-1.7,-1.7,-1.7,-2
"17","9","  Net exports","A141RC1",0.3,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.1,0,0,-0.1,-0.1,-0.1,-0.3,-0.4,-0.4,-0.5,-0.6,-0.6,-0.5,-0.4,-0.2,-0.1,0,-0.1,-0.1,-0.1,-0.2,-0.1,-0.2,-0.2,-0.2,-0.1,-0.2,-0.1,-0.2,-0.2,-0.2,-0.3,-0.1,-0.3,-0.3,-0.4,-0.7,-0.6,-0.6,-0.8
"18","10","    Exports","B142RC1",0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.5,0.5,0.4,0.6,0.8
"19","11","    Imports","B143RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.6,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.7,0.6,0.9,1.1,1,1.2,1.6
"20","12","  Gross government investment","B144RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"21","13","Change in private inventories of new and used autos","A145RC1",0.1,0.1,0.1,0.2,0,-0.1,0.3,0.6,0.3,0.3,1,-1.2,-0.2,0.9,0,0.1,-0.3,0.3,-0.3,0.8,-0.4,-0.5,0.1,1,-0.1,0.4,1,0.7,0.2,-0.1,-0.3,-0.2,1.3,1,0.8,1.3,0.1,0.7,-1.6,0.2,0.6,0.7,2.4,-1.5,-0.5,-1.6,-0.5,0.3,1.5,1,0.4,-2.2,3.5,0.5,0.6,-0.5,-3.2,-0.6,-0.1,0.5,-0.1,-1,1.3,0.1,0,-0.2,0.8,0.9,0.5,0.6,-0.7,-0.9,1.4,1.4,0.2,0.7,1,1.7,-0.6,1.2
"22","14","  New","B146RC1",0.1,0,0.1,0.2,0,-0.1,0.3,0.6,0.2,0.3,1,-1.2,-0.2,0.8,-0.1,0,-0.4,0.2,-0.5,0.6,-0.6,-0.7,0.1,0.9,0,0.4,0.9,0.4,-0.1,-0.2,-0.5,-0.3,1.3,0.8,0.5,0.9,-0.2,0.4,-1.7,0.2,0.6,0.7,2.6,-1.3,-0.3,-1.4,-0.2,0.8,0.9,0.9,0.2,-1.7,2.9,0.5,0.5,-0.2,-2.5,-0.3,0.2,0.4,0,-0.9,1.7,-0.4,0,-0.3,1.3,0.7,0.6,0.4,-0.9,-0.4,1,1.5,0.5,0.6,1,1.8,-0.5,0.6
"23","15","  Used","B147RC1",0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0,0.1,-0.1,0,0.1,0.3,0.3,0.1,0.2,0.1,0,0.2,0.3,0.4,0.4,0.2,0.1,0,0,0,-0.1,-0.2,-0.2,-0.2,-0.3,-0.5,0.6,0,0.2,-0.6,0.6,0,0.1,-0.3,-0.6,-0.3,-0.2,0.2,-0.1,-0.1,-0.4,0.5,0,0.1,-0.5,0.2,0,0.2,0.3,-0.5,0.5,0,-0.4,0.1,0,-0.2,0,0.5
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Domestic output of new autos \1\","B148RC1",5.9,6.4,6,7.2,7.5,6.7,7.8,8.8,9.1,11.4,12.8,10.7,12.6,14.2,16,15,14.3,12.6,11,11.2,10.3,10.8,8.7,15,15.5,16,16.9,15.4,14,15.4,14.6,16,19.1,20.3,21.1,18.9,16.1,15.9,13.1,16.7,18.7,17.9,19.1,15.1,12.8,11,12.2,14.2,17.4,18.3,18.7,13.1,21.2,18.7,19.4,17.2,12.4,15.7,16.8,18.8,19.1,19.3,21.4,21.4,21.9,22.1,23,24,23.9,24.1,24.2,21,29.8,28.3,27.4,27.6,29.3,26.9,25.4,26.7
"26","17","  Sales of imported new autos \2\","B149RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.7,0.8,1,1.2,1.3,1.3,1.3,1.2,1.1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.6,1.8,1.6,1.9,2.2
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2. Consists of personal consumption expenditures, private fixed investment, and gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
