"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"19","1","      National income without capital consumption adjustment","A422RC1","249,394.0","243,971.0","270,764.0","312,338.0","330,415.0","347,407.0","346,452.0","378,259.0","402,203.0","421,070.0","423,905.0","461,173.0","480,158.0","496,748.0","531,547.0","561,575.0","602,571.0","654,170.0","713,464.0","754,192.0","826,497.0","894,021.0"
"20","2","Domestic industries","A423RC1","248,176.0","242,928.0","269,578.0","310,739.0","328,791.0","345,892.0","344,788.0","376,210.0","399,789.0","418,458.0","421,718.0","458,410.0","477,049.0","493,227.0","527,451.0","557,097.0","597,648.0","648,887.0","708,390.0","748,791.0","820,404.0","887,912.0"
"21","3","  Private industries","A736RC1","225,396.0","217,735.0","242,841.0","276,045.0","288,817.0","304,659.0","302,624.0","332,052.0","353,344.0","368,848.0","368,537.0","402,795.0","417,748.0","429,953.0","459,906.0","484,601.0","519,428.0","564,684.0","614,034.0","644,864.0","703,757.0","760,304.0"
"22","4","    Agriculture, forestry, and fishing","J424RC1","21,695.0","16,978.0","17,971.0","20,802.0","19,884.0","17,687.0","17,187.0","16,186.0","15,997.0","15,838.0","17,968.0","16,189.0","17,134.0","17,366.0","17,629.0","17,591.0","16,525.0","19,067.0","19,884.0","19,066.0","19,632.0","21,478.0"
"23","5","    Mining","J734RC1","5,816.0","5,000.0","5,836.0","6,391.0","6,232.0","6,265.0","6,110.0","6,809.0","7,589.0","7,603.0","6,854.0","6,631.0","6,877.0","6,959.0","6,866.0","7,269.0","7,511.0","7,559.0","7,842.0","8,108.0","8,931.0","9,217.0"
"24","6","    Construction","J735RC1","11,092.0","10,996.0","12,539.0","14,876.0","16,086.0","16,608.0","16,703.0","17,887.0","19,940.0","20,813.0","20,367.0","22,126.0","22,643.0","23,646.0","25,395.0","27,137.0","29,739.0","32,613.0","35,586.0","37,224.0","40,701.0","45,589.0"
"25","7","    Manufacturing","J426RC1","75,238.0","71,313.0","83,700.0","98,169.0","101,789.0","110,540.0","104,336.0","118,572.0","124,876.0","128,478.0","120,029.0","135,784.0","137,192.0","137,034.0","149,155.0","157,550.0","168,973.0","186,762.0","205,618.0","210,028.0","228,941.0","240,960.0"
"26","8","      Durable goods","J428RC1","37,531.0","35,894.0","44,980.0","54,188.0","57,111.0","63,649.0","58,144.0","67,774.0","71,123.0","74,373.0","66,153.0","77,558.0","78,079.0","76,823.0","86,160.0","91,967.0","99,111.0","111,435.0","123,515.0","125,501.0","136,916.0","144,193.0"
"27","9","      Nondurable goods","J427RC1","37,709.0","35,421.0","38,721.0","43,982.0","44,676.0","46,888.0","46,192.0","50,796.0","53,749.0","54,104.0","53,875.0","58,223.0","59,115.0","60,213.0","62,995.0","65,586.0","69,863.0","75,325.0","82,104.0","84,524.0","92,023.0","96,766.0"
"28","10","    Transportation and public utilities","J737RC1","21,313.0","21,431.0","24,001.0","27,122.0","28,923.0","30,648.0","30,062.0","32,478.0","34,940.0","36,631.0","36,559.0","39,454.0","41,476.0","42,737.0","44,964.0","47,299.0","50,272.0","53,710.0","58,032.0","60,312.0","64,953.0","70,300.0"
"29","11","      Transportation","J429RC1","13,810.0","13,091.0","14,756.0","16,477.0","17,151.0","17,653.0","16,408.0","17,829.0","19,000.0","19,570.0","18,511.0","19,434.0","19,805.0","19,964.0","20,891.0","21,769.0","23,058.0","24,925.0","26,901.0","27,371.0","29,412.0","31,349.0"
"30","12","      Communications","J430RC1","3,806.0","4,108.0","4,618.0","5,339.0","5,960.0","6,676.0","6,769.0","7,395.0","8,131.0","8,735.0","9,152.0","10,140.0","10,823.0","11,354.0","12,096.0","12,896.0","13,735.0","14,828.0","16,255.0","17,370.0","18,645.0","20,892.0"
"31","13","      Electric, gas, and sanitary services","J431RC1","3,690.0","4,232.0","4,627.0","5,306.0","5,813.0","6,319.0","6,886.0","7,257.0","7,807.0","8,326.0","8,898.0","9,880.0","10,848.0","11,418.0","11,977.0","12,635.0","13,480.0","13,956.0","14,873.0","15,570.0","16,895.0","18,058.0"
"32","14","    Wholesale trade","J433RC1","17,075.0","16,580.0","18,217.0","20,780.0","21,310.0","21,888.0","22,158.0","24,770.0","27,019.0","28,401.0","29,177.0","33,664.0","35,415.0","36,541.0","38,900.0","40,679.0","43,556.0","46,815.0","50,843.0","53,806.0","59,141.0","64,248.0"
"33","15","    Retail trade","J434RC1","28,928.0","28,855.0","30,038.0","32,583.0","34,343.0","35,211.0","36,029.0","38,401.0","40,059.0","42,055.0","42,763.0","46,585.0","47,702.0","48,971.0","52,421.0","54,877.0","60,233.0","64,547.0","69,094.0","74,499.0","82,636.0","89,726.0"
"34","16","    Finance, insurance, and real estate","J435RC1","22,872.0","24,700.0","27,225.0","30,129.0","33,300.0","36,749.0","39,990.0","43,239.0","46,259.0","49,418.0","52,964.0","56,438.0","60,561.0","64,259.0","68,334.0","72,074.0","77,142.0","82,580.0","88,417.0","95,190.0","103,513.0","113,206.0"
"35","17","    Services","J437RC1","21,367.0","21,882.0","23,314.0","25,193.0","26,950.0","29,063.0","30,049.0","33,710.0","36,665.0","39,611.0","41,856.0","45,924.0","48,748.0","52,440.0","56,242.0","60,125.0","65,477.0","71,031.0","78,718.0","86,631.0","95,309.0","105,580.0"
"36","18","  Government","B436RC1","22,780.0","25,193.0","26,737.0","34,694.0","39,974.0","41,233.0","42,164.0","44,158.0","46,445.0","49,610.0","53,181.0","55,615.0","59,301.0","63,274.0","67,545.0","72,496.0","78,220.0","84,203.0","94,356.0","103,927.0","116,647.0","127,608.0"
"37","19","Rest of the world","A192RC1","1,456.0","1,280.0","1,440.0","1,892.0","1,985.0","1,899.0","2,095.0","2,449.0","2,796.0","3,055.0","2,628.0","2,761.0","3,113.0","3,519.0","4,093.0","4,477.0","4,920.0","5,279.0","5,070.0","5,393.0","6,085.0","6,115.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
