"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191"
"28","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,679,326.0","1,731,842.0","1,777,620.0","1,786,020.0","1,850,630.0","1,862,992.0","1,874,761.0","1,877,534.0","1,908,531.0","1,886,972.0","1,860,209.0","1,917,415.0","1,872,025.0","1,872,257.0","1,903,322.0","1,862,455.0","1,877,478.0","1,938,711.0","2,019,809.0","2,038,042.0","2,040,884.0","2,049,256.0","2,095,092.0","2,123,767.0","2,153,853.0","2,215,136.0","2,262,387.0","2,232,549.0","2,309,620.0","2,323,584.0","2,347,797.0","2,391,899.0","2,418,838.0","2,468,651.0","2,503,029.0","2,569,326.0","2,534,769.0","2,554,902.0","2,509,206.0","2,362,508.0","2,323,627.0","2,322,522.0","2,353,650.0","2,331,561.0","2,378,416.0","2,407,666.0","2,427,093.0","2,487,874.0","2,505,478.0","2,538,725.0","2,589,100.0","2,638,293.0","2,673,976.0","2,697,312.0","2,712,596.0","2,753,243.0","2,791,151.0","2,788,642.0","2,774,261.0","2,829,337.0","2,831,675.0","2,866,414.0","2,950,363.0","2,929,754.0","2,894,659.0","2,939,579.0","2,967,597.0","2,968,068.0"
"29","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","57,993.0","13,118.0","29,497.0","67,268.0","19,293.0","64,646.0","36,079.0","38,853.0","-49,499.0","-27,827.0","-37,972.0","-84,228.0","8,858.0","19,006.0","17,090.0","34,926.0","31,974.0","3,327.0","-8,546.0","38,753.0","38,435.0","53,977.0","41,396.0","34,856.0","70,675.0","22,124.0","21,115.0","64,787.0","27,234.0","45,990.0","53,403.0","15,599.0","17,143.0","4,212.0","14,523.0","28,343.0","-18,737.0","-45,136.0","-7,923.0","-25,265.0","-140,568.0","-145,493.0","-134,180.0","-47,754.0","22,255.0","34,820.0","64,624.0","29,227.0","44,816.0","44,324.0","33,197.0","39,790.0","56,317.0","71,491.0","58,797.0","24,683.0","25,606.0","25,509.0","56,481.0","60,613.0","47,675.0","54,466.0","64,630.0","43,463.0","57,910.0","55,400.0","35,103.0","30,718.0"
"30","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,491,172.0","1,507,385.0","1,492,272.0","1,543,272.0","1,485,450.0","1,548,579.0","1,545,808.0","1,546,897.0","1,520,980.0","1,537,195.0","1,534,708.0","1,541,466.0","1,548,911.0","1,554,943.0","1,556,199.0","1,546,928.0","1,577,822.0","1,560,460.0","1,618,306.0","1,624,442.0","1,631,054.0","1,635,893.0","1,653,604.0","1,679,958.0","1,693,295.0","1,685,845.0","1,671,616.0","1,713,409.0","1,784,573.0","1,768,178.0","1,756,940.0","1,829,008.0","1,792,540.0","1,828,318.0","1,844,600.0","1,815,214.0","1,829,458.0","1,893,446.0","1,847,097.0","1,748,763.0","1,810,781.0","1,821,936.0","1,819,544.0","1,913,787.0","1,906,327.0","1,911,856.0","1,960,343.0","1,993,504.0","1,941,716.0","1,971,070.0","1,918,782.0","2,029,735.0","2,018,677.0","2,042,633.0","2,054,632.0","2,042,100.0","2,089,761.0","2,105,887.0","2,174,604.0","2,226,444.0","2,144,919.0","2,225,475.0","2,245,606.0","2,283,255.0","2,277,428.0","2,311,053.0","2,333,199.0","2,335,829.0"
"31","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,463,873.0","1,480,742.0","1,477,080.0","1,513,206.0","1,485,859.0","1,512,303.0","1,519,114.0","1,526,617.0","1,506,704.0","1,522,809.0","1,531,116.0","1,547,653.0","1,560,905.0","1,550,470.0","1,543,269.0","1,548,539.0","1,573,662.0","1,563,187.0","1,601,976.0","1,617,940.0","1,615,190.0","1,609,939.0","1,625,873.0","1,640,564.0","1,656,554.0","1,675,001.0","1,673,863.0","1,682,999.0","1,735,902.0","1,732,852.0","1,730,059.0","1,802,325.0","1,787,977.0","1,780,177.0","1,807,945.0","1,824,736.0","1,833,140.0","1,877,924.0","1,861,281.0","1,800,089.0","1,823,573.0","1,866,370.0","1,887,319.0","1,911,064.0","1,917,542.0","1,897,540.0","1,907,074.0","1,964,676.0","1,963,663.0","1,953,497.0","1,968,414.0","1,983,403.0","2,012,825.0","2,032,390.0","2,039,068.0","2,050,497.0","2,086,367.0","2,086,664.0","2,129,062.0","2,189,072.0","2,147,326.0","2,191,592.0","2,223,515.0","2,241,365.0","2,214,601.0","2,244,974.0","2,276,335.0","2,280,026.0"
"32","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","36,018.0","33,591.0","20,519.0","36,203.0","2,737.0","41,179.0","31,661.0","23,406.0","16,184.0","18,092.0","4,304.0","-6,599.0","-14,303.0","6,390.0","14,970.0","-2,112.0","2,738.0","-3,859.0","17,096.0","6,616.0","17,140.0","26,869.0","29,008.0","41,252.0","39,326.0","10,551.0","-3,345.0","29,687.0","51,682.0","38,202.0","27,908.0","26,045.0","2,096.0","45,261.0","35,501.0","-4,978.0","-1,583.0","16,433.0","-12,259.0","-41,213.0","-4,093.0","-44,558.0","-71,758.0","-1,872.0","-11,824.0","14,460.0","52,215.0","29,353.0","-16,849.0","15,191.0","-42,083.0","41,500.0","3,810.0","10,001.0","15,363.0","-6,811.0","1,574.0","15,242.0","39,292.0","29,480.0","-6,954.0","25,260.0","18,936.0","35,551.0","55,922.0","58,881.0","50,497.0","50,969.0"
"33","14","Services \2\","A341RX1","2,991,869.0","3,035,558.0","3,054,116.0","3,082,457.0","3,090,536.0","3,097,033.0","3,121,765.0","3,136,122.0","3,158,910.0","3,177,295.0","3,192,806.0","3,227,852.0","3,265,990.0","3,292,173.0","3,314,866.0","3,344,126.0","3,369,659.0","3,394,554.0","3,409,839.0","3,420,212.0","3,436,861.0","3,460,422.0","3,478,626.0","3,517,157.0","3,555,376.0","3,606,132.0","3,600,831.0","3,634,714.0","3,656,060.0","3,676,394.0","3,703,927.0","3,740,410.0","3,774,078.0","3,794,717.0","3,836,387.0","3,862,409.0","3,909,048.0","3,957,234.0","3,981,446.0","4,004,819.0","4,040,933.0","4,060,082.0","4,056,051.0","4,094,579.0","4,109,141.0","4,121,382.0","4,142,148.0","4,174,339.0","4,183,689.0","4,219,302.0","4,219,664.0","4,231,629.0","4,245,157.0","4,258,622.0","4,297,856.0","4,353,425.0","4,410,062.0","4,459,656.0","4,512,557.0","4,503,754.0","4,526,152.0","4,580,661.0","4,618,353.0","4,661,313.0","4,736,650.0","4,789,385.0","4,868,625.0","4,910,355.0","4,948,039.0","5,004,129.0","5,055,026.0","5,088,810.0","5,142,934.0","5,182,420.0","5,216,684.0","5,278,901.0","5,338,950.0","5,381,666.0","5,443,451.0","5,509,352.0","5,538,307.0","5,586,235.0","5,620,992.0","5,675,931.0","5,715,480.0","5,773,664.0","5,804,466.0","5,819,817.0","5,835,908.0","5,895,386.0","5,916,245.0","5,938,577.0","6,020,293.0","6,062,274.0","6,126,810.0","6,173,510.0","6,180,078.0","6,199,301.0","6,258,652.0","6,287,001.0","6,323,291.0","6,365,857.0","6,418,462.0","6,441,101.0","6,469,343.0","6,532,920.0","6,582,531.0","6,591,826.0","6,632,925.0","6,695,158.0","6,704,054.0","6,768,608.0","6,794,111.0","6,857,901.0","6,914,974.0","6,975,859.0","7,016,325.0","7,119,221.0","7,171,967.0","7,231,121.0","7,279,692.0","7,338,499.0","7,425,159.0","7,516,385.0","7,568,239.0","7,669,371.0","7,699,300.0","7,764,135.0","7,819,168.0","7,845,401.0","7,868,981.0","7,899,795.0","7,966,655.0","8,030,411.0","8,068,394.0","8,109,387.0","8,120,718.0","8,199,827.0","8,227,825.0","8,293,399.0","8,362,762.0","8,403,885.0","8,469,066.0","8,534,779.0","8,576,795.0","8,625,440.0","8,702,588.0","8,728,258.0","8,781,108.0","8,835,292.0","8,873,217.0","8,953,556.0","8,988,596.0","9,028,549.0","9,091,642.0","9,136,690.0","9,152,819.0","9,182,645.0","9,190,454.0","9,201,185.0","9,179,774.0","9,212,809.0","9,231,744.0","9,256,983.0","9,256,742.0","9,306,100.0","9,346,241.0","9,381,667.0","9,379,365.0","9,404,508.0","9,428,876.0","9,413,519.0","9,441,611.0","9,441,730.0","9,449,976.0","9,456,048.0","9,447,142.0","9,453,805.0","9,459,214.0","9,509,277.0","9,549,976.0","9,589,268.0","9,646,589.0","9,710,486.0","9,760,740.0","9,808,921.0","9,853,425.0","9,898,578.0"
"34","15","Structures","A755RX1","817,748.0","814,423.0","817,029.0","778,887.0","773,225.0","750,094.0","776,091.0","798,322.0","811,928.0","844,350.0","857,178.0","872,741.0","902,327.0","902,569.0","903,735.0","929,477.0","955,735.0","934,360.0","922,149.0","901,990.0","874,733.0","864,058.0","827,479.0","774,054.0","755,525.0","737,166.0","763,984.0","789,985.0","837,553.0","826,703.0","811,627.0","849,121.0","867,071.0","927,364.0","923,559.0","915,816.0","916,004.0","996,962.0","1,030,231.0","1,043,918.0","1,008,694.0","1,017,357.0","1,035,527.0","1,031,843.0","1,008,948.0","911,529.0","913,861.0","954,365.0","955,525.0","941,362.0","914,420.0","918,511.0","879,189.0","853,486.0","828,785.0","844,512.0","872,644.0","891,343.0","943,887.0","968,432.0","1,009,168.0","1,042,843.0","1,056,793.0","1,063,876.0","1,085,166.0","1,099,161.0","1,101,931.0","1,113,269.0","1,131,218.0","1,120,142.0","1,116,283.0","1,112,213.0","1,111,170.0","1,117,734.0","1,130,616.0","1,141,473.0","1,110,587.0","1,132,930.0","1,123,103.0","1,128,194.0","1,124,006.0","1,104,731.0","1,117,479.0","1,109,862.0","1,133,709.0","1,107,141.0","1,079,711.0","1,040,888.0","1,006,112.0","1,010,919.0","1,004,383.0","1,013,800.0","1,043,840.0","1,050,740.0","1,042,555.0","1,064,673.0","1,059,083.0","1,068,471.0","1,089,957.0","1,127,724.0","1,113,999.0","1,150,723.0","1,148,879.0","1,146,593.0","1,144,193.0","1,138,044.0","1,155,461.0","1,161,714.0","1,182,633.0","1,224,912.0","1,235,627.0","1,261,204.0","1,273,938.0","1,272,806.0","1,289,376.0","1,285,611.0","1,292,281.0","1,348,411.0","1,381,341.0","1,393,980.0","1,399,668.0","1,402,593.0","1,409,273.0","1,429,538.0","1,449,033.0","1,454,117.0","1,461,359.0","1,465,231.0","1,459,173.0","1,494,817.0","1,478,101.0","1,447,910.0","1,455,106.0","1,446,718.0","1,432,758.0","1,445,413.0","1,454,201.0","1,474,216.0","1,527,528.0","1,546,688.0","1,547,445.0","1,580,231.0","1,583,400.0","1,586,300.0","1,611,390.0","1,626,597.0","1,633,041.0","1,636,056.0","1,639,169.0","1,610,878.0","1,564,188.0","1,520,081.0","1,500,997.0","1,499,292.0","1,474,696.0","1,430,893.0","1,383,176.0","1,374,108.0","1,346,735.0","1,282,967.0","1,199,759.0","1,144,436.0","1,132,862.0","1,087,180.0","1,038,483.0","1,082,970.0","1,043,411.0","1,044,750.0","1,007,392.0","1,029,507.0","1,052,414.0","1,071,721.0","1,103,952.0","1,113,872.0","1,110,104.0","1,116,033.0","1,113,476.0","1,135,919.0","1,158,445.0","1,148,013.0","1,160,818.0","1,178,570.0","1,180,419.0","1,199,860.0","1,197,140.0","1,232,042.0","1,239,668.0","1,235,980.0"
"35","16","Residual","A959RX1","-175,400.0","-193,000.0","-192,200.0","-193,900.0","-198,900.0","-183,800.0","-196,600.0","-242,200.0","-207,200.0","-226,700.0","-226,800.0","-250,700.0","-252,500.0","-216,500.0","-209,500.0","-204,800.0","-179,300.0","-153,800.0","-167,800.0","-139,400.0","-152,100.0","-152,900.0","-164,200.0","-163,900.0","-203,100.0","-203,700.0","-178,200.0","-181,700.0","-168,800.0","-155,600.0","-149,900.0","-174,500.0","-175,600.0","-174,300.0","-151,500.0","-161,200.0","-178,400.0","-153,800.0","-160,400.0","-145,900.0","-141,100.0","-153,300.0","-141,900.0","-154,100.0","-141,200.0","-148,900.0","-165,100.0","-156,800.0","-109,300.0","-139,700.0","-96,500.0","-135,000.0","-164,500.0","-145,100.0","-161,500.0","-194,900.0","-205,600.0","-183,800.0","-188,400.0","-144,500.0","-126,100.0","-124,700.0","-124,600.0","-127,900.0","-148,400.0","-156,100.0","-153,200.0","-158,500.0","-160,100.0","-167,700.0","-162,100.0","-161,400.0","-166,300.0","-157,200.0","-154,500.0","-143,000.0","-138,900.0","-132,600.0","-138,500.0","-133,000.0","-115,800.0","-105,000.0","-105,200.0","-118,500.0","-116,200.0","-116,600.0","-115,400.0","-126,200.0","-128,500.0","-133,700.0","-125,800.0","-127,500.0","-142,100.0","-132,100.0","-126,600.0","-128,000.0","-122,900.0","-118,700.0","-137,600.0","-130,000.0","-110,500.0","-106,200.0","-108,200.0","-84,900.0","-84,600.0","-94,600.0","-96,600.0","-83,800.0","-89,200.0","-82,300.0","-65,300.0","-69,100.0","-62,700.0","-43,100.0","-34,600.0","-31,700.0","-21,300.0","-48,600.0","-43,400.0","-23,800.0","-51,900.0","-37,800.0","-26,100.0","-25,300.0","-16,600.0","-12,100.0","-14,700.0","-16,400.0","-17,000.0","-30,000.0","-34,600.0","-16,700.0","-27,000.0","-32,300.0","-24,100.0","-34,600.0","-29,600.0","-23,200.0","-13,300.0","-12,700.0","-15,300.0","-18,000.0","-13,100.0","-11,300.0","-9,600.0","-2,100.0","2,100.0","-1,000.0","1,400.0","2,700.0","6,000.0","7,400.0","10,400.0","12,500.0","11,300.0","6,900.0","5,900.0","2,600.0","4,100.0","-3,300.0","-7,100.0","-400.0","2,900.0","4,700.0","3,200.0","2,300.0","4,900.0","1,300.0","-2,700.0","3,900.0","-8,800.0","2,100.0","-1,455.0","-4,381.0","-5,103.0","-9,438.0","-8,147.0","-5,557.0","-2,315.0","-4,275.0","-5,568.0","-4,120.0","-15,602.0","-9,049.0","-3,656.0","-6,239.0","-8,660.0","-9,218.0"
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","17","  Motor vehicle output","A953RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","341,169.0","343,589.0","354,072.0","361,329.0","366,811.0","352,882.0","336,556.0","325,139.0","310,423.0","333,095.0","330,089.0","343,402.0","360,706.0","365,621.0","376,337.0","364,444.0","356,232.0","373,802.0","375,172.0","380,458.0","382,813.0","376,942.0","394,357.0","392,724.0","394,375.0","400,608.0","421,791.0","389,423.0","403,494.0","395,434.0","398,358.0","388,214.0","398,935.0","403,667.0","401,474.0","385,719.0","369,685.0","349,634.0","326,321.0","259,392.0","209,440.0","222,679.0","272,352.0","282,824.0","305,886.0","318,804.0","336,473.0","324,779.0","348,637.0","342,283.0","352,153.0","370,941.0","394,186.0","400,989.0","400,982.0","398,921.0","414,867.0","423,369.0","408,051.0","426,975.0","429,161.0","445,902.0","466,512.0","452,734.0","454,353.0","469,969.0","491,081.0","461,620.0"
"38","18","  Gross domestic product excluding motor vehicle output","A962RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,517,436.0","11,612,992.0","11,750,919.0","11,953,550.0","11,982,525.0","12,236,621.0","12,273,385.0","12,360,347.0","12,342,708.0","12,380,955.0","12,344,198.0","12,362,757.0","12,458,897.0","12,524,064.0","12,573,894.0","12,596,930.0","12,674,420.0","12,774,804.0","12,994,509.0","13,145,371.0","13,220,804.0","13,327,871.0","13,432,891.0","13,554,802.0","13,702,220.0","13,769,019.0","13,864,640.0","13,982,706.0","14,140,343.0","14,192,850.0","14,202,771.0","14,328,228.0","14,325,847.0","14,433,632.0","14,535,890.0","14,605,771.0","14,519,939.0","14,614,365.0","14,566,271.0","14,317,568.0","14,164,789.0","14,132,901.0","14,130,525.0","14,259,444.0","14,298,464.0","14,426,132.0","14,507,388.0","14,612,928.0","14,530,740.0","14,645,663.0","14,667,078.0","14,816,813.0","14,893,549.0","14,957,968.0","14,976,401.0","14,981,989.0","15,038,458.0","15,072,732.0","15,202,857.0","15,330,457.0","15,291,600.0","15,451,004.0","15,597,340.0","15,694,101.0","15,718,335.0","15,858,572.0","15,917,296.0","15,988,746.0"
"39","19","  Final sales of computers \3\","BB01RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16,815.0","18,538.0","19,875.0","19,674.0","22,073.0","24,353.0","25,065.0","26,344.0","28,717.0","27,703.0","26,416.0","27,705.0","27,448.0","27,481.0","29,091.0","29,933.0","30,923.0","30,946.0","35,145.0","36,540.0","34,150.0","34,220.0","34,681.0","36,948.0","37,625.0","40,330.0","41,822.0","44,610.0","48,008.0","50,428.0","52,047.0","54,588.0","54,545.0","55,406.0","61,354.0","67,198.0","67,759.0","71,411.0","70,074.0","70,431.0","75,592.0","74,815.0","70,996.0","68,553.0","72,843.0","67,296.0","65,911.0","70,991.0","72,533.0","73,977.0","75,799.0","79,729.0","83,339.0","82,889.0","86,535.0","95,168.0","98,296.0","101,003.0","99,430.0","100,510.0","101,777.0","103,793.0","104,883.0","97,056.0","103,599.0","112,987.0","114,367.0","117,207.0"
"40","20","  Gross domestic product excluding final sales of computers","BB00RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,921,828.0","12,008,470.0","12,151,807.0","12,366,059.0","12,387,250.0","12,610,273.0","12,621,797.0","12,687,882.0","12,640,333.0","12,712,997.0","12,678,043.0","12,708,118.0","12,826,708.0","12,897,590.0","12,955,005.0","12,960,363.0","13,024,774.0","13,146,371.0","13,355,952.0","13,509,434.0","13,594,354.0","13,694,537.0","13,818,595.0","13,933,003.0","14,080,675.0","14,148,486.0","14,264,836.0","14,341,243.0","14,508,131.0","14,547,352.0","14,557,587.0","14,667,901.0","14,676,892.0","14,788,376.0","14,879,864.0","14,925,457.0","14,822,394.0","14,892,059.0","14,821,976.0","14,506,857.0","14,299,365.0","14,280,799.0","14,331,546.0","14,473,287.0","14,532,133.0","14,678,236.0","14,778,920.0","14,867,904.0","14,808,881.0","14,915,805.0","14,945,861.0","15,111,674.0","15,209,484.0","15,281,096.0","15,296,754.0","15,294,020.0","15,364,698.0","15,405,888.0","15,520,989.0","15,667,117.0","15,629,814.0","15,804,701.0","15,971,088.0","16,058,225.0","16,080,204.0","16,230,684.0","16,310,117.0","16,349,586.0"
