"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19",NA,"          Monetary interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Monetary interest paid","A2061C1","123,383.0","141,757.0","151,022.0","168,568.0","213,533.0","266,977.0","276,119.0","298,217.0","338,109.0","412,828.0","537,852.0","687,823.0","915,358.0","1,028,056.0","1,015,277.0","1,181,908.0","1,263,773.0","1,313,137.0","1,374,788.0","1,546,921.0","1,824,793.0","1,858,052.0","1,755,487.0","1,578,631.0","1,514,637.0","1,628,233.0","1,891,601.0","1,976,898.0","2,147,473.0","2,328,371.0","2,430,597.0","2,856,528.0","2,732,147.0","2,284,423.0","2,141,995.0","2,324,594.0","3,002,926.0","3,852,759.0","4,493,443.0","3,848,287.0","2,860,539.0","2,609,406.0","2,590,277.0","2,520,682.0","2,380,383.0","2,403,025.0"
"21","2","  Domestic business \1\","A2062C1","67,337.0","80,072.0","84,971.0","95,561.0","127,509.0","167,373.0","167,720.0","174,725.0","196,780.0","241,680.0","325,274.0","426,847.0","585,748.0","646,903.0","604,453.0","697,380.0","738,212.0","754,202.0","792,649.0","913,278.0","1,116,905.0","1,103,482.0","991,721.0","834,230.0","778,223.0","859,779.0","1,026,970.0","1,069,919.0","1,186,891.0","1,326,965.0","1,413,942.0","1,741,427.0","1,651,203.0","1,270,118.0","1,154,611.0","1,296,552.0","1,787,003.0","2,421,811.0","2,866,780.0","2,343,362.0","1,581,954.0","1,375,868.0","1,341,842.0","1,307,966.0","1,207,902.0","1,198,171.0"
"22","3","    Corporate business","A2063C1","54,357.0","65,289.0","68,180.0","76,243.0","104,198.0","139,184.0","136,421.0","140,620.0","158,747.0","197,514.0","270,006.0","358,545.0","501,928.0","552,920.0","505,953.0","582,715.0","611,937.0","617,809.0","659,876.0","766,064.0","948,976.0","936,889.0","831,548.0","689,188.0","638,607.0","712,282.0","871,309.0","907,277.0","1,008,212.0","1,126,322.0","1,208,439.0","1,497,922.0","1,398,139.0","1,051,372.0","937,212.0","1,063,468.0","1,470,034.0","2,024,797.0","2,378,135.0","1,904,216.0","1,244,349.0","1,054,239.0","1,029,537.0","989,529.0","893,798.0","881,475.0"
"23","4","      Financial","A1100C1","29,365.0","34,589.0","36,526.0","42,067.0","60,850.0","83,649.0","80,383.0","83,622.0","94,471.0","118,704.0","166,997.0","225,987.0","330,852.0","368,986.0","331,259.0","379,972.0","392,626.0","383,108.0","416,706.0","486,781.0","611,787.0","590,634.0","497,334.0","397,054.0","366,022.0","422,708.0","540,874.0","557,507.0","623,560.0","726,106.0","774,774.0","988,132.0","901,177.0","612,189.0","522,208.0","646,855.0","989,508.0","1,463,338.0","1,728,880.0","1,310,069.0","748,425.0","591,990.0","572,042.0","529,883.0","445,140.0","431,494.0"
"24","5","        On deposits \2\","B1305C1","20,130.0","21,808.0","25,505.0","29,660.0","38,266.0","49,240.0","51,065.0","55,426.0","62,660.0","74,498.0","95,410.0","125,211.0","173,232.0","187,295.0","175,117.0","203,632.0","200,330.0","186,731.0","176,288.0","195,504.0","228,603.0","222,673.0","192,768.0","129,416.0","99,007.0","96,743.0","126,371.0","131,557.0","139,680.0","146,189.0","142,025.0","173,082.0","160,950.0","107,974.0","82,391.0","77,480.0","123,875.0","194,283.0","239,448.0","165,663.0","110,671.0","71,843.0","54,585.0","42,312.0","34,173.0","30,635.0"
"25","6","        On other liabilities","B1306C1","9,235.0","12,781.0","11,021.0","12,407.0","22,584.0","34,409.0","29,318.0","28,196.0","31,811.0","44,206.0","71,587.0","100,776.0","157,620.0","181,691.0","156,142.0","176,340.0","192,296.0","196,377.0","240,418.0","291,277.0","383,184.0","367,962.0","304,566.0","267,638.0","267,015.0","325,965.0","414,503.0","425,950.0","483,880.0","579,917.0","632,749.0","815,050.0","740,227.0","504,215.0","439,817.0","569,375.0","865,633.0","1,269,055.0","1,489,432.0","1,144,406.0","637,754.0","520,147.0","517,457.0","487,571.0","410,967.0","400,858.0"
"26","7","      Nonfinancial","B1101C1","24,992.0","30,700.0","31,654.0","34,176.0","43,348.0","55,535.0","56,038.0","56,998.0","64,276.0","78,810.0","103,009.0","132,558.0","171,076.0","183,934.0","174,694.0","202,743.0","219,311.0","234,701.0","243,170.0","279,283.0","337,189.0","346,255.0","334,214.0","292,134.0","272,585.0","289,574.0","330,435.0","349,770.0","384,652.0","400,216.0","433,665.0","509,790.0","496,962.0","439,183.0","415,004.0","416,613.0","480,526.0","561,459.0","649,255.0","594,147.0","495,921.0","462,249.0","457,495.0","459,647.0","448,657.0","449,981.0"
"27","8","    Sole proprietorships and partnerships","A2064C1","7,434.0","8,656.0","10,031.0","11,770.0","14,709.0","18,414.0","20,190.0","21,863.0","24,393.0","29,023.0","38,153.0","48,804.0","61,992.0","70,670.0","74,004.0","87,221.0","95,364.0","101,535.0","95,362.0","106,904.0","124,141.0","121,277.0","114,261.0","103,290.0","102,604.0","112,492.0","121,191.0","129,174.0","145,379.0","167,365.0","171,205.0","206,940.0","216,157.0","182,120.0","181,617.0","196,479.0","277,199.0","353,734.0","441,039.0","388,096.0","287,723.0","274,431.0","266,496.0","273,161.0","269,235.0","270,001.0"
"28","9","      Farm","B1103C1","2,489.0","2,769.0","2,909.0","3,206.0","3,734.0","4,554.0","5,057.0","5,883.0","6,751.0","8,183.0","10,440.0","12,954.0","15,812.0","17,273.0","17,017.0","16,674.0","15,432.0","13,370.0","12,128.0","11,111.0","10,460.0","9,888.0","8,861.0","8,354.0","7,968.0","8,704.0","8,984.0","9,358.0","9,477.0","9,499.0","9,464.0","9,910.0","8,920.0","8,625.0","7,307.0","6,920.0","8,540.0","9,538.0","9,773.0","10,373.0","10,053.0","9,817.0","9,425.0","10,614.0","11,182.0","11,137.0"
"29","10","      Nonfarm","B1102C1","4,945.0","5,887.0","7,122.0","8,564.0","10,975.0","13,860.0","15,133.0","15,980.0","17,642.0","20,840.0","27,713.0","35,850.0","46,180.0","53,397.0","56,987.0","70,547.0","79,932.0","88,165.0","83,234.0","95,793.0","113,681.0","111,389.0","105,400.0","94,936.0","94,636.0","103,788.0","112,207.0","119,816.0","135,902.0","157,866.0","161,741.0","197,030.0","207,237.0","173,495.0","174,310.0","189,559.0","268,659.0","344,196.0","431,266.0","377,723.0","277,670.0","264,614.0","257,071.0","262,547.0","258,053.0","258,864.0"
"30","11","    Other private business","A2065C1","5,546.0","6,127.0","6,760.0","7,548.0","8,602.0","9,775.0","11,109.0","12,242.0","13,640.0","15,143.0","17,115.0","19,498.0","21,828.0","23,313.0","24,496.0","27,444.0","30,911.0","34,858.0","37,411.0","40,310.0","43,788.0","45,316.0","45,912.0","41,751.0","37,012.0","35,005.0","34,470.0","33,467.0","33,300.0","33,277.0","34,297.0","36,565.0","36,906.0","36,627.0","35,782.0","36,605.0","39,770.0","43,280.0","47,606.0","51,049.0","49,884.0","47,198.0","45,809.0","45,275.0","44,869.0","46,695.0"
"31","12","      Rental income of persons","B1130C1","5,393.0","5,965.0","6,606.0","7,442.0","8,414.0","9,485.0","10,460.0","11,452.0","12,592.0","13,939.0","15,453.0","17,225.0","18,827.0","20,341.0","21,520.0","24,725.0","28,654.0","32,713.0","35,387.0","38,232.0","41,333.0","42,876.0","43,663.0","39,762.0","35,086.0","33,145.0","33,096.0","32,152.0","32,053.0","32,039.0","33,069.0","35,349.0","35,702.0","35,445.0","34,613.0","35,468.0","38,665.0","42,175.0","46,501.0","49,944.0","48,779.0","46,093.0","44,704.0","44,170.0","43,764.0","45,590.0"
"32","13","      Proprietors' income","B2631C1","153.0","162.0","154.0","106.0","188.0","290.0","649.0","790.0","1,048.0","1,204.0","1,662.0","2,273.0","3,001.0","2,972.0","2,976.0","2,719.0","2,257.0","2,145.0","2,024.0","2,078.0","2,455.0","2,440.0","2,249.0","1,989.0","1,926.0","1,860.0","1,374.0","1,315.0","1,247.0","1,238.0","1,228.0","1,216.0","1,204.0","1,182.0","1,169.0","1,137.0","1,105.0","1,105.0","1,105.0","1,105.0","1,105.0","1,105.0","1,105.0","1,105.0","1,105.0","1,105.0"
"33","14","  Households and nonprofit institutions","W291RC1","31,721.0","34,260.0","37,510.0","42,306.0","48,782.0","54,485.0","58,535.0","65,670.0","76,841.0","92,903.0","112,184.0","134,413.0","155,820.0","177,015.0","193,210.0","221,231.0","248,583.0","271,589.0","282,926.0","301,008.0","330,587.0","350,838.0","358,612.0","357,267.0","354,730.0","364,831.0","407,555.0","435,293.0","465,813.0","490,385.0","516,810.0","576,065.0","602,717.0","595,303.0","585,567.0","602,267.0","679,294.0","767,956.0","847,998.0","833,134.0","769,307.0","708,216.0","661,521.0","635,573.0","613,766.0","619,962.0"
"34","15","    Households","W292RC1","31,081.0","33,510.0","36,685.0","41,396.0","47,717.0","53,235.0","57,107.0","64,113.0","75,160.0","90,758.0","109,460.0","130,968.0","151,468.0","171,778.0","187,099.0","213,075.0","240,745.0","262,492.0","273,447.0","290,281.0","318,922.0","338,968.0","346,284.0","344,452.0","339,886.0","350,978.0","392,845.0","419,597.0","449,392.0","473,446.0","499,520.0","558,494.0","585,118.0","578,098.0","568,938.0","586,253.0","663,752.0","752,618.0","832,751.0","818,229.0","755,115.0","694,834.0","648,877.0","623,617.0","601,810.0","608,006.0"
"35","16","      Owner-occupied housing","W498RC1","15,368.0","16,727.0","18,844.0","21,747.0","25,290.0","29,035.0","32,571.0","37,470.0","44,495.0","53,276.0","64,926.0","77,652.0","90,680.0","104,541.0","115,071.0","129,848.0","145,435.0","160,479.0","171,605.0","183,778.0","199,927.0","214,446.0","220,132.0","222,199.0","219,400.0","223,561.0","243,938.0","252,927.0","268,715.0","280,916.0","299,645.0","330,242.0","351,232.0","354,777.0","348,709.0","353,267.0","402,922.0","463,502.0","510,903.0","513,820.0","467,826.0","425,006.0","389,636.0","362,745.0","334,195.0","326,668.0"
"36","17","      Persons \3\","W293RC1","15,713.0","16,783.0","17,841.0","19,649.0","22,427.0","24,200.0","24,536.0","26,643.0","30,664.0","37,482.0","44,534.0","53,316.0","60,788.0","67,237.0","72,028.0","83,226.0","95,310.0","102,013.0","101,841.0","106,503.0","118,995.0","124,522.0","126,153.0","122,253.0","120,486.0","127,417.0","148,907.0","166,671.0","180,677.0","192,531.0","199,875.0","228,252.0","233,885.0","223,321.0","220,229.0","232,986.0","260,830.0","289,117.0","321,848.0","304,409.0","287,289.0","269,827.0","259,241.0","260,872.0","267,615.0","281,337.0"
"37","18","    Nonprofit institutions","W319RC1","640.0","750.0","825.0","910.0","1,065.0","1,250.0","1,428.0","1,557.0","1,681.0","2,145.0","2,724.0","3,445.0","4,352.0","5,237.0","6,111.0","8,156.0","7,838.0","9,097.0","9,479.0","10,727.0","11,665.0","11,870.0","12,328.0","12,815.0","14,844.0","13,853.0","14,710.0","15,696.0","16,421.0","16,939.0","17,290.0","17,571.0","17,599.0","17,205.0","16,629.0","16,014.0","15,542.0","15,338.0","15,247.0","14,905.0","14,192.0","13,382.0","12,644.0","11,956.0","11,956.0","11,956.0"
"38","19","  Government","W500RC1","20,669.0","23,363.0","24,471.0","26,306.0","31,274.0","35,607.0","39,983.0","46,287.0","50,814.0","60,238.0","72,932.0","89,072.0","116,737.0","138,910.0","156,876.0","187,284.0","211,491.0","226,117.0","236,506.0","253,699.0","276,922.0","297,843.0","314,608.0","316,297.0","318,103.0","327,077.0","358,300.0","368,111.0","373,713.0","375,286.0","362,002.0","366,307.0","344,455.0","317,491.0","305,405.0","313,207.0","352,594.0","383,480.0","425,331.0","410,831.0","373,001.0","402,940.0","450,011.0","438,158.0","413,777.0","432,747.0"
"39","20","    Federal","Y669RC1","15,823.0","17,747.0","17,927.0","18,772.0","22,818.0","25,987.0","28,919.0","33,776.0","37,132.0","45,340.0","55,692.0","69,714.0","93,893.0","111,785.0","124,581.0","150,293.0","169,396.0","178,162.0","184,580.0","199,311.0","219,346.0","237,455.0","250,945.0","251,266.0","253,377.0","261,341.0","290,393.0","297,252.0","299,980.0","298,842.0","282,661.0","283,255.0","258,583.0","229,076.0","213,469.0","220,863.0","257,485.0","280,709.0","314,562.0","294,157.0","253,769.0","281,285.0","326,532.0","317,900.0","294,800.0","312,173.0"
"40","21","    State and local","W497RC1","4,846.0","5,616.0","6,544.0","7,534.0","8,456.0","9,620.0","11,064.0","12,511.0","13,682.0","14,898.0","17,240.0","19,358.0","22,844.0","27,125.0","32,295.0","36,991.0","42,095.0","47,955.0","51,926.0","54,388.0","57,576.0","60,388.0","63,663.0","65,031.0","64,726.0","65,736.0","67,907.0","70,859.0","73,733.0","76,444.0","79,341.0","83,052.0","85,872.0","88,415.0","91,936.0","92,344.0","95,109.0","102,771.0","110,769.0","116,674.0","119,232.0","121,655.0","123,479.0","120,257.0","118,977.0","120,574.0"
"41","22","  Rest of the world","W290RC1","3,656.0","4,062.0","4,070.0","4,395.0","5,968.0","9,512.0","9,881.0","11,535.0","13,674.0","18,007.0","27,462.0","37,491.0","57,053.0","65,228.0","60,738.0","76,013.0","65,487.0","61,229.0","62,708.0","78,936.0","100,379.0","105,889.0","90,546.0","70,838.0","63,581.0","76,546.0","98,776.0","103,575.0","121,056.0","135,735.0","137,843.0","172,729.0","133,772.0","101,510.0","96,411.0","112,568.0","184,036.0","279,512.0","353,335.0","260,960.0","136,278.0","122,382.0","136,903.0","138,985.0","144,938.0","152,145.0"
"42","23","    To business and persons","B1132C1","2,731.0","3,155.0","3,164.0","3,529.0","5,035.0","8,459.0","8,787.0","10,230.0","12,053.0","16,166.0","25,217.0","35,024.0","53,915.0","61,608.0","56,181.0","71,005.0","59,789.0","54,578.0","56,873.0","71,639.0","94,822.0","97,392.0","84,669.0","65,739.0","59,727.0","73,334.0","94,852.0","99,463.0","117,876.0","132,561.0","134,915.0","169,156.0","130,551.0","98,500.0","91,906.0","109,740.0","181,461.0","277,210.0","351,294.0","259,058.0","135,049.0","121,168.0","135,258.0","137,511.0","143,687.0","151,039.0"
"43","24","    To government","Y711RC1","925.0","907.0","906.0","866.0","933.0","1,053.0","1,094.0","1,305.0","1,621.0","1,841.0","2,245.0","2,467.0","3,138.0","3,620.0","4,557.0","5,008.0","5,698.0","6,651.0","5,835.0","7,297.0","5,557.0","8,497.0","5,877.0","5,099.0","3,854.0","3,212.0","3,924.0","4,112.0","3,180.0","3,174.0","2,928.0","3,573.0","3,221.0","3,010.0","4,505.0","2,828.0","2,575.0","2,302.0","2,041.0","1,902.0","1,229.0","1,214.0","1,645.0","1,474.0","1,250.0","1,106.0"
"44","25","Monetary interest received","A2068C1","123,383.0","141,757.0","151,022.0","168,568.0","213,533.0","266,977.0","276,119.0","298,217.0","338,109.0","412,828.0","537,852.0","687,823.0","915,358.0","1,028,056.0","1,015,277.0","1,181,908.0","1,263,773.0","1,313,137.0","1,374,788.0","1,546,921.0","1,824,793.0","1,858,052.0","1,755,487.0","1,578,631.0","1,514,637.0","1,628,233.0","1,891,601.0","1,976,898.0","2,147,473.0","2,328,371.0","2,430,597.0","2,856,528.0","2,732,147.0","2,284,423.0","2,141,995.0","2,324,594.0","3,002,926.0","3,852,759.0","4,493,443.0","3,848,287.0","2,860,539.0","2,609,406.0","2,590,277.0","2,520,682.0","2,380,383.0","2,403,025.0"
"45","26","  Domestic business \1\","A2069C1","76,174.0","87,838.0","93,465.0","105,654.0","136,776.0","172,813.0","177,218.0","191,756.0","214,074.0","263,178.0","343,298.0","436,560.0","582,706.0","645,382.0","638,385.0","722,662.0","793,355.0","826,959.0","887,724.0","1,009,208.0","1,195,039.0","1,212,480.0","1,156,403.0","1,042,619.0","1,012,410.0","1,106,306.0","1,304,810.0","1,361,359.0","1,492,082.0","1,596,915.0","1,705,624.0","2,018,724.0","1,917,450.0","1,605,808.0","1,502,006.0","1,715,745.0","2,169,030.0","2,771,214.0","3,196,787.0","2,682,181.0","1,967,297.0","1,812,718.0","1,787,878.0","1,685,900.0","1,590,465.0","1,599,918.0"
"46","27","    Corporate business","A2070C1","75,475.0","87,144.0","92,621.0","104,507.0","135,685.0","171,472.0","175,730.0","190,365.0","212,754.0","261,347.0","339,963.0","430,589.0","574,567.0","638,094.0","630,675.0","716,113.0","785,160.0","818,334.0","881,240.0","1,000,125.0","1,185,709.0","1,202,322.0","1,145,970.0","1,034,240.0","1,003,093.0","1,094,598.0","1,283,606.0","1,338,376.0","1,463,668.0","1,561,585.0","1,662,092.0","1,959,188.0","1,855,434.0","1,553,863.0","1,447,378.0","1,646,163.0","2,064,094.0","2,617,644.0","2,982,259.0","2,476,869.0","1,820,004.0","1,659,455.0","1,643,921.0","1,547,279.0","1,459,367.0","1,477,711.0"
"47","28","      Financial \4\","B1134C1","68,214.0","78,600.0","83,954.0","94,866.0","121,419.0","152,250.0","156,502.0","169,042.0","188,067.0","229,540.0","294,504.0","369,831.0","491,381.0","552,064.0","547,289.0","618,168.0","675,800.0","702,871.0","764,398.0","866,310.0","1,024,008.0","1,036,001.0","981,192.0","885,069.0","864,898.0","944,119.0","1,110,367.0","1,142,961.0","1,248,052.0","1,355,739.0","1,442,723.0","1,697,830.0","1,610,364.0","1,334,921.0","1,239,874.0","1,425,102.0","1,799,803.0","2,292,360.0","2,633,298.0","2,204,221.0","1,631,304.0","1,505,965.0","1,489,401.0","1,406,508.0","1,329,906.0","1,333,592.0"
"48","29","      Nonfinancial","B1135C1","7,261.0","8,544.0","8,667.0","9,641.0","14,265.0","19,222.0","19,228.0","21,323.0","24,687.0","31,807.0","45,459.0","60,758.0","83,186.0","86,030.0","83,386.0","97,946.0","109,360.0","115,463.0","116,842.0","133,815.0","161,701.0","166,321.0","164,778.0","149,171.0","138,196.0","150,479.0","173,239.0","195,416.0","215,616.0","205,846.0","219,369.0","261,358.0","245,070.0","218,942.0","207,504.0","221,061.0","264,291.0","325,284.0","348,961.0","272,648.0","188,700.0","153,490.0","154,520.0","140,771.0","129,460.0","144,119.0"
"49","30","    Financial sole proprietorships and partnerships \5\","B1136C1","677.0","670.0","818.0","1,120.0","1,060.0","1,314.0","1,409.0","1,304.0","1,219.0","1,694.0","3,130.0","5,682.0","7,783.0","6,980.0","7,458.0","6,267.0","7,965.0","8,435.0","6,313.0","8,861.0","9,068.0","9,893.0","10,205.0","8,213.0","9,171.0","11,583.0","21,160.0","22,938.0","28,368.0","35,283.0","43,485.0","59,489.0","61,969.0","51,899.0","54,582.0","69,538.0","104,893.0","153,527.0","214,485.0","205,269.0","147,250.0","153,220.0","143,914.0","138,578.0","131,055.0","122,164.0"
"50","31","    Other private business","B1137C1","22.0","24.0","26.0","27.0","31.0","27.0","79.0","87.0","101.0","137.0","205.0","289.0","356.0","308.0","252.0","282.0","230.0","190.0","171.0","222.0","262.0","265.0","228.0","166.0","146.0","125.0","44.0","45.0","46.0","47.0","47.0","47.0","47.0","46.0","46.0","44.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0","43.0"
"51","32","  Persons \5\","B1138C1","38,948.0","44,468.0","48,425.0","52,499.0","61,810.0","74,012.0","78,295.0","85,828.0","100,613.0","114,665.0","142,158.0","183,014.0","240,678.0","275,402.0","268,396.0","324,650.0","328,420.0","334,051.0","325,979.0","350,077.0","408,550.0","416,980.0","385,345.0","353,395.0","327,657.0","327,756.0","354,382.0","366,080.0","373,036.0","432,925.0","413,191.0","466,235.0","476,061.0","394,677.0","377,330.0","312,257.0","428,652.0","518,225.0","605,693.0","576,302.0","466,030.0","400,168.0","414,541.0","458,717.0","416,019.0","432,235.0"
"52","33","  Government","A2071C1","4,646.0","5,281.0","5,397.0","5,767.0","7,650.0","10,087.0","10,847.0","11,130.0","12,872.0","18,106.0","25,416.0","33,055.0","42,429.0","49,062.0","54,006.0","62,551.0","70,179.0","75,457.0","73,619.0","79,715.0","83,960.0","87,194.0","84,340.0","77,015.0","74,778.0","73,896.0","79,775.0","85,481.0","87,832.0","87,305.0","89,912.0","99,712.0","94,616.0","80,727.0","75,570.0","77,570.0","88,459.0","107,469.0","120,347.0","105,059.0","92,570.0","93,612.0","87,029.0","75,616.0","75,536.0","76,254.0"
"53","34","    Federal","B1139C1","1,866.0","1,971.0","1,981.0","2,000.0","2,112.0","2,431.0","2,910.0","3,485.0","4,123.0","6,212.0","8,351.0","10,806.0","14,413.0","17,449.0","19,565.0","22,275.0","24,465.0","27,051.0","24,181.0","26,638.0","25,065.0","26,030.0","24,645.0","21,107.0","22,001.0","19,356.0","20,212.0","21,935.0","20,338.0","16,846.0","16,006.0","18,252.0","17,804.0","14,804.0","16,139.0","16,472.0","17,178.0","18,610.0","21,912.0","19,360.0","22,584.0","29,345.0","27,461.0","21,065.0","22,537.0","23,156.0"
