"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"26","8","  Less: Consumption of fixed capital","A024RX1","330,672.0","347,679.0","363,351.0","381,930.0","407,418.0","429,622.0","446,056.0","461,775.0","482,882.0","508,535.0","537,964.0","564,649.0","587,876.0","611,923.0","632,004.0","658,628.0","695,070.0","728,631.0","762,178.0","794,210.0","827,551.0","859,305.0","885,131.0","910,058.0","941,947.0","981,044.0","1,029,252.0","1,083,522.0","1,149,760.0","1,229,516.0","1,319,711.0","1,413,843.0","1,492,464.0","1,547,923.0","1,597,442.0","1,655,045.0","1,721,403.0","1,792,151.0","1,859,033.0","1,908,901.0","1,925,652.0","1,928,325.0","1,948,976.0","1,988,241.0","2,038,088.0","2,092,384.0"
"27","9","  Equals: Net fixed investment","A560RX1","277,882.0","248,393.0","273,652.0","327,707.0","363,059.0","298,004.0","210,205.0","258,998.0","335,627.0","404,802.0","427,983.0","343,876.0","345,050.0","258,638.0","304,112.0","429,032.0","452,452.0","439,664.0","413,335.0","420,079.0","425,246.0","375,441.0","286,099.0","325,324.0","388,180.0","457,922.0","497,668.0","578,753.0","655,694.0","760,619.0","846,191.0","902,376.0","787,551.0","653,225.0","692,042.0","788,814.0","889,547.0","870,329.0","750,563.0","523,689.0","100,033.0","127,830.0","237,684.0","412,168.0","463,773.0","541,369.0"
"28","10","    Nonresidential","A008RX1","356,848.0","353,678.0","353,505.0","384,315.0","435,147.0","438,704.0","399,219.0","421,775.0","467,189.0","531,747.0","584,874.0","584,991.0","620,878.0","598,616.0","595,971.0","695,327.0","741,187.0","728,423.0","729,063.0","765,545.0","808,873.0","817,625.0","785,519.0","808,458.0","869,002.0","937,612.0","1,028,494.0","1,122,098.0","1,242,884.0","1,376,547.0","1,510,100.0","1,647,665.0","1,608,394.0","1,497,996.0","1,526,089.0","1,605,364.0","1,717,445.0","1,839,554.0","1,948,398.0","1,934,445.0","1,633,442.0","1,673,797.0","1,802,259.0","1,964,146.0","2,023,745.0","2,148,257.0"
"29","11","    Less: Consumption of fixed capital","A753RX1","237,258.0","250,025.0","261,144.0","274,065.0","292,985.0","309,611.0","321,736.0","333,030.0","348,340.0","367,073.0","389,348.0","410,474.0","429,912.0","451,079.0","468,015.0","489,315.0","518,905.0","545,085.0","570,925.0","595,661.0","622,202.0","648,346.0","669,811.0","690,220.0","716,310.0","748,722.0","789,785.0","836,214.0","893,168.0","961,901.0","1,039,716.0","1,121,812.0","1,189,687.0","1,234,143.0","1,270,487.0","1,312,259.0","1,361,387.0","1,417,223.0","1,475,330.0","1,523,485.0","1,542,753.0","1,548,777.0","1,572,062.0","1,611,967.0","1,659,981.0","1,712,116.0"
"30","12","    Equals: Net nonresidential","A593RX1","119,590.0","103,653.0","92,361.0","110,250.0","142,162.0","129,093.0","77,483.0","88,745.0","118,848.0","164,673.0","195,526.0","174,517.0","190,967.0","147,537.0","127,956.0","206,012.0","222,282.0","183,338.0","158,138.0","169,884.0","186,671.0","169,279.0","115,708.0","118,238.0","152,692.0","188,890.0","238,709.0","285,884.0","349,716.0","414,645.0","470,384.0","525,854.0","418,706.0","263,853.0","255,603.0","293,105.0","356,058.0","422,330.0","473,068.0","410,960.0","90,689.0","125,019.0","230,197.0","352,179.0","363,764.0","436,141.0"
"31","13","      Structures","B009RX1","314,536.0","315,404.0","310,247.0","319,899.0","346,062.0","338,613.0","303,053.0","310,395.0","323,154.0","369,794.0","416,683.0","441,067.0","476,426.0","468,636.0","417,996.0","476,274.0","510,109.0","454,223.0","441,150.0","444,065.0","452,872.0","459,538.0","408,406.0","383,773.0","382,735.0","389,750.0","414,578.0","438,074.0","470,220.0","494,313.0","494,868.0","533,480.0","525,392.0","432,548.0","415,840.0","414,120.0","421,230.0","451,488.0","509,046.0","540,186.0","438,211.0","366,277.0","374,709.0","423,093.0","429,676.0","464,621.0"
"32","14","      Less: Consumption of fixed capital","B188RX1","140,137.0","144,770.0","149,117.0","153,322.0","163,923.0","168,400.0","172,404.0","176,061.0","179,923.0","184,753.0","190,961.0","198,590.0","207,798.0","217,352.0","224,812.0","231,818.0","239,989.0","246,729.0","251,898.0","257,034.0","261,994.0","267,222.0","271,868.0","274,817.0","277,286.0","279,866.0","282,770.0","286,538.0","291,178.0","296,327.0","301,284.0","306,651.0","312,409.0","316,336.0","318,414.0","320,333.0","322,191.0","324,862.0","328,984.0","334,175.0","337,765.0","338,747.0","339,781.0","342,394.0","345,846.0","349,713.0"
"33","15","      Equals: Net structures","A594RX1","174,399.0","170,634.0","161,131.0","166,577.0","182,138.0","170,213.0","130,648.0","134,334.0","143,231.0","185,040.0","225,722.0","242,477.0","268,628.0","251,284.0","193,185.0","244,456.0","270,120.0","207,494.0","189,253.0","187,030.0","190,878.0","192,316.0","136,539.0","108,957.0","105,450.0","109,883.0","131,808.0","151,535.0","179,042.0","197,986.0","193,584.0","226,830.0","212,983.0","116,212.0","97,426.0","93,788.0","99,039.0","126,627.0","180,061.0","206,011.0","100,446.0","27,530.0","34,928.0","80,699.0","83,830.0","114,907.0"
"34","16","      Equipment","Y033RX1","120,014.0","117,886.0","118,840.0","133,991.0","158,784.0","162,085.0","145,108.0","154,028.0","177,934.0","204,819.0","221,587.0","211,806.0","219,680.0","202,971.0","212,392.0","253,590.0","267,519.0","270,586.0","271,565.0","289,477.0","304,804.0","298,482.0","284,794.0","301,707.0","340,019.0","381,679.0","427,823.0","468,570.0","520,689.0","589,015.0","662,433.0","726,935.0","695,657.0","658,024.0","679,021.0","731,182.0","801,604.0","870,793.0","898,336.0","836,092.0","644,308.0","746,702.0","847,918.0","939,247.0","969,508.0","1,026,181.0"
"35","17","      Less: Consumption of fixed capital","Y080RX1","102,108.0","107,738.0","112,753.0","119,303.0","128,176.0","137,296.0","143,522.0","149,157.0","157,300.0","167,320.0","178,959.0","188,832.0","196,630.0","205,386.0","211,363.0","219,562.0","232,458.0","243,095.0","254,414.0","264,531.0","274,662.0","283,227.0","288,641.0","293,754.0","303,551.0","318,823.0","340,605.0","364,289.0","391,387.0","423,956.0","461,340.0","500,551.0","532,294.0","552,335.0","569,249.0","589,937.0","616,385.0","649,208.0","683,658.0","707,258.0","707,184.0","702,492.0","713,251.0","733,801.0","760,263.0","788,323.0"
"36","18","      Equals: Net equipment","Y081RX1","17,907.0","10,147.0","6,087.0","14,688.0","30,608.0","24,789.0","1,586.0","4,871.0","20,634.0","37,499.0","42,628.0","22,973.0","23,050.0","-2,415.0","1,028.0","34,028.0","35,061.0","27,492.0","17,152.0","24,946.0","30,141.0","15,255.0","-3,847.0","7,953.0","36,468.0","62,855.0","87,218.0","104,281.0","129,302.0","165,059.0","201,093.0","226,384.0","163,363.0","105,689.0","109,772.0","141,245.0","185,220.0","221,585.0","214,677.0","128,834.0","-62,876.0","44,211.0","134,667.0","205,446.0","209,245.0","237,858.0"
"37","19","      Intellectual property products","Y001RX1","48,272.0","48,212.0","48,405.0","51,780.0","54,385.0","55,960.0","56,459.0","62,583.0","66,708.0","71,446.0","79,792.0","83,757.0","92,879.0","98,610.0","106,398.0","120,936.0","131,821.0","141,007.0","146,546.0","156,976.0","175,401.0","190,187.0","202,396.0","214,577.0","223,590.0","232,640.0","249,551.0","277,715.0","313,937.0","347,854.0","391,133.0","426,053.0","427,987.0","425,913.0","442,175.0","464,888.0","494,997.0","517,462.0","542,355.0","558,803.0","550,922.0","561,320.0","581,258.0","603,825.0","626,903.0","659,500.0"
"38","20","      Less: Consumption of fixed capital","Y083RX1","37,704.0","40,535.0","42,777.0","44,836.0","47,166.0","49,503.0","51,447.0","53,481.0","56,058.0","59,149.0","63,065.0","67,560.0","72,422.0","77,608.0","83,230.0","90,439.0","99,154.0","108,112.0","116,545.0","125,434.0","136,219.0","148,601.0","160,722.0","173,020.0","185,169.0","196,569.0","208,233.0","222,613.0","243,013.0","268,551.0","297,806.0","329,072.0","355,197.0","373,311.0","388,558.0","405,495.0","424,312.0","443,497.0","462,698.0","482,085.0","497,803.0","507,521.0","518,961.0","535,750.0","554,079.0","574,672.0"
"39","21","      Equals: Net intellectual property products","Y084RX1","10,568.0","7,678.0","5,628.0","6,944.0","7,219.0","6,457.0","5,012.0","9,102.0","10,650.0","12,297.0","16,727.0","16,196.0","20,457.0","21,001.0","23,169.0","30,497.0","32,667.0","32,895.0","30,000.0","31,541.0","39,182.0","41,587.0","41,673.0","41,557.0","38,421.0","36,071.0","41,318.0","55,102.0","70,924.0","79,303.0","93,327.0","96,981.0","72,790.0","52,602.0","53,617.0","59,393.0","70,685.0","73,965.0","79,658.0","76,718.0","53,119.0","53,799.0","62,297.0","68,075.0","72,824.0","84,828.0"
"40","22","    Residential","A011RX1","281,871.0","267,157.0","338,299.0","397,008.0","394,458.0","317,104.0","278,836.0","340,477.0","410,299.0","437,672.0","421,267.0","333,125.0","305,717.0","250,335.0","355,434.0","407,889.0","417,236.0","468,987.0","478,216.0","473,990.0","458,651.0","419,697.0","382,299.0","435,002.0","470,600.0","512,820.0","495,455.0","535,922.0","548,911.0","596,347.0","633,775.0","637,946.0","643,682.0","682,669.0","744,535.0","818,897.0","872,611.0","806,571.0","654,784.0","497,703.0","392,243.0","382,423.0","384,522.0","436,470.0","478,048.0","486,435.0"
"41","23","    Less: Consumption of fixed capital","A754RX1","104,690.0","109,012.0","114,211.0","120,847.0","127,787.0","133,601.0","138,210.0","143,160.0","149,546.0","157,099.0","164,481.0","169,693.0","172,504.0","173,633.0","175,818.0","180,664.0","186,678.0","193,952.0","201,769.0","209,165.0","215,716.0","220,715.0","224,485.0","228,577.0","233,898.0","239,935.0","245,992.0","252,656.0","260,588.0","270,175.0","281,240.0","292,060.0","302,147.0","313,105.0","326,378.0","342,159.0","359,202.0","374,070.0","383,197.0","385,325.0","382,899.0","379,537.0","376,815.0","375,980.0","377,775.0","380,248.0"
"42","24","    Equals: Net residential","A748RX1","177,180.0","158,145.0","224,088.0","276,161.0","266,670.0","183,503.0","140,626.0","197,317.0","260,753.0","280,573.0","256,786.0","163,433.0","133,213.0","76,702.0","179,617.0","227,225.0","230,558.0","275,035.0","276,446.0","264,825.0","242,936.0","198,982.0","157,813.0","206,425.0","236,702.0","272,885.0","249,463.0","283,266.0","288,323.0","326,173.0","352,535.0","345,886.0","341,536.0","369,564.0","418,158.0","476,738.0","513,409.0","432,501.0","271,588.0","112,378.0","9,343.0","2,886.0","7,707.0","60,490.0","100,273.0","106,188.0"
"43","25","  Change in private inventories","A014RX1","33,346.0","6,156.0","27,501.0","28,250.0","42,933.0","32,024.0","-14,075.0","37,707.0","47,461.0","50,150.0","30,822.0","-10,324.0","42,885.0","-21,729.0","-8,612.0","85,716.0","27,591.0","9,026.0","36,287.0","23,810.0","33,251.0","17,937.0","-1,963.0","19,452.0","24,077.0","75,388.0","34,560.0","33,834.0","84,806.0","78,988.0","75,450.0","66,225.0","-46,246.0","22,538.0","22,567.0","71,398.0","64,326.0","71,607.0","35,545.0","-33,671.0","-147,569.0","58,225.0","37,593.0","54,672.0","61,428.0","67,987.0"
"44","26","Gross government investment \1\","A782RX1","273,168.0","255,580.0","234,491.0","225,989.0","229,427.0","235,144.0","237,795.0","242,812.0","240,525.0","257,217.0","271,112.0","279,002.0","275,530.0","275,323.0","293,253.0","324,803.0","366,636.0","395,624.0","419,135.0","415,598.0","424,332.0","444,318.0","440,982.0","440,428.0","425,135.0","418,462.0","424,391.0","436,131.0","445,221.0","457,555.0","484,936.0","500,604.0","523,840.0","556,718.0","576,396.0","586,452.0","586,636.0","605,177.0","618,730.0","640,980.0","647,029.0","646,516.0","617,134.0","581,666.0","553,502.0","547,232.0"
"45","27","Less: Consumption of fixed capital","A264RX1","159,198.0","162,939.0","164,284.0","164,938.0","166,194.0","168,103.0","170,505.0","173,461.0","176,652.0","180,277.0","184,651.0","189,911.0","195,722.0","202,203.0","210,037.0","219,967.0","232,515.0","246,469.0","260,379.0","272,974.0","283,991.0","294,370.0","302,938.0","309,266.0","313,665.0","316,398.0","318,647.0","321,533.0","324,871.0","329,611.0","336,132.0","343,040.0","350,218.0","357,678.0","366,812.0","377,866.0","389,684.0","402,202.0","415,453.0","429,447.0","442,729.0","454,010.0","463,808.0","470,055.0","473,405.0","475,078.0"
"46","28","Equals: Net government investment","A889RX1","113,969.0","92,641.0","70,207.0","61,051.0","63,232.0","67,041.0","67,290.0","69,351.0","63,873.0","76,941.0","86,462.0","89,091.0","79,809.0","73,120.0","83,216.0","104,837.0","134,120.0","149,155.0","158,756.0","142,624.0","140,340.0","149,948.0","138,043.0","131,162.0","111,470.0","102,064.0","105,745.0","114,598.0","120,351.0","127,944.0","148,804.0","157,564.0","173,622.0","199,040.0","209,584.0","208,586.0","196,952.0","202,974.0","203,277.0","211,532.0","204,301.0","192,507.0","153,326.0","111,611.0","80,097.0","72,154.0"
"47","29","    Federal","A890RX1","14,130.0","3,856.0","-5,015.0","-7,329.0","-5,153.0","-5,105.0","-3,064.0","1,047.0","3,513.0","8,526.0","10,132.0","13,146.0","15,079.0","14,314.0","21,304.0","27,528.0","41,209.0","46,323.0","53,118.0","32,484.0","23,218.0","22,295.0","11,212.0","7,538.0","-2,212.0","-10,375.0","-10,983.0","-9,532.0","-15,991.0","-11,224.0","-7,391.0","-9,145.0","-3,264.0","13,787.0","25,728.0","31,931.0","32,580.0","37,035.0","38,966.0","49,489.0","49,441.0","53,923.0","38,770.0","20,172.0","2,749.0","-3,996.0"
"48","30","      National defense","B891RX1","-10,608.0","-17,471.0","-24,633.0","-26,713.0","-23,919.0","-21,865.0","-20,149.0","-17,956.0","-16,523.0","-15,857.0","-12,948.0","-9,047.0","-4,382.0","2,617.0","11,752.0","17,615.0","30,007.0","34,250.0","38,097.0","22,007.0","11,710.0","7,188.0","-6,887.0","-13,002.0","-23,226.0","-26,922.0","-27,237.0","-25,681.0","-29,450.0","-27,116.0","-24,803.0","-22,322.0","-16,423.0","-3,394.0","7,020.0","14,788.0","17,009.0","19,950.0","23,006.0","32,395.0","30,342.0","28,299.0","16,203.0","3,050.0","-7,051.0","-11,101.0"
"49","31","      Nondefense","B892RX1","24,806.0","21,033.0","19,663.0","19,225.0","18,530.0","16,473.0","16,743.0","18,469.0","19,502.0","23,691.0","22,386.0","21,589.0","18,871.0","11,586.0","9,736.0","10,037.0","11,555.0","12,477.0","15,443.0","11,030.0","11,847.0","15,334.0","18,060.0","20,500.0","20,936.0","16,503.0","16,249.0","16,154.0","13,484.0","15,907.0","17,416.0","13,178.0","13,156.0","17,201.0","18,746.0","17,182.0","15,594.0","17,114.0","15,983.0","17,094.0","19,099.0","25,618.0","22,562.0","17,126.0","9,802.0","7,112.0"
"50","32","    State and local","B893RX1","117,262.0","104,494.0","97,926.0","90,917.0","89,664.0","88,679.0","85,261.0","80,832.0","70,372.0","81,160.0","86,628.0","85,321.0","70,116.0","59,643.0","59,730.0","74,166.0","88,081.0","96,809.0","98,291.0","104,437.0","110,897.0","122,456.0","122,992.0","121,524.0","114,873.0","117,429.0","123,326.0","130,573.0","145,697.0","147,985.0","164,843.0","175,923.0","186,029.0","192,592.0","189,333.0","179,544.0","165,224.0","166,190.0","164,630.0","162,100.0","154,860.0","138,561.0","114,365.0","91,249.0","76,985.0","75,734.0"
"51","33","  Structures","A760RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","295,421.0","305,293.0","320,018.0","335,869.0","337,829.0","329,462.0","314,021.0","315,081.0","314,498.0","316,649.0","318,921.0","312,258.0","290,289.0","262,445.0","244,249.0","242,912.0"
"52","34","  Less: Consumption of fixed capital","B894RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","139,700.0","142,604.0","145,661.0","148,953.0","152,334.0","155,583.0","158,398.0","161,002.0","163,742.0","166,443.0","169,119.0","171,728.0","174,533.0","176,274.0","177,555.0","178,697.0"
"53","35","  Equals: Net structures","A895RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","155,721.0","162,689.0","174,357.0","186,916.0","185,495.0","173,879.0","155,623.0","154,078.0","150,756.0","150,206.0","149,802.0","140,530.0","115,756.0","86,171.0","66,694.0","64,215.0"
