"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Budget receipts","M318011","187,792.0","193,743.0","188,392.0","208,649.0","232,225.0","264,932.0","280,997.0","300,005.0","356,861.0","401,997.0","465,940.0","520,050.0","602,612.0","617,766.0","600,558.0","663,620.0","733,729.0","768,766.0","853,808.0","908,353.0","990,703.0","1,031,309.0","1,054,265.0","1,090,454.0","1,154,497.0","1,258,725.0","1,351,795.0","1,453,050.0","1,579,228.0","1,721,727.0","1,827,452.0","2,025,191.0","1,991,082.0","1,853,136.0","1,782,314.0","1,880,114.0","2,153,611.0","2,406,869.0","2,567,985.0","2,523,991.0","2,104,990.0","2,162,706.0","2,303,466.0","2,449,988.0","2,775,103.0","3,021,487.0"
"21","2","Less: Coverage differences","M318021","5,055.0","5,531.0","5,585.0","7,802.0","7,255.0","7,329.0","7,397.0","8,325.0","10,549.0","8,607.0","8,979.0","10,129.0","11,193.0","12,820.0","9,764.0","9,974.0","11,479.0","12,576.0","12,138.0","12,510.0","13,598.0","16,257.0","15,796.0","16,182.0","17,383.0","20,003.0","19,410.0","22,795.0","25,439.0","31,324.0","36,262.0","38,630.0","37,675.0","36,728.0","32,196.0","36,081.0","36,433.0","39,799.0","37,757.0","41,228.0","35,888.0","31,214.0","20,810.0","28,163.0","32,576.0","37,984.0"
"22","3","  Contributions received by federal employee pension and insurance funds \1\","M318041","1,450.0","1,766.0","1,953.0","2,098.0","2,187.0","2,347.0","2,565.0","2,815.0","2,969.0","3,237.0","3,494.0","3,719.0","3,985.0","4,212.0","4,436.0","4,580.0","4,759.0","4,741.0","4,715.0","4,634.0","4,510.0","4,522.0","4,562.0","4,788.0","4,805.0","4,661.0","4,550.0","4,469.0","4,418.0","4,335.0","4,472.0","4,763.0","4,713.0","4,594.0","4,631.0","4,596.0","4,459.0","4,358.0","4,258.0","4,165.0","4,142.0","4,077.0","4,052.0","3,739.0","3,564.0","3,472.0"
"23","4","  Capital transfers received \2\","M318051","3,484.0","3,640.0","3,729.0","5,425.0","4,910.0","5,027.0","4,602.0","5,205.0","7,317.0","5,232.0","5,347.0","6,317.0","6,726.0","7,788.0","5,933.0","5,846.0","6,270.0","6,791.0","7,308.0","7,292.0","8,603.0","11,328.0","10,973.0","11,002.0","12,369.0","15,082.0","14,574.0","17,059.0","19,679.0","23,893.0","27,643.0","28,829.0","28,223.0","26,352.0","21,733.0","24,681.0","24,550.0","27,705.0","25,846.0","28,600.0","23,323.0","18,254.0","7,310.0","13,866.0","18,803.0","19,181.0"
"24","5","  Financial transactions","M318061","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"25","6","  Other \3\","M318071","105.0","125.0","-97.0","279.0","158.0","-45.0","230.0","305.0","263.0","138.0","138.0","93.0","482.0","820.0","-605.0","-452.0","450.0","1,044.0","115.0","584.0","485.0","407.0","261.0","392.0","209.0","260.0","286.0","1,267.0","1,342.0","3,096.0","4,147.0","5,038.0","4,739.0","5,782.0","5,832.0","6,804.0","7,424.0","7,736.0","7,653.0","8,463.0","8,423.0","8,883.0","9,448.0","10,558.0","10,209.0","15,331.0"
"26","7","Less: Netting and grossing differences","M318081","-3,897.0","-3,672.0","-2,928.0","-3,979.0","-4,145.0","-3,088.0","-4,379.0","-5,965.0","-8,696.0","-8,886.0","-12,372.0","-14,090.0","-19,088.0","-29,814.0","-31,880.0","-36,386.0","-42,131.0","-46,095.0","-44,277.0","-48,589.0","-53,390.0","-50,542.0","-62,874.0","-63,103.0","-70,760.0","-70,124.0","-71,108.0","-73,332.0","-80,809.0","-78,402.0","-78,108.0","-83,641.0","-81,674.0","-91,734.0","-95,996.0","-103,766.0","-110,397.0","-124,267.0","-135,223.0","-214,665.0","-182,261.0","-262,449.0","-232,456.0","-189,444.0","-264,578.0","-257,358.0"
"27","8","  Supplementary medical insurance premiums","M318091",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-3,856.0","-4,254.0","-4,943.0","-5,563.0","-5,739.0","-6,520.0","-8,797.0","-11,590.0","-11,610.0","-12,180.0","-13,242.0","-15,308.0","-17,750.0","-20,241.0","-20,040.0","-20,421.0","-20,747.0","-21,561.0","-21,907.0","-23,753.0","-25,952.0","-28,432.0","-32,140.0","-38,243.0","-45,088.0","-50,198.0","-54,179.0","-56,955.0","-60,653.0","-63,128.0","-64,455.0","-68,637.0","-72,000.0"
"28","9","  Interest receipts","W704MC1","-2,458.0","-2,496.0","-2,659.0","-2,965.0","-3,098.0","-2,962.0","-3,307.0","-4,083.0","-4,745.0","-5,723.0","-7,131.0","-8,438.0","-11,043.0","-14,418.0","-15,302.0","-16,561.0","-17,647.0","-22,331.0","-17,281.0","-18,415.0","-16,727.0","-16,378.0","-22,332.0","-17,443.0","-15,080.0","-11,628.0","-11,691.0","-13,949.0","-12,136.0","-11,682.0","-12,365.0","-13,605.0","-11,418.0","-11,437.0","-11,274.0","-10,029.0","-10,160.0","-10,821.0","-12,128.0","-12,132.0","-29,177.0","-38,901.0","-41,864.0","-37,863.0","-114,491.0","-92,068.0"
"29","10","  Current surplus of government enterprises","W705MC1","1,149.0","1,777.0","2,719.0","2,550.0","2,657.0","3,578.0","3,768.0","3,783.0","3,262.0","3,395.0","2,352.0","3,442.0","3,268.0","2,006.0","1,925.0","2,473.0","2,220.0","587.0","371.0","-354.0","-1,772.0","2,138.0","-916.0","-2,924.0","-5,152.0","-3,407.0","-5,469.0","-4,220.0","-6,162.0","-7,352.0","-7,593.0","-6,483.0","-1,864.0","-5,772.0","-6,780.0","-6,229.0","-763.0","-1,415.0","-2,496.0","-964.0","-1,093.0","1,603.0","7,081.0","7,755.0","11,826.0","9,774.0"
"30","11","  Other \4\","M318111","-2,588.0","-2,953.0","-2,988.0","-3,564.0","-3,704.0","-3,704.0","-4,840.0","-5,665.0","-7,213.0","-6,558.0","-7,593.0","-9,094.0","-11,313.0","-13,546.0","-14,249.0","-17,355.0","-21,141.0","-18,612.0","-20,847.0","-21,023.0","-23,301.0","-24,692.0","-27,446.0","-29,494.0","-35,220.0","-37,339.0","-33,707.0","-35,123.0","-42,090.0","-38,621.0","-36,589.0","-41,646.0","-44,639.0","-48,573.0","-49,510.0","-55,368.0","-61,231.0","-66,943.0","-70,401.0","-147,390.0","-95,036.0","-164,498.0","-134,545.0","-94,881.0","-93,276.0","-103,064.0"
"31","12","Plus: Timing differences","M318121","-1,243.0","-2,882.0","-249.0","293.0","2,465.0","1,317.0","-3,647.0","6,290.0","528.0","3,426.0","3,880.0","-4,902.0","-6,869.0","-8,378.0","7,396.0","7,481.0","-731.0","2,154.0","-23.0","-484.0","3,578.0","2,591.0","2,032.0","-810.0","1,859.0","2,162.0","1,719.0","1,354.0","5,468.0","627.0","-4,193.0","-13,737.0","5,910.0","-18,837.0","23,778.0","28,298.0","33,080.0","12,606.0","-14,882.0","-62,321.0","375.0","-20,249.0","57,561.0","34,372.0","45,930.0","5,722.0"
"32","13","  Taxes on corporate income","M318131","-2,426.0","-3,084.0","1,825.0","-915.0","824.0","207.0","-3,784.0","4,835.0","-801.0","1,372.0","1,635.0","-5,116.0","-4,205.0","-10,868.0","5,631.0","4,539.0","-336.0","2,315.0","2,350.0","-440.0","2,331.0","3,911.0","647.0","-3,135.0","3,991.0","-1,138.0","2,988.0","427.0","3,001.0","-3,562.0","234.0","-12,607.0","6,604.0","-16,326.0","27,160.0","26,955.0","30,594.0","14,550.0","-14,318.0","-55,027.0","2,438.0","17,780.0","43,640.0","25,569.0","27,556.0","-6,870.0"
"33","14","  Federal and state unemployment insurance taxes","M318141","16.0","13.0","-75.0","460.0","376.0","133.0","-73.0","647.0","316.0","364.0","120.0","146.0","143.0","426.0","1,738.0","-58.0","-15.0","587.0","-1,104.0","641.0","896.0","-152.0","235.0","647.0","186.0","679.0","69.0","-172.0","-272.0","-165.0","501.0","421.0","-28.0","1,035.0","-516.0","-89.0","499.0","-434.0","-175.0","-1,033.0","325.0","1,669.0","-410.0","-7,980.0","447.0","-229.0"
"34","15","  Withheld personal income tax and social security contributions","M318151","1,082.0","173.0","-1,686.0","762.0","1,168.0","965.0","185.0","993.0","876.0","1,621.0","2,000.0","-404.0","-3,054.0","2,613.0","204.0","4,343.0","864.0","1,080.0","798.0","77.0","672.0","710.0","421.0","817.0","-137.0","959.0","-466.0","2,297.0","1,861.0","1,388.0","1,934.0","884.0","239.0","-1,554.0","-2,438.0","2,303.0","3,460.0","1,766.0","594.0","-2,536.0","-4,978.0","-6,031.0","422.0","5,030.0","5,186.0","8,196.0"
"35","16","  Excise taxes","M318161","22.0","-42.0","-381.0","-85.0","-118.0","-116.0","-218.0","-185.0","-118.0","-96.0","-126.0","304.0","-56.0","-711.0","-224.0","-1,342.0","-1,244.0","-1,828.0","-2,067.0","-1,691.0","-784.0","-1,191.0","558.0","2.0","-2,966.0","1,385.0","-1,163.0","-1,161.0","778.0","2,989.0","-7,098.0","-2,685.0","-1,134.0","-2,045.0","-618.0","-995.0","-1,499.0","-3,218.0","-685.0","-3,650.0","2,054.0","-431.0","661.0","-278.0","2,367.0","2,759.0"
"36","17","  Other","M318171","63.0","58.0","68.0","71.0","215.0","128.0","243.0","0.0","255.0","165.0","251.0","168.0","303.0","162.0","47.0","-1.0","0.0","0.0","0.0","929.0","463.0","-687.0","171.0","859.0","785.0","277.0","291.0","-37.0","100.0","-23.0","236.0","250.0","229.0","53.0","190.0","124.0","26.0","-58.0","-298.0","-75.0","536.0","-33,236.0","13,248.0","12,031.0","10,374.0","1,866.0"
"37","18","Equals: Federal government current receipts, NIPAs","M318181","185,391.0","189,002.0","185,486.0","205,119.0","231,580.0","262,008.0","274,332.0","303,935.0","355,536.0","405,702.0","473,213.0","519,109.0","603,638.0","626,382.0","630,070.0","697,513.0","763,650.0","804,439.0","885,924.0","943,948.0","1,034,073.0","1,068,185.0","1,103,375.0","1,136,565.0","1,209,733.0","1,311,008.0","1,405,212.0","1,504,941.0","1,640,066.0","1,769,432.0","1,865,105.0","2,056,465.0","2,040,991.0","1,889,305.0","1,869,892.0","1,976,097.0","2,260,655.0","2,503,943.0","2,650,569.0","2,635,107.0","2,251,738.0","2,373,692.0","2,572,673.0","2,645,641.0","3,053,035.0","3,246,583.0"
"38",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","19","Budget outlays","M318191","184,548.0","196,588.0","211,425.0","231,876.0","246,526.0","268,392.0","324,601.0","365,610.0","401,896.0","450,759.0","493,221.0","579,011.0","660,546.0","728,420.0","795,931.0","841,844.0","936,884.0","989,865.0","1,002,232.0","1,062,614.0","1,144,020.0","1,251,775.0","1,323,759.0","1,380,794.0","1,409,111.0","1,461,907.0","1,515,745.0","1,560,483.0","1,601,116.0","1,652,458.0","1,701,842.0","1,788,952.0","1,862,846.0","2,010,894.0","2,159,899.0","2,292,841.0","2,471,955.0","2,655,050.0","2,728,686.0","2,982,459.0","3,517,677.0","3,457,079.0","3,603,059.0","3,536,952.0","3,454,647.0","3,506,089.0"
"40","20","Less: Coverage differences","M318201","-1,889.0","-7,903.0","-18,172.0","-18,902.0","-25,351.0","-28,222.0","-20,052.0","-15,203.0","-13,167.0","-10,426.0","-9,350.0","-3,765.0","-8,311.0","-3,993.0","-12,361.0","-3,962.0","21,412.0","15,621.0","7,339.0","9,488.0","12,597.0","43,797.0","61,850.0","-18,783.0","-51,670.0","-44,438.0","-57,227.0","-48,111.0","-66,104.0","-49,134.0","-43,742.0","-35,565.0","-39,598.0","-10,637.0","4,344.0","8,178.0","27,686.0","33,932.0","-5,806.0","39,997.0","311,465.0","232.0","-24,220.0","63,810.0","5,352.0","-34,605.0"
"41","21","  Federal employee pension and insurance fund transactions \1\","M318221","-15,084.0","-18,202.0","-21,966.0","-23,498.0","-24,178.0","-24,164.0","-23,235.0","-22,749.0","-23,983.0","-28,200.0","-29,473.0","-28,789.0","-27,745.0","-29,500.0","-29,518.0","-32,674.0","-54,652.0","-56,546.0","-55,696.0","-56,959.0","-58,964.0","-59,555.0","-61,573.0","-63,841.0","-62,857.0","-61,637.0","-61,749.0","-61,419.0","-61,784.0","-63,819.0","-65,512.0","-66,607.0","-67,762.0","-68,473.0","-76,455.0","-79,154.0","-82,936.0","-82,876.0","-82,723.0","-88,142.0","-75,480.0","-85,807.0","-97,633.0","-95,039.0","-91,882.0","-92,139.0"
"42","22","    Interest accrued","M318231","-11,324.0","-14,624.0","-18,001.0","-19,439.0","-21,295.0","-23,022.0","-24,915.0","-26,752.0","-29,859.0","-35,780.0","-39,496.0","-42,252.0","-45,130.0","-48,775.0","-51,495.0","-55,339.0","-58,907.0","-63,172.0","-67,186.0","-71,528.0","-75,527.0","-79,787.0","-84,681.0","-88,755.0","-93,635.0","-96,625.0","-100,801.0","-104,035.0","-108,072.0","-112,356.0","-115,150.0","-117,700.0","-121,297.0","-122,299.0","-126,095.0","-131,712.0","-137,506.0","-142,494.0","-146,811.0","-154,064.0","-147,805.0","-153,804.0","-162,887.0","-165,122.0","-168,726.0","-175,089.0"
"43","23","    Contributions accrued (employer)","M318241","-8,685.0","-9,270.0","-10,683.0","-11,849.0","-11,929.0","-12,091.0","-11,798.0","-11,806.0","-12,156.0","-12,792.0","-13,032.0","-13,613.0","-14,485.0","-15,739.0","-15,409.0","-16,421.0","-35,360.0","-35,885.0","-33,360.0","-33,735.0","-34,171.0","-33,878.0","-34,824.0","-34,844.0","-30,853.0","-29,351.0","-28,497.0","-27,294.0","-27,110.0","-27,157.0","-27,668.0","-28,480.0","-29,625.0","-32,021.0","-42,753.0","-44,225.0","-48,097.0","-49,312.0","-51,113.0","-54,538.0","-56,964.0","-64,616.0","-68,451.0","-68,768.0","-66,303.0","-65,364.0"
"44","24","    Benefits paid","M318251","4,921.0","5,686.0","6,710.0","7,782.0","9,038.0","10,937.0","13,465.0","15,793.0","18,013.0","20,351.0","23,029.0","27,049.0","31,840.0","34,982.0","37,343.0","39,041.0","39,572.0","42,465.0","44,808.0","48,248.0","50,672.0","54,043.0","57,868.0","59,690.0","61,552.0","64,263.0","67,461.0","69,814.0","73,294.0","75,594.0","77,194.0","79,469.0","83,052.0","85,715.0","92,185.0","96,535.0","102,419.0","108,682.0","114,929.0","120,164.0","129,109.0","132,341.0","133,469.0","138,615.0","142,911.0","148,078.0"
"45","25","    Administrative expenses","M318261","4.0","6.0","8.0","8.0","8.0","12.0","13.0","16.0","19.0","21.0","26.0","27.0","30.0","32.0","43.0","45.0","43.0","46.0","42.0","56.0","62.0","67.0","64.0","68.0","79.0","76.0","88.0","96.0","104.0","100.0","112.0","104.0","108.0","132.0","208.0","248.0","248.0","248.0","272.0","296.0","180.0","272.0","236.0","236.0","236.0","236.0"
"46","26","  Financing disbursements from credit programs \5\","M318271",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,184.0","1,324.0","-2,304.0","-4,344.0","-11,728.0","-20,724.0","-11,008.0","-15,388.0","-17,128.0","-23,290.0","-15,734.0","-6,916.0","4,228.0","5,677.0","15,996.0","-17,802.0","-33,303.0","-404,207.0","-157,435.0","-60,685.0","-98,840.0","-137,116.0","-108,940.0"
"47","27","  Other differences in funds covered \6\","M318281","-2,209.0","-2,722.0","-3,596.0","-4,175.0","-6,240.0","-8,562.0","-15,735.0","-16,243.0","-17,166.0","-19,466.0","-22,572.0","-26,082.0","-34,537.0","-32,257.0","-28,152.0","-26,299.0","-8,642.0","-2,506.0","-1,598.0","-304.0","-303.0","-364.0","-291.0","108.0","-293.0","-397.0","479.0","448.0","858.0","1,557.0","3,078.0","2,780.0","4,508.0","4,780.0","8,080.0","2,990.0","5,610.0","6,028.0","6,244.0","6,709.0","6,757.0","7,785.0","7,471.0","8,296.0","7,825.0","7,898.0"
"48","28","  Net investment \7\","M318291","6,200.0","3,683.0","549.0","-727.0","74.0","-494.0","793.0","3,843.0","5,416.0","6,022.0","9,893.0","11,684.0","14,137.0","16,681.0","21,467.0","27,083.0","37,432.0","41,109.0","44,813.0","35,000.0","28,745.0","27,239.0","21,585.0","14,774.0","8,252.0","-1,136.0","-3,285.0","-2,596.0","-9,657.0","-6,526.0","-4,101.0","-2,876.0","-1,500.0","12,042.0","24,390.0","30,039.0","34,284.0","36,155.0","38,720.0","44,807.0","50,746.0","52,927.0","45,525.0","26,387.0","4,986.0","-4,593.0"
"49","29","  Capital transfers paid \8\","M318301","6,125.0","5,649.0","5,513.0","5,801.0","6,354.0","7,102.0","8,300.0","9,982.0","11,383.0","11,382.0","13,578.0","16,163.0","16,605.0","14,898.0","15,276.0","16,974.0","18,921.0","20,893.0","18,993.0","19,616.0","19,654.0","20,818.0","21,547.0","21,946.0","23,379.0","24,489.0","27,364.0","27,915.0","29,053.0","28,268.0","31,651.0","35,687.0","41,552.0","45,541.0","46,204.0","47,265.0","65,634.0","52,308.0","53,576.0","59,666.0","236,686.0","143,317.0","102,503.0","98,465.0","83,390.0","72,809.0"
"50","30","  Financial transactions","M318311","3,200.0","3,648.0","2,361.0","3,473.0","1,142.0","4,827.0","11,408.0","10,906.0","12,323.0","20,529.0","19,984.0","25,077.0","30,719.0","28,611.0","15,498.0","13,639.0","29,498.0","14,052.0","1,632.0","11,774.0","23,184.0","55,765.0","79,959.0","9,348.0","-21,883.0","-4,070.0","-8,293.0","-183.0","7,879.0","8,161.0","7,535.0","12,476.0","7,882.0","10,654.0","9,426.0","2,851.0","808.0","7,467.0","10,324.0","61,535.0","514,572.0","39,996.0","-21,484.0","124,973.0","140,406.0","92,284.0"
"51","31","    Loan disbursements less loan repayments and sales","M318321","3,202.0","3,618.0","2,406.0","3,244.0","1,158.0","4,809.0","11,678.0","10,847.0","12,639.0","21,173.0","20,134.0","25,558.0","29,397.0","26,640.0","19,432.0","15,468.0","25,871.0","12,455.0","-201.0","-53.0","11,995.0","5,385.0","12,738.0","4,357.0","4,757.0","424.0","11,778.0","12,834.0","21,315.0","13,503.0","20,230.0","12,659.0","17,198.0","16,680.0","14,896.0","12,044.0","7,240.0","16,136.0","18,721.0","37,165.0","321,975.0","144,641.0","16,840.0","124,004.0","154,488.0","133,099.0"
"52","32","    Deposit insurance","B1069C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","947.0","1,268.0","1,500.0","2,311.0","704.0","-3,765.0","-1,673.0","1,588.0","23,790.0","57,876.0","69,637.0","5,524.0","-22,816.0","-1,982.0","-14,760.0","-7,786.0","-9,820.0","-3,113.0","-3,207.0","-2,074.0","-814.0","728.0","935.0","220.0","461.0","1,152.0","813.0","22,454.0","33,800.0","29,428.0","1,223.0","5,149.0","-625.0","-3,968.0"
"53","33","    Net purchases of foreign currency","M318341","344.0","305.0","206.0","138.0","8.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"54","34","    Other","M318351","-346.0","-275.0","-251.0","91.0","-24.0","16.0","-270.0","59.0","-316.0","-644.0","-150.0","-481.0","375.0","703.0","-5,434.0","-4,140.0","2,923.0","5,362.0","3,506.0","10,239.0","-12,601.0","-7,496.0","-2,416.0","-533.0","-3,824.0","-2,512.0","-5,311.0","-5,231.0","-3,616.0","-2,229.0","-9,488.0","1,891.0","-8,502.0","-6,754.0","-6,405.0","-9,413.0","-6,893.0","-9,821.0","-9,210.0","1,916.0","158,797.0","-134,073.0","-39,547.0","-4,180.0","-13,457.0","-36,847.0"
"55","35","  Net purchases of nonproduced assets","M318361","-106.0","-54.0","-703.0","225.0","-2,437.0","-6,034.0","-1,593.0","-1,048.0","-1,407.0","-870.0","-1,507.0","-2,412.0","-7,666.0","-2,249.0","-7,368.0","-3,350.0","-1,746.0","-1,939.0","-1,409.0","-127.0","-751.0","-1,005.0","135.0","189.0","160.0","135.0","-7,848.0","-986.0","-12,161.0","-6,207.0","-1,495.0","-591.0","-1,571.0","-76.0","-964.0","-606.0","-2,095.0","-1,802.0","-14,877.0","-11,911.0","-18,385.0","-1,222.0","-691.0","-1,275.0","-3,080.0","-2,705.0"
