"","Table 6#4D# Full-Time and Part-Time Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"50","43","    Transportation and warehousing","N4243C0",4192,4321,4470,4417,4265,4224,4292,4379
"51","44","      Air transportation","N4244C0",554,581,611,616,562,527,514,500
"52","45","      Rail transportation","N4245C0",219,219,208,201,194,190,193,198
"53","46","      Water transportation","N4246C0",52,54,55,54,54,55,56,60
"54","47","      Truck transportation","N4247C0",1364,1404,1444,1414,1367,1354,1385,1420
"55","48","      Transit and ground passenger transportation","N4248C0",378,391,390,402,403,404,411,417
"56","49","      Pipeline transportation","N4249C0",48,46,45,45,42,40,38,38
"57","50","      Other transportation and support activities \3\","N4250C0",1106,1137,1198,1173,1127,1120,1133,1159
"58","51","      Warehousing and storage","N4251C0",472,490,518,512,516,533,562,586
"59","52","    Information","N4252C0",3199,3375,3640,3614,3381,3185,3115,3079
"60","53","      Publishing industries (includes software)","N4253C0",999,1028,1083,1063,998,952,936,939
"61","54","      Motion picture and sound recording industries","N4254C0",381,391,393,375,393,382,390,382
"62","55","      Broadcasting and telecommunications","N4255C0",1414,1488,1609,1640,1507,1402,1355,1323
"63","56","      Information and data processing services","N4256C0",405,467,555,536,484,449,433,436
"64","57","    Finance and insurance","N4257C0",5652,5781,5858,5850,5887,5993,6013,6101
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4258C0",2526,2579,2568,2622,2706,2812,2842,2899
"66","59","      Securities, commodity contracts, and investments","N4259C0",801,851,924,865,818,788,792,822
"67","60","      Insurance carriers and related activities","N4260C0",2253,2271,2279,2276,2277,2310,2293,2291
"68","61","      Funds, trusts, and other financial vehicles","N4261C0",72,80,87,87,86,84,86,89
"69","62","    Real estate and rental and leasing","N4262C0",1982,2041,2103,2119,2112,2130,2163,2207
"70","63","      Real estate","N4263C0",1333,1367,1400,1418,1436,1464,1492,1535
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4264C0",649,673,703,702,675,666,671,673
"72","65","    Professional, scientific, and technical services","N4265C0",6722,7089,7515,7317,7103,7088,7223,7497
"73","66","      Legal services","N4266C0",1291,1338,1359,1250,1279,1311,1323,1331
"74","67","      Computer systems design and related services","N4267C0",964,1116,1316,1288,1148,1119,1149,1201
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4268C0",4466,4636,4839,4780,4676,4658,4751,4964
"76","69","    Management of companies and enterprises \6\","N4269C0",1714,1748,1800,1714,1685,1686,1704,1748
"77","70","    Administrative and waste management services","N4270C0",8084,8559,8082,7789,7630,7532,7816,8139
"78","71","      Administrative and support services","N4271C0",7785,8250,7768,7472,7311,7211,7488,7800
"79","72","      Waste management and remediation services","N4272C0",298,310,314,318,319,321,328,339
"80","73","    Educational services","N4273C0",2326,2405,2500,2583,2709,2760,2829,2911
"81","74","    Health care and social assistance","N4274C0",12422,12713,13112,13604,14043,14402,14683,15021
"82","75","      Ambulatory health care services","N4275C0",4285,4352,4507,4603,4758,4918,5075,5245
"83","76","      Hospitals","N4290C0",3848,3899,3943,4028,4147,4235,4277,4331
"84","77","      Nursing and residential care facilities","N4291C0",2484,2527,2608,2684,2746,2787,2819,2850
"85","78","      Social assistance","N4292C0",1804,1935,2054,2289,2392,2462,2512,2595
"86","79","    Arts, entertainment, and recreation","N4293C0",1647,1702,1804,1891,1910,1929,1966,1981
"87","80","      Performing arts, spectator sports, museums, and related activities","N4294C0",452,464,487,494,495,496,500,500
"88","81","      Amusements, gambling, and recreation industries","N4295C0",1195,1237,1318,1397,1415,1433,1466,1481
"89","82","    Accommodation and food services","N4296C0",9532,9778,10116,10248,10345,10508,10781,11027
"90","83","      Accommodation","N4297C0",1745,1806,1877,1852,1793,1795,1814,1837
"91","84","      Food services and drinking places","N4298C0",7787,7972,8239,8396,8551,8713,8967,9190
"92","85","    Other services, except government","N4299C0",6394,6484,6502,6626,6859,6892,6940,6901
"93","86","  Government","A4276C0",22324,22613,23095,23428,23797,23928,24023,24128
"94","87","    Federal","A4277C0",5193,5138,5236,5076,5116,5166,5164,5091
"95","88","      General government","A4278C0",4199,4146,4260,4114,4187,4263,4270,4208
"96","89","        Civilian","B4279C0",1877,1855,1976,1825,1865,1915,1953,1958
"97","90","        Military \7\","B4280C0",2322,2291,2284,2289,2322,2348,2317,2250
"98","91","      Government enterprises","B4281C0",994,992,976,962,929,903,894,883
"99","92","    State and local","A4282C0",17131,17475,17859,18352,18681,18762,18859,19037
"100","93","      General government","A4283C0",16191,16530,16904,17353,17637,17710,17803,17977
"101","94","        Education","B4284C0",8932,9152,9389,9450,9662,9741,9807,9915
"102","95","        Other \8\","B4285C0",7259,7378,7515,7903,7975,7969,7996,8062
"103","96","      Government enterprises \8\","B4286C0",940,945,955,999,1044,1052,1056,1060
"104","97","Rest of the world \9\","A4287C0",-468,-514,-453,-626,-626,-691,-733,-764
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
