"","Table 5#4#3A# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"25","18","    Religious","C309RA3",33.932,33.778,24.919,15.387,7.838,6.875,9.013,10.264,11.42,13.23,12.402,14.944,14.655,6.567,1.175,2.041,4.718,11.747,14.52,25.979,38.304,43.773,42.656,36.705,43.214,55.77,64.398,68.654,71.099,72.741,80.516,86.233,85.655,87.162,82.922,80.513,94.363,86.714,78.066,75.486,64.612,57.481,46.488,44.951,40.208,41.017,35.379,37.765,38.947,44.646,51.492,50.732,49.106,44.377,50.239,57.936,63.888,69.228,71.451,73.256,76.627,70.914,64.649,57.727,62.297,59.739,64.226,65.829,81.266
"26","19","    Educational","C310RA3",16.615,17.688,17.18,10.839,3.194,2.733,3.275,7.218,6.538,6.203,6.053,7.61,8.198,3.044,0.703,1.222,3.344,11.369,12.003,15.675,17.133,18.835,19.489,19.329,23.347,29.781,25.81,28.655,25.742,28.961,26.72,28.842,31.132,34.346,33.621,36.487,37.015,44.745,46.072,48.034,42.182,33.896,34.042,33.183,28.403,19.169,15.469,16.406,15.9,17.187,19.182,25.099,24.789,26.435,28.174,28.782,33.076,38.563,54.119,41.93,45.88,49.904,50.567,52.303,52.426,52.228,57.033,68.248,84.999
"27","20","    Other buildings \3\","C312RA3",21.491,19.978,14.506,8.028,6.291,5.723,5.882,7.297,8.583,10.408,10.944,8.801,9.072,4.024,1.406,2.44,4.564,12.075,7.116,11.293,13.477,12.839,13.281,12.061,13.803,16.918,13.542,16.122,16.858,21.929,26.89,32.233,33.905,33.398,38.738,47.412,53.497,51.584,47.465,30.702,33.306,31.512,29.833,36.402,39.798,28.524,19.836,19.492,19.319,23.312,31.137,36.726,40.269,41.617,48.735,60.104,64.388,64.235,63.802,65.06,61.99,67.678,51.13,35.862,43.844,45.86,55.607,77.23,89.095
"28","21","    Railroads","C573RA3",278.604,274.875,191.506,111.181,93.529,116.45,117.51,139.644,151.07,112.789,128.971,139.986,156.441,166.362,197.869,245.352,237.894,197.15,182.132,179.225,167.593,149.565,161.914,173.99,166.156,135.915,125.652,133.486,123.086,89.155,81.624,83.553,71.611,71.935,80.848,86.004,90.938,102.899,93.535,108.393,110.354,94.057,97.667,101.34,106.273,107.056,91.466,114.396,122.099,143.565,141.884,130.069,124.926,111.888,103.842,119.298,135.722,98.851,83.139,76.901,83.674,80.415,73.132,88.207,87.265,90.982,93.223,111.99,122.875
"29","22","    Farm","C316RA3",41.341,22.4,11.167,4.292,6.963,9.416,21.065,26.626,31.641,27.349,31.378,24.94,30.677,27.393,33.305,32.889,30.152,119.753,113.469,106.094,103.098,104.262,98.212,103.895,93.133,89.903,84.828,87.646,81.293,92.446,123.633,133.331,128.746,141.181,142.712,140.882,142.121,146.569,163.01,145.796,143.323,149.688,140.971,121.394,158.947,184.105,192.554,197.952,206.86,222.085,222.36,179.828,149.08,111.778,94.626,90.467,60.72,55.637,65.347,57.868,59.113,63.444,61.469,53.223,72.841,66.74,59.956,71.161,71.905
"30","23","    Other \4\","B317RA3",25.59,21.383,16.56,12.915,14.55,10.209,7.931,6.351,7.931,7.449,7.154,8.146,7.449,4.126,1.447,2.465,4.019,8.842,10.155,8.494,10.289,16.024,7.985,10.155,14.416,15.032,19.668,14.684,21.731,20.901,23.017,31.974,28.241,30.529,33.387,35.94,43.202,48.509,43.706,52.605,63.812,74.983,73.429,65.496,62.414,59.336,58.203,59.409,68.074,77.826,91.487,82.4,82.4,84.688,97.621,128.726,181.996,147.314,164.177,129.849,147.294,170.56,165.757,199.441,180.834,154.787,175.271,138.856,114.511
"31","24","    Brokers' commissions on sale of structures","B321RA3",52.483,40.982,27.972,20.658,21.44,18.872,20.826,24.064,27.247,20.435,21.607,25.962,32.886,16.582,11.725,13.623,23.227,57.229,40.982,34.17,27.247,27.749,27.247,25.683,29.257,30.429,35.733,35.119,35.733,40.478,41.763,47.991,50.82,54.602,53.605,58.561,72.617,77.09,72.134,61.718,54.328,43.912,35.821,31.928,47.87,56.686,50.293,48.309,62.848,58.374,53.287,48.331,44.822,41.752,42.629,53.945,63.418,62.146,63.812,67.277,72.189,74.251,64.076,61.795,61.371,66.032,72.968,80.141,86.831
"32","25","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","26","Residential","B012RA3",13.644,8.222,6.848,3.571,2.865,3.947,5.561,7.068,7.68,7.775,11.089,12.498,13.232,6.639,3.986,3.452,4.031,17.042,21.872,26.259,24.267,33.257,27.786,27.282,28.238,30.609,35.582,32.572,30.538,30.826,38.728,35.965,36.065,39.548,44.211,46.77,45.279,41.126,39.781,45.155,46.376,43.437,55.528,65.371,64.765,51.057,44.337,55.034,67.018,71.202,68.394,53.594,49.179,40.036,57.04,65.569,66.498,74.731,76.183,75.326,72.97,66.567,60.066,68.563,74.269,81.581,78.891,85.348,87.01
"34","27","  Permanent site","B943RA3",18.983,10.177,9.261,4.176,2.627,3.05,5.796,9.274,10.383,10.852,15.118,16.773,18.291,8.365,4.098,3.011,3.359,19.757,26.276,32.599,30.776,45.283,36.159,34.065,35.183,38.689,45.715,39.578,35.98,36.897,46.997,41.521,41.294,47.093,53.421,57.019,54.52,47.838,45.601,53.585,55.132,49.873,67.205,81.301,80.925,58.552,44.825,58.917,76.02,79.511,74.403,52.27,48.209,37.576,61.4,72.145,71.215,79.494,80.56,77.665,75.747,68.42,58.898,68.684,73.316,82.09,76.678,83.875,84.329
"35","28","    Single-family structures","B944RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.566,43.951,38.858,36.82,39.274,41.935,46.012,44.96,40.039,39.24,43.139,40.959,35.585,49.399,58.718,57.438,44.081,40.248,56.046,72.004,74.374,65.908,43.333,39.426,30.245,52.493,60.912,60.386,69.128,74.674,73.778,71.657,65.126,57.072,69.314,75.907,84.002,76.256,83.308,83.04
"36","29","    Multifamily structures","B292RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.801,66.64,58.634,73.869,107.419,144.178,143.214,128.728,107.927,93.749,135.437,168.483,164.91,209.875,262.779,270.158,173.95,77.588,75.152,99.639,112.244,137.097,122.742,118.046,96.222,131.752,161.018,156.857,161.51,127.421,108.731,108.457,94.62,72.918,61.967,49.959,64.548,80.009,88.461,95.304
"37","30","  Other structures","A863RA3",5.822,5.264,3.297,2.623,3.104,5.067,5.053,3.772,3.673,3.247,5.129,6.145,5.774,4.016,3.691,3.948,4.833,12.989,15.389,17.001,14.8,15.923,15.656,17.394,18.111,18.853,20.869,22.318,22.522,21.911,26.616,27.722,28.283,28.458,30.714,31.779,31.733,31.251,31.209,32.758,33.502,33.874,38.488,42.21,41.268,40.163,43.55,49.34,53.941,59.133,59.71,55.703,50.752,43.781,50.807,56.123,59.75,67.927,69.942,72.048,69.052,63.974,61.785,68.466,75.705,80.911,82.202,87.584,91.02
"38","31","    Manufactured homes","B945RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.482,2.896,3.426,1.754,2.08,2.216,3.562,3.657,3.984,6.499,9.653,10.442,10.24,11.559,11.326,11.232,14.239,18.242,24.966,30.259,33.74,38.388,54.447,68.795,65.734,89.507,114.206,121.123,83.924,57.163,68.649,81.967,84.598,84.936,70.476,72.271,68.212,88.04,89.221,85.194,73.502,71.886,67.749,63.301,58.916,51.298,64.04,81.261,98.436,112.191,123.963,128.183
"39","32","    Dormitories","B295RA3",99.798,83.52,32.33,22.676,20.094,23.35,26.268,29.748,36.035,32.33,38.841,37.494,36.259,17.849,4.939,7.521,11.338,37.943,26.942,30.759,36.259,33.678,34.014,32.106,45.914,50.853,56.691,72.856,81.275,103.951,110.462,107.336,145.064,237.79,204.889,252.379,273.242,252.741,198.062,162.227,126.859,82.964,56.252,33.794,38.855,30.2,50.297,27.711,12.08,18.545,10.464,14.121,26.712,33.432,41.429,49.34,44.151,49,70.182,64.823,67.205,75.541,26.286,34.198,50.531,29.264,42.45,48.83,65.311
"40","33","    Improvements","B946RA3",6.938,6.39,4.046,2.978,4.18,5.197,6.615,7.431,7.316,6.541,7.047,7.133,7.323,4.117,2.722,3.452,5.554,17.677,22.027,25.55,22.565,24.037,23.286,25.285,26.459,26.827,29.302,31.095,32.631,32.126,36.261,38.675,39.441,36.259,37.563,37.544,36.634,37.552,37.993,37.096,36.538,37.83,39.677,40.43,37.228,40.277,45.674,49.863,52.077,57.867,59.362,60.159,55.768,48.28,50.955,57.516,61.496,73.717,77.122,78.124,75.957,69.815,66.811,73.906,83.241,88.03,87.969,91.766,93.454
"41","34","    Brokers' commissions on sale of structures","B758RA3",6.076,5.335,4.087,4.056,3.372,8.406,5.767,4.676,4.45,3.917,4.185,5.145,5.114,4.928,5.253,6.181,6.701,10.138,8.646,6.976,7.064,8.363,8.893,10.107,10.295,11.839,12.925,12.158,11.556,13.105,16.776,15.303,15.623,18.342,21.367,22.29,22.827,20.562,20.51,23.028,22.602,24.186,31.808,36.404,37.061,34.651,37.611,46.118,54.97,59.951,57.9,46.239,37.967,31.225,44.382,48.591,54.312,60.902,60.076,62.146,58.402,55.656,57.067,61.583,63.373,65.685,66.503,74.156,81.569
"42","35","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","  Private fixed investment in new structures \5\","W040RA3",19.887,14.868,10.548,6.026,4.724,5.411,6.996,9.587,11.341,10.135,12.13,13.498,15.134,8.17,5.142,5.808,7.551,20.492,23.348,27.193,25.72,32.402,29.651,29.176,30.884,32.766,36.776,36.71,35.578,34.961,39.882,39.494,39.894,42.749,45.587,49.141,51.435,50.678,49.19,52.732,54.889,53.133,59.859,66.44,68.168,59.061,51.363,57.929,65.755,72.057,74.494,68.276,69.248,63.495,68.443,78.503,81.627,81.715,81.584,80.778,80.417,77.251,68.652,71.591,74.903,79.777,80.051,85.514,88.599
"45","37","    Nonresidential structures","A771RA3",27.309,23.393,15.125,9.33,7.24,8.125,8.988,11.761,14.897,11.967,12.709,14.468,16.964,10.474,7.615,9.957,13.076,23.996,22.945,24.898,24.385,26.289,28.43,28.309,30.832,31.89,33.714,37.96,37.81,35.731,36.779,39.762,40.448,42.437,42.909,47.249,54.376,57.844,56.192,57.002,60.145,60.467,59.612,61.472,66.388,64.896,58.088,59.543,61.881,70.781,79.846,84.531,91.347,89.756,80.141,91.279,97.725,87.048,84.573,85.039,86.793,88.2,78.465,73.783,73.187,74.413,79.086,83.413,89.113
"46","38","    Residential structures","A756RA3",14.796,8.73,7.333,3.636,2.91,3.469,5.681,8.225,8.956,9.053,12.048,13.167,14.223,6.711,3.459,2.932,3.721,17.958,23.541,28.715,26.565,36.583,30.36,29.631,30.734,33.204,38.769,35.506,33.616,34.154,42.083,39.062,39.238,42.746,47.423,50.331,48.772,44.668,43.319,48.988,50.354,46.955,59.836,70.292,69.384,53.969,45.524,56.476,68.948,73.082,70.054,54.89,50.992,41.561,59.002,68.205,68.613,77.441,79.176,77.365,75.32,68.485,60.796,69.856,76.271,84.041,80.81,87.182,88.16
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
