"","Table 8#14# Consumption of Fixed Capital by Legal Form of Organi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"19","12","        Owner-occupied","B2607C",0.8,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1,1.1,1.2,1.2,1.4,1.8,2.1,2.2,2.5,2.8,3.1,3.3,3.5,3.8,4.2,4.4,4.6,4.9,5,5.2,5.3,5.5,5.9,6.3,6.8,7.3,8,8.8,9.5,10.5,12.3,13.3,15.1,16.8,18.6,21.3,24.8,29.2,33.3,36.8,39.7,41.4,43.2,47.3,48.8,52.4,56.2,64.2,63.7,67.6,81.5,75.3,82.7,85.1,87.6,92.7,97.6,107.8,112.7,124.1
"20","13","        Tenant-occupied","B2608C",0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,0.9,0.9,1,1,1,1.1,1.1,1.1,1.2,1.4,1.5,1.6,1.7,1.8,2,2.1,2.2,2.5,2.6,2.8,3.1,3.5,4,4.5,4.8,5.3,6.1,6.9,7.9,8.7,9.3,9.5,9.9,10.3,10.9,11.6,12.2,12.8,13.3,13.6,13.8,14.4,16.3,15.5,16.1,16.8,17.3,18.3,19.1,20.2
"21","14","      Farms owned by nonoperator landlords","B2609C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
"22","15","      Nonfarm nonresidential properties","B2610C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1.1,1.1,1.2
"23","16","    Fixed assets owned and used by nonprofit institutions serving individuals","B1621C",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.2,2.4,2.7,2.9,3.3,3.7,4.2,5,5.8,6.3,6.9,7.8,8.7,9.9,10.9,12.1,12.8,13.5,14.2,15.2,16.4,17.6,19.2,21.2,23.3,25.5,27,28.2,29.7,30.5,32.4,34.9,34.4,37.4,39.7
"24","17","    Proprietors' income","B1619C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.4,1.5,1.6,1.6,1.5,1.6,1.7,1.8,1.8,1.9,2,2,2.1,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.5,2.6
"25","18","Government","A264RC",0.9,0.9,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.3,9,10.2,11,10.7,9.7,8.8,8,8.7,9.6,10.5,11.2,11.8,12.9,13.7,14,14.6,15.2,15.7,16.7,17.6,18.3,19.1,20.2,21.7,23.4,25.2,27.3,29.2,31.5,33.8,37.9,41.8,44.4,47.2,50.8,55.5,62.7,71,79,83.3,88.8,94,100.8,107.8,115,123.2,131.8,140,145.3,152.6,160.3,168.1,174.3,180.9,187.6,197.9,210.9,222.4
"26","19","  General government","A265RC",0.8,0.8,0.8,0.7,0.8,0.9,0.9,1,1.1,1.2,1.2,1.3,1.8,3.2,6,8.7,9.9,10.6,10.3,9.3,8.3,7.5,8.1,9,9.8,10.5,11.1,12,12.8,13,13.6,14.1,14.6,15.4,16.3,16.9,17.6,18.6,19.9,21.5,23,24.8,26.4,28.4,30.3,33.7,36.7,38.9,41.2,44.1,47.9,53.9,61,68.1,71.9,76.7,81,87.1,93.2,99.4,106.3,113.9,121.2,125.5,131.5,137.5,144.3,149.2,154.6,160.1,168.6,179.5,187.7
"27","20","    Federal","B995RC",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.8,2.1,4.8,7.6,8.8,9.4,8.8,7.6,6.6,5.8,6.1,6.8,7.6,8.3,8.7,9.2,9.8,9.9,10.3,10.6,10.9,11.5,12.1,12.3,12.6,13.1,13.9,14.8,15.6,16.4,17,18.2,18.9,19.6,20.8,22.3,23.6,25.3,26.8,29.6,33.2,37.8,40.7,44.6,47.3,50.8,54.2,57.9,61.9,65.9,70,72.1,75.1,77.5,79.9,81,82.2,83.3,86.1,89.9,92.3
"28","21","    State and local","B986RC",0.6,0.6,0.6,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.1,1.2,1.1,1.1,1.2,1.4,1.7,1.7,1.7,2,2.2,2.2,2.2,2.4,2.8,3,3.1,3.3,3.5,3.7,3.9,4.2,4.5,4.9,5.5,6,6.6,7.4,8.4,9.4,10.2,11.3,14.1,16,16.6,17.5,18.8,21,24.3,27.8,30.3,31.2,32,33.7,36.2,39,41.6,44.4,48.1,51.2,53.4,56.4,60,64.4,68.2,72.4,76.8,82.6,89.5,95.4
"29","22","  Government enterprises","A266RC",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.5,2.8,3.1,3.5,4.3,5.1,5.5,6,6.7,7.6,8.8,10,10.9,11.5,12.2,12.9,13.8,14.6,15.6,16.9,17.9,18.8,19.8,21.1,22.9,23.9,25,26.3,27.6,29.3,31.5,34.8
"30","23","    Federal","B833RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.9,1,1,1.2,1.3,1.5,1.7,1.8,1.8,2,2.1,2.2,2.3,2.6,2.8,3.1,3.3,3.6,3.9,4.1,4.3,4.6,4.9,5.4,6,6.5
"31","24","    State and local","B846RC",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2.1,2.4,2.6,3,3.6,4.3,4.6,5,5.6,6.4,7.4,8.5,9.2,9.7,10.3,11,11.7,12.5,13.3,14.3,15,15.7,16.5,17.5,18.9,19.7,20.7,21.7,22.7,23.8,25.5,28.3
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  Nonfarm business","B1667C",7.7,7.6,7.1,6.2,5.9,6.2,6.2,6.3,7,7.3,7.2,7.6,8.5,9.5,9.5,9.7,10,11.8,14.5,17,18.4,19.8,22.9,24.3,25.7,26.9,28.6,32,34.9,36.2,37.6,39.2,40.2,41.8,43.4,45.7,49,53.4,58.4,64.3,71.2,78.4,86.3,95.8,105.2,122.6,144,158.7,177.8,203.3,236.4,272.7,313.4,346.7,362.8,384.3,414.5,443.7,472.3,507.2,549.5,575.3,604.3,638.6,657.8,713.7,742.8,781.6,832.4,884.6,947.6,1020.8,1112.2
"34","26","  Nonfarm business less housing","B1668C",6.4,6.3,5.9,5.3,4.9,5.1,5.1,5.2,5.8,6,5.9,6.2,6.9,7.8,7.7,7.8,7.9,9.5,11.6,13.7,14.9,16,18.6,19.8,20.9,21.9,23.2,26.1,28.8,29.9,31,32.2,33,34.2,35.5,37.4,40.1,43.8,48,53,58.7,65,71.4,78.4,86.2,100.8,119.6,132.1,147.5,168.1,195.4,226.1,261.9,291.2,304.9,323.9,349.2,375.6,399.4,429.2,462.6,488,512.5,532.5,556.9,595.9,630.2,665.4,709.4,755.2,806.2,872.5,950.5
