"","Table 8#21# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"19","11","    Imputations (14-17)","A1681C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","12","    Excluding imputations (10-11)","A1683C",1.1,1,0.5,0.4,0.4,0.6,0.1,0.1,0.4,1.3,1.2,1.8,1.4,0.2,-1.9,-1.7,-0.5,7.8,11.9,6.9,6.5,2.2,4.4,3.1,1.2,2.5,2.9,5.2,7.1,3.2,1.2,5.6,7,6.7,7.9,10.5,9.3,7,6.9,4.9,4.9,7.6,4.7,0.7,13.3,12.6,26.8,14.8,-3,-4,8.9,20.4,19.7,15.9,-14.8,-66.7,-88.9,-116.4,-128.6,-87.8,-60.3,-42.5,4,-4.4,-36.1,-70.3,-63.9,-70.9,-82.3,-155.2,-227.2,-342.1,-326.9
"21","13","    Exports of goods and services and income receipts","A1073C",7.1,5.5,3.7,2.5,2.4,3,3.3,3.6,4.7,4.4,4.6,5.4,6.1,5,4.6,5.5,7.4,15.2,20.3,17.5,16.4,14.5,19.8,19.2,18.1,18.8,21.1,25.2,28.2,24.4,25,30.2,31.4,33.5,36.1,41,43.5,47.2,50.2,55.6,61.2,69.9,73.4,82.6,115.6,154.6,164.4,181.7,196.6,233.5,299.1,360.7,398.4,385,379.5,426,416.1,431.4,488.5,598.7,686.2,745.5,769.3,787.8,812.5,909.3,1050.8,1119.7,1247.7,1251.1,1306.2,1484.5,1351.1
"22","14","      Imputations (138)","B1607C",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.5,0.6,0.8,1.2,1.5,1.4,1.5,1.8,2.1,2.4,2.3,2.9,4.2,4.9,6.1,6.6,8.1,8.6,8.5,9.2,10,10.9,11.9,13.3,14.5,15.5,17.3,18.5,16,21.1,18.3
"23","15","      Excluding imputations (13-14)","A1672C",7,5.4,3.6,2.5,2.4,3,3.3,3.5,4.7,4.4,4.6,5.4,6.1,5,4.6,5.5,7.4,15.1,20.2,17.5,16.3,14.4,19.7,19.1,18,18.7,21,25,28.1,24.2,24.8,30,31.2,33.3,35.8,40.7,43.2,46.9,49.9,55.2,60.7,69.3,72.9,82.1,114.8,153.4,162.9,180.3,195.1,231.7,297,358.3,396.1,382.1,375.2,421.1,410.1,424.7,480.4,590.2,677.7,736.3,759.2,776.9,800.5,896,1036.3,1104.2,1230.4,1232.6,1290.2,1463.5,1332.8
"24","16","    Imports of goods and services and income payments","A1074C",5.9,4.5,3.2,2.1,2.1,2.4,3.2,3.5,4.3,3.1,3.4,3.7,4.7,4.8,6.5,7.2,7.9,7.3,8.4,10.6,9.8,12.3,15.4,16.1,16.9,16.3,18.2,20,21.1,21.2,23.8,24.6,24.5,26.8,28.2,30.5,34.2,40.1,43.3,50.7,56.3,62.3,68.8,82,102.3,142,137.7,166.9,199.6,237.6,290.2,340.4,378.7,369.1,394.2,492.7,505,547.8,617,686.6,746.5,787.9,765.3,792.3,848.6,979.6,1114.7,1190.6,1330,1406.2,1533.4,1826.6,1678
"25","17","      Imputations (138)","B1607C",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.5,0.6,0.8,1.2,1.5,1.4,1.5,1.8,2.1,2.4,2.3,2.9,4.2,4.9,6.1,6.6,8.1,8.6,8.5,9.2,10,10.9,11.9,13.3,14.5,15.5,17.3,18.5,16,21.1,18.3
"26","18","      Excluding imputations (16-17)","A1673C",5.9,4.4,3.1,2.1,2,2.4,3.1,3.4,4.3,3,3.4,3.6,4.7,4.8,6.5,7.2,7.9,7.3,8.3,10.5,9.8,12.2,15.3,16,16.8,16.2,18.1,19.9,21,21.1,23.6,24.4,24.3,26.6,28,30.2,33.9,39.8,43,50.3,55.8,61.7,68.2,81.4,101.4,140.8,136.2,165.5,198.1,235.8,288.1,338,376.4,366.2,390,487.7,498.9,541.1,609,678,738,778.8,755.3,781.4,836.7,966.3,1100.3,1175.1,1312.7,1387.7,1517.4,1805.5,1659.7
"27","19","  Government consumption expenditures and gross investment","A822RC",9.4,10,9.9,8.8,8.7,10.6,10.9,13.1,12.8,13.8,14.7,15.1,26.6,62.8,94.9,105.5,93.2,39.8,36.4,40.6,46.8,46.9,68.3,83.9,90.8,86.5,86.8,91.8,100.1,106.5,112.5,113.8,121.5,132.2,138.5,145.1,153.7,174.3,195.3,212.8,224.6,237.1,251,270.1,287.9,322.4,361.1,384.5,415.3,455.6,503.5,569.7,631.4,684.4,735.9,800.8,878.3,942.3,997.9,1036.9,1100.2,1181.4,1235.5,1270.5,1293,1327.9,1372,1421.9,1487.9,1538.5,1641,1751,1858
"28","20","    Imputations (136+147+153)","A1684C",1,1,0.9,0.8,0.9,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.9,3.4,6.2,9.1,10.5,12.5,11.2,9.9,8.9,7.8,8.5,9.4,10.3,11.1,11.7,12.7,13.5,13.9,14.5,15.1,15.6,16.5,17.5,18.1,18.8,19.9,21.4,23.1,25,27.3,29.3,31.5,33.5,37,40.3,42.5,45,48.1,51.9,58.2,65.3,73,77,82.4,87.8,94.7,101.6,107.7,115,123.3,131.7,137,143,148.8,156.6,162,168.4,172.8,182.2,194.5,202
"29","21","    Excluding imputations (19-20)","A2089C",8.4,9.1,9,7.9,7.8,9.5,9.8,11.9,11.6,12.5,13.4,13.7,24.7,59.4,88.7,96.4,82.7,27.4,25.2,30.7,37.9,39.1,59.8,74.5,80.5,75.4,75.1,79.1,86.6,92.6,98,98.7,105.9,115.7,121,127,134.9,154.5,174,189.7,199.6,209.9,221.7,238.6,254.5,285.4,320.7,342,370.3,407.5,451.5,511.5,566.1,611.4,658.9,718.4,790.5,847.6,896.3,929.2,985.3,1058.1,1103.8,1133.5,1150,1179.1,1215.4,1259.9,1319.5,1365.7,1458.8,1556.5,1656
"30","22","    Government consumption expenditures","A955RC",6.6,6.9,6.9,6.6,6.8,7.9,8.1,9,9.1,9.6,10.2,10.7,15.8,34.2,55.9,68.9,69.1,36.3,31.8,33.6,37.1,37.1,50.7,61.6,66.8,64,65.8,68.9,75.7,80,83.2,85.5,90.2,98.9,104.9,110.5,118.2,134,151.6,168.1,180.2,192.4,207,223.7,238.5,264.9,296.5,318.1,347.8,378.5,415,469.4,524.5,572.1,613.1,661.5,719.5,769.1,813.6,850.7,902.6,965.7,1015.2,1047.4,1072.1,1102.3,1133.9,1171.8,1223.3,1261.4,1336.3,1431.2,1522.2
"31","23","      Imputations (136+147+153-154)","A2097C",-1.8,-2.2,-2.1,-1.3,-1,-1.6,-1.7,-3,-2.6,-2.9,-3.2,-3,-8.9,-25.2,-32.8,-27.5,-13.6,9,6.6,2.9,-0.8,-2,-9.2,-12.9,-13.7,-11.4,-9.3,-10.2,-10.9,-12.6,-14.8,-13.2,-15.7,-16.8,-16.2,-16.6,-16.8,-20.5,-22.4,-21.5,-19.4,-17.5,-14.7,-14.9,-16,-20.5,-24.2,-23.9,-22.5,-29,-36.5,-42,-41.6,-39.4,-45.8,-57,-71,-78.5,-82.7,-78.5,-82.7,-92.5,-88.6,-86.1,-78,-76.8,-81.6,-88.1,-96.2,-104.4,-122.5,-125.3,-133.8
"32","24","      Excluding imputations (22-23)","A2098C",8.4,9.1,9,7.9,7.8,9.5,9.8,11.9,11.6,12.5,13.4,13.7,24.7,59.4,88.7,96.4,82.7,27.4,25.2,30.7,37.9,39.1,59.8,74.5,80.5,75.4,75.1,79.1,86.6,92.6,98,98.7,105.9,115.7,121,127,134.9,154.5,174,189.7,199.6,209.9,221.7,238.6,254.5,285.4,320.7,342,370.3,407.5,451.5,511.5,566.1,611.4,658.9,718.4,790.5,847.6,896.3,929.2,985.3,1058.1,1103.8,1133.5,1150,1179.1,1215.4,1259.9,1319.5,1365.7,1458.8,1556.5,1656
"33","25","    Gross government investment","A782RC",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,40.4,43.8,44.7,44.4,44.8,44,46.3,49.4,57.4,64.5,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.8,139.4,158.8,173.2,184.3,186.2,197.7,215.8,220.3,223.1,220.9,225.6,238.2,250.1,264.6,277.1,304.7,319.8,335.8
"34","26","      Imputations (154)","A782RC",2.8,3.2,3,2.1,1.9,2.7,2.8,4.1,3.8,4.2,4.5,4.4,10.8,28.5,39.1,36.6,24.1,3.5,4.6,7,9.7,9.8,17.6,22.3,24,22.5,21,22.9,24.4,26.5,29.3,28.3,31.3,33.3,33.6,34.6,35.6,40.4,43.8,44.7,44.4,44.8,44,46.3,49.4,57.4,64.5,66.4,67.5,77.1,88.5,100.3,106.9,112.3,122.8,139.4,158.8,173.2,184.3,186.2,197.7,215.8,220.3,223.1,220.9,225.6,238.2,250.1,264.6,277.1,304.7,319.8,335.8
"35","27","      Excluding imputations (25-26)","A1680C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",NA,"          Gross national income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","Gross national income","A023RC",103.6,92.3,76.2,58.7,56.1,65.8,73.7,82.7,92.2,85.7,91,100.5,126.7,163.1,200.6,217.5,219.4,222.4,243.6,271.8,267.2,294.1,337.6,357.6,377.4,379.4,414.7,441.7,464,469,509.5,531.1,549.5,590,623.7,668.2,723.6,788.1,834.8,913.3,988.6,1039.2,1124.9,1240.4,1390.2,1506.8,1630.7,1816.5,2030.5,2297,2563.6,2796.9,3138.5,3293.2,3524.8,3949.5,4226.7,4424.5,4752.8,5169,5493.1,5801.6,5991.2,6298.6,6602.9,7012.6,7394.4,7798.4,8295.7,8809.1,9335.8,9976.5,10221.4
"38","29","    Imputations (112-115+130+135+136+  139+142+151+153)","A2040C",10.2,9.6,8.6,7.4,6.7,6.7,7.1,7.4,7.9,7.8,7.9,8.2,9.7,13,17.8,21.9,24.5,25.2,24.7,24.9,25,25.6,29.2,32.3,35.5,38.2,40.8,44.4,47.7,50.8,54,57.8,61.1,65.3,69,73.2,78,83.7,89.8,97.4,107.1,117.5,127.4,139.3,153.1,171,190.8,210.6,233.7,268.2,303.6,345.5,387.9,429.4,472.5,512.2,559.5,604.9,666.3,722.9,781.9,844.8,906.1,968.6,1018.5,1074.6,1117.1,1159.7,1206.9,1280.9,1364,1471.6,1531.2
"39","30","    Excluding imputations (28-29)","A2060C",93.4,82.7,67.6,51.4,49.4,59,66.6,75.3,84.3,77.9,83.2,92.3,117,150.1,182.8,195.5,194.9,197.1,218.9,246.9,242.2,268.5,308.4,325.3,341.9,341.2,373.8,397.4,416.4,418.2,455.5,473.4,488.4,524.8,554.7,595,645.6,704.3,744.9,815.9,881.5,921.7,997.5,1101.1,1237.1,1335.8,1439.9,1605.9,1796.8,2028.8,2260,2451.4,2750.7,2863.8,3052.3,3437.3,3667.1,3819.6,4086.5,4446.1,4711.2,4956.8,5085.1,5330,5584.4,5938,6277.2,6638.7,7088.8,7528.2,7971.8,8504.9,8690.1
"40","31","  Compensation of employees","A033RC",51.1,46.9,39.8,31.1,29.6,34.3,37.4,42.9,48,45,48.1,52.2,64.8,85.3,109.6,121.3,123.3,119.6,130.1,142,142,155.4,181.5,196.3,210.3,209.3,225.8,244.6,257.6,259.6,281,296.4,305.3,327.2,345.3,370.7,399.5,442.6,475.2,524.3,577.6,617.2,658.8,725.1,811.2,890.2,949,1059.3,1180.4,1336,1500.8,1651.7,1825.7,1926,2042.7,2255.9,2425.2,2570.7,2755.6,2973.8,3151,3351,3454.9,3644.8,3814.4,4016.2,4202.5,4395.6,4651.3,4989.6,5308.8,5723.4,5874.9
"41","32","    Imputations (142)","A2099C",0.8,0.7,0.6,0.5,0.5,0.5,0.6,0.6,0.8,0.7,0.7,0.9,1.3,2.3,3.5,4.2,4.8,4.1,3.1,3,3.1,3.2,4.2,4.3,4.4,4.4,4.5,4.9,5.4,6,6.3,6.7,7.3,7.8,8.3,9.1,10,11.1,12,14,15.7,18.1,19.7,22.3,24.6,28.3,34,41.2,48.2,56.3,63.8,73.3,85,96.6,105.7,114.6,125,132.9,146.4,163.6,185.6,207.1,224.2,249.1,269.5,282.1,279.3,280.6,269.2,286.4,306.2,333.7,354.8
"42","33","    Excluding imputations (31-32)","A2100C",50.3,46.1,39.2,30.6,29.1,33.8,36.7,42.3,47.2,44.3,47.4,51.3,63.6,83,106.1,117,118.4,115.5,127,139,138.8,152.2,177.4,191.9,206,204.9,221.3,239.7,252.2,253.6,274.7,289.7,298.1,319.4,337,361.6,389.5,431.5,463.1,510.3,562,599.1,639.1,702.8,786.6,861.9,915.1,1018.1,1132.2,1279.7,1437,1578.4,1740.7,1829.4,1937,2141.3,2300.2,2437.8,2609.2,2810.2,2965.4,3144,3230.7,3395.6,3544.9,3734.1,3923.2,4115,4382.1,4703.2,5002.6,5389.7,5520
"43","34","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC",14.9,11.7,9.1,5.6,5.8,7.6,10.7,11,13.1,11.2,11.7,12.9,17.3,24.1,29.1,30.3,31.7,36.5,35.6,40.4,35.7,38.6,43.8,44.3,43.3,43.5,45.5,47,49,51.4,51.8,51.9,54.4,56.5,57.8,60.6,65.2,69.6,71.1,75.4,78.9,79.8,86.1,97.7,115.2,115.5,121.6,134.3,148.3,170.1,183.7,177.6,186.2,179.9,195.5,247.5,267,278.6,303.9,338.8,361.8,381,384.2,434.3,461.8,476.6,497.7,544.7,581.2,623.8,678.4,714.8,727.9
"44","35","    Imputations (128+139+151)","A2101C",1.6,1.5,1.3,1,1,1,1.2,1.2,1.3,1.1,1,1,1.2,1.5,1.8,1.8,1.9,2.2,2.3,2.4,2.1,2.1,2.2,2.2,2,1.9,1.7,1.6,1.6,1.7,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.8,1.9,2.1,2.3,2.6,2.6,2.6,3.2,3.9,4.2,4.3,3.4,3,2.7,3.6,3.6,3.6,4,5,4.4,4.2,4.4,4.8,5.4,5.8,5.8,6.1,6.6,7.2,7.7,8.1,8.6,8.7
"45","36","    Excluding imputations (34-35)","A2102C",13.3,10.2,7.8,4.6,4.8,6.5,9.5,9.7,11.8,10.1,10.7,11.9,16.1,22.6,27.2,28.5,29.8,34.3,33.4,38,33.6,36.5,41.6,42.1,41.3,41.6,43.7,45.4,47.4,49.7,50.2,50.3,52.8,54.9,56.2,59,63.6,68,69.5,73.7,77.1,77.9,84.1,95.4,112.6,112.9,119,131,144.4,165.9,179.4,174.2,183.2,177.1,191.9,243.9,263.5,274.6,298.9,334.4,357.5,376.6,379.3,429,456,470.7,491.6,538.1,574,616.1,670.3,706.2,719.2
"46","37","  Rental income of persons with capital consumption adjustment","A048RC",5.6,4.9,4,3.2,2.5,2.1,2.2,2.3,2.6,3.1,3.3,3.4,4,5,5.6,5.9,6.1,7,7,7.6,7.8,8.7,9.5,10.5,11.5,12.5,12.8,13.1,13.8,14.5,15.2,16.2,16.9,17.8,18.5,18.6,19.2,19.9,20.4,20.2,20.3,20.3,21.2,21.6,23.1,23,22,21.5,20.4,22.4,24.5,31.3,39.6,39.6,36.9,39.5,39.1,32.2,35.8,44.1,40.5,49.1,56.4,63.3,90.9,110.3,117.9,129.7,128.3,138.6,149.1,146.6,137.9
