"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134"
"11","28","A   Durable goods industries","KS30DW0",101811,102044,101628,101541,101324,100969,101843,101905,101335,101303,101586,102717,103412,104260,105232,106755,107747,108269,108674,110051,109572,110672,110304,110760,108688,109005,110213,109214,109765,108883,110604,109690,110262,110308,111090,110563,110114,110424,109792,109295,108549,108651,107723,106499,105773,105592,106532,106348,106216,106002,105031,105405,104087,103059,102882,102333,101697,101511,100385,98939,99160,99098,96331,95452,95642,95870,95538,95447,95449,95324,95351,98047,97345,98337,97909,98657,98412,96609,96343,96352,95709,96404,95539,96980,96861,96487,95924,95770,95474,95632,95900,95659,94109,94300,94949,94339,95168,96132,95912,95422,96163,95986,97765,97405,97831,98767,99295,100265,100173,99165,100327,101383,101503,101782,102268,100835,102222,103185,103035,104438,105034,104839,104351,104817,105218,105176,105648,105988,106210,107307,108588
"12","29","A     Wood product manufacturing","KS321W0",1743,1800,1782,1755,1775,1782,1797,1841,1827,1839,1818,1758,1751,1763,1884,1815,1850,1788,1760,1766,1769,1795,1852,1857,1871,1878,1889,1952,1872,1859,1863,1949,1938,1977,1963,1955,2116,2085,2083,2075,2026,2025,2035,2031,2028,2083,2110,2001,2026,2069,2000,1992,1912,1904,1916,2015,1975,2023,1964,1927,1977,2045,1991,1963,2069,2053,1997,2010,2026,2008,1988,1955,1966,1967,1953,1954,1951,1939,1936,1950,1962,1938,1964,1965,2026,2068,2072,2056,2051,1996,2047,2053,2088,2102,2076,2094,2185,2213,2302,2245,2274,2155,2144,2164,2098,2071,2122,2184,2189,2268,2262,2253,2376,2200,2269,2289,2243,2176,2152,2088,2145,2115,2104,2092,2099,2054,2108,2056,2005,1959,1976
"13","30","A     Nonmetallic mineral product manufacturing","KS327W0",1296,1322,1319,1297,1341,1240,1258,1316,1335,1340,1323,1300,1333,1363,1343,1303,1298,1285,1316,1281,1263,1269,1265,1269,1287,1251,1236,1265,1267,1277,1289,1323,1322,1336,1323,1320,1298,1290,1297,1324,1305,1277,1267,1274,1260,1260,1278,1362,1356,1342,1338,1319,1306,1307,1296,1254,1289,1288,1279,1232,1221,1191,1187,1203,1214,1225,1236,1212,1221,1229,1244,1251,1223,1309,1325,1286,1261,1259,1244,1222,1216,1192,1181,1180,1187,1188,1185,1152,1151,1134,1109,1128,1107,1114,1110,1109,1100,1100,1086,1075,1075,1065,1068,1059,1058,1033,1037,1039,1053,1041,1053,1089,1081,1093,1088,1097,1116,1136,1146,1145,1148,1150,1152,1152,1144,1120,1117,1110,1112,1117,1120
"14","31","A     Primary metal manufacturing","KS331W0",6741,6802,6940,6866,6885,6890,6980,6930,6851,6738,6786,6916,7093,7054,7080,7091,7030,6899,7098,7106,7064,7064,7155,7124,7356,7334,7338,7297,7482,7365,7477,7414,7311,7365,7484,7555,7703,7663,7548,7719,7682,7651,7699,7639,7520,7394,7304,7357,7228,7132,6969,6981,6879,6740,6809,6748,6716,6605,6552,6417,6429,6410,6237,6245,6202,6188,6257,6332,6252,6253,6363,6314,6302,6260,6190,6153,6086,5818,5726,5680,5473,5466,5417,5359,5395,5116,5295,5240,5104,5099,5050,5134,5224,5351,5323,5288,5616,5642,5629,5645,5804,5858,5865,5797,5753,5628,5578,5715,5676,5728,5701,5722,5695,5670,5669,5739,5835,5928,6017,5946,5986,5997,6022,6004,5995,6110,6066,5982,5885,5815,5803
"15","32","A     Fabricated metal product manufacturing","KS332W0",8953,9025,9044,9123,9066,9269,9247,9248,9271,9305,9345,9449,9380,9267,9420,9529,9538,9660,9571,9632,9606,9522,9506,9526,9498,9405,9391,9379,9508,9338,9432,9427,9527,9658,9809,9731,9990,9962,9834,9917,10007,10070,10009,9962,9901,9900,9800,9727,9942,10026,9987,9986,9883,9887,9767,9751,9724,9659,9609,9378,9160,9191,9140,9206,9237,9193,9218,9208,9251,9205,9308,9357,9131,9396,9314,9147,9153,9101,9011,9147,9056,9164,9084,9066,9062,8992,8966,8867,8847,8821,8770,8634,8575,8589,8676,8870,8794,8862,9025,9003,9136,9075,9157,9250,9346,9355,9361,9285,9451,9389,9427,9570,9531,9549,9543,9543,9517,9470,9501,9497,9556,9499,9406,9494,9505,9355,9439,9469,9639,9798,9827
"16","33","A     Machinery manufacturing","KS333W0",13158,12923,13057,13426,13219,13225,13126,13049,12905,12823,12801,12998,13036,13183,13016,12989,12968,13004,12870,13126,13161,13102,13095,12945,12809,12665,12751,12773,12938,12749,12891,12884,12712,12796,12588,12625,12996,13267,12895,12423,12831,13125,13075,12995,13134,13458,13649,14001,13670,13668,13761,13511,13403,13133,13048,12860,12702,12686,12376,11930,11894,11958,11791,11881,11852,11774,11649,11641,11594,11344,11375,11514,11005,10923,10809,10943,10685,10535,10341,10733,10865,10858,10746,10989,10899,10962,10788,10753,10857,10806,10844,10741,10643,10489,10685,10580,10797,10705,10718,10706,10701,10648,10787,10922,10872,11014,10997,10967,11047,10994,11270,11253,11279,11315,11251,11093,11207,11091,10671,11266,11213,11248,11213,11192,11091,11113,11016,11209,11327,11440,11393
"17","34","A     Computer and electronic product manufacturing","KS334W0",17003,17034,17123,16982,17108,17287,17751,17806,18048,17802,18181,18799,18616,18878,19166,19241,19251,19242,19011,19150,18886,18884,18836,18702,18593,18718,18778,18945,19194,19036,19105,19112,19075,19081,18808,18827,18971,18900,18609,19581,20005,20378,20975,21084,19970,20808,21802,22316,22626,22960,22846,22864,21952,21914,21596,21480,20689,20472,20466,19515,19677,19778,19891,19363,19538,19438,19561,19341,19708,19528,19668,19721,19753,19895,19673,19984,19709,19492,19812,19824,19876,20519,20962,21912,21516,21589,22031,22671,23319,23443,23549,23896,23798,24029,23968,23572,23688,23496,23390,23296,23511,23661,24483,24261,24139,24864,25012,24874,25983,25811,25946,26129,26305,26530,26474,26490,26508,26997,27081,27434,27488,27459,26868,26475,26878,26605,26933,27083,26926,27544,27919
"18","36","A     Electrical equipment, appliance, and component manufacturing","KS335W0",4768,4775,4808,4837,4873,4849,4888,4865,4846,4885,4878,4879,4887,4874,4821,4792,4760,4757,4808,4857,4880,4883,4898,4932,4887,4871,4931,4915,4929,4937,4838,4797,4936,4963,4950,4875,4883,4888,4780,4835,4883,4952,4953,4939,4905,4951,4986,5004,5013,5048,5030,5019,4963,4913,4880,4829,4808,4790,4732,4640,4626,4569,4607,4653,4659,4601,4541,4520,4473,4443,4446,4493,4508,4466,4444,4434,4405,4375,4382,4372,4367,4380,4379,4349,4344,4327,4284,4270,4296,4309,4270,4280,4257,4158,4232,4233,4255,4224,4204,4177,4153,4143,4171,4161,4181,4172,4149,4168,4194,4207,4251,4266,4246,4261,4250,4315,4237,4242,4240,4292,4268,4276,4265,4279,4259,4232,4266,4104,4118,4174,4303
"19","37","A     Transportation equipment manufacturing","KS336W0",43056,43395,42588,42415,42150,41416,41731,41818,41147,41499,41261,41409,42141,42726,43186,44682,45829,46383,46929,47907,47787,49119,48612,49376,47306,47785,48823,47610,47448,47214,48640,47669,48273,48051,49056,48474,46981,47124,47498,46066,44456,43783,42281,41145,41521,40242,40089,39121,38838,38243,37656,38291,38377,37885,38075,38031,38473,38698,38142,38689,38899,38722,36382,35756,35671,36215,35960,36038,35776,36076,35750,38154,37937,38476,38292,38992,39328,38314,37768,37435,37689,37756,36607,37084,37295,37073,36153,36078,35347,35479,35740,35323,34043,33864,34269,33905,34042,34894,34725,34116,34442,34435,35352,34932,35586,36050,36499,37373,36273,35462,36268,36892,36893,37173,37580,36138,37369,38010,38123,38814,39246,39139,39534,40295,40469,40755,40978,41347,41531,41894,42856
"20","38","D       Motor vehicle and parts manufacturing","KS3MVW0",7084,7176,7190,7324,7426,7190,7217,7354,8086,7367,7223,7269,7128,7118,7620,7105,6945,6514,6412,6229,6238,5943,6540,7095,6716,6408,7706,6738,6733,6964,7247,7161,7068,7277,7273,7221,7113,7221,6973,7074,7631,7368,7215,7218,7303,7342,7317,7274,7162,7148,7005,7254,7080,6943,6785,6686,6665,6525,6377,6283,6639,6272,5984,6250,6193,6538,6507,6476,6539,6568,6508,6540,6414,6848,6768,6986,6885,6590,6721,6685,6754,6710,6808,6768,6827,6837,6803,6709,6634,6752,6743,6741,6645,6545,6499,6468,6629,6654,6633,6637,6684,6810,6669,6702,6541,6839,6739,6739,6712,6422,6727,6948,6953,6960,6887,6768,6558,6570,6783,7029,7009,6795,6677,6751,6679,6491,6543,6532,6454,6631,6421
"21","39","D       Other transportation equipment manufacturing","KS3OTW0",35963,36207,35382,35069,34698,34204,34491,34437,33009,34103,34013,34115,34993,35587,35528,37562,38879,39886,40538,41707,41574,43206,42085,42284,40591,41379,41119,40871,40715,40250,41393,40508,41206,40776,41785,41255,39868,39901,40525,38992,36825,36414,35066,33927,34219,32902,32774,31849,31679,31096,30652,31037,31297,30942,31289,31344,31806,32170,31762,32398,32262,32437,30388,29516,29483,29690,29464,29569,29246,29515,29246,31610,31515,31631,31523,32008,32440,31718,31048,30750,30936,31046,29807,30320,30473,30242,29360,29377,28722,28737,29007,28592,27408,27329,27780,27447,27421,28250,28102,27485,27767,27632,28694,28241,29059,29219,29773,30653,29573,29054,29551,29951,29946,30220,30708,29377,30841,31476,31364,31804,32261,32375,32896,33585,33836,34323,34492,34877,35144,35326,36512
"22","40","A     Furniture and related product manufacturing","KS337W0",1389,1395,1361,1323,1349,1327,1371,1360,1355,1351,1342,1365,1368,1380,1430,1449,1462,1462,1503,1506,1497,1461,1458,1469,1513,1486,1468,1426,1434,1459,1453,1482,1422,1449,1502,1510,1523,1554,1561,1582,1568,1583,1580,1598,1588,1575,1588,1569,1594,1623,1600,1615,1603,1562,1550,1488,1477,1474,1468,1446,1515,1495,1494,1526,1559,1531,1543,1510,1544,1554,1554,1485,1574,1590,1628,1617,1557,1582,1592,1520,1512,1485,1462,1443,1507,1509,1509,1496,1456,1481,1481,1535,1448,1471,1490,1480,1508,1545,1513,1526,1535,1521,1500,1513,1504,1498,1525,1481,1471,1450,1454,1428,1477,1468,1445,1432,1446,1423,1421,1382,1364,1378,1168,1109,1140,1110,1128,1134,1105,1085,1084
"23","41","A     Miscellaneous durable goods manufacturing","KS339W0",3869,3735,3706,3647,3645,3704,3653,3626,3648,3667,3737,3660,3662,3621,3713,3723,3646,3691,3745,3670,3622,3555,3609,3559,3570,3608,3609,3638,3679,3633,3609,3614,3734,3618,3609,3688,3632,3668,3674,3743,3752,3771,3815,3801,3913,3898,3915,3887,3919,3893,3845,3820,3797,3795,3925,3860,3822,3789,3772,3723,3713,3695,3628,3679,3675,3663,3598,3648,3644,3706,3701,3779,3936,4027,4237,4101,4196,4134,4523,4476,3698,3716,3911,3904,3841,3951,3990,3653,3662,3699,3712,3669,3673,3900,3866,3890,3791,3993,3833,4134,4010,3925,3857,3938,3842,3810,3790,3877,3811,3758,3648,3731,3643,3603,3768,3731,3735,3790,3743,3732,3770,3722,3613,3603,3645,3614,3597,3597,3633,3728,3651
"24","42","A   Nondurable goods industries","KS30NW0",26418,26392,26394,26626,26969,26840,26951,27548,27838,28250,28526,28626,28155,28377,28212,28444,28557,28428,28451,28169,27974,27881,28363,28007,28260,28338,28570,29149,29484,29390,29095,28739,28729,29080,29437,29400,29017,28853,28967,29023,28908,29370,29741,29546,29364,30110,29843,29546,29267,29101,28951,28946,28926,28484,28387,28689,29052,28489,28347,28684,29032,28962,29136,29057,29231,29489,29842,30492,30487,30207,29833,29223,29479,29977,30323,29943,29703,30105,30393,30418,30165,30204,30366,29196,29480,29837,30142,30292,29790,30144,29609,29604,29136,29280,29250,29467,29111,29753,30105,29595,29230,29570,29501,29611,29938,30274,30247,29946,31254,29890,29735,30466,29629,31160,31025,31244,30685,30740,30855,30468,30253,30322,30507,30226,30429,30371,29776,29348,29437,29698,29908
"25","43","A     Food manufacturing","KS311W0",4750,4816,4749,4781,4887,4843,4828,4910,4892,4940,4954,4894,4713,4678,4552,4616,4625,4573,4578,4622,4540,4531,4575,4595,4663,4684,4676,4646,4608,4649,4653,4607,4659,4666,4747,4732,4686,4697,4768,4797,4867,4847,4836,4818,4783,4628,4705,4839,4723,4730,4738,4705,4766,4647,4528,4607,4627,4569,4605,4616,4616,4650,4598,4563,4558,4596,4618,4625,4648,4744,4760,4746,4672,4813,4868,4880,4842,4843,4850,4821,4812,4714,4653,4635,4647,4620,4588,4601,4630,4523,4528,4538,4512,4550,4466,4579,4369,4548,4563,4602,4554,4372,4331,4339,4363,4524,4558,4537,4550,4523,4501,4447,4479,4516,4538,4543,4549,5044,4960,4859,4792,4790,4754,4690,4641,4572,4535,4548,4500,4505,4435
"26","44","A     Beverage and tobacco product manufacturing","KS312W0",784,809,894,886,1004,998,1118,1313,1391,1436,1437,1524,1539,1583,1643,1683,1642,1651,1606,1367,1259,1300,1403,1516,1562,1623,1574,1585,1545,1553,1483,1443,1308,1461,1448,1437,1511,1511,1527,1646,1643,1721,1760,1728,1749,1779,1804,1913,1826,1885,1846,1905,1961,2001,2092,2161,2146,2122,2144,2127,2199,2202,2234,2165,2194,2125,2042,2105,2195,2132,2046,2085,2039,2011,1998,2030,1977,1895,1978,1939,1969,2034,2045,2007,2030,1993,1937,1909,1930,1952,1860,2096,2167,1976,1810,1917,1929,1837,1833,1812,1929,1948,1946,1834,1806,2083,2137,2127,2121,2099,2060,2100,2005,2018,1982,2045,2011,2057,2107,2129,2074,2153,2165,2183,2180,2121,2083,2047,2007,1957,1960
"27","45","A     Textile mills","KS313W0",1738,1719,1676,1718,1716,1683,1678,1675,1672,1695,1682,1662,1651,1665,1653,1658,1616,1656,1671,1681,1681,1652,1646,1636,1633,1605,1610,1608,1598,1577,1594,1573,1582,1606,1632,1632,1622,1614,1595,1617,1631,1625,1539,1574,1555,1555,1515,1517,1499,1497,1505,1499,1479,1480,1454,1424,1417,1391,1388,1357,1327,1328,1304,1268,1271,1264,1263,1284,1199,1223,1218,1266,1287,1278,1260,1259,1309,1313,1305,1300,1299,1287,1279,1290,1289,1283,1301,1311,1280,1261,1257,1258,1258,1252,1246,1229,1224,1220,1209,1159,1175,1192,1196,1194,1186,1229,1209,1161,1182,1165,1201,1188,1133,1123,1121,1101,1087,1075,1049,1018,1013,988,926,918,898,909,897,886,880,871,874
"28","46","A     Textile product mills","KS314W0",748,769,761,758,775,780,777,786,804,813,808,837,844,845,838,834,828,825,817,821,804,801,799,796,770,770,792,802,821,844,831,828,839,849,856,860,872,880,884,883,893,886,903,900,920,900,898,878,872,857,845,861,830,836,826,829,832,822,833,836,826,824,814,810,797,781,771,768,748,753,747,719,730,732,744,721,721,719,727,728,718,702,692,712,725,714,717,715,721,720,713,714,704,712,699,699,708,711,718,714,725,731,730,730,737,746,737,731,734,732,736,739,726,721,721,709,706,689,681,688,667,663,636,630,611,601,587,577,569,562,555
"29","47","A     Apparel manufacturing","KS315W0",1598,1629,1642,1654,1663,1701,1738,1712,1702,1726,1734,1795,1745,1691,1675,1670,1714,1679,1683,1697,1685,1662,1654,1636,1579,1589,1584,1653,1636,1703,1698,1751,1734,1821,1801,1813,1856,1859,1874,1815,1821,1833,1847,1827,1832,1780,1774,1731,1746,1697,1644,1614,1551,1468,1363,1352,1363,1358,1338,1300,1285,1287,1283,1291,1327,1343,1369,1403,1303,1310,1339,1355,1368,1339,1331,1312,1287,1316,1331,1304,1281,1295,1321,1318,1301,1296,1292,1304,1282,1291,1298,1295,1289,1273,1255,1222,1213,1199,1198,1192,1177,1174,1182,1186,1191,1195,1160,1161,1150,1133,1170,1122,1113,1086,1084,1080,1068,1077,1088,1106,1066,1083,1080,1077,1078,1101,1118,1107,1099,1087,1066
"30","48","A     Leather and allied product manufacturing","KS316W0",317,324,336,343,339,340,317,324,328,335,354,334,340,347,334,330,327,314,316,311,304,301,307,318,312,304,298,302,295,301,310,306,319,330,320,319,315,319,307,308,310,316,304,309,318,297,301,298,308,299,302,292,279,271,267,272,270,266,265,261,260,258,254,253,260,265,264,257,247,254,243,242,222,223,226,220,219,213,219,210,217,226,237,227,230,223,218,219,215,211,206,208,208,213,211,221,229,230,230,235,234,238,228,247,247,221,221,221,243,237,234,232,227,233,223,222,221,212,213,212,215,221,217,216,215,217,197,195,197,198,197
"31","49","A     Paper manufacturing","KS322W0",1557,1569,1588,1579,1586,1571,1558,1572,1609,1602,1595,1627,1633,1615,1589,1587,1568,1495,1514,1518,1464,1447,1453,1501,1501,1516,1550,1535,1544,1562,1562,1563,1608,1613,1670,1606,1620,1614,1588,1592,1578,1610,1611,1597,1600,1586,1565,1527,1517,1529,1459,1447,1473,1444,1429,1453,1473,1502,1507,1517,1543,1521,1576,1620,1631,1657,1697,1749,1674,1650,1660,1646,1636,1624,1622,1633,1611,1635,1618,1616,1647,1650,1650,1579,1606,1546,1537,1545,1567,1550,1556,1566,1533,1546,1545,1527,1524,1560,1597,1591,1593,1582,1550,1590,1586,1587,1592,1567,1560,1591,1604,1593,1600,1581,1594,1565,1573,1591,1609,1555,1545,1547,1537,1552,1557,1580,1583,1603,1631,1631,1643
"32","50","A     Printing and related support activities","KS323W0",1402,1285,1181,1241,1258,1192,1247,1450,1415,1406,1475,1378,1276,1310,1225,1325,1389,1368,1385,1331,1376,1283,1234,1259,1303,1286,1380,1581,1456,1457,1473,1260,1329,1370,1415,1422,1444,1508,1389,1295,1324,1346,1255,1345,1344,1436,1396,1295,1290,1257,1262,1202,1222,1239,1213,1266,1228,1127,1062,1169,1181,1081,1178,1227,1237,1349,1390,1393,1293,1450,1420,1287,1338,1347,1390,1309,1245,1209,1207,1231,1166,1108,1209,1196,1119,1153,1126,1142,1280,1139,1129,1184,1180,1216,1156,1145,1069,1150,1140,1163,1204,1182,1200,1144,1175,1134,1153,1111,1103,1080,956,931,915,901,910,879,923,936,874,845,863,860,910,889,888,896,858,868,898,867,901
