"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134"
"33","25","A     Petroleum and coal product manufacturing","KP3240",19022,19088,18564,19088,20035,19821,20162,20309,19954,19609,19581,18911,19305,19459,19825,19471,19936,19912,19038,19714,19955,19441,18785,19888,19263,20439,20206,18665,19482,20168,19955,19694,19417,20437,20925,19582,20309,19769,18908,19239,20027,19748,19493,19673,19279,19938,19459,18911,19656,19475,18830,18998,19334,18346,20071,20005,18477,20577,20738,22565,22595,22069,20766,18754,19731,19712,19692,19561,18709,18098,18498,19169,18531,16022,16107,17477,19504,18618,18444,18464,18451,18829,18648,18659,18015,17920,19785,19509,19539,19729,19404,19632,19548,19902,19587,20623,20672,20085,23081,21276,22240,21703,21514,22026,20896,19006,20328,20279,20984,19433,20568,19770,19966,18654,19456,18918,18774,19239,17869,18434,18261,17789,18960,17563,17511,17793,16849,17555,18187,19732,17417
"34","26","A     Chemical manufacturing","KP3250",35912,36613,36348,36806,36730,36703,36651,36775,36943,37126,37603,37054,37388,37382,36703,36364,36692,36824,36148,36304,36696,35846,36395,36689,36089,36821,36587,36712,36324,36922,36644,36815,36782,37036,37291,36661,37364,36873,36734,37602,37221,37488,37645,37525,37829,37211,37095,37780,36336,37913,36708,35835,36602,35317,36399,36739,35281,35870,35868,35496,35540,34927,34358,35200,35313,36290,34432,34444,35959,35594,35683,35833,35838,36327,36349,34830,35088,35849,37792,36795,37672,37945,36872,37424,37289,36942,38333,37889,38367,38685,38757,38521,38523,39502,39783,39194,39552,39353,39707,39800,39465,39524,39886,40470,40024,39530,40201,39563,40325,39267,39460,40090,40131,39792,40217,39726,38827,38560,37967,38286,37740,38101,37942,38539,38394,37955,37951,37356,37915,38325,37332
"35","27","A     Plastics and rubber product manufacturing","KP3260",12991,13168,13092,13442,13196,13338,13500,13442,13713,13833,13974,14077,13846,13998,13754,13816,13817,13707,13891,14032,14085,14222,14138,14304,14287,14985,14527,14307,14433,14484,14327,14574,14664,14737,15009,15072,15105,14820,15038,15248,15076,15201,14715,14702,14789,14566,14401,14225,13944,14619,14200,13870,14033,13900,14341,14216,14006,14064,13948,14071,14297,14324,14261,14983,14902,14665,15051,14863,14725,14999,15032,15151,15258,15123,15263,14693,14964,15003,15328,14922,15126,15184,14570,15056,14986,14360,15408,15435,15150,15397,15415,15448,15111,15049,15166,15397,15423,15355,15476,15425,15542,15386,15478,15632,15629,15636,15720,15390,15450,15430,15191,15285,15658,15774,15617,15745,14877,14756,14740,14888,14848,14741,15059,15304,15402,15311,15548,15176,14875,15148,15086
"36","28","A Merchant wholesale industries","KP42W0",184382,189081,187468,187104,188939,190426,191037,190233,193567,193260,193579,193712,197615,198507,200172,201631,201225,201574,203322,204523,205673,206592,207788,210037,208803,213111,214645,213993,218222,219494,220279,220325,221412,224260,225744,226094,227168,223533,225336,227919,227072,229784,229542,230309,230472,231267,229643,232711,231390,231507,229219,227859,228694,225276,228795,228810,228105,227203,228591,228720,229927,230852,228257,232072,233111,234778,233715,235569,234036,232158,236356,233633,234044,230513,231996,232199,233087,235696,238060,236773,237680,239115,239955,239684,238512,242234,248481,247046,246753,248197,247678,249850,249192,248484,251789,255406,256462,255421,252565,256023,257045,256556,256967,258661,260735,264649,264767,265667,268378,269780,269887,269041,270584,272008,272398,275021,276478,276670,274980,276858,276586,275286,278357,281228,282765,282747,282393,287880,287483,290834,286625
"37","29","A   Durable goods merchant wholesale industries","KP42WD0",89098,92340,90956,92045,92739,93676,94585,93692,96429,96072,96585,96223,98517,99149,100400,101224,100619,101498,102091,102474,102047,102939,103251,104233,105383,108310,108893,109211,111246,111784,113017,113148,114071,115607,116450,118152,118360,116846,117720,118193,118613,119026,118372,119289,119506,120008,119418,118415,118862,119350,118408,116880,117167,115026,115726,116469,114234,112751,113667,113334,114197,115493,113775,116106,116736,117062,116944,118210,117223,115988,116715,114853,116308,114331,116567,116259,116562,118078,119253,118496,120110,120971,121982,122392,121761,124444,129473,130308,130225,131027,131257,131376,129784,131283,133007,135668,135173,134544,134316,136319,136465,137408,138060,139363,139729,143429,143147,145327,146160,145992,145733,144663,147033,146840,147430,148865,148451,149046,149776,150798,150449,148886,150856,151820,151422,151578,151746,153229,153457,154697,156025
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KP42110",13732,13986,14012,13690,14190,14365,14097,13310,14210,14228,14040,13008,14108,14039,14617,14623,14599,14467,14656,14854,14891,14506,14798,14847,14860,16392,15844,15975,16224,16429,16687,16416,16737,17046,16797,17013,16815,16766,16619,16820,16425,16638,16419,16572,16520,16657,16690,16678,17000,17003,17219,17275,17642,17351,17407,17572,16700,17733,17630,17287,17684,18066,17886,18257,18238,18362,18664,19865,18928,18560,19158,19042,19077,18157,18666,18784,18836,19085,19168,18992,19211,19166,19956,20443,19086,20175,20536,21146,20641,20876,20575,20664,20916,20932,20354,20635,20536,21082,21160,20729,20934,21310,21690,22630,21941,22805,22631,23088,23715,24141,23415,23284,24151,23767,24258,24352,23928,25043,25119,26137,24873,24808,25086,25204,23856,23674,23775,24331,25283,24878,24488
"39","31","D     Furniture and home furnishings wholesalers","KP42120",3264,3458,3239,3305,3208,3211,3255,3207,3499,3440,3364,3433,3496,3356,3435,3404,3381,3456,3412,3453,3422,3334,3486,3437,3438,3527,3482,3509,3580,3553,3740,3663,3631,3732,3664,3756,3796,3865,3831,3914,3955,3928,3909,3917,3977,3915,3871,3846,3879,3861,3864,3779,3682,3699,3648,3708,3625,3680,3646,3589,3671,3607,3671,3683,3669,3837,3673,3617,3610,3598,3684,3499,3637,3703,3667,3642,3682,3696,3791,3727,3764,3732,3740,3776,3782,3789,3867,3871,3926,3844,3872,3994,3993,3847,3827,3880,3824,3826,3811,3875,3856,3963,3925,3943,3931,4060,3965,4063,4101,4140,4124,4134,4156,4176,4238,4229,4313,4368,4437,4457,4496,4422,4518,4514,4689,4550,4534,4398,4453,4568,4447
"40","32","D     Lumber and other construction materials wholesalers","KP42130",4912,5128,5032,5105,4915,5063,5051,5079,5122,5090,5033,5180,5219,5183,5134,5211,5273,5371,5511,5545,5564,5696,5767,5771,5576,5685,5708,5763,5874,5904,5854,5797,5983,6099,6260,6094,6114,5926,5949,5826,5872,5901,5785,5831,5897,5960,5959,6017,5968,6049,5992,6116,6168,5924,6077,6118,6028,6171,6293,6488,6544,6785,6500,6573,6356,6346,6146,6269,6344,6428,6362,6353,6678,6432,6657,6582,6619,6891,7164,7220,7434,7608,7626,7239,7395,7318,7942,7977,7978,7841,7868,8049,7728,7700,7907,8212,8501,8187,8046,8118,8172,8182,8357,8487,8615,8881,9119,9154,9848,8992,8914,8768,8696,8780,8674,8674,8326,8310,8280,8308,7798,7534,7964,7973,8059,8015,7704,7579,7456,7462,7502
"41","33","D     Professional and commercial equipment wholesalers","KP42140",11911,12607,12417,12750,13145,13458,13430,13594,14183,14347,14898,15057,15464,15951,16133,16679,16429,17031,17285,17832,17763,18281,17934,18669,19102,19648,20172,20379,20897,21278,21714,21896,21948,22511,22775,22922,22346,22285,22689,22569,22269,22111,22031,22820,22788,22952,22666,21692,22847,23224,23207,23301,23628,23309,23445,23098,22854,22159,22909,23243,23483,23771,23760,23806,24593,25135,24857,25623,26109,25807,26321,25604,25922,26098,26480,26598,26264,26198,26474,26365,26450,26750,27314,27672,28415,28666,28815,28664,28924,29821,30616,29510,28914,29865,30461,30857,30578,30721,30683,31441,32014,32143,32675,33290,33740,33929,33934,34704,34475,34651,36120,35445,35790,36139,36296,36782,37343,37995,37909,38261,39031,39149,39104,39652,40058,41143,41364,41545,41044,42537,43295
"42","34","D       Computers and software wholesalers","KP42430",5060,5346,5288,5611,5871,6074,6110,6354,6698,6708,7130,7172,7411,7761,8034,8530,8464,8975,8926,9048,8942,9222,9165,9444,10123,10649,11008,11147,11525,11496,12218,12361,12253,12923,12799,13022,12711,12617,13074,12892,12666,12232,12100,12751,12502,12703,12636,11594,12666,12628,12632,12245,12653,12515,12375,12208,12561,11990,12311,12500,12468,12643,12547,12401,13278,13915,14001,14686,14756,14520,14142,14212,14097,14444,14602,15095,14348,14398,14735,14395,14502,15244,15437,15917,16690,16747,17116,17321,17101,17870,18695,17373,16758,17415,18634,19036,19446,19367,19316,19852,20858,20292,20766,21529,21879,21826,21671,21902,22311,22794,23313,23785,23458,24428,24712,25240,26306,26678,27210,27854,26794,26886,29173,27751,29378,31180,30688,30695,30452,32262,33833
"43","35","D       Other professional and commercial equipment wholesalers","KP424X0",7735,8227,8071,7919,8004,8081,7980,7761,7980,8206,8234,8388,8537,8613,8414,8346,8126,8124,8521,9022,9082,9312,8975,9463,9089,9049,9195,9259,9382,9827,9470,9504,9676,9534,9946,9867,9617,9662,9605,9674,9603,9886,9937,10078,10290,10261,10044,10082,10192,10575,10552,10965,10918,10739,10972,10795,10303,10136,10543,10688,10911,11027,11084,11224,11264,11270,10983,11151,11503,11412,12077,11454,11785,11709,11914,11707,11901,11819,11832,11949,11952,11750,12072,12071,12193,12352,12259,12032,12350,12605,12754,12642,12529,12882,12677,12761,12353,12501,12501,12779,12698,13060,13209,13282,13434,13591,13664,14090,13747,13653,14422,13762,14127,13952,13934,14035,13971,14244,13971,13941,14859,14899,13989,14883,14530,14548,14876,14987,14761,15046,14961
"44","36","D     Metal and mineral (except petroleum) wholesalers","KP42150",7621,7843,7565,7869,7795,8006,7913,7903,8109,8025,7992,8065,7895,7854,8095,7877,7830,7927,7916,8054,8055,8046,7999,8032,8419,8338,8341,8192,8175,8035,8158,7930,7961,8242,8402,8560,8940,8572,8639,8530,8503,8520,8489,8458,8436,8422,8540,8604,8261,8379,8135,8329,8414,8323,8226,8399,8194,7971,7868,7453,7458,7365,7262,7695,7639,7826,7738,7540,7422,7539,7039,6804,6911,6731,6942,6860,7077,7074,7292,7118,7262,7148,7220,7305,7372,7603,8424,8313,7949,8218,8116,8264,8124,7955,7996,8213,8219,8227,8159,8350,8407,8481,8391,8513,8432,8891,8689,9022,8603,8728,8750,8580,8550,8553,8442,8374,8484,8400,8642,8323,8676,8565,8427,8354,8302,8093,8145,8142,7904,8094,7950
"45","37","D     Electrical goods wholesalers","KP42160",13782,14019,14136,14200,14428,14532,14821,14925,14793,14531,14605,14813,14677,14892,15073,15158,15286,15063,15239,15135,15145,15524,15366,15293,15465,15950,16143,16312,16602,16852,17131,17391,17673,18016,18489,19189,19566,19154,19312,19604,19881,20480,20323,20625,20571,20298,20281,20382,20197,19483,19293,18528,18046,17152,17454,17443,17344,17510,17778,17311,17476,17516,17242,17696,17888,17392,17528,17397,17318,17208,17460,17333,17261,17376,17668,17451,17180,17831,18043,17718,18318,18876,18831,18622,18842,19425,19651,20347,21219,20778,20628,20864,20509,20428,20758,21057,21359,20416,21084,21649,21411,21489,21480,21606,21628,22183,21956,22001,22396,22589,22493,22292,23197,22960,23389,24119,24306,23988,24746,25139,24748,24355,24329,24138,24140,24283,24430,24594,25114,25385,26201
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KP42170",4776,4805,4821,4977,4843,4838,4979,4874,4962,5020,4980,5009,5150,5119,4980,5043,5108,5201,5223,5149,5117,5108,5245,5303,5285,5295,5377,5316,5394,5362,5398,5405,5378,5333,5401,5434,5510,5503,5600,5570,5715,5676,5585,5573,5634,5661,5580,5600,5477,5516,5396,5085,5387,5157,5223,5323,5289,5400,5437,5450,5469,5669,5445,5520,5371,5328,5339,5429,5319,5263,5249,5193,5387,5243,5390,5367,5413,5398,5456,5427,5518,5451,5468,5428,5483,5387,5771,5723,5637,5705,5636,5619,5655,5667,5704,5765,5904,5805,5749,5721,5670,5807,5792,5836,5872,6283,6308,6279,6173,6276,6296,6325,6536,6279,6255,6278,6139,6116,5925,6118,6006,6002,5934,6050,5862,5974,5990,6060,6067,6191,6122
"47","39","D     Machinery, equipment, and supplies wholesalers","KP42180",18074,19093,18491,18703,18880,19091,19504,19143,19453,19764,19574,19695,20678,20755,20510,20868,20867,20723,20401,20366,20467,20052,20362,20364,20182,20187,20605,20397,20657,20703,20810,20840,20633,20706,20629,20882,21120,20696,20740,20968,20834,21403,21307,21206,21223,21250,21177,20729,20648,21328,21026,20372,20221,19883,19902,20297,20166,18567,18929,18831,18285,18269,18281,18791,18992,18819,18541,18081,18459,18103,17828,17778,18120,17543,17918,17950,18288,18434,18554,18775,18651,18341,18168,18501,18256,18868,20139,19669,19507,19572,19967,20064,19511,20391,20448,21427,20705,20589,20244,21248,21174,21353,21462,21115,21515,22021,22057,22408,22304,22533,22374,22681,22448,22635,22539,23115,23020,22517,22796,22649,23026,22560,23216,23076,23332,23429,23635,24098,24617,24517,24658
"48","40","D     Miscellaneous durable goods wholesalers","KP42190",12565,12887,12690,12817,12573,12275,12788,12738,13153,12616,12889,12646,12571,12606,13019,12853,12371,12670,12822,12339,11858,12570,12546,12685,13210,13418,13289,13413,13881,13659,13501,13772,14097,13877,13983,14262,14139,14067,14324,14387,15154,14373,14526,14291,14468,14909,14667,14872,14602,14525,14296,14156,14047,14327,14441,14557,14086,13559,13204,13762,14246,14570,13867,14179,14181,14277,14706,14743,14140,13902,14134,13715,13772,13623,13740,13620,13698,13915,13752,13581,13900,14348,14211,14028,13898,13976,14686,14968,15010,15038,14843,14890,14950,15206,16207,16204,16106,16263,16094,15953,15739,15586,15371,15198,15371,15468,15595,15728,15765,15346,15099,14901,15404,15481,15479,15326,15164,15247,14837,14743,14991,14871,15469,16091,16322,16168,16030,16324,15629,15584,16119
"49","41","A   Nondurable goods merchant wholesale industries","KP42WN0",95988,97339,97195,95573,96756,97287,96903,97069,97521,97598,97357,97912,99479,99711,100065,100685,100937,100305,101497,102344,104069,104031,104951,106237,103618,104904,105880,104843,107051,107799,107280,107189,107333,108638,109280,107861,108769,106651,107593,109719,108451,110761,111178,111034,110988,111300,110276,114271,112533,112176,110838,110976,111519,110227,113009,112305,113774,114341,114821,115285,115632,115271,114385,115879,116289,117612,116678,117279,116719,116063,119437,118536,117570,115989,115398,115858,116424,117529,118717,118176,117573,118160,118047,117424,116871,118004,119434,117350,117150,117799,117102,119041,119833,117842,119425,120478,121901,121474,119016,120505,121326,120082,119924,120393,121969,122505,122835,121885,123655,125057,125365,125468,124948,126379,126257,127463,129111,128805,126694,127574,127605,127686,128867,130661,132323,132187,131744,135428,134905,136891,132318
"50","42","D     Paper and paper products wholesalers","KP42210",6195,6473,6315,6485,6068,6083,6131,6232,6248,6229,6243,6079,6107,6150,6309,6344,6286,6365,6357,6410,6553,6604,6670,6831,6812,6917,6631,6833,6903,6984,6951,6932,6938,7003,6991,6733,6960,6863,6932,6634,6614,6523,6615,6617,6588,6571,6582,6601,6540,6541,6468,6505,6492,6423,6395,6475,6199,6296,6451,6444,6403,6453,6405,6466,6518,6564,6600,6520,6491,6477,6547,6511,6584,6509,6580,6498,6411,6468,6538,6366,6617,6791,6603,6749,6648,6894,7015,7062,7040,7020,6942,6879,6967,7028,7085,7039,7039,7034,6786,6958,6971,6977,7157,7458,7591,7479,7436,7496,7416,7327,7370,7376,7369,7234,7171,7126,6954,7054,7062,7066,7133,7224,7204,7267,7245,7205,7312,7325,7295,7256,7244
"51","43","D     Drugs and druggists' sundries wholesalers","KP42220",9299,9431,9697,9711,9864,9978,10147,10222,10226,10189,10295,10367,10921,11047,10799,10417,10459,10394,10674,10732,10879,11095,11140,11476,11669,11786,11939,12336,12446,12415,12514,12630,12527,12533,12935,13294,12849,12996,13517,13603,13903,14148,14307,14396,14365,14704,14840,15087,15686,15503,15361,15473,15871,16224,16456,16787,17545,18116,17795,18113,18353,18668,18891,18971,18871,19211,18658,18809,19158,18922,19818,19469,19540,19806,19998,20276,20609,20660,21143,21345,20806,21225,20897,21140,20691,20685,21340,21243,21333,21180,21856,21761,22143,22302,22578,21995,23707,22772,22135,23058,22769,23161,22814,22774,24140,23829,24262,24314,24409,25249,25275,25366,25836,25845,25754,26177,25693,25808,25404,25832,25707,25599,26054,26128,26196,26131,26621,26785,25896,26807,26860
"52","44","D     Apparel, piece goods, and notions wholesalers","KP42230",6913,6949,6818,7068,6929,6842,7206,7102,7074,6920,7025,7151,7290,7247,7216,7014,6880,6809,6903,6914,6555,7060,6790,6812,6963,6837,7365,7158,7220,7164,7107,7119,7203,7148,7208,7295,7173,7294,7389,7450,7467,7585,7384,7280,7398,7412,7304,7734,7504,7536,7124,7423,7824,7405,7382,7453,7519,7685,7821,7677,7590,7890,8055,8137,8209,8163,8339,8474,8132,7989,8398,7777,8117,7787,7835,7697,7802,7769,7917,7956,8147,8025,8219,8244,8076,8410,8456,8198,8291,8171,8029,8265,8338,8114,8119,8618,8351,8367,8378,8663,8783,8635,8778,8355,8331,8750,8652,9068,9296,8729,8863,9062,8946,9442,9413,9514,9544,9687,9684,9390,9526,9700,9377,9446,9695,9800,9825,10051,9885,9583,9979
"53","45","D     Grocery and related products wholesalers","KP42240",27761,27900,28153,27884,27861,28211,28036,27781,27481,27160,27839,27767,28231,28846,28541,28721,28843,29206,29256,29166,29359,29308,29349,29382,28847,29363,29607,29642,30025,29682,29800,30386,30644,30900,31444,31254,31321,31439,31245,31634,31343,31960,31906,32160,31773,31753,32014,33359,31799,31512,31441,31757,31189,31272,31678,31223,31070,31129,31744,31594,31779,31836,31120,31842,32116,32419,32606,33014,33070,33078,33292,33156,32884,33434,33281,33224,33297,33444,33886,33262,32905,32416,32227,31412,32201,32164,32693,31772,31025,31403,31762,32240,31912,31409,31581,32116,31956,32113,31907,31901,32407,32662,32905,33071,32875,32897,33119,32551,33130,33568,33436,33430,33397,33683,33337,33968,33748,33820,33880,34329,35183,35258,35383,35478,35671,35863,35631,35994,36122,35840,36009
"54","46","D     Farm product raw material wholesalers","KP42250",7998,8138,7156,7372,7456,7621,7391,7698,8108,9077,7991,7944,8135,7449,7244,7584,7617,7360,7743,8343,8745,8366,8346,8749,7993,8322,8214,8136,8739,8900,9396,8452,9172,9308,8830,8716,8527,8120,8316,8783,8459,9188,9777,9872,9396,9151,8701,9058,8667,9469,9400,9225,9085,8438,8805,8788,8680,8764,8585,8350,8740,8589,8566,9118,8740,9068,8781,8130,7859,8261,9013,9438,9003,8392,8289,8169,8044,8782,8709,8852,8455,9095,9014,8862,8489,8454,8240,8396,7958,8023,8267,9179,9105,9701,9608,9594,9125,9340,8541,9176,9090,9022,9213,9039,9746,9794,9792,9112,9138,9578,10112,10032,10067,10275,10330,10700,10496,9304,8285,8402,9008,8704,9045,9582,10186,9792,10610,11659,11282,9976,10414
"55","47","D     Chemical and allied products wholesalers","KP42260",4585,4683,4778,4836,4784,4946,5004,4883,4968,4867,4824,4837,4919,4910,4741,4771,4815,4753,4734,4821,4811,4913,4891,4824,4839,4589,4834,4755,4840,5055,4907,4929,4856,4881,4981,4973,4975,4756,4998,5069,4990,5091,5012,5098,5131,5161,5072,5219,5005,5075,5078,4958,4993,4984,5171,5084,5013,5066,5131,5132,5249,5338,5045,5304,5451,5289,5218,5305,5370,5218,5147,5031,5132,4907,4966,5049,5052,5009,5098,4950,5050,5087,5077,5079,4996,5002,5081,5032,4984,5074,5071,5085,4965,4968,5119,5095,5226,5205,4993,5243,5251,5320,5226,5289,5154,4983,5150,5081,4870,4980,5001,4970,4987,5000,5049,5035,5112,5140,5225,5307,5323,5215,5287,5301,5261,5059,5076,5189,5292,5501,5194
"56","48","D     Petroleum and petroleum products wholesalers","KP42270",15890,15690,16461,14842,15915,16277,15994,16163,15779,15323,16009,16056,16153,16629,17715,17593,17403,18222,18090,18453,18897,18687,19265,20190,19086,19563,19872,17327,18027,18265,17482,17107,16772,16842,16493,15217,15860,15037,14289,15596,15127,15284,15926,15592,15875,16031,15401,16415,16827,16085,16126,15780,16169,15554,16519,15933,17077,17125,17632,18339,17959,16449,16521,16571,16784,17310,16445,16955,16933,16524,17305,17046,16360,15127,14959,15366,16451,16113,15550,15277,15925,15341,15780,15478,15547,16186,16113,15037,15840,15994,14402,14373,15178,13702,14377,14509,14976,14901,14685,14435,14680,13842,13733,14076,13969,13940,14086,14152,14440,14644,14932,14313,13955,14009,14283,14159,15506,15924,15293,15527,14992,15442,15078,15634,15486,15513,15078,16266,16430,17910,15015
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",4850,4913,5006,4761,5040,4958,5088,5073,5178,5143,5113,5400,5117,5149,5247,5318,5319,5139,5360,5304,5649,5527,5420,5521,5602,5573,5574,5657,5723,5731,5678,5784,5935,5998,5986,5886,5985,5824,5958,5964,5851,5989,5864,5972,6007,6069,6081,5972,6211,6137,5731,6005,5968,6003,6063,5935,5904,5882,6085,6330,6146,6361,6464,6414,6367,6414,6385,6445,6335,6232,6277,6599,6281,6448,6431,6355,6327,6365,6627,6697,6379,6607,6544,6559,6475,6295,6264,6416,6692,6549,6593,6381,6711,6647,6646,6816,6756,6744,6813,6803,6869,6888,6638,6838,6752,6837,6742,6656,6844,6947,6784,6866,6837,7049,6917,7184,7250,7268,7383,7305,7243,7096,7378,7253,7293,7366,7348,7315,7375,7491,7395
"58","50","D     Miscellaneous nondurable goods wholesalers","KP42290",12680,13346,13566,12931,13379,12921,12455,12418,12727,12498,12351,12646,12861,12870,13322,13840,14129,13244,13349,13187,13700,13439,14306,14001,13033,13291,13213,13365,13605,14157,13764,14033,13386,14110,14388,14302,15060,14251,14912,14962,14682,14984,14416,14104,14483,14468,14336,14850,14296,14304,14097,13841,13940,13899,14557,14587,14831,14362,13788,13707,13768,13620,13341,13097,13297,13307,13637,13745,13536,13432,13653,13416,13607,13701,13201,13262,12555,12878,13193,13383,13286,13451,13561,13816,13707,13859,14283,14278,14084,14416,14413,15068,14577,14459,14584,15009,15007,15253,15027,14732,14915,14326,14356,14182,14392,15082,14571,14352,14991,14816,14243,15187,14960,15399,15213,15131,15278,15079,15125,14906,14287,14082,14893,14992,15882,16158,15158,14892,15166,15650,15792
"59","51","A Retail trade industries","KP440",215011,216880,217363,216848,214952,218291,221423,222324,222324,222556,224552,224643,225783,226714,229000,231954,233591,234939,233573,232863,236234,239592,241679,243976,245342,248562,249958,248666,252334,252334,253767,255594,256354,256617,259778,264434,263437,265845,267353,263599,264248,263886,265186,266133,268810,267677,266731,267401,269392,269644,268233,271968,272356,271224,271386,273603,268432,289478,281720,280550,280728,282557,281161,284216,280167,284445,286723,288494,283514,285617,287186,289656,290913,284979,289626,290775,293537,296225,300761,304610,302029,301747,307192,305706,306873,307256,312251,308492,312256,306620,312232,312504,317834,317002,318267,322495,321500,322681,322069,325113,324270,330547,335274,328115,324776,326586,332988,333860,343606,341328,341288,343149,339286,340661,343423,343165,344010,346983,349583,351744,352467,354174,355267,353106,357497,354315,356671,358468,361581,360693,363014
"60","52","A   Motor vehicle and parts dealers","KP4410",56534,56896,56209,56268,54457,55955,57787,58614,57672,57674,58603,58836,58600,58029,59087,61105,62097,62150,59804,58410,60969,62765,62901,64115,64546,65283,65674,65758,67526,67391,68609,69072,68718,68352,69236,70017,71731,73001,72388,70081,69378,69542,69754,69439,71140,69303,68315,67890,69572,69819,69432,70473,71166,71047,69735,70242,68834,85214,76022,72878,72300,73083,72355,73813,70307,73876,76030,77667,73048,72875,73745,75567,75754,72673,75074,75722,75767,75568,77768,80013,78418,77771,80576,78511,78168,79690,80783,78268,81608,75960,79659,79732,83214,82337,80839,82861,80619,80873,80573,81909,80236,83575,88993,80372,77143,75271,79368,80091,83587,80308,80858,81418,79122,79204,80739,80422,81199,82094,82491,83652,83217,84188,84592,83576,84604,82095,81900,84387,85682,85298,84027
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KP44230",9704,9919,9941,10182,10210,10294,10496,10695,10775,10828,11041,11159,11359,11458,11440,11407,11554,11874,12047,12253,12238,12390,12722,12885,12811,13083,13320,13359,13622,13856,14021,14251,14545,14632,14661,14973,15232,15491,15523,15788,15674,15607,15747,15920,15991,15966,15844,15454,16254,16144,16243,16190,16374,16686,16855,16996,16715,17071,17798,18200,18180,18537,18717,18611,18868,18802,18623,18828,19010,19172,19374,19509,19427,19000,19691,19906,20651,21013,21316,21864,22178,22325,22615,22828,22802,22959,23534,23657,23625,24094,24849,24726,24804,25062,25301,25668,25740,26579,26448,26719,26811,27393,27686,28196,28626,29018,28992,28816,30461,30084,30446,30678,30865,31466,31560,31747,32100,31906,32748,33164,33319,33336,33292,33363,33891,33624,34478,34685,34992,35136,36057
"62","54","A   Building material and garden equipment and supplies dealers","KP4440",18964,19248,19457,19360,19331,19544,19657,19654,20024,20149,19998,20082,20286,20374,20456,20776,20895,20985,21249,21077,21551,21891,22208,22472,22420,22714,22517,22397,22445,22432,22326,22627,22828,23323,23881,23983,24295,23907,25214,23447,23849,23803,23906,24160,24092,24254,24233,24980,24919,25343,25176,26276,25666,25338,25388,25286,24847,25545,25611,25482,26089,26094,26142,27192,26807,26789,26584,26747,26788,26869,27050,26355,27438,25760,27397,27208,27699,28387,28858,28864,28543,29039,29049,28935,28795,28432,30877,30146,29943,30453,30464,30078,30453,30436,30967,31562,31348,30883,31361,31905,32444,32411,32410,32401,32969,33405,34090,33689,36024,36278,36132,36008,35134,35097,35231,35378,34772,34995,34753,34807,34755,34348,34845,34222,35855,34913,35055,34791,34592,34300,34925
"63","55","A   Food and beverage stores","KP4450",37720,37507,37692,37648,37414,37422,37558,37698,37685,37665,37708,37530,37463,37441,37803,37660,37780,38008,38062,38210,38260,38176,38321,38396,38134,38456,38498,38695,38889,38608,38769,38853,39118,38829,38997,40195,38468,38712,39243,39630,39307,39677,39430,39442,39424,39708,39569,39608,39606,39717,39626,39785,39941,39808,39787,39909,40020,40105,40022,40283,39820,39654,39519,39134,39339,39286,39270,39166,39061,39298,39454,39390,39716,39517,39518,39667,39195,39686,40016,39851,39848,39748,39668,39487,40118,39685,40104,39961,39915,39995,39907,40108,40423,40327,40517,40648,40831,40867,40909,40924,40955,41110,41049,41263,41384,41408,41485,41555,41486,41850,41778,41870,42074,42204,42302,42443,42111,42986,42869,43227,43014,43092,43138,43053,43077,43082,43347,43036,43259,43335,43549
"64","56","A   Clothing and clothing accessories stores","KP4480",11491,11534,11557,11379,11351,11633,11735,11961,11937,11959,12116,12236,12318,12452,12578,12700,12600,12808,12832,12702,12541,12946,13079,13190,13478,13518,13692,13698,13951,13931,13893,14032,13971,14025,14053,14107,14048,14328,14678,14515,14864,14651,14735,14977,15307,15046,15029,14905,14917,15003,14664,14944,14880,14782,14890,15145,14280,15079,14935,15305,15380,15630,15448,15714,15391,15703,15590,15631,15243,16076,15924,16247,16159,15811,16241,16229,16587,16748,16997,16995,17163,16964,17282,17526,17646,17793,18050,17544,17694,17483,17660,17771,17949,18235,18164,18367,18461,19015,18487,19176,19005,19378,19111,19260,18867,19732,19744,19811,20121,20137,19986,20264,20096,20340,20637,20408,20886,20738,20613,20784,21292,20810,21434,21156,21791,21610,21854,21900,21816,21623,21849
