"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134"
"11","3","    Durable goods manufacturing industries","PK30D3",102.822,102.794,102.835,102.811,102.509,102.441,102.307,102.202,102.104,101.93,101.815,101.641,101.44,101.321,101.231,101.099,100.922,100.773,100.806,100.698,100.666,100.531,100.47,100.232,100.088,100.076,99.99,99.928,99.998,99.978,99.925,99.946,99.866,100.039,99.947,99.942,100.01,100.055,100.077,100.039,99.942,99.953,100.057,100.022,100.1,99.969,99.95,99.822,99.807,99.619,99.613,99.569,99.686,99.638,99.572,99.417,99.497,99.004,99.011,99.056,98.967,99.004,99.054,98.929,98.874,98.947,98.783,98.713,98.822,98.773,98.761,98.569,98.61,98.537,98.756,98.431,98.468,98.457,98.582,98.583,98.751,99.003,99.198,99.145,99.148,99.693,100.409,101.071,101.652,101.825,101.843,102.53,102.839,103.158,103.184,103.535,103.977,104.121,104.206,104.2,104.104,104.044,104.192,104.179,104.455,104.756,104.894,105.112,105.669,105.89,106.248,106.87,107.68,107.987,108.089,108.558,108.794,108.521,109.097,109.131,109.138,108.98,109.199,109.746,109.849,110.185,110.257,110.066,109.772,109.626,109.941
"12","4","      Wood product manufacturing","PK3213",100.098,101.005,101.429,102.043,102.378,101.975,102.068,101.61,101.209,100.899,101.346,101.003,100.335,100.384,99.933,100.028,98.997,97.824,98.994,99.935,99.662,98.941,98.764,99.041,99.771,100.442,101.44,101.355,102.619,105.153,107.8,106.421,104.394,102.646,102.344,102.856,103.211,102.682,102.457,102.06,100.011,99.771,98.897,97.784,97.924,98.471,98.165,97.616,96.489,96.449,96.476,96.516,101.051,102.114,99.438,99.324,99.073,97.432,97.147,96.535,97.16,97.376,98.413,98.329,97.643,96.97,97.114,97.634,97.124,97.313,97.122,97.312,97.184,97.579,96.631,96.767,97.137,97.928,100.41,101.318,106.021,107.185,108.297,106.63,105.129,108.763,112.344,114.582,117.111,114.183,112.019,116.641,117.231,113.73,110.686,111.967,112.626,114.476,114.617,113.783,111.757,114.491,112.986,111.99,114.749,116.948,113.223,113.96,114.898,114.208,114.093,114.193,115.017,112.739,111.733,110.524,110.298,108.973,109.515,109.637,109.691,108.762,108.843,108.929,109.151,109.781,111.159,110.504,109.503,108.976,108.761
"13","5","      Nonmetallic mineral product manufacturing","PK3273",94.413,94.427,94.534,94.726,94.718,94.713,94.754,94.93,94.928,95.191,95.256,95.276,95.068,95.149,95.22,95.671,95.918,96.225,96.604,96.809,96.917,97.074,97.086,97.14,97.268,97.847,97.942,98.028,98.306,98.513,98.539,98.908,98.98,99.324,99.39,99.36,99.821,99.947,100.037,100.038,100.114,100.186,100.093,99.915,100.107,100.016,99.96,99.76,100.102,100.702,100.624,100.709,100.815,100.649,100.985,101.042,101.235,101.451,101.667,101.546,101.523,101.172,101.092,101.293,101.587,101.749,101.733,102.05,102.125,102.091,102.067,102.118,101.994,102.073,102.057,102.288,102.246,102.159,102.206,102.35,102.463,102.536,102.859,102.961,102.951,103.662,103.669,104.093,104.639,105.059,105.6,106.327,107.099,107.54,107.781,108.033,109.217,109.867,110.436,110.954,111.316,111.809,112.693,113.438,113.962,114.607,115.317,115.856,117.996,118.645,119.154,119.589,120.194,120.561,121.357,121.535,121.744,121.608,121.849,121.932,122.418,122.33,122.696,122.894,122.742,123.263,122.772,123.059,123.027,122.71,122.962
"14","6","      Primary metal manufacturing","PK3313",104.518,104.959,105.602,105.557,105.655,106.021,105.581,105.673,105.484,105.266,105.103,104.423,103.668,103.357,102.83,102.702,102.19,101.45,100.745,100.348,99.865,99.213,98.493,97.443,96.531,95.878,95.496,95.376,95.792,95.671,96.145,96.406,96.806,97.691,97.943,98.401,99.502,100.26,100.208,100.41,100.38,100.013,100.183,100.148,100.367,100.179,99.182,99.119,98.761,98.414,97.99,97.174,97.222,96.789,96.486,96.079,95.847,95.348,95.124,95.057,94.797,94.721,95.308,95.547,96.076,97.105,97.52,97.498,98.2,98.333,99.064,99.244,99.015,98.907,98.621,98.072,98.186,98.487,98.618,98.94,99.392,100.399,101.392,102.593,104.985,108.743,112.232,116.815,119.457,119.72,121.913,125.552,127.489,129.7,130.919,132.504,134.249,134.827,134.056,132.996,131.236,129.603,128.369,127.496,128.981,132.108,135.683,138.11,140.579,142.277,143.152,147.932,155.751,157.984,162.081,163.426,163.869,164.546,162.251,162.368,159.221,159.675,163.821,170.481,172.101,172.518,172.515,168.639,166.255,165.73,167.379
"15","7","      Fabricated metal product manufacturing","PK3323",96.85,96.945,97.108,97.219,97.344,97.419,97.637,97.814,97.884,98.012,98.051,98.055,98.14,98.233,98.321,98.359,98.488,98.638,98.611,98.607,98.671,98.684,98.845,98.763,98.741,98.707,98.687,98.79,98.814,98.881,98.891,98.927,99.032,99.176,99.335,99.359,99.514,99.632,99.892,99.995,99.874,100.01,100.018,100.056,100.147,100.231,100.288,100.36,100.547,100.559,100.624,100.703,100.787,100.747,100.798,100.8,100.819,100.91,100.902,101.009,101.083,101.022,101.011,101.035,101.099,101.148,101.332,101.347,101.393,101.497,101.519,101.545,101.568,101.594,101.603,101.593,101.581,101.598,101.76,101.798,101.902,102.026,102.26,102.457,103.133,103.981,105.491,106.794,107.97,108.652,109.104,109.966,110.54,111.004,111.405,111.595,112.298,113.139,113.487,113.753,113.894,113.997,113.964,114.158,114.364,114.787,115.201,115.541,116.165,116.435,116.862,117.432,117.92,118.583,119.573,120.226,120.589,121.125,121.369,121.782,122.416,122.839,123.28,123.726,124.135,124.235,124.414,124.525,124.568,124.657,125.558
"16","8","      Machinery manufacturing","PK3333",96.501,96.571,96.698,96.869,96.971,96.96,97.105,97.236,97.289,97.394,97.434,97.52,97.582,97.67,97.808,97.94,98.014,98.137,98.183,98.271,98.459,98.452,98.579,98.664,98.813,98.882,98.9,99.039,99.135,99.163,99.204,99.265,99.249,99.371,99.372,99.469,99.559,99.646,99.701,99.777,99.84,100,100.084,100.156,100.251,100.262,100.328,100.425,100.56,100.651,100.716,100.835,100.945,101.041,101.069,101.17,101.2,101.24,101.373,101.379,101.371,101.408,101.547,101.447,101.493,101.5,101.606,101.613,101.728,101.91,101.967,102.018,102.1,102.094,102.087,102.181,102.2,102.357,102.38,102.508,102.703,102.817,102.779,102.957,103.033,103.328,103.65,104.025,104.254,104.503,104.919,105.059,105.394,105.709,106.053,106.32,106.982,107.279,107.723,107.961,108.45,108.663,108.944,109.199,109.399,109.662,109.95,110.266,110.678,110.877,111.106,111.297,111.58,111.931,112.296,112.613,113.018,113.441,113.771,113.991,114.456,114.746,115.103,115.491,115.631,115.867,116.055,116.549,116.646,116.787,116.973
"17","9","      Computer and electronic product manufacturing","PK3343",121.271,120.544,120.027,119.686,117.947,117.389,117.052,116.003,115.482,114.673,114.209,113.867,113.208,112.412,111.806,110.968,110.41,110.028,109.505,108.841,108.377,107.849,107.484,106.842,106.406,106.054,105.683,105.179,104.782,104.244,103.35,103.236,102.759,102.421,102.051,101.558,101.108,100.785,100.522,100.287,99.787,99.874,100.049,100.075,99.88,99.588,99.378,98.846,98.711,98.381,97.992,97.484,97.257,96.791,96.448,95.729,95.566,95.38,95.228,95.058,94.948,94.583,94.582,93.96,93.674,93.414,92.781,92.49,92.345,91.832,91.459,90.697,90.418,89.772,89.627,89.599,89.418,88.98,88.62,87.669,87.327,86.958,86.957,86.389,85.928,85.727,85.51,85.459,85.313,85.231,84.931,84.839,84.622,84.466,84.07,84.156,83.819,83.694,83.551,83.376,83.164,83.067,83.045,83.103,82.602,82.39,82.086,81.767,81.648,81.47,81.95,82.225,82.195,82.12,82.145,82.22,82.344,82.002,81.985,81.911,82.127,80.829,80.111,79.999,79.243,79.391,78.738,78.404,78.173,77.755,77.274
"18","10","      Electrical equipment, appliance, and component manufacturing","PK3353",98.988,99.132,99.475,99.49,99.717,99.773,99.607,99.471,99.419,99.351,99.247,99.225,99.132,98.954,99.145,99.106,99.102,99.292,99.199,99.243,99.31,99.129,99.055,98.931,98.889,98.581,98.511,98.427,98.572,98.458,98.72,98.888,99.25,99.387,99.347,99.366,99.561,99.895,100.012,99.863,99.977,99.932,100.015,100.15,100.154,100.26,100.119,100.074,100.162,100.106,100.117,99.958,99.893,99.869,99.745,99.657,99.725,99.574,99.636,99.675,99.739,99.739,99.428,99.469,99.306,99.402,99.376,99.404,99.292,99.282,99.327,99.262,99.402,99.036,99.036,99.086,99.1,99.199,99.138,99.25,99.256,99.387,99.593,99.897,100.086,100.613,101.762,102.555,103.2,103.303,103.324,103.642,103.933,104.486,104.623,104.864,106.002,106.476,106.974,107.14,107.184,107.483,107.818,107.874,108.345,109.211,110.717,111.529,112.213,112.537,112.893,114.306,116.901,118.636,118.698,119.721,119.594,119.697,119.436,119.208,118.831,118.832,118.801,120.113,121.105,121.988,122.787,123.466,123.32,124.369,123.602
"19","11","      Transportation equipment manufacturing","PK3363",99.568,99.558,99.572,99.396,99.173,99.19,98.874,99.063,99.092,98.951,98.76,98.553,98.521,98.6,98.702,98.659,98.502,98.382,98.807,98.707,98.885,99.003,99.107,98.909,98.735,98.942,98.8,98.84,98.94,98.853,98.709,98.841,98.963,99.588,99.445,99.509,99.545,99.617,99.747,99.744,100.065,99.982,100.218,100.14,100.385,100.018,100.346,100.315,100.318,99.781,100.091,100.434,100.192,100.284,100.649,100.646,101.032,99.701,99.808,100.152,99.856,100.223,100.145,100.06,99.982,100.167,99.76,99.577,99.858,99.839,99.87,99.649,99.904,100.089,101.111,99.998,100.171,100.157,100.342,100.675,100.613,101.167,101.3,101.249,101.316,101.286,101.704,101.782,102.163,102.668,102.285,102.532,102.64,103.461,103.534,103.799,104.12,103.624,103.664,103.804,103.903,103.455,104.134,104.089,104.293,103.876,103.654,103.447,103.873,104.173,104.416,104.665,104.745,104.965,103.712,104.581,104.958,103.811,106.002,105.894,105.808,105.926,105.965,105.923,106.175,106.727,107.177,107.236,106.907,106.621,107.447
"20","12","        Motor vehicle and parts manufacturing","PK3MV3",100.781,100.753,100.757,100.548,100.191,100.209,99.723,99.956,100.006,99.861,99.585,99.279,99.319,99.404,99.51,99.39,99.113,98.954,99.416,99.281,99.473,99.688,99.827,99.537,99.269,99.527,99.316,99.452,99.568,99.437,99.237,99.393,99.5,100.127,99.875,99.884,99.894,99.761,99.899,99.814,100.18,99.97,100.169,100.028,100.279,99.786,100.173,100.104,100.042,99.212,99.599,99.997,99.585,99.646,100.096,100.021,100.472,98.574,98.715,99.136,98.728,99.179,99.025,98.937,98.794,99.023,98.349,98.04,98.382,98.3,98.274,97.903,98.138,98.332,99.601,98.047,98.19,98.096,98.293,98.658,98.514,99.009,99.163,99.003,98.923,98.833,99.327,99.255,99.726,100.244,99.511,99.699,99.78,100.675,100.641,100.853,101.02,100.294,100.123,100.341,100.354,99.722,100.562,100.379,100.58,99.771,99.422,99.007,99.361,99.638,99.848,100.002,100.059,100.287,98.483,99.598,100.064,98.255,101.018,100.772,100.722,100.772,100.905,100.883,101.17,101.845,102.36,102.358,101.786,101.18,102.312
"21","13","        Other transportation equipment manufacturing","PK3OT3",96.379,96.406,96.435,96.336,96.447,96.456,96.578,96.648,96.613,96.476,96.517,96.564,96.357,96.417,96.51,96.655,96.813,96.787,97.13,97.113,97.256,97.143,97.163,97.203,97.267,97.339,97.384,97.164,97.218,97.252,97.254,97.317,97.473,98.089,98.244,98.46,98.562,99.223,99.318,99.548,99.74,99.988,100.33,100.423,100.653,100.63,100.808,100.895,101.105,101.295,101.413,101.6,101.807,101.975,102.128,102.314,102.554,102.619,102.651,102.81,102.797,102.948,103.06,102.986,103.09,103.153,103.496,103.677,103.78,103.928,104.112,104.285,104.633,104.792,105.091,105.29,105.547,105.772,105.925,106.153,106.348,107.084,107.151,107.436,107.733,107.896,108.072,108.626,108.721,109.187,109.869,110.296,110.485,111.068,111.463,111.878,112.644,112.857,113.537,113.452,113.795,113.893,114.103,114.457,114.64,115.384,115.507,115.839,116.517,116.898,117.241,117.757,117.908,118.106,118.379,118.584,118.738,119.29,120.044,120.324,120.122,120.413,120.208,120.118,120.285,120.54,120.84,121.052,121.301,121.762,121.903
"22","14","      Furniture and related product manufacturing","PK3373",95.452,95.571,95.544,95.872,95.96,95.985,96.214,96.16,96.373,96.336,96.579,96.643,96.775,96.916,96.966,96.967,97.212,97.145,97.146,97.252,97.288,97.479,97.503,97.65,97.77,97.816,97.824,97.903,98.061,98.269,98.421,98.707,98.807,98.912,99.012,99.141,99.248,99.367,99.642,99.837,99.95,100.016,100.136,100.268,100.252,100.3,100.424,100.498,100.652,100.851,100.98,101.101,101.28,101.396,101.473,101.438,101.551,101.605,101.644,101.639,101.759,101.878,101.849,101.813,101.888,102.029,102.391,102.494,102.793,102.864,102.934,102.897,103.061,103.015,103.048,103.185,103.243,103.304,103.381,103.402,103.157,103.365,103.335,103.542,103.427,103.811,104.036,104.098,104.435,104.687,104.911,105.495,105.622,105.744,106.72,107.054,107.33,107.668,107.732,108.102,108.574,108.772,109.208,109.162,109.505,109.848,110.135,110.534,110.954,111.174,111.352,111.375,111.84,112.051,112.268,112.402,112.649,112.914,112.964,112.903,113.416,113.76,113.692,113.861,113.975,113.702,113.642,113.64,113.94,114.079,114.299
"23","15","      Miscellaneous durable goods manufacturing","PK3393",97.431,97.413,97.558,97.736,97.78,97.92,97.93,98.039,98.084,98.142,98.1,98.043,98.07,98.116,98.22,98.212,98.279,98.291,98.408,98.487,98.679,98.73,98.804,98.816,98.821,98.738,98.981,99.126,99.094,99.024,99.063,99.022,98.975,99.25,99.219,99.355,99.416,99.724,99.752,99.628,99.597,99.827,99.996,100.128,100.24,100.384,100.519,100.697,100.904,100.909,101.017,101.097,101.331,101.417,101.59,101.729,101.932,101.955,102.076,102.11,102.107,102.373,102.311,102.52,102.513,102.689,102.747,102.813,102.936,103.119,103.202,103.207,103.482,103.532,103.625,103.756,103.725,103.828,104.004,104.075,104.048,104.183,104.245,104.325,104.628,104.81,104.805,104.975,105.005,105.328,105.39,105.741,106.081,105.706,105.744,106.075,106.44,106.624,106.827,106.784,107.055,107.092,107.259,107.361,107.545,107.822,107.899,108.092,108.297,108.227,108.565,108.911,109.31,109.24,109.607,109.748,109.522,109.615,110.035,110.143,110.549,110.931,110.989,111.067,111.03,111.195,111.084,111.216,111.469,111.717,111.882
"24","16","    Nondurable goods manufacturing industries","PK30N3",94.875,94.669,94.457,93.905,93.627,93.436,93.174,93.783,93.703,93.577,93.644,93.668,92.659,92.32,92.025,91.98,91.975,91.874,91.869,91.479,91.117,91.14,90.96,90.885,91.081,90.462,90.915,92.037,92.123,92.372,93.204,94.165,94.928,95.225,95.799,96.832,97.046,98.56,99.754,98.916,99.028,100.516,100.542,99.901,100.9,101.051,101.716,102.14,102.108,102.155,101.668,102.286,102.539,102.068,100.381,100.413,101.219,98.89,97.947,96.917,96.78,96.757,97.855,98.977,98.234,98.885,99.721,99.843,101.407,101.72,101.475,101.834,103.244,106.062,106.746,103.787,102.892,104.115,104.379,105.068,104.832,105.412,106.156,106.957,108.364,108.52,108.754,110.054,111.659,111.499,112.426,112.446,113.311,115.45,117.126,115.962,116.998,118.163,120.013,120.037,119.115,120.183,122.046,122.869,126.734,128.988,126.904,128.014,128.95,127.653,128.165,129.44,130.52,132.593,132.508,132.416,128.736,126.55,129.704,131.182,129.707,131.473,133.511,134.983,137.161,137.517,138.777,136.051,138.262,137.609,147.077
"25","17","      Food manufacturing","PK3113",102.787,102.582,103.612,103.751,104.393,103.543,102.885,103.255,103.023,102.308,102.537,102.251,100.585,100.755,100.118,99.823,100.246,100.578,100.694,101.144,100.702,100.113,100.263,99.825,100.202,99.076,98.472,97.333,98.185,98.621,98.131,99.052,99.574,99.676,99.227,98.999,98.776,99.105,99.43,100.031,100.801,100.866,100.619,99.633,99.633,99.864,100.079,101.13,101.582,101.844,102.56,103.114,103.958,104.273,104.562,105.293,105.023,104.525,102.894,102.443,102.272,102.461,102.549,101.974,101.361,101.751,102.176,102.067,105.778,102.554,102.537,103.577,104.786,105.423,105.494,105.66,106.314,107.823,107.641,108.428,109.829,112.38,112.831,112.329,110.965,111.674,113.77,117.174,119.545,118.699,116.784,114.529,113.695,113.402,113.128,114.001,114.659,114.747,115.861,116.112,116.663,116.089,115.869,115.495,115.698,116.318,115.915,115.936,116.141,114.838,114.875,113.899,114.255,115.508,116.444,116.421,116.609,116.524,118.007,118.674,120.349,122.243,124.345,125.446,127.054,127.864,127.693,127.394,128.314,128.346,129.051
"26","18","      Beverage and tobacco product manufacturing","PK3123",79.888,79.825,80.219,80.86,81.13,81.108,81.189,81.065,81.723,81.798,81.738,82.057,82.177,82.634,82.746,83.731,84.493,84.617,84.672,85.431,85.728,85.923,86.142,93.874,93.706,94.115,94.06,94.124,94.293,94.331,94.787,94.843,98.076,98.201,98.233,98.488,96.992,99.432,99.372,98.807,99.706,99.739,99.812,100.987,101.132,101.275,101.198,101.534,104.243,104.453,104.666,104.472,106.764,106.874,106.975,107.039,107.107,107.38,108.194,108.265,107.505,107.693,107.547,109.261,109.397,109.595,109.681,109.761,110.174,109.785,110.393,107.886,107.425,107.089,107.574,107.259,107.478,107.553,107.756,107.674,107.752,108.566,108.369,108.859,109.77,109.615,109.086,110.061,108.853,109.918,109.677,110.141,109.853,110.338,110.16,110.563,112.66,112.667,112.851,113.097,113.464,113.632,114.143,114.478,114.768,114.659,114.765,114.697,114.558,115.165,115.425,115.102,115.367,115.677,115.496,114.847,115.37,115.249,115.759,116.117,116.207,117.73,118.098,118.901,120.174,119.799,120.398,120.676,121.328,122.508,122.174
