"","Table 5U# BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26"
"23","16","S1     Grocery stores","T050160",345654,350376,359072,365364,373640,381197,386524,402871,410219,427368,429010,437031,450705,468907,484981,504363,523101,523006,533158,560503,576953,589675,603613
"24","17","S3     Specialty food stores","T050170",11625,11870,11918,12190,12579,12966,13203,13179,13965,14925,15400,16183,17256,17542,17834,18684,19169,18951,19484,20439,21486,21907,24179
"25","18","S2     Beer, wine, liquor stores","T050180",22823,22749,23299,23250,24429,25393,26761,27859,30008,31283,31615,32241,34020,35487,38251,40368,41898,42686,43954,45225,47500,49401,51522
"26","19","S1   Clothing and clothing accessories stores","T050190",125944,131396,135572,138334,144081,147816,157058,167906,176242,176750,181629,188817,200057,211714,225172,233747,229146,216423,225827,241744,252918,260070,264178
"27","20","S2     Clothing stores","T050200",89595,93151,94980,95859,99028,103213,109958,117938,124248,126097,129734,135731,144427,153548,163162,170763,167239,160435,167646,177802,186698,190734,193619
"28","21","S2     Shoe stores","T050210",19399,19800,20713,21186,22127,22377,23196,23675,23790,23846,24225,24475,24960,26668,28277,28300,28147,26473,27917,29641,31402,33209,34270
"29","22","S3     Jewelry, luggage, and leather goods stores","T050220",16949,18446,19879,21290,22927,22227,23905,26293,28204,26807,27670,28611,30670,31497,33733,34684,33759,29514,30264,34301,34818,36128,36290
"30","23","S1   General merchandise stores","T050230",262073,281832,301157,317254,331918,350229,370401,400581,424915,451389,471439,494350,521993,558229,586248,612711,630808,624061,640222,663011,681715,694075,708700
"31","24","S1     Department stores","T050240",187876,199415,210372,217381,223098,232433,235579,242805,244346,241501,233572,226318,227194,229379,227227,223541,212226,199840,198573,197643,191003,185026,181391
"32","25","S2     Other general merchandise stores","T050250",74197,82417,90785,99873,108820,117796,134822,157777,180569,209888,237867,268031,294799,328850,359020,389171,418582,424221,441649,465368,490712,509049,527309
"33","26","S1   Other retail stores","T050260",440952,468492,506205,540154,584068,619779,642631,704744,792089,802970,823212,877886,958719,1062105,1158672,1230860,1293263,1168032,1268997,1406279,1460900,1497157,1526018
"34","27","S1     Health and personal care stores","T050270",91250,94380,98327,103879,111425,121131,132245,145479,158319,170050,183677,195876,202263,214158,227701,241283,250154,257260,264438,276225,278832,287311,305851
"35","28","S1     Gasoline stations","T050280",160716,167392,176503,186812,199856,206080,197745,218994,257303,259186,257570,282775,331004,387820,431264,462296,510591,399356,459496,541218,560584,558037,542407
"36","29","S1     Sporting goods, hobby, book, and music stores","T050290",51827,55091,60626,64420,67416,69297,73056,76894,80638,81730,81678,81822,83862,85507,88583,89759,89218,86126,86510,87532,90367,92212,91092
"37","30","S4       Sporting goods, hobby, and musical instrument stores","T050300",35487,37460,41107,43157,45072,46370,48689,51490,54474,55450,55798,56436,58270,60261,64159,66296,66770,65424,66592,69379,73823,76683,76510
"38","31","S4       Book, periodical, and music Stores","T050310",16340,17631,19520,21262,22344,22927,24368,25404,26164,26279,25880,25385,25592,25246,24424,23463,22448,20702,19918,18154,16545,15529,14583
"39","32","S1     Miscellaneous store retailers","T050320",56820,64217,72235,79094,85702,94012,102510,108193,111256,107444,106966,107121,109395,113336,119811,122433,117322,108643,111722,116436,118158,120607,123221
"40","33","S3       Florists","T050330",6680,6803,6928,6992,7475,7692,8002,8237,8600,8293,7891,7315,7126,7520,7733,7677,7064,6113,6052,5696,5802,6016,7518
"41","34","S3       Office supplies, stationery, and gift stores","T050340",22594,25459,28912,31078,32670,35925,39657,42413,44401,42037,41579,40850,41827,42513,44052,44174,41373,38027,38073,38030,37532,36942,36212
"42","35","S4       Used merchandise stores","T050350",5797,6387,6396,6930,7592,8426,9448,9799,10278,10012,9996,9690,9708,9746,10879,11387,11456,10823,11564,12602,13676,14630,15165
"43","36","S4       Other miscellaneous store retailers","T050360",21750,25568,29999,34093,37964,41970,45403,47744,47977,47101,47498,49267,50733,53557,57147,59194,57430,53680,56032,60108,61148,63019,64325
"44","37","S1     Nonstore retailers","T050370",80339,87413,98514,105949,119671,129259,137073,155184,184572,184561,193322,210292,232196,261284,291313,315088,325977,316647,346832,384868,412958,438990,463447
"45","38","S2       Electronic shopping and mail-order houses","T050380",35674,40908,47814,53425,61795,71359,81698,95668,115792,117036,124229,136832,156137,179459,206177,227915,231796,236949,264505,295811,325801,348723,374592
"46","39","S4       Vending machine operators","T050390",7193,7025,7162,6944,7634,7998,8067,8443,8811,8062,8165,7955,8353,8268,8366,8119,7960,6970,6673,6526,6851,6680,6770
"47","40","S4       Direct selling establishments","T050400",37472,39480,43537,45581,50242,49902,47309,51072,59970,59462,60929,65505,67705,73557,76770,79054,86222,72727,75654,82531,80306,83587,82085
"48","41","S1 Food services and drinking places","T050410",214493,227986,238011,246793,255945,272696,287266,300500,321269,335443,349849,370033,394185,419847,448456,472267,484015,479542,494743,521040,551870,571800,607018
"49","42","S4   Full-service restaurants","T050420",91313,96545,102420,105029,110145,121142,126730,132621,141272,148581,156450,164745,174614,184843,197754,208216,209235,205340,209835,224041,238058,246129,264335
"50","43","S4   Limited-service eating places","T050430",92100,100012,103926,109032,111935,115484,122188,126535,134511,140275,145778,155050,167062,178835,188917,197376,205884,207456,216343,226251,238215,248928,261653
"51","44","S4   Special food Services","T050440",18110,18607,19239,19561,20204,21906,23584,25992,29333,30003,30371,31993,34044,37202,41445,45710,47578,45716,47434,49310,53218,54279,57825
"52","45","S4   Drinking places (alcoholic beverages)","T050450",12969,12821,12426,13170,13662,14163,14764,15351,16154,16583,17250,18244,18466,18967,20339,20964,21318,21029,21130,21437,22379,22465,23205
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  S1   Retail and food services except motor vehicle and parts dealers","T050460",1661554,1753330,1865012,1953426,2056145,2162762,2258167,2420538,2594362,2673140,2752474,2888505,3098868,3337731,3550565,3690248,3767097,3553786,3711513,3959081,4115523,4232996,4358210
"55","47","  S1   Retail trade except motor vehicle and parts dealers","T050470",1447061,1525344,1627001,1706633,1800199,1890066,1970901,2120038,2273093,2337697,2402625,2518473,2704683,2917884,3102109,3217981,3283081,3074244,3216771,3438042,3563653,3661196,3751192
"56","48","  S2   GAFO-Department store merchandise stores \1\","T050480",562912,603982,650651,687276,720285,754793,801403,860605,909991,933696,965393,999803,1058069,1122398,1180731,1217713,1214296,1162228,1190668,1234700,1273228,1299234,1322132
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes Furniture and home furnishings stores (line 8), Electronics and appliance stores (line 11),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Clothing and accessories stores (line 19), General merchandise stores (line 23), Sporting goods, hobby,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","book, and music stores (line 29), and Office supplies, stationary, and gift stores (line 34) industries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
