"","Table 3#20# State Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Income taxes","W733RC1",8.6,9.6,11,15.2,16.8,18,19.9,23.4,27.2,31.6,34.6,39.1,43.6,47,53.2,61.9,66.1,70.7,79.1,81.5,92.9,99.6,101.4,109,114.9,120.2,128.4,138.6,149.7,166.8,178.4,199.2,205.7,184.2,185.8,204.4,229.2,252.9,270.6,281.2,235.2
"12","5","    Other","W734RC1",2.2,2.4,2.5,2.7,3,3.1,3.2,3.5,3.7,4,4.3,4.6,4.9,5.3,5.7,6.4,7.1,7.6,8.3,8.9,9.5,10,10.4,11.6,11.3,11.9,12.5,12.3,13,13.6,14.1,14.3,14.4,14.9,16,16.9,17.5,18.3,18.9,19.1,19.6
"13","6","  Taxes on production and imports","W7735C1",29.9,32.7,36.3,40.7,44.7,48.4,51.8,57.7,63.4,70.3,77.1,83.4,92.7,97,106.8,119.7,129,134.9,144.3,155.2,163.5,175.4,180.8,195.9,206.3,220.8,231.3,245,255.4,268.8,283,294.8,300.8,309.6,328.9,352.3,385.4,408.9,424.8,425.6,396.7
"14","7","    Sales taxes","W736RC1",25.7,28.2,31.4,35.2,38.8,42,44.7,49.9,55,60.8,65.7,70,76.5,80.3,90,100.9,109,115.8,124.6,135.1,142.3,152.5,157.5,169.7,179.4,191.7,200.5,211.8,221.3,233.3,245.9,255.5,259.9,267.9,282,300.5,325.7,346.3,358.5,353.9,335.5
"15","8","    Property taxes","W737RC1",0.9,0.9,1,1.1,1.2,1.1,1.4,1.5,1.5,1.9,2.3,2.6,2.7,2.8,3,3.4,3.5,3.6,3.7,3.8,4.3,4.6,4.9,6.1,5.9,7,7.2,8.2,8.1,8.5,9.1,7.8,8.1,7.7,9.1,8.3,9,9.7,9.8,9.8,10.5
"16","9","    Other","W738RC1",3.3,3.6,3.9,4.4,4.7,5.3,5.6,6.3,6.9,7.6,9,10.8,13.6,13.9,13.8,15.5,16.5,15.6,16,16.3,17,18.3,18.3,20.1,21,22.1,23.6,25,26,27,27.9,31.6,32.8,34,37.8,43.5,50.6,52.9,56.4,61.9,50.8
"17","10","  Taxes on corporate income","W739RC1",3.4,3.5,4,5,5.7,6.3,6.9,9.1,10.8,11.5,12.9,13.7,14.5,13.1,14.9,17.4,18.7,20.7,21.8,23.8,22.4,20.5,21.6,22.2,24.5,27.5,29.2,29.9,31,31.6,32.3,31.7,25.9,27.7,30.5,37.1,49.1,52,50.8,42.3,42.1
"18","11","Contributions for government social insurance","W740RC1",1,1.1,1.2,1.3,1.5,1.7,1.8,2.2,2.8,3.4,3.9,3.6,3.9,4,4.1,4.7,4.9,6,7.2,8.4,9,10,11.6,13.1,14.1,14.5,13.6,12.5,10.8,10.4,9.8,10.8,13.7,15.9,20.1,24.1,24.8,21.8,18.9,19.7,21.6
"19","12","Income receipts on assets","W741RC1",2.1,2.5,2.7,2.9,3.9,5,5.6,5.3,6.1,7.4,10.3,13.4,15.6,17.5,19.5,22.4,25.9,27.3,28.3,30.5,32.4,33.9,34.4,33.9,32.5,33.8,36.6,39.3,41.8,43.4,47.1,49.5,47,43,42,44.6,50.5,59.5,63.3,64.3,64.7
"20","13","  Interest receipts","W742RC1",1.8,2.2,2.3,2.5,3.3,4.4,5,4.7,5.4,6.7,9.2,11.2,13.2,15.3,17.2,19.8,23.1,24.5,25.5,27.7,29.8,31.4,31.5,30.8,29.4,30.5,33.1,35.2,37.5,39.3,42.9,44.5,41.9,37.7,35.9,37.5,42.5,50.7,53.5,52.9,52.1
"21","14","  Dividends","W743RC1",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.6,0.8,1,1.4,1.5,1.6,1.5,1.4,1.4,1.6,1.7,2,2.1,2.3,2.4,2.5,2.7
"22","15","  Rents and royalties","W744RC1",0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,1.1,2,2.2,2.1,2.2,2.5,2.6,2.7,2.6,2.7,2.4,2.3,2.6,2.7,2.5,2.5,2.6,2.7,2.7,2.4,2.6,3.6,3.7,3.7,4.4,5.1,6,6.4,7.4,8.9,9.8
"23","16","Current transfer receipts","W745RC1",14.6,17.6,21,27.6,27.9,30,36.9,40.8,44.6,49.5,52.4,59.2,62.8,61.9,66,72.1,76.9,86.7,85.8,93.9,104.6,119.5,144.2,165.4,181,191.9,201,207.5,217.3,230.9,251.8,272.9,304.4,334.6,356.9,380.4,392.1,393.8,420.2,446,541.1
"24","17","  Federal grants-in-aid","W746RC1",13.3,16.2,19.4,25.8,25.8,27.6,33.9,37.1,40.6,45.2,48.3,54.7,57.7,56,58.6,63.3,67.3,74.5,74.9,82.1,91.5,104.7,124.6,141.8,155.9,165.1,173.6,178.4,184.3,194.6,212.7,226.7,253.6,280.3,301.5,320.5,330.2,332.4,353.8,371.4,461.2
"25","18","  Local government grants-in-aid","W747RC1",0.8,0.9,1,1.1,1.2,1.3,1.7,2.3,2.4,2.5,2.2,2.3,2.7,3.1,4.2,5,5.2,5.3,5.5,5.6,5.8,6.2,7.6,9,10.1,11,11.1,12,13.5,13.3,12.9,14,14.9,15.5,16.4,17.6,16.6,15,17.1,17.9,18.4
"26","19","  From business (net)","W748RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.8,0.9,2.8,0.9,1.1,1.3,1.6,2,2.6,2.9,3.4,4.1,5,6.6,9.8,11.4,15,16.1,17.2,16.6,17.7,18.4,18.4,19.5,22.8,24.9
"27","20","  From persons","W749RC1",0.4,0.4,0.4,0.5,0.7,0.8,1,1.2,1.4,1.5,1.6,1.7,2,2.3,2.6,3,3.6,4.1,4.5,5.2,5.9,6.9,10,12.1,12.1,12.4,12.2,12,13,13.2,14.9,17.2,19.8,21.5,22.3,24.6,26.9,28,29.8,33.9,36.7
"28","21","Current surplus of government enterprises","W750RC1",0.8,0.8,0.8,0.9,1,1,1.2,1.3,1.4,1.6,1.7,1.7,1.7,2.1,2.8,3.6,4.6,5.1,5.5,6.5,7.4,7.7,8,8.7,9.3,10,10.8,11.7,12.1,12,11.7,10.8,10.7,10.8,11.6,12.4,13.2,12.9,10.1,8.8,10.5
"29","22","    Current expenditures","W751RC1",61.4,71.3,81.1,90.6,101.2,114.3,132.4,145.1,157.5,171.8,191.9,216.5,238.7,255.9,273.7,297.3,323.6,343.3,372.6,402.7,436.1,478.6,528.1,569.8,603.8,640.5,674.2,701.5,731.9,775.6,844.3,903.8,985.3,1033.8,1068.1,1117.1,1177.7,1218.9,1303.2,1371.7,1420.6
"30","23","Consumption expenditures","W752RC1",23.2,26.7,29.8,32.6,36.5,43.6,51,55.6,60.6,64.7,72,81.2,89.8,96.6,102.6,110.2,118.8,124.4,135.6,146.9,157.9,171.5,179.6,186.4,195.7,207.8,217.1,223.6,235.3,252,280.5,297.9,319,332,333.5,339.5,360.7,374.4,395.6,426.7,429.8
"31","24","Current transfer payments","W753RC1",36.2,42.1,48.3,54.3,60.5,65.8,75.6,83.1,89.8,99.3,110.8,125,137.2,145.4,154.9,168.5,185.1,200.3,215.2,232.6,253.9,280.4,319.5,354.3,379.5,403.2,426.3,444.8,461.9,488,526.7,567.1,617.8,659.1,692.8,734.7,771.7,794.2,846,883.5,930
"32","25","  Government social benefit payments to persons","W754RC1",10.8,12.9,15.3,17.5,19.4,19.9,24.2,26.9,29.1,32,35.4,41.3,46.7,51,55.9,59.8,65.2,71.4,77.4,84.4,94.4,111,137.6,159.5,173.6,184.4,194.8,202.5,206.8,214.6,230.3,248.4,281,307.2,326.1,355.2,373.9,371.2,400.1,420.1,455.5
"33","26","  Grants-in-aid to local governments","W755RC1",25.4,29.2,33,36.9,41.1,45.9,51.4,56.2,60.7,67.3,75.4,83.8,90.4,94.5,99,108.7,120,128.9,137.8,148.1,159.5,169.4,181.9,194.8,206,218.9,231.6,242.4,255.1,273.3,296.4,318.7,336.7,351.9,366.7,379.5,397.8,423,445.9,463.4,474.5
"34","27","Interest payments","W756RC1",1.8,2.2,2.8,3.2,3.6,4.1,4.7,5.3,5.8,6.3,7.3,8.2,9.4,11.3,13.5,15.5,16.3,15,17.6,18.4,19.2,21.2,23.1,23.1,22.6,23.2,24,25.3,26.2,26.7,27.8,29.1,31.1,31.3,31.3,32.7,34.9,38.3,41.4,44.8,45.3
"35","28","Subsidies","W757RC1",0.2,0.3,0.3,0.5,0.7,0.9,1.1,1.2,1.4,1.6,1.8,2.1,2.4,2.5,2.8,3.1,3.3,3.6,4.2,4.8,5.2,5.5,5.8,6,6,6.3,6.7,7.7,8.6,8.9,9.2,9.7,17.4,11.4,10.6,10.2,10.5,11.9,20.3,16.6,15.5
"36","29","Less: Wage accruals less disbursements","W758RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","30","    Net state government saving","W759RC1",1.1,-1.2,-1.7,5.8,3.3,-0.8,-5,-1.8,2.5,7.5,5.3,2.2,0.8,-8,-0.8,10.9,9.5,15.8,7.9,6.1,5.5,-1.9,-15.7,-9.9,-9.8,-9.9,-10.7,-4.7,-0.7,1.7,-16.1,-19.7,-62.7,-93.2,-76.4,-44.9,-15.9,1.2,-25.7,-64.8,-89
"38","31","Social insurance funds","W760RC1",0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.5,1.8,1.3,1.3,1.2,1.2,1.4,1.3,1.9,2.2,2.5,2.3,2,2.4,3.1,4.2,4.6,4,2.8,1.2,1.7,1.7,2,2.6,1.5,3.4,6.9,7.4,4.7,1.9,1.7,2.6
"39","32","Other","W761RC1",1,-1.3,-2,5.5,3,-1.1,-5.4,-2.4,1.5,6,3.6,0.9,-0.5,-9.2,-2,9.5,8.2,13.9,5.7,3.6,3.2,-3.9,-18,-13,-14,-14.5,-14.8,-7.5,-1.9,0,-17.8,-21.7,-65.3,-94.7,-79.8,-51.8,-23.3,-3.5,-27.5,-66.5,-91.6
"40",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","33","  Total receipts","W762RC1",66.2,73.4,83,99.9,107.6,117,131.9,148.1,164.8,184.2,203.4,226.4,246.2,254.1,280.1,316.9,343.7,370.2,391,420.3,453,488.9,525.1,573.3,608.3,646.3,679.8,713.9,749.2,795.7,849.5,907.6,950,970.2,1019.7,1099.8,1192,1253.2,1309.6,1341.5,1368.1
"42","34","    Current receipts","W730RC1",62.6,70.1,79.4,96.3,104.5,113.5,127.4,143.4,160,179.3,197.3,218.7,239.5,247.9,272.9,308.2,333.1,359.1,380.5,408.8,441.7,476.7,512.4,559.9,594,630.6,663.5,696.8,731.2,777.3,828.2,884.1,922.5,940.6,991.8,1072.2,1161.8,1220,1277.5,1306.9,1331.7
"43","35","    Capital transfer receipts","W764RC1",3.7,3.3,3.6,3.6,3.1,3.5,4.5,4.7,4.8,4.9,6.2,7.7,6.6,6.2,7.2,8.7,10.6,11.1,10.5,11.5,11.4,12.3,12.7,13.4,14.3,15.7,16.3,17.1,18,18.4,21.3,23.5,27.5,29.6,27.9,27.6,30.2,33.2,32.1,34.6,36.5
"44","36","  Total expenditures","W765RC1",69.9,80.2,90.7,100.3,110.7,123.7,141.2,153.5,164.6,180.1,202.4,227.3,247.8,262.9,281.7,309.6,339.3,360.8,391.1,423.2,457.3,502.4,552,594.1,628.6,667.6,701.7,727.9,761.4,806.7,879.9,943.7,1030.2,1078.5,1111.1,1163.7,1224.7,1261.7,1344.9,1416.4,1467.8
"45","37","    Current expenditures","W751RC1",61.4,71.3,81.1,90.6,101.2,114.3,132.4,145.1,157.5,171.8,191.9,216.5,238.7,255.9,273.7,297.3,323.6,343.3,372.6,402.7,436.1,478.6,528.1,569.8,603.8,640.5,674.2,701.5,731.9,775.6,844.3,903.8,985.3,1033.8,1068.1,1117.1,1177.7,1218.9,1303.2,1371.7,1420.6
"46","38","    Gross government investment","W767RC1",12.4,13.4,14.1,14.6,15.2,16.6,17,16.8,16,17.7,21.2,23.5,23.8,23,24,28.6,32.8,35.7,38,41.4,43.2,47.3,48.6,49.9,51.8,55.7,58.3,58.8,63.6,66.2,72.4,79.4,86.4,88.1,87.8,90.6,95.8,102.6,106.3,114.6,119.5
"47","39","    Capital transfer payments","W080RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,6.4,0,0,0,0
"48","40","    Net purchases of nonproduced assets","W768RC1",0.2,0.2,0.7,0.7,0.7,0.9,0.9,0.8,0.6,0.6,0.5,0.4,0.5,0.7,0.8,0.9,1,1.3,1.5,1.6,1.6,1.7,1.9,1.9,1.7,1.6,1.6,1.6,1.6,2,2.5,2.6,2.7,3.2,3.4,3.2,1.7,2.1,3.7,3.6,3.5
"49","41","    Less: Consumption of fixed capital","W769RC1",4.1,4.7,5.2,5.6,6.3,8.1,9,9.2,9.5,10.1,11.2,13.1,15.2,16.6,16.9,17.2,18.1,19.5,21.1,22.4,23.6,25.2,26.5,27.4,28.7,30.3,32.3,33.9,35.6,37.2,39.3,42,44.1,46.5,48.3,51.6,56.9,61.9,68.4,73.5,75.9
"50","42","  Net lending or net borrowing (-)","W770RC1",-3.7,-6.8,-7.7,-0.4,-3.1,-6.7,-9.3,-5.4,0.2,4.2,1,-0.9,-1.6,-8.9,-1.5,7.3,4.4,9.5,-0.1,-3,-4.3,-13.5,-26.9,-20.7,-20.3,-21.2,-22,-14.1,-12.3,-11,-30.4,-36.1,-80.2,-108.3,-91.4,-63.9,-32.8,-8.5,-35.3,-74.8,-99.6
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Note. State receipts plus local receipts and state expenditures plus local expenditures do not sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to the consolidated state and local government account totals because grants-in-aid from states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","to local governments and from local to state governments are netted in the consolidated account",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","totals. In addition, the receipt category ""surplus of government enterprises"" and the expenditure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","category ""subsidies"" do not sum to the consolidated account totals because the level of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","making subsidy payments accounts for them as subsidies while recipient governments account for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","them as surpluses of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
