"","Table 6#21B# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"22","15","      Furniture and fixtures","B3415C0",77,53,95,67,65,50,47,97,102,73,52,68,45,62,88,110,142,191,185,174,197,188
"23","16","      Stone, clay, and glass products","B3416C0",232,204,308,243,176,215,279,462,392,344,334,459,275,258,268,356,420,417,359,241,302,319
"24","17","      Primary metal industries","B3417C0",894,607,934,878,549,796,528,1070,1114,990,456,685,542,114,290,631,963,1357,1539,1063,607,490
"25","18","      Fabricated metal products","B3418C0",458,250,474,407,297,308,280,403,412,385,272,350,198,272,395,478,587,909,1105,1024,812,711
"26","19","      Machinery, except electrical","B3419C0",721,482,677,687,605,525,521,632,831,677,344,714,480,480,787,856,1345,1647,1855,1660,1356,1127
"27","20","      Electric and electronic equipment","B3420C0",365,258,493,314,328,283,292,269,253,367,285,445,201,196,324,343,325,878,1082,932,689,333
"28","21","      Motor vehicles and equipment","B3421C0",748,782,889,488,474,487,392,1268,437,556,-226,763,755,482,1053,1025,903,1591,1183,727,1134,802
"29","22","      Other transportation equipment","B3422C0",58,41,124,83,108,146,252,208,217,268,147,-49,-123,-97,135,191,298,368,432,318,396,-241
"30","23","      Instruments and related products","B3423C0",76,54,97,103,94,98,140,136,144,129,120,190,140,152,205,229,258,402,503,470,445,487
"31","24","      Miscellaneous manufacturing industries","B3424C0",144,85,169,120,88,83,87,120,116,104,94,131,87,83,130,156,174,229,223,237,219,160
"32","25","    Nondurable goods","A3425C0",4682,3067,4455,3469,2808,3179,3577,4718,4740,4072,3476,4775,4393,4221,3960,4449,4801,5490,6827,6484,6188,5665
"33","26","      Food and kindred products","B3426C0",528,535,608,332,308,331,394,535,526,454,587,700,642,636,645,835,840,915,1093,989,860,851
"34","27","      Tobacco manufactures","B3427C0",58,67,60,35,27,45,57,84,77,87,108,123,127,138,124,132,123,106,119,161,118,141
"35","28","      Textile mill products","B3428C0",657,195,451,222,50,68,-7,150,162,111,102,285,203,175,236,243,331,465,431,320,355,289
"36","29","      Apparel and other textile products","B3429C0",124,55,128,41,64,49,57,95,98,79,90,135,125,139,182,182,226,282,341,349,369,296
"37","30","      Paper and allied products","B3430C0",347,223,394,350,249,240,259,355,418,285,213,340,287,263,255,305,338,433,565,455,504,558
"38","31","      Printing and publishing","B3431C0",236,220,214,194,202,196,206,288,292,289,228,341,321,291,332,371,451,631,788,666,631,690
"39","32","      Chemicals and allied products","B3432C0",594,522,807,581,374,422,503,754,698,662,480,855,742,668,327,829,711,628,1462,1026,880,795
"40","33","      Petroleum and coal products","B3433C0",1982,1172,1535,1532,1386,1675,1980,2238,2274,1951,1506,1782,1774,1709,1617,1318,1495,1703,1624,2145,1977,1648
"41","34","      Rubber and miscellaneous plastics products","B3434C0",116,60,201,171,114,127,94,170,154,111,137,155,141,164,192,184,215,239,298,252,376,345
"42","35","      Leather and leather products","B3435C0",40,18,57,11,34,26,34,49,41,43,25,59,31,38,50,50,71,88,106,121,118,52
"43","36","  Transportation and public utilities","A3436C0",905,654,1043,753,700,654,335,645,554,298,200,586,661,532,991,1438,1650,2104,2320,1389,570,523
"44","37","    Transportation","A3437C0",689,417,764,566,490,352,4,222,168,-15,-134,1,-211,-177,10,167,262,542,583,-51,-421,-613
"45","38","      Railroad transportation","B3438C0",493,228,513,303,309,197,-150,10,-25,-78,-204,-133,-200,-211,-181,-87,-150,-85,-27,-415,-425,-418
"46","39","      Local and interurban passenger transit","B3439C0",13,-8,-3,5,-2,-7,-17,-3,-11,-2,-1,23,11,-3,10,9,21,40,28,9,4,3
"47","40","      Trucking and warehousing","B3440C0",97,87,130,84,81,85,77,99,63,75,69,113,57,119,182,157,181,265,250,159,256,232
"48","41","      Water transportation","B3441C0",40,50,39,66,12,13,-17,14,68,-28,-15,-12,-19,17,7,36,61,56,85,56,49,-16
"49","42","      Transportation by air","B3442C0",-1,17,43,44,26,30,42,47,18,-41,-15,-32,-81,-126,-30,43,146,264,235,128,-260,-354
"50","43","      Pipelines, except natural gas","B3443C0",29,28,23,43,45,20,50,34,35,40,15,36,2,22,33,7,-7,-8,-14,-21,-34,-33
"51","44","      Transportation services","B3444C0",18,15,19,21,19,14,19,21,20,19,17,6,19,5,-11,2,10,10,26,33,-11,-27
"52","45","    Communication","A3445C0",37,34,128,111,119,145,169,313,261,235,383,473,543,543,742,861,821,1017,1121,1030,817,969
"53","46","      Telephone and telegraph","B3446C0",17,20,112,77,82,114,138,248,193,189,325,403,449,490,660,776,748,906,979,968,791,925
"54","47","      Radio and television","B3447C0",20,14,16,34,37,31,31,65,68,46,58,70,94,53,82,85,73,111,142,62,26,44
"55","48","    Electric, gas, and sanitary services","B3448C0",179,203,151,76,91,157,162,110,125,78,-49,112,329,166,239,410,567,545,616,410,174,167
"56","49","  Wholesale trade","B3449C0",1169,652,1330,994,723,692,625,1093,1196,1077,1020,1347,1110,1138,1284,1438,1756,2111,2254,2115,2464,2750
"57","50","  Retail trade","B3450C0",1681,1112,1529,971,844,720,715,1045,971,893,889,1219,865,1108,1370,1486,2097,2438,2353,2848,3057,3174
"58","51","  Finance, insurance, and real estate","A3451C0",1906,2243,1919,2101,2473,2644,2806,3173,3284,3092,3046,3868,3989,3997,4456,3634,3689,4867,5658,5350,5831,5644
"59","52","    Banking","J3452C0",845,818,779,937,940,994,864,1292,1604,1514,1154,1687,1751,1560,1553,1850,1508,2305,2579,2418,3067,4072
"60","53","      Federal Reserve banks","B3453C0",49,30,-20,25,39,35,30,26,47,62,50,-188,31,68,40,45,-478,13,2,11,1,17
"61","54","      Commercial and mutual banks","J3454C0",796,788,799,912,901,959,834,1266,1557,1452,1104,1875,1720,1492,1513,1805,1986,2292,2577,2407,3066,4055
"62","55","    Credit agencies other than banks","J3455C0",213,293,356,377,546,478,568,686,779,808,931,1002,1026,1161,1243,1072,1152,1179,1055,1082,1067,975
"63","56","    Security and commodity brokers","B3456C0",2,14,15,4,4,20,42,12,13,9,7,30,19,34,-10,17,33,57,82,159,211,-93
"64","57","    Insurance carriers","B3457C0",629,848,549,570,762,866,986,856,604,438,641,847,916,1001,1004,650,610,647,1343,1313,1119,671
"65","58","    Insurance agents, brokers, and service","B3458C0",30,29,27,26,37,32,36,35,50,51,60,69,72,44,79,78,96,105,143,120,141,155
"66","59","    Real estate","B3459C0",223,250,251,197,190,227,295,253,142,166,213,198,153,72,132,74,198,172,387,286,257,64
"67","60","    Holding and other investment offices","B3460C0",-36,-9,-58,-10,-6,27,15,39,92,106,40,35,52,125,455,-107,92,402,69,-28,-31,-200
"68","61","  Services","A3461C0",252,222,196,174,184,178,182,207,247,256,224,321,255,269,294,372,593,783,998,1072,925,643
"69","62","    Hotels and other lodging places","B3462C0",59,53,39,34,32,25,22,1,12,11,-6,-13,-37,-54,-55,-62,-62,-29,14,32,68,55
"70","63","    Personal services","B3463C0",36,37,29,31,30,32,32,35,47,54,61,63,57,53,48,64,112,150,149,153,153,142
"71","64","    Business services","B3464C0",56,52,61,60,59,64,61,81,114,141,134,149,107,186,146,195,237,296,389,378,216,78
"72","65","    Auto repair, services, and parking","B3465C0",11,8,12,13,15,11,9,12,8,-5,6,26,17,17,40,22,37,52,47,48,92,87
"73","66","    Miscellaneous repair services","B3466C0",7,5,0,-1,-2,-6,-17,-11,-5,-11,-15,-8,7,11,15,11,29,32,36,30,31,45
"74","67","    Motion pictures","B3467C0",24,18,31,2,8,15,54,53,20,7,-21,8,18,-3,-3,19,77,128,127,119,125,-21
"75","68","    Amusement and recreation services","B3468C0",20,7,-17,-14,-3,-7,-23,-21,-22,-15,-8,10,-2,-19,-17,-20,3,-15,30,14,7,23
"76","69","    Other services","A3469C0",39,42,41,49,45,44,44,57,73,74,73,86,88,78,120,143,160,169,206,298,233,234
"77","70","      Health services","B3470C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,49,47,48,100,102,119
"78","71","      Legal services","B3471C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,3,2,2,2,5
"79","72","      Educational services","B3472C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,18,10,19,11,7,-12
"80","73","      Other \1\","B3473C0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,93,109,137,185,122,122
"81","74","Rest of the world","A3474C0",425,293,285,582,789,663,540,775,1008,1206,789,856,1181,921,1101,1407,1266,1375,1686,1595,2268,2759
"82","75","  Receipts from the rest of the world \2\","B3475C0",581,436,475,751,923,826,702,962,1175,1363,945,1089,1357,1161,1316,1645,1595,1736,2031,2042,2763,3198
"83","76","  Less: Payments to the rest of the world \3\","B3476C0",156,143,190,169,134,163,162,187,167,157,156,233,176,240,215,238,329,361,345,447,495,439
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Consists of receipts by all U.S. residents of their share of the reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","their incorporated foreign affiliates and reinvested earnings of their unincorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","affiliates.  Prior to 1982, reinvested earnings of unincorporated foreign affiliates were",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","3. Consists of payments to foreign residents of their share of the reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","incorporated U.S. affiliates and reinvested earnings of their unincorporated U.S. affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Prior to 1980, reinvested earnings of unincorporated  U.S. affiliates were treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
