"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"34","25","  Fixed investment","A007RS2",-0.54,-0.79,-0.89,-0.09,0.3,0.03,0.08,0.82,0.13,-0.05,0.27,0.82,0.81,0.19,0.12,0.15,0.85,2.27,1.32,0.3,0.35,1.35,0.36,0.12,0.11,0.25,0.91,0.54,0.04,0.14,0.08,-0.05,0.01,-0.04,0.09,0.26,0.32,0.41,0.58,0.73
"35","26","    Nonresidential","A008RS2",-0.47,-0.56,-0.55,-0.08,0.17,0.06,-0.01,0.62,0.06,-0.07,0.16,0.51,0.64,0.11,0.06,0.1,0.66,1.44,0.86,0.23,0.19,0.9,0.21,0.08,0.09,0.13,0.76,0.52,0.05,0.12,0.04,-0.05,0,0,0.05,0.11,0.16,0.27,0.37,0.43
"36","27","      Structures","A009RS2",-0.28,-0.35,-0.38,0.02,0.01,0.09,0,0.34,-0.05,-0.03,0.04,0.18,0.23,0.1,0.02,0.06,0.3,0.71,0.39,-0.01,0.04,0.39,0.09,0.07,-0.04,0.07,0.33,0.18,-0.06,0.02,0,-0.02,0.03,0.03,0.05,0.11,0.14,0.12,0.19,0.25
"37","28","      Equipment and software","A010RS2",-0.2,-0.21,-0.16,-0.1,0.16,-0.03,-0.01,0.28,0.11,-0.04,0.13,0.33,0.42,0.01,0.04,0.05,0.36,0.74,0.47,0.24,0.15,0.51,0.12,0.01,0.13,0.05,0.43,0.35,0.11,0.1,0.05,-0.03,-0.03,-0.03,0,0.01,0.02,0.15,0.18,0.19
"38","29","        Information processing equipment and software","A679RS2",-0.05,-0.04,-0.01,-0.02,0.03,0,0,0,0,0,0.01,0.02,0.02,0,0,0,0.12,0.09,0.02,0,0.01,0.04,-0.01,0,0.01,0.01,0.02,0.04,0.01,0.01,-0.01,-0.01,-0.02,-0.04,-0.02,-0.03,-0.07,-0.02,-0.01,0.01
"39","30","          Computers and peripheral equipment","B935RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.01,-0.02,-0.04,-0.02,-0.03,-0.08,-0.05,-0.04,-0.02
"40","31","          Software \1\","B985RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"41","32","          Other","A937RS2",-0.05,-0.04,-0.01,-0.02,0.03,0,0,0,0,0,0.01,0.02,0.02,0,0,0,0.12,0.09,0.02,0,0.01,0.04,-0.01,0,0.01,0.01,0.02,0.04,0.01,0.01,0,0,0,0.01,0.01,0,0.01,0.03,0.03,0.03
"42","33","        Industrial equipment","A680RS2",-0.07,-0.06,-0.05,0,0.09,0.01,0,0.12,0.01,0,0.05,0.07,0.03,0,0.01,0.01,0.1,0.15,0.15,0.08,0.06,0.2,0.01,0.05,0.03,0.07,0.19,0.15,0.05,0.04,0.03,-0.01,0,0.01,0.02,0.03,0.05,0.09,0.08,0.07
"43","34","        Transportation equipment","A681RS2",-0.09,-0.06,-0.05,-0.08,0.04,-0.02,0.01,0.06,0.08,-0.01,0.04,0.17,0.29,0.01,0.03,0.03,0.05,0.27,0.15,0.1,0.04,0.13,0.11,-0.06,0.07,-0.03,0.17,0.08,0.02,0.03,0,0,-0.02,-0.01,-0.01,0,0,0.03,0.05,0.06
"44","35","        Other equipment","A862RS2",0,-0.04,-0.05,0,0.01,-0.02,-0.02,0.09,0.01,-0.03,0.02,0.07,0.07,0.01,0.01,0.01,0.09,0.23,0.15,0.06,0.04,0.14,0.01,0.03,0.02,0.01,0.05,0.08,0.03,0.02,0.02,0,0.01,0.01,0.01,0.01,0.04,0.05,0.05,0.05
"45","36","    Residential","A011RS2",-0.07,-0.23,-0.35,-0.02,0.13,-0.02,0.09,0.2,0.07,0.02,0.1,0.31,0.17,0.08,0.06,0.05,0.19,0.83,0.46,0.08,0.15,0.45,0.15,0.04,0.02,0.12,0.15,0.01,-0.01,0.02,0.04,0.01,0.01,-0.04,0.04,0.14,0.16,0.14,0.22,0.29
"46","37","  Change in private inventories","A014RS2",-0.04,-0.02,0.06,-0.18,-0.32,-0.09,0.02,0.04,-0.47,-0.02,0.03,0.18,0.26,0.03,-0.02,-0.04,0.05,0.41,0.03,-0.13,-0.02,0.24,-0.06,-0.1,-0.01,-0.02,0.05,0,-0.01,0,0,0,0,-0.01,0,0,0.02,0.02,0,0.02
"47","38","    Farm","B018RS2",0.01,-0.12,-0.17,-0.05,-0.24,-0.1,-0.01,-0.01,-0.46,-0.02,0,0.05,0.14,0.04,-0.02,-0.01,-0.05,-0.09,-0.03,-0.1,-0.02,0.03,-0.05,-0.1,-0.01,-0.02,0.01,-0.02,-0.01,-0.01,-0.01,0,0,-0.01,0,-0.01,0.01,0,-0.01,0
"48","39","    Nonfarm","A015RS2",-0.05,0.1,0.23,-0.13,-0.08,0.01,0.03,0.05,0,0,0.03,0.13,0.12,-0.01,0,-0.02,0.1,0.5,0.06,-0.03,0.01,0.21,-0.01,0,0,0,0.04,0.01,0,0.01,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
"49","40","Government consumption expenditures and gross investment","A822RS2",-0.31,-0.59,-1.22,0.43,1.17,0.13,0.46,0.32,0.03,-0.26,-0.18,1.13,-0.29,0.66,-0.62,0.5,7.07,1.39,0.6,0.47,0.01,1.2,0.43,0.25,0.49,0.9,1.16,0.94,0.67,0.09,0.27,0.43,0.56,0.48,0.61,0.57,0.89,0.93,1.25,1.37
"50","41","  Federal","A823RS2",-0.08,-0.02,-0.13,0.04,0.31,0.06,0.5,0.1,0.1,-0.13,-0.26,0.61,-0.92,0.32,-0.77,0.37,6.65,0.72,-0.09,0.41,-0.05,0.49,0.14,0.11,0.37,0.75,0.67,0.59,0.55,-0.1,0.11,0.21,0.27,0.27,0.41,0.3,0.4,0.36,0.68,0.64
"51","42","    National defense","A824RS2",-0.03,-0.01,-0.03,-0.04,0.07,0.04,0.03,0.05,0.01,-0.01,-0.1,0.51,-0.99,0.34,-0.69,0.25,6.37,0.68,-0.04,0.24,-0.01,0.39,0.05,0.06,0.37,0.67,0.64,0.52,0.45,-0.1,0.08,0.15,0.2,0.23,0.27,0.24,0.3,0.28,0.52,0.52
"52","43","      Consumption expenditures","A997RS2",-0.03,-0.01,-0.02,-0.03,0.06,0.03,0.03,0.02,0.01,-0.01,-0.11,0.18,-0.69,0.23,0.55,1.27,5.75,0.59,-0.08,0.22,-0.03,0.23,0,0.15,0.33,0.58,0.43,0.39,0.41,-0.14,0.08,0.12,0.17,0.21,0.28,0.24,0.28,0.26,0.48,0.45
"53","44","      Gross investment","A788RS2",0,-0.01,-0.01,0,0.02,0,0,0.03,0,0,0.01,0.33,-0.3,0.1,-1.24,-1.02,0.63,0.09,0.04,0.02,0.02,0.15,0.05,-0.09,0.04,0.08,0.21,0.13,0.03,0.04,0,0.03,0.03,0.02,0,0,0.02,0.03,0.04,0.07
"54","45","    Nondefense","A825RS2",-0.05,0,-0.1,0.07,0.23,0.02,0.47,0.05,0.1,-0.11,-0.17,0.1,0.06,-0.02,-0.08,0.12,0.27,0.04,-0.05,0.17,-0.05,0.11,0.09,0.05,0,0.08,0.04,0.07,0.11,0,0.03,0.06,0.07,0.04,0.13,0.05,0.1,0.08,0.16,0.13
"55","46","      Consumption expenditures","A542RS2",-0.04,0.02,-0.03,0.02,0.12,-0.01,0.41,0.03,0.1,-0.1,-0.18,0.03,0.01,0.02,-0.1,0.14,0.27,0.03,-0.07,0.16,-0.03,0.07,0.07,0.05,0.01,0.09,0.02,0.05,0.11,-0.01,0.02,0.06,0.06,0.03,0.11,0.07,0.09,0.05,0.14,0.11
"56","47","      Gross investment","A798RS2",-0.01,-0.02,-0.07,0.06,0.11,0.03,0.06,0.03,0,-0.01,0.02,0.07,0.05,-0.04,0.02,-0.02,0,0.01,0.02,0.01,-0.01,0.04,0.02,0,-0.01,0,0.01,0.02,0,0.01,0,0,0.01,0.01,0.03,-0.01,0.02,0.02,0.02,0.02
"57","48","  State and local","A829RS2",-0.23,-0.57,-1.09,0.4,0.87,0.07,-0.05,0.22,-0.07,-0.14,0.08,0.52,0.63,0.35,0.15,0.13,0.42,0.66,0.69,0.06,0.07,0.71,0.29,0.13,0.12,0.15,0.49,0.35,0.12,0.19,0.16,0.22,0.29,0.21,0.2,0.27,0.49,0.57,0.57,0.72
"58","49","      Consumption expenditures","A991RS2",-0.05,-0.22,-0.46,0.04,0.48,0.17,-0.27,0.15,-0.05,-0.05,0.08,0.28,0.41,0.3,0.16,0.13,0.37,0.5,0.54,0.09,0.13,0.41,0.24,0.15,0.18,0.14,0.26,0.25,0.16,0.19,0.2,0.22,0.24,0.17,0.17,0.2,0.37,0.48,0.43,0.53
"59","50","      Gross investment","A799RS2",-0.17,-0.35,-0.63,0.35,0.39,-0.09,0.22,0.07,-0.02,-0.09,0,0.24,0.22,0.05,-0.01,0,0.05,0.16,0.15,-0.03,-0.07,0.29,0.05,-0.01,-0.06,0.01,0.23,0.1,-0.05,0,-0.04,0.01,0.05,0.04,0.03,0.07,0.12,0.09,0.14,0.2
"60",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","51","  Final sales of computers to domestic purchasers \2\","W489RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","53","  Food \3\","B981RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","54","  Energy goods and services","B982RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","55","  Gross domestic purchases excluding food and energy","B983RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
