"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Motor vehicles and parts","DMOTRC1",3.3,2.2,1.6,1,1.1,1.4,1.9,2.4,2.5,1.7,2.2,2.8,3.5,0.7,0.8,0.8,1,4.1,6.5,7.9,10.5,13.7,12.1,11.4,13.8,12.7,17.7,15.7,17.5,15,18.8,19.6,17.7,21.4,24.2,25.8,29.6,29.9,29.6,35.4,37.4
"12","5","      New motor vehicles (55)","DNMVRC1",2.6,1.7,1.2,0.6,0.8,1,1.5,2,2,1.2,1.7,2.2,2.7,0.1,0.1,0.1,0,2.2,4.3,5.4,8,10.7,9,8.3,11.4,11.1,14.2,12,13,10.1,13.6,14.5,12.5,15.6,17.9,19,22.2,22,21.1,26,26.8
"13","6","      Net purchases of used motor vehicles (56)","DNPVRC1",0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.5,0.8,1.3,1.3,1.5,1.6,1.4,1,0.3,1.9,2,2.5,2.8,2.8,2.6,2.7,3,3.3,3.6,4,4.1,4.5,4.8,5.2
"14","7","      Motor vehicle parts and accessories (58)","DMVPRC1",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.3,0.4,0.4,0.7,1.4,1.4,1.3,1.2,1.5,1.5,1.6,1.5,1.3,1.6,1.7,2,2.1,2.4,2.5,2.6,2.8,3,3.2,3.5,3.8,4,4.6,5.4
"15","8","    Furnishings and durable household equipment","DFDHRC1",3.8,3,2.6,1.9,1.7,2,2.3,2.9,3.2,2.8,3.2,3.5,4.4,4.2,3.8,3.8,4.5,7.7,9.6,10.5,10.1,11.8,12.4,12.2,12.6,12.5,14,14.8,14.8,14.6,15.5,15.4,15.6,16.4,17.5,19.5,20.7,22.6,23.7,26.1,27.6
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRC1",2.3,1.8,1.5,1.1,0.9,1.1,1.3,1.7,1.8,1.6,1.8,2,2.5,2.6,2.7,2.8,3.1,4.4,4.9,5.4,5.3,6.1,6.5,6.5,6.7,6.7,7.6,8.1,8.1,8.1,8.7,8.7,8.8,9.4,10.2,11.5,12.3,13.3,13.8,15.1,15.7
"17","10","      Household appliances (part of 33)","DAPPRC1",0.7,0.6,0.5,0.3,0.4,0.5,0.6,0.7,0.8,0.6,0.7,0.8,1.1,0.7,0.3,0.2,0.3,1.6,2.9,3.1,2.8,3.6,3.5,3.5,3.6,3.7,4.1,4.3,4.3,4.1,4.4,4.3,4.3,4.3,4.5,4.9,4.9,5.3,5.5,6.2,6.8
"18","11","      Glassware, tableware, and household utensils (34)","DUTERC1",0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.7,0.8,1.3,1.4,1.5,1.4,1.5,1.6,1.6,1.6,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.9,2,2.2,2.4,2.8,3,3.3,3.5
"19","12","      Tools and equipment for house and garden (35)","DTOORC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.3,1.4,1.5
"20","13","    Recreational goods and vehicles","DREQRC1",1.5,1.4,0.9,0.5,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1,1.2,1.2,1,1,1.2,2.5,3,3.1,3.2,4.1,4.1,4.3,4.7,4.9,5.3,5.7,5.8,5.9,6.4,6.4,6.6,6.9,7.6,8.8,10.1,12.3,13.6,15.3,16.7
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRC1",1,0.9,0.5,0.3,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.4,0.4,0.4,1.2,1.5,1.6,1.7,2.5,2.3,2.4,2.7,2.8,3,3.1,3,3,3.3,3.2,3.4,3.5,3.9,4.6,5.4,6.5,7.3,7.9,8.3
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.5,0.6,0.5,0.6,0.7,0.7,0.7,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.4,1.4,1.5,1.7,2.2,2.4,2.7,2.9
"23","16","      Sports and recreational vehicles (79)","DWHLRC1",0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.7,0.8,0.9,1.2,1.4,1.7,1.9,2.6,3.3
"24","17","      Recreational books (part of 90)","DRBKRC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.2,1.4,1.4,1.5,1.7
"25","18","      Musical instruments (part of 80)","DMSCRC1",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6
"26","19","    Other durable goods","DODGRC1",1.2,1.1,0.8,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1.2,1.5,1.9,2.1,2.4,2.8,2.8,2.9,2.8,2.9,3.2,3.4,3.5,3.6,3.7,4,4,4.1,4.2,4.3,4.3,4.7,4.9,5.5,6,6.9,7.1,8,8.7
"27","20","      Jewelry and watches (part of 119)","DJRYRC1",0.6,0.5,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.9,1,1.2,1.4,1.4,1.4,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.8,1.8,1.9,2,1.9,1.9,2,2.2,2.4,2.7,3.2,3.5,3.8,4
"28","21","      Therapeutic appliances and equipment (42)","DTAERC1",0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1.1,1,1.2,1.3,1.4,1.3,1.5,1.7
"29","22","      Educational books (96)","DEBKRC1",0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6
"30","23","      Luggage and similar personal items (part of 119)","DLUGRC1",0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.9,1,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.5,1.6,1.8,1.9,2.2,2.4
"31","24","      Telephone and facsimile equipment (67)","DTCERC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","25","  Nondurable goods","DNDGRC1",33.9,30.5,25.8,20.2,20,23.9,26.1,29.2,31,29.9,30.8,32.3,37.2,43.4,48.9,52.8,58.5,69.1,77.6,83,81.5,84.4,93,97.5,100.2,102.1,106.7,112,117.6,122,127.7,131.4,134.6,139.5,143.9,152.7,163.3,177.9,185,199.8,214.2
"33","26","    Food and beverages purchased for off-premises consumption","DFXARC1",16.3,14.8,11.9,9,9.5,11.7,13.3,15.1,16,15.1,15.2,15.9,18.2,21.6,24.3,26,28.2,34.9,40.2,41.8,40.4,41.4,46,48.4,49.3,50.6,52,54.2,57.1,59.8,61.6,62.6,63.7,64.7,65.9,69.5,74.4,80.6,82.6,88.8,95.4
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRC1",14.7,13.4,10.7,8.1,8.4,9.2,10.1,11.4,12.1,11.6,11.6,12.2,13.9,16.4,18.1,19.2,20.9,26.8,31.7,34.1,33.3,34.4,38.7,40.8,41.8,43.3,44.8,46.8,49.8,52.4,54,54.9,56.1,56.7,57.7,61,65.7,71.3,73,78.2,83.6
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRC1",NA,NA,NA,NA,0.2,1.5,2,2.5,2.6,2.4,2.4,2.6,3,3.6,4,4.7,5.1,5.7,5.9,5.2,5,5.1,5.1,5.5,5.6,5.6,5.7,5.9,5.9,6,6.4,6.5,6.6,7,7.3,7.6,7.9,8.5,8.9,9.9,11
"36","29","      Food produced and consumed on farms (6)","DFFDRC1",1.6,1.4,1.2,0.9,0.9,1,1.2,1.3,1.3,1.1,1.1,1.1,1.3,1.6,2.1,2.1,2.2,2.5,2.6,2.5,2.1,1.9,2.2,2.1,1.9,1.7,1.6,1.5,1.4,1.4,1.3,1.1,1.1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.7
"37","30","    Clothing and footwear","DCLORC1",9,7.8,6.7,4.9,4.5,5.5,5.8,6.3,6.6,6.5,6.9,7.2,8.5,10.6,12.9,14.1,15.9,17.5,18,19.3,18.6,18.9,20.5,21.2,21.3,21.4,22.4,23.4,23.6,23.9,25.4,25.9,26.6,27.9,28.6,31.1,32.7,35.8,37.5,41.3,44.3
"38","31","      Garments","DGARRC1",7.1,6.1,5.3,3.7,3.5,4.3,4.6,5,5.1,5.1,5.5,5.7,6.6,7.9,9.6,10.7,12,13.8,14.3,15.4,14.7,14.8,16.1,17,17.2,17.3,18,18.8,18.9,19,20.2,20.6,21.2,22.2,22.9,25,26.4,28.8,30.2,33.1,35.5
"39","32","        Women's and girls' clothing (10)","DWGCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,12.7,13.1,13.8,14.3,15.6,16.3,17.7,18.3,20.1,21.3
"40","33","        Men's and boys' clothing (11)","DMBCRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,7.6,7.8,8.1,8.2,9,9.6,10.6,11.4,12.4,13.4
"41","34","        Children's and infants' clothing (12)","DCICRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.8
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRC1",1.9,1.6,1.4,1.2,1,1.2,1.2,1.3,1.5,1.5,1.4,1.5,1.9,2.7,3.3,3.4,3.8,3.7,3.7,3.9,3.9,4.2,4.4,4.2,4.1,4.1,4.4,4.6,4.6,4.9,5.2,5.3,5.4,5.7,5.7,6,6.3,7,7.4,8.1,8.9
"43","36","    Gasoline and other energy goods","DGOERC1",3.4,3.3,2.8,2.6,2.6,2.9,3,3.3,3.5,3.4,3.6,3.8,4.3,3.9,3.3,3.4,4,5.8,6.9,8.2,8.3,8.9,9.6,10.2,10.8,11.3,12.4,13.3,14.2,14.7,15.3,15.8,15.7,16.3,16.9,17.7,19.1,20.7,21.9,23.2,25
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRC1",1.8,1.7,1.5,1.5,1.5,1.6,1.7,1.9,2.1,2.1,2.2,2.3,2.6,2.1,1.3,1.4,1.8,3.4,4,4.8,5.3,5.5,6.1,6.8,7.4,7.8,8.6,9.4,10.2,10.6,11.3,12,12,12.6,13,13.6,14.8,16,17.1,18.6,20.5
"45","38","      Fuel oil and other fuels (29)","DFULRC1",1.6,1.5,1.3,1.1,1.1,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.7,1.8,2,2,2.2,2.5,2.9,3.4,3,3.3,3.5,3.4,3.4,3.5,3.7,3.9,4,4.1,4,3.8,3.7,3.7,4,4.1,4.4,4.6,4.8,4.7,4.5
"46","39","    Other nondurable goods","DONGRC1",5.3,4.6,4.4,3.6,3.4,3.8,4,4.4,4.8,4.8,5.1,5.4,6.2,7.2,8.4,9.3,10.5,10.9,12.4,13.6,14.1,15.2,16.9,17.8,18.8,18.8,19.9,21.1,22.6,23.6,25.5,27.1,28.6,30.7,32.5,34.5,37.1,40.8,43,46.5,49.5
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRC1",0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.8,1.9,1.9,2,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.5,4.7,4.9,5.2,5.7,6.3
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRC1",0.6,0.5,0.5,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.3,1.5,1.6,1.7,1.9,2.2,2.3,2.3,2.3,2.4,2.6,2.7,2.8,3.1,3.4,3.6,3.9,4.3,4.8,5.3,6,6.3,7,7.6
"49","42","      Household supplies (parts of 32 and 36)","DHOURC1",1,0.9,0.8,0.6,0.6,0.7,0.8,0.9,1,0.9,1,1.1,1.3,1.5,1.7,1.9,1.9,2.4,3.1,3.4,3.3,3.7,4,3.8,4,4,4.3,4.6,4.9,5,5.4,5.8,6.3,6.9,7.3,7.9,8.6,9.5,10,10.6,11
"50","43","      Personal care products (part of 118)","DOPCRC1",0.6,0.5,0.5,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.7,0.8,0.9,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.6,2.8,2.9,3.2,3.5,3.9,4.1,4.4,4.8,5.3,5.8,6.3,6.7
"51","44","      Tobacco (127)","DTOBRC1",1.7,1.5,1.5,1.3,1.2,1.4,1.4,1.5,1.7,1.7,1.8,1.9,2.1,2.3,2.6,2.6,2.9,3.4,3.7,4,4.1,4.3,4.5,4.9,5.1,4.9,5.1,5.3,5.7,6,6.6,6.9,7.1,7.2,7.5,7.6,8.1,8.5,8.9,9.4,9.8
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRC1",0.7,0.7,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,1.2,1.3,1.4,1.6,1.8,2,2,2.1,2.3,2.5,2.6,2.7,2.8,2.9,3.1,3.2,3.4,3.5,3.4,3.8,4,4.2,4.5,5.3,5.5,5.8,6.4
"53","46","      Net expenditures abroad by U.S. residents (131)","DNFRRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.6,1.1,-0.1,-0.2,0,0.2,0.2,0.5,0.7,1,1,1,1,1,1,1,0.9,0.9,0.9,0.9,1,1.1,1.3,1.4,1.5,1.7
"54","47","Services","DSERRC1",33.6,32,29,24.6,22.2,23,24.3,26.2,28.5,28.3,29.3,30.7,33.6,38,43.6,48.1,52.4,58.1,62.6,67.6,70.4,75.4,83.8,90.7,98.2,104.2,111.4,119.5,127.3,134.6,145.1,154.8,163.4,174.4,184.6,199.2,214.1,231.3,248.8,273.4,300.4
"55","48","  Household consumption expenditures (for services)","DHCERC1",32.3,30.7,27.8,23.6,21.3,22.1,23.4,25.3,27.5,27.3,28.3,29.6,32.5,36.7,42.1,46.5,50.6,56.1,60.4,65.3,68.1,72.9,81.1,87.8,95.2,100.9,107.9,115.6,123.1,130.1,140,149.5,157.9,168.7,178.6,192.5,206.9,223.5,240.4,264,290.4
"56","49","    Housing and utilities","DHUTRC1",12.9,12.5,11.8,10.5,9.4,9.1,9.2,9.6,10.2,10.6,10.9,11.3,12.1,13,13.5,14.2,14.7,16.3,18.3,20.5,22.6,25.1,28.1,31.2,34.5,37.4,40,42.9,45.9,49.2,52.8,56.7,60.3,64.5,68.2,72.1,76.6,81.2,86.3,92.7,101
"57","50","      Housing","DHSGRC1",11.4,11,10.2,9,7.9,7.6,7.7,8,8.5,8.9,9.1,9.4,10.2,10.9,11.4,12,12.4,13.7,15.4,17.3,19.1,21.1,23.7,26.3,29.1,31.5,33.6,35.8,38.3,41,44,47,50,53.4,56.5,59.8,63.6,67.5,71.9,77.3,84.2
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRC1",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRC1",5.9,5.6,5.1,4.4,3.8,3.6,3.6,3.8,4,4.1,4.2,4.3,4.7,5.2,5.6,6.1,6.5,7.4,8.5,9.7,11,12.4,14.1,15.9,17.9,19.7,21.4,23.2,25,27,29,31.3,33.3,35.7,37.8,40,42.7,45.3,48.3,51.9,56.6
"60","53","        Rental value of farm dwellings (22)","DFARRC1",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3
"61","54","        Group housing (23)","DGRHRC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5
"62","55","      Household utilities","DUTLRC1",1.5,1.5,1.5,1.5,1.4,1.5,1.5,1.6,1.6,1.7,1.7,1.9,1.9,2,2.1,2.2,2.3,2.6,2.9,3.2,3.5,4,4.4,4.9,5.3,5.9,6.5,7.1,7.6,8.2,8.9,9.7,10.3,11.1,11.7,12.4,13,13.7,14.5,15.4,16.8
"63","56","        Water supply and sanitation (25)","DWRSRC1",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.1,1.2,1.4,1.5,1.6,1.8,1.9,2.1,2.2,2.2,2.4,2.8
"64","57","        Electricity and gas","DELGRC1",1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.6,1.7,1.7,1.8,1.9,2.1,2.4,2.7,2.9,3.4,3.8,4.2,4.6,5,5.6,6.1,6.5,7.1,7.7,8.4,8.9,9.5,9.9,10.5,10.9,11.6,12.3,13,14
"65","58","          Electricity (27)","DELCRC1",0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.5,3.8,4.1,4.4,4.7,5.1,5.3,5.7,6,6.3,6.6,7,7.5,8.1,8.8
"66","59","          Natural gas (28)","DGHERC1",0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.6,1.8,2.1,2.3,2.4,2.7,3,3.3,3.5,3.8,4,4.2,4.3,4.5,4.7,4.9,5.2
"67","60","    Health care","DHLCRC1",2.3,2.2,2,1.7,1.5,1.6,1.7,1.9,2,2,2.1,2.2,2.3,2.6,2.8,3.2,3.4,4.3,5,5.8,6,6.4,6.9,7.6,8.4,9.3,9.9,10.9,12,13.4,14.8,16,17.1,19.1,21,24.2,26,28.7,31.9,36.6,42.1
"68","61","      Outpatient services","DOUTRC1",1.7,1.6,1.4,1.1,1,1.1,1.2,1.3,1.4,1.3,1.4,1.5,1.6,1.7,1.8,2.1,2.2,2.9,3.3,3.8,3.8,4,4.2,4.6,5.1,5.7,6,6.5,7.1,7.9,8.7,9.2,9.6,10.7,11.5,13.5,14.5,15.4,16.3,17.8,19.9
"69","62","        Physician services (44)","DPHYRC1",1,0.9,0.8,0.7,0.6,0.7,0.7,0.8,0.9,0.8,0.9,0.9,1,1.1,1.1,1.3,1.4,1.8,2.1,2.4,2.5,2.6,2.8,3,3.3,3.7,3.8,4.2,4.6,5.1,5.5,5.8,5.9,6.5,7,8.2,8.6,9.1,10.1,10.9,12.4
"70","63","        Dental services (45)","DDENRC1",0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.8,0.8,0.9,0.9,1,1,1.1,1.2,1.4,1.5,1.7,1.8,1.9,2,2,2.1,2.3,2.3,2.7,2.8,3,3.4,3.7,4.3
"71","64","        Paramedical services (46)","DPMSRC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,1.2,1.4,1.6,1.9,2.2,2.7,3,3.3,2.8,3.1,3.2
"72","65","      Hospital and nursing home services","DHPNRC1",0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,1,1.1,1.2,1.4,1.7,2,2.2,2.4,2.7,3,3.3,3.6,3.9,4.4,4.9,5.5,6.2,6.9,7.5,8.4,9.5,10.6,11.6,13.3,15.7,18.8,22.1
"73","66","        Hospitals (51)","DHSPRC1",0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.3,1.6,1.9,2,2.3,2.5,2.9,3.1,3.4,3.7,4.1,4.6,5.3,5.9,6.3,6.8,7.5,8.3,9.1,10,11.3,13.2,15.7,18.3
"74","67","        Nursing homes (52)","DNRSRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.6,0.7,0.9,1.1,1.5,1.6,2,2.4,3,3.8
"75","68","    Transportation services","DTRSRC1",2.4,2.1,1.8,1.4,1.3,1.5,1.5,1.7,1.8,1.7,1.8,1.9,2.2,2.6,3.2,3.5,3.8,4.7,4.9,5.2,5.3,5.4,6,6.3,6.8,6.8,7.1,7.6,8,8.1,8.7,9.2,9.6,10.1,10.6,11.4,12.1,13.1,14.3,15.9,18
"76","69","      Motor vehicle services","DMVSRC1",0.8,0.6,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.6,0.7,0.8,0.6,0.6,0.7,1,1.7,2,2.3,2.5,2.6,3,3.2,3.7,3.8,4.2,4.5,4.9,5.1,5.5,5.8,6.2,6.6,7,7.5,8,8.6,9.4,10.3,11.5
"77","70","        Motor vehicle maintenance and repair (60)","DVMRRC1",0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.5,0.6,0.9,1.6,1.8,2,2.2,2.3,2.7,2.8,3.2,3.3,3.6,4,4.3,4.4,4.8,5.1,5.4,5.8,6.2,6.6,7,7.6,8.2,9.1,10.1
