"","Table 5#3#4# Price Indexes for Private Fixed Investment by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26"
"11","4","    Commercial and health care","W001RG3",8.835,9.805,9.526,9.491,10.762,11.093,11.099,10.78,10.966,11.91,12.395,12.04,11.934,11.9,11.846,11.973,12.184,12.426,12.815,13.266,13.677,14.355,15.434
"12","5","    Manufacturing","C307RG3",9.083,10.114,9.838,9.781,11.092,11.379,11.433,11.13,11.313,12.289,12.779,12.419,12.312,12.297,12.257,12.406,12.636,12.897,13.323,13.822,14.253,14.963,16.087
"13","6","    Power and communication","W003RG3",9.385,10.377,10.843,11.287,12.262,12.525,13.137,13.363,13.692,14.88,15.643,15.813,16.157,16.249,16.21,16.041,16.1,16.141,16.524,16.929,17.45,18.329,19.189
"14","7","    Mining exploration, shafts, and wells","E318RG3",4.217,4.69,4.569,4.544,5.148,5.279,5.312,5.166,5.252,5.71,5.935,5.777,5.988,5.919,5.775,5.887,5.682,5.689,5.807,6.173,6.397,6.699,7.018
"15","8","    Other structures \1\","W004RG3",8.615,9.638,9.512,9.605,10.691,11.016,11.23,11.107,11.358,12.29,12.794,12.581,12.507,12.5,12.452,12.6,12.808,13.045,13.449,13.932,14.353,15.09,16.19
"16","9","  Equipment and software","B010RG3",34.996,37.519,38.967,39.944,43.338,44.215,44.321,45.385,45.815,49.219,52.009,53.025,53.998,54.445,54.146,53.878,53.581,53.558,53.607,53.749,54.94,56.416,57.985
"17","10","    Information processing equipment and software","B679RG3",254.565,260.124,261.978,267.625,283.623,278.589,277.626,280.352,283.597,291.649,305.778,309.317,312.09,310.384,306.116,298.87,288.242,283.871,276.444,262.656,259.012,257.158,259.297
"18","11","      Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496986.194,390212.067,288275.275,204487.975,134306.512,112349.361,92834.959,65070.732,52869.906,45116.45,40849.551
"19","12","      Software \2\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.855,149.653,146.999,141.353,135.995,137.107,133.618,129.357,127.722,127.897,129.05
"20","13","      Other \3\","B937RG3",45.817,46.818,47.152,48.168,51.047,50.141,49.968,50.459,51.043,52.492,55.035,55.672,56.208,56.279,56.311,56.124,56.446,56.829,56.886,57.549,59.294,60.845,62.881
"21","14","    Industrial equipment","B680RG3",10.002,10.838,11.359,11.825,13.336,13.42,13.801,14.056,14.57,16.092,17.296,17.705,18.107,18.469,18.316,18.315,18.373,18.537,18.814,19.312,20.152,20.998,21.708
"22","15","    Transportation equipment","B681RG3",17.362,18.602,19.463,19.809,21.066,22.325,21.487,22.435,21.995,24.146,25.231,25.596,26.132,26.091,26.034,25.754,25.634,25.409,25.341,25.315,25.726,26.438,27.241
"23","16","    Other equipment \4\","B862RG3",12.612,13.63,14.082,14.396,15.565,15.686,16.008,16.247,16.408,16.978,17.83,18.252,18.535,18.796,18.803,19.001,19.134,19.307,19.484,19.928,20.6,21.368,22.127
"24","17","Residential","B011RG3",9.784,10.606,10.747,11.012,11.801,12.125,12.212,12.261,12.516,12.835,12.868,12.836,12.875,12.962,12.983,13.003,12.901,13.003,13.372,13.857,14.339,15.1,16.144
"25","18","  Structures","B012RG3",9.422,10.219,10.366,10.627,11.39,11.71,11.796,11.848,12.105,12.43,12.465,12.438,12.465,12.554,12.579,12.604,12.507,12.611,12.981,13.467,13.945,14.695,15.728
"26","19","    Permanent site","B943RG3",8.993,9.766,9.91,10.163,10.893,11.199,11.287,11.343,11.599,11.911,11.956,11.946,11.946,12.026,12.029,12.088,11.974,12.061,12.482,13.012,13.481,14.232,15.128
"27","20","      Single family","B944RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.06,12.06,12.146,12.148,12.21,12.095,12.178,12.597,13.137,13.606,14.366,15.267
"28","21","      Multifamily","B292RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.618,12.619,12.675,12.68,12.733,12.613,12.72,13.181,13.722,14.234,15.023,15.974
"29","22","    Other structures \5\","B863RG3",10.267,11.103,11.246,11.521,12.341,12.689,12.766,12.804,13.048,13.394,13.404,13.33,13.431,13.541,13.618,13.56,13.511,13.656,13.871,14.228,14.716,15.443,16.804
"30","23","  Equipment","B013RG3",58.82,62.151,60.059,59.798,63.954,63.789,63.611,62.562,60.716,58.169,57.631,56.758,59.11,58.461,57.405,56.15,55.193,54.628,53.48,52.661,52.766,53.896,55.115
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","  Private fixed investment in structures","A349RG3",8.729,9.563,9.634,9.833,10.692,10.986,11.122,11.095,11.329,11.901,12.149,12.045,12.088,12.132,12.114,12.169,12.157,12.286,12.645,13.11,13.547,14.251,15.223
"33","25","  Private fixed investment in equipment and software","A327RG3",35.358,37.897,39.306,40.27,43.679,44.544,44.647,45.685,46.085,49.411,52.157,53.144,54.142,54.571,54.259,53.974,53.667,53.635,53.666,53.795,54.973,56.446,58.011
"34","26","  Private fixed investment in new structures \6\","W040RG3",8.726,9.56,9.631,9.832,10.692,10.986,11.123,11.094,11.329,11.905,12.156,12.051,12.095,12.139,12.119,12.174,12.165,12.298,12.662,13.129,13.57,14.277,15.236
"35","27","    Nonresidential structures","A771RG3",7.777,8.653,8.626,8.736,9.742,10,10.196,10.073,10.276,11.154,11.632,11.446,11.509,11.495,11.424,11.514,11.614,11.779,12.12,12.555,12.947,13.595,14.488
"36","28","    Residential structures","A756RG3",9.495,10.298,10.444,10.709,11.477,11.8,11.887,11.938,12.198,12.524,12.56,12.531,12.559,12.65,12.676,12.7,12.602,12.711,13.093,13.589,14.077,14.839,15.857
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
