"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"21","13","  Change in private inventories","A014RC1",11.5,9.2,10.2,5.8,1.8,5.1,5.1,-4,12.3,10.9,10.2,-0.3,3.2,12,13.7,7.5,10.6,18.2,9.8,25,12.5,17.4,5.6,20.4,-10,-14,-1.4,0.3,14.7,22.4,20.8,10.5,14.8,19.5,30.9,24.1,25.5,24.3,25,28.5,23.9,27.4,12.1,8.6,9.9,7.8,-33.9,-9.1,38.8,11.7,44,24.8,-21.5,-4.2,5.8,-39.8,-35.1,-7.7,-4.2,23.9,73,69.3,71.3,48,16.2,21.6,16.3,33.1,30.3,15.7,-7,-12.7,28,16.5,1,63.1,17,19.7,18.2,19.1,48.2,36,10,16.6,13.9,33.7,21.9,-11.3,-15.5,-18,0.8,31.1,0.2,23.2,20.5,21.4,35.9,24.1,6.6,16.6,45.3,81.4,53.2,75.2,61.1,33.7,11.3,18.5,6.9,30.5,51.1,34.6,49.8,88.4,68,77.8,105.1,37.3,52.4,60,83.3,35.1,40.6,84.3,16.1,90.4,57.2,54.5,-30.7,-11.6,-30.1,-80.8,-13.4,13.2,18.3,30,28.6,-3.1,4.2,35.8,51.4,76,60.8,71.5,90.7,15.9,11,82.2,66,72.4,69.1,32.3,17,47.5,39.4,12.6,-13.7,-23.3,-29.4,-98,-141.9,-179.5,-143.3,-44.2,50,80.4,138.6,6.8
"22","14","Net exports of goods and services","A019RC1",0.2,1.2,1,3.3,3.4,5.4,3.8,3.2,4.4,-0.2,-0.1,-1.7,-3.5,-4.3,-2.6,-3.1,-1.4,2.5,6.4,9,6.4,-2.7,-7,0,16.5,21.6,12,13.8,4.7,-0.5,-4.1,-6.6,-21.1,-21.1,-20.6,-29.6,-38.7,-22.6,-23.8,-16.4,-18.2,-22.2,-23,-26.8,-35.8,-15.2,5.5,-6.7,-14.3,-13.5,-7.6,-14.8,-16.3,-4.4,-29.7,-29.6,-24.6,-45.4,-65.2,-71.4,-95,-104.3,-103.9,-107.8,-91.9,-115.4,-118.6,-134.9,-127.4,-129.8,-139.3,-133.6,-141,-147.3,-145.7,-145.7,-124.4,-107.2,-100.2,-108.7,-102.1,-89.5,-76.3,-83.6,-89.2,-68.4,-74.4,-78.5,-45.6,-21.6,-19.5,-21.2,-18.5,-31.1,-36.5,-45.3,-54.3,-62,-67.9,-73.4,-80.7,-91.3,-96.7,-102.3,-106.2,-110.6,-75.4,-70.6,-89.1,-93.8,-114,-88.3,-108.1,-84.7,-96.2,-116.5,-134.5,-161.8,-173.9,-177.1,-212,-250.9,-282.9,-302.5,-357.9,-364.4,-395.9,-410,-395.4,-363.8,-367,-357.8,-374.9,-418.1,-435.8,-479.9,-503.6,-504.3,-499.5,-509.1,-546.3,-606.1,-635.9,-686.5,-677.4,-690.2,-734,-789.3,-775.8,-781.4,-805.7,-714.3,-725.1,-730.7,-704.4,-695.7,-738.5,-751.9,-763.1,-588.4,-375.7,-335.2,-408.3,-426.4,-479.9,-539.3,-550.5,-493
"23","15","  Exports","B020RC1",44,53.9,53.3,56.5,56.9,60.6,60.3,61.1,63.1,63.1,65.4,60.3,68.6,67.2,71.5,76.1,84,91.9,97.6,107.6,116.7,126.7,126.6,136.6,141.4,136.8,134.1,142.5,143.6,146.6,151.8,156.1,155.4,161.9,162.3,157.8,164.6,186.2,191.3,205.4,211.7,220.9,234.3,253.7,268.5,277.4,284.7,292.5,305.5,308.4,302.3,304.7,293.2,294.7,279.6,265.3,270.7,272.5,278.2,286.6,293,302.2,305.7,308.6,305.4,303.1,295.6,304,312,314.2,320.2,335,336.7,355,371.6,391.8,418.4,438.9,452.7,465.6,484,505.8,508.2,514.5,537.6,546.4,555.7,568.8,574.7,592.3,602.2,617.1,627.3,627.9,641.4,643.2,645,654.3,651.4,671.7,681.2,706.3,737.1,758.3,780.7,797.7,830.5,838.6,847.6,859,859.7,904.3,919.1,955,974.7,968.9,963.8,947.8,936,967.9,958.7,971.2,998.8,1028.5,1052.8,1089.2,1119.1,1111.8,1097.1,1056.6,997.1,960.1,973.4,1005.9,1020.6,1012.2,1012.5,1011.6,1041.4,1098.6,1138.8,1170.8,1185.4,1225.9,1262.4,1298.5,1308.2,1351.3,1414,1456,1476,1538.2,1575.5,1619.1,1690.3,1761.8,1819.9,1925.3,1927.3,1700.9,1521.2,1520.2,1582.1,1689.9,1757.8,1817.9,1848.9,1929.4
"24","16","    Goods","A253RC1",31.6,39.9,39.5,42,43,45,44.8,45.4,45.9,45.7,48.4,42.2,49.7,48.9,51.8,56.8,64.4,70.9,75.6,84.8,93.1,100.6,101.2,109,112,105.9,107.1,113.4,113.5,116.3,119,122.3,121.3,126.2,126.1,121,125,146.1,149.3,161.2,167,175.7,188,205.4,217.8,224.2,226.9,234.2,242.2,242,234.2,238,224.9,226,211.6,197.6,200.7,202.8,207.4,218.3,218.3,224.6,228.4,231.2,225.7,223.5,217.4,222.4,220.5,223,224.5,235.9,234.3,248.7,264.2,283,304.6,321.4,331.6,345.5,354.8,374.8,372.4,375.5,390.7,394.6,398.2,403.1,414.5,421.3,425.9,432.6,440.9,441.6,452.7,456.6,452.2,458.5,454.4,474.7,477.6,496.4,524,542.2,562.2,575.6,595.6,599.7,608.2,611.9,615.4,637.8,658.3,687,704.7,700.8,694.5,672.8,666.8,689.4,673.5,680.5,703.9,730.9,749.5,777.1,810.9,799.9,788.9,749.8,704.5,681.7,679.5,706.3,715.6,699.9,709,710.6,723.5,764.2,787.1,811.3,824.1,845.4,871.6,906,907.4,939.4,985.1,1016.5,1030.6,1065.4,1105.4,1138.3,1179.3,1225.1,1279.4,1364.9,1367.6,1168.3,1014.5,1011.7,1068.6,1157.6,1213,1262.8,1282,1353.2
"25","17","    Services","A646RC1",12.3,14,13.9,14.5,13.9,15.6,15.5,15.7,17.2,17.4,16.9,18.1,18.9,18.3,19.6,19.3,19.6,21,22,22.8,23.7,26.1,25.4,27.6,29.3,30.9,27,29.1,30.1,30.4,32.8,33.8,34,35.7,36.2,36.8,39.6,40.1,42,44.2,44.7,45.2,46.2,48.3,50.7,53.2,57.8,58.3,63.3,66.4,68.2,66.7,68.3,68.8,68,67.7,70,69.7,70.8,68.3,74.7,77.6,77.4,77.4,79.7,79.6,78.2,81.6,91.5,91.2,95.7,99.1,102.3,106.3,107.4,108.8,113.8,117.5,121,120.1,129.2,131.1,135.8,139.1,146.9,151.8,157.5,165.7,160.2,171.1,176.2,184.5,186.4,186.3,188.7,186.7,192.8,195.8,197,197,203.6,209.9,213,216.1,218.5,222.1,234.9,238.9,239.5,247,244.3,266.6,260.9,268,270,268.1,269.3,275,269.2,278.5,285.2,290.7,294.9,297.7,303.3,312.2,308.2,311.9,308.1,306.8,292.7,278.4,294,299.7,305,312.3,303.5,301,317.9,334.5,351.7,359.5,361.3,380.5,390.7,392.4,400.8,411.9,428.9,439.6,445.3,472.8,470.2,480.8,511,536.7,540.5,560.4,559.6,532.6,506.7,508.5,513.6,532.3,544.8,555.1,566.9,576.2
"26","18","  Imports","B021RC1",43.8,52.7,52.4,53.1,53.5,55.2,56.4,57.9,58.7,63.3,65.5,61.9,72.2,71.4,74.1,79.2,85.4,89.5,91.1,98.7,110.3,129.4,133.6,136.6,124.9,115.2,122.1,128.7,138.9,147.1,155.8,162.7,176.4,183,182.9,187.4,203.3,208.8,215.1,221.8,229.8,243.1,257.3,280.5,304.3,292.6,279.2,299.2,319.7,322,309.9,319.4,309.5,299.1,309.3,294.9,295.3,318,343.4,358,388,406.5,409.6,416.4,397.3,418.6,414.2,438.9,439.4,444,459.4,468.6,477.7,502.3,517.3,537.5,542.7,546.1,552.8,574.3,586.2,595.4,584.4,598.2,626.8,614.8,630.1,647.3,620.3,613.9,621.7,638.3,645.8,659,677.9,688.5,699.3,716.3,719.3,745,761.8,797.6,833.8,860.6,886.9,908.3,905.8,909.2,936.7,952.8,973.8,992.6,1027.2,1039.7,1070.9,1085.3,1098.2,1109.6,1109.9,1145,1170.6,1222.2,1281.7,1331,1410.7,1453.6,1515,1521.8,1492.5,1420.3,1364.2,1317.9,1348.3,1424,1456.4,1492.1,1516.1,1515.9,1540.8,1607.8,1685.1,1776.9,1821.3,1912.4,1939.8,1988.7,2042.1,2140.6,2189.8,2237.4,2281.7,2252.5,2300.6,2349.8,2394.7,2457.5,2558.4,2677.2,2690.4,2289.3,1896.9,1855.3,1990.5,2116.3,2237.6,2357.1,2399.4,2422.4
"27","19","    Goods","A255RC1",30.8,39.1,38.5,38.8,39.3,40.1,41.2,42.8,43.4,47.4,49.6,45.7,55.1,54.1,57.3,61.3,66.5,70,72.1,78.8,88.8,106.4,110.6,112.3,100.9,92.3,98.8,104,113.5,121.3,128.9,134.7,147.6,153.2,153.2,156.6,170.3,175.1,179.4,184.8,192.2,204.1,216.8,238.1,259.7,248.5,234.1,252,270.2,271.8,260.5,268.8,257.6,245.8,257.2,241.5,242.5,262.8,285.9,299.6,322.5,337.9,339.9,345,325.4,344.4,340.5,362.8,357.7,365.1,374.8,382.5,389.5,409.1,422.8,437.7,441.5,445.7,451.1,470.2,482,490.7,477.4,489,510.4,495.8,506.3,519.8,497,491,500.4,514.5,523.5,537.9,553.9,564.5,575.9,590.1,592.1,612.9,627.2,662,695.7,722.3,745.5,764.3,759.7,760.4,784.5,798.4,814.4,832.5,861.5,872,898.4,910.8,920.8,926.9,922.5,952.8,975.5,1020.8,1073.9,1120.6,1188.9,1227.6,1280.5,1289,1261.6,1184.8,1139.5,1100.9,1119.1,1192.4,1219.2,1244.7,1268,1271,1281.6,1336.4,1401.1,1483,1521.4,1601.2,1628.9,1671.7,1720,1811.4,1842.9,1884.3,1925,1887.5,1939,1978.9,2013.7,2074.9,2161.1,2273.4,2276.9,1883.8,1519.9,1485.7,1613.8,1731.8,1843.5,1957.2,1988.2,2009.4
"28","20","    Services","B656RC1",13,13.6,13.8,14.3,14.2,15.1,15.3,15.1,15.3,15.9,15.8,16.2,17.1,17.3,16.8,17.9,18.9,19.4,19,19.9,21.5,23,23,24.3,24,23,23.3,24.7,25.4,25.8,26.9,27.9,28.8,29.9,29.7,30.8,32.9,33.7,35.7,37.1,37.6,39,40.5,42.4,44.7,44.1,45.1,47.2,49.5,50.2,49.4,50.6,51.9,53.3,52.1,53.4,52.7,55.2,57.5,58.4,65.5,68.6,69.7,71.3,71.9,74.1,73.6,76,81.7,78.9,84.7,86.2,88.1,93.3,94.5,99.8,101.2,100.4,101.7,104.1,104.2,104.7,107,109.1,116.4,119,123.8,127.5,123.4,122.9,121.2,123.8,122.4,121.1,124,124,123.4,126.1,127.1,132.1,134.6,135.5,138.1,138.2,141.4,144.1,146.1,148.8,152.2,154.4,159.3,160.2,165.8,167.7,172.5,174.5,177.4,182.7,187.4,192.2,195.2,201.4,207.8,210.4,221.8,226,234.5,232.8,230.9,235.5,224.7,217,229.2,231.6,237.2,247.4,248.1,244.8,259.2,271.4,284,293.9,299.9,311.2,310.9,317,322.1,329.2,346.9,353.1,356.6,365,361.6,370.9,381,382.6,397.3,403.7,413.5,405.5,377,369.7,376.6,384.5,394.1,400,411.2,413
"29","21","Government consumption expenditures and gross investment","A822RC1",216.5,219.4,224.9,224.9,229.8,230.6,235.5,238.8,241.6,245.3,248.5,250.3,259.6,263.9,261.6,268.6,276.7,280,281.1,288.8,301.4,312,323.2,335.1,346.2,349.8,362,372.9,379.1,380.1,382.8,390,401.3,411.8,417.3,425.8,431.9,449.7,459.9,472.7,477.8,492.5,507.2,525.5,546.7,562.7,567.5,587.5,610.1,622.4,628.4,649,658.5,671.9,684.7,706.7,716.7,729.1,748.1,739.7,767.2,791.4,803.6,825.5,845.6,868.4,893.9,907.7,918.8,940.9,967.4,970.2,982.4,994.6,1002.5,1018.1,1021.9,1033,1036.9,1063.8,1070.7,1095,1112.1,1124.6,1158.6,1171.4,1183,1213.8,1228.1,1236.2,1239.2,1240.8,1258.8,1267.3,1281.7,1286,1282.6,1290.3,1296.6,1309.7,1302.9,1318.8,1349.3,1348.1,1364.6,1376.3,1378.8,1376.4,1400.7,1417.1,1422.6,1443.5,1457.4,1472.4,1477.9,1490,1482.6,1518.7,1540.4,1562.5,1585.8,1608.8,1644.6,1685.9,1695.6,1726.9,1740,1761.3,1801.1,1846.9,1850.6,1887.2,1936.6,1968.5,1996,2032.3,2073.6,2110,2127.5,2139.1,2184.5,2219,2254.4,2273.3,2316.5,2344.6,2400.1,2418.3,2474.5,2510.5,2533.3,2555.2,2604.4,2656,2698.4,2738.2,2802.3,2869.8,2934.7,2906.5,2872,2919.3,2933.8,2934.5,2955.7,2990.8,3022.2,3032.7
"30","22","  Federal","A823RC1",112.1,112,115.4,113.6,115,112.7,112.7,113.3,112.8,113.5,114.7,113.6,119.7,122.6,116.8,119.4,123.3,123.3,120.3,122.8,128.6,131.1,136.1,142.5,144,144.9,151.3,156,156.3,157.8,159.8,164.8,169.8,174.8,176.5,180.5,182.9,189.2,192.4,199.1,202.2,207.9,211.7,220.4,231.6,243,243.6,256.7,266.5,278.7,281.4,294.1,298.7,305.1,312.3,327,332.8,342.1,354.1,342.4,359.2,373.9,375.2,388.8,398,407.6,420.7,424.6,421.3,434.7,451.9,445.8,451.6,458.6,460.5,467.5,460.1,459,456.1,471.1,469.3,481.4,489,486.1,500.8,506,505,518.2,529.2,531.7,526,519.2,525.7,528.9,538.6,538.4,526.8,522.9,522.4,527.9,512,515,529.1,518.2,523.1,521.7,520.1,510.2,527.9,530.9,523.6,525.5,523.6,533.5,532.4,534.4,519.5,534.8,531.8,537.9,541.2,544.3,558.9,575.3,562.4,583.2,579.4,579.3,594.3,608.7,616.3,627.4,657.8,674.4,685.4,705,725.2,762.1,765.2,773.4,805.1,819.9,839.1,834.5,862,867.2,894.1,881.9,928.5,930.3,932.2,935.9,944,968.7,992.1,1000.6,1033.4,1065.2,1105.5,1115.4,1103.2,1139.8,1155.4,1159.9,1178.1,1206.7,1233.9,1238.3
"31","23","    National defense","A824RC1",88.9,88.3,90.8,89.9,90,86.6,86.7,87.1,86.1,84.4,84,83.7,87.7,89.8,84,86.3,89.2,89.2,85.9,88.1,91.7,94.9,96,99.6,100.7,100.3,106,108.7,108.7,110,111.5,114.2,117.9,121.2,121.7,122.7,125.1,129.4,131.8,135.6,138.3,143.4,146.1,153,160.5,165,167.7,178.6,184.8,193.8,197.8,208.5,213.8,222.7,228.5,238.5,241.3,248.7,252.4,260,273.9,279.4,280.2,292.7,298.2,306,318,322.5,318.4,329.3,342.3,333.2,340.7,349.3,355.4,354.5,354.4,353.8,350.8,359.9,353.9,362.1,368.7,363.7,370.9,372.5,369.5,382.5,389.2,388.5,382,372.7,372.1,375.2,382.9,377,364.7,361.9,360.1,365.3,348.5,352.6,364.6,349.5,351.7,352.1,349.3,342.1,355.4,358.9,352.6,352.4,343.9,351.9,350.2,353.4,334,347.3,352.3,350.7,351,352.9,365,375.6,360.6,376.9,372.7,374,383.7,389.7,395.6,402.8,420.3,431.9,440.4,458.2,466.4,507.2,503.1,515.1,535.9,545.6,565.4,556.2,578.5,586.1,606.1,585.5,615.5,624.1,623.3,636.6,637.6,657,674.7,679.9,702.1,724.9,762.1,760.2,743.9,769.9,787.3,785.4,796.3,813,830.8,830.6
"32","24","    Nondefense","A825RC1",23.3,23.7,24.6,23.7,25,26.1,26,26.2,26.8,29.1,30.6,29.8,32,32.8,32.8,33.1,34.1,34,34.4,34.7,36.8,36.2,40,42.9,43.3,44.6,45.3,47.3,47.7,47.8,48.3,50.6,51.9,53.6,54.8,57.8,57.8,59.8,60.7,63.5,63.9,64.5,65.6,67.5,71.2,77.9,75.8,78.1,81.7,84.9,83.6,85.6,84.9,82.4,83.8,88.5,91.6,93.3,101.7,82.4,85.3,94.5,95.1,96.1,99.8,101.6,102.7,102.2,103,105.4,109.6,112.6,110.8,109.3,105.1,113,105.7,105.2,105.3,111.2,115.4,119.3,120.3,122.4,129.8,133.4,135.4,135.8,140,143.2,144,146.5,153.6,153.8,155.7,161.4,162.1,161,162.3,162.6,163.5,162.5,164.5,168.8,171.4,169.7,170.7,168.1,172.5,172.1,171,173.1,179.7,181.6,182.2,181,185.5,187.5,179.5,187.2,190.2,191.4,193.9,199.7,201.9,206.3,206.6,205.3,210.6,219,220.7,224.6,237.5,242.5,245,246.9,258.8,254.9,262.2,258.3,269.2,274.2,273.7,278.3,283.5,281.1,288,296.4,313,306.2,308.9,299.3,306.4,311.7,317.4,320.7,331.3,340.3,343.4,355.1,359.4,369.8,368.1,374.5,381.8,393.7,403.1,407.7
"33","25","  State and local","A829RC1",104.4,107.4,109.5,111.3,114.9,118,122.7,125.6,128.7,131.8,133.8,136.8,139.9,141.3,144.8,149.2,153.4,156.8,160.8,165.9,172.8,181,187.1,192.6,202.2,204.9,210.7,216.9,222.8,222.3,223,225.2,231.5,237,240.8,245.3,249,260.6,267.4,273.6,275.5,284.6,295.5,305,315.1,319.8,324,330.7,343.6,343.8,347,354.8,359.9,366.8,372.4,379.7,383.9,387,394,397.3,408,417.4,428.4,436.7,447.6,460.7,473.2,483,497.5,506.2,515.5,524.4,530.9,536,542,550.6,561.8,574,580.8,592.7,601.4,613.6,623.2,638.5,657.8,665.4,678,695.6,698.9,704.5,713.2,721.5,733.1,738.4,743.1,747.7,755.8,767.4,774.2,781.9,791,803.7,820.2,829.9,841.5,854.6,858.7,866.2,872.8,886.2,898.9,918,933.7,939,945.6,955.6,963.1,983.9,1008.6,1024.6,1044.6,1064.5,1085.7,1110.6,1133.2,1143.7,1160.6,1182,1206.7,1238.2,1234.2,1259.8,1278.9,1294.1,1310.6,1327.3,1348.4,1347.8,1362.3,1365.7,1379.4,1399.2,1415.3,1438.8,1454.6,1477.3,1506,1536.4,1546.1,1580.2,1601.2,1619.4,1660.3,1687.3,1706.4,1737.6,1768.9,1804.6,1829.2,1791.2,1768.8,1779.5,1778.4,1774.7,1777.6,1784.1,1788.2,1794.4
