"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Tenant-occupied","DTENRC1",4.5,4.5,4.3,3.9,3.4,3.3,3.3,3.5,3.8,4,4.1,4.3,4.6,4.8,4.8,4.8,4.7,4.9,5.3,5.9,6.5,7.1,7.7,8.4,9.2,9.8,10.1,10.5,11.2,11.8,12.5,13.3,14.2,15.1,16,17,18.2,19.2,20.4,22.2,24
"12","5","  Farm housing","DFARRC1",0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.5,1.4,1.5,1.6,1.7,1.8,1.7,1.7,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.4,2.5,2.6,2.7,2.8,3
"13","6","Less: Intermediate goods and services consumed","B1027C1",1.6,1.5,1.3,1.1,1,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.7,1.7,1.6,1.6,1.6,2.5,3.1,3.6,4,4.4,4.9,5.2,5.7,5.9,6.1,6.4,6.5,6.7,6.7,6.7,6.9,7.1,7.3,7.9,8.4,8.9,9.4,11,12.5
"14","7","Equals: Gross housing value added","A2009C1",9.7,9.4,8.8,7.8,6.8,6.4,6.5,6.6,7,7.5,7.6,7.8,8.3,9.2,9.7,10.2,10.6,11.1,12.1,13.5,14.9,16.5,18.5,20.8,23.2,25.3,27.1,29.1,31.5,33.9,37,39.9,42.8,46,48.9,51.6,54.9,58.2,62.1,65.9,71.3
"15","8","          Nonfarm housing","B499RC1",8.9,8.6,8.1,7.2,6.3,5.8,5.8,5.9,6.3,6.8,6.9,7.1,7.6,8.4,8.9,9.3,9.6,9.9,10.8,12.1,13.6,15.1,17,19.2,21.5,23.8,25.5,27.5,29.8,32.2,35.1,38,40.7,43.9,46.7,49.4,52.6,55.9,59.6,63.3,68.5
"16","9","            Owner-occupied","B1300C1",5.1,4.8,4.4,3.9,3.3,3.1,3.1,3.2,3.3,3.5,3.5,3.6,3.9,4.4,4.8,5.3,5.7,5.8,6.4,7.2,8.2,9.4,10.9,12.6,14.4,16.2,17.8,19.4,21.2,23,25.1,27.3,29.3,31.6,33.6,35.5,37.9,40.4,43,45.6,49.4
"17","10","            Tenant-occupied","B1301C1",3.8,3.8,3.7,3.3,2.9,2.7,2.7,2.8,3,3.3,3.4,3.5,3.7,4,4.1,4.1,4,4.1,4.4,4.9,5.3,5.7,6.2,6.6,7.1,7.5,7.8,8.1,8.6,9.2,10,10.7,11.4,12.3,13.1,13.8,14.7,15.5,16.6,17.8,19.1
"18","11","          Farm housing","B1302C1",0.9,0.8,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.2,1.3,1.4,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.9,1.9,2,2.1,2.2,2.3,2.3,2.4,2.5,2.6,2.8
"19","12","Less: Consumption of fixed capital","A1028C1",1.6,1.6,1.4,1.1,1.1,1.2,1.2,1.3,1.5,1.5,1.5,1.6,1.8,2,2.1,2.3,2.4,2.7,3.4,3.9,4.1,4.4,5,5.3,5.6,5.8,6.2,6.7,7,7.2,7.6,7.9,8.3,8.6,8.9,9.4,10.1,10.8,11.6,12.7,14.1
"20","13","Equals: Net housing value added \2\","B952RC1",8.2,7.9,7.4,6.7,5.7,5.2,5.2,5.3,5.6,6,6.1,6.2,6.5,7.2,7.6,8,8.2,8.4,8.7,9.7,10.8,12.1,13.5,15.5,17.6,19.5,20.9,22.4,24.5,26.7,29.4,32,34.5,37.4,39.9,42.2,44.8,47.4,50.5,53.3,57.2
"21","14","          Compensation of employees","B1033C1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.9,1,1,1,1,1,1,1.1
"22","15","          Taxes on production and imports","B1031C1",2,2.1,2.1,2,1.7,1.7,1.8,1.8,1.8,1.9,1.8,1.9,1.9,2,2.1,2.1,2.2,2.1,2.2,2.4,2.7,2.8,3.2,3.5,3.8,4.1,4.6,5.1,5.6,6.2,6.7,7.4,8.2,8.9,9.8,10.7,11.7,12.6,14.1,15.8,17.6
"23","16","          Less: Subsidies \3\","W154RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.5
"24","17","          Net operating surplus","W165RC1",6,5.6,5.2,4.6,3.8,3.3,3.2,3.3,3.6,3.9,4,4,4.4,5,5.3,5.6,5.7,6.1,6.2,7,7.8,8.9,9.9,11.5,13.2,14.8,15.8,16.7,18.2,19.9,22.2,24,25.7,27.8,29.3,30.7,32.4,34.1,35.7,36.7,39
"25","18","            Net interest","B1037C1",1.7,1.7,1.7,1.7,1.6,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.4,1.6,1.8,2.1,2.4,2.8,3.1,3.6,4.1,4.8,5.6,6.4,7.2,8,8.9,10,11,12.2,13.4,14.5,15.4,16.7,18.5
"26","19","            Current transfer payments","W166RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,0
"27","20","            Proprietors' income with inventory valuation and capital consumption adjustments","B1034C1",-0.2,-0.2,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.5,0.6,0.7,0.8,0.8,0.9,1,1.1,1.2,1.4,1.5
"28","21","            Rental income of persons with capital consumption adjustment","B1035C1",4.5,4.1,3.6,3,2.4,1.9,2,2.1,2.4,2.8,2.9,3,3.3,3.9,4.3,4.7,4.8,4.8,4.8,5.3,5.9,6.7,7.4,8.6,9.9,11,11.5,11.7,12.3,13.1,14.2,15.2,15.8,16.7,17.2,17.3,17.6,18,18.6,18.1,18.3
"29","22","            Corporate profits with inventory valuation and capital consumption adjustments","B1036C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4
"30","23","            Current surplus of government enterprises \3\","W153RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","as shown in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Equals housing national income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Prior to 1959, subsidies and the current surplus of government enterprises are not shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","separately;  subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
