"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","Nonresidential","A008RZ2",NA,-3.95,-4.94,11.21,16.09,-8.68,0.7,6.58,-11.08,-9.9,-12.76,-3.61,8.31,23.64,22.91,-0.15,-5.77,3.81,3.05,-5.23,1.44,3.16,-20.96,25.2,14.57,1.75,5.84,-3.05,-7.59,-2.4,7.64,-0.38,5.04,15.9,12.64,6.85,-4.51,4.26,2.14,-0.55,1.93,-0.65,5.83,-6.94,-17.91,-11.26,-3.94,10.9,9.02,7.98,7.85,-0.92,10.32,4.06,-6.26,-1.42,-5.43,5.51,2.39,9.14,6.1,8.02,3.35,-1.78,-0.35,8.94,7.91,8.79,6.79,6.4,8.86,5.47,18.92,10.6,10.66,11.94,12.9,4.4,3.47,-0.47,-6.1,-0.82,-1.46,6.33,9.19,-4.96,3.85,8.57,8.68,3.02,7.73,-1.45
"13","3","  Structures","B009RZ2",NA,-0.33,1,-0.78,2.43,2.9,3.09,1.76,-1.27,-1.76,-3.8,-1.97,5.01,5.27,5.21,1.93,-0.13,2.96,-0.46,-3.42,0.81,1.16,1.11,4.24,2.87,1.84,0.71,2.1,1.6,1.18,0.12,-0.22,3.11,2.36,2.81,1.78,2.34,3.14,0.15,-0.57,-1.05,-0.14,0.02,-0.55,-1.77,-3.52,-2.49,1.92,-0.09,3.14,2.89,-0.73,4.28,1.19,0.25,3.94,-0.52,-1.82,0.13,-0.46,1.96,3.83,2.7,-2.48,-3.5,4.87,0.75,2.13,2.64,3.19,3.25,0.79,5.41,7.2,1.22,4.93,2.83,-1.98,2.37,-3.57,1.17,-3.08,1.12,0.3,2.1,-0.85,-0.62,2.18,1.73,0.82,4.79,-0.69
"14","4","    Commercial and health care","W001RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.35,0.17,0.08,2.04,0.72,-0.89,0.84,-0.08,0.09,2.48,1.47,-0.22,0.74,0.32,-0.4,1.7,5.23,-3.29,-1.52,0.94,-0.6,-1.1,0.59,2.25,1.7,0.18,1.97,0.78,0.57,1.84,-0.76,-2.53,1.2,-0.93,0.58,-1.06,-0.58,0.78,1.9,0.93,-0.29,0.31,1.87,1.01,2.79,0.1
"15","5","    Manufacturing","C307RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.31,-2.26,-0.7,-0.45,0.58,1.27,0.69,1.74,0.48,0.9,0.8,-0.31,-1.04,-0.76,-0.19,0.17,1.78,-1.8,1.36,-1.9,1,0.93,0.92,-0.28,0.63,1.61,0.93,1.89,2.06,-0.1,2.32,1.57,1.13,0.66,-1.48,-0.43,-2.64,1.06,-1.45,0.81,-0.65,-0.4,1.58,0.45,-0.6,0.56,-0.39
"16","6","    Power and communication","W003RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.6,0.52,-0.52,-0.47,-0.21,0.05,0.51,0.39,-0.9,0.33,-1.22,-0.1,0.11,-0.53,0.66,-0.36,0.09,0.38,0.05,1.46,-0.39,0.82,0.47,0.44,0.2,0.3,0.71,0.6,0.51,0.87,0.93,0.64,0.81,-0.41,0.61,1.1,0.33,0.96,0.78,0.15,1.05,0.31,-0.74,-0.17,0.04,0.6
"17","7","    Mining exploration, shafts, and wells","E318RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.71,-0.79,0.51,0.74,0.05,-0.3,-0.01,-0.49,-0.19,0.02,-0.17,-0.08,0.2,0.47,0.37,0.32,0.09,-0.36,-0.5,-0.12,0.02,-0.01,-0.3,0.37,0.62,-0.02,0.37,-0.51,0.74,-0.95,-0.17,0.25,-0.41,0.36,-0.52,-0.1,0.28,-0.22,-0.14,0.3,-0.35,0.25,0.15,-0.22,0.35,0.33,-0.11
"18","8","    Other structures \1\","W004RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.8,1.42,0.05,0.94,1.4,-0.57,1.69,0.6,0.14,0.49,-0.38,-0.67,-0.43,-0.44,1.21,0.61,-0.47,-0.43,-0.01,1.46,0.82,1.79,1.48,-0.75,-0.24,-0.99,1.36,3.01,1.19,0.07,0.84,-0.81,-0.66,-0.24,0.51,-0.77,0.53,0.14,-1.69,-0.94,-1.23,-0.17,0.36,0.24,1.06,-0.89
"19","9","  Equipment and software","B010RZ2",NA,-3.62,-5.94,12,13.67,-11.58,-2.39,4.82,-9.81,-8.14,-8.96,-1.64,3.3,18.36,17.7,-2.08,-5.64,0.85,3.51,-1.8,0.63,2,-22.07,20.96,11.7,-0.09,5.13,-5.15,-9.19,-3.58,7.53,-0.16,1.93,13.54,9.83,5.07,-6.85,1.12,1.99,0.02,2.98,-0.51,5.81,-6.4,-16.14,-7.74,-1.44,8.98,9.11,4.84,4.96,-0.19,6.03,2.87,-6.51,-5.36,-4.91,7.33,2.26,9.6,4.14,4.18,0.65,0.7,3.15,4.07,7.16,6.66,4.15,3.21,5.61,4.68,13.51,3.4,9.44,7.01,10.07,6.38,1.1,3.1,-7.27,2.26,-2.58,6.03,7.09,-4.1,4.47,6.39,6.96,2.2,2.94,-0.76
"20","10","    Information processing equipment and software","A679RZ2",NA,-1.21,0.87,-0.24,1.04,-0.81,-0.38,1.47,-0.89,-1.64,-0.92,-0.32,0.64,2.49,0.31,1.09,-1.07,0.91,1.05,0.23,0.94,2.07,-2.46,2.11,1.26,0.23,0.86,-2.06,-0.39,-1.03,0.37,0.12,-0.52,1.84,2.68,1.16,-1.07,2.51,-0.92,0.48,0.4,1.96,1.9,-2.4,-1.38,-1.47,0.54,0.89,0.41,0.35,0.51,2.2,1.33,1.7,-0.41,1.87,-1.39,2.69,0.55,0.89,1.96,-0.63,-0.54,0.96,1.96,2.21,1.64,0.58,1.62,0.49,0.03,2.09,0.61,2.08,1.74,2.23,2.68,2.57,2.04,1.9,-0.77,0.46,-0.63,2.29,0.71,-0.41,1.03,-0.12,2.79,3.18,2.82,2
"21","11","      Computers and peripheral equipment","B935RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,0.09,0.23,0.48,0.09,0.31,0.38,0.01,0.07,0.55,0.02,0.21,-0.02,0.52,0.8,0.93,0.84,0.58,0.31,0.58,0.12,0.16,0.37,0.36,0.69,0.27,1.17,0.69,1.11,1.11,1.13,0,0.21,-0.1,0.66,0.13,0.37,0.53,-0.04,0.55,1,0.63,0.5
"22","12","      Software \2\","B985RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,0.03,0.11,0.25,0.24,0.17,0.09,-0.03,0.02,0.02,0.1,0.04,0.08,0.13,0.23,0.26,0.43,0.37,0.24,0.05,0,-0.05,-0.04,0.24,0.22,0.33,0.35,0.32,0.33,0.32,0.36,0.07,0.04,-0.07,0.1,0.14,0.17,0.17,0.21,0.3,0.45,0.54,0.5
"23","13","      Other \3\","A937RZ2",NA,-1.21,0.87,-0.24,1.04,-0.81,-0.38,1.47,-0.89,-1.64,-0.92,-0.32,0.64,2.49,0.31,1.09,-1.07,0.91,1.05,0.23,0.94,2.07,-2.46,2.11,1.26,0.23,0.86,-2.06,-0.39,-1.03,0.37,0.12,-0.52,1.84,2.68,1.16,-1.07,2.51,-0.92,0.48,0.4,1.96,1.9,-2.4,-1.38,-1.47,0.53,0.86,0.45,0.37,0.39,1.86,0.6,1.38,-0.88,1.4,-1.36,2.6,-0.02,0.77,1.7,-0.68,-1.19,-0.07,0.77,0.94,0.69,0.02,0.98,0.37,-0.08,1.76,0.01,1.17,1.15,0.72,1.67,1.13,0.6,0.41,-0.83,0.21,-0.46,1.52,0.44,-0.96,0.33,-0.29,1.94,1.72,1.65,1.01
"24","14","    Industrial equipment","A680RZ2",NA,-3.94,0.44,-4.65,3.79,-2.91,-3.14,2.57,-3.8,-6.44,-2.67,-1.72,2.82,7.3,0.95,5.49,-5.54,3.59,4.57,-1.43,0.47,3.44,-7.09,1.55,4.27,2.11,1.64,0.39,-1.17,-0.13,3.52,-2.85,-3.76,2.67,2.56,3.62,-1.65,1.19,4.02,-1.45,0.15,-0.18,0.44,-2.14,-4.48,-3.16,-2.42,1.99,1.52,-1.01,0.15,2.78,1.08,3.59,-3.05,-1.7,-3.07,1.83,0.36,3.55,0.06,0.47,-1.88,-1.45,2.48,2.35,2.13,1.32,0.86,0.08,2.39,3.93,0.79,2.19,2.99,1.07,1.85,3.17,0.71,0.52,0.53,-1.26,-2.82,1.19,0.81,-1.51,-0.79,1.06,1.87,1.02,1.55,-0.49
"25","15","    Transportation equipment","A681RZ2",NA,1.36,-3,8.23,2.21,-4.35,-0.7,-2.58,1.51,2.06,-0.04,0.91,-2.34,3.16,13.65,-5.12,-0.02,-2.9,-1.87,-4.04,-0.2,-4.21,-6.7,11.67,4.34,1.64,1.1,-0.26,-4.79,-4.35,1.32,1.53,6.01,5.3,3.2,-2.22,-3.6,-0.84,-2.5,2.96,1.57,-0.06,3.13,-1.55,-9.59,-5.05,-1.59,5.64,6.5,4.68,3.8,-5.51,5.79,-2.07,0.02,-5.18,-1.62,1.76,1.88,5.5,1.69,2.11,2.17,0.2,-3.07,-2.08,1.58,3.14,1.28,1.62,3.2,-4.15,11.13,-0.22,2,2.03,3.61,-0.07,-1.74,0.21,-3.42,2.1,2.05,1.03,6.78,-2.2,3.03,3.27,1.31,-1.12,-1.3,-2.83
"26","16","    Other equipment \4\","A862RZ2",NA,0.18,-4.25,8.65,6.63,-3.5,1.83,3.37,-6.64,-2.13,-5.33,-0.51,2.18,5.42,2.79,-3.54,0.99,-0.76,-0.24,3.44,-0.58,0.7,-5.82,5.62,1.83,-4.07,1.53,-3.22,-2.84,1.94,2.32,1.05,0.2,3.73,1.39,2.51,-0.53,-1.73,1.4,-1.97,0.85,-2.23,0.35,-0.31,-0.69,1.95,2.03,0.46,0.69,0.82,0.5,0.33,-2.16,-0.35,-3.07,-0.35,1.17,1.06,-0.52,-0.34,0.43,2.22,0.9,0.99,1.78,1.59,1.8,1.63,0.39,1.02,-0.01,2.81,0.98,-0.65,2.7,1.69,1.93,0.72,0.09,0.46,-3.6,0.96,-1.19,1.51,-1.2,0.01,1.2,2.19,0.98,-0.88,-0.12,0.55
"27","17","Residential","A011RZ2",NA,-6.23,19.2,28.93,-1.92,8.33,-4.94,-11.13,-9.88,-2.22,11.79,18.73,19.55,18.95,10.47,-7.91,-8.28,-21,-9.35,1.14,3.38,2.49,-1.42,8.91,2.5,0.44,-5.54,-1.19,1.45,9.11,9.32,9.63,12.12,2.43,-3.51,-6.45,-3.73,-1.01,-2.78,-2.18,-1.93,-3.15,-1.74,-0.18,-4.65,0.38,9.76,16.12,17.87,5.63,-2.87,-4.3,4.39,-11.87,-4.03,-0.21,0.51,0.5,7.6,5.03,2.73,4.69,-0.1,-0.17,5.12,10.95,2.87,4.63,9.36,-7.48,-2.29,-2.52,0.59,1.08,0.62,-2.64,2.91,-9.49,-3.59,-11.12,-2.96,11.45,5.45,6.75,0.82,2.93,2.18,1.62,4.54,-1.25,-0.91,-8.28
"28","18","  Structures","A012RZ2",NA,-6.03,18.8,29.16,-2.12,8.51,-5,-11.4,-9.59,-2.25,12.04,18.68,19.29,18.31,10.44,-8.28,-7.78,-20.78,-9.5,1.25,3.49,2.23,-1.05,8.19,2.5,0.48,-5.31,-1.09,1.49,8.91,9.03,9.48,12.2,2.2,-3.45,-6.56,-4,-1,-2.85,-1.81,-2.31,-3.08,-1.68,-0.1,-4.05,-0.36,9.21,15.55,17.96,5.65,-2.44,-4.14,4.2,-11.79,-4.13,-0.1,0.56,0.4,7.51,5.06,2.81,4.54,-0.22,-0.24,5.06,10.86,2.82,4.61,9.28,-7.53,-2.34,-2.5,0.39,1.05,0.58,-2.8,2.93,-9.38,-3.69,-10.99,-2.96,11.41,5.35,6.49,0.73,2.9,1.98,1.6,4.44,-1.4,-0.94,-8.36
"29","19","    Permanent site","A943RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.91,6.02,10.98,15.82,3.66,-2.53,-4.03,2.28,-10.74,-4.08,-1.59,0.38,1.28,6.19,5.31,2.05,3.96,1.44,-0.24,3.43,7.32,3.46,3.86,8.41,-7.5,-1.89,-2.25,-0.69,0.76,1.92,-2.43,3.01,-8.07,-7.36,-9.89,0.22,5.71,8.95,5.63,-0.05,2.77,1.14,0.54,4.12,-1.05,-2.9,-3.46
"30","20","      Single family","A944RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.78,5.1,9.3,13.47,2.95,-2.22,-3.41,2.85,-9.51,-4,-2.18,-0.71,-0.16,4.21,3.33,-0.2,1.63,-0.25,-1.17,0.88,4.07,1.93,2.87,8.39,-5.58,-1.08,-0.81,-0.78,1.01,2.46,-1.32,2.25,-6.06,-5.73,-7.37,1.21,5.3,6.84,3.22,-1.88,1.18,-0.69,0.01,1.55,-2.76,-2.68,-3.2
"31","21","      Multifamily","C292RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.13,0.92,1.68,2.35,0.71,-0.31,-0.62,-0.57,-1.23,-0.08,0.59,1.09,1.44,1.99,1.99,2.26,2.33,1.69,0.92,2.55,3.26,1.52,0.99,0.02,-1.93,-0.81,-1.44,0.09,-0.24,-0.54,-1.11,0.77,-2.01,-1.63,-2.51,-0.99,0.41,2.11,2.41,1.83,1.59,1.83,0.53,2.57,1.71,-0.22,-0.26
"32","22","    Other structures \5\","A863RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,3.19,4.57,2.14,1.98,0.08,-0.11,1.92,-1.05,-0.05,1.49,0.18,-0.88,1.31,-0.25,0.75,0.58,-1.66,0,1.63,3.54,-0.64,0.75,0.86,-0.02,-0.45,-0.25,1.09,0.28,-1.34,-0.37,-0.09,-1.31,3.67,-1.1,-3.19,5.7,-3.6,0.86,0.78,0.14,0.84,1.06,0.32,-0.35,1.96,-4.9
"33","23","  Equipment","B013RZ2",NA,-0.21,0.4,-0.24,0.2,-0.18,0.07,0.26,-0.29,0.03,-0.25,0.05,0.26,0.64,0.02,0.38,-0.5,-0.22,0.15,-0.11,-0.11,0.26,-0.37,0.72,0,-0.04,-0.23,-0.11,-0.05,0.2,0.28,0.15,-0.08,0.24,-0.06,0.11,0.27,-0.01,0.07,-0.37,0.38,-0.07,-0.06,-0.09,-0.59,0.75,0.55,0.57,-0.09,-0.02,-0.43,-0.15,0.2,-0.08,0.1,-0.12,-0.05,0.1,0.09,-0.03,-0.07,0.15,0.13,0.07,0.06,0.09,0.05,0.01,0.09,0.04,0.05,-0.03,0.2,0.03,0.04,0.16,-0.01,-0.1,0.09,-0.13,0,0.04,0.11,0.25,0.09,0.03,0.19,0.02,0.1,0.15,0.04,0.08
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","24","  Private fixed investment in structures","A349RZ2",NA,-6.36,19.79,28.38,0.31,11.41,-1.92,-9.64,-10.86,-4.01,8.24,16.71,24.3,23.59,15.66,-6.35,-7.91,-17.82,-9.97,-2.17,4.3,3.39,0.06,12.43,5.37,2.32,-4.6,1.01,3.1,10.08,9.15,9.26,15.31,4.56,-0.64,-4.78,-1.66,2.14,-2.7,-2.38,-3.36,-3.22,-1.66,-0.64,-5.83,-3.89,6.72,17.47,17.87,8.78,0.44,-4.87,8.48,-10.6,-3.88,3.84,0.04,-1.42,7.63,4.6,4.77,8.37,2.48,-2.72,1.56,15.73,3.56,6.74,11.91,-4.34,0.91,-1.71,5.8,8.25,1.8,2.13,5.76,-11.36,-1.32,-14.56,-1.8,8.33,6.47,6.79,2.83,2.05,1.36,3.78,6.17,-0.58,3.84,-9.05
"36","25","  Private fixed investment in equipment and software","A327RZ2",NA,-3.83,-5.54,11.76,13.86,-11.75,-2.32,5.08,-10.11,-8.11,-9.21,-1.59,3.56,19.01,17.72,-1.7,-6.13,0.63,3.66,-1.91,0.52,2.26,-22.44,21.68,11.7,-0.13,4.9,-5.26,-9.24,-3.37,7.81,-0.01,1.85,13.77,9.77,5.17,-6.58,1.11,2.06,-0.35,3.35,-0.58,5.75,-6.48,-16.73,-6.99,-0.89,9.55,9.02,4.82,4.53,-0.34,6.23,2.79,-6.41,-5.48,-4.96,7.43,2.35,9.57,4.07,4.33,0.78,0.77,3.21,4.15,7.21,6.67,4.24,3.25,5.66,4.66,13.71,3.43,9.48,7.17,10.06,6.28,1.2,2.97,-7.27,2.3,-2.48,6.28,7.17,-4.08,4.66,6.41,7.05,2.34,2.98,-0.68
"37","26","  Private fixed investment in new structures \6\","W040RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.84,5.73,16.67,16.32,8.16,0.35,-4.69,8.07,-9.75,-3.46,4.08,0.21,-1.29,7.25,4.2,4.72,8.02,2.18,-2.94,1.13,14.81,3.16,6.35,11.87,-3.82,1.18,-1.64,5.25,7.95,1.89,2.08,5.74,-10.91,-0.6,-13.75,-1.88,7.64,5.67,6.32,3.14,1.98,0.94,3.46,6.51,-0.54,4.06,-9.05
