"","Table 5#3#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","3","  Structures","B009RL1",NA,-2.1,2.7,-5.6,8.6,11.6,12.5,5.9,-7.3,-9,-16.6,-10.5,20.5,21.8,25.3,10.6,1.3,14.3,-2.4,-14.5,0.5,2.9,3.4,16.2,12.6,7.9,2.2,7.2,4.1,2.8,-0.9,-1.7,13,10.3,14,10.3,13,15,2.6,-0.9,-3.4,-0.3,0.1,-2.3,-7.3,-12.6,-8.8,6.3,-1.4,13,12.4,-3,17.8,4.8,0.8,16.1,-1.8,-6.5,0.2,-2.1,7.7,15.4,11,-9.3,-13.2,20.3,2.8,8.4,10.8,14.3,13.8,3.2,22.1,30.9,4.3,19.7,9.9,-7.5,9.2,-12.9,4.2,-10.9,4.3,0.7,8.1,-3.3,-2.6,8.4,6.3,3.2,20.2,-2.8
"12","4","    Commercial and health care","W001RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,5.3,2.4,0.7,37.9,12.1,-13.6,14,-1.3,1.4,45.7,23,-3,10.4,4.3,-5.6,25.9,95.3,-33.8,-18.4,12.7,-8.2,-15.5,9.1,40.6,26.6,2.5,28.5,10.3,7.4,26.6,-10.4,-30.8,19,-12.8,8.2,-13.8,-8.1,11.8,31.1,13.8,-4,4.2,28.1,14.3,41.5,1.2
"13","5","    Manufacturing","C307RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-55.2,-46.6,-21,-15.5,23.2,57,25.8,65.9,14.5,26.8,22.2,-7.2,-23.1,-18.9,-5.3,5.1,62,-40.7,48.9,-43.4,34.1,31.5,29.1,-8,20.5,54.3,26.4,52.6,55.4,-2.1,59.3,33,23.1,12.1,-23.5,-7.5,-39.6,23.6,-26.3,18.7,-13.3,-8.6,39.7,9.7,-12.3,12.8,-8.2
"14","6","    Power and communication","W003RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-8.3,7,-9,-8.2,-3.7,0.8,8.8,7.1,-14.9,6,-19.1,-1.7,1.9,-9.7,13.1,-7.2,1.8,8,0.8,31,-7.8,17.4,9.6,9.5,4.1,6.3,14.3,12.6,10.5,18.4,18.7,13.2,16.1,-7.4,11.3,20.1,5.6,16.5,13.3,2.5,17.8,4.7,-12,-2.9,0.6,10.6
"15","7","    Mining exploration, shafts, and wells","E318RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.5,-19.2,14.1,21.8,1.5,-8.4,-0.2,-14.2,-6.2,0.7,-5.4,-2.5,6.8,15.8,11.9,10.3,2.8,-11,-15.7,-4.3,0.6,-0.4,-11.9,15.9,28.9,-1,15.8,-19.4,35.4,-34.3,-7.9,12.1,-18.3,18.6,-22.6,-4.8,14,-10,-6.7,16.2,-16.5,13.3,7.9,-11.4,20.9,18.4,-5.9
"16","8","    Other structures \1\","W004RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12.7,21.2,-0.9,15.2,24.6,-8.8,28.5,9.4,1.8,7.3,-5.2,-9.1,-6.6,-7,20.1,9.2,-7.2,-6.7,-0.2,24,13.2,30,22.8,-10.8,-3.7,-14.6,22.8,56.8,18.2,0.6,11.5,-11.8,-9.7,-4.1,7.5,-11,8.4,1.7,-24.2,-14.9,-20.1,-3.7,6.5,4.5,21.8,-15.7
"17","9","  Equipment and software","B010RL1",NA,-8.2,-12.8,25.4,38.2,-24,-5,13.5,-22.9,-18.1,-19.4,-4.3,7,53.3,50.4,-6.1,-16,0.7,9.1,-4,2.3,5.5,-47.3,60.6,31.3,-0.2,14.2,-11.6,-20.3,-8.6,20.4,-0.8,3.7,40.5,27.5,12.2,-18.3,0.9,3.9,-1,7.4,-1.6,14.9,-14.8,-36.5,-18.7,-3.8,22.9,23.7,12.7,13.8,-0.7,15.4,7.3,-15.7,-13,-12.4,20.5,5.5,26.4,10.9,10.7,1.7,1.9,8.2,9.3,19.1,17.2,10,8.5,14.6,12,34.5,7.7,23.8,17.1,24.2,15.4,2.6,6.6,-14.7,4.5,-5.4,13.2,16.1,-8.6,10.2,14.7,15.9,5.1,6.5,-2.1
"18","10","    Information processing equipment and software","A679RL1",NA,-20.1,18.4,-8,24.5,-15.1,-8.1,42.3,-19.2,-33.2,-19.6,-6.2,13.7,74.7,8.5,33,-26.8,26.6,28,4.9,23.1,53.1,-43.1,48.9,27.8,4,21.1,-33.8,-8,-21.3,9.3,2.2,-12.5,50.4,79.9,27,-22.7,62.1,-17.5,10.2,8.3,41.4,37.6,-33.4,-24,-23,10.5,15.7,6.5,6.4,9.6,49.2,25.2,31.4,-7,31.2,-20,46.2,6.8,12.4,31.5,-7.6,-7.8,16.2,32.9,32.7,24.1,7.5,22.3,6.2,0.7,31.3,7.8,30.1,25,32.9,38.2,35.5,25.7,21.5,-9.6,4,-7.2,26.9,8.2,-4.1,11.7,-1.6,35.2,40,31.6,20.5
"19","11","      Computers and peripheral equipment","B935RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,144.1,0,0,107.4,0,0,85.3,70.6,60.2
"20","12","      Software \2\","B985RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.8,8.4,17,44.4,22.8,37.7,59.1,120.9,108.9,153.4,107.4,52.4,9.2,0,-8.4,-8.6,50.7,47.8,65.9,63.7,53.1,52.2,46.3,45.7,7,3.9,-6.5,10,15.9,19.4,18.5,20.5,31.7,51.3,54.6,45.7
"21","13","      Other \3\","A937RL1",NA,-21.7,18.6,-7.1,26.1,-16.9,-8.4,42.8,-19.4,-31.9,-19.9,-7.6,16.4,72.5,7.5,33.3,-25.5,24.9,27.4,5.5,23.2,52.2,-42.5,49.1,27.3,4.8,19,-33.9,-7.9,-20.3,8.3,2.7,-12.6,51,79.1,26.5,-22,62.2,-17.8,9.8,8,42.8,37.3,-33.7,-23.3,-23.7,10,15.4,7.7,7.2,7.6,40.8,10.4,26.2,-14.6,24.6,-20.6,48.7,-0.7,11.9,29.3,-9.7,-17.5,-1.3,12.9,15,11.2,-0.3,16.8,6.4,-1.2,33.5,0.3,20.8,20.1,12.1,28.5,18.6,8.7,5.1,-12.5,1.9,-6.8,23.7,6.8,-13.1,5.3,-4.7,33.4,28.9,25.8,14.4
"22","14","    Industrial equipment","A680RL1",NA,-25.2,3,-33.2,39,-22.7,-25.4,28.2,-30.8,-47.1,-24.6,-18.2,36.8,101.3,8.9,75.9,-44.1,40.4,48,-11,4.7,32.7,-47.6,11.8,41.9,19.5,14.6,3.6,-7.9,-0.8,29.6,-20.6,-28.8,24.9,24.1,33.9,-14.2,7.6,34.1,-10.8,1,-1.5,3,-14.8,-31.4,-21.9,-17.3,15.1,12.1,-8.6,1.3,27.2,8.6,33,-22.3,-13.2,-23.2,16.7,3.2,34.1,1.3,4.3,-15.1,-12.6,24.3,21.1,19.8,11.8,7.7,1.1,22.8,38.1,5.4,18.5,25.4,8.1,14.1,27.1,5.4,3.9,3.8,-7.8,-17.6,9.2,6.4,-10.3,-5.6,8.5,15.2,8.5,12.6,-4
"23","15","    Transportation equipment","A681RL1",NA,9.5,-19.5,69.3,17.3,-27.2,-4.5,-17.6,10.9,16,0,5.8,-17.5,22.7,140.9,-31.8,-1.5,-21.7,-13.5,-26.9,-1.3,-29.5,-51.6,149.2,40,14.5,9.9,-1.6,-32.8,-31.8,10.5,14.5,68.7,51.5,27.6,-18.5,-30.4,-9,-22.4,29.6,14,-0.8,29.7,-12.1,-61.6,-41.2,-16,74.9,79.5,50.5,37.9,-39.1,62.7,-17,-0.2,-37.5,-14.7,18.1,18.8,60.6,15.2,18.8,19.6,1.5,-23,-18.5,15.4,32,11.4,16.2,32.1,-31.5,148.8,-2.5,17,17.2,30.7,-0.9,-13.4,0.8,-25.5,18.1,18.2,7.4,67.4,-15.6,25.3,26,9.3,-8.2,-9.8,-21.1
"24","16","    Other equipment \4\","A862RL1",NA,0.9,-30.9,96.5,71.8,-24.4,17.3,30.2,-42.2,-15.6,-35.1,-4.5,20.2,53.4,22.9,-30,7.8,-7.9,-2.2,37.1,-3.7,7.2,-44.3,55.6,15.2,-32.2,16.9,-26.7,-25,23.3,25.7,11.3,0.9,42.2,12.9,26.6,-6.2,-17,13.8,-19.1,8.6,-21.1,3.5,-3.6,-10.3,20.1,20,1.7,4.9,7.6,5.4,3.9,-19.4,-3.3,-28.6,-3.6,13.5,11.5,-5.9,-4.3,4.3,26.5,10.1,11,19.9,15.8,19,16.4,3.2,10.5,-0.3,31.2,8.2,-7,29.5,17.1,19,7.1,1.2,4.6,-28.1,9.4,-10.7,14.7,-12.4,-0.3,12.6,23.9,10.3,-7.9,-1.1,5.7
"25","17","Residential","A011RL1",NA,-18.5,76.9,102.7,-4.7,25.5,-12.2,-26.5,-26.8,-6.8,38.9,59,53.7,44.8,23.9,-17.6,-19.6,-43.9,-23.2,3.8,10.9,7.6,-4,23.3,6.4,1.1,-14.3,-3.4,4.3,28.7,26.7,27.7,33.2,6,-8.3,-15.9,-10.2,-2.4,-7.6,-6.1,-5.6,-9.3,-5.3,-0.6,-14.9,1,32.5,49.9,53.9,15,-7.3,-11.2,12,-29.1,-11.6,-0.5,1.6,1.4,23.4,14.1,7.4,13.1,-0.3,-0.5,15.2,32,7.6,12.7,26.9,-18.7,-6.4,-7.1,1.4,3.2,1.6,-8.4,9.4,-28.4,-12.4,-35.8,-11.5,53.8,21.6,25.4,2.5,10.5,7.4,5.1,15.2,-4.2,-3.2,-26.2
"26","18","  Structures","A012RL1",NA,-18.4,77.5,107.5,-5.3,26.7,-12.5,-27.5,-26.7,-7,40.9,60.1,53.9,43.9,24.3,-18.6,-18.9,-44.2,-23.9,4.2,11.5,7,-2.9,21.7,6.5,1.3,-14,-3.2,4.5,28.6,26.4,27.8,34.1,5.6,-8.3,-16.4,-11,-2.4,-7.9,-5.1,-6.8,-9.3,-5.2,-0.3,-13.4,-1.3,31.2,49.2,55.9,15.4,-6.4,-11,11.6,-29.4,-12.1,-0.2,1.7,1.2,23.6,14.5,7.8,12.9,-0.7,-0.7,15.4,32.4,7.6,13,27.1,-19.1,-6.6,-7.2,0.9,3.1,1.5,-9,9.7,-28.7,-12.9,-36.1,-11.8,55.2,21.7,25,2.2,10.6,6.8,5.1,15.2,-4.8,-3.4,-27
"27","19","    Permanent site","A943RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,28.6,49.5,73.1,13.8,-9.1,-14.7,8.9,-36.7,-17,-6.8,1.8,5.8,29.8,23.7,8.6,16.9,6,-1,14.7,30.8,14,15.5,35.4,-25.4,-7.4,-9,-3,3.3,8.7,-10.8,14.3,-33.2,-32.7,-45.8,1.2,39.8,63.4,31.7,-0.5,14.7,5.5,2.6,21,-5.1,-13.6,-17
"28","20","      Single family","A944RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,28.6,49.3,73.3,13,-9.4,-14.7,13.5,-37.7,-19.4,-10.9,-3.8,-0.9,24.5,18.1,-1.1,8.7,-1.4,-6.2,4.9,23.1,10.9,16.3,52.2,-25.8,-5.9,-4.5,-4.6,6.1,15.5,-7.9,14,-32.9,-33.4,-45.2,10.4,48.7,61,22.5,-11.7,8.2,-4.5,0.1,10.7,-17.8,-18.3,-23
"29","21","      Multifamily","C292RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,29.2,50.7,72.2,18.1,-7.3,-14.9,-14.4,-30.4,-2.3,18.4,34.1,42.3,55.2,48.9,53.1,49.2,32.6,15.9,46.1,52.7,22,13.6,0.3,-24.2,-11.6,-20.4,1.4,-4.2,-9.4,-19.2,15.2,-34.2,-30.6,-47.6,-24,11.7,72.6,70.5,45.4,36,38.3,9.3,50.2,30.1,-3.4,-4.1
"30","22","    Other structures \5\","A863RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,37.6,48.5,20.2,19.6,0.7,-1.2,18.5,-9.7,-0.7,14.5,1.7,-7.4,11.9,-2.9,6,4.4,-15,0,17.1,36.5,-6.5,6.8,7.9,-0.2,-4.5,-2.5,11.1,2.7,-14.3,-4.6,-1.8,-15.6,55.7,-12.6,-32,89.3,-33.6,10.2,8.9,1.4,10.1,11.6,2.3,-4.1,24.8,-45.4
"31","23","  Equipment","B013RL1",NA,-21.7,56.3,-25.5,27.9,-20.5,9.8,40.6,-32.2,4.4,-27.9,7.4,40.1,103.5,2.7,60.9,-48.8,-27.1,23.3,-13.7,-14,43.3,-43.4,137,-0.4,-5.4,-27.1,-14.4,-7.2,35.8,46.6,22.7,-11.2,36.6,-8.7,17.1,44.2,-1.8,9.7,-44.9,80,-10.4,-9.6,-12.8,-67.9,251.6,105.1,81.4,-10.3,-2.7,-43.1,-20.1,31.5,-10.9,15,-14.9,-6.7,15.9,13.3,-5.2,-10.8,24.1,21.2,10.4,9.2,12.5,7.4,1.6,13.4,7,7.3,-4,34.3,4.4,6.4,28,-2.3,-16.3,17.3,-20.9,0.1,6.4,19.4,48,13.9,4.2,33.3,2.1,15.1,24.1,5.4,12.3
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RL1",NA,-11.6,40.9,53.1,-0.6,20.7,-4,-15.9,-19.3,-7.9,14.5,29.4,41.6,36.2,24.6,-9.8,-12.3,-26.7,-15.7,-4,6.9,5.4,-0.4,19.5,8.9,3.9,-7.6,1.1,4.3,17,14.6,15.4,25.8,7.3,-0.4,-6.7,-1.7,4.8,-3.5,-3.3,-5.2,-5.2,-2.8,-1.2,-10.6,-6.8,11.3,29,29.5,14.5,0.6,-7.8,14.1,-16.6,-6.7,6.7,0.1,-2.3,12.9,7.2,7.7,14,4.1,-4.5,2.5,27.4,5.6,11.1,20.4,-7.1,1.4,-2.9,9.6,14.8,2.8,3.4,9.7,-19.1,-2.5,-25.1,-3.7,16.5,12.7,12.6,5,3.8,2.3,6.7,11,-1.2,7.1,-16
"34","25","  Private fixed investment in equipment and software","A327RL1",NA,-8.5,-11.9,24.2,38,-24,-4.7,13.9,-23.1,-17.7,-19.7,-4.1,7.5,54.3,49.2,-5.1,-16.8,0.1,9.3,-4.1,1.9,6.2,-47.2,61.6,30.7,-0.4,13.3,-11.6,-20.1,-8,20.8,-0.4,3.4,40.3,26.7,12.3,-17.5,0.9,3.9,-1.9,8.2,-1.7,14.4,-14.7,-37.1,-16.9,-2.3,24,22.8,12.3,12.3,-1,15.6,7,-15.3,-13,-12.3,20.4,5.7,25.7,10.5,10.8,2.1,2,8.2,9.3,18.9,16.9,10.2,8.4,14.5,11.7,34.4,7.6,23.5,17.3,23.8,15,2.8,6.1,-14.5,4.5,-5.1,13.6,16.1,-8.5,10.5,14.5,15.9,5.3,6.5,-2
"35","26","  Private fixed investment in new structures \6\","W040RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.1,9.8,28,27.1,13.6,0.5,-7.7,13.7,-15.7,-6.1,7.3,0.4,-2.1,12.4,6.6,7.8,13.6,3.6,-4.9,1.9,26.3,5.1,10.7,20.9,-6.4,1.9,-2.8,8.9,14.6,3,3.4,10,-18.8,-1.2,-24.2,-3.9,15.3,11.3,11.9,5.7,3.7,1.6,6.2,12,-1.1,7.7,-16.3
"36","27","    Nonresidential structures","A771RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.3,-8.6,6.5,-0.2,13.4,12.9,-2.5,17.4,4.9,1.1,16.4,-1.6,-6,0.8,-1.5,8.2,15.5,11.1,-9,-13,19.6,2.7,8.2,10.9,13.9,13.2,2.5,21.1,29.6,3.6,18.6,9.8,-7.7,8.7,-13.2,3.8,-11.1,3.9,0.4,8.2,-3.2,-2.3,8.5,6.3,3.3,20.4,-2.5
"37","28","    Residential structures","A756RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.2,28,47.3,50.6,13.7,-7.2,-11.2,11.1,-28.5,-11.5,0.2,2.1,1.2,22.6,13.3,7.6,12.2,-1.8,-1.6,14.6,31.4,6.9,12.6,28.5,-18.5,-5.9,-6.8,-0.2,3.1,2.4,-8.8,10.2,-28.3,-10.5,-34.6,-12,53.3,19.3,24.1,3.4,10.6,5.2,4.2,17.4,-4.9,-2.8,-28
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
