"","Table 6#11B# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"22","14","    Wholesale trade","J4914C0",105,110,128,155,162,182,195,247,277,343,395,492,518,556,605,647,745,856,988,1074,1275,1522
"23","15","    Retail trade","J4915C0",189,200,221,239,261,284,313,349,378,478,543,608,694,793,908,1017,1117,1182,1287,1449,1714,1994
"24","16","    Finance, insurance, and real estate","J4916C0",163,185,192,217,261,304,350,384,428,471,567,649,681,714,795,888,998,1141,1282,1445,1691,1723
"25","17","    Services","J4917C0",113,120,133,166,179,206,216,246,277,331,396,556,647,719,803,924,1021,1182,1389,1618,1737,2095
"26","18","  Government","B4918C0",784,941,1102,1230,1344,1313,1360,1575,1994,2407,2710,3053,3492,3893,4214,4725,5332,5708,6577,7644,8591,9901
"27","19","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"        By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","Employer contributions for employee pension and insurance funds","B040RC0",3405,3778,4650,5725,6383,7019,7281,8370,9797,11218,11881,13292,14304,15174,16604,17961,20250,22655,25488,28115,32392,36524
"30","21","  Pension and profit-sharing","B4934C0",2026,2253,2868,3546,3943,4227,4305,4972,5779,6578,6852,7771,8236,8608,9324,10101,11477,12824,14620,16356,18345,20608
"31","22","    Private pension and profit-sharing","B4921C0",1196,1262,1713,2262,2543,2861,2903,3377,3757,4153,4134,4771,4866,4966,5442,5760,6591,7646,8675,9456,10717,11823
"32","23","      Defined benefit pension and profit-sharing","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","      Defined contribution pension and profit-sharing","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","    Publicly administered government employee retirement plans","B4935C0",830,991,1155,1284,1400,1366,1402,1595,2022,2425,2718,3000,3370,3642,3882,4341,4886,5178,5945,6900,7628,8785
"35","26","      Federal civilian \1\","B4945C0",244,273,316,316,326,188,42,144,393,599,726,755,838,875,943,1034,1138,1146,1244,1339,1501,1611
"36","27","      Federal military \2\","B1583C0",226,298,329,343,359,388,420,466,519,556,622,686,757,864,969,1120,1331,1507,1721,1987,2288,2661
"37","28","      State and local","S251100",360,420,510,625,715,790,940,985,1110,1270,1370,1559,1775,1903,1970,2187,2417,2525,2980,3574,3839,4513
"38","29","  Private insurance funds","B4936C0",1379,1524,1785,2179,2440,2794,2980,3403,4018,4640,5029,5521,6068,6566,7280,7860,8773,9831,10868,11759,14047,15916
"39","30","    Group insurance","B4922C0",614,762,1030,1320,1476,1737,1919,2267,2726,3206,3588,4009,4454,4880,5407,5885,6663,7541,8244,8905,10792,12331
"40","31","      Group health insurance","B4923C0",444,551,745,991,1115,1316,1454,1706,2058,2440,2721,3038,3374,3747,4188,4551,5182,5890,6410,6869,8408,9926
"41","32","      Group life insurance","B4924C0",170,211,285,329,361,421,465,561,668,766,867,971,1080,1133,1219,1334,1481,1651,1834,2036,2384,2405
"42","33","    Workers' compensation","B4925C0",765,762,755,859,964,1057,1061,1085,1162,1266,1293,1378,1494,1579,1715,1822,1991,2169,2488,2734,3126,3473
"43","34","    Supplemental unemployment","B4926C0",0,0,0,0,0,0,0,51,130,168,148,134,120,107,158,153,119,121,136,120,129,112
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","35","  Benefits paid by pension and insurance funds","B4928C0",1236,1372,3111,3811,4320,4934,5417,6115,7171,8186,9149,10224,11337,12706,14183,15547,17429,19427,21894,24196,28100,32355
"46","36","    Pension and profit-sharing","B4937C0",746,865,1357,1556,1752,2024,2232,2529,2945,3338,3754,4298,4787,5353,6045,6750,7702,8680,10284,11721,13113,15182
"47","37","      Private pension and profit-sharing","B4929C0",NA,NA,370,450,520,620,710,850,1000,1140,1290,1540,1720,1970,2330,2590,2990,3520,4190,4790,5530,6452
"48","38","      Publicly administered government employee retirement plans","B4938C0",746,865,987,1106,1232,1404,1522,1679,1945,2198,2464,2758,3067,3383,3715,4160,4712,5160,6094,6931,7583,8730
"49","39","        Federal civilian \1\","B4946C0",220,242,273,288,328,396,412,453,554,647,737,853,938,1009,1115,1261,1381,1516,1876,2067,2264,2553
"50","40","        Federal military \2\","B1593C0",226,298,329,343,359,388,420,466,519,556,622,686,757,864,969,1120,1331,1507,1721,1987,2288,2661
"51","41","        State and local","S121000",300,325,385,475,545,620,690,760,872,995,1105,1219,1372,1510,1631,1779,2000,2137,2497,2877,3031,3516
"52","42","    Private insurance funds","B4939C0",490,507,1754,2255,2568,2910,3185,3586,4226,4848,5395,5926,6550,7353,8138,8797,9727,10747,11610,12475,14987,17173
"53","43","      Group insurance","B4940C0",NA,NA,1212,1622,1881,2188,2446,2818,3380,3937,4333,4855,5397,6109,6826,7411,8272,9214,9904,10573,12939,14899
"54","44","        Group health insurance","B4930C0",NA,NA,886,1242,1456,1703,1905,2210,2686,3102,3416,3863,4332,4882,5463,5918,6758,7572,8047,8465,10540,12231
"55","45","        Group life insurance","B4931C0",NA,NA,326,380,425,485,541,608,694,835,917,992,1065,1227,1363,1493,1514,1642,1857,2108,2399,2668
"56","46","      Workers' compensation","B4932C0",490,507,542,633,687,722,739,768,841,891,927,996,1062,1114,1210,1289,1393,1471,1624,1783,1943,2174
"57","47","      Supplemental unemployment","B4933C0",NA,NA,NA,NA,NA,NA,NA,NA,5,20,135,75,91,130,102,97,62,62,82,119,105,100
"58","48","  Employee contributions for publicly administered government employee retirement plans","B4941C0",555,680,766,881,987,1056,1120,1268,1435,1589,1751,1874,1995,2163,2241,2373,2643,2811,3074,3481,3857,4253
"59","49","    Federal civilian","B4947C0",275,350,371,391,427,431,430,513,600,674,726,760,794,883,900,972,1052,1082,1172,1277,1424,1535
"60","50","    State and local","S251200",280,330,395,490,560,625,690,755,835,915,1025,1114,1201,1280,1341,1401,1591,1729,1902,2204,2433,2718
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Consists of civil service, foreign service, Public Health Service officers, Tennessee Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Authority, Thrift Savings Fund, and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2. Includes the Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
