"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"32","25","  Nondurable goods","DNDGRA3",14.105,13.368,13.222,12.053,12.007,12.988,13.741,15.312,15.688,15.912,16.635,17.347,18.396,18.448,18.565,18.955,20.131,21.947,21.816,21.978,22.3,23.041,23.393,24.272,25.024,25.419,26.739,27.678,28.232,28.608,29.895,30.391,31.005,31.96,32.648,34.181,35.903,37.898,38.712,40.35,41.466
"33","26","    Food and beverages purchased for off-premises consumption","DFXARA3",21.3,20.77,20.654,19.151,20.005,21.955,23.11,26.277,27.003,27.574,27.928,29.102,30.08,29.942,29.168,30.431,32.078,35.94,35.944,35.651,35.823,36.577,36.778,37.781,39.218,40.268,42.211,43.611,44.65,44.837,46.691,47.025,47.68,47.996,48.389,50.037,52.542,54.593,55.841,58.317,59.925
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRA3",25.383,24.69,24.371,22.423,22.847,22.087,22.541,25.327,26.074,27.301,27.612,29.033,29.891,29.355,28.16,29.686,31.321,35.76,35.965,36.46,36.944,37.649,38.162,39.491,41.214,42.731,45.04,46.699,48.214,48.498,50.508,51,51.784,51.929,52.259,54.078,57.006,59.202,60.579,63.007,64.294
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRA3",NA,NA,NA,NA,1.135,9.785,13.374,17.138,17.752,16.152,16.373,16.8,18.324,19.521,19.524,20.413,21.663,23.197,23.633,20.898,20.523,21.586,20.834,20.694,21.425,20.805,21.392,21.883,21.549,21.611,22.848,22.977,23.168,24.58,25.327,26.343,27.305,28.829,29.649,32.309,35.3
"36","29","      Food produced and consumed on farms (6)","DFFDRA3",2494.487,2488.001,2649.447,2636.834,2849.453,2721.161,2518.632,2570.526,2559.354,2591.067,2658.096,2602.599,2483.316,2442.594,2597.914,2460.252,2531.606,2600.797,2335.564,2242.588,2095.917,2049.429,1978.076,1928.705,1803.656,1747.799,1686.536,1627.075,1474.277,1399.681,1354.908,1224.904,1196.23,1052.645,1005.499,942.504,829.93,764.906,710.984,657.331,609.16
"37","30","    Clothing and footwear","DCLORA3",10.398,9.354,9.239,8.216,7.395,7.811,8.442,9.178,9.081,9.207,9.943,10.264,11.036,11.507,12.526,12.123,12.527,12.775,12.188,12.308,12.382,12.694,12.63,13.289,13.407,13.42,14.073,14.442,14.34,14.485,15.232,15.37,15.654,16.363,16.663,17.931,18.676,19.928,20.067,20.872,21.274
"38","31","      Garments","DGARRA3",9.431,8.543,8.378,7.221,6.501,6.79,7.492,8.129,7.91,8.054,8.869,9.161,9.589,9.5,10.287,9.926,10.17,10.845,10.555,10.774,10.783,10.953,11.076,11.864,12.018,12.129,12.673,13.078,13.01,13.026,13.802,13.97,14.277,14.966,15.316,16.56,17.311,18.508,18.672,19.373,19.718
"39","32","        Women's and girls' clothing (10)","DWGCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.405,12.619,12.955,13.699,14.091,15.257,15.859,16.896,16.757,17.376,17.633
"40","33","        Men's and boys' clothing (11)","DMBCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.878,16.912,17.11,17.656,17.833,19.299,20.251,21.77,22.511,23.33,23.598
"41","34","        Children's and infants' clothing (12)","DCICRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.316,6.692,7.258,7.776,8.78,8.796,10.506,11.34,12.305,13.322,16.594
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRA3",16.627,14.582,14.793,14.657,13.179,14.463,14.502,15.89,16.698,16.674,16.774,17.287,20.481,25.066,27.719,27.067,28.728,25.128,22.231,21.528,22.094,23.426,21.974,21.579,21.413,20.703,22.044,22.112,21.791,22.799,23.278,23.206,23.318,24.112,24.076,25.405,26.063,27.587,27.562,28.958,29.693
"43","36","    Gasoline and other energy goods","DGOERA3",16.491,16.397,16.022,15.015,15.366,16.158,16.976,18.35,19.088,18.871,20.237,21.583,23.338,20.074,16.386,16.493,19.279,27.169,28.785,29.897,29.968,31.489,33.163,34.574,35.457,36.448,39.348,41.03,42.047,43.931,45.001,45.718,45.416,46.89,48.513,51.099,53.533,56.455,57.903,60.348,62.97
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRA3",7.694,7.768,8.089,7.454,7.467,7.958,8.44,9.119,9.814,10.097,10.76,11.405,12.723,9.59,6.084,6.276,8.268,15.006,15.967,16.983,18.467,19.15,20.817,22.533,23.778,24.533,26.669,28.282,29.371,30.766,32.346,33.454,33.799,35.232,36.314,38.302,40.111,42.614,43.999,47.063,50.227
"45","38","      Fuel oil and other fuels (29)","DFULRA3",215.619,210.672,191.189,182.983,192.478,198.911,206.361,223.195,220.959,205.032,222.129,239.137,246.492,253.339,258.083,255.479,272.856,293.475,309.104,310.604,274.005,294.441,293.786,285.512,275.934,281.312,298.964,299.566,297.031,308.333,294.541,283.741,267.055,267.105,279.85,293.443,307.808,316.523,317.124,299.656,284.105
"46","39","    Other nondurable goods","DONGRA3",6.798,6.23,6.128,5.434,5.362,5.868,6.152,6.792,7.153,7.234,7.833,8.168,9.039,9.633,10.445,10.942,11.933,11.866,11.894,12.321,13.111,14.007,14.657,15.323,15.959,15.907,16.679,17.438,18.083,18.451,19.564,20.489,21.554,23.072,24.123,25.193,26.715,28.84,29.689,30.889,31.739
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRA3",1.452,1.373,1.273,1.149,1.154,1.315,1.368,1.468,1.597,1.643,1.748,1.815,2.048,2.338,2.78,2.917,3.074,3.365,3.216,3.39,3.538,3.864,4.294,4.436,4.576,4.595,4.971,5.478,5.954,6.176,6.678,7.337,8.274,9.209,9.949,10.259,10.713,11.153,11.995,13.241,14.346
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRA3",2.424,2.147,2.052,1.871,1.739,1.714,1.743,2.069,2.02,2.231,2.572,2.603,2.998,2.71,2.562,2.611,2.902,3.679,3.677,3.682,3.959,4.46,4.851,4.908,5.076,5.131,5.378,5.727,5.92,5.928,6.565,7.036,7.363,7.951,8.636,9.446,10.397,11.612,12.005,12.781,13.188
"49","42","      Household supplies (parts of 32 and 36)","DHOURA3",6.197,5.7,5.816,5.2,5.244,5.74,6.066,7.156,7.587,7.507,8.671,9.297,9.988,9.934,10.267,10.093,9.548,11.661,11.634,12.152,13.605,15.21,15.049,15.264,15.947,15.967,17.219,17.973,18.552,18.666,20.226,21.278,23.293,25.53,26.877,29.354,31.577,34.352,35.223,36.614,37.1
"50","43","      Personal care products (part of 118)","DOPCRA3",4.233,3.775,3.805,3.254,2.526,3.233,3.26,3.444,3.674,3.784,4.175,4.398,5.082,5.6,6.605,7.146,7.684,7.384,6.917,6.978,7.247,8.033,8.007,8.796,9.36,9.671,10.616,11.584,12.364,12.939,13.205,14.586,16.059,17.487,18.637,20.038,21.805,24.389,25.965,27.44,28.098
"51","44","      Tobacco (127)","DTOBRA3",59.225,53.734,54.189,48.111,50.596,54.278,57.496,61.954,65.784,66.298,67.951,69.934,75.931,82.84,87.138,85.054,88.66,100.255,104.059,107.277,107.598,109.209,113.001,117.143,115.953,111.592,113.013,116.375,120.913,124.785,131.342,133.257,137.388,137.831,138.936,136.886,140.479,140.479,141.742,140.735,138.868
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRA3",15.907,15.169,14.001,12.096,12.244,13.168,13.998,15.051,15.836,15.217,16.456,17.407,19.476,20.175,22.428,23.343,25.955,28.786,29.434,29.174,29.204,29.627,30.43,31.296,32.33,33.083,33.612,33.737,33.691,33.69,35.198,35.764,33.87,37.215,38.309,37.935,39.366,44.99,44.389,45.071,47.614
"53","46","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","Services","DSERRA3",7.52,7.363,7.175,6.742,6.491,6.809,7.047,7.48,7.831,7.769,8.071,8.382,8.88,9.369,10.118,10.683,11.256,11.768,11.817,12.131,12.423,12.969,13.735,14.352,14.957,15.48,16.258,17.039,17.627,18.2,19.102,19.85,20.581,21.554,22.47,23.807,25.122,26.367,27.451,28.915,30.204
"55","48","  Household consumption expenditures (for services)","DHCERA3",7.786,7.602,7.393,6.952,6.709,7.07,7.331,7.795,8.183,8.101,8.424,8.741,9.276,9.791,10.569,11.151,11.769,12.309,12.397,12.732,13.047,13.635,14.474,15.093,15.736,16.281,17.115,17.922,18.55,19.14,20.051,20.784,21.558,22.591,23.556,24.918,26.303,27.616,28.74,30.257,31.638
"56","49","    Housing and utilities","DHUTRA3",6.221,6.204,6.168,6.063,5.946,6.265,6.342,6.48,6.617,6.734,6.923,7.17,7.561,7.959,8.25,8.583,8.808,9.604,10.426,11.121,11.89,12.815,13.823,14.764,15.614,16.479,17.386,18.353,19.308,20.287,21.45,22.596,23.706,25.078,26.25,27.523,28.98,30.304,31.669,33.257,35.085
"57","50","      Housing","DHSGRA3",6.548,6.47,6.407,6.295,6.178,6.511,6.564,6.666,6.774,6.881,7.042,7.253,7.666,8.057,8.36,8.68,8.865,9.627,10.401,11.023,11.745,12.57,13.497,14.378,15.154,15.894,16.696,17.524,18.416,19.309,20.351,21.41,22.457,23.708,24.774,25.955,27.361,28.599,29.869,31.365,33.069
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRA3",12.635,12.729,12.919,12.969,12.294,13.686,13.878,14.24,14.678,15.116,15.603,16.162,16.936,17.485,17.485,17.374,16.778,17.562,18.302,19.127,20.219,21.196,22.35,23.31,24.211,24.808,25.305,25.883,26.964,28.052,29.334,30.628,32.221,33.998,35.691,37.561,39.627,41.401,43.135,45.769,48.106
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRA3",4.101,3.987,3.869,3.73,3.768,3.814,3.826,3.853,3.871,3.894,3.965,4.072,4.373,4.715,5.075,5.493,5.865,6.601,7.351,7.934,8.567,9.35,10.217,11.081,11.826,12.602,13.484,14.371,15.212,16.07,17.086,18.117,19.046,20.202,21.14,22.158,23.417,24.537,25.683,26.914,28.475
"60","53","        Rental value of farm dwellings (22)","DFARRA3",47.979,47.791,47.581,47.256,46.961,46.646,46.622,46.652,46.813,46.779,46.946,47.373,47.924,48.169,48.229,48.192,48.045,49.178,50.032,51.173,52.179,52.986,53.692,54.181,54.63,54.968,55.068,55.315,55.5,55.621,55.911,56.048,56.427,56.693,56.976,57.342,57.565,57.929,58.358,58.727,59.023
"61","54","        Group housing (23)","DGRHRA3",101.816,98.196,93.066,84.026,82.438,94.406,101.816,110.651,115.901,115.124,118.505,125.957,134.34,131.455,150.543,163.126,178.961,193.414,241.048,217.555,206.073,207.174,214.951,221.909,228.917,235.875,244.343,256.593,272.309,266.896,240.384,224.53,217.688,198.921,184.438,195.877,209.527,215.566,252.853,265.595,294.158
"62","55","      Household utilities","DUTLRA3",4.435,4.741,4.847,4.778,4.665,4.906,5.075,5.348,5.595,5.752,6.057,6.454,6.723,7.14,7.359,7.738,8.148,9.076,10.111,11.166,12.164,13.618,15.051,16.301,17.569,19.17,20.694,22.499,23.799,25.268,27.146,28.785,30.229,32.298,34.083,35.867,37.554,39.355,41.243,43.329,45.851
"63","56","        Water supply and sanitation (25)","DWRSRA3",11.045,11.74,11.74,11.377,12.061,13.305,13.099,13.723,13.929,13.762,14.596,14.917,15.462,15.94,16.229,16.503,16.65,17.748,18.339,18.967,19.698,20.193,20.91,21.302,21.808,22.13,22.186,23.057,22.849,21.965,23.903,26.242,27.486,29.28,32.037,33.441,34.888,35.258,35.482,36.773,39.32
"64","57","        Electricity and gas","DELGRA3",3.721,3.982,4.093,4.052,3.88,4.031,4.224,4.459,4.702,4.882,5.132,5.525,5.762,6.162,6.37,6.749,7.176,8.071,9.138,10.228,11.247,12.798,14.308,15.662,17.031,18.812,20.559,22.518,24.07,25.954,27.828,29.343,30.828,32.956,34.555,36.418,38.157,40.26,42.508,44.769,47.281
"65","58","          Electricity (27)","DELCRA3",1.922,2.127,2.258,2.287,2.254,2.412,2.583,2.78,2.996,3.217,3.428,3.714,3.963,4.203,4.325,4.666,4.978,5.764,6.471,7.26,8.104,9.209,10.22,11.216,12.245,13.349,14.345,15.561,16.685,17.62,18.712,19.796,20.759,22.126,23.273,24.701,26.027,27.744,29.441,31.42,33.326
"66","59","          Natural gas (28)","DGHERA3",11.716,12.081,11.952,11.517,10.637,10.638,10.831,11.13,11.383,11.257,11.59,12.356,12.423,13.467,14.021,14.431,15.259,16.348,18.774,20.933,22.432,25.587,28.976,31.573,34.093,38.545,43.37,48.275,51.336,57.284,62.371,65.429,68.936,74.019,77.243,80.553,83.678,86.902,91.031,93.845,98.405
"67","60","    Health care","DHLCRA3",5.816,5.687,5.58,5.274,4.888,5.023,5.048,5.377,5.509,5.395,5.678,5.831,6.019,6.294,6.283,6.701,6.843,8.023,8.39,9.144,9.347,9.791,10.074,10.622,11.145,11.967,12.33,13.08,13.811,14.893,16.02,16.224,16.945,18.471,19.693,21.923,22.923,24.172,25.3,27.263,29.284
"68","61","      Outpatient services","DOUTRA3",6.107,5.714,5.444,5.019,4.591,4.827,4.804,5.234,5.348,5.072,5.379,5.504,5.73,5.939,5.758,6.268,6.425,7.908,8.437,9.325,9.309,9.646,9.975,10.372,10.838,11.69,11.775,12.368,13.006,13.947,14.84,15.341,15.806,17.106,17.946,20.555,21.262,21.437,21.3,22.077,23.061
"69","62","        Physician services (44)","DPHYRA3",7.025,6.619,6.334,5.94,5.519,5.876,5.962,6.55,6.711,6.317,6.618,6.738,6.932,7.189,6.882,7.817,7.914,9.961,11.083,12.27,12.323,12.783,13.323,13.768,14.323,15.421,15.31,16.095,16.891,18.294,19.095,19.434,19.57,20.888,21.755,24.939,25.243,25.235,26.154,26.948,28.5
"70","63","        Dental services (45)","DDENRA3",13.999,13.08,12.462,11.312,10.096,10.512,10.031,10.818,11.057,10.795,11.829,12.346,13.38,13.802,13.779,13.569,14.08,16.547,15.687,17.28,16.966,17.55,17.834,19.115,20.309,22.251,23.389,24.493,25.732,26.626,26.694,27.221,28.234,29.481,29.147,33.023,33.932,34.633,37.207,38.749,42.082
"71","64","        Paramedical services (46)","DPMSRA3",2.208,2.013,1.883,1.663,1.491,1.504,1.488,1.585,1.594,1.476,1.547,1.548,1.549,1.624,1.558,1.735,1.85,2.25,2.468,2.722,2.719,2.811,2.882,2.911,3.006,3.161,3.137,3.303,3.523,3.863,5.112,5.789,6.479,7.713,8.848,10.22,11.344,11.581,9.294,9.78,9.292
"72","65","      Hospital and nursing home services","DHPNRA3",4.525,5.006,5.291,5.281,5.028,4.925,5.053,5.124,5.28,5.542,5.738,5.941,6.018,6.412,6.784,6.95,7.044,7.499,7.539,8,8.542,9.113,9.302,10.023,10.585,11.286,12.041,12.965,13.774,14.973,16.354,16.107,17.124,18.839,20.49,22.018,23.337,25.971,28.782,32.238,35.534
"73","66","        Hospitals (51)","DHSPRA3",5.509,6.095,6.442,6.429,6.122,5.996,6.152,6.238,6.428,6.747,6.986,7.233,7.327,7.806,8.26,8.462,8.576,9.129,9.179,9.74,10.4,11.095,11.325,12.203,12.887,13.74,14.659,15.784,16.77,18.23,19.895,18.827,19.697,21.506,23.02,24.002,25.666,28.253,31.042,34.505,37.502
