"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Compensation of employees","A442RC1",34.2,30.8,25.4,19,18,21,23.1,26.3,30.5,27.3,29.8,32.9,41.6,52.8,64.1,67.1,64.1,69.9,82.1,91.1,88.8,98.7,114.6,123,134,132.2,144.6,158.2,166.5,164,180.3,190.7,195.6,211,222.7,239.2,259.9,288.5,308.4,341.3,378.6
"12","5","    Wage and salary accruals","A443RC1",33.8,30.4,25,18.7,17.7,20.7,22.7,25.6,29.3,25.8,28.3,31.2,39.6,50.5,61.3,63.9,60.9,66.5,78,86.9,84.4,93,107.5,115.5,125.8,123.6,134.8,147,154,151.4,165.6,174.5,178.7,191.8,201.9,216.8,235.2,259.2,277.1,305.4,338
"13","6","    Supplements to wages and salaries","A444RC1",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.6,1.3,1.4,1.5,1.6,2,2.3,2.8,3.2,3.2,3.4,4.1,4.2,4.4,5.7,7,7.5,8.2,8.6,9.8,11.2,12.5,12.6,14.6,16.2,16.9,19.2,20.8,22.4,24.7,29.3,31.4,35.9,40.6
"14","7","  Taxes on production and imports less subsidies","W321RC1",3,3,2.8,2.9,3.5,4.1,4.2,4.4,4.6,4.6,4.8,5.1,6.1,6.4,6.8,7.5,8.3,9.8,11.5,12.7,13.4,14.8,15.9,17.3,18.5,17.9,19.8,21.5,22.8,23.1,25.6,27.8,28.9,31.2,33.2,35.6,37.8,38.9,41.4,47.8,52.9
"15","8","  Net operating surplus","W322RC1",12.2,9.1,4.8,1.6,1.3,4.1,5.6,7.7,8.2,6.1,7.7,10.8,16.3,21.5,25.8,25.7,21.2,17.9,23.4,30.2,28.1,35,39.9,37.8,38.3,37.3,48,46.7,46.4,42,52.4,51.3,53,61.3,67,74.7,86.3,93.3,92.7,99.4,100
"16","9","    Net interest and miscellaneous payments","A453RC1",1.4,1.5,1.5,1.4,1.2,1.4,1.5,1.4,1.3,1.3,1.3,1.1,1,1,0.9,0.7,0.6,0.1,0.3,0,0,-0.1,-0.2,-0.2,0,0.2,0.2,0,0.2,0.6,-0.2,-0.2,0.4,0.7,0.4,0.8,1.2,2.3,4,3.9,7.8
"17","10","    Business current transfer payments (net)","W323RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.7,0.6,0.6,0.6,0.6,0.7,1.1,1.1,1,0.8,1.2,1.5,1.7,1.5,1.5,1.6,1.8,2,2.4,2.9,3.3,3,3.3,3.8,4.4
"18","11","    Corporate profits with IVA and CCAdj","A445RC1",10.4,7.2,2.8,-0.2,-0.3,2.3,3.7,5.9,6.6,4.5,6.1,9.4,14.9,20.1,24.4,24.4,19.9,17.2,22.5,29.6,27.6,34.4,39.1,37,37.3,36.4,46.6,45.2,44.5,39.9,51.1,50,50.9,58.6,64.3,71.1,81.8,88,85.4,91.6,87.9
"19","12","      Taxes on corporate income","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40
"20","13","      Profits after tax with IVA and CCAdj","W273RC1",9.1,6.4,2.3,-0.6,-0.8,1.6,2.7,4.5,5.1,3.5,4.6,6.5,7.3,8.6,10.3,11.4,9.2,8.1,11.2,17.2,17.4,16.4,16.5,17.6,17,18.7,24.6,23.2,23.1,21,27.4,27.2,28,34.5,37.9,42.9,50.8,54.1,52.5,52,47.9
"21","14","        Net dividends","A449RC1",5.6,5.3,4.1,2.6,2,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4,4.2,4.3,4.4,5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4
"22","15","        Undistributed profits with IVA and CCAdj","W274RC1",3.5,1,-1.7,-3.2,-2.8,-0.9,0.1,0.1,0.5,0.6,1.1,2.8,3.1,4.6,6.1,7.1,4.8,3,5.6,11,11,8.6,9.1,10.1,9.3,10.9,15.7,13.7,13.3,11.1,16.7,15.8,16.5,22.1,24.3,27.9,33.9,36.3,34.2,31.8,27.5
"23","16","    Gross value added of financial corporate business \1\","A454RC1",4,2.9,2.4,2.1,1.9,2,2.2,2.5,2.6,2.8,2.9,3,3.3,3.4,3.8,4,4.2,5.1,5.3,6.1,6.8,7.3,8.2,9.2,10.2,10.8,11.8,12.9,13.8,14.7,15.9,17.5,18.4,19.3,19.7,21.6,23.2,25.1,28.1,31.3,36.2
"24","17","    Gross value added of nonfinancial corporate business \1\","A455RC1",50.4,44.9,35.1,25.4,24.7,31.1,34.5,39.7,45.2,39.7,43.9,50.4,65.8,83.1,98.8,102.3,95.5,99.4,120.6,138.4,134.7,153.1,175.7,183.4,195.9,192.9,217.7,232.7,243.1,237.1,266,276.4,283.7,309.8,329.9,356.1,391.2,429,451.2,497.8,540.5
"25","18","Consumption of fixed capital","B456RC1",4.8,4.6,4.3,3.8,3.6,3.7,3.8,3.8,4.2,4.3,4.3,4.4,4.9,5.5,5.6,5.7,5.9,6.7,8.5,10,10.8,11.5,13.1,13.9,14.8,15.6,16.5,18.5,20.5,21.8,22.7,23.1,23.7,24.5,25.6,27,29.1,31.9,35.2,38.7,42.9
"26","19","Net value added","A457RC1",45.6,40.2,30.8,21.6,21,27.4,30.8,35.9,41,35.4,39.6,46,60.9,77.6,93.2,96.6,89.6,92.7,112.1,128.4,123.9,141.6,162.6,169.4,181.1,177.3,201.3,214.2,222.6,215.3,243.3,253.3,260.1,285.2,304.3,329,362.1,397.1,416,459.1,497.5
"27","20","  Compensation of employees","A460RC1",32.1,28.8,23.5,17.4,16.6,19.6,21.5,24.6,28.8,25.5,28,31,39.6,50.8,62,64.8,61.7,66.9,78.8,87.5,84.9,94.4,109.8,117.8,128.2,125.9,137.9,150.8,158.4,155.2,170.8,180.4,184.5,199.3,210.1,225.7,245.4,272.9,291.1,321.9,357.1
"28","21","    Wage and salary accruals","B461RC1",31.8,28.4,23.2,17.1,16.3,19.3,21.2,24.1,27.6,24.2,26.6,29.5,37.8,48.6,59.3,61.8,58.6,63.6,74.8,83.4,80.7,88.9,103.1,110.5,120.4,117.7,128.5,140.1,146.5,143.3,156.9,165.1,168.6,181.2,190.6,204.5,222.2,245.2,261.6,288.1,318.8
"29","22","    Supplements to wages and salaries","B462RC1",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.6,1.2,1.3,1.4,1.5,1.9,2.2,2.7,3.1,3,3.2,4,4,4.2,5.4,6.8,7.2,7.8,8.2,9.4,10.7,11.9,11.9,13.9,15.4,15.9,18.1,19.5,21.1,23.2,27.6,29.4,33.7,38.3
"30","23","  Taxes on production and imports less subsidies","W325RC1",3,3,2.8,2.9,3.4,4,4.1,4.3,4.5,4.5,4.7,5,5.9,6.3,6.6,7.3,8.1,9.5,11.2,12.4,13,14.4,15.4,16.8,17.9,17.3,19.2,20.8,22,22.3,24.4,26.6,27.6,29.9,31.7,33.9,36,37,39.3,45.5,50.2
"31","24","  Net operating surplus","W326RC1",10.5,8.5,4.4,1.2,1,3.8,5.1,7,7.7,5.4,6.9,10,15.3,20.5,24.6,24.4,19.8,16.3,22.1,28.6,26.1,32.8,37.4,34.9,35,34,44.2,42.6,42.2,37.8,48.1,46.3,47.9,56.1,62.5,69.5,80.7,87.2,85.6,91.7,90.3
"32","25","    Net interest and miscellaneous payments","B471RC1",1.4,1.6,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.5,1.5,1.3,1.2,1.2,1.1,1,0.9,0.7,0.8,0.8,1,0.9,1,1.2,1.3,1.6,1.6,1.8,2.2,2.8,2.9,3.2,3.7,4.3,4.7,5.2,5.8,7,8.4,9.7,12.7
"33","26","    Business current transfer payments (net)","W327RC1",0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.5,0.6,0.6,0.6,0.6,0.8,0.9,1,0.9,1,1.1,1.2,1.2,1.3,1.4,1.5,1.7,1.7,2,2.2,2.7,2.8,3.1,3.2
"34","27","    Corporate profits with IVA and CCAdj","A463RC1",8.9,6.6,2.3,-0.9,-1,1.8,3.2,5.1,5.8,3.6,5.2,8.3,13.7,18.9,23,22.8,18.2,15.2,20.8,27.1,24.5,31.3,35.6,32.8,32.8,31.6,41.6,39.8,38.8,33.8,43.8,41.7,42.7,50.1,56.1,62.4,72.7,77.5,74.4,78.9,74.4
"35","28","      Taxes on corporate income","B465RC1",1.1,0.7,0.5,0.3,0.5,0.7,0.9,1.3,1.4,0.9,1.3,2.7,7.4,11.1,13.7,12.6,10.2,8.6,10.8,11.7,9.3,16.8,21.1,17.7,18.4,15.5,20.1,19.9,19,16.1,20.7,19.1,19.4,20.6,22.8,23.9,27.1,29.5,27.8,33.5,33.3
"36","29","      Profits after tax with IVA and CCAdj","W328RC1",7.7,5.8,1.9,-1.2,-1.5,1.1,2.3,3.8,4.4,2.7,3.8,5.6,6.4,7.7,9.3,10.2,8,6.6,10,15.4,15.2,14.5,14.5,15.2,14.4,16,21.4,19.8,19.9,17.7,23.1,22.6,23.3,29.5,33.4,38.5,45.5,48,46.5,45.4,41
"37","30","        Net dividends","B467RC1",5.1,5,3.8,2.4,2,2.7,3.2,4.3,4.4,2.7,3.4,3.7,4.1,3.8,3.9,4.1,4.1,4.9,5.4,5.9,6,7.4,7,7.1,7.2,7.4,8.4,9,9.2,9.1,9.8,10.5,10.6,11.6,12.4,14,16.2,16.8,17.3,19,19
"38","31","        Undistributed profits with IVA and CCAdj","W332RC1",2.6,0.9,-1.9,-3.6,-3.5,-1.6,-0.9,-0.5,0,-0.1,0.4,1.9,2.2,4,5.4,6.2,4,1.7,4.7,9.6,9.2,7.2,7.5,8.1,7.2,8.7,13,10.8,10.6,8.6,13.3,12.1,12.7,17.9,20.9,24.5,29.3,31.2,29.3,26.4,22
"39",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","32","    Profits before tax (without IVA and CCAdj)","A446RC1",10.4,4.2,0.4,-1.4,1.7,3,4.1,6.8,7.2,4.1,7.3,10.2,18,21.7,25.2,24,19.7,24.2,31,34.6,28.5,42,43,38.3,39.9,37.4,47.5,47.6,46,40.4,51,48.5,48.3,53.2,58,64.6,75.4,82.2,78.8,86.8,84.8
"42","33","    Profits after tax (without IVA and CCAdj)","A448RC1",9,3.3,-0.1,-1.8,1.2,2.3,3.1,5.4,5.7,3.1,5.9,7.3,10.3,10.3,11.1,11.1,9,15.1,19.7,22.2,18.3,24,20.5,18.9,19.6,19.8,25.5,25.6,24.6,21.5,27.3,25.7,25.4,29.1,31.6,36.5,44.4,48.3,45.9,47.2,44.8
"43","34","    Inventory valuation adjustment","B058RC1",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9
"44","35","    Capital consumption adjustment","A059RC1",-0.4,-0.2,0.1,0.2,0.1,-0.1,-0.1,-0.1,-0.6,-0.6,-0.5,-0.6,-0.6,-0.4,0,0.6,0.7,-1.7,-2.6,-2.8,-2.8,-2.6,-2.8,-2.4,-1.6,-0.7,0.9,0.2,0.1,-0.3,0.3,1.6,2.3,5.3,6.2,6.9,7.6,8,8.2,8.5,9
"45",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","36","    Profits before tax (without IVA and CCAdj)","A464RC1",8.7,3.4,-0.2,-2.1,0.9,2.5,3.5,5.9,6.3,3.2,6.3,9.1,16.7,20.3,23.7,22.3,17.9,22.1,29,31.9,25.2,38.7,39.3,33.9,35,32.3,42.2,42,40,34,43.4,40.1,39.9,44.6,49.7,55.9,66.1,71.4,67.6,74,71.2
"47","37","    Profits after tax (without IVA and CCAdj)","A466RC1",7.6,2.7,-0.7,-2.5,0.4,1.8,2.6,4.7,5,2.3,5,6.4,9.4,9.2,10,9.7,7.7,13.5,18.2,20.2,15.9,21.9,18.2,16.3,16.7,16.7,22.1,22,21,17.9,22.7,20.9,20.5,24,26.9,32,39,41.9,39.8,40.5,37.8
"48","38","    Inventory valuation adjustment","B058RC1",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9
"49","39","    Capital consumption adjustment","B470RC1",-0.3,-0.1,0.1,0.2,0.2,0,-0.1,-0.1,-0.5,-0.5,-0.4,-0.5,-0.5,-0.3,0.1,0.8,0.9,-1.6,-2.3,-2.6,-2.5,-2.4,-2.5,-2.1,-1.3,-0.4,1.1,0.5,0.4,0.1,0.7,1.9,2.5,5.4,6.4,7,7.8,8.1,8.3,8.6,9.1
"50",NA,"  Value added, in billions of chained (2005) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","40","    Gross value added of nonfinancial corporate business \2\","B455RX1",323.6,301,272,230.7,224.6,255.8,278.3,318.2,344.8,319.3,357,402.9,484.2,550.9,615.1,627.1,580.5,560.1,599.1,646.2,640.8,724,764.7,791.7,848.9,839.6,941,970.7,983.2,944.7,1051.6,1086.8,1111.3,1206.3,1278.7,1369,1482.8,1589.1,1632,1737.9,1808.1
"52","41","      Consumption of fixed capital \3\","N456RX1",41.7,42.5,42.1,40.7,39.3,38.3,38.1,38.3,39.3,39.6,39.6,40.2,41.4,41.7,40.6,40.1,40.8,43.5,47.3,50.6,53.1,55.3,57.5,59.5,62.1,64.7,67.4,70.5,73.7,77.3,78.5,79.5,81.9,84.7,88.4,92.6,98.6,106.3,113.8,121,128.9
"53","42","      Net value added \4\","A457RX1",281.9,258.6,229.9,190,185.2,217.5,240.2,279.9,305.5,279.7,317.4,362.7,442.8,509.3,574.5,587,539.7,516.7,551.8,595.6,587.6,668.7,707.2,732.1,786.7,774.9,873.5,900.2,909.5,867.4,973.1,1007.3,1029.4,1121.6,1190.3,1276.4,1384.2,1482.9,1518.2,1616.9,1679.2
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Estimates for financial corporate business and nonfinancial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","corporate business for 2000 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1987 Standard Industrial Classification (SIC); later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Chained-dollar consumption of fixed capital of nonfinancial corporate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","business is calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","the 2005 current-dollar value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","4. Chained-dollar net value added of nonfinancial corporate business is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","difference between the gross product and the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
