"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"57","39","  Equals: Net equipment and software","A901RC1","-187.0","-754.0","-4,974.0","-4,544.0","-3,236.0","-837.0","101.0","1,150.0","1,113.0","1,312.0","4,485.0","5,618.0","7,124.0","9,760.0","15,885.0","21,191.0","27,760.0","29,790.0","29,785.0","23,120.0","25,987.0","27,153.0","21,194.0","17,318.0","7,899.0","2,233.0","1,169.0","2,173.0","-1,446.0","3,185.0","8,316.0","6,723.0","6,219.0","10,243.0","12,251.0","16,414.0","20,491.0","25,982.0","28,306.0","39,959.0","36,005.0","35,107.0","25,468.0"
"58","40","            Federal","A902RC1","-991.0","-1,572.0","-5,728.0","-5,538.0","-4,512.0","-2,396.0","-1,307.0","-29.0","182.0","148.0","2,848.0","3,716.0","5,561.0","7,942.0","13,118.0","17,072.0","22,387.0","23,972.0","24,320.0","17,248.0","17,611.0","18,272.0","14,358.0","10,900.0","2,130.0","-5,000.0","-6,765.0","-4,725.0","-9,707.0","-7,147.0","-3,103.0","-4,306.0","-2,948.0","3,127.0","6,142.0","11,624.0","15,370.0","18,706.0","17,121.0","27,695.0","27,039.0","27,927.0","18,849.0"
"59","41","              National defense","B905RC1","-1,421.0","-1,835.0","-5,897.0","-5,722.0","-4,532.0","-2,569.0","-1,462.0","-270.0","-199.0","-672.0","2,068.0","2,536.0","4,644.0","6,894.0","10,732.0","14,492.0","19,595.0","21,894.0","21,975.0","14,402.0","14,027.0","14,442.0","10,503.0","6,423.0","-1,668.0","-6,004.0","-8,546.0","-7,614.0","-12,693.0","-11,089.0","-8,269.0","-7,659.0","-5,390.0","341.0","3,604.0","8,018.0","9,297.0","11,816.0","12,183.0","20,958.0","21,092.0","20,697.0","12,767.0"
"60","42","              Nondefense","B906RC1","430.0","263.0","169.0","184.0","20.0","173.0","155.0","241.0","381.0","820.0","780.0","1,180.0","917.0","1,048.0","2,386.0","2,580.0","2,792.0","2,078.0","2,345.0","2,846.0","3,584.0","3,830.0","3,855.0","4,477.0","3,798.0","1,004.0","1,781.0","2,889.0","2,986.0","3,942.0","5,166.0","3,353.0","2,442.0","2,786.0","2,538.0","3,606.0","6,073.0","6,890.0","4,938.0","6,737.0","5,947.0","7,230.0","6,082.0"
"61","43","            State and local","B907RC1","804.0","818.0","754.0","993.0","1,276.0","1,558.0","1,407.0","1,179.0","932.0","1,164.0","1,636.0","1,902.0","1,563.0","1,818.0","2,767.0","4,119.0","5,373.0","5,818.0","5,466.0","5,871.0","8,376.0","8,881.0","6,836.0","6,418.0","5,769.0","7,233.0","7,934.0","6,898.0","8,261.0","10,331.0","11,418.0","11,028.0","9,166.0","7,116.0","6,109.0","4,791.0","5,121.0","7,276.0","11,186.0","12,264.0","8,965.0","7,181.0","6,619.0"
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","44","  Gross domestic fixed investment","W172RC1","190,539.0","193,954.0","211,671.0","241,142.0","275,457.0","291,685.0","299,576.0","341,239.0","406,519.0","489,229.0","563,366.0","585,836.0","649,457.0","644,460.0","692,902.0","809,570.0","873,159.0","913,174.0","942,082.0","989,238.0","1,044,924.0","1,062,170.0","1,023,585.0","1,071,563.0","1,151,961.0","1,254,420.0","1,345,485.0","1,453,650.0","1,570,021.0","1,709,918.0","1,868,052.0","2,021,992.0","2,022,246.0","1,978,401.0","2,069,068.0","2,276,017.0","2,514,344.0","2,692,235.0","2,722,570.0","2,625,877.0","2,210,393.0","2,184,495.0","2,298,514.0"
"64","45","  Less: Consumption of fixed capital","A262RC1","99,191.0","108,313.0","117,773.0","127,151.0","140,782.0","163,686.0","190,379.0","208,170.0","231,776.0","261,414.0","298,901.0","344,085.0","393,342.0","433,542.0","451,105.0","474,347.0","505,443.0","538,475.0","571,094.0","611,014.0","651,452.0","691,202.0","724,360.0","744,351.0","778,015.0","819,167.0","869,460.0","912,517.0","963,805.0","1,020,547.0","1,094,390.0","1,184,324.0","1,256,221.0","1,304,979.0","1,354,052.0","1,432,765.0","1,541,375.0","1,660,677.0","1,767,511.0","1,854,077.0","1,866,319.0","1,873,441.0","1,936,778.0"
"65","46","  Equals: Net domestic fixed investment","W173RC1","91,348.0","85,641.0","93,898.0","113,991.0","134,675.0","127,999.0","109,197.0","133,069.0","174,743.0","227,815.0","264,465.0","241,751.0","256,115.0","210,918.0","241,797.0","335,223.0","367,716.0","374,699.0","370,988.0","378,224.0","393,472.0","370,968.0","299,225.0","327,212.0","373,946.0","435,253.0","476,025.0","541,133.0","606,216.0","689,371.0","773,662.0","837,668.0","766,025.0","673,422.0","715,016.0","843,252.0","972,969.0","1,031,558.0","955,059.0","771,800.0","344,074.0","311,054.0","361,736.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Gross government investment consists of general government and government enterprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","expenditures for fixed assets; change in inventories is included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
