"","Table 3#11#1# Percent Change From Preceding Period in Real Natio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132"
"26","18","        Petroleum products","B780RL1",NA,-8.3,-27.8,-66.7,-3.1,-27.4,-68.5,8,-8.2,184,-54.3,-20.9,0.9,0.7,-79.4,329.4,-42.4,-36.3,23,-62.2,-16.2,-44.5,435.2,-45.3,-31.6,-0.4,52.9,-17.1,-15,12.5,20.4,-6.9,107,-54.3,42.4,5,-20.6,8.7,5.8,25.2,-31.9,-9.1,13.4,-23,-15.7,192.8,-10.6,-49.5,26.7,0.4,61.4,-49.8,63.3,-12.7,21.3,-42.4,47.5,9.8,-25.9,18.5,-1.7,-43.1,126.8,56.8,-63.7,-44.2,-12.1,150.5,-28.3,19.2,8.4,31.6,-37.3,-2.2,-45.6,443.3,-13.5,-63.5,32.3,-63,43.5,2.4,3.2,-58.2,88.2,-11.2,-10,-0.8,2.6,59.7,-14.1,-33.8,19.2,-32.9,52.5,-57.6,133.6,-18.2,39.4,-70.4,52.8,13.5,-16.9,-12.4,26.5,-6.6,-4.2,-24.5,28.8,64.9,117.8,-84.5,176.9,-34.2,-7.6,-20.1,97.6,-7.4,-2.4,131.7,24.9,9.1,-53.7,-34.8,84.4,-60.9,-90.8,12.9,260.6
"27","19","        Ammunition","B781RL1",NA,-9.3,-15.2,8.4,-30.2,-10.7,-73.3,58.3,-32.5,-31,-62.9,-4.6,-17.9,-2.6,-74,30.8,-84.9,-39.6,20.8,-21.9,456.9,-18.2,-50.6,158.1,-8.9,52.4,153,-83.7,127.5,63.6,32.8,-24.4,-33.5,12.5,70.5,2.5,23.3,-8,-4.9,27.2,17.9,71.7,-23.9,163.7,-35.5,86.6,-4.5,-25.8,-91.6,927.4,-75.5,1202,-76.3,-94.5,-89.6,1380.2,1776.4,619.3,-41.3,0,-94.7,700.3,32.9,-38.5,30.1,131.5,-69.4,21.3,57.9,-60.9,17.4,-76.2,204.2,-1.6,-58.6,139,-18.5,-12.9,-36,49.8,-79,1092.8,-70.1,-13.5,10.8,30.8,10.6,-56.3,-41.9,-53.9,-72.9,1407.6,-94.2,77.9,-45.5,-47.5,297.5,25.9,-66.7,195.6,179.8,-62.5,50.2,6.1,-19.9,-30.8,837.2,-56.4,-52.1,32.3,171.7,-61.6,-35.8,-13.4,219.3,-27.9,0.7,59.8,9,-6.3,66.3,39.1,8.8,-31.4,-50.6,174.4,9.1,5.8,88.3
"28","20","        Other nondurable goods","B783RL1",NA,13.1,-80.6,93.8,6.6,56.7,-54.3,33.3,54.1,28.5,-13.3,-10.3,36.4,10.3,-51.5,-32.3,40.2,47.2,52.3,47.2,-46.1,-34.2,15.1,-33.5,-18.7,34.5,46.2,-38.5,-7.2,25,4.4,-11.6,23.5,51.2,-0.3,-6.7,104.9,112.7,-52.5,46.1,-18.9,29.3,-17.7,9.2,-32.4,-0.2,-25.7,23.6,-29.7,10.4,-6.1,-6.8,213,1.7,27.4,-68.2,149.2,-7.1,-30.7,93.8,131.3,-48.7,-21,92.5,-13.8,-11.9,-24.4,-11.6,-4.2,85.2,-24.2,-46.2,-56.8,64.3,-26.1,-9.9,196.9,-45.9,-23.8,75.9,13.8,-27.5,36.7,-28.1,-52.5,3.3,60,-46,-17,-37.3,300,-15.6,-69.1,39.1,-30.1,5.4,5.9,157.2,8.5,-23.1,2.8,-31,87.5,-8.2,-2.3,2.2,-17.9,22.6,0,39.6,69,40.2,138.3,6.7,-81.8,34.6,-24.4,123.9,-52.2,82.4,-2.4,20.2,-16.1,27.6,50.6,64.9,-17.2,30.7,4.4
"29","21","      Services","A489RL1",NA,31.6,-54.8,-16.6,25.8,24.4,-23.1,-15.8,54.9,-5.9,-10.7,-26.8,8.5,-0.3,2.5,-14.5,6.5,33.9,-14.2,-12.7,6.4,13.6,28.6,-40.3,12.8,7.1,2.3,-1.2,28.2,15.3,-43.5,20.1,43.7,30.1,-1.9,18.8,11.1,-2.6,29.4,-8.3,70,-11.4,43.5,19.6,-8.6,-6,-1.2,42.8,-6.6,0.4,23.6,4.5,10.8,12.3,29,22.4,-13.5,10.6,15.3,-28.6,45.7,7.8,-12,11.3,15.1,-11.1,-4.5,15.4,-36.4,35.3,-1,18.4,-3.2,-12.2,-18.1,14.4,15.7,2.2,-15.3,-21.2,-12.5,1.2,31.1,3.8,-22.5,-31.5,32.8,9.8,-21.7,9.1,24.6,-19.9,-2.5,12.8,-14.5,-7.5,9.7,7.8,-17.4,51.7,-29.6,41.5,-16.6,1,-38.5,51.5,-7.1,19.9,0.2,-23.3,32,66.8,-58.4,72.8,-19.4,15.2,39.3,-15,1.5,67.2,18.9,6.3,13.8,92.2,-18.5,103.7,-8.7,8.5,11.1
"30","22","        Research and development","B784RL1",NA,46.4,-59.9,-37.7,90.6,26.7,-1.2,-24.4,64.4,-51.1,72.4,-35.8,13.2,-18.4,32.1,-12.1,8.7,16.9,-8.3,-1.5,19.5,16.5,-7.3,-35.3,17.9,-3.6,39.5,-11.6,54.2,-26.3,-39.6,54.1,74.2,29,6,35,15.2,17.7,17.5,-24.8,6.6,32.1,16.5,15.8,-25.2,8.7,-35.3,75.4,-14.5,4.6,30.3,32.6,17.8,20,106.8,32.7,-49.4,72.8,16.8,-38.6,71.5,4.7,-1.3,28.9,57.9,-18.6,4,70.2,-73.1,86.7,-7.3,23.9,-21.1,-23.4,-55.5,53.7,-34.9,-32.4,-2.5,66.5,-14.2,-27.1,40.8,82.2,-34.8,-49.7,33.8,26.2,-39.4,24,32.3,-25.8,-17.5,15.2,-4.4,-6.1,40.4,17,-7.1,64,-52.5,146.8,-37.2,22.8,-71.4,128.2,-32,94.5,8.9,-66.1,114.9,140.4,-70.7,82.2,-44.2,117.2,10.2,-3.9,-16.3,90.4,29.7,25.8,-15.2,216.7,-57.4,261.8,-43.9,58.6,3.9
"31","23","        Installation support","B911RL1",NA,16.3,-62.5,-11.8,27,71.9,-58.6,-5.9,117,-3.4,-54.1,3.4,32.4,33.3,-48,9.9,29.2,33.7,-35.2,18.6,1.7,-4.2,118.4,-49.4,-23,25.2,-7.5,-1.8,0.4,178.5,-66.7,4.2,42,15.7,-3.8,43.5,-2.4,-45.4,60.8,24.4,144.5,-59.4,301.7,24.8,-14.5,-29.9,25.9,35.2,-8.3,8.4,7.2,-1.6,-6.8,-15.5,16.2,1.4,29.7,-31.9,44.1,-29.5,35,-3.4,-13,-12.6,15.2,-9.8,-15.1,9.7,1.2,-3.4,0,8.1,42.4,-12.9,14.5,8,29.8,-1.2,-30.2,29.3,-11.8,-22.2,11.1,48,13,-14.9,-2.9,16,19.7,-14.3,-5.1,-19.2,10.8,-2.9,-10.7,-7.9,6.6,17.4,-12.8,-7.8,0.5,-0.7,-2.6,-15.3,0.3,2.4,6.1,-18,4.1,5,1.5,15.8,-27.9,21.1,-0.1,-7.1,40.5,-18.2,14.3,19.2,26.4,-18.9,11.4,30.5,-28.1,63.4,0.2,-11.3,7
"32","24","        Weapons support","B912RL1",NA,-22.7,-32.9,-67.1,362.4,-15.8,-79.4,163,126.6,17.6,-61.5,-22.4,20.7,25.9,-53.9,63.6,21.3,21.8,8.8,-57.4,85.8,14.1,-1.6,-51.7,161.6,18.3,-23.8,-28.8,190.7,-30.7,-62.6,374.9,76.3,13.7,-3.6,0.4,-9.5,68.2,-17.9,25.2,34.7,8.2,-69.2,283.4,15.3,-20.2,22.3,58,-4.6,2.9,42,-3.3,1.3,20.5,3,38.3,-12.4,4.3,-0.7,-4.1,11.5,11.4,-5.8,-0.7,-27,-9.3,-18.8,-18.7,-15.3,50.1,15.5,51.4,-2.4,-7.3,-3.4,-0.8,-35.5,-0.3,-35.2,-14.3,-32.3,-35.9,49,-13.9,-36.7,-49.3,54.1,43.8,-31.7,33.9,45.1,48.9,-14,3.3,-27.9,-37,-50.9,-4.9,-26.7,281.3,-44.7,44.2,1.5,10.8,-47.7,65.3,2.2,77.9,-55.3,6,33.8,147.8,-87.5,369.1,2.5,28.8,37.8,-21.6,-23.6,134.4,9.5,-5.2,59.2,75.6,-18.9,132.5,7.7,-14.7,10.3
"33","25","        Personnel support","B913RL1",NA,107.4,-21.1,136.9,-75.2,-26.7,1.5,39.5,-19,5.7,348.2,-70.5,-1.7,-12.3,186.5,-60.9,24,0,15.4,-39,-48.9,90.2,5.2,-16.2,-9,23,-2.1,37.1,-30.2,15.9,-24.4,-24.9,-11.4,96.4,-53.5,162.2,21.5,-18.9,129.4,-42.2,257.2,4.4,10.4,-9.7,13.5,-2.1,5.6,70.8,-37.9,-16.9,121.5,-37.4,60.1,42.3,-1,35.4,-18.6,23.5,17.1,-33.8,68.5,0.1,-4.1,9,-20.8,-3.9,-4.6,-10.4,-15.3,52.3,-1.9,26.5,-2.9,-28.9,-9.4,-17.5,3.7,-20.5,0.8,32.9,-0.5,-17.6,36,61.8,-34.4,-47.3,9.1,42.7,-13.9,5.4,38.3,-23.2,8.7,50.9,-27,-0.6,11.4,-2.6,-15.6,84.5,-16.3,22.5,-12.9,-5.7,-26.5,74.6,5.2,-5.7,15.2,-4.1,31.1,58.4,-60.1,110.5,-19,-21.6,105.1,-27.4,14.7,75.6,15.5,20.7,47.5,84.5,-0.9,64.3,19.4,6.8,8.2
"34","26","        Transportation of material","B786RL1",NA,22.9,-46.2,-12.3,-28.5,22.1,56.2,-51.9,-32.3,137.6,-61.9,39.3,-12.7,-38.5,-0.8,49,-58.2,192,-21,-27.4,33.8,-23.5,22.1,-25.4,18.4,-23.7,-29.8,48.3,52.9,-45.5,85.1,-58.7,25.4,43.9,37.2,-59.4,103.5,-21.5,5.9,-20.4,76,8.9,1.1,-30.5,28.9,108.9,33.6,-51.8,28.5,11.3,-38.2,77.8,-28.6,48.2,-32.5,4.4,175.9,-34.5,-11.9,-23.3,-11.2,64.5,-36.9,78.2,-12.3,46.8,32.3,-66.8,237.9,-3.8,10.6,-58.1,22.9,89.1,86.2,29.8,559.8,83.6,-47.7,-92.4,-12.5,768.4,-27.7,-94.5,-29.3,115.7,414.4,-56.9,-60.8,0.5,-19.3,-15.2,33.4,63.7,-6.6,24.5,34.2,-13.8,-45.7,6.8,-38.7,2.3,-4.9,4.4,4.7,12,-4.1,-5.8,21.8,45.4,-40,9.1,2.8,-9.1,-8.2,-27.6,6.9,17.6,42.1,70.5,-0.1,2.6,-10.5,7.6,1029,-7.7,-5.2,-34.5,47.4
"35","27","        Travel of persons","B785RL1",NA,100,-71.3,36.3,1.5,15.3,282.9,-76.8,23.1,211.7,-42,-33.1,-50.8,37.4,146.9,-81.5,2.1,86,-4.1,-4.1,-30.3,73.9,30.5,-49.7,86.7,-5.1,-0.2,-4.7,-25.2,18.3,27,-46,-20.9,46.9,45.9,-58.4,4.2,102.4,25.9,1.9,25.1,35.6,122.3,-65.8,-8.3,15.1,-27.2,25,202,-33.5,-21.2,-9.2,81,15.4,-26.3,10.2,43.1,10.1,-39.2,7,67.5,72.5,-64.2,23.6,38.4,-21.8,-5.4,-9.9,110.9,-39.8,-6.3,45.1,-55.6,103.2,-2.5,1.5,276.5,183.9,90.2,-96.2,3.3,267.8,183.1,-87.1,-30.5,38,111.6,-59.9,-61.1,124,209,-62,-24.8,-27.1,-10.5,6.9,7.3,-5.3,-50.2,160.5,-28.1,-1.2,0.8,-9.6,-2.6,3.9,6.3,11.6,10.2,13.1,0.3,4.9,-9.1,-1.5,-1.8,-21.1,-1.3,6.9,22.1,63.9,-15.2,-6.8,-5.3,10.1,53.4,3,77.7,-15.1,88
"36","28","  Less: Own-account investment \4\","W088RL1",NA,47.7,26.4,193,-59.1,-5.8,28.6,80.3,-56.9,43.9,15.6,0.7,67.7,-30.2,21.8,65.7,15.4,-30.6,-13.8,45,-24.3,10.7,-39.4,4.4,8.9,51.3,4.2,6.7,51.7,-0.4,1.2,-24.5,-4.6,11,35.4,12,3.2,-6.4,31.7,-4.3,17.3,45.9,37.3,5.1,-3.6,21.7,15.3,-1.3,8,36.9,31,1,6.4,19.4,44.8,-3.5,-1.2,-5.5,6.4,5.8,9.8,19.4,12.9,-0.6,-2.7,-2.4,-0.9,-1.8,11.5,40,18.3,33.1,-7.1,-50.1,31.8,-3.1,5.3,30.3,6.3,-7.7,26.9,-21.2,-6.7,-35,36.1,8.4,2.1,-26.8,-22.2,-3.9,28,-20.2,26.6,-25.2,6.3,-32.4,-1,2.3,18.7,-19.2,51.6,-23.7,-41.4,-30.5,73.8,54.2,-36.7,-63.5,-69,972.9,-23.6,-31.9,-61.6,10.4,4.5,13.8,125,-28.2,14.5,99.8,63.2,-5.7,4.7,15.5,0.2,6.3,-18.9,19.5,8.3
"37","29","        Sales to other sectors","W089RL1",NA,457.3,-76.1,111.7,-15.3,1474.5,-8.9,-76.7,588.4,14.5,-34.1,-42.2,293.7,-66,-99.9,312.5,-40.9,135,1.2,-85.2,1076.8,680.2,-60.5,-96.2,343.6,38.6,208.9,149.7,-58.7,-71.8,-38.1,549.8,-30.5,-41.2,511.8,50.9,43.6,-89.4,1102.7,-86.3,465.1,-63.2,-83.5,3527.9,-97.4,-64.2,-89.4,3992.8,-31.9,-48.1,2079.4,-97.5,-57,497.7,257.9,-75.1,-92.6,1605.9,106,-6.9,18.9,-25.5,178.4,-95,482.1,78.2,870.2,-97.7,384.1,-38.8,9,-81.4,427,-5.6,1193.8,344,-92.6,90.3,70.2,-96.3,1471.2,315.3,-31.8,-94.1,807.4,20.7,257.6,-95.2,3302.7,157.7,-85.7,576.4,-93.7,-78.5,-30.3,370.8,-52.7,103.2,135.3,-43.6,-81.3,192.7,-47.6,-17.9,99.7,-99.5,39954.9,-98.1,-69.2,1370.6,861.3,-86,1117.3,-97,575,-95.1,7167.2,-95.4,101.8,47.7,-47.4,-63.4,7911,-99.7,104.3,680.6,17,-97,120.7
"38","30","Gross investment \5\","A788RL1",NA,134,-71.6,105.1,160.6,-27.5,-56.5,25.6,107.5,41,29.1,10.4,-16.7,-42.2,288.9,4.7,-9,-34.4,56.9,-2.4,14,3.7,-19.8,-24.1,-10.9,45.9,1.1,52.8,-18.5,6.5,89,-15.9,24.9,-16.9,-15.6,35.6,-7.2,47,9.7,11,-12.7,66.2,-15.5,41,-0.3,28.6,19.2,30.3,6.3,6.1,-10.8,72.2,-8.2,54.2,33.4,-4.1,-11.7,32,75.6,-16.8,-6.3,28.2,16.7,-17.9,-26,1.7,-2.7,1,-1.6,-4.1,31.3,-22.7,9.4,11.9,2.7,0.5,-23.3,16.6,-12,-25.2,5.1,9.8,3.2,-16.7,-26.8,-6.3,-22.9,21.3,-34,15.5,30.8,-35.9,8.3,-0.2,-23.4,0.2,29.9,19.8,-23.9,-34.2,-33.4,18.7,39.2,1.8,-34.3,10.2,67.3,-30.5,-21,47.5,27.3,-4.3,-7.3,1.2,2.3,-9.1,-2.2,22.5,13.6,4.6,2.3,34,18.9,-12.6,-11.2,42.1,26.4,-9.1,69.8
"39","31","  Structures","A808RL1",NA,-11.8,-2,-12.7,-9,8.5,22.4,2.8,-17.4,3.4,-45.2,-16.1,12.3,-1.3,58.1,-5.2,-5.3,-56.8,-17.5,42.8,56.4,2.3,-49.1,-16.5,5.1,147,-32.1,-4.6,-47.1,-11,26.1,-11.4,72.3,-0.8,65.9,-51.6,-10.4,62.1,-51.7,130.3,11.6,-9.5,31.7,54.9,28.6,-0.6,-2.6,9.3,-26.8,7.6,17.4,-0.5,18.2,93.6,8.7,-2.9,3.1,9.4,35.1,-30.9,28.9,13,-0.6,28,-37.9,38.6,-43.9,-4.2,-34,-23.1,7,-17.9,6.8,-1.7,1.5,-51.8,-37.8,-2.9,-31,9,74.2,20.6,-42.9,53.4,-46.6,7.2,42.1,-9.7,5.3,9.1,37.6,-11.1,74.6,-41.1,-15.7,7.1,28.4,106.8,-57.4,-25.4,-20.1,1.6,5.4,-26.1,-22.8,-27.2,69.1,-45,23.4,-1.5,-29.2,-9.3,-22.6,70.5,19.1,-41.2,-8.8,-10.8,-32.2,28.1,-17.8,-0.2,8.5,-4.4,3.3,-8.8,67,13.4,26.3
"40","32","  Equipment and software","A873RL1",NA,214.5,-80.6,178.1,247.8,-34.6,-69.4,35.9,181.9,52.6,57.9,16.4,-21.3,-49.2,380.9,7.2,-10.1,-29.5,72.6,-7.9,8.4,4.1,-13.6,-25.2,-13.3,33.2,8.4,64.4,-13.3,9.2,99.5,-16.4,19.6,-18.9,-24.4,59.6,-6.9,44.9,20.9,1.9,-15.4,79.3,-20,39.3,-3.7,33.2,22.2,33.1,11.1,6,-13.5,83.2,-10.7,50,36.8,-4.2,-13.5,35.2,81.2,-15,-9.8,30.3,19.2,-22.6,-24.2,-2.7,5.1,1.6,3.5,-1.6,34.3,-23.2,9.7,13.5,2.9,7.8,-21.9,18.3,-10.4,-27.3,0.6,8.9,8.9,-21.1,-24.5,-7.4,-27.7,25.3,-37.4,16.3,30,-38.4,1.2,7.6,-24.4,-0.7,30.1,10.4,-16.8,-35.4,-35.3,21.5,45,6.4,-35.7,16.5,67.1,-28.5,-25.4,55.4,36.1,-3.7,-5.5,-4.3,0.5,-4.3,-1.5,26.7,19.4,2.6,4.5,37.5,19.8,-13.3,-12.4,47.6,23.5,-10.9,74.4
"41","33","    Aircraft","B874RL1",NA,22.8,-40,42.8,-17.1,-29.5,-60.1,235.5,-66.3,154.5,-9.7,43.1,113.3,60.2,-1,55.4,-39.9,-17.9,-22.5,42,5.6,7.7,4.1,-14.2,-71.5,179.1,-20.6,329.3,-39.9,-21.3,70.7,82.8,46.8,-37,-32.1,142.8,-8.6,10,46.2,27.5,-39.2,31.9,-20.7,17.9,-33.9,71.8,122.2,1.8,-8.7,-46.7,34.7,104.5,-18.8,114.8,28.5,116.7,-9.2,75.4,114.4,40,-9.8,-15.8,34.4,-30.3,-36.7,0.9,-39.7,38.1,-35.4,-21.5,30.6,69.6,-65,78.8,-15,-30.9,-69.9,75.2,-24.2,-54.9,-26.2,152.8,-30.3,-45,32.9,-13.2,81.5,130.4,-81.1,67.7,157.2,-29.1,-55.8,-23.7,-40.6,58,164.5,-37.7,-64.1,-75.7,-59,-50.9,1404.5,126.6,-92.9,70.8,253.1,5.8,-70.9,62.2,191.9,-66.5,326,-66.3,101.4,-50.3,10.9,7.3,482.9,-17.8,-66.5,176.8,32,10.8,-40.1,-4.2,-24.1,124.2,134.7
"42","34","    Missiles","B875RL1",NA,8,-22.2,-56.9,231.5,18.1,-54.5,-2.6,37.3,102.6,-18.1,17.5,-55.6,-66.4,180.6,-79.4,-6.3,-83.1,4195.6,-74.2,0.4,-67.9,-16.2,-75.8,-3.7,-27.5,371.6,98.3,-13.4,220,231,121.6,44.7,-40.1,31.4,11.6,-28.1,107.8,60,8.6,-0.3,80.6,0.5,57.5,-14.1,2,70.6,205.7,-31,-18.7,-20.5,231.7,-27,-15.9,49.5,24.2,2,109.4,60,-54.5,11.7,116.7,18.4,-27.2,-68.4,186.8,-21.6,27.1,-12.5,45.2,57.4,-43.1,131.5,-15.7,100.3,37.5,-28.6,2.1,-18.3,-28.7,-9.3,93.8,-6.8,-21.4,-54.6,-18.4,-62.9,111.5,-51.2,-39.2,13.1,-57.3,-43.3,346.7,-36,-75,91.2,-7.1,1.6,-34.9,-64.3,-6.6,47.5,4.3,-11.2,-37.2,781.7,-81.8,-17.2,2.1,8.6,45.3,-71.9,29.8,-32.8,1008,-22.2,-6.9,-46.9,19,63.8,-18.7,-40.2,60.6,-35.3,-0.6,44.6,80.4,-71.2
"43","35","    Ships","B876RL1",NA,119.2,-25.5,-63.3,44.6,21.2,-61,-5.8,139.9,95.4,-17.1,16.7,-29.7,14.5,-51.3,-11.9,51.3,-19,78.5,-6.2,61.2,-22.1,52.1,-23.4,15,54.3,-36.3,188,-60.8,9.6,286.7,-79.8,-7.5,18.3,-14.7,33.1,-28,85.6,37.6,13.5,12.5,23.4,-14.5,11.6,27.4,20.6,-18,37.7,-16,8.6,10.8,49.2,-21.3,27,25.1,-15.6,-37,63,6.4,-39.2,-0.5,52.2,-28.6,-11.3,-9.9,-15.7,4.2,80.3,15.2,-34.1,62,-24.4,4.7,22.2,-15.4,96.8,-61.5,22.9,-15.8,-4.8,19.7,-11.3,-17,-23.4,-7.6,-10.9,-31.4,-1.7,-29.2,61.6,1.3,-59.3,103.8,-12.9,-38.5,-20.7,-7.4,13.9,-32.4,-14.5,-41.5,98.4,-15,-34.2,44,-16.1,36.9,27.6,-0.7,-10.9,-9.8,39.7,-49,52.4,-7,10.9,22.2,15,-26.8,32.2,51.1,18.5,16.2,4.3,-10,68.4,-1.4,-25.2,21.3
"44","36","    Vehicles","B877RL1",NA,-64.6,91.8,-18.4,7.2,-48.8,-78.8,87.8,123.7,38.7,-85.2,505,-71.2,-41.4,37,165.4,-70.8,696.5,71.1,-3.5,-39.5,191,-5,-36.9,89.7,-16.2,53.4,92.3,-42.4,-71.1,746,-32.5,-5.7,132.9,-67,-22,-62.6,17.1,-30.3,23.1,9.6,534.6,-27.1,297.9,121.9,30.3,-41.6,117.7,31.9,188.1,-49.1,9.5,-3.9,16.4,-27,-72.3,154.7,97.3,-32,115.3,-24.9,-3.1,-5.1,-14.5,-21.6,-1.7,-0.6,-62.3,20.4,-23.8,117.3,-75,84.6,29.5,23.5,-51.9,-8.6,398.6,-1.6,-92.9,34.2,-31.9,399.7,-34.6,-17.8,-87.9,-64.3,-36.4,-44.6,32.2,-78.9,188.2,50.1,-40.5,69.9,-49.9,172.1,-37.9,-6.4,53.7,0.9,80,8.9,-28.7,-21.6,272.1,-39.6,-33.8,15.4,121.9,-48.5,178,-22.9,54.4,-19.1,-39.5,28.5,53.5,-43.8,108.1,17.3,101.9,120.2,-73.4,431.4,-24.7,-25.1,-47.6,30.5
"45","37","    Electronics and software","B878RL1",NA,-3.3,43.8,14.1,29.7,-19.3,-21.3,75.4,-42.8,69.4,-29,25.7,39.1,3,9,27.4,6.4,10.9,-28,-6.4,41.3,26.6,-11.9,84.3,32.1,15,19.7,-31.2,37.6,20.8,-5.3,42.1,15,32.6,48.5,-9.4,36.3,27.5,-1.1,9.7,19.2,17.7,17.3,27.8,21.2,28.2,15.5,19.9,30.4,39.7,-3.5,73.3,15.7,30.2,42.3,-2.9,10.5,20.4,9.8,13.9,22.4,20.4,1.4,-0.6,12.5,5.9,-6.4,20.4,-12.9,13.8,28.5,-11.1,27.2,-28.9,41.3,-27.4,13.1,19.9,-23.8,-11.6,60.2,-24.3,42.3,-15,11.6,19.1,-26.1,-16.9,14.5,-6,9.3,-24,17,-27.4,32.6,-19.1,10.7,43.2,9.9,-12.8,15.5,2.3,5.5,-6.7,17.9,19.6,-1.7,-2.1,-13.1,95.8,11.8,-16.4,3.5,13.1,-14.3,20.1,-18.1,-2.3,3.9,8.6,-0.4,1.9,18.4,-18.5,12.5,6,36.3,27.1,23.9
"46","38","    Other equipment","B879RL1",NA,98.9,-2640.3,100,90.5,100,70.6,378690.2,302.8,-23.2,63231,29.5,-10.6,-99.9,4790469.1,74.9,28.5,-44.4,39.2,0.8,-0.9,39.9,-51.8,-37.9,25,-14.8,40.5,-53.4,146.5,23.1,10.1,-24.9,13.8,-42.8,-50.4,119.4,27.3,57.8,-5.1,-37.9,-29.2,247,-41.8,44.5,-24.8,30.3,-6.3,-6.6,122.8,39.7,-45.9,69.4,3.9,91.8,76.5,-54,-42.4,-55.1,419.4,-58.6,-39.1,109.9,87.3,-31.5,9,-55.4,187.4,-53.3,97.2,20.9,-1.8,-51,56.2,25.8,-36.8,30.9,112.3,-29,20.8,14.7,-19.9,-29.2,22.6,-3,-49.6,25.7,-36.7,-5.2,12.5,16.3,19.5,-37.3,35.4,25.9,-29.9,58.5,-16.6,62.7,15.9,-31.9,-40.8,44.2,1.6,0.3,-26.4,16.3,42.8,-47.4,-15.3,78.9,45.8,23,-31.3,9.9,-10.3,-32.1,-2.4,79.3,-12.4,-8.8,48.2,33,20.1,-24.4,-26,146.3,66.3,-49.4,184.4
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
