"","Table 6#6D# Wage and Salary Accruals Per Full-Time Equivalent Em","F2","F3","F4","F5","F6","F7","F8"
"39","32","        Petroleum and coal products","N4432C0",60920,59769,62310,64942,66063
"40","33","        Chemical products","N4433C0",55421,57284,60928,61394,62937
"41","34","        Plastics and rubber products","N4434C0",32868,33718,35375,35968,37269
"42","35","    Wholesale trade","N4435C0",44024,46601,48017,50973,51549
"43","36","      Durable goods","N4436C0",45982,49029,50688,53179,53343
"44","37","      Nondurable goods","N4437C0",41132,43015,44071,47733,49003
"45","38","    Retail trade","N4438C0",23945,25013,26307,26027,26687
"46","39","      Motor vehicle and parts dealers","N4439C0",37976,40193,41764,42283,43131
"47","40","      Food and beverage stores","N4440C0",20867,21209,21650,21316,22092
"48","41","      General merchandise stores","N4441C0",17917,18441,19744,19456,20310
"49","42","      Other retail \2\","N4442C0",23867,25117,26683,26314,26726
"50","43","    Transportation and warehousing","N4443C0",36297,37612,39463,39439,40138
"51","44","      Air transportation","N4444C0",46790,48466,50969,55338,57410
"52","45","      Rail transportation","N4445C0",60530,60538,62728,63979,65314
"53","46","      Water transportation","N4446C0",47422,51803,51361,54847,55341
"54","47","      Truck transportation","N4447C0",34533,35341,36736,36203,36945
"55","48","      Transit and ground passenger transportation","N4448C0",21988,22880,23795,23120,23502
"56","49","      Pipeline transportation","N4449C0",71496,77984,96703,99715,81375
"57","50","      Other transportation and support activities \3\","N4450C0",33444,35299,36806,35846,37275
"58","51","      Warehousing and storage","N4451C0",30120,31663,34269,33851,34773
"59","52","    Information","N4452C0",51165,57920,63217,60902,59716
"60","53","      Publishing industries (includes software)","N4453C0",50374,58312,64243,66203,64205
"61","54","      Motion picture and sound recording industries","N4454C0",51596,50418,55355,54776,54871
"62","55","      Broadcasting and telecommunications","N4455C0",54805,61361,63594,57013,57338
"63","56","      Information and data processing services","N4456C0",42531,52583,64837,66977,61984
"64","57","    Finance and insurance","N4457C0",54626,57822,64049,66566,65664
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4458C0",43172,44635,46191,49192,51112
"66","59","      Securities, commodity contracts, and investments","N4459C0",112758,122358,144201,154416,143795
"67","60","      Insurance carriers and related activities","N4460C0",46713,48337,51450,53166,54655
"68","61","      Funds, trusts, and other financial vehicles","N4461C0",51895,62861,73969,69606,71444
"69","62","    Real estate and rental and leasing","N4462C0",32593,33579,36178,36229,37392
"70","63","      Real estate","N4463C0",33445,34993,38005,37678,38590
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4464C0",30854,30768,32683,33277,34740
"72","65","    Professional, scientific, and technical services","N4465C0",49992,53242,58886,61756,61984
"73","66","      Legal services","N4466C0",53013,54863,59470,65109,66556
"74","67","      Computer systems design and related services","N4467C0",55092,64181,76726,78874,78009
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4468C0",47788,49780,53723,56272,56820
"76","69","    Management of companies and enterprises \6\","N4469C0",67858,71330,75984,72238,71744
"77","70","    Administrative and waste management services","N4470C0",26471,27216,25181,26785,27597
"78","71","      Administrative and support services","N4471C0",25976,26603,24524,26114,26880
"79","72","      Waste management and remediation services","N4472C0",37075,40958,40755,41656,43209
"80","73","    Educational services","N4473C0",26628,27579,28974,30081,31166
"81","74","    Health care and social assistance","N4474C0",32732,33520,35127,36009,37399
"82","75","      Ambulatory health care services","N4475C0",42211,43193,45758,47780,49310
"83","76","      Hospitals","N4490C0",36072,37079,38368,38871,40659
"84","77","      Nursing and residential care facilities","N4491C0",20690,21256,22445,23355,24422
"85","78","      Social assistance","N4492C0",19408,20357,21608,21434,22081
"86","79","    Arts, entertainment, and recreation","N4493C0",28345,29682,31259,31098,32079
"87","80","      Performing arts, spectator sports, museums, and related activities","N4494C0",47812,51201,53634,56642,59330
"88","81","      Amusements, gambling, and recreation industries","N4495C0",20884,21458,22710,22078,22540
"89","82","    Accommodation and food services","N4496C0",15588,16065,16830,17951,18375
"90","83","      Accommodation","N4497C0",22261,23316,24763,24451,25010
"91","84","      Food services and drinking places","N4498C0",14011,14337,14942,16299,16751
"92","85","    Other services, except government","N4499C0",23928,24492,25495,26121,27510
"93","86","  Government","A4476C0",37281,38692,40501,42071,43436
"94","87","    Federal","A4477C0",42721,44225,46646,48672,50895
"95","88","      General government","A4478C0",41789,43485,45395,48000,50843
"96","89","        Civilian","B4479C0",47588,49535,51479,54071,56859
"97","90","        Military \7\","B4480C0",34980,36372,38045,40964,43909
"98","91","      Government enterprises","B4481C0",46746,47354,52109,51560,51117
"99","92","    State and local","A4482C0",35702,37122,38773,40290,41433
"100","93","      General government","A4483C0",35547,36950,38577,40072,41232
"101","94","        Education","B4484C0",35308,36578,37956,39275,40704
"102","95","        Other \8\","B4485C0",35819,37380,39309,41022,41849
"103","96","      Government enterprises \8\","B4486C0",38005,39691,41722,43565,44406
"104","97","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA
"106","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA
"107","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA
"108","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA
"109","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA
"110","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA
"111","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA
"112","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA
"113","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA
"114","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA
"115","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA
"116","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA
"117","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA
"118","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA
"119","regional managing offices.",NA,NA,NA,NA,NA,NA,NA
"120","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA
"121","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA
"122","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA
"123","System (NAICS).",NA,NA,NA,NA,NA,NA,NA
