"","Table 1#11# Percentage Shares of Gross Domestic Income          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"20","13","    Net interest and miscellaneous payments, domestic industries","W272RE1",1.9,2,2.2,2.4,2.4,2.6,2.7,2.8,3,2.9,3.4,3.9,4,4,4.2,4.9,5.1,4.7,5,5.1,5.6,6.7,7.4,8.2,8.1,8.3,8.4,8.8,8.4,8.2,8.7,8.4,7.8,6.9,6.3,6,5.8,5.7,5.9,6.4,6.2,6.6,6.8,6.7
"21","14","    Business current transfer payments (net)","B029RE1",0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.9,0.9,0.9
"22","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RE1",10,9.6,9.8,9.5,9.1,9,8.9,8.7,8.4,8.2,7.9,7.6,7.6,7.8,8.3,7.6,7.4,7.3,7.3,7.3,7.2,6.3,5.9,5.4,5.5,6.2,6.2,6.2,6.4,6.7,6.7,6.6,6.4,6.9,7,6.8,6.7,7,7,7.2,7.3,7.3,7.5,7.6
"23","16","    Rental income of persons with capital consumption adjustment","A048RE1",3.2,3.2,3.3,3.2,3.2,3,2.8,2.7,2.6,2.3,2.2,2.1,2,1.9,1.8,1.6,1.5,1.2,1,1,0.9,1.1,1.2,1.2,1.1,1,1,0.8,0.7,0.8,0.8,0.9,1,1.3,1.5,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.6,1.6
"24","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RE1",10.5,9.6,9.5,10.2,10.5,10.9,11.5,11.3,10.5,10.3,9,7.4,8.1,8.3,8.1,6.6,7.4,8.2,8.6,8.5,7.5,6,6.3,5.4,6.6,7.2,7,6.3,6.8,7.3,6.6,6.3,6.3,6.5,7.1,7.6,8.3,8.9,9.2,8,7.8,6.8,6,7.1
"25","18","      Taxes on corporate income","A054RE1",4.7,4.3,4.2,4.1,4.3,4.2,4.3,4.3,4,4.4,4.1,3.4,3.4,3.4,3.6,3.5,3.2,3.6,3.7,3.7,3.6,3.2,2.7,2,2.3,2.5,2.4,2.5,2.8,2.8,2.7,2.5,2.3,2.4,2.6,2.8,3,3,3,2.8,2.8,2.7,2,1.8
"26","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RE1",5.8,5.3,5.3,6,6.2,6.6,7.2,7,6.5,5.9,5,4,4.7,4.9,4.4,3.1,4.2,4.5,4.9,4.8,3.9,2.9,3.6,3.4,4.3,4.7,4.6,3.9,4,4.6,3.9,3.8,4,4.1,4.5,4.8,5.3,5.9,6.2,5.1,5.1,4.1,4,5.3
"27","20","        Net dividends","A449RE1",2.1,2.2,2.1,2.1,2.2,2.3,2.4,2.3,2.2,2.2,2.1,2,1.8,1.8,1.7,1.6,1.6,1.7,1.7,1.7,1.6,1.7,1.9,1.9,2,2,2,2,2,1.9,2.3,2.5,2.6,2.6,2.8,2.8,3,3.3,3.4,3.5,3.2,3.5,3.3,3.4
"28","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RE1",3.7,3.1,3.1,3.9,4,4.4,4.9,4.7,4.3,3.7,2.9,2.1,2.8,3.1,2.7,1.5,2.6,2.9,3.2,3.1,2.3,1.1,1.7,1.5,2.2,2.7,2.5,1.9,2,2.7,1.6,1.3,1.3,1.6,1.7,1.9,2.2,2.5,2.8,1.6,1.9,0.6,0.7,1.9
"29","22","  Current surplus of government enterprises \1\","A108RE1",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0,0
"30","23","Consumption of fixed capital","A262RE1",10.5,10.5,10.5,10.1,10.1,9.8,9.7,9.7,9.8,9.8,10,10.3,10.3,10.3,10.1,10.9,11.6,11.4,11.5,11.6,11.9,12.5,12.5,13.1,12.7,12.1,12.1,12,11.9,11.7,11.8,11.9,12.3,12.1,11.9,12,12,11.9,11.8,11.8,11.8,11.9,12.4,12.2
"31","24","  Private","A024RE1",7.6,7.7,7.6,7.3,7.3,7.1,7,7.1,7.2,7.2,7.4,7.8,7.8,7.9,7.9,8.5,9.1,9,9.2,9.4,9.8,10.2,10.3,10.7,10.4,9.8,9.8,9.8,9.6,9.4,9.6,9.6,9.9,9.7,9.6,9.7,9.8,9.7,9.7,9.7,9.8,10,10.4,10.2
"32","25","  Government","A264RE1",2.9,2.9,2.9,2.8,2.8,2.7,2.6,2.6,2.6,2.6,2.5,2.6,2.5,2.4,2.3,2.4,2.5,2.4,2.3,2.2,2.2,2.3,2.3,2.4,2.3,2.2,2.2,2.3,2.3,2.2,2.2,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.1,2,2,2,2,2
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
