"","Table 5#4#4B# Price Indexes for Private Fixed Investment in Stru","F2","F3","F4","F5","F6","F7","F8","F9"
"27","20","  Mining exploration, shafts, and wells","B318RG3",88.58,100.57,96.78,100,121.86,111.934
"28","21","    Petroleum and natural gas","B319RG3",88.514,101.025,96.834,100,122.646,112.24
"29","22","    Mining","B320RG3",88.604,91.828,95.736,100,104.456,106.279
"30","23","  Other structures","W004RG3",89.559,92.504,95.978,100,104.176,106.419
"31","24","    Religious","C309RG3",88.604,91.828,95.736,100,104.456,106.279
"32","25","    Educational and vocational","W044RG3",88.637,92.282,96.05,100,103.694,107.178
"33","26","    Lodging","W045RG3",88.604,91.828,95.736,100,104.456,106.279
"34","27","    Amusement and recreation","W046RG3",89.115,91.828,95.736,100,104.456,106.279
"35","28","    Transportation","W047RG3",92.691,94.874,96.97,100,103.783,105.938
"36","29","      Air","W048RG3",89.053,91.828,95.736,100,104.456,106.279
"37","30","      Land \3\","W049RG3",93.649,95.715,97.388,100,103.494,105.763
"38","31","    Farm","B316RG3",88.604,91.828,95.736,100,104.456,106.279
"39","32","    Other \4\","W050RG3",91.962,93.354,95.718,100,103.307,105.758
"40","33","    Brokers' commissions on sale of structures","B321RG3",96.147,98.307,98.066,100,104.645,105.756
"41","34","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA
"42","35","Residential","B012RG3",89.642,92.086,95.708,100,104.704,107.231
"43","36","  Permanent site","B943RG3",88.614,91.521,95.57,100,104.776,107.55
"44","37","    Single-family structures","B944RG3",89.091,91.429,95.584,100,105.022,107.706
"45","38","    Multifamily structures","B292RG3",84.966,92.278,95.448,100,102.764,106.26
"46","39","  Other structures","A863RG3",91.151,92.929,95.917,100,104.593,106.747
"47","40","    Manufactured homes","B945RG3",94.379,95.639,98.212,100,101.715,103.281
"48","41","    Dormitories","B295RG3",89.091,91.429,95.584,100,105.022,107.706
"49","42","    Improvements","B946RG3",90.839,92.571,95.906,100,104.037,106.022
"50","43","    Brokers' commissions on sale of structures","B758RG3",90.819,92.882,95.387,100,106.181,108.746
"51","44","    Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA
"53","45","  Private fixed investment in new structures \5\","W040RG3",89.391,92.61,95.969,100,104.948,107.033
"54","46","    Nonresidential structures","A771RG3",89.327,93.433,96.242,100,105.527,106.984
"55","47","    Residential structures","A756RG3",89.467,91.963,95.754,100,104.489,107.011
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA
"58","their own use.",NA,NA,NA,NA,NA,NA,NA,NA
"59","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA
"60","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA
"61","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA
"62","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA
