"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"35","26","Gross private domestic investment","A006RY2",-5.23,-4.32,-5.34,1.15,2.79,4.51,2.53,2.57,-4.24,2.44,4.01,2.93,-6.54,-2.59,0.75,1.16,7.45,-0.57,4,-4.22,5.74,0.05,-1.65,0.7,-0.69,3.45,-0.23,-0.71,-1.25,2.8,0,-0.1,1.81,1,1.25,2.16,1.44,-0.76,0.9,0.9,-1.04,1.67,1.87,1.96,-1.31,-2.98,2.84,2.43,2.16,0.61,-2.12,1.55,-2.55,1.45,4.63,-0.17,-0.12,0.51,0.39,0.64,-0.53,-1.2,1.07,1.21,1.94,0.48,1.35,1.95,1.65,1.5,1.19,-1.24,-0.22,0.55,1.55,0.92,0.46,-0.65,-1.18,-3.49
"36","27","  Fixed investment","A007RY2",-3.37,-3.75,-3.85,-0.72,1.63,1.91,2.52,1.58,-2.2,1.78,2.01,1.58,-4.76,-1.19,0.79,1.47,4.61,2.37,1.5,-1.37,2.9,-0.7,-0.28,0.98,0.22,1.91,0.06,-0.17,-1.07,1.94,0.13,-0.04,1.24,1.08,1.37,1.5,0.87,-0.28,0.99,0.9,-0.31,1.1,1.81,1.47,-1.04,-1.71,1.42,2.18,2.04,1.02,-1.21,0.39,-1.21,1.17,2.68,0.89,0.2,0.09,0.53,0.47,-0.32,-0.94,0.79,1.14,1.3,0.94,1.33,1.41,1.7,1.52,1.24,-0.32,-0.7,0.49,1.13,1.05,0.39,-0.35,-0.81,-2.75
"37","28","    Nonresidential","A008RY2",-1.86,-3.33,-2.79,-0.48,1.22,1.35,2.04,1.39,-2.22,0.74,1.58,1.36,-3.18,-0.63,0.9,1.36,2.24,1.31,0.51,-0.93,0.86,0.44,-0.18,0.8,-0.2,1.01,0.55,0.16,-1.12,0.73,0.52,-0.06,0.78,0.5,1.07,1.65,1.29,-0.15,0.46,0.78,-0.06,0,0.93,1.5,0.09,-1.14,0.52,1.19,1.69,1.23,-0.03,0.74,-0.5,-0.17,2.05,0.82,-0.36,-0.01,0.58,0.61,0.05,-0.57,0.31,0.83,0.91,1.08,1.01,1.33,1.38,1.24,1.2,-0.35,-0.94,0.1,0.61,0.69,0.84,0.7,0.19,-2.09
"38","29","      Structures","A009RY2",-0.76,-1.76,-1.32,-0.54,0.24,0.21,0.61,0.63,-0.59,0.14,0.33,0.48,-0.99,-0.38,0.28,0.38,1.44,-0.32,0.18,-0.12,0.25,0.27,-0.01,0.3,0.12,0.26,0.39,0,-0.22,0.09,0.28,0.05,0.16,0.04,0.36,0.57,0.27,-0.1,0.05,0.2,0.01,-0.06,0.12,0.31,-0.09,-0.43,0.09,0.15,0.54,0.53,0.27,0.4,-0.09,-0.57,0.6,0.32,-0.5,-0.11,0.02,0.07,0.05,-0.39,-0.18,-0.02,0.05,0.17,0.16,0.21,0.16,0,0.24,-0.05,-0.58,-0.1,0.03,0.04,0.27,0.49,0.39,-0.83
"39","30","      Equipment and software","A010RY2",-1.1,-1.57,-1.48,0.06,0.97,1.14,1.43,0.76,-1.62,0.61,1.26,0.88,-2.2,-0.25,0.62,0.98,0.8,1.63,0.33,-0.81,0.62,0.18,-0.17,0.5,-0.32,0.75,0.16,0.16,-0.9,0.64,0.24,-0.11,0.61,0.46,0.71,1.07,1.02,-0.05,0.41,0.58,-0.07,0.07,0.81,1.19,0.18,-0.7,0.43,1.04,1.15,0.71,-0.3,0.34,-0.42,0.41,1.45,0.5,0.15,0.1,0.55,0.54,0,-0.18,0.5,0.85,0.86,0.91,0.85,1.12,1.22,1.24,0.96,-0.3,-0.36,0.2,0.58,0.65,0.58,0.2,-0.2,-1.27
"40","31","        Information processing equipment and software","A679RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.02,-0.07,0.07,0.06,0.09,0.07,-0.07,0.09,0.11,0.1,-0.09,0.07,0.18,0.09,0.11,0.18,0.15,0.2,0.37,0.1,0.09,0.28,0.19,0.1,0.22,0.27,0.24,-0.01,0.23,0.37,0.54,0.43,0.37,0.38,0.19,0.43,0.74,0.34,0.25,0.19,0.33,0.41,0.16,0.15,0.46,0.4,0.4,0.56,0.67,0.83,0.86,0.9,0.78,-0.02,-0.12,0.26,0.35,0.27,0.31,0.29,0.22,-0.23
"41","32","          Computers and peripheral equipment","B935RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.03,0.04,0.11,0.06,0.07,0.15,0.07,0.04,0.08,0.06,0.08,0.12,0.02,0.08,0,0.09,0.11,0.23,0.18,0.2,0.23,0.12,0.27,0.38,0.19,0.11,0.18,0.1,0.15,-0.01,0.05,0.21,0.18,0.16,0.34,0.35,0.37,0.39,0.37,0.21,0.02,0.04,0.06,0.08,0.07,0.13,0.11,0.05,-0.04
"42","33","          Software \4\","B985RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0.01,0.04,0.02,0.02,0.05,0.02,0.02,0.05,0.05,0.01,0.04,0.03,0.04,0.04,0.02,0.01,0.05,0.07,0.06,0.06,0.06,0.08,0.12,0.1,0.07,0.08,0.12,0.19,0.13,0.11,0.15,0.11,0.09,0.1,0.17,0.31,0.26,0.33,0.23,0.01,0,0.12,0.17,0.11,0.07,0.11,0.11,-0.13
"43","34","          Other","A937RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.02,-0.07,0.07,0.06,0.09,0.07,-0.07,0.09,0.11,0.1,-0.09,0.07,0.12,0.05,0.06,0.03,0.08,0.12,0.16,0,0.03,0.15,0.08,0.01,0.06,0.22,0.12,-0.05,0.12,0.25,0.26,0.18,0.12,0.09,0.01,0.09,0.23,0.06,0.07,-0.07,0.11,0.07,0.04,-0.01,0.09,0.12,0.15,0.12,0.15,0.14,0.21,0.19,0.35,-0.06,-0.15,0.08,0.11,0.09,0.1,0.08,0.06,-0.06
"44","35","        Industrial equipment","A680RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,-0.14,-0.4,0.22,0.19,0.07,0.17,0.05,-0.01,0.19,0.03,-0.35,0.03,0.13,-0.09,0.08,0.13,0.21,0.31,0.29,0.01,-0.04,0.13,0.03,-0.16,0.13,0.31,0.14,-0.33,0.01,0.11,0.22,0.15,-0.1,-0.03,-0.18,-0.15,0.24,0.08,-0.01,-0.04,0.08,0.11,-0.1,-0.1,0.03,0.12,0.14,0.16,0.06,0.04,0.07,0.01,0.14,-0.12,-0.1,0,-0.04,0.1,0.1,0.06,-0.05,-0.31
"45","36","        Transportation equipment","A681RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,0.08,-0.01,0.23,-0.09,-0.35,0.3,-0.22,0.42,-0.19,0.12,-0.48,0.43,0.05,-0.09,0.34,-0.05,0.2,0.4,0.18,-0.06,0.34,0.08,-0.34,0.13,0.26,0.35,-0.18,-0.24,0.17,0.36,0.21,0.09,-0.39,-0.05,-0.18,0.18,0.29,0.06,-0.06,-0.08,0.08,-0.14,-0.01,-0.03,0.02,0.22,0.23,0.12,0.06,0.13,0.15,0.29,-0.04,-0.15,-0.14,-0.12,0.19,0.16,0.12,-0.14,-0.35,-0.45
"46","37","        Other equipment","A862RY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.37,-0.32,0.1,0.01,0.02,-0.04,-0.09,0.24,0.05,-0.09,0.02,0.11,-0.12,-0.01,0.09,0.21,0.15,0.16,0.19,-0.09,0.02,0.1,0.06,0,0.19,0.25,-0.02,-0.13,0.01,0.21,0.18,0.04,-0.19,0.05,-0.24,-0.06,0.19,0.01,-0.03,0.04,0.06,0.16,-0.06,-0.2,-0.01,0.11,0.1,0.07,0.05,0.12,0.14,0.04,0.08,-0.01,-0.01,0.06,0.08,0.12,0.05,-0.01,-0.03,-0.27
"47","38","    Residential","A011RY2",-1.51,-0.42,-1.05,-0.24,0.41,0.56,0.48,0.19,0.01,1.04,0.43,0.22,-1.58,-0.56,-0.1,0.11,2.37,1.06,0.98,-0.44,2.03,-1.14,-0.1,0.18,0.42,0.9,-0.49,-0.32,0.05,1.21,-0.39,0.01,0.46,0.58,0.3,-0.15,-0.43,-0.13,0.53,0.13,-0.26,1.1,0.89,-0.04,-1.13,-0.57,0.9,0.99,0.35,-0.21,-1.17,-0.35,-0.71,1.33,0.64,0.07,0.55,0.1,-0.05,-0.14,-0.37,-0.37,0.47,0.31,0.39,-0.14,0.33,0.08,0.32,0.28,0.05,0.03,0.24,0.4,0.52,0.36,-0.45,-1.05,-1,-0.65
"48","39","  Change in private inventories","A014RY2",-1.86,-0.57,-1.49,1.86,1.16,2.61,0.01,1,-2.04,0.66,2,1.36,-1.78,-1.39,-0.05,-0.3,2.84,-2.94,2.51,-2.85,2.84,0.75,-1.37,-0.28,-0.91,1.54,-0.29,-0.54,-0.18,0.86,-0.13,-0.05,0.57,-0.08,-0.13,0.66,0.58,-0.49,-0.1,0,-0.73,0.58,0.06,0.5,-0.27,-1.27,1.41,0.25,0.12,-0.41,-0.91,1.16,-1.34,0.29,1.95,-1.06,-0.32,0.42,-0.14,0.17,-0.21,-0.26,0.29,0.07,0.63,-0.46,0.02,0.54,-0.05,-0.02,-0.05,-0.92,0.48,0.06,0.42,-0.13,0.07,-0.3,-0.37,-0.74
"49","40","    Farm","B018RY2",-0.15,0.95,-0.31,-0.31,-0.91,2.35,-2.18,2.13,-0.07,-0.64,0.66,-0.16,0.51,-0.93,-0.03,-0.23,0.32,-0.6,1.81,-1.12,0.22,0.33,0.16,-0.08,-0.13,-0.18,-0.1,0.25,0.41,-0.74,0.42,0.06,-0.06,-0.01,-0.26,0.31,-0.19,0.18,0.07,-0.14,-0.08,0.23,-0.12,0.09,-0.23,0.41,-0.23,0.31,-0.13,0.1,-0.35,0.51,-0.05,-0.61,0.59,0.04,-0.15,-0.11,-0.05,0.24,0.05,-0.06,0.13,-0.19,0.27,-0.32,0.27,-0.05,-0.02,-0.05,0.01,0.02,-0.02,0.03,0.07,-0.07,-0.03,0.03,-0.04,0.04
"50","41","    Nonfarm","A015RY2",-1.71,-1.52,-1.18,2.18,2.06,0.26,2.19,-1.13,-1.97,1.3,1.34,1.51,-2.29,-0.47,-0.02,-0.08,2.52,-2.33,0.7,-1.73,2.63,0.43,-1.53,-0.2,-0.78,1.72,-0.19,-0.79,-0.59,1.6,-0.55,-0.11,0.63,-0.07,0.14,0.35,0.77,-0.66,-0.17,0.14,-0.65,0.34,0.18,0.4,-0.03,-1.69,1.64,-0.06,0.25,-0.51,-0.56,0.65,-1.29,0.9,1.36,-1.1,-0.16,0.53,-0.09,-0.06,-0.26,-0.2,0.16,0.27,0.36,-0.14,-0.26,0.59,-0.03,0.03,-0.07,-0.93,0.5,0.03,0.35,-0.06,0.1,-0.33,-0.33,-0.77
"51","42","Net exports of goods and services","A019RY2",-0.31,-0.22,-0.2,-0.11,0.33,-0.84,0.24,0.46,0.89,0.07,0.53,-0.65,-1.21,-1.18,0.01,0.68,3.82,1.08,-2.18,0.08,-1.31,0.81,-0.59,-0.7,0.4,-0.04,0.37,0.25,-0.89,0,0.72,0.06,-0.21,0.24,0.36,-0.3,-0.29,-0.22,-0.3,-0.04,0.34,-0.19,-0.21,0.82,0.75,0.89,-1.08,-0.72,0.05,0.66,1.68,-0.15,-0.6,-1.35,-1.58,-0.42,-0.3,0.16,0.82,0.52,0.43,0.64,-0.05,-0.57,-0.43,0.11,-0.15,-0.32,-1.18,-0.99,-0.85,-0.2,-0.65,-0.45,-0.66,-0.27,-0.05,0.63,1.2,1.08
"52","43","  Exports","A020RY2",-0.97,-0.77,-0.81,0.02,0.41,0.21,0.19,0.95,-0.05,0.25,0.61,0.12,-1.54,-0.43,0.16,0.88,3.25,0.91,-1.63,-0.05,-0.66,0.98,-0.22,-0.31,0.19,0.44,0.71,0.43,-0.69,0.45,0.78,0.03,0.25,0.35,0.59,0.15,0.36,0.12,0.41,0.25,0.56,0.1,0.42,1.12,0.58,-0.05,0.37,0.2,0.82,0.82,0.97,0.12,-0.73,-0.22,0.63,0.23,0.54,0.77,1.24,0.99,0.81,0.63,0.68,0.32,0.85,1.03,0.9,1.3,0.26,0.47,0.91,-0.61,-0.2,0.15,0.89,0.67,0.93,0.96,0.64,-1.21
"53","44","    Goods","A253RY2",-0.89,-0.69,-0.72,-0.01,0.33,0.17,0.17,0.8,0.06,0.21,0.56,0.1,-1.45,-0.47,0.11,0.8,2.87,0.82,-1.5,-0.03,-0.61,0.79,-0.21,-0.25,0.18,0.36,0.6,0.32,-0.63,-0.02,0.76,0.02,0.17,0.29,0.52,0.02,0.27,0.02,0.3,0.2,0.44,-0.02,0.43,1.01,0.46,-0.16,0.31,0.08,0.68,0.77,0.86,-0.09,-0.67,-0.19,0.46,0.2,0.26,0.56,1.04,0.75,0.56,0.46,0.52,0.23,0.67,0.85,0.68,1.11,0.18,0.29,0.82,-0.48,-0.25,0.12,0.55,0.52,0.68,0.57,0.48,-1.04
"54","45","    Services","A646RY2",-0.08,-0.08,-0.09,0.03,0.08,0.05,0.02,0.14,-0.1,0.04,0.06,0.02,-0.09,0.03,0.04,0.07,0.38,0.09,-0.13,-0.02,-0.05,0.19,0,-0.05,0.01,0.09,0.1,0.11,-0.06,0.48,0.02,0.01,0.08,0.06,0.07,0.13,0.09,0.1,0.1,0.05,0.12,0.11,-0.01,0.11,0.12,0.1,0.05,0.11,0.15,0.06,0.11,0.21,-0.06,-0.03,0.17,0.02,0.28,0.21,0.2,0.24,0.26,0.16,0.16,0.1,0.19,0.19,0.22,0.19,0.08,0.18,0.08,-0.13,0.05,0.03,0.34,0.15,0.25,0.39,0.16,-0.16
"55","46","  Imports","A021RY2",0.66,0.55,0.62,-0.14,-0.08,-1.05,0.05,-0.49,0.94,-0.17,-0.08,-0.77,0.33,-0.75,-0.15,-0.2,0.57,0.17,-0.55,0.13,-0.65,-0.17,-0.37,-0.39,0.21,-0.48,-0.33,-0.18,-0.2,-0.45,-0.06,0.03,-0.47,-0.12,-0.23,-0.45,-0.65,-0.34,-0.71,-0.29,-0.22,-0.29,-0.63,-0.29,0.18,0.94,-1.45,-0.92,-0.78,-0.16,0.71,-0.27,0.12,-1.13,-2.21,-0.65,-0.84,-0.61,-0.43,-0.48,-0.38,0.02,-0.72,-0.9,-1.28,-0.92,-1.04,-1.62,-1.43,-1.45,-1.76,0.41,-0.46,-0.6,-1.55,-0.94,-0.98,-0.33,0.56,2.28
"56","47","    Goods","A255RY2",0.63,0.4,0.5,-0.28,-0.06,-1,0.13,-0.37,0.79,-0.23,-0.13,-0.48,0.85,-0.27,-0.07,0.01,-0.27,0.1,-0.37,0.11,-0.59,0.07,-0.06,-0.17,0.22,-0.31,-0.25,-0.08,-0.08,-0.48,0.05,0,-0.4,-0.12,-0.19,-0.41,-0.49,-0.17,-0.68,-0.2,-0.15,-0.33,-0.57,-0.34,0.17,0.87,-1.35,-0.84,-0.67,-0.14,0.67,-0.18,0.2,-1.01,-1.83,-0.52,-0.82,-0.39,-0.36,-0.38,-0.26,-0.04,-0.78,-0.85,-1.18,-0.86,-0.94,-1.44,-1.21,-1.31,-1.52,0.39,-0.42,-0.55,-1.29,-0.87,-0.8,-0.24,0.58,2.18
"57","48","    Services","A656RY2",0.03,0.15,0.12,0.15,-0.01,-0.05,-0.08,-0.12,0.15,0.06,0.05,-0.29,-0.52,-0.48,-0.08,-0.2,0.84,0.07,-0.19,0.02,-0.06,-0.23,-0.31,-0.22,-0.01,-0.17,-0.09,-0.1,-0.12,0.03,-0.11,0.02,-0.07,0,-0.04,-0.04,-0.16,-0.16,-0.03,-0.09,-0.07,0.04,-0.06,0.05,0,0.07,-0.1,-0.07,-0.11,-0.02,0.04,-0.09,-0.08,-0.13,-0.39,-0.13,-0.02,-0.22,-0.07,-0.09,-0.13,0.05,0.06,-0.05,-0.1,-0.06,-0.1,-0.17,-0.22,-0.14,-0.24,0.02,-0.04,-0.04,-0.26,-0.07,-0.18,-0.09,-0.02,0.1
"58","49","Government consumption expenditures and gross investment","A822RY2",0.93,0.47,-0.43,-0.5,1.98,0.44,2.5,-0.66,1.09,1.41,0.45,9.8,27.74,18.58,5.87,-6.04,-28.69,-2.65,1.08,1.83,0.02,5.84,4.12,1.67,-1.64,-0.84,0.02,0.94,0.7,0.76,0.04,1.07,1.36,0.58,0.49,0.65,1.87,1.68,0.73,-0.05,-0.55,-0.5,-0.16,-0.08,0.52,0.48,0.1,0.23,0.6,0.37,0.38,0.19,0.35,0.76,0.7,1.41,1.27,0.51,0.26,0.55,0.64,0.22,0.1,-0.16,0,0.11,0.19,0.34,0.38,0.63,0.36,0.67,0.84,0.42,0.26,0.06,0.26,0.32,0.59,0.38
"59","50","  Federal","A823RY2",0.18,0.07,0.06,0.75,1.39,0.09,2.44,-0.66,0.59,0.48,0.76,10.34,28.37,19.07,6.02,-6.17,-29.08,-3.32,0.71,0.9,-0.56,5.78,4,1.33,-2.24,-1.39,-0.23,0.46,-0.01,0.42,-0.35,0.51,1.07,0.01,-0.17,-0.01,1.24,1.17,0.1,-0.42,-0.86,-0.85,-0.42,-0.41,0.08,0.03,0,0.19,0.22,0.2,0.39,0.42,0.35,0.63,0.3,0.74,0.55,0.35,-0.16,0.14,0.18,-0.02,-0.16,-0.33,-0.3,-0.2,-0.08,-0.07,-0.07,0.12,0.03,0.24,0.44,0.43,0.28,0.09,0.15,0.09,0.53,0.39
"60","51","    National defense","A824RY2",0.06,0,0,-0.05,-0.18,0.28,0.27,0.01,0.06,0.16,1.17,10.76,28.93,19.45,5.86,-5.9,-29.51,-3.61,0.06,0.35,-0.1,6.11,3.79,0.93,-2.13,-1.27,-0.09,0.48,-0.06,-0.23,-0.17,0.45,0.63,-0.25,-0.39,-0.19,1.21,1.19,0.16,-0.49,-0.83,-0.97,-0.6,-0.39,-0.05,-0.06,-0.02,0.07,0.05,0.17,0.25,0.38,0.48,0.5,0.35,0.6,0.47,0.35,-0.03,-0.03,0,-0.07,-0.32,-0.31,-0.27,-0.19,-0.06,-0.13,-0.09,0.07,-0.02,0.14,0.28,0.36,0.26,0.07,0.07,0.1,0.37,0.28
"61","52","      Consumption expenditures","A997RY2",0.04,-0.03,0.02,-0.09,-0.2,0.3,0.06,-0.03,0.07,0.15,0.67,5,14.41,12.72,5.52,-1.17,-20.07,-3.29,-0.3,0,0.14,4.03,2.58,0.49,-1.42,-0.65,0.02,0.61,-0.21,-0.7,0.1,0.19,0.54,0.09,-0.21,0.03,1,1,0.36,-0.33,-0.73,-0.58,-0.43,-0.47,-0.19,-0.14,-0.1,0.05,0.06,0.06,0.19,0.29,0.36,0.31,0.18,0.36,0.27,0.22,0.07,-0.04,-0.04,-0.01,-0.28,-0.2,-0.21,-0.15,-0.06,-0.06,-0.1,0.05,-0.03,0.12,0.22,0.31,0.21,0.04,0.03,0.07,0.27,0.22
"62","53","      Gross investment","A788RY2",0.03,0.04,-0.01,0.04,0.02,-0.02,0.21,0.04,-0.01,0.01,0.5,5.76,14.52,6.73,0.34,-4.73,-9.44,-0.32,0.37,0.34,-0.24,2.08,1.21,0.44,-0.72,-0.61,-0.11,-0.13,0.15,0.47,-0.27,0.26,0.09,-0.34,-0.19,-0.22,0.22,0.19,-0.2,-0.15,-0.1,-0.39,-0.18,0.08,0.14,0.08,0.07,0.02,0,0.11,0.06,0.09,0.12,0.19,0.17,0.25,0.2,0.13,-0.1,0.01,0.03,-0.07,-0.04,-0.12,-0.06,-0.03,-0.01,-0.07,0.01,0.02,0.01,0.02,0.06,0.05,0.05,0.03,0.04,0.04,0.1,0.06
"63","54","    Nondefense","A825RY2",0.11,0.07,0.05,0.8,1.57,-0.19,2.17,-0.67,0.53,0.32,-0.41,-0.42,-0.56,-0.39,0.16,-0.27,0.43,0.29,0.64,0.55,-0.47,-0.33,0.21,0.4,-0.11,-0.12,-0.15,-0.01,0.05,0.66,-0.18,0.06,0.44,0.26,0.23,0.19,0.03,-0.02,-0.06,0.06,-0.03,0.12,0.18,-0.02,0.13,0.09,0.03,0.12,0.16,0.03,0.14,0.04,-0.13,0.13,-0.05,0.14,0.08,0,-0.12,0.17,0.18,0.05,0.16,-0.02,-0.04,-0.01,-0.02,0.06,0.02,0.04,0.05,0.09,0.15,0.07,0.02,0.02,0.07,-0.01,0.16,0.11
"64","55","      Consumption expenditures","A542RY2",0.06,-0.02,-0.1,0.51,1.22,-0.6,2.36,-0.56,0.52,0.43,-0.4,-0.87,-0.24,-0.34,0.35,-0.35,0.54,0.12,0.57,0.41,-0.54,-0.27,0.22,0.45,-0.07,-0.03,-0.21,-0.05,0,0.65,-0.24,-0.02,0.36,0.17,0.14,0.1,0.01,0.09,0,0.1,-0.01,0.1,0.17,-0.03,0.12,0.08,0,0.1,0.09,0.04,0.11,0.04,-0.1,0.08,-0.08,0.11,0.07,-0.04,-0.1,0.15,0.15,0.02,0.12,-0.03,0.02,-0.03,-0.05,0.06,-0.02,0.01,0.08,0.1,0.13,0.06,0.03,0.01,0.05,-0.02,0.14,0.1
"65","56","      Gross investment","A798RY2",0.05,0.08,0.15,0.28,0.35,0.41,-0.19,-0.1,0.01,-0.12,0,0.45,-0.32,-0.05,-0.19,0.08,-0.11,0.16,0.07,0.13,0.07,-0.06,-0.01,-0.05,-0.03,-0.09,0.06,0.03,0.05,0,0.06,0.08,0.07,0.09,0.08,0.09,0.02,-0.12,-0.06,-0.04,-0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.07,-0.01,0.03,0,-0.03,0.05,0.03,0.03,0.01,0.04,-0.03,0.02,0.03,0.03,0.04,0.01,-0.05,0.02,0.03,0,0.03,0.03,-0.03,0,0.03,0,0,0.01,0.02,0,0.02,0.01
"66","57","  State and local","A829RY2",0.75,0.4,-0.49,-1.25,0.59,0.35,0.06,0,0.5,0.93,-0.31,-0.54,-0.63,-0.49,-0.15,0.13,0.39,0.67,0.37,0.93,0.58,0.06,0.11,0.34,0.6,0.55,0.25,0.47,0.7,0.34,0.39,0.56,0.29,0.57,0.65,0.66,0.63,0.51,0.63,0.37,0.31,0.36,0.26,0.33,0.44,0.45,0.09,0.04,0.38,0.17,-0.01,-0.23,0.01,0.13,0.4,0.67,0.71,0.17,0.42,0.41,0.46,0.24,0.26,0.17,0.3,0.3,0.27,0.41,0.45,0.51,0.33,0.43,0.4,-0.01,-0.02,-0.03,0.11,0.23,0.06,-0.01
"67","58","    Consumption expenditures","A991RY2",0.32,0.35,0.11,-0.14,0.22,0.5,-1.47,0.46,0.03,0.37,0.34,0.2,0.12,-0.04,-0.07,0.08,0.11,0.28,0.05,0.41,0.32,-0.02,0.07,0.16,0.21,0.34,0.19,0.29,0.44,0.26,0.35,0.35,0.19,0.33,0.45,0.45,0.43,0.33,0.49,0.49,0.49,0.44,0.35,0.32,0.42,0.47,0.14,0.19,0.19,0.06,-0.02,-0.04,0.13,0.11,0.17,0.46,0.58,0.11,0.31,0.3,0.3,0.19,0.23,0.19,0.24,0.22,0.17,0.25,0.38,0.34,0.21,0.32,0.32,-0.03,0,0.04,0.07,0.17,0.07,-0.02
"68","59","    Gross investment","A799RY2",0.43,0.05,-0.6,-1.11,0.36,-0.15,1.53,-0.47,0.47,0.56,-0.66,-0.74,-0.75,-0.45,-0.08,0.05,0.28,0.39,0.32,0.52,0.26,0.07,0.05,0.18,0.4,0.21,0.06,0.19,0.26,0.08,0.04,0.21,0.1,0.24,0.2,0.2,0.19,0.18,0.14,-0.13,-0.18,-0.08,-0.09,0.01,0.02,-0.02,-0.05,-0.14,0.19,0.11,0.01,-0.2,-0.13,0.03,0.23,0.21,0.14,0.05,0.11,0.11,0.16,0.05,0.03,-0.02,0.06,0.09,0.09,0.16,0.06,0.17,0.12,0.11,0.08,0.02,-0.02,-0.07,0.04,0.06,-0.01,0.01
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
