"","Table 7#2#1A# Percent Change From Preceding Period in Real Auto ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"11","3","  Personal consumption expenditures","A135RL1",NA,33,-27.7,86.6,44,-31,33.1,39.9,23.9,156.8,16.6,0.2,35.8,17.5,120.7,-23,-16,-49.7,-33.4,-32.4,4.5,24.9,-64,507.5,44.6,-6.3,-0.3,-26.8,-26.2,62.2,-14.8,47.5,105.2,46.7,11.9,-29.6,-40.6,-18.1,-13.1,35.9,30.7,-16.3,-18.2,7.2,-54.2,-10.9,-3.5,30.8,58,29.8,14.8,-44,56,16.8,9.7,-23.2,-48,12.3,12.6,47.9,18.5,17.5,-8.5,41.5,15.9,12.2,-0.6,7.2,10.5,3.4,22.4,-34.6,137,-9.8,15.2,1.7,29.5,-38.3,12,-2.9
"12","4","    New autos","B136RL1",NA,46.8,-36.1,73,45.5,-33.4,20.4,29.3,32.4,170.9,24.7,6.1,41.9,17.6,106.1,-28.7,-14.4,-53.4,-35.8,-37,0,23.7,-69.1,656.1,47.4,1.8,7.6,-22.7,-27.5,49,-14.5,42.6,116.1,57.9,18.3,-36.3,-42.5,-21.8,-24.7,48.4,29,-18.7,-15.7,6.1,-62.4,-20.6,-1.5,36.3,125.5,21.4,27.6,-57.3,122.7,-1.2,15.5,-29.4,-56.6,34.2,15.3,66.3,17.6,23.9,-17.1,73.6,10,16.6,-11.1,24.6,5.1,8.5,28.9,-42.8,190.3,-17.8,10,9.4,31.9,-42.8,21.8,-5.4
"13","5","    Net purchases of used autos","B137RL1",NA,-24.4,43.5,169.7,36.4,-18.7,104.3,96.9,-2.3,104.9,-19,-32.6,-5,15.1,263.1,25.9,-28,-20.6,-11.1,11.3,50.2,32.3,-37.5,20.8,-33.2,-17.3,14.7,-25.6,180.6,-110.8,370.1,2322.2,-59.1,-84.4,-81.3,6.5,96.7,99.4,173.8,-11,16.2,-14.1,-33.7,13.6,9.6,39.1,-4.6,18.3,-69.3,89.3,-32.7,95.4,-73.5,202.3,-18.3,18.1,11.3,-47.7,0.4,-16.1,25.2,-9.5,48,-50.4,56.2,-9.4,76.3,-50.5,45.6,-19.8,-9,32.6,-22.6,57.1,47.4,-30.7,16.6,-8.9,-28,11.5
"14","6","  Private fixed investment","B280RL1",NA,43.5,-35.4,75.7,23.4,-43.5,5.5,14.8,7,121.8,6.3,1.5,36.6,14.5,111.6,-28.8,-23.9,-57.4,-40.7,-41.7,-12.7,13.5,-66.8,679.3,68.8,48.9,38.4,-14.2,-32.7,-35.7,87.7,29.8,83.8,29.7,-2.3,-42.6,-51,-31.6,-27,51,27.8,1.7,6.3,30.1,-74.2,-28.1,-6.8,82.8,109.4,35.2,61.1,-53.2,130.6,-33.2,1.6,-39.3,-11.3,27.1,15.6,39.2,33,5.5,21.5,18.2,-20.8,-27.7,-8.3,43.2,3.7,5.4,38.8,-46.4,317.5,-24,-11.4,6.5,24.7,-38.8,-6.1,29.5
"15","7","    New autos","B139RL1",NA,44.8,-34.6,86.6,34,-40.9,8.5,15,10.8,123.2,8.2,1,31.2,11.5,120.3,-22.1,-8.9,-50.5,-32.6,-35,1,17.6,-70.9,556.9,22.9,12.3,20.8,-15.6,-20.3,-25.6,89.1,33.9,60.4,25.2,4.8,-38,-40.2,-19.5,-17.7,53.3,19.9,-8.8,-7.8,13,-63.6,-20.1,-4.2,44.6,79.8,27.9,30.4,-56.3,132.2,-23.4,1,-28.7,-16.3,40.6,5.1,34.2,25.2,7.7,14.4,18.8,-11.5,-21.1,-14,46.1,-3.8,8.7,29.1,-48.1,282.3,-20.4,-11.3,17.3,28.9,-32.4,-7.6,55.9
"16","8","    Net purchases of used autos","B140RL1",NA,75.7,-13.6,469.3,268.3,-14.1,29.8,14.9,37,132.9,19,-1.5,5.7,-4.4,175.2,23.2,98,-15.7,-0.9,-13.1,45.6,28.5,-78.9,329.7,-48.3,-53.7,-24.6,-21.2,44.6,30.3,93.7,52,-10.5,4.6,49.6,-10.6,42.8,52,25.7,58.4,-6.5,-39,-45.2,-32.3,20.3,8.4,3.5,-18.9,13.4,4.8,-40.4,-67.7,138.9,34.6,-2.1,33,-33.4,98.1,-23.3,18.5,1.5,15.8,-7.1,21.1,27.7,2.9,-28.8,54.6,-22.9,19,3.1,-53.4,185,-6.8,-10.9,60.7,42.3,-10.3,-11.8,149.4
"17","9","  Net exports","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","    Exports","B142RL1",NA,81.6,-21,-11.5,-37.3,-49.5,-17,19.4,-39.6,-48.3,24.3,-41.3,-47.7,38.2,135.8,191.1,87.8,24.5,8.7,-67.3,-5.6,11.8,-39.2,65.7,32.6,0.4,40,-39.4,-2,37.2,-34.6,31.7,124.3,-3.8,48.3,-37.9,58.9,-47,-47.2,107.5,-45.3,13.4,-21.3,19.9,-27.9,-25.7,-22,-26.2,-8.2,-6.5,3.4,-70.6,427.1,-38.4,-40.8,102.7,-14.4,-24.3,23,7.4,21,51.3,5.9,-21,-65.2,409.7,-28.2,222.9,-22.8,0,21.2,-31.8,120.7,-14.7,-49,387.5,-7.7,-38.9,433.2,136.7
"19","11","    Imports","B143RL1",NA,0,0,0,345382.7,406.3,147,31.7,-98,-98.8,436.2,0,689.4,95.1,399.8,214,-51.8,0,0,-34,60.4,274.8,173,51.9,0,-47.4,-65.7,-64.4,274.8,69.9,25.1,0,185,-44.6,257.2,73.6,0.8,216.7,106.9,145.7,131.4,138.6,152.6,84.3,8.3,4.2,263.6,12.4,70.3,65.6,37.3,-30.2,9.4,-57.7,-74.9,-53.5,-56.6,-10.7,99.3,88,22.9,-14.6,63.2,14.2,-28.4,19.7,44.4,-17.8,42.3,77.2,5.5,22.8,-70,258.5,-12.1,281.5,127.7,-23.5,67.3,199.9
"20","12","  Gross government investment","B144RL1",NA,49,-38.1,-14.3,-17.9,56,-48.4,11.8,-26.2,71.2,-59.1,60.7,115.7,23.9,-46.9,121.5,69.1,7.2,-17.3,54.9,0.4,-16,-9.1,-12.2,44.5,2.4,-0.3,-22.3,26.4,-33,9.6,34,31.7,34.9,6.9,19.4,-24.3,67.1,-25.4,-2.5,9.8,17.7,-14.6,6.6,11.4,30.6,-26.2,3.7,5,-0.4,-5.1,7.9,18.6,25.5,12.5,8.1,15.9,12.4,-0.4,8.8,8,10,4.8,19.8,24,31.3,15.8,8.2,-7.1,-6.6,-22.9,-9.2,11.1,26.8,6.7,12.4,7.1,5.8,-11.7,-12.2
"21","13","Change in private inventories of new and used autos","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","  New","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Used","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16","  Domestic output of new autos \1\","B148RL1",NA,37,-38,100.2,18.7,-43.9,47.3,43.9,4.3,151.6,52.4,-51.3,96.5,57.9,60.2,-23.3,-24.5,-40.8,-48,-10.7,-35.6,24.5,-59.1,774,9.4,17,25.5,-29.3,-36.5,21.2,0.3,41.1,194.6,29,6.1,-30.8,-55,-5.5,-58.6,152.2,39.3,-16.6,27.6,-58.2,-45.4,-56.6,42.2,76.1,116.1,19.4,8.7,-76.4,648.1,-41.3,25.4,-41.7,-73.8,165.3,27.4,65.8,5.8,1.4,54.5,3.2,10.4,1.4,17.4,19.4,-2.2,4,1.3,-41.2,306.2,-10.9,-11.7,10.4,26.6,-30.7,-21.6,22.9
"26","17","  Sales of imported new autos \2\","B149RL1",NA,0,0,0,862188.8,213.1,2.9,-23,-5.9,-31.9,-32.2,-76.7,5.4,521.5,46.4,-31.7,55.5,-54.6,418.6,161,-16,0,158,67,86.4,-50.6,-67,1.9,0,49.6,-3.3,142.5,101.8,20.6,146.8,104.4,-10.4,161.6,-18.3,85.3,101.4,89.1,209.6,63.1,29.3,164.9,95,116.4,54.3,35.6,4.3,7.4,-27.3,-41,-24.6,-36.3,-37.1,0.5,-0.3,-29.1,5,-34.5,-9,46.4,41.2,30.1,-22,5.4,116,20,18.1,14.7,21.9,45.9,57.1,101.7,85.3,-33.2,75.9,97
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Consists of final sales and change in private inventories of new autos assembled in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2. Consists of sales of imported new autos in personal consumption expenditures, in private fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","investment, and in gross government investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
