"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Income taxes","B245RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1,1,1.1,1.3,1.6,1.7,1.8,2.2,2.5,2.8,3.2,3.4,4,4.4,5.4,6.1,7.8,9.8
"12","5","    Other","B247RC1",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.2,1.6,1.7,1.8,1.8,2,2.1,2.2,2.4,2.5,2.7,3
"13","6","  Taxes on production and imports","W072RC1",5.7,6,5.8,5.7,5.3,5.5,5.8,6.2,6.6,6.8,6.9,7.2,7.5,7.5,7.6,7.8,8.2,9.1,10.4,11.9,13,14.2,15.6,17,18.4,19.4,21,23.3,25.1,26.5,28.8,31.5,33.8,36.3,38.7,41.8,45.3,48.8,52.8,59.5,66
"14","7","    Sales taxes","B248RC1",0.4,0.5,0.6,0.6,0.7,0.9,1.2,1.4,1.5,1.6,1.7,1.8,2.1,2,2,2,2.3,2.9,3.5,4.1,4.3,4.8,5.4,5.8,6.3,6.5,7.1,8,8.6,10,11.1,12.2,13,14,15,16.5,18.2,20,21.4,25.1,28.6
"15","8","    Property taxes","B249RC1",4.5,4.7,4.5,4.4,4,3.9,4,4.1,4.2,4.3,4.3,4.4,4.4,4.4,4.5,4.6,4.6,4.8,5.3,5.9,6.6,7.1,7.7,8.4,9.1,9.7,10.4,11.5,12.6,13.8,14.8,16.2,17.6,19,20.2,21.7,23.2,24.5,27,29.9,32.8
"16","9","    Other","W073RC1",0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.4,1.6,1.8,2.1,2.3,2.5,2.8,3,3.2,3.5,3.8,3.9,2.8,2.9,3.1,3.2,3.3,3.5,3.7,3.9,4.3,4.4,4.6,4.7
"17","10","  Taxes on corporate income","B102RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.8,0.9,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.6,3.3,3.6
"18","11","Contributions for government social insurance","B104RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1
"19","12","Income receipts on assets","W074RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1.1,1.1,1.3,1.4,1.5,1.6,1.9,2.2,2.6,3,3.5,4.3
"20","13","  Interest receipts \1\","B112RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.1,1.1,1.2,1.5,1.8,2.1,2.4,2.8,3.6
"21","14","  Dividends","B081RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","15","  Rents and royalties","S230541",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.8
"23","16","Current transfer receipts","W075RC1",0.5,0.5,0.6,0.4,0.7,1.8,1.9,0.9,0.9,0.9,1.1,0.9,0.8,1,1,1.1,1,1.1,1.2,1.7,2.2,2.2,2.4,2.5,2.7,2.8,2.9,3,3.5,4,4,4.3,4.9,5.5,6,6.8,7.4,10.4,12.3,13.3,15.3
"24","17","  Federal grants-in-aid","B089RC1",0.1,0.1,0.3,0.1,0.5,1.6,1.7,0.7,0.7,0.6,0.9,0.7,0.6,0.7,0.8,0.8,0.8,0.9,1,1.4,1.8,1.8,2,2.1,2.2,2.2,2.3,2.4,2.8,3.2,3.6,3.8,4.3,4.7,5.2,6,6.6,9.4,10.9,11.8,13.7
"25","18","  From business (net)","W076RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.5,0.5
"26","19","  From persons","B246RC1",0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.7,0.9,1,1.1
"27","20","Current surplus of government enterprises","B115RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.8,1,1.2,1.2,1.3,1.5,1.5,1.6,1.5,1.4,1.3,1.3
"28","21","    Current expenditures","W024RC1",5.7,6.1,6.4,6.3,6.5,7,7.7,6.1,6.8,7,7.3,7.8,8.2,8.9,9.3,9.5,10,11.7,14.1,16.3,17.7,19.5,20.2,21.7,23,24.7,27,29.2,32.1,35.7,38.2,41.6,45.5,48.2,51.8,56.3,61.7,68.9,76.9,88.2,100.2
"29","22","Consumption expenditures","A991RC1",5.1,5.4,5.5,5.2,5.1,5.5,6,4.7,5.3,5.3,5.6,6,6.5,7.2,7.7,7.9,8.4,9.5,11.3,12.8,14.2,15.4,16.5,17.6,18.8,20.2,22.1,24,26.4,29.4,31.2,34.1,37.2,39.3,42.3,46,50.6,56.4,62.4,70.7,80.4
"30","23","Government social benefit payments to persons","B109RC1",0.1,0.2,0.3,0.4,0.6,0.8,1,0.7,0.9,1.1,1.1,1.1,1.1,1,1,1,1.1,1.5,2,2.7,2.7,3.2,2.6,2.9,3,3.1,3.3,3.3,3.6,4,4.3,4.6,5,5.3,5.7,6.2,6.7,7.6,9.2,11.4,13.2
"31","24","Interest payments \1\","B111RC1",0.5,0.6,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.6,1.9,2.1,2.3,2.7,3,3.3,3.5,3.8,4.1,4.5,4.9,5.2,6,6.6
"32","25","Subsidies","B114RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
"33","26","    Net state and local government saving","A924RC1",1.3,1.1,0.8,0.5,0.2,1.1,1,2.1,1.8,1.7,1.7,1.6,1.6,1.1,1.1,1.1,1.1,0.8,0.1,0.1,0.5,0.3,1.5,1.9,2.3,2,2.2,3,2.6,1.1,2.2,2.6,2.2,3.4,3.7,4.3,4.1,5.2,4.7,4.3,4.1
"34","27","Social insurance funds","B118RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2
"35","28","Other","B119RC1",1.3,1.1,0.8,0.5,0.2,1.1,1,2.1,1.8,1.7,1.7,1.6,1.6,1.1,1.1,1.1,1.1,0.7,0,0,0.4,0.2,1.5,1.8,2.2,1.9,2.1,2.9,2.5,1.1,2.2,2.5,2.2,3.4,3.7,4.3,4,5.1,4.6,4.1,3.9
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","29","  Total receipts","W077RC1",7.2,7.4,7.3,6.9,6.8,8.2,8.8,8.3,8.8,8.9,9.3,9.6,10,10.2,10.5,10.8,11.3,12.7,14.5,16.8,18.7,20.4,22.4,24.2,26.1,27.6,30.2,33.3,36.4,39.5,43.9,47.2,51,55.1,59.7,65.4,70.5,79.2,86.7,99.3,111.2
"38","30","    Current receipts","W023RC1",7.1,7.3,7.1,6.8,6.7,8.1,8.7,8.2,8.6,8.7,9,9.4,9.8,10,10.3,10.6,11,12.5,14.2,16.3,18.2,19.8,21.8,23.5,25.3,26.7,29.2,32.2,34.8,36.8,40.4,44.2,47.7,51.6,55.5,60.6,65.8,74.1,81.6,92.5,104.3
"39","31","    Capital transfer receipts","AD06RC1",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.7,0.8,0.8,1,1.1,1.6,2.7,3.5,3,3.3,3.5,4.1,4.7,4.7,5.1,5.1,6.8,6.8
"40","32","  Total expenditures","W079RC1",7.8,8.4,8.4,7.5,7.2,8,8.5,8.2,8.5,9.1,9.8,9.7,9.4,9.1,8.7,8.8,9.4,11.8,15.2,18.3,21.1,23.5,24.9,26.5,28.4,31.4,34.6,37.6,41.6,46.1,48.8,52,56.9,60.2,65.2,70.9,77.7,86.7,96.2,109.1,120.4
"41","33","    Current expenditures","W024RC1",5.7,6.1,6.4,6.3,6.5,7,7.7,6.1,6.8,7,7.3,7.8,8.2,8.9,9.3,9.5,10,11.7,14.1,16.3,17.7,19.5,20.2,21.7,23,24.7,27,29.2,32.1,35.7,38.2,41.6,45.5,48.2,51.8,56.3,61.7,68.9,76.9,88.2,100.2
"42","34","    Gross government investment","A799RC1",2.7,2.9,2.7,1.8,1.4,1.8,1.6,2.9,2.6,3,3.4,2.8,2.3,1.6,0.9,0.7,0.9,1.6,2.9,4.1,5.4,5.9,7,7.4,8,9.3,10.1,11.4,12.7,13.7,14.1,14.1,15.3,16.1,17.8,19.3,21.2,23.5,25.7,28.1,28.8
"43","35","    Capital transfer payments","W080RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","    Net purchases of nonproduced assets","AD09RC1",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.3,1.4,1.4,1.4,1
"45","37","    Less: Consumption of fixed capital","A919RC1",0.8,0.8,0.7,0.7,0.7,0.9,0.8,0.9,1,1,1.1,1.1,1.2,1.4,1.5,1.5,1.4,1.6,1.9,2.1,2.2,2.2,2.6,2.8,2.9,3,3.2,3.6,3.9,4.1,4.4,4.5,4.8,5.2,5.5,5.9,6.4,7.1,7.8,8.6,9.7
"46","38","  Net lending or net borrowing (-)","AD03RC1",-0.6,-1,-1.1,-0.6,-0.4,0.2,0.2,0.1,0.3,-0.2,-0.6,0,0.7,1.2,1.8,2,1.8,0.9,-0.7,-1.5,-2.4,-3.1,-2.5,-2.3,-2.3,-3.8,-4.4,-4.3,-5.1,-6.5,-4.9,-4.8,-5.9,-5.1,-5.5,-5.6,-7.2,-7.4,-9.5,-9.8,-9.2
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","net of interest payments.  Interest payments includes interest accrued on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","actuarial liabilities of defined benefit pension plans for state and local government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
