"","Table 2#8#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"11","3","  Durable goods","DDURRA3",7.595,7.934,7.967,8.07,8.109,8.202,8.098,8.276,8.48,8.017,7.996,7.652,7.744,8.182,8.501,8.8,8.194,7.988,8.058,8.22,8.505,8.428,8.083,7.649,7.5,7.554,7.779,7.68,7.792,7.836,7.897,7.965,8.014,8.133,8.364,8.536,8.508,8.469,8.599,8.654,8.855,8.752,8.749,8.719,8.985,8.757,9.3,9.56,9.492,9.354,9.322,9.484,9.52,9.769,9.862,9.618,9.649,9.576,9.846,10.167,10.246,10.314,10.181,10.272,10.551,10.72,10.896,11,10.69,10.875,10.442,10.268,10.811,11.59,12.122,11.951,11.552,11.076,11.355,11.791,12.614,12.515,12.441,12.312,12.665,12.993,13.383,12.992,12.312,12.178,12.421,12.893,13.397,13.062,12.851,12.783,12.885,12.441,12.639,13.195,13.102,13.299,13.094,12.907,13.279,12.878,13.015,13.486,13.778,13.705,14.343,13.984,14.398,14.337,14.828,14.9,14.913,14.871,14.702,14.804,15.154,15.202,14.857,15.04,15.043,15.008,14.678,14.985,15.299,15.044,14.89,14.855
"12","4","  Nondurable goods","DNDGRA3",28.943,28.994,29.554,29.05,29.627,29.539,29.376,29.453,29.725,29.736,29.606,29.76,29.796,29.508,30.021,30.576,29.718,30.007,30.112,29.873,29.788,30.072,30.081,29.681,29.865,30.071,30.431,30.411,30.529,30.637,30.393,30.538,30.716,30.759,30.987,31.147,31.164,31.08,31.419,31.351,31.501,31.186,31.367,31.518,31.884,31.628,31.789,31.884,31.991,31.765,32.066,31.97,31.983,32.196,32.243,32.563,32.222,32.084,32.237,32.585,32.537,32.914,33.114,33.018,33.706,33.721,34.03,34.324,34.054,34.266,33.721,34.617,34.439,34.824,34.323,34.88,35.056,34.639,35.247,35.248,35.646,36.798,36.565,36.715,36.855,36.985,37.039,37.396,37.11,37.424,37.784,37.392,37.559,37.401,37.54,37.48,37.713,37.947,38.025,38.176,38.111,38.244,37.838,38.122,38.464,37.864,38.254,38.825,38.746,38.928,39.529,39.284,39.424,39.937,40.28,40.328,39.926,39.986,40.558,40.017,40.408,40.769,40.723,40.66,41.03,40.478,40.737,41.167,40.721,41.282,41.074,41.09
"13","5","Services","DSERRA3",17.268,17.404,17.446,17.504,17.634,17.759,17.786,17.857,17.967,18.007,18.072,18.179,18.206,18.233,18.307,18.43,18.473,18.449,18.426,18.407,18.452,18.547,18.633,18.64,18.741,18.743,18.896,18.992,19.1,19.112,19.077,19.102,19.2,19.352,19.476,19.565,19.587,19.637,19.721,19.863,19.973,19.99,20.037,20.096,20.207,20.277,20.402,20.422,20.39,20.434,20.52,20.622,20.623,20.772,20.913,21.06,21.132,21.224,21.299,21.442,21.564,21.644,21.785,21.852,21.949,22.096,22.166,22.229,22.364,22.443,22.564,22.668,22.748,22.817,22.887,23.053,23.167,23.272,23.389,23.476,23.584,23.751,23.894,23.999,24.034,24.108,24.241,24.32,24.395,24.449,24.559,24.556,24.644,24.694,24.856,25.009,25.075,25.03,25.143,25.229,25.312,25.435,25.571,25.695,25.742,25.783,25.864,26.002,26.205,26.208,26.435,26.566,26.631,26.88,26.938,27.024,27.139,27.226,27.348,27.422,27.482,27.636,27.609,27.761,27.953,28.027,28.011,28.143,28.257,28.418,28.541,28.502
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","  PCE excluding food and energy","DPCCRA3",14.732,14.975,15.229,15.176,15.319,15.375,15.332,15.455,15.665,15.497,15.494,15.445,15.543,15.653,15.802,16.127,15.761,15.743,15.772,15.812,15.912,16.012,15.87,15.684,15.698,15.781,16.021,15.952,16.094,16.121,16.142,16.181,16.271,16.433,16.625,16.742,16.767,16.732,16.886,17.015,17.156,17.046,17.1,17.147,17.402,17.288,17.583,17.691,17.637,17.577,17.687,17.797,17.779,18.032,18.122,18.152,18.155,18.148,18.302,18.544,18.625,18.78,18.815,18.844,19.13,19.246,19.387,19.482,19.413,19.542,19.401,19.495,19.754,20.07,20.198,20.311,20.271,20.06,20.312,20.483,20.945,21.074,21.141,21.14,21.343,21.536,21.742,21.704,21.446,21.506,21.669,21.803,22.038,21.953,21.961,21.974,22.09,21.934,22.094,22.33,22.292,22.467,22.43,22.509,22.702,22.433,22.575,22.845,23.088,23.104,23.472,23.421,23.611,23.773,24.02,24.073,24.066,24.134,24.198,24.174,24.358,24.498,24.365,24.544,24.678,24.661,24.578,24.795,24.895,24.931,24.911,24.905
"16","7","  Food \1\","DFXARA3",45.604,45.409,44.817,44.856,45.862,45.938,45.644,45.857,45.973,46.007,45.728,46.645,45.913,45.571,46.422,46.58,46.093,46.091,46.492,45.833,45.607,45.73,46.485,45.442,46.118,46.268,46.421,46.715,46.699,46.919,46.138,46.826,47.099,46.802,46.754,47.194,46.754,46.978,46.904,46.597,47.009,46.854,46.999,47.252,47.376,47.001,46.949,47.001,47.105,46.751,47.095,47.091,47.37,47.277,47.617,47.903,47.11,47.578,47.827,47.561,47.744,47.788,48.293,48.304,49.046,48.978,49.421,49.712,49.339,49.36,49.001,50.657,50.001,50.652,50.004,50.642,50.74,50.404,51.06,51.549,51.267,53.902,53.026,53.805,53.312,53.357,53.319,53.579,53.389,53.372,54.317,53.116,53.36,52.852,53.586,53.579,54.228,54.33,54.634,54.976,54.491,54.617,53.829,54.462,54.901,54.573,54.769,55.995,55.286,55.276,56.747,56.164,56.608,57.546,57.839,58.018,57.476,57.446,58.668,57.806,58.512,58.964,58.617,58.311,59.138,57.892,58.218,58.865,58.108,59.382,58.99,58.763
"17","8","  Energy goods and services \2\","DNRGRA3",41.035,40.723,40.676,40.149,40.739,41.212,41.255,40.853,40.641,41.208,41.692,40.184,40.757,41.046,43.079,42.871,42.015,42.351,41.763,41.683,42.248,42.085,42.127,42.51,41.992,41.519,41.862,43.351,43.093,43.292,42.791,42.213,42.422,42.445,43.137,43.099,43.657,43.789,44.873,44.183,44.087,44.343,44.544,44.428,44.167,45.1,45.465,45.897,46.832,46.93,46.381,45.717,46.009,45.538,45.623,46.454,47.05,45.727,45.789,47.711,47.263,47.641,47.851,48.198,47.92,48.88,49.033,49.922,49.756,50.753,49.025,49.275,48.702,49.821,50.096,50.614,50.819,51.391,52,51.478,51.794,52.367,52.332,52.017,52.488,52.216,52.657,53.49,53.787,54.24,54.114,54.61,54.729,54.841,54.441,55.418,54.367,55.546,54.502,54.69,56.883,56.428,56.486,55.135,55.492,56.127,57.265,57.651,57.792,58.172,58.322,58.039,57.478,58.02,58.408,58.894,59.196,58.782,58.865,59.554,59.805,60.477,61.188,60.417,60.589,60.643,61.025,61.551,61.686,62.288,62.797,62.714
"18","9","  Market-based PCE \3\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Market-based PCE excluding food and energy \3\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
