"","Table 5#7#6B# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"21","14","  Other retail stores","N558RX1",9.7,13.1,9.4,8.5,-1.8,5.8,5.2,12.3,5.6,8.6,2.7,-13.4,-13.6,4.2,-0.8,4.9
"22","15","Other industries","N154RX1",6.2,6.6,8.4,14.3,-0.4,-0.8,1.7,4.6,2.5,4.3,-0.2,1.8,-5.5,-1.1,2.9,6.9
"23","16","Residual","N969RX1",0.7,1.5,5,5.2,-5.7,4.2,2.2,1.4,-0.3,2.8,-0.2,-0.3,0,-0.4,-3.6,-7.4
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","17","  Change in private inventories","A014RX1",84.8,79,75.5,66.2,-46.2,22.5,22.6,71.4,64.3,71.6,35.5,-33.7,-147.6,58.2,33.6,57.6
"26","18","    Durable goods industries","N355RX1",42.8,43.4,42,39.7,-49.9,20,16.4,42.2,44.7,35.6,16.1,-24.3,-117,37.7,42.9,59.8
"27","19","    Nondurable goods industries","N357RX1",40.7,33.5,31.6,24.7,8,1.2,5.6,28.6,19.1,36,19.5,-9.7,-30.6,21.1,-6.5,2.3
"28","20","  Nonfarm industries","B015RX1",80.5,76.4,77.7,67.1,-45.8,25.5,22.4,62.4,63.9,75.4,36.5,-35,-146,65.9,39.7,68.7
"29","21","  Wholesale trade","N658RX1",30,26.5,23.6,23.1,-15.2,0.4,1.9,24.2,30.9,23.8,15.9,18.3,-61.9,24.8,20,19.1
"30","22","    Merchant wholesale trade","N151RX1",26.9,24,20.3,18.1,-9.9,1.1,2.3,22,21.8,17.9,9.9,5.9,-46.1,20.6,11.4,17.3
"31","23","      Durable goods industries","N626RX1",16.3,16.7,14.1,11.8,-15.4,-2.5,3,20.3,17.3,15,2.7,6.5,-44.5,12.9,17.9,18.2
"32","24","      Nondurable goods industries","N627RX1",10.4,6.4,5.5,6,7.3,4.1,-0.8,0.9,4.1,2.6,7.3,-0.6,-1.6,7.8,-5.2,0.3
"33","25","    Nonmerchant wholesale trade","N152RX1",3.1,2.5,3.4,5.1,-5.5,-0.8,-0.5,2.2,9,5.9,5.8,12.2,-15.8,4.1,8.2,1.9
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Chained (2009) dollar series for real change in private inventories are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","as the period-to-period change in chained-dollar end-of-period inventories. Quarterly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","changes in end-of-period inventories are stated at annual rates. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
