"","Table 1#1#4# Price Indexes for Gross Domestic Product           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Goods","DGDSRG3",22.862,23.082,23.435,24.052,24.397,24.658,25.038,24.851,24.543,24.264,23.983,23.842,23.713,23.845,24.431,24.947,25.963,26.185,26.15,26.462,26.526,26.372,26.47,26.401,26.378,26.302,26.299,26.305,26.424,26.323,26.135,26.002,26.039,26.016,26.102,26.109,26.183,26.377,26.664,26.815,27.053,27.26,27.473,27.568,28.02,28.033,27.962,27.83,28.016,28.05,28.138,28.212,28.172,28.313,28.353,28.46,28.495,28.377,28.45,28.402,28.486,28.551,28.596,28.676,28.708,28.711,28.886,28.954,29.091,29.082,29.136,29.206,29.271,29.441,29.513,29.514,29.783,29.999,30.188,30.362,30.338,30.41,30.734,30.97,31.257,31.522,31.812,32.132,32.356,32.744
"12","4","    Durable goods","DDURRG3",44.508,44.917,45.168,45.757,46.106,46.711,48.337,48.424,48.262,47.946,47.363,47.306,47.162,47.523,48.182,48.977,50.788,51.127,51.146,51.64,51.992,51.379,51.911,50.692,51.186,51.244,50.916,51.015,51.422,50.13,49.308,49.021,49.326,49.568,50.04,50.173,50.364,50.472,51.202,51.87,52.287,53.01,53.005,53.108,54.052,53.834,53.779,53.587,54.522,54.73,54.721,54.697,54.617,54.552,54.385,54.29,54.299,54.556,54.804,54.736,54.744,54.815,54.995,54.779,54.796,54.964,55.119,55.293,55.373,55.341,55.281,55.171,55.18,55.007,54.733,54.432,54.359,54.593,54.834,55.085,54.97,55.212,55.821,56.385,56.75,57.096,57.572,58.097,58.436,58.874
"13","5","    Nondurable goods","DNDGRG3",16.217,16.375,16.671,17.175,17.457,17.632,17.803,17.619,17.35,17.127,16.932,16.804,16.698,16.775,17.256,17.652,18.397,18.564,18.524,18.758,18.777,18.707,18.74,18.817,18.736,18.657,18.696,18.69,18.752,18.814,18.739,18.652,18.651,18.598,18.616,18.605,18.649,18.823,19.003,19.061,19.237,19.341,19.547,19.625,19.938,19.976,19.915,19.814,19.875,19.88,19.966,20.04,20.012,20.156,20.216,20.329,20.36,20.218,20.255,20.217,20.296,20.35,20.37,20.476,20.505,20.485,20.635,20.677,20.801,20.797,20.86,20.945,21.008,21.206,21.323,21.371,21.658,21.841,21.994,22.132,22.126,22.161,22.393,22.544,22.777,22.993,23.213,23.456,23.63,23.96
"14","6","  Services","DSERRG3",8.388,8.434,8.636,8.832,8.883,8.971,9.106,9.14,9.133,9.152,9.182,9.248,9.287,9.321,9.464,9.586,9.761,9.832,9.885,10.035,10.105,10.185,10.293,10.373,10.481,10.562,10.7,10.806,10.868,10.888,10.908,10.955,11.019,11.059,11.113,11.18,11.245,11.31,11.405,11.475,11.58,11.634,11.733,11.818,11.903,11.944,12.001,12.062,12.15,12.238,12.353,12.461,12.517,12.586,12.67,12.736,12.769,12.825,12.887,12.942,13.019,13.082,13.13,13.172,13.234,13.272,13.316,13.385,13.45,13.518,13.586,13.646,13.704,13.762,13.831,13.919,14.007,14.136,14.267,14.408,14.507,14.612,14.725,14.864,15.042,15.222,15.398,15.585,15.785,16
"15","7","Gross private domestic investment","B006RG3",16.299,16.922,17.486,17.697,17.925,18.31,18.812,18.919,18.865,18.83,18.634,18.554,18.531,18.806,19.329,19.761,20.476,20.796,20.886,21.077,21.149,21.214,21.231,21.135,21.106,21.193,21.345,21.286,21.324,21.404,21.392,21.403,21.41,21.544,21.8,22.083,22.536,22.78,23.158,23.327,23.547,23.643,23.79,23.874,23.673,23.793,23.83,23.883,23.888,23.996,24.073,24.118,24.146,24.179,24.17,24.137,24.101,24.115,24.112,24.118,24.134,24.148,24.144,24.122,24.122,24.079,24.009,24.076,24.01,24.201,24.237,24.463,24.476,24.524,24.57,24.833,24.745,25.122,25.133,25.418,25.519,25.629,25.773,26.069,26.327,26.563,26.71,27.26,27.562,27.854
"16","8","  Fixed investment","B007RG3",15.363,15.942,16.34,16.676,16.842,17.21,17.731,17.921,17.892,17.866,17.672,17.607,17.605,17.889,18.39,18.735,19.353,19.645,19.799,20.002,20.095,20.184,20.219,20.178,20.196,20.307,20.465,20.416,20.433,20.512,20.513,20.533,20.552,20.69,20.94,21.209,21.643,21.877,22.239,22.404,22.618,22.72,22.873,22.968,22.785,22.886,22.921,22.964,22.996,23.095,23.167,23.209,23.241,23.282,23.277,23.243,23.198,23.216,23.208,23.211,23.228,23.249,23.242,23.22,23.224,23.19,23.119,23.181,23.114,23.314,23.347,23.581,23.596,23.642,23.691,23.954,23.852,24.244,24.246,24.531,24.628,24.748,24.906,25.204,25.472,25.714,25.869,26.424,26.728,27.016
"17","9","    Nonresidential","B008RG3",18.876,19.449,19.963,20.326,20.435,21.005,21.723,22.015,21.871,21.835,21.749,21.623,21.649,21.859,22.321,23.057,23.818,24.223,24.443,24.705,24.816,24.872,24.809,24.815,24.84,25.032,25.215,25.178,25.282,25.395,25.236,25.283,25.247,25.391,25.78,26.292,27,27.232,27.884,28.243,28.671,28.825,29.019,29.236,28.963,29.135,29.201,29.27,29.309,29.492,29.637,29.707,29.723,29.744,29.731,29.652,29.612,29.592,29.573,29.59,29.597,29.638,29.632,29.608,29.611,29.603,29.637,29.655,29.666,29.811,29.829,29.97,30.013,30.086,30.18,30.325,30.305,30.585,30.654,30.915,31.056,31.225,31.434,31.738,31.995,32.306,32.569,33.053,33.324,33.639
"18","10","      Structures","B009RG3",6.211,6.291,6.511,6.73,6.909,7.099,7.282,7.35,7.225,7.125,7.088,7.102,7.088,7.066,7.217,7.524,7.827,8.019,8.151,8.227,8.296,8.268,8.25,8.268,8.293,8.41,8.519,8.506,8.389,8.304,8.307,8.319,8.342,8.409,8.523,8.713,9.099,9.07,9.316,9.409,9.51,9.629,9.681,9.657,9.395,9.454,9.491,9.52,9.456,9.51,9.546,9.554,9.587,9.529,9.484,9.42,9.42,9.438,9.448,9.482,9.496,9.527,9.517,9.546,9.575,9.593,9.618,9.626,9.612,9.723,9.736,9.889,9.907,9.979,10.004,10.201,10.177,10.4,10.413,10.546,10.589,10.647,10.721,10.87,11.024,11.163,11.253,11.537,11.701,11.894
"19","11","      Equipment","Y033RG3",31.625,32.963,33.703,34.015,33.829,34.823,36.269,36.926,36.872,37.092,36.969,36.559,36.673,37.292,38.07,39.174,40.411,40.923,41.112,41.605,41.744,41.992,41.836,41.786,41.72,41.903,42.09,42.009,42.673,43.336,42.814,42.914,42.589,42.79,43.566,44.468,45.277,46.012,47.132,47.89,48.804,48.829,49.214,49.955,49.888,50.187,50.237,50.325,50.687,50.999,51.254,51.374,51.287,51.543,51.629,51.578,51.438,51.286,51.144,51.048,51.023,51.024,51.039,50.86,50.816,50.716,50.693,50.662,50.686,50.727,50.704,50.66,50.745,50.715,50.886,50.692,50.642,50.795,50.942,51.319,51.609,51.893,52.236,52.618,52.815,53.276,53.719,54.265,54.456,54.738
"20","12","      Intellectual property products","Y001RG3",21.841,22.066,22.529,23.052,23.126,23.507,23.821,23.675,23.701,23.582,23.514,23.501,23.518,23.786,24.316,24.884,25.154,25.545,25.761,25.975,25.869,25.862,25.972,26.03,26.274,26.38,26.45,26.44,26.578,26.531,26.546,26.576,27.044,27.121,27.301,27.484,27.853,28.14,28.423,28.613,28.915,29.095,29.265,29.342,29.687,29.829,29.918,30.01,29.996,30.248,30.474,30.672,30.737,30.759,30.843,30.899,30.921,30.95,31.046,31.121,31.118,31.176,31.173,31.177,31.082,31.117,31.228,31.378,31.509,31.672,31.765,31.784,31.757,31.842,31.968,32.054,32.227,32.363,32.436,32.531,32.571,32.74,32.959,33.259,33.639,33.875,34.13,34.485,34.929,35.293
"21","13","    Residential","B011RG3",8.999,9.499,9.707,9.948,10.126,10.235,10.471,10.527,10.609,10.597,10.349,10.354,10.34,10.605,11.009,10.989,11.349,11.481,11.542,11.648,11.708,11.809,11.921,11.848,11.856,11.87,11.973,11.926,11.861,11.895,12.034,12.029,12.083,12.185,12.268,12.275,12.376,12.565,12.586,12.53,12.493,12.524,12.61,12.562,12.504,12.517,12.518,12.528,12.547,12.555,12.552,12.56,12.598,12.646,12.648,12.662,12.622,12.671,12.675,12.664,12.686,12.685,12.68,12.663,12.667,12.617,12.475,12.557,12.44,12.639,12.679,12.952,12.939,12.952,12.945,13.297,13.115,13.59,13.509,13.806,13.835,13.878,13.956,14.212,14.465,14.594,14.602,15.176,15.485,15.707
"22","14","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16","  Exports","B020RG3",20.2,21.695,22.801,23.363,23.51,23.385,23.109,22.75,22.348,21.933,21.586,21.354,21.008,21.05,21.244,21.635,22.919,23.755,24.446,24.847,24.226,24.151,24.104,24.069,24.165,24.123,24.045,23.944,23.832,23.746,23.699,23.694,23.765,23.868,23.992,24.158,24.346,24.599,24.877,25.164,25.51,25.703,25.778,25.748,25.499,25.397,25.38,25.422,25.279,25.312,25.523,25.79,25.825,25.783,25.904,25.822,25.943,26.287,26.241,26.436,26.479,26.229,26.212,26.247,26.284,26.247,26.186,26.213,26.278,26.271,26.48,26.766,27.369,27.278,27.306,27.207,27.659,27.889,28.214,28.697,29.196,29.157,29.126,29.288,29.501,30.109,29.745,29.959,30.414,30.466
"25","17","    Goods","B253RG3",23.241,25.455,27.077,27.899,28.077,27.882,27.464,26.93,26.349,25.744,25.243,24.902,24.429,24.465,24.715,25.235,26.961,28.055,28.923,29.378,28.472,28.261,28.103,27.982,28.075,27.982,27.87,27.746,27.612,27.524,27.476,27.472,27.55,27.679,27.84,28.057,28.347,28.669,29.004,29.321,29.654,29.815,29.846,29.779,29.487,29.38,29.404,29.522,29.756,29.596,29.635,29.949,29.92,29.878,30.027,29.91,30.169,30.631,30.485,30.727,30.603,30.173,30.129,30.155,30.284,30.217,30.092,30.078,30.241,30.127,30.375,30.744,31.571,31.444,31.446,31.254,31.917,32.189,32.621,33.282,34.025,33.865,33.72,33.849,34.01,34.87,34.231,34.445,35.042,34.942
"26","18","    Services","B646RG3",15.056,14.402,14.066,13.953,14.066,14.152,14.267,14.37,14.43,14.51,14.558,14.609,14.567,14.631,14.699,14.784,15.024,15.27,15.582,15.889,15.955,16.227,16.463,16.649,16.761,16.845,16.844,16.79,16.721,16.634,16.583,16.575,16.639,16.683,16.725,16.773,16.712,16.811,16.966,17.207,17.64,17.945,18.151,18.207,18.037,17.933,17.811,17.675,16.897,17.241,17.728,17.915,18.056,18.015,18.083,18.072,17.925,18.055,18.192,18.299,18.661,18.73,18.763,18.817,18.688,18.699,18.755,18.877,18.744,18.945,19.083,19.204,19.384,19.359,19.434,19.522,19.562,19.718,19.853,20.004,20.07,20.237,20.407,20.619,20.916,21.072,21.192,21.396,21.599,21.907
"27","19","  Imports","B021RG3",13.691,14.655,15.44,15.967,16.339,16.395,16.233,15.973,15.613,15.451,15.385,15.444,15.733,16.068,16.586,17.356,18.799,19.81,20.384,20.466,19.631,19.313,18.975,18.663,18.5,18.319,18.236,18.238,18.447,18.532,18.649,18.664,18.432,18.444,18.481,18.537,18.59,18.734,18.848,19.025,19.108,19.121,19.007,18.816,18.367,18.176,18.151,18.2,18.232,18.322,18.41,18.59,18.535,18.529,18.621,18.571,18.591,18.571,18.552,18.544,18.332,18.361,18.296,18.392,18.56,18.641,18.751,18.854,19.023,19.119,19.092,19.15,19.304,19.223,19.357,19.561,19.655,19.862,19.808,19.924,19.922,19.871,19.876,19.888,20.021,20.173,20.214,20.358,20.443,20.532
"28","20","    Goods","B255RG3",13.502,14.803,15.852,16.552,16.907,16.961,16.749,16.423,16.025,15.837,15.759,15.843,16.285,16.709,17.352,18.303,20.1,21.43,22.238,22.417,21.046,20.681,20.282,19.927,19.755,19.572,19.521,19.576,19.821,19.959,20.15,20.179,19.908,19.939,19.991,20.055,20.117,20.291,20.408,20.644,20.679,20.692,20.536,20.279,19.679,19.415,19.379,19.42,19.348,19.519,19.664,19.929,19.871,19.836,19.864,19.723,19.692,19.624,19.618,19.605,19.279,19.24,19.085,19.06,19.183,19.267,19.401,19.517,19.809,19.918,19.841,19.888,19.957,19.79,19.94,20.162,20.184,20.484,20.406,20.574,20.502,20.42,20.419,20.425,20.565,20.721,20.703,20.874,20.999,21.081
"29","21","    Services","B656RG3",14.182,14.097,14.101,14.183,14.609,14.683,14.676,14.594,14.343,14.24,14.187,14.17,14.038,14.145,14.321,14.55,14.964,15.12,15.185,15.152,15.411,15.241,15.056,14.844,14.698,14.527,14.397,14.32,14.452,14.448,14.446,14.436,14.29,14.274,14.281,14.319,14.356,14.441,14.533,14.608,14.756,14.766,14.723,14.647,14.465,14.393,14.38,14.434,14.623,14.583,14.58,14.605,14.559,14.6,14.783,14.874,14.967,15.019,14.983,14.979,14.964,15.099,15.192,15.478,15.707,15.778,15.836,15.906,15.842,15.906,15.969,16.045,16.346,16.436,16.527,16.678,16.91,16.911,16.91,16.912,17.051,17.063,17.082,17.104,17.208,17.337,17.509,17.578,17.568,17.666
"30","22","Government consumption expenditures and gross investment","B822RG3",8.372,8.352,8.188,8.291,8.436,8.541,8.713,8.768,8.899,8.839,8.761,8.864,8.834,8.804,8.97,9.041,9.43,9.363,9.432,9.562,9.474,9.595,9.704,9.808,9.748,9.764,9.737,9.778,9.837,9.937,10.002,10.088,10.14,10.314,10.423,10.544,10.722,10.888,10.987,11.053,11.242,11.356,11.43,11.52,11.598,11.704,11.785,11.84,11.894,11.881,11.873,11.883,11.923,11.94,12.057,12.166,12.171,12.244,12.246,12.314,12.406,12.463,12.501,12.545,12.734,12.759,12.706,12.929,13.021,13.055,13.185,13.2,13.292,13.367,13.505,13.714,13.809,13.906,14.12,14.188,14.243,14.386,14.546,14.772,14.955,15.142,15.351,15.607,15.726,15.988
"31","23","  Federal","B823RG3",11.179,11.044,10.587,10.598,10.664,10.742,10.849,10.85,11.189,11.179,11.03,11.301,11.313,11.193,11.327,11.253,11.81,11.585,11.617,11.788,11.631,11.782,11.874,12.051,11.903,11.944,11.904,11.986,12.107,12.166,12.248,12.367,12.505,12.803,12.897,13.043,13.223,13.445,13.51,13.565,13.852,13.957,14.062,14.235,14.395,14.526,14.646,14.736,14.728,14.702,14.695,14.703,14.687,14.672,14.861,15.035,14.98,15.029,14.968,15.039,15.116,15.204,15.274,15.301,15.587,15.576,15.443,15.817,15.969,15.986,16.207,16.182,16.238,16.322,16.506,16.863,16.891,16.893,17.186,17.185,17.125,17.309,17.464,17.773,17.922,18.125,18.428,18.688,18.721,18.981
"32","24","    National defense","B824RG3",11.143,11.083,10.211,10.201,10.432,10.586,10.738,10.766,10.951,10.909,10.839,11.015,11.044,10.976,11.209,11.242,11.542,11.335,11.354,11.521,11.305,11.454,11.543,11.716,11.543,11.577,11.51,11.586,11.74,11.783,11.889,12.011,12.112,12.415,12.572,12.73,12.929,13.14,13.213,13.28,13.569,13.646,13.755,13.906,14.061,14.167,14.319,14.395,14.325,14.316,14.349,14.362,14.344,14.322,14.459,14.641,14.564,14.612,14.539,14.605,14.671,14.765,14.841,14.795,15.154,15.138,14.965,15.392,15.515,15.483,15.691,15.656,15.712,15.816,16.023,16.416,16.396,16.391,16.73,16.698,16.624,16.824,16.999,17.345,17.437,17.634,17.929,18.171,18.189,18.464
"33","25","    Nondefense","B825RG3",10.383,9.899,11.098,11.268,10.571,10.387,10.368,10.299,11.063,11.146,10.793,11.321,11.299,11.061,10.836,10.316,11.988,11.595,11.657,11.8,12.182,12.338,12.446,12.625,12.709,12.792,12.957,13.069,12.929,13.099,12.993,13.077,13.437,13.661,13.339,13.383,13.409,13.667,13.668,13.623,13.866,14.162,14.209,14.509,14.679,14.974,14.852,15.049,15.428,15.311,15.103,15.089,15.076,15.094,15.551,15.666,15.737,15.785,15.796,15.888,16.018,16.067,16.099,16.458,16.392,16.404,16.451,16.59,16.849,17.053,17.309,17.319,17.37,17.378,17.473,17.696,17.885,17.914,18.022,18.14,18.144,18.256,18.315,18.451,18.83,19.046,19.36,19.678,19.77,19.959
"34","26","  State and local","B829RG3",6.052,6.154,6.288,6.492,6.727,6.87,7.122,7.238,7.16,7.046,7.034,6.985,6.919,6.968,7.167,7.37,7.619,7.744,7.883,7.982,7.993,8.092,8.259,8.254,8.341,8.312,8.305,8.286,8.257,8.445,8.495,8.545,8.487,8.521,8.662,8.768,8.967,9.085,9.238,9.327,9.418,9.557,9.603,9.603,9.596,9.683,9.731,9.752,9.879,9.88,9.87,9.881,9.985,10.035,10.089,10.137,10.205,10.307,10.374,10.446,10.559,10.588,10.596,10.664,10.766,10.83,10.854,10.94,10.979,11.032,11.084,11.137,11.266,11.337,11.439,11.526,11.685,11.874,12.025,12.163,12.332,12.444,12.619,12.778,13.006,13.188,13.322,13.587,13.79,14.066
