"","Table 1#3#4# Price Indexes for Gross Value Added by Sector      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Nonfarm \2\","B358RG3",14.39,14.565,15.232,15.2,15.493,15.703,16.008,16.235,16.097,16.037,15.968,15.93,15.936,15.967,16.171,16.426,16.839,17.036,17.21,17.379,17.427,17.518,17.61,17.733,17.784,17.873,17.963,18.067,18.1,18.122,18.1,18.114,18.205,18.258,18.417,18.588,18.771,18.904,19.14,19.267,19.503,19.631,19.724,19.827,19.907,19.925,19.988,20.05,20.176,20.216,20.294,20.396,20.417,20.461,20.542,20.611,20.628,20.67,20.685,20.695,20.789,20.865,20.887,20.87,20.98,20.987,20.98,21.109,21.167,21.232,21.339,21.409,21.48,21.509,21.598,21.675,21.738,21.966,22.132,22.388,22.496,22.621,22.815,23.032,23.273,23.526,23.678,24.007,24.294,24.568
"12","4","  Farm","B359RG3",103.563,105.467,88.428,115.82,108.895,107.624,107.642,91.733,92.691,87.989,82.798,81.298,76.631,81.291,92.112,97.954,111.14,109.103,100.366,105.477,100.319,96.764,98.391,92.469,88.644,83.071,82.39,78.071,81.355,78.704,77.168,75.091,74.575,74.373,72.724,68.27,69.454,72.87,72.225,71.642,71.198,71.181,76.258,76.47,81.173,82.533,80.966,76.867,72.957,73.673,74.373,72.221,71.41,74.282,72.237,73.531,72.941,70.789,72.41,75.281,75.115,73.345,74.334,75.595,73.279,72.135,74.038,71.083,70.927,70.065,69.516,70.868,71.517,77.711,75.779,78.907,84.556,82.19,84.477,77.761,74.155,72.671,73.995,73.619,74.965,76.814,79.359,79.746,76.221,82.802
"13","5","Households and institutions","B193RG3",6.878,7.252,7.471,7.501,7.467,7.569,7.713,7.686,7.747,7.795,7.752,7.94,7.957,7.949,8.03,8.183,8.343,8.378,8.46,8.587,8.655,8.753,8.908,8.954,9.075,9.212,9.322,9.317,9.353,9.423,9.472,9.622,9.513,9.545,9.631,9.757,9.72,9.747,9.873,9.959,9.997,10.065,10.143,10.157,10.223,10.374,10.351,10.357,10.455,10.521,10.599,10.7,10.736,10.805,10.843,10.912,10.937,11.007,11.046,11.091,11.154,11.219,11.282,11.328,11.391,11.453,11.49,11.576,11.653,11.689,11.725,11.788,11.825,11.92,11.986,12.088,12.136,12.244,12.371,12.504,12.629,12.705,12.77,12.83,12.93,13.031,13.162,13.355,13.495,13.687
"14","6","  Households","B701RG3",9.12,9.385,9.768,9.883,9.881,9.987,10.13,10.136,10.142,10.195,10.216,10.466,10.494,10.455,10.578,10.609,10.882,10.922,11.118,11.114,11.085,11.466,11.777,11.735,11.77,12.035,12.247,12.281,12.269,12.344,12.396,12.536,12.493,12.425,12.541,12.687,12.695,12.692,12.787,12.827,12.87,12.972,13.079,13.101,13.106,13.314,13.336,13.34,13.378,13.46,13.577,13.678,13.715,13.758,13.827,13.868,13.894,13.965,14,14.013,14.088,14.115,14.174,14.209,14.267,14.307,14.335,14.392,14.44,14.484,14.532,14.56,14.603,14.675,14.713,14.765,14.856,14.912,14.961,15.078,15.161,15.205,15.273,15.398,15.548,15.697,15.802,15.946,16.082,16.218
"15","7","  Nonprofit institutions serving households \3\","B702RG3",3.959,4.465,4.475,4.399,4.329,4.422,4.562,4.499,4.62,4.66,4.546,4.652,4.654,4.682,4.709,5.01,5.028,5.054,4.992,5.287,5.481,5.211,5.163,5.325,5.557,5.526,5.502,5.445,5.546,5.608,5.655,5.821,5.618,5.788,5.834,5.935,5.836,5.906,6.077,6.231,6.262,6.286,6.325,6.329,6.482,6.558,6.47,6.48,6.666,6.712,6.735,6.84,6.876,6.982,6.979,7.087,7.113,7.181,7.228,7.32,7.367,7.487,7.558,7.621,7.693,7.787,7.838,7.968,8.088,8.114,8.133,8.246,8.277,8.405,8.514,8.686,8.679,8.86,9.093,9.251,9.435,9.556,9.62,9.595,9.632,9.671,9.835,10.09,10.235,10.5
"16","8","General government \4\","B765RG3",5.978,5.998,5.731,5.795,5.868,5.956,6.047,6.107,6.227,6.21,6.2,6.297,6.293,6.24,6.373,6.304,6.59,6.477,6.497,6.593,6.68,6.755,6.836,6.915,6.927,6.972,6.944,7.007,7.042,7.159,7.196,7.253,7.318,7.508,7.539,7.603,7.726,7.848,7.904,7.958,8.076,8.178,8.25,8.354,8.515,8.626,8.69,8.737,8.83,8.861,8.883,8.905,8.992,9.007,9.152,9.21,9.253,9.324,9.364,9.398,9.482,9.501,9.546,9.692,9.793,9.831,9.847,10.023,10.116,10.172,10.259,10.322,10.424,10.478,10.609,10.769,10.908,11.009,11.138,11.19,11.262,11.406,11.54,11.826,11.993,12.145,12.417,12.612,12.716,12.871
"17","9","  Federal","B766RG3",8.19,8.181,7.603,7.607,7.609,7.675,7.692,7.704,7.985,8.011,7.973,8.205,8.19,8.015,8.176,7.942,8.398,8.125,8.076,8.19,8.324,8.408,8.472,8.577,8.549,8.63,8.595,8.675,8.706,8.822,8.813,8.892,9.005,9.346,9.376,9.438,9.561,9.76,9.784,9.825,9.993,10.098,10.184,10.348,10.605,10.766,10.891,10.965,11.098,11.136,11.168,11.178,11.21,11.169,11.408,11.462,11.471,11.494,11.492,11.479,11.542,11.566,11.655,11.894,11.985,11.997,12,12.28,12.438,12.496,12.621,12.707,12.779,12.846,13.027,13.305,13.406,13.467,13.583,13.548,13.489,13.642,13.743,14.191,14.341,14.454,14.858,15.041,15.088,15.164
"18","10","  State and local","B767RG3",4.151,4.216,4.295,4.441,4.607,4.732,4.919,5.038,4.991,4.924,4.942,4.912,4.921,4.982,5.1,5.201,5.328,5.398,5.518,5.607,5.646,5.725,5.847,5.905,5.975,5.977,5.954,6.005,6.054,6.191,6.294,6.332,6.346,6.377,6.414,6.49,6.63,6.681,6.78,6.856,6.93,7.042,7.106,7.159,7.235,7.305,7.315,7.34,7.402,7.429,7.443,7.479,7.626,7.695,7.763,7.83,7.908,8.03,8.112,8.192,8.303,8.32,8.326,8.396,8.516,8.581,8.609,8.703,8.745,8.803,8.863,8.909,9.042,9.089,9.185,9.256,9.435,9.576,9.722,9.851,10.041,10.185,10.357,10.522,10.713,10.906,11.084,11.299,11.456,11.683
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009G3",9.301,9.499,9.675,9.84,10.003,10.131,10.234,10.319,10.391,10.463,10.538,10.619,10.71,10.809,10.92,11.04,11.176,11.302,11.424,11.542,11.642,11.77,11.912,12.067,12.25,12.398,12.526,12.633,12.714,12.786,12.846,12.894,12.923,12.965,13.009,13.057,13.12,13.174,13.231,13.29,13.338,13.4,13.463,13.527,13.606,13.665,13.717,13.765,13.781,13.866,13.914,13.991,14.023,14.051,14.116,14.167,14.191,14.263,14.307,14.31,14.379,14.4,14.456,14.475,14.533,14.576,14.603,14.665,14.695,14.725,14.771,14.795,14.83,14.876,14.907,14.954,15.031,15.088,15.119,15.22,15.294,15.343,15.409,15.506,15.62,15.747,15.854,15.982,16.101,16.24
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
