"","Table 3#2# Federal Government Current Receipts and Expenditures ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"24","17","  From business","W012RC1",0.9,0.9,0.9,1,0.9,1,1,1.1,1.4,2,2.4,2.9,2.9,3.7,4.2,5.2,7.4,6.3,8.2,6.8,8.7,9.9,13.3,14.3,15.1,15.9,11.4,15.6,12.1,12.7,12.4,13.4,14,13.7,14.5,15.9,16.9,19.5,21.5,29.1,46.7,43.8,45.9,28.7
"25","18","  From persons","B233RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.7,1,1,1.2,1.3,2,2.8,3.1,3.4,3.9,4.1,5,5.6,6.2,7.2,7.9,8.8,9.8,10.7,10.9,10.8,11,13.2,15.1,17.4,19.5,19.5,19.5,20.6,20.1,21
"26","19","Current surplus of government enterprises \5\","B097RC1",-1.3,-2.5,-2.8,-2.4,-3.4,-3.3,-4.4,-2.9,-3.4,-2.9,-2.7,-3.6,-2.6,-2.1,-1.9,-2.7,-1.6,-0.6,-0.5,0.7,1.1,-2.3,2.1,4.1,3.5,4,5,4.5,6.6,7.6,7.2,5.3,2.8,6.9,6.7,4.9,0.9,1.8,2,0.8,0.8,-3.1,-7.3,-13.4
"27","20","    Current expenditures","W013RC1",196.9,219.9,241.5,267.9,286.9,319.1,373.8,402.1,435.4,483.4,531.3,619.3,706.3,782.7,849.2,903,970.9,1030,1062.1,1118.8,1197.5,1286.6,1351.8,1484.7,1540.6,1580.4,1653.7,1709.7,1752.8,1781,1834.2,1907.3,2012.8,2136.7,2293.5,2422,2603.5,2759.8,2927.5,3140.8,3479.9,3721.3,3764.9,3772.7
"28","21","Consumption expenditures","A957RC1",100.4,102.3,106.6,112.2,113.9,122.5,132.9,139,149.6,162,176,202.1,231.3,255.7,277.9,292,316.8,336.5,347.8,360.8,380.2,401.8,423.9,430.2,427.7,427.3,427.7,428.4,438.7,436.4,455.6,475.1,505.4,560.3,628.5,681.4,723.4,763.9,798.4,879.8,933.7,1003.9,1008.7,1011.7
"29","22","Current transfer payments","W014RC1",64.5,79.5,95,111.5,124.6,145.5,184.1,199.2,213.7,233.6,255.6,300.2,330.5,359.8,383.5,396.5,419.3,444.7,452,480.9,520.6,569.1,596.4,717.9,765.1,800.1,839.2,886.4,915.1,943.1,981.7,1033.2,1125.1,1233.2,1323.4,1388.5,1475.1,1572.4,1673.5,1823.5,2135.6,2282.5,2274.3,2283.6
"30","23","  Government social benefits","W015RC1",46.3,56.4,66.9,73.8,85.7,104.6,134.3,145.6,154.7,165.2,185.8,223.2,254.4,285.4,306.7,312.9,329.4,348.1,360.9,381.9,415.2,451.2,498,555.7,587.7,613.3,649.4,684.5,710,724.4,743.8,777.8,845.7,922.8,973.1,1025.5,1090.9,1196.7,1272.2,1407.4,1624.9,1726.6,1745.3,1790.5
"31","24","    To persons","B087RC1",45.8,55.6,66.1,72.9,84.5,103.3,132.3,143.1,152.1,162.4,182.8,219.6,250.1,281.2,303,309.2,325.4,343.7,356.7,377.4,410.1,445.1,491.7,549.5,581.5,606.4,642.6,676.9,702.2,716.1,735.3,769.1,836.3,913.1,963,1014.9,1079.7,1184.2,1258.9,1391.9,1608.9,1710.1,1728.2,1772.5
"32","25","    To the rest of the world \6\","W016RC1",0.6,0.7,0.8,1,1.2,1.3,2,2.5,2.6,2.7,3,3.5,4.3,4.1,3.6,3.7,4,4.4,4.3,4.6,5.1,6.2,6.3,6.2,6.2,6.8,6.8,7.6,7.9,8.2,8.5,8.7,9.4,9.7,10.1,10.7,11.2,12.4,13.3,15.5,16,16.5,17.1,18
"33","26","  Other current transfer payments","W010RC1",18.2,23.2,28.2,37.7,38.9,40.9,49.8,53.6,59,68.5,69.8,77,76.1,74.4,76.9,83.6,89.9,96.6,91.1,98.9,105.4,117.9,98.4,162.2,177.4,186.8,189.9,201.8,205.1,218.8,237.9,255.4,279.4,310.5,350.3,363,384.2,375.8,401.3,416,510.7,555.9,529,493.1
"34","27","    Grants-in-aid to state and local governments","B089RC1",13.7,18.3,22.1,30.5,33.5,34.9,43.6,49.1,54.8,63.5,64,69.7,69.4,66.3,67.9,72.3,76.2,82.4,78.4,85.7,91.8,104.4,124,141.7,155.7,166.8,174.5,181.5,188.1,200.8,219.2,233.1,261.3,287.2,321.7,332.2,343.4,340.8,359,371,458.1,505.3,472.5,443.2
"35","28","    To the rest of the world (net) \6\","W017RC1",4.5,4.8,6,7.2,5.4,6,6.1,4.5,4.2,5,5.8,7.3,6.7,8.1,8.9,11.2,13.8,14.2,12.7,13.2,13.5,13.5,-25.6,20.6,21.7,19.9,15.4,20.4,17,18,18.7,22.3,18.2,23.3,28.6,30.8,40.9,35,42.3,45,52.7,50.6,56.5,49.9
"36","29","Interest payments \3\","A091RC1",27.5,33.3,35.2,37.6,43.3,48,52.5,58.9,65.3,79.1,91.5,107.5,133.4,152.7,167,193.8,213.7,224.2,232.3,247.9,269.7,289,304.4,306.9,311.4,320.8,352.3,360,365.6,365.6,352.2,353.7,331.2,302.7,292.6,306.1,344.4,372.3,408.2,388,353.6,380.6,422.6,420.6
"37","30","  To persons and business \3\","B092RC1",26.7,32.4,33.5,35.1,39.6,43.9,48.1,54.6,60,70.9,80.9,95.7,117.2,134.7,148.9,173.7,191.6,200.9,208.2,219.2,235.1,253,268.3,272.6,277.3,284.5,305.2,303.2,295.9,293.5,285.4,289.3,274.1,253.4,245.2,251.3,276.4,286.5,309.2,290.9,264.8,288,325.1,327.6
"38","31","  To the rest of the world","B093RC1",0.8,0.9,1.8,2.6,3.7,4,4.3,4.3,5.2,8.2,10.6,11.9,16.3,18,18.1,20.2,22.2,23.3,24.1,28.8,34.5,36.1,36.1,34.3,34.2,36.4,47.1,56.8,69.7,72.1,66.7,64.4,57.1,49.3,47.4,54.8,68,85.9,99,97.1,88.8,92.6,97.5,93
"39","32","Subsidies \5\","B096RC1",4.5,4.8,4.6,6.6,5.1,3.2,4.3,4.9,6.9,8.7,8.2,9.4,11.1,14.6,20.9,20.7,21,24.6,30,29.2,27.1,26.6,27.1,29.7,36.3,32.2,34.5,34.9,33.4,35.9,44.8,45.3,51.1,40.5,49,46,60.5,51.1,47.5,49.6,56.9,54.3,59.4,56.8
"40","33","    Net federal government saving","A923RC1",-5.1,-34.8,-50.8,-48.9,-37.7,-40.6,-97,-79.9,-71.9,-59.8,-44.5,-86.3,-85.8,-164.6,-205,-192.3,-195.6,-212.7,-163.2,-157.3,-156.6,-200.9,-246.2,-332.7,-311.8,-253.7,-240.8,-178.5,-91.2,2.7,66.5,155.9,14,-270.9,-403.5,-399.8,-305.4,-228.1,-266.7,-635.1,-1249.8,-1329.5,-1248.3,-1109.7
"41","34","Social insurance funds","B243RC1",5.7,1,-3,-0.6,5.9,3.2,-16.3,-16,-14.1,-4.7,0,-15.8,-14.3,-34.4,-37.9,-9.4,0.9,5.7,14.5,39.1,42.6,42.4,24.7,5.4,2.8,15.4,15.6,12.9,28.9,58.3,92.5,114.3,88.1,49.7,37.8,51.2,48.4,11.8,-4.1,-54.9,-253.1,-290.9,-271.8,-293.9
"42","35","Other","B244RC1",-10.8,-35.7,-47.8,-48.2,-43.6,-43.9,-80.7,-63.8,-57.8,-55.1,-44.5,-70.5,-71.5,-130.3,-167.2,-183,-196.5,-218.3,-177.6,-196.4,-199.3,-243.3,-270.9,-338,-314.6,-269,-256.5,-191.4,-120.1,-55.6,-26,41.6,-74.2,-320.7,-441.4,-451,-353.9,-239.9,-262.7,-580.2,-996.7,-1038.6,-976.4,-815.8
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","  Total receipts","W018RC1",195.4,188.8,195.3,224.4,254.3,283.3,281.7,327.8,370.7,428.8,492.3,539.6,627.3,625.5,650,716.6,781.6,824.3,906.2,969.1,1049.7,1097.3,1116.6,1163.4,1241.7,1341.8,1427.8,1548.6,1682.2,1808.9,1929.5,2091.3,2054.8,1891.1,1911.9,2046.8,2323.1,2559.6,2687.3,2534,2250.7,2406.8,2526.3,2677.1
"45","37","    Current receipts","W005RC1",191.8,185.1,190.7,219,249.2,278.5,276.8,322.2,363.5,423.6,486.8,533,620.4,618,644.2,710.7,775.3,817.3,899,961.4,1040.8,1085.7,1105.6,1152.1,1228.8,1326.7,1412.9,1531.2,1661.6,1783.8,1900.7,2063.2,2026.8,1865.8,1889.9,2022.2,2298.1,2531.7,2660.8,2505.7,2230.1,2391.7,2516.7,2663
"46","38","    Capital transfer receipts","B232RC1",3.6,3.7,4.6,5.4,5.1,4.8,4.9,5.6,7.2,5.2,5.5,6.5,6.9,7.5,5.8,6,6.4,7,7.2,7.6,8.9,11.6,11,11.3,12.9,15.1,14.9,17.5,20.6,25.2,28.8,28.1,28,25.3,22,24.6,25,27.8,26.5,28.3,20.6,15.1,9.6,14.1
"47","39","  Total expenditures","W019RC1",207.9,227.8,245.8,272.5,289.6,322.4,385.1,414.4,450.7,502,553,644.3,731.6,810.9,883.2,946,1028.4,1088.6,1125.7,1170.1,1244,1341.1,1397.3,1522.5,1570.4,1603.6,1669.5,1730.7,1763.9,1798,1867.6,1939.5,2054.5,2201.4,2381.7,2517.5,2720.4,2853.8,3042.2,3315.8,3727.3,3916.3,3926.4,3891.9
"48","40","    Current expenditures","W013RC1",196.9,219.9,241.5,267.9,286.9,319.1,373.8,402.1,435.4,483.4,531.3,619.3,706.3,782.7,849.2,903,970.9,1030,1062.1,1118.8,1197.5,1286.6,1351.8,1484.7,1540.6,1580.4,1653.7,1709.7,1752.8,1781,1834.2,1907.3,2012.8,2136.7,2293.5,2422,2603.5,2759.8,2927.5,3140.8,3479.9,3721.3,3764.9,3772.7
"49","41","    Gross government investment","A787RC1",30.7,30.5,27.8,29.3,31.7,35.7,39.8,44.7,49.2,54.7,61.7,70.3,80.4,90,102.3,115.6,132.5,141.9,152.4,148,151.2,158.2,156.8,156.4,150.7,145.4,147.7,149.8,143.7,147.7,154.9,157.4,163.8,180.3,196.4,211,222.9,238,251.4,275.8,284,300,295.4,284
"50","42","    Capital transfer payments","W020RC1",5.9,5.3,5.9,6.1,6,7.9,9.7,10.6,11.2,12,14.5,16.7,15.7,14.7,15.6,17.8,19.6,20.1,19.1,19.8,20.2,28.2,26.5,22.6,24.3,26,27.9,28.4,29.2,28.9,36.6,37,42.5,49.7,63.1,64,85.3,71,79.4,145.9,206.9,141.4,123.4,98.7
"51","43","    Net purchases of nonproduced assets","AD08RC1",0.1,-0.3,-0.4,-0.7,-3.2,-5.7,-0.4,-2.4,-1.4,-0.6,-2.8,-4.1,-5.5,-3.7,-4.9,-4,-1.2,-3,-0.4,-0.2,-0.7,-0.8,0.1,0.2,0.2,0.1,-7.9,-4.8,-8.8,-6,-1.2,-0.6,-1.5,-0.3,-0.9,-0.8,-2,-14.4,-3.3,-20.4,-8.9,-1,-0.9,-1.4
"52","44","    Less: Consumption of fixed capital","A918RC1",25.8,27.6,29,30.1,31.7,34.7,37.8,40.6,43.7,47.5,51.8,57.9,65.3,72.7,79,86.4,93.3,100.3,107.5,116.3,124.2,131.1,137.9,141.4,145.3,148.3,151.9,152.4,153,153.6,156.8,161.5,163.3,165,170.3,178.6,189.4,200.7,212.8,226.3,234.5,245.3,256.5,262.3
"53","45","  Net lending or net borrowing (-)","AD02RC1",-12.5,-38.9,-50.5,-48.1,-35.3,-39.1,-103.4,-86.6,-80,-73.2,-60.7,-104.8,-104.3,-185.4,-233.2,-229.4,-246.8,-264.3,-219.5,-201,-194.3,-243.8,-280.8,-359.1,-328.8,-261.7,-241.6,-182,-81.7,10.9,61.9,151.7,0.3,-310.3,-469.8,-470.7,-397.3,-294.2,-354.9,-781.8,-1476.7,-1509.5,-1400.1,-1214.8
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1. Includes dividends tax for 1933-34 and automobile use tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","for 1942-46 as shown in table 3.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Includes the capital stock tax for 1933-45 as shown in table 3.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Prior to 1960, interest payments to persons and business (line 30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","and interest receipts (line 13) are not shown separately, but are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","included in interest payments (line 29), which is shown net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","interest receipts.  Interest payments to persons and business includes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","interest accrued on the actuarial liabilities of defined benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","pension plans for federal government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","4. Rents and royalties are receipts from the leasing of federally owned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","lands and mineral deposits. These values do not include bonus payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","made to secure such leases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Prior to 1959, subsidies (line 32) and the current surplus of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","government enterprises (line 19) are not shown separately; subsidies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","6. Prior to 1960, government social benefits to the rest of the world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(line 25) are included in line 28, ""Other current transfer payments to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","of the world (net).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
