"","Table 3#9#1# Percent Change From Preceding Period in Real Govern","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","      Gross investment \2\","A782RL1",NA,8.7,68.6,29.7,62.4,32.8,13.9,27.6,40.7,56.2,39.2,-7.8,-26.6,17.7,14.4,2.6,82.2,106.3,72.6,62.2,1.9,0.6,4.2,9.3,25,13.1,-1.2,-11.1,10.5,-10.9,-19.4,-7.5,1,7.7,-16.2,-5.9,10.7,8.2,11.4,10.2,11.1,-4.6,9.3,3.7,12,6.4,8,16.5,22.3,0.3,0,-12,2.8,0.8,18.2,0.3,33,-11.8,14.4,16.1,3,-2.4,10,0.9,-0.9,1.3,22.6,-7.3,5,5.1,0.1,0.7,-4.9,3.4,16.6,2.9,20.1,-5.4,16.7,12.5,11.8,-10.2,6.3,-0.6,-4.1,4.8,-1.6,-6.8,7.9,-18.1
"12","4","        Structures","A760RL1",NA,42.4,56.1,57.4,16.1,53.5,34.5,12.6,37.1,61.3,65.4,7.5,-5.5,23.9,1.5,5.8,19.6,56.8,13.9,8.6,22.6,2.2,1.4,12.5,12.4,-7.4,0.7,19.3,25.6,-11.9,7.7,-6.7,8.8,2.6,-15,-4.2,9.1,9.4,5.5,0.2,20,-4.4,3.1,9.7,29.9,-0.8,17.2,19.8,2.3,-2.8,-14,-23.2,6.8,15.7,17.1,6,31.9,-25.4,7.6,30.7,-12.2,2.1,-2.3,8.6,7.1,1.3,27.2,-16.2,8.6,13.1,1.2,-0.9,-3.6,16.9,21.7,5.8,5.1,-5.5,-1,14.1,10.2,-9.3,-7.6,8.7,3.5,12.2,1,-2.6,-7.8,-3.4
"13","5","        Equipment","Y054RL1",NA,-48.1,490.2,2.7,285.7,25,-23.6,106,89.9,98,14.1,-42,-73.3,4.6,87.4,3.3,581.6,351.7,264.2,168.6,-18.3,-3.6,5.3,6.7,46.7,39,-7,-38.3,-4.9,-15,-49.3,-14.7,-10.7,7.3,-27.5,-22.7,-1.8,-5.7,12.6,22,-7.3,-18.3,20.1,-7.5,-7.2,21.5,-4.1,17.3,79.4,1.2,20.4,-7.9,-6.5,-25.7,25.6,-15.1,55.1,-7.6,30.9,2.8,23.3,-16.5,25.4,-19.8,-28.6,-12.9,17.6,-6.5,-6.7,-9.5,-7.9,-2.7,-16.9,-26.3,15.9,-14.4,76,-26.2,85.4,21,25.8,-23.8,44.8,-20.4,-22.7,-6.6,-12.4,-27.4,69.6,-60.1
"14","6","        Intellectual property products","Y055RL1",NA,1.4,8.4,10.3,13.5,18,7.4,8.5,5.8,5.6,8.1,7.4,9.5,5.5,2.6,3.3,-1.8,4.1,8.2,10.6,12.2,11.3,12.7,10.2,10.8,10.7,13.3,14.5,16.3,12.3,10.9,10.7,9.3,20.6,25.2,33.3,36.5,32.4,28.8,21.5,18,15.9,10.7,7.8,4.7,3.5,6.3,7.2,8.6,7.3,7.6,6.2,11,15.7,10.6,9.5,11.6,14.2,11.6,8.7,8.2,12.2,16.1,19.6,23,19.1,19.8,6.8,8.8,6.7,5.4,5.2,4.6,9.4,10.2,12,13.8,10.6,8.4,5.5,2.8,2.5,2.3,3.4,2.7,2.7,2.2,1.4,1,-1.3
"15","7","          Software","Y056RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,43.1,39,41873.9,1098.1,125.2,84.7,-76.8,-8.5,3.9,54.6,37.6,31.8,15.7,24.9,31,33.9,3289.8,-94.3,224.5,2,18.9,20.8,-51.7,320.3,38.5,23.4,30.3,48.2,75.5,36.5,11.2,-2.4,11,8.6,8.2,29.4,34.4,22.7,43.1,44
"16","8","          Research and development","Y057RL1",NA,1.3,8.4,10.4,13.5,18,7.4,8.5,5.8,5.6,8.1,7.4,9.5,5.5,2.7,3.3,-1.8,4.1,8.3,10.6,12.2,11.3,12.7,10.2,10.8,10.8,13.3,14.5,16.3,12.3,10.9,10.7,9.4,20.5,25.2,33.3,36.5,32.4,28.8,21.5,18,15.9,10.7,7.8,4.7,3.5,6.3,7.2,8.6,7.3,7.7,6.4,11,15.1,10.4,9.2,12.4,14.2,11.6,8.5,8,12.1,16.1,19.5,22.9,19,15.4,10.5,7.7,6.8,5.3,5,5.5,7.8,9.8,11.8,13.6,10.1,7.5,4.9,2.6,2.6,2.1,3.3,2.6,2.2,1.6,0.9,0.1,-2.3
"17","9","Federal","A823RL1",NA,2.5,-1,-7.9,8.9,15.7,8.9,19,8.2,15.3,-4.3,-17.3,-15.9,9.5,-11.1,60.8,97.8,107.4,82.3,34.2,17.3,16.5,10.2,5.8,14.8,12.1,-9.3,-5.2,-18.3,-18.7,-16.4,-4.5,-7.4,-8.1,4.1,-12.7,-2.5,10.1,-6.2,14.1,8.3,-5.1,2,5,-11.4,13.2,-1.3,9.1,-7.9,7.6,5.4,-3.9,-14.2,0.8,12.8,1.5,1.3,3.4,12.4,7.6,15.8,1.4,12.5,1.9,-12.9,-1.8,24.7,-9.9,-2,-0.2,-2.2,-3.3,-3.4,0.8,15.6,9.3,9.9,11.4,16.5,4.6,28.4,-4.2,6.8,0.3,7.1,-2.1,-2.2,-1.9,-1.1,-5
"18","10","    Consumption expenditures","A957RL1",NA,0.9,-11,-13.1,-3,15.2,10.4,16.6,0.4,9.5,-13.2,-16.8,-4.7,6.3,-17.9,79.4,73.7,87.2,67.9,13.7,26.3,21.6,10.2,5.9,9.4,9.9,-10,4,-23.5,-19.6,-8.6,-2.2,-5.8,-12,13.2,-13.6,-5.4,9.2,-14.7,13,11.5,-4.5,-2.6,8.5,-17.3,13.9,-3,5.9,-20.9,9.9,5.1,-1.8,-19.3,4,9.7,2.4,-11.9,7.9,11.4,7.9,17.4,3.3,13.3,3.2,-13.5,-3.7,24.9,-7.5,-5.5,0.9,-2.6,-5.8,-1,3.6,17.3,12.7,1.3,20.3,11.9,3.6,37.1,0.4,1.6,3.7,14.4,-1.5,-1.2,0.8,-7.4,4.8
"19","11","    Gross investment","A787RL1",NA,21.2,144.2,35.7,111.8,18.4,1.7,32,54.2,44.5,42.7,-19.1,-50.4,25,24.4,2.4,235,197.6,135.6,111,-3.3,3.4,10.1,5.5,31.6,18.5,-7.5,-27,-1,-16.1,-35.5,-11.3,-12.7,5.6,-20.8,-9.3,7.8,13.1,24.9,17.2,-0.5,-6.8,16.2,-4.6,7.9,11.3,3.5,18.2,34.8,2.3,6.1,-8.7,-0.9,-6.3,20.6,-0.7,38.1,-5.6,14.4,6.8,12.5,-2.7,10.9,-1.1,-11.5,2.7,24.2,-15.3,6.7,-2.6,-1.2,2.8,-8.8,-5.7,11.7,1,35,-8.3,29.3,7,8.2,-16,22.5,-8.5,-11.5,-4,-5.1,-10.2,21.1,-30.1
"20","12","      Structures","A801RL1",NA,11167.8,525.3,249.4,42.6,17,29.1,-26.7,50,31.5,241.1,16.8,-43.7,66.9,-16.4,9.6,193.3,166.3,47.9,45.9,38.2,18.1,20.6,2,15.8,-18.2,-21.8,-12.5,5.5,-32.9,-15.3,-18,-34.8,-19.6,-30.9,-18.9,-2.1,48.1,57.6,-0.4,-2.2,-8.4,17.5,-12.1,58.6,-1.1,23.1,35.5,-8.4,-1,-25.5,-34.7,5.2,24,22.9,22.6,41.6,-31.2,-14.7,13.2,-9.2,19.5,-33.6,27.1,-22.8,15.2,51.7,-67.8,53.6,-7,2.6,12.4,-22.5,14.8,9,10.2,13.9,-15.8,-10.9,-18.1,-29.9,-40,34,-9.7,-10.4,-18,-2.6,10.3,-19,4.2
"21","13","      Equipment","Y058RL1",NA,-50.7,380.4,-7.6,418.8,18.4,-16.6,116.2,102.6,81.6,10.7,-44.8,-75.7,16.5,97.7,-2.8,663.3,377.6,261.9,178.7,-17.7,-3.4,5.3,6,44.2,38.6,-6,-38.5,-7.2,-15.8,-50.8,-15.3,-10.4,10.2,-31.8,-22.1,-2.2,-6.2,11.5,22.1,-10.1,-19,19.6,-9.5,-6.6,23.9,-6.2,18.9,84.9,0.7,20.1,-7.2,-9.7,-27,27.9,-15.1,60.2,-7.4,29,3.5,24.1,-18.3,26.1,-21.1,-30.6,-14.8,19.4,-7,-6.9,-10.7,-9.6,-3.1,-18.3,-28.9,15.5,-16.5,85.8,-27.2,91.7,19.8,31.5,-27.9,49.4,-20.6,-27.2,-8.4,-15.2,-30,79.8,-63.8
"22","14","      Intellectual property products","Y059RL1",NA,1.5,8.8,10.8,13.9,18.4,7.4,8.5,5.6,5.4,7.9,7.2,9.5,5.4,2.5,3.1,-2,4,8.3,10.7,12.3,11.4,12.7,10.3,10.8,10.7,13.3,14.4,16.2,12.2,10.9,10.8,9.4,21.1,25.9,34.2,37.6,33.3,29.4,21.8,18.2,16,10.7,7.8,4.6,3.4,6.3,7.3,8.7,7.3,7.6,6.2,10.8,15.5,10.5,9.4,11.7,14.3,11.6,8.6,8.2,12.2,16.2,19.6,23.1,19.1,19.7,6.6,8.7,6.7,5.4,5.1,4.4,9.3,10,11.8,13.8,10.4,8.2,5.1,2.5,2.3,2.2,3.3,2.6,2.6,2,1.2,0.7,-1.7
"23","15","        Software","Y060RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.2,-1.1,51.4,51,42.9,1.7,-1.6,0,0,10886,-98.8,542.2,-1.5,38.2,38.8,-73.1,654.9,29.5,10.8,26.8,50.5,105.8,37.2,14.5,-2.2,24.2,9.9,10.7,34.6,44.4,26,47.6,47.8
"24","16","        Research and development","Y061RL1",NA,1.5,8.8,10.8,13.9,18.4,7.4,8.4,5.6,5.5,8,7.2,9.5,5.4,2.5,3.1,-2,4.1,8.3,10.7,12.4,11.4,12.8,10.2,10.9,10.7,13.3,14.4,16.2,12.2,10.9,10.8,9.5,21,25.9,34.2,37.6,33.3,29.4,21.8,18.2,16,10.7,7.8,4.6,3.4,6.3,7.2,8.7,7.3,7.7,6.3,11,15.2,10.4,9.2,12.4,14.3,11.7,8.5,8,12.1,16.3,19.7,23.2,19.2,15.5,10.5,7.7,6.7,5.2,4.9,5.3,7.8,9.8,11.8,13.7,10,7.4,4.7,2.4,2.4,1.9,3.2,2.5,2.1,1.5,0.8,-0.1,-2.6
"25","17","  National defense","A824RL1",NA,-19.5,16.4,9.8,-5.8,-9.7,-3.5,15.9,10.4,7,-0.7,-21.3,-13.3,3.7,26.4,71.9,145.8,122.6,101.6,38,13,22.3,9,6.5,11.8,3.1,-4.3,-6.9,-22.4,-15.2,-16.8,-12.3,-0.8,-12.6,4.3,-11.4,-1.4,10.3,-1.1,12.6,3.8,3.2,3.7,-4.5,-3.1,4.5,0,3,-12.1,-5.2,6.6,-3.2,-5.5,-2.9,13.1,-4,11,-1.6,12.7,7.5,15.4,-4,7,0.3,-13.7,-2.4,17.1,-10.4,-5.9,-4.8,-0.8,-5.6,-6.8,-1.7,12.8,11.8,14.6,9,26.3,10.7,24.6,0.7,9.6,-3.5,9.2,-0.3,-6.5,-3.4,-3.1,-7.4
"26","18","    Consumption expenditures","A997RL1",NA,-19.8,3.8,7.8,-14.8,-14.8,-1.8,11.1,1.8,-1,-2.5,-19.1,1.9,4.9,20.4,78.5,114.9,94.4,79.6,15.2,21.8,27.8,7.3,6.1,3.2,-3.7,-2.5,3.4,-29.9,-14.6,-7.8,-13.4,3.1,-17.5,12.4,-11.1,-2.7,11.4,-7.6,9.9,6,9.1,-0.1,-4.3,-4.3,2.4,-2,-2.6,-27.5,-8.1,5.7,1.5,-5.8,3.5,9.8,-3.2,-0.6,0.2,11.5,10,17.3,-1.4,6.9,5.8,-10.4,-1,15.4,-3.7,-8.3,-2.9,1,-5.8,-3.2,4.1,13.3,19,7.2,18.1,18.8,8.8,24.9,5.8,4,0.4,17.7,1.7,-6.7,0,-11.5,4
"27","19","    Gross investment","A788RL1",NA,-16.1,227.3,26.5,80.4,25.4,-12.3,45,62.9,49.9,7.5,-29.6,-59.6,-2.3,63.5,43.1,359.5,275.4,193.3,127.1,-7.4,8.2,13.6,7.7,39.1,22.9,-8.6,-29.7,2.4,-16.9,-37.4,-9.4,-11.5,3.4,-16.8,-12.1,3.1,6.9,20.7,20.4,-2.2,-12.2,15.6,-5.1,0.4,10.7,5.8,20.3,40.9,1.4,8.4,-12.8,-4.7,-16.1,21.3,-6,42.5,-5.7,15.5,2.4,11.3,-9.7,7.1,-11.6,-21.4,-6.2,21.2,-25.8,0.8,-10,-5.7,-5,-16.6,-17.6,11.2,-9.6,44.2,-17.4,55.8,17,23.6,-15,31.1,-16.1,-17.6,-7.9,-6,-16.4,39.5,-42.1
"28","20","      Structures","A808RL1",NA,16777.7,3460.3,413.8,32.3,-16.3,20.6,-50.6,95.2,-48.2,14.2,107,-41.7,9.5,125.9,578.9,603.6,346,98.1,62,44.9,53.4,37.2,3.5,15,-20.4,-24.4,-18.1,19.9,-41.7,-17.8,-5.1,-32.4,-15.5,-32.1,-23.8,-14.1,24.1,34.4,3.9,-3.8,-16.6,14.9,-11.1,29.7,-3,36.3,48.5,-14.5,-12.8,-29.3,-47.4,-4.2,5.7,42.2,16.2,53.8,-30.2,-37,4.2,-10.6,6,-58.2,12.9,-25.8,8,130,-95.6,221,-32,27.5,-1.9,-51.9,14.1,39.1,-6,13.9,-13.7,27.5,-29.8,11.8,-44.7,59,-21.4,-8.4,-28.9,73,30,-14.8,22.7
"29","21","      Equipment","Y050RL1",NA,-63.2,1258.4,8.1,238.5,49.8,-30,138.8,113.1,116.1,12.6,-47.7,-78,-2,118.6,15.6,696.7,411.6,302.9,176.7,-20.9,-4.1,5.4,7.5,50.7,41.3,-8.4,-39.7,-5.5,-15,-50.8,-15.8,-10.4,4.3,-24.8,-24,-6.2,-7.6,14,24.2,-10.9,-22.2,22.1,-7.6,-5.5,21.6,-2.8,17.4,85.5,1.1,22.4,-10.1,-7.4,-28.1,26.8,-17.5,60.6,-9.5,36.1,2.5,23.2,-17.2,27.7,-21.3,-33,-14.3,17.5,-8.2,-10,-11.6,-9.7,-5,-18.2,-30.6,17.7,-17.4,89,-32,101.9,24.4,28.4,-25.7,51.2,-23.3,-24.2,-7.5,-15.2,-32.3,82.1,-66.7
"30","22","      Intellectual property products","Y052RL1",NA,-0.9,4.5,4.3,5.7,13.9,4,3.9,2.9,1.6,-3.5,-6.4,-8.1,-6,-2.6,4.6,4.1,11.4,17.3,19.1,19.9,19.4,20.9,17.2,26.2,18.2,19.9,18.3,18.5,14.7,11.8,9.8,8,18,25.3,34.7,39,31.6,26.9,22.8,16.6,10,5.7,2.1,-1.5,1.2,7.3,12,13.2,10,4.7,0.3,0.3,1.1,6,7.6,13,14.2,7.3,1.6,-0.9,0.6,2.1,2.9,4.9,4.5,6.4,-3.5,-0.5,-2.5,-5,-5.5,-5.6,-1.7,-0.8,1.1,3.5,7.7,11.5,16.5,18,11.1,2.4,-2.5,-8.3,-4.9,-1,2.2,6.3,0.9
"31","23","        Software","Y053RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1,1.1,-1.1,218.8,143.7,0,-60.4,0,-0.9,31999.2,-99.3,887.2,-1.6,-40.3,142,-87,1452.7,37.5,-1.9,77.6,60,50.8,74.9,-20.6,-4.2,18.7,13.3,14.7,15.2,51.4,11.5,31.3,27.6
"32","24","        Research and development","Y076RL1",NA,-0.9,4.5,4.3,5.7,13.8,4,3.9,2.9,1.5,-3.5,-6.4,-8.1,-6.1,-2.6,4.6,4.1,11.4,17.2,19.1,19.9,19.4,20.9,17.2,26.2,18.2,20,18.3,18.5,14.6,11.8,9.8,8,18,25.3,34.6,39,31.6,26.9,22.8,16.6,10,5.7,2.1,-1.5,1.2,7.3,11.9,13.1,10,4.7,0.4,0.5,0.9,5.8,7.6,13.6,14.2,7.3,1.6,-1.2,0.3,2.1,3.2,4.9,4.5,3.3,-0.8,-1.4,-2.5,-4.8,-5.9,-4.7,-3.1,-1,1.1,3.1,7.3,11.2,15.9,18.6,11.3,2.3,-2.7,-8.5,-5.1,-1.6,2.1,5.9,0.6
"33","25","  Nondefense","A825RL1",NA,220.9,-47.6,-58.9,112.8,203.1,60.9,28.7,1.8,42.4,-13.4,-4.8,-22,26.6,-71.3,20.8,-32.7,38.4,-8.3,8.9,55.2,-20.2,20,-0.1,41.7,98.2,-36.3,7,13.1,-37.8,-13.2,60.3,-38.7,24.8,3.4,-19.9,-8.9,9,-34.6,25.3,43.8,-47.4,-10.1,107.2,-52.8,99.2,-10,56.3,19.7,102.2,0.3,-7,-47.7,22.7,11.4,33.4,-36.1,33.9,10.6,7.6,17.9,31.4,40.6,8.8,-9.4,0.8,59.5,-8.1,13.8,17.6,-6.8,4.8,8.6,9,25,1.8,-4,19.7,-10.9,-14.8,43.2,-20.6,-3.3,16.7,-0.3,-8.9,16.6,3.6,6.5,4.2
"34","26","    Consumption expenditures","A542RL1",NA,208.2,-52.7,-69.3,86,300.7,62.1,35.3,-3.7,45.3,-37,-9.5,-21.3,9.8,-81.2,85.2,-49.8,48,2,2.6,66.1,-17.8,35.8,3.7,67,143.7,-42.9,7.4,25.1,-42.7,-13.1,87.5,-41,23.5,17.5,-25.5,-18.5,-3.1,-49.5,36.7,53.5,-62.4,-20.4,175.5,-72,156,-10.3,80.9,26.6,143.6,2.8,-14.1,-61.2,7.3,9,35.3,-52.8,59.8,11,-2.2,17.8,30.5,47.9,-7.6,-26.6,-16.3,80.5,-23,8.3,19.1,-16.9,-5.7,9.2,1.5,35.7,-11,-21.8,31.2,-16.7,-20.2,121,-22.5,-10.2,22.9,-1.7,-17.2,34.2,5.1,15.9,8.8
"35","27","    Gross investment","A798RL1",NA,341.3,1.2,70.6,242.7,-0.6,52.9,1.5,30.9,29.3,211.8,12.1,-25,91.8,-23,-51.4,30.3,17.4,-28.9,24.9,32.4,-25.9,-13.9,-11,-18.9,-18.1,4,5,-28.6,-8.2,-13.3,-28.2,-23.5,31.8,-52.5,27.4,67.1,86,62.6,-5.1,13.8,44.3,20.8,-1.2,68.8,14.9,-8.9,6.3,0.9,8.7,-8.1,23.6,25.8,69,17.4,29.1,19.1,-5.4,9.6,30.6,18.2,33.3,26.9,49.3,29.7,33.1,32.5,19,21.9,15.7,9,20.3,7.8,19.2,12.7,20.4,21.7,7.9,-4,-8.4,-15.7,-17.9,6.6,9.1,1.6,3.6,-3.5,1.5,-6,-2.5
"36","28","      Structures","A830RL1",NA,10421.1,209.6,178.2,48.1,42.3,34,-10.8,32.9,93.6,380.4,-0.6,-44.2,88,-38.8,-58.8,24,25.6,-15.3,15.7,23.9,-41,-19.7,-2.4,19.1,-9.9,-13.2,6.5,-29.1,3.1,-7.7,-47,-42.2,-32.4,-26.1,0.6,46.2,136.7,127.4,-9.2,1.1,11.6,22.8,-13.6,131.1,2.6,2.3,13.2,4.7,24.9,-18.4,-8,20.2,53.3,1.3,32.1,26.7,-32.5,25.4,24.8,-7.6,35.7,2.7,40.1,-20.4,20.9,7.2,8.6,9.2,8.9,-7.8,20.3,-4.3,15.1,-1.6,17.8,14,-16.6,-24.4,-12,-44.4,-37.4,22.3,-2.5,-11.5,-11.6,-30,-1.4,-22,-8.2
"37","29","      Equipment","Y066RL1",NA,6.7,-91.8,-78.9,11944.8,-76,173.7,9.6,38.7,-66.6,-12.1,7.6,-34.5,303.6,-1.6,-80.7,341.9,60.6,-76.3,245.6,192.8,12.6,-0.2,-28.1,-64.3,-39.5,189.3,15.7,-50.9,-43.9,-51.4,10.8,-8.9,540.2,-99,269.1,509.9,52.2,-50.2,-41.1,36.2,240.9,-38.5,-59.7,-45.6,171.9,-83,141.7,53.2,-16.6,-56.6,335.6,-70.3,46,82,124.3,48.5,79.1,-77.3,50.3,60.6,-48.5,-25.4,-11.7,150.1,-29.7,89.9,33.8,94,7.6,-8.5,36.9,-19.4,7.8,-15.8,1.6,36.1,114.2,-13.2,-40.1,103.6,-59.6,16.1,55.4,-67.3,-25.8,-15.4,41.7,37.3,56.3
