"","Table 5#3#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"26","19","      Entertainment, literary, and artistic originals","Y020RL1",-6.6,8.9,-0.4,-10.6,9.3,12.2,4,16.3,-1.9,7.2,2.2,10.6,-6.9,20.7,-4.1,7.5,-5.3,11.4,9,-0.8,4.7,-5.7
"27","20","Residential","A011RL1",19.4,-7.4,36.4,-16.1,-1.6,3.7,8.4,16.1,-7.9,-5.9,1.1,25.1,-6.8,0.4,9.6,11.7,6,-2.6,-8.4,-2.6,13.5,3.1
"28","21","  Structures","A012RL1",19.8,-7.4,36.6,-16.2,-1.7,3.7,8.5,16.1,-8.2,-6,1,25.3,-6.8,0.4,9.6,11.7,6,-2.8,-8.6,-2.7,13.4,2.9
"29","22","    Permanent site","A943RL1",24.1,-5.6,47.1,-20.1,-5.8,3.3,10,18.2,-13.4,-9.1,2.5,27.4,-11.7,-0.5,14,13.4,6.7,-4.4,-12.3,-4.7,17.5,2.9
"30","23","      Single family","A944RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1,-11.6,-5.2,6.7,6.8,9.7,-2.3,-10.9,-2,9.9,-5.1
"31","24","      Multifamily","C292RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,-12,26,45.4,34.2,-0.7,-10.1,-16.2,-13.1,44.5,24.4
"32","25","    Other structures \7\","A863RL1",10.2,-12,7.4,-1.2,11,4.7,4.8,10.5,6.8,1.2,-2.3,20.6,4.5,2.3,1.2,8,4.3,0.9,-0.3,1.2,5.6,2.9
"33","26","  Equipment","B013RL1",3.8,-6.2,26,-7.5,-0.6,5.2,3,13.8,10.7,0.3,6.2,15,-6.2,0.3,6,11.5,7.2,11.7,2.3,2.5,19.2,14
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Private fixed investment in structures","A349RL1",13.9,-5.8,25.3,-8.3,-1.2,5.8,6.4,12.6,-1,-3.4,-2,15.2,-1,0.8,7.5,7.3,7.7,4.8,-1.6,-2.6,7.5,4
"36","28","  Private fixed investment in new structures","W040RL1",16.5,-5.4,26,-8.5,-1.6,5.9,6.1,12.2,-0.2,-3.1,-1.7,14.1,-1,1,7.2,6.7,7.8,4.7,-1.5,-2.9,7.2,4.1
"37","29","    Nonresidential structures \8\","A771RL1",8.5,-2.1,7.8,8.2,-0.4,8.9,3.4,5.7,12.6,-0.4,-5.5,2.9,8.1,1.7,5,1.2,10.1,15.1,6.4,-2.8,1.4,5.5
"38","30","    Residential structures \9\","A756RL1",22,-7.5,37.7,-17,-2.4,3.7,8,16.8,-8.4,-5.3,1.6,23.2,-7.2,0.5,8.9,10.9,6.1,-3.1,-8.4,-3,13.1,2.8
"39","31","  Private fixed investment in information processing equipment and software","A679RL1",3.2,-10.9,10.4,10.2,15.7,9.9,-10.1,15,15.8,13.1,-10.4,8.8,23,9.7,11,18.5,14.6,18.8,31.7,7.2,6.5,21.7
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Research and development investment excludes expenditures for software development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Software development expenditures are included in software investment on line 17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","7. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","brokers' commissions on the sale of residential structures and adjoining land, and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","8. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","9. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
