"","Table 1#17#1# Percent Change From Preceding Period in Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","2","    Gross domestic income","A261RL1",NA,-0.3,0.6,3.8,11.3,9.6,0.3,2,-7.6,-1.1,2.4,-5.5,17.3,17.4,16.1,8,2.1,7.3,7.2,3.6,2.7,2.4,3.8,12.8,7.3,2.8,-2.5,-7.8,1,0.7,3.6,8.7,11.4,8.4,5.3,3.1,0.4,4.2,0.4,7.1,1,-0.3,1.8,-4.3,-8.3,1.2,9.1,8.8,9.4,11.3,-3.2,2.8,9.2,-0.1,-0.1,-2.2,0.9,7,6.5,9.8,4.9,4.5,4.1,4.8,3.4,6,5.5,3.5,6.8,6,5.8,3.9,9.2,5.2,5.8,9.1,9.1,2.7,2.8,3.6,2.4,2.2,4.3,4.1,6.2,6.3,5.3,2.5,3.9,2.8
"12","3","    Net domestic product \1\","A362RL1",NA,-0.9,-0.7,7.4,6.9,7.6,2.5,0.4,-6.2,-1.7,4.8,-4.1,19.1,14.1,18.1,8.5,5.8,7.5,9,0.4,4.2,0.3,2.6,14.8,7.8,2.8,-3.2,-7.3,-2.8,-0.2,4.6,8.5,12.9,6.9,5.6,2.2,-2.3,3.2,-1,7.1,2.4,-1.6,3.9,-5.3,-12,2.4,10.4,10.6,8.3,11.2,-1.3,1.4,10.1,-2.2,0.6,-5.9,2.6,8.2,7.3,9,7.8,4.4,3.8,1.1,4.5,5.4,8.5,2.6,9.5,4.9,5.6,0.9,10.9,5.6,8.7,10.3,10.8,1.1,2.5,3.1,3.4,-0.4,3.2,2.9,8.8,7.1,2.6,1.3,6.5,0.8
"13","4","    Net domestic income \1\","W256RL1",NA,-0.8,0.4,4.4,13.1,10.9,0.3,2.1,-8.8,-1.4,2.5,-6.4,19.5,19.5,17.8,8.5,1.9,7.6,7.5,3.4,2.4,2,3.5,13.7,7.5,2.4,-3.5,-9.4,0.4,0.2,3.5,9.3,12.4,9,5.4,2.9,-0.2,4.1,-0.1,7.5,0.5,-1,1.4,-5.5,-10.2,0.6,9.9,9.6,10.5,12.6,-4,2.8,10.1,-0.6,-0.5,-3,0.4,7.4,6.9,10.7,4.9,4.6,4.1,4.8,3.3,6.2,5.6,3.3,7.1,6.2,5.9,3.7,9.7,5.2,5.7,9.5,9.4,2.2,2.4,3.3,1.9,1.7,4.1,3.9,6.3,6.4,5.3,2.1,3.6,2.5
"14",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","5","    Gross national product","A001RL1",NA,-0.4,-0.4,6.5,6.2,6.7,2.3,0.4,-5.4,-1.4,4.4,-3.7,17,12.7,16.7,7.9,5.5,7.5,8.6,1,4.1,0.8,2.9,13.7,7.6,3.3,-2.5,-5.9,-1.7,0.4,4.6,8.3,11.9,6.6,5.5,2.5,-1.2,3.3,-0.2,6.3,3,-0.7,3.8,-4.6,-9.9,2.7,9.4,9.6,7.6,10,-0.6,1.7,9,-1.4,1.1,-4.6,2.9,7.4,6.8,8.4,7.3,4.6,3.9,2,4.3,5.2,8,2.9,9.2,4.7,5.6,1.2,10.6,5.6,8.1,9.4,10.3,1.6,2.8,3.6,3.7,0.3,3.7,3.2,8.4,6.9,3,1.8,6.3,1.2
"16","6","    Gross national income","A023RL1",NA,-0.2,0.6,3.9,11.5,9.6,0.3,2,-7.7,-1.2,2.3,-5.7,17.3,17.4,16.4,7.9,2,7.6,7.2,3.7,2.5,2.4,3.7,12.7,7.2,3,-2.8,-7.8,1.2,0.7,3.6,9,11.4,8.3,5.3,3.1,0.7,4.1,0.5,6.7,1.4,-0.1,1.6,-4.8,-8.2,1.2,9,8.7,9.4,11.2,-3,3,9,-0.1,0.1,-2,1,6.7,6.6,9.8,4.8,4.8,4.1,5.2,3.3,5.8,5.5,3.6,7,5.8,5.8,3.6,9.6,5.3,5.5,8.7,9.1,2.7,2.7,3.7,2.3,2.1,4.5,4,6.2,6.3,5.4,2.4,3.8,2.7
"17","7","    Net national product \1\","A027RL1",NA,-0.8,-0.7,7.5,7.2,7.7,2.5,0.4,-6.3,-1.8,4.7,-4.4,19.1,14.1,18.6,8.4,5.7,7.9,9.1,0.6,4,0.3,2.5,14.6,7.8,3,-3.4,-7.2,-2.6,-0.2,4.6,8.8,12.9,6.8,5.6,2.2,-2,3.1,-0.9,6.6,2.9,-1.4,3.7,-5.9,-11.9,2.4,10.2,10.5,8.3,11.1,-1.1,1.5,9.9,-2.1,0.8,-5.7,2.7,7.9,7.3,9,7.7,4.7,3.8,1.6,4.3,5.2,8.5,2.7,9.8,4.7,5.7,0.7,11.3,5.6,8.4,9.9,10.8,1.1,2.4,3.2,3.4,-0.5,3.5,2.8,8.8,7.1,2.6,1.3,6.4,0.7
"18",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","8","    Gross domestic purchases","A712RL1",NA,0.2,-0.4,11.4,9.3,10,2.5,1,-8.2,-1.4,6,-0.7,17.8,13.4,19.7,6.6,4.7,4.7,6.4,0.7,5.1,3.1,5.5,15.3,7.5,3.9,-2.9,-6.2,-2.1,-0.3,4.2,7.4,12.3,8,4.7,2.9,-1.6,2,-0.8,5,2.6,-0.1,4.3,-3.5,-8,3.3,9.2,10.7,7,10.3,-1.1,1.6,7.6,-2.6,1,-5.9,2.8,8.2,8.1,8.2,8,2.9,5.3,2.2,3.7,3.5,9.7,1.9,7.7,4.9,6.2,1.3,12.2,4,9.9,9.2,11.2,1.2,4.7,3,3.6,0.4,4.3,3.7,9,6.8,2.9,1.9,7,0.8
"20","9","    Final sales to domestic purchasers \2\","A713RL1",NA,3.5,3.3,4.9,4.4,5.3,1,3.9,-1.4,5.4,1.2,4.6,7.3,11.8,18.4,-4.6,11.7,-0.1,11.9,6,4.4,9.3,-1.1,15.4,8.7,4,-1.5,-2.4,-2.5,0.7,3.6,6,8.2,6.6,5.2,1.6,-0.7,3.3,-0.2,5.4,3.7,-0.6,3.4,0.5,-7.5,2.9,5.6,9,7.1,7,4.1,-1.2,2.9,2.9,-0.2,0.8,0.8,5,4.7,9.2,5.7,5.3,4.7,4,1.2,5.2,9.3,3,7.5,5.1,5.7,1.2,8.5,5.8,9.3,10.5,8,1.7,5.5,0.9,4.3,4.5,3.1,4.2,9.1,4,5.9,2.7,4.8,1.6
"21",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","10","    Command-basis gross domestic product","C191RL1",NA,0.9,0.6,8,4.1,5.1,2.4,1.7,-6.1,-3,5.3,-3.7,16.9,12,16.3,8.6,6.2,7.2,7.5,0.4,3.8,0,4.7,13.8,7.6,3.1,-2,-6.4,-2.5,-0.1,5.4,8.6,12.6,6.1,5.6,3.8,-1.4,1.9,0.4,5.8,3.7,-0.8,3.4,-5.9,-8.9,2.2,11.2,11.2,6.5,9.5,-0.9,1.6,10.2,-1.9,0.6,-5.3,3.3,8.1,7,8.9,7.7,3.7,3.8,1.4,4.2,5.6,8,3.4,8.6,4.5,5.3,1.7,10.9,5.5,8,9.6,10.7,1.2,3.5,3.8,4.1,0,3.7,3.4,8.5,6.9,2.7,1.9,6.7,1.1
"23","11","    Command-basis net domestic product \1\","C362RL1",NA,0.6,0.4,9.2,4.7,5.8,2.6,1.9,-7.1,-3.6,5.8,-4.3,19,13.3,18.1,9.3,6.5,7.6,7.8,-0.1,3.6,-0.7,4.6,14.8,7.7,2.8,-2.9,-7.8,-3.5,-0.7,5.5,9.2,13.7,6.3,5.8,3.8,-2.2,1.6,-0.2,6.1,3.6,-1.5,3.2,-7.3,-10.8,1.9,12.3,12.4,7.1,10.4,-1.4,1.4,11.3,-2.7,0.2,-6.6,3.1,8.7,7.5,9.6,8.1,3.6,3.7,0.9,4.1,5.7,8.4,3.2,9.1,4.4,5.4,1.2,11.6,5.5,8.3,10.1,11.3,0.6,3.2,3.5,3.8,-0.8,3.4,3.1,8.9,7.1,2.3,1.4,6.9,0.5
"24","12","    Command-basis gross national product","CB22RL1",NA,1.1,0.6,8.1,4.3,5.2,2.3,1.7,-6.2,-3.1,5.2,-3.9,17,12.1,16.7,8.6,6,7.6,7.6,0.6,3.6,0,4.6,13.6,7.5,3.3,-2.2,-6.4,-2.3,-0.1,5.4,8.9,12.6,6,5.6,3.9,-1.1,1.9,0.4,5.5,4.1,-0.6,3.2,-6.4,-8.8,2.2,11,11.1,6.5,9.4,-0.7,1.8,10.1,-1.9,0.8,-5.2,3.4,7.9,7,8.9,7.6,3.9,3.8,1.8,4,5.4,8,3.5,8.7,4.3,5.4,1.5,11.2,5.6,7.7,9.3,10.7,1.2,3.4,3.9,4,-0.1,3.9,3.3,8.5,7,2.8,1.8,6.7,1
"25","13","    Command-basis net national product \1\","C027RL1",NA,0.8,0.5,9.2,4.9,5.9,2.6,1.8,-7.2,-3.7,5.7,-4.5,19.1,13.4,18.5,9.2,6.2,8,8,0,3.4,-0.6,4.5,14.6,7.7,2.9,-3.2,-7.8,-3.3,-0.7,5.5,9.5,13.7,6.2,5.8,3.8,-1.9,1.6,-0.1,5.6,4.1,-1.2,3,-7.9,-10.7,1.9,12.1,12.3,7,10.3,-1.2,1.6,11.1,-2.6,0.4,-6.4,3.3,8.4,7.5,9.6,8.1,3.9,3.7,1.4,3.9,5.5,8.4,3.3,9.3,4.3,5.4,1,12,5.6,7.9,9.7,11.3,0.6,3.1,3.6,3.8,-0.9,3.7,3,8.9,7.2,2.4,1.4,6.8,0.4
"26",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","14","    Disposable personal income","A067RL1",NA,-4.5,10.7,-5.7,8.2,13.1,6.7,2.3,-7.6,1.9,2.6,2.3,34.6,-1.2,5.1,2.5,0.5,9.2,4.6,-0.7,-0.2,5.2,8.3,8.9,5,5.3,-1.9,-1.3,2.1,0.4,4.3,7.9,6.7,9.1,7.5,4.8,4.2,3.9,2,6.2,1.2,2.9,2.2,-2.4,-3,2.7,8.3,5,3.4,6.6,-0.6,2.9,4.8,2.5,0.7,-0.2,4,6.2,5.4,7.9,3.9,4.3,2.1,3.6,3.5,3.8,4.5,6.7,8.1,11.2,5.3,4.6,4.8,4.6,11.4,8.3,4,1.1,4.9,4.7,6.1,3.1,3.8,2.9,7,6.8,1,2.8,0.8,4.5
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. In this table, the net measures are the corresponding gross measures excluding the depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","of fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","command-basis measures, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
