"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181"
"21","13","    Current payments to the rest of the world","W163RC1",53.5,64.8,63.9,66.2,66,68.5,69.8,70.9,72,77.1,79.7,77.8,88.9,87.7,91.7,96.4,102,108.9,110.3,118.5,129.9,154.3,156.8,161,150.4,141.9,143.8,151.5,161.8,169.9,181.9,185.5,199.2,207.7,208.3,214.7,232.1,241.7,248.9,260.4,271.1,287.7,305.3,334.4,362.7,347.2,331.4,364.1,389.5,398,391.2,396.8,390.9,384.5,395.1,379.5,372.4,398.9,431.3,453,486.3,513.3,523.5,534.2,508.1,529.8,528.6,554.3,558.2,569.1,579.9,592.8,599.8,631.1,651.8,682.6,691.1,695.9,713.5,749.3,763.3,780.6,769.7,783.8,812,803.3,822.2,824.9,713.4,744,775.2,789.2,801.9,822.6,841,857.2,852.1,881.2,884.9,937.6,938.7,991.4,1048.7,1102,1121.2,1149.1,1160.3,1160.2,1190.5,1206.7,1237.9,1277.3,1319.7,1338.5,1382.2,1412.3,1416.9,1435.8,1441.2,1483.2,1497.8,1561.6,1642.1,1708.4,1802,1865.7,1927,1949.9,1879.6,1779,1720.4,1596.5,1679.2,1773.2,1808.2,1821.2,1880.8,1875.4,1912,1984.1,2096.5,2223.3,2278,2427.2,2500,2558.3,2627.6,2807.2,2868.4,2991.7,3079.4,3054.2,3175.1,3245,3279.8,3301.5,3431,3524.6,3501.7,3056.5,2542.9,2490.8,2611.6,2789.2,2888.1,2979.1,3067.2,3137.9,3265.5,3372.7,3390.8,3414.7,3480.4,3456.4,3432.3,3444.9,3465.5,NA
"22","14","Imports of goods and services","B021RC1",43.8,52.7,52.4,53.1,53.5,55.2,56.4,57.9,58.7,63.3,65.5,61.9,72.2,71.4,74.1,79.2,85.4,89.5,91.1,98.7,110.3,129.4,133.6,136.6,124.9,115.2,122.1,128.7,138.9,147.1,155.8,162.7,176.4,183,182.9,187.4,203.3,208.8,215.1,221.8,229.8,243.1,257.3,280.5,304.3,292.6,279.2,299.2,319.7,322,309.9,319.4,309.5,299.1,309.3,294.9,295.3,318,343.4,358,388,406.5,409.6,416.4,397.3,418.6,414.2,438.9,439.4,444,459.4,468.6,477.7,502.3,517.3,537.5,542.7,546.1,552.8,574.3,586.2,595.4,584.4,598.2,626.8,614.8,630.1,647.3,620.3,613.9,621.7,638.3,645.8,659,677.9,688.5,699.3,716.3,719.3,745,761.8,797.6,833.8,860.6,886.9,908.3,905.8,909.2,936.7,952.8,973.8,992.6,1027.2,1039.7,1070.9,1085.3,1098.2,1109.6,1109.9,1145,1170.2,1221.9,1281,1329.2,1410.7,1452.4,1512.5,1522,1490.1,1419.5,1364.3,1317.3,1348,1423.1,1456.1,1491.8,1515.9,1515.1,1539.9,1606.4,1684.7,1776.8,1821.4,1908.8,1941.1,1987.1,2038.2,2138,2190.6,2238.8,2281.8,2252.6,2302.2,2351,2394,2455,2561.2,2668.8,2690.7,2304.9,1908.9,1856.7,1993.1,2145.3,2241.4,2336.7,2404,2465.7,2584.1,2667.7,2697.1,2730.7,2764.2,2755.3,2723.5,2729.5,2737.3,2765.7
"23","15","  Goods \1\","A255RC1",30.8,39.1,38.5,38.8,39.3,40.1,41.2,42.8,43.4,47.4,49.6,45.7,55.1,54.1,57.3,61.3,66.5,70,72.1,78.8,88.8,106.4,110.6,112.3,100.9,92.3,98.8,104,113.5,121.3,128.9,134.7,147.6,153.2,153.2,156.6,170.3,175.1,179.4,184.8,192.2,204.1,216.8,238.1,259.7,248.5,234.1,252,270.2,271.8,260.5,268.8,257.6,245.8,257.2,241.5,242.5,262.8,285.9,299.6,322.5,337.9,339.9,345,325.4,344.4,340.5,362.8,357.7,365.1,374.8,382.5,389.5,409.1,422.8,437.7,441.5,445.7,451.1,470.2,482,490.7,477.4,489,510.4,495.8,506.3,519.8,497,491,500.4,514.5,523.5,537.9,553.9,564.5,575.9,590.1,592.1,612.9,627.2,662,695.7,722.3,745.5,764.3,759.7,760.4,784.5,798.4,814.4,832.5,861.5,872,898.4,910.8,920.8,926.9,922.5,952.8,977.7,1023.6,1077.4,1122.4,1193.2,1231.2,1283.1,1294,1264,1188.4,1144.7,1105,1122.5,1196.5,1224,1249.4,1273.8,1277.2,1286.4,1340.6,1407.6,1490.5,1530.5,1607,1639,1679,1725.8,1820.8,1853,1896.7,1938.6,1897.6,1939,1978.2,2011.7,2072.2,2161.9,2261.9,2270.2,1891.6,1521.6,1474.9,1604.9,1747.9,1842.3,1933.2,1985.5,2043.8,2163.8,2234.6,2252.4,2287.6,2319.6,2307.4,2275,2279.6,2281.9,2301.9
"24","16","    Durable","A333RC1",17.3,22.2,21.8,21.8,21.7,22.4,23.1,23.9,25,27.2,27.4,26.7,32,31.9,33.1,36.1,38.9,40.4,41.2,42.7,44.5,49.9,53.6,53.3,47.7,43.1,44.8,46.9,52.3,55.6,58.9,60.4,62.9,68.1,70.6,75.2,82.6,88.5,90.8,94.1,95.6,99.8,99.7,106.7,114.4,109.7,107.4,116.2,119.2,126.3,125.5,133.2,130,129.2,125.4,116,132.8,139.3,149.6,167.5,181.6,192.1,196.8,199.3,195.7,202.1,204.6,214.3,221.5,239.1,245.3,249.3,250.3,261.6,264.8,280.1,284.3,289.5,293.8,311.5,312.4,314.9,304.7,309.1,309.1,315.5,316.9,316.7,309.9,308.3,318.2,325.7,334.6,342.3,351,358.9,370.4,380.3,387.4,407.5,419.5,444.8,462.2,489.7,501.1,514.6,512.4,514.9,525.1,529.7,539.1,539.7,563.4,582.4,600.5,607.9,624.9,633.4,631.2,661.3,676.3,702.9,729.7,753.2,789.7,817.9,843.1,839,808,760.7,737.9,721.9,742.9,776,787.6,788.1,779.5,794.6,799.3,848.8,873.4,930.1,954.2,983.4,998.8,1017.6,1023.1,1057.3,1104.6,1120.8,1137.6,1155.8,1165.8,1169.9,1188,1174.8,1192.8,1218.4,1188,1048.7,865.2,826.1,897.4,983.5,1018.2,1097.6,1142.7,1174.8,1201.6,1212.1,1249.6,1274.8,1315,1329.6,1322.9,1332.2,1327.5,1362.8
"25","17","    Nondurable","A340RC1",13.5,16.9,16.7,17.1,17.7,17.7,18.1,18.9,18.3,20.2,22.2,19,23.1,22.2,24.2,25.2,27.5,29.6,30.9,36.1,44.4,56.5,57,58.9,53.2,49.2,53.9,57.2,61.2,65.7,70,74.3,84.7,85.1,82.6,81.4,87.7,86.6,88.6,90.6,96.6,104.3,117.1,131.4,145.2,138.8,126.7,135.8,151,145.5,135,135.6,127.7,116.7,131.8,125.5,109.7,123.4,136.2,132.1,140.9,145.9,143,145.7,129.7,142.3,136,148.6,136.2,126,129.4,133.2,139.2,147.5,158,157.6,157.2,156.1,157.3,158.7,169.5,175.8,172.8,179.9,201.3,180.3,189.4,203.1,187.1,182.7,182.2,188.8,188.8,195.6,202.9,205.6,205.5,209.9,204.7,205.4,207.7,217.2,233.5,232.6,244.4,249.6,247.3,245.5,259.5,268.7,275.3,292.7,298.1,289.6,297.9,303,295.9,293.5,291.3,291.5,301.4,320.7,347.7,369.2,403.5,413.4,439.9,455.1,456,427.7,406.8,383.1,379.7,420.4,436.4,461.2,494.3,482.6,487.1,491.8,534.3,560.4,576.2,623.6,640.2,661.5,702.7,763.6,748.3,775.9,801.1,741.8,773.2,808.3,823.7,897.5,969.1,1043.5,1082.2,842.9,656.4,648.8,707.5,764.4,824.1,835.5,842.9,869.1,962.2,1022.5,1002.8,1012.8,1004.5,977.8,952.1,947.5,954.5,939.1
"26","18","  Services \1\","B656RC1",13,13.6,13.8,14.3,14.2,15.1,15.3,15.1,15.3,15.9,15.8,16.2,17.1,17.3,16.8,17.9,18.9,19.4,19,19.9,21.5,23,23,24.3,24,23,23.3,24.7,25.4,25.8,26.9,27.9,28.8,29.9,29.7,30.8,32.9,33.7,35.7,37.1,37.6,39,40.5,42.4,44.7,44.1,45.1,47.2,49.5,50.2,49.4,50.6,51.9,53.3,52.1,53.4,52.7,55.2,57.5,58.4,65.5,68.6,69.7,71.3,71.9,74.1,73.6,76,81.7,78.9,84.7,86.2,88.1,93.3,94.5,99.8,101.2,100.4,101.7,104.1,104.2,104.7,107,109.1,116.4,119,123.8,127.5,123.4,122.9,121.2,123.8,122.4,121.1,124,124,123.4,126.1,127.1,132.1,134.6,135.5,138.1,138.2,141.4,144.1,146.1,148.8,152.2,154.4,159.3,160.2,165.8,167.7,172.5,174.5,177.4,182.7,187.4,192.2,192.4,198.3,203.6,206.8,217.5,221.2,229.4,228,226.1,231,219.6,212.4,225.4,226.7,232.1,242.4,242.1,237.9,253.4,265.8,277.1,286.3,290.9,301.9,302.1,308,312.4,317.1,337.6,342.1,343.2,354.9,363.2,372.8,382.3,382.8,399.3,406.9,420.5,413.3,387.3,381.8,388.2,397.5,399.1,403.5,418.5,421.9,420.3,433,444.6,443.1,444.6,447.8,448.6,449.9,455.3,463.8
"27","19","Income payments","A655RC1",4.8,5.4,6.1,6.4,6.6,6.5,6.4,6.2,5.9,6.1,6.7,7,7,7.6,7.8,8.5,9.6,10.8,11.4,11.9,12.6,13.9,15.2,15.5,15.5,14.9,15.1,14.6,15.6,15.6,15.4,15.4,15,16.2,17.2,19.2,20.4,23.8,25.3,29.1,31.9,34.7,37.3,41.6,45.6,43.8,40.5,49.8,54.3,59.7,63.2,59.1,62.3,66.3,66.4,62.9,59.8,62.1,67.4,70,77.8,85.7,89.9,88.9,86.9,86.7,87.5,88.1,94.3,96.6,91,95.5,98,103.2,108.1,113.8,120.5,123.7,133.3,140.4,149,158.1,154.4,150.1,154.2,152.9,157.6,151.9,147.3,139.4,136.4,123.9,122.1,125,119.7,117.1,113.9,122.9,120.4,137.2,137.1,152.4,168.8,184.4,190.6,198.3,210.2,205.2,202.4,209.3,219,227.8,246.2,251.5,262.3,263.8,263.7,269.9,271.7,268.8,273.1,283.6,306,314.4,332.6,352.3,350.3,347.5,320.9,288.3,283.4,201.5,248.5,281.4,283.4,255.5,283.1,280.7,292.6,296,311.2,352.5,363.5,418.3,434.7,461.5,481.8,551.1,585.6,648.2,686.7,702.5,733.4,777.3,762.7,722.9,724.2,714.2,673.2,623.6,506.3,496.7,474,509,493,506.7,520.8,535.7,524.2,554.2,550.1,539.7,570,555.7,564.4,572.8,575.9,NA
"28","20","  Wage and salary payments","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.7,2.6,2.7,2.6,2.5,2.2,2.1,1.9,1.9,1.7,1.9,2.1,2.2,2.3,2.6,3.3,3.4,3.5,3.8,3.6,3.9,4.1,4.5,4.7,4.8,4.7,4.9,4.8,5.1,5.1,5.5,5.8,6,6,6.1,6.2,6.3,6.3,6.4,6,6.2,6.3,6.6,6.4,6.6,6.7,6.9,6.8,6.8,7.1,7.3,11.2,11.5,11.4,11.6,10.8,11,10.9,11.1,11.6,11.6,11.8,11.9,12.2,12.5,12.1,12.6,12,11.8,12,12.2,12.6,13.1,12.9,13.5,14.6,14.9,15.1,15.2,15.3,15.6,15.4,15.9,14.4,14.9,14.6,15,16.3,15.9,15.7,15.9,14.4,13.7,12.9,12.4,13.4,14,14.4,14.1,13.7,14.1,14.5,14.5,14.1,15,14.8,14.6,14.4,NA
"29","21","  Income payments on assets","W161RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.5,93.9,88.5,92.8,95.4,100.7,106,111.7,118.6,121.7,131.6,138.5,147,155.9,152.1,147.5,151,149.5,154.1,148.1,143.7,135.5,132.3,119.4,117.3,120.3,115,112.2,109.1,117.8,115.3,131.7,131.4,146.4,162.8,178.4,184.4,192,204,198.8,196.3,203.1,212.7,221.2,239.8,244.9,255.5,256.9,256.9,263.1,264.7,261.5,261.9,272.1,294.6,302.8,321.8,341.3,339.4,336.4,309.2,276.7,271.6,189.6,236.3,268.8,271.3,242.9,271.1,268.9,280.6,283.8,298.6,339.3,350.6,404.7,420.1,446.5,466.7,535.9,570.3,632.7,671.3,686.6,719,762.5,748.1,707.8,708,698.3,657.5,607.7,492,483.1,461.1,496.6,479.7,492.7,506.4,521.6,510.5,540.2,535.6,525.1,555.9,540.7,549.6,558.2,561.5,NA
"30","22","    Interest","B1869C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,82.7,80.5,83.6,83.7,90.1,93,103.3,103.2,106.4,117.4,125,136.6,144.1,143,145.2,143.9,143.1,146.3,150.1,145.5,135.1,130.8,123.5,117.4,112.5,108,106.1,105.7,103.3,104.6,112.2,111.1,123.5,133.2,144.8,151.9,159.5,164.6,165.6,162.2,166,173,182.5,189.9,198.5,204.3,212.7,215.1,216.4,221.1,217.4,215.1,217.5,229.9,247.8,255.4,276,287.6,292.4,278.1,261.4,242.1,214,203.4,212.5,210.7,206.8,190.8,191.6,193.6,194.6,197.1,213.4,233.2,257,281,305.2,335.4,369.2,406.7,451.9,481.1,510.7,540.3,586.7,595.7,586.5,526.6,498,496.1,449.5,381.3,343.4,324.5,320,311.6,310.3,306.8,314,305.6,310.4,314.5,312.3,309.3,307,301,299.1,302.5,NA
"31","23","    Dividends","B3376C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,9,10.2,11.4,10.2,11.1,10.3,13.3,10.9,17,13.2,11.8,23.3,13,14.5,14.4,18.8,17.4,16.8,21.7,17.7,17.8,14.7,18.3,16.1,16.8,15.4,18.2,22,20,16,17.5,24.3,19.5,18,24.1,23.2,23.6,30.9,25.4,26.7,26,29.6,32.4,27.7,31.6,30.8,41,35.5,36.8,42.9,48.7,66.2,54.6,41.4,41.7,49.1,62.7,62.4,53.5,47.2,31.4,54.9,52.7,43.2,42.6,38.2,55.1,40,108,59.4,68.3,81,65,47,100.3,95.4,68.4,125.8,120.3,72.7,75.2,97.5,187.1,82.5,110.8,108.7,132.2,121.2,115.4,116.9,189.9,154.4,130.6,91.7,99.4,130.5,112.2,120.3,143.3,121.2,133.6,151.4,138.6,141.2,140.4,137.2,145.7,156,NA
"32","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,2.2,-2.2,-2.2,1.5,-0.5,2.6,-4.8,4.4,-1.6,0.9,1.7,-12.9,-1.2,-5.4,-12.1,-11.8,-10.9,-9,-23.7,-19.5,-17.4,-13.1,-22.3,-16.1,-9,-8.4,-12.1,-18.6,-5.5,-5.4,2,-4.1,3.3,11.6,9.4,9.3,8.9,8.5,7.8,7.4,11,10.2,6.2,22.2,14.8,20.4,3.1,6.3,9.9,0.7,-4.7,-19.3,0,23.4,13.3,17.3,2.6,-10.6,-9.5,-16,-16.1,-25.4,-77.1,-10.2,13.8,22.5,-18.9,40.2,-30.7,27.6,20.9,20.5,60.9,70.5,47.4,43.7,72.9,5.5,46.5,91,105.5,92.7,-11.2,96.3,64.9,43.7,-10.9,60.2,84.9,44.4,-31.7,-43.7,9,44.9,77.2,37.6,70.2,79.3,64.3,83.8,96.2,69.8,74.3,105.5,93.3,111.5,113.4,103,NA
"33","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1",4.9,6.8,5.5,6.6,5.9,6.8,6.9,6.8,7.5,7.7,7.5,8.9,9.7,8.6,9.9,8.7,7.1,8.7,7.8,7.9,6.9,11,8,9,10,11.8,6.7,8.1,7.2,7.2,10.6,7.4,7.7,8.5,8.2,8.1,8.4,9,8.5,9.5,9.3,10,10.6,12.3,12.9,10.8,11.7,15.1,15.5,16.3,18.1,18.3,19.1,19.1,19.4,21.8,17.4,18.9,20.6,25.1,20.6,21.2,23.9,28.9,23.8,24.6,26.9,27.3,24.5,28.5,29.4,28.7,24.1,25.5,26.4,31.3,27.9,26.1,27.4,34.6,28.1,27.1,30.9,35.5,31,35.7,34.6,25.7,-54.3,-9.4,17.1,27,34,38.7,43.4,51.6,38.8,42,45.2,55.4,39.7,41.5,46.1,57,43.7,42.5,44.2,45.8,51.4,44.6,45.2,56.9,46.2,47.4,49,63.1,55,56.2,59.5,69.4,54.5,56,55.1,64.8,58.7,61,64.2,80.4,68.6,71.3,72.7,77.7,82.7,68.6,68.7,74,81.8,79.6,79.5,81.7,100.5,94.1,93.1,100.1,124.2,109.8,107.7,118.1,92.2,104.7,110.8,99.2,139.5,116.7,123.2,123.6,145.6,141.7,137.8,128,127.7,137.4,144.5,134.9,153.6,135.7,142.3,136.5,157.1,150.8,143.6,144.4,146.1,145.4,144.3,142.6,152.4,154.6
"34","26","  From persons (net)","B070RC1",1,1.2,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.2,1.2,1.3,2.5,1.4,1.4,1.4,1.3,1.3,1.2,1.5,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.3,1.4,1.6,1.6,1.8,1.5,1.5,1.7,2.1,1.9,1.9,2,2.1,5.2,5.4,5.7,6,6.4,6.8,6.9,6.9,6.4,6.9,7.3,7.4,7.6,7.9,7.8,8.2,8.4,8.2,8.5,8.2,8.9,8.9,9.2,9.7,9.5,10,10.4,10.3,10.7,10.7,10.5,11.2,11.1,11.4,11.4,12.2,12.1,11.8,12.5,12.5,13.8,13.8,14.1,14.7,11.5,12.6,19.3,14.5,16.3,16.7,17.3,18,18.5,18.9,19.1,19.3,18.9,18.9,20.2,23,21.4,22.7,22.9,23.5,25.1,25.1,25.6,26.8,26.9,28.7,30.4,32.7,31.4,32.8,32.5,32,35,34.6,34.4,34.5,37.4,38.1,38.8,38,40,39.8,40.9,41.8,40.5,41.3,38.9,43.9,43.5,44.1,44,42.7,48.9,48.2,47.6,48.7,46.7,52.1,52.6,55,57.6,58.7,60,61,64.8,67.7,69.8,62.4,63.7,65.2,65.9,69.4,74.4,71.4,72.7,73.6,73.8,74.5,72.9,75,73,72.4,67.9,74.4,75.9,75
"35","27","  From government (net)","B088RC1",3.6,5.3,4,5.1,4.3,5.1,5.2,5.2,5.8,6,5.7,7,7.9,6.8,8.1,6.6,5.2,6.8,6,4.5,4.7,8.9,5.9,6,7.9,10,4.5,5.8,4.5,5.1,8.5,4.6,4.9,5.7,5.7,5,5.8,5.9,5.9,6,6.2,6.7,6.8,7.6,8.6,6.6,7.5,10.3,7.5,7.7,9.1,8.8,9.7,8.6,9.1,11.3,7.8,8.7,10,13.9,9.4,9.8,12.7,17.1,12.6,13.6,15.3,16.2,12.1,16.7,17.2,15.7,11.8,12.2,12.2,17.5,12.5,10.7,12.8,18.9,12.5,11.4,14.9,18.1,14.7,19,16.8,8.3,-72.9,-28.3,-2,7.2,17.3,20.6,18.5,31.7,17.3,20,22.5,31.9,15.6,17.3,21.1,30.7,16.1,15,15.4,15.7,23.3,15.2,15.5,26,13.6,13.7,14.1,25.5,14.5,13.6,15.8,25.7,14.8,16.3,15.2,25.9,15.1,15.8,17.9,31.3,13.8,14.6,15.6,20.9,30.4,17.8,17,21.2,28.7,26,26.8,21.8,34.8,24.1,25.3,24,40.4,27.7,31.5,41.6,26.4,33,34.2,19.3,45.6,25.2,31.7,40,42.7,38.9,35.4,30.5,39.1,52.5,60.1,43.8,52.3,40.5,47,46,52.9,59.5,50.3,48.6,51,47.6,48.7,34.4,41.5,44.8
"36","28","  From business (net)","W164RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.7,0.6,0.5,0.9,0.9,0.7,0.7,1.6,0.7,0.6,0.7,1,1.3,0.8,0.8,1.4,1.4,1.3,1.1,1.7,1.2,1.4,1.1,1.7,1.6,1.8,2.1,2.5,2.3,2.3,2.2,2.7,2.8,3.2,3.3,3.5,3,3.7,3.4,3.5,3.2,3.4,3.3,3.8,3.6,3.5,3.4,3.5,2.8,2.9,3,2.9,3.4,2.9,3.1,3.3,2.8,3.3,3.7,3.5,4.6,4.7,4.1,4.5,4.5,4.3,4.6,5.2,4.3,4.9,5.2,4.9,4.9,5.1,5,5.1,5.2,5.5,5.6,5.4,5.3,5.3,5.4,5.5,5.7,5.3,6,7,8.7,8.6,8.6,7.1,6.7,6.8,6.7,7.3,7.6,8.6,9.4,10.8,13.6,13.9,13.4,11,8.4,7,7.4,6.9,8.5,10.5,11.9,14.6,17.5,18.6,18.3,18.7,12.2,11,10.8,11,12.6,12.3,13.8,16,22.3,25.8,23.7,33.4,34.8,33.9,28.6,27.8,19.2,19.6,24,24.9,36.3,32.9,31.5,22.5,38,35,32.6,35.1,24.9,19.7,18.5,21.6,26.9,23.8,22.7,16.8,30.3,16.8,20.4,20.7,22.1,25.5,27.7,33.8,35,34.8
"37","29","    Balance on current account, NIPAs","A124RC1",1.6,0.6,1.5,2.7,3.8,5.2,3.5,2.4,4.3,0.1,-0.3,-2.8,-5,-4.8,-3.6,-2.8,2.2,5.4,12.5,15.4,16.5,2.7,0.3,4.4,17.9,21.5,18.4,21.6,13.2,9,2.4,3.8,-8,-8.8,-7.9,-18.9,-25,-12.9,-11.4,-1.3,-1.8,-2.7,2.4,-2.6,-10.7,9.8,28.2,6.7,1.7,0.2,7.1,4.6,0.6,17.4,-14,-17.3,-7.9,-27.6,-47.9,-56.8,-78.5,-87.9,-90.4,-103.4,-89.4,-111.4,-121.3,-135.2,-128.3,-141.9,-150.2,-150.3,-150.9,-154.4,-154.1,-157,-126.9,-110,-106.5,-119.6,-106.7,-93.6,-81.7,-87.5,-90.1,-72.9,-82.4,-54.3,46.6,14.7,-13.1,-16.8,-21.8,-39.4,-52.7,-68.4,-56.5,-73.7,-76.6,-107.4,-92.1,-108.3,-120.8,-137.7,-118.4,-118.6,-99,-84.3,-102.1,-108.5,-132.6,-113.4,-131.2,-101.1,-122,-163,-164.1,-195.3,-223.8,-235,-243.4,-279.7,-314.4,-330.2,-385.6,-389.3,-426.6,-434.9,-420.3,-383.6,-411.6,-343.5,-405.8,-452.2,-455.1,-486.6,-531.3,-516.1,-510.3,-496.4,-534.3,-612.4,-630.5,-709.5,-695,-701.2,-728.6,-823.6,-786,-805.3,-851.9,-739.6,-793.3,-751.5,-675.2,-616.3,-708.9,-706.3,-695.5,-603.5,-394.8,-353,-380,-397,-445.2,-460.2,-486.4,-426.3,-463.4,-472.8,-425,-466.5,-488.9,-444.6,-421.1,-401.4,-438.1,NA
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","30","  Net lending or net borrowing (-), NIPAs","W162RC1",1.6,0.6,1.4,2.7,3.8,5.2,3.5,2.4,4.3,0.1,-0.4,-2.8,-5.1,-4.8,-3.6,-2.8,2.2,5.4,12.4,15.3,16.5,2.6,0.3,4.4,17.8,21.4,18.3,21.6,13.1,8.9,2.4,3.8,-8.1,-8.9,-7.9,-19,-25.1,-12.9,-11.5,-1.4,-1.9,-2.8,2.3,-2.7,-10.8,9.7,28,6.6,1.5,0,6.9,4.5,0.5,17.3,-14.2,-17.4,-8,-27.7,-48,-56.9,-78.6,-88,-90.5,-103.5,-89.6,-111.5,-121.4,-135.3,-128.5,-142,-150.3,-150.4,-151.1,-154.5,-154.2,-157.2,-127,-110.1,-106.6,-119.8,-106.8,-93.7,-81.8,-88.5,-90.9,-73,-82.6,-82.7,42.1,14.2,-29.1,-17,-22,-39.8,-46.8,-68.6,-59.2,-73.9,-77,-107.6,-92.3,-111.9,-121.9,-137.9,-118.7,-118.3,-101,-84,-102.3,-108.7,-132.8,-113.6,-131.5,-101.7,-122.7,-163.3,-164.3,-195.5,-224.1,-235.2,-243.7,-280,-314.7,-347.2,-386,-389.7,-427,-435.1,-420.5,-383.8,-359.1,-343.8,-406.1,-452.6,-455.8,-487.3,-531.9,-521.5,-512.6,-496.7,-534.8,-612.6,-618.1,-710.1,-703.9,-701.8,-667.4,-823.9,-791.2,-807.6,-852.1,-740.2,-793.6,-750,-675.7,-616.6,-709.3,-706.8,-671.7,-604.9,-395.2,-353.5,-380.5,-397.7,-445.8,-460.7,-487.5,-426.8,-464,-476.6,-426.7,-467.2,-489.3,-445.9,-423.4,-371.1,-438.5,NA
