"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"15","5","      Motor vehicles and parts","DMOTRS2",NA,0.01,0.17,0.17,0.15,0.15,0.89,-0.12,0.02,0,-0.23,-0.02,0,0.12,-0.02,0.07,0.63,0.12,0.03,0.45,0.22,-0.29,0.27,-0.79,0.4,0.03,-0.32,0.11,0.35,-0.76,-0.39,-0.01,0.12,0.21,0.3,0.09,0.15,-0.01,0.37,0.27,0.32,0.33,-0.1,-0.05,0.45,-0.03,0.08,-0.05,0.64,0.11,-0.01,-0.01,-0.12,-0.1,-0.13,-0.07,0.01,0.15,0.16,-0.02,0.01,0.11,0.09,-0.11,0.01,0.1,0.08,0.05,0.05,-0.02,0,-0.04,0.06,-0.1,-0.11,-0.1,-0.05,0.08,0.04,0.03,-0.16,0.11,0.3,0.22,0,0.08,0.12,0.14,0.01,0.08
"16","6","      Furnishings and durable household equipment","DFDHRS2",NA,0.21,0.16,0.22,0.09,0.19,0.2,0,-0.29,-0.29,-0.08,0.07,0.08,0.27,0.58,0.59,0.67,0.15,-0.06,-0.05,0,-0.14,0.05,-0.05,0.02,0.07,0.08,0.01,-0.03,0,-0.04,-0.09,0.01,0.02,0.08,0.05,0.03,0.1,0.13,0.17,0.01,0.08,0.04,0.04,0.07,-0.15,-0.07,0,0.01,0.05,0.01,0,0.04,0.03,0.02,0.02,0,0.02,0,-0.01,0,-0.01,-0.01,0,0,0,0.01,0.03,0.01,-0.01,-0.03,-0.03,-0.01,-0.01,-0.03,-0.01,0.01,0.04,0.09,0.09,0.04,0.04,0.08,0.07,0.17,0.12,0.09,0.1,0.1,0.11
"17","7","      Recreational goods and vehicles","DREQRS2",NA,0.05,-0.03,0.06,0.03,0.07,0.12,0.09,0.05,0.07,0.08,0.19,0.22,0.14,0.12,-0.07,-0.12,-0.18,-0.06,0,0.13,0.09,0.09,0.03,-0.02,0.03,0.07,0.04,0.06,-0.01,-0.04,-0.05,-0.01,-0.05,-0.01,-0.04,-0.02,0,0.01,0.03,-0.01,0.06,0.04,0.05,0.06,0.02,-0.02,-0.02,-0.02,0.01,0.02,0,0.01,0.01,0,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,0,0.01,0.01,-0.01,-0.04,-0.01,-0.01,-0.01,-0.01,-0.02,-0.03,-0.05,-0.01,0,0.01,0.01,0.02,0,-0.01,0.04,0.05,0.02,0.05,0.05,0.04,0.05
"18","8","      Other durable goods","DODGRS2",NA,0.06,-0.09,0.04,0.01,0.04,0.03,0.01,-0.02,-0.03,-0.14,-0.02,-0.01,0.01,0.01,0.01,0.11,-0.02,0.05,-0.01,0.04,0.03,0.02,0.04,-0.03,-0.03,0.03,0.02,0.04,-0.03,-0.05,-0.02,0.05,0,0,-0.01,-0.01,0,0.01,0.01,0,0.04,0.01,0.01,-0.01,0.03,0,0,0.03,0.01,0,0,0.01,0,0,0,0,-0.01,0,0,0.01,-0.04,0.04,-0.01,0.01,0,0,0.03,0.04,0.02,0,0,-0.02,0.02,-0.01,-0.04,0,0.03,0.01,0.03,0.03,0,0.02,0.02,0.01,0,0.05,0.06,0.06,0.04
"19","9","    Nondurable goods","DNDGRS2",NA,1.25,2.34,3.92,2.02,1.26,1.28,-1.16,-1.7,-1.47,-1.28,-0.85,-0.76,0.58,3.33,2.61,4.87,1,-0.23,1.36,0.09,-0.42,0.17,0.41,-0.48,-0.46,0.24,0.02,0.4,0.4,-0.39,-0.47,0.03,-0.26,0.15,0,0.32,0.98,0.99,0.32,0.91,0.52,1.03,0.37,1.56,0.18,-0.3,-0.47,0.36,0.1,0.45,0.35,-0.19,0.66,0.27,0.55,0.16,-0.68,0.18,-0.18,0.36,0.24,0.09,0.48,0.14,-0.09,0.66,0.18,0.53,-0.02,0.27,0.37,0.28,0.84,0.49,0.2,1.17,0.75,0.62,0.55,-0.03,0.14,0.92,0.58,0.89,0.82,0.82,0.91,0.64,1.19
"20","10","      Food and beverages purchased for off-premises consumption","DFXARS2",NA,0.13,1.37,2.32,0.47,0.15,0.31,-1.46,-0.9,-0.66,-0.72,-0.36,-0.63,0.4,1.83,1.11,3.17,0.48,-0.19,1.16,0.22,-0.04,0.26,-0.32,-0.8,-0.4,0.07,-0.02,0.05,0.28,-0.59,-0.43,-0.08,-0.38,-0.19,-0.25,-0.06,0.58,0.47,0.06,0.39,0.15,0.65,0.15,1.47,0.44,-0.37,-0.25,-0.12,-0.27,0.1,-0.05,-0.12,0.57,-0.04,0.46,0.13,-0.34,-0.15,-0.11,0.41,0.1,0.06,0.18,0.19,-0.17,0.37,0.02,0.42,0.04,0.29,0.22,-0.07,0.57,0.31,-0.01,0.91,0.44,0.19,0.13,-0.4,-0.17,0.46,0.15,0.37,0.29,0.29,0.46,0.16,0.59
"21","11","      Clothing and footwear","DCLORS2",NA,0.62,0.33,0.67,0.68,0.52,0.19,0,-0.72,-0.66,-0.57,-0.45,-0.22,0.02,0.61,0.91,1.02,0.45,0.07,-0.03,-0.12,-0.42,-0.22,0.7,0.03,-0.43,-0.09,-0.08,0.28,-0.01,0.16,-0.13,-0.11,-0.04,0.09,0.01,0.16,0.15,0.19,0.09,0.07,0.03,0.03,0.05,-0.02,-0.01,0,0,0.1,0.08,0.1,0.04,0.04,0.1,0.07,0.04,0.01,-0.04,0.09,-0.01,-0.07,0.07,0.07,0.02,0.02,0.03,0.05,0.08,0.06,0.04,-0.01,-0.01,0.07,0.04,0.1,0.05,0.14,0.15,0.18,0.18,0.2,0.16,0.2,0.17,0.26,0.32,0.29,0.23,0.23,0.21
"22","12","      Gasoline and other energy goods","DGOERS2",NA,0.32,0.36,0.55,0.56,0.38,0.31,0.21,0.13,0.09,0.02,-0.06,-0.08,-0.02,0.21,0.18,0.21,0.03,-0.02,0.16,0.11,0.09,0.12,0.05,0.15,0.16,0.24,0.1,-0.01,0,-0.06,-0.02,0.07,0.07,0.12,0.08,0.08,0.1,0.25,0.1,0.27,0.16,-0.01,-0.01,0.04,-0.25,0.09,-0.16,0.27,0.13,0.01,0.26,-0.15,-0.01,0.24,0.03,0,-0.31,0.26,-0.07,-0.04,0.07,-0.03,0.24,-0.1,-0.13,0.11,-0.03,-0.04,-0.11,-0.02,0.12,0.18,0.1,0.03,0.11,0.01,0.02,0.13,0.13,0.07,0.07,0.06,0.03,0.07,-0.01,0.09,0.03,0.11,0.18
"23","13","      Other nondurable goods","DONGRS2",NA,0.18,0.28,0.38,0.3,0.2,0.47,0.1,-0.21,-0.24,-0.02,0.02,0.17,0.18,0.68,0.42,0.47,0.05,-0.08,0.06,-0.11,-0.06,0.01,-0.02,0.15,0.21,0.02,0.01,0.08,0.13,0.11,0.11,0.15,0.08,0.13,0.16,0.14,0.14,0.08,0.06,0.18,0.19,0.36,0.18,0.07,0.01,-0.01,-0.05,0.11,0.16,0.24,0.1,0.05,0,0.01,0.02,0.03,0.01,-0.01,0.01,0.06,0,-0.02,0.04,0.03,0.18,0.13,0.12,0.08,0.01,0.01,0.04,0.11,0.13,0.05,0.05,0.11,0.14,0.12,0.11,0.1,0.07,0.2,0.23,0.19,0.21,0.15,0.18,0.14,0.2
"24","14","  Services","DSERRS2",NA,0.62,2.62,2.54,0.75,1.13,1.64,0.41,-0.06,0.25,0.37,0.74,0.43,0.45,1.66,1.39,2.01,0.81,0.6,1.54,0.71,0.79,1.05,0.76,0.98,0.74,1.29,1.01,0.63,0.24,0.23,0.5,0.65,0.4,0.51,0.61,0.58,0.59,0.88,0.64,0.97,0.52,0.95,0.85,0.91,0.38,0.44,0.4,0.55,0.6,0.91,0.94,0.56,0.66,0.78,0.61,0.28,0.5,0.56,0.49,0.69,0.56,0.42,0.37,0.55,0.33,0.38,0.61,0.57,0.59,0.59,0.53,0.51,0.5,0.59,0.73,0.72,1.06,1.06,1.14,0.8,0.84,0.91,1.1,1.39,1.39,1.35,1.45,1.51,1.62
"25","15","    Household consumption expenditures","DHCERS2",NA,0.59,2.48,2.44,0.71,1.06,1.57,0.41,-0.03,0.25,0.36,0.73,0.42,0.44,1.58,1.28,1.89,0.76,0.58,1.53,0.72,0.81,1.05,0.78,0.95,0.74,1.26,0.99,0.6,0.24,0.22,0.49,0.63,0.39,0.48,0.56,0.54,0.57,0.85,0.61,0.95,0.49,0.88,0.77,0.78,0.4,0.55,0.61,0.9,0.77,0.97,0.99,0.64,0.74,0.82,0.61,0.25,0.47,0.51,0.48,0.69,0.55,0.42,0.36,0.51,0.32,0.37,0.6,0.58,0.59,0.57,0.52,0.46,0.46,0.58,0.7,0.68,1.02,1.02,1.1,0.79,0.8,0.89,1.07,1.34,1.35,1.31,1.4,1.44,1.55
"26","16","      Housing and utilities","DHUTRS2",NA,0.16,0.63,0.91,0.3,0.22,0.28,0.28,0.29,0.12,0.16,0.29,0.36,0.15,0.3,0.21,0.46,0.29,0.33,0.52,0.28,0.24,0.19,0.4,0.43,0.31,0.51,0.46,0.21,-0.02,0.07,0.15,0.24,0.16,0.08,0.11,0.13,0.1,0.29,0.1,0.2,0.1,0.26,0.3,0.08,0.24,0.19,0.19,-0.06,0.27,0.21,0.27,0.15,0.13,0.2,0.16,0.1,0.22,0.11,0.02,0.19,0.07,0.18,0.04,0.18,0.11,0.04,0.17,0.03,0.12,0.12,0.06,0.08,0.09,0.09,0.15,0.17,0.15,0.07,0.24,0.2,0.13,0.18,0.22,0.24,0.27,0.23,0.29,0.28,0.34
"27","17","      Health care","DHLCRS2",NA,0.19,0.46,0.2,-0.03,0.1,0.12,-0.05,-0.02,0.02,0.01,0.02,0.02,0.01,0.13,0.16,0.15,0.05,-0.01,0.11,0.12,0.09,0.12,0.05,0.17,0.02,0.1,0.08,0.14,0.04,0.04,0.04,0.14,0.03,0.03,0.11,0.12,0.01,0.06,0.1,0.14,0.06,0.14,0.12,0.11,0.01,0.14,0.11,-0.06,0.11,0.12,0.22,0.11,0.32,0.24,0.13,-0.03,-0.04,0.02,0.05,0.1,0.12,0.1,0.11,0.07,0.07,0.12,0.08,0.14,0.11,0.11,0.15,0.1,0.12,0.08,0.09,0.13,0.19,0.23,0.26,0.23,0.2,0.24,0.23,0.24,0.22,0.22,0.26,0.28,0.34
"28","18","      Transportation services","DTRSRS2",NA,-0.02,0.01,0.03,0.09,0.23,0.49,0.34,0,0.03,0.06,0.16,0.07,0.03,0.17,0.21,0.17,0.12,0.11,0.1,-0.04,0.08,0.15,0.1,0.03,0.1,0.11,0.09,0.03,0.08,0.05,0.07,0.04,0.05,0.04,0.05,0.1,0.07,0.03,0.03,0.1,0.09,0.07,0.09,0.02,0.04,0.06,0.06,0.05,0.06,0.05,0.03,0.04,0.01,0.04,0.06,0.06,0.07,0.04,0.03,0.04,0.05,0.02,0,0,0,0.01,0.02,0.05,0.01,0.02,0.02,0.03,0.04,0.03,0.04,-0.01,0.02,0.07,0.07,0.05,0.07,0.06,0.06,0.09,0.08,0.07,0.1,0.11,0.14
"29","19","      Recreation services","DRCARS2",NA,0.02,0.12,0.12,-0.05,0.07,0.12,0.08,-0.13,0.08,0.06,0.04,-0.12,0.07,0.1,0.04,-0.02,0.11,0.08,0.04,-0.05,0.1,0.11,0.01,-0.04,0.13,0.12,0.08,-0.07,0.07,0.09,0.08,-0.12,0.09,0.13,0.05,-0.09,0.07,0.05,0.06,0.05,0.07,0.05,0.09,0.11,0.02,-0.03,-0.04,0.03,0.07,0.07,0.06,0.03,0.02,0.04,0.02,0.05,0.02,0.04,0.03,0.03,0.03,0.02,0.03,0.01,0.03,0.05,0.05,0.03,0.02,0.04,0.02,0.02,0.03,0.03,0.02,0.04,0.04,0.01,0.05,0.04,0.05,0.06,0.07,0.08,0.06,0.06,0.05,0.05,0.06
"30","20","      Food services and accommodations","DFSARS2",NA,0.05,0.43,0.73,0.16,0.08,0.14,-0.35,-0.17,-0.11,-0.12,-0.01,-0.08,0.15,0.52,0.25,0.83,0.06,-0.1,0.36,0.1,0.02,0.12,-0.05,-0.2,-0.08,0.07,0.05,0.07,0.14,-0.12,-0.05,0.06,-0.05,-0.02,-0.06,-0.02,0.19,0.18,0.07,0.19,0.06,0.16,-0.05,0.28,0.08,-0.05,0.08,0.22,0.21,0.16,0.09,0.14,0.04,0.05,0.03,0.09,0.1,0.1,0.11,0.06,0.1,0.11,0.08,0.09,0.08,0.02,0.09,0.05,0.08,0.01,0.03,0.1,0.05,0.13,0.14,0.09,0.17,0.21,0.18,0.23,0.21,0.15,0.18,0.19,0.19,0.23,0.2,0.19,0.21
"31","21","      Financial services and insurance","DIFSRS2",NA,0.06,0.25,0.14,0.05,0.11,0.13,0.03,-0.02,0.03,0.05,0.08,0.09,0.01,0.07,0.06,-0.02,-0.03,0,0.08,0.11,0.13,0.19,0.17,0.28,0.17,0.18,0.11,0.08,0.02,0.04,0.07,0.11,0.04,0.05,0.07,0.06,0.02,0.05,0.07,0.12,0.04,0.06,0.03,0.01,0.02,0.16,0.22,0.43,0.03,0.07,0.11,0.12,0.09,0.13,0.12,0.01,0.04,0.16,0.16,0.18,0.07,-0.04,-0.02,0.02,-0.06,0.04,0.08,0.15,0.14,0.13,0.12,-0.01,0.03,0.09,0.13,0.24,0.2,0.16,0.11,-0.03,-0.01,0.08,0.17,0.2,0.27,0.28,0.24,0.3,0.22
"32","22","      Other services","DOTSRS2",NA,0.13,0.57,0.31,0.19,0.25,0.28,0.08,0.03,0.07,0.13,0.14,0.08,0.01,0.29,0.34,0.32,0.16,0.16,0.33,0.21,0.15,0.17,0.11,0.28,0.08,0.18,0.12,0.15,-0.09,0.05,0.12,0.15,0.07,0.17,0.22,0.24,0.1,0.19,0.17,0.16,0.07,0.15,0.18,0.16,-0.01,0.09,-0.01,0.27,0.02,0.28,0.2,0.06,0.12,0.13,0.09,-0.02,0.06,0.04,0.08,0.09,0.12,0.04,0.12,0.15,0.08,0.09,0.1,0.12,0.11,0.14,0.12,0.15,0.1,0.12,0.13,0.02,0.25,0.26,0.2,0.08,0.16,0.12,0.13,0.32,0.26,0.22,0.25,0.23,0.24
"33","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRS2",NA,0.03,0.15,0.1,0.05,0.07,0.07,0,-0.03,0,0.01,0.01,0.01,0.01,0.08,0.12,0.12,0.05,0.02,0.01,-0.01,-0.02,0,-0.02,0.03,0.01,0.03,0.02,0.03,0,0.01,0.01,0.02,0.01,0.03,0.04,0.04,0.02,0.03,0.02,0.03,0.03,0.07,0.09,0.13,-0.03,-0.1,-0.21,-0.35,-0.17,-0.06,-0.05,-0.08,-0.08,-0.04,0,0.03,0.04,0.04,0.01,0.01,0.01,0,0.01,0.03,0.01,0.01,0.01,-0.01,0,0.02,0.01,0.05,0.03,0.02,0.04,0.03,0.04,0.04,0.04,0.01,0.04,0.02,0.03,0.04,0.03,0.04,0.05,0.07,0.07
"34","24","Gross private domestic investment","A006RS2",NA,2.31,1.91,0.72,0.78,1.45,1.97,0.32,-0.26,-0.21,-0.74,-0.38,-0.26,0.88,2.07,1.88,3.17,1.26,0.31,0.56,0.1,0.12,0.02,-0.23,0.01,0.29,0.43,-0.23,-0.02,0.13,-0.1,0,0.02,0.45,0.87,0.99,1.54,0.84,1.22,0.53,0.67,0.3,0.44,0.26,-0.47,0.31,0.09,0.12,-0.01,0.28,0.2,0.12,0.08,0.08,-0.04,-0.1,-0.12,0.01,-0.02,0.02,0.06,0.05,-0.01,-0.06,-0.01,-0.12,-0.19,0.18,-0.18,0.52,0.1,0.62,0.03,0.14,0.15,0.78,-0.22,1.12,0.04,0.78,0.24,0.28,0.38,0.8,0.72,0.65,0.41,1.41,0.78,0.76
"35","25","  Fixed investment","A007RS2",NA,2.27,1.54,1.35,0.65,1.43,1.96,0.59,-0.24,-0.25,-0.85,-0.41,-0.24,0.89,1.95,1.39,2.47,1.04,0.48,0.55,0.14,0.15,0.01,-0.15,0.05,0.29,0.41,-0.22,-0.05,0.15,-0.07,0.01,0.01,0.43,0.83,0.94,1.47,0.82,1.18,0.52,0.64,0.29,0.43,0.25,-0.51,0.26,0.1,0.13,0.12,0.29,0.21,0.12,0.07,0.09,-0.02,-0.1,-0.13,0.04,-0.02,0.02,0.06,0.07,-0.01,-0.05,0.02,-0.09,-0.19,0.17,-0.18,0.54,0.09,0.63,0.03,0.13,0.15,0.76,-0.24,1.11,0.02,0.74,0.23,0.29,0.4,0.76,0.7,0.62,0.4,1.39,0.77,0.73
"36","26","    Nonresidential","A008RS2",NA,1.27,1.09,0.73,0.16,1.13,1.39,0.49,-0.37,-0.19,-0.28,-0.4,-0.18,0.26,0.85,1.42,1.54,0.74,0.35,0.36,0.03,-0.03,-0.18,-0.02,0.04,0.27,0.25,-0.13,0.07,0.09,-0.33,0,-0.12,0.2,0.63,0.89,1.26,0.47,1.12,0.6,0.69,0.24,0.3,0.32,-0.42,0.24,0.1,0.11,0.08,0.28,0.22,0.1,0.01,0.02,-0.03,-0.12,-0.07,-0.03,-0.02,0.03,0.03,0.07,0,-0.03,0.01,-0.01,0.05,0.03,0.02,0.21,0.02,0.2,0.06,0.11,0.16,0.25,0,0.47,0.12,0.41,0.21,0.25,0.32,0.46,0.39,0.46,0.39,0.71,0.41,0.46
