"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Nonfarm \2\","B358RA3",11.788,12.063,11.739,12.35,12.477,12.439,12.545,12.478,12.388,12.309,12.472,12.356,12.883,13.35,14.069,14.22,14.489,14.554,14.74,14.782,14.941,14.868,14.916,15.62,15.906,15.985,15.903,15.594,15.411,15.404,15.623,16.003,16.573,16.837,17.081,17.235,17.126,17.241,17.174,17.451,17.667,17.563,17.728,17.417,16.787,16.872,17.392,17.95,18.31,18.881,18.788,18.758,19.312,19.085,19.031,18.625,18.758,19.249,19.628,20.065,20.473,20.682,20.909,20.952,21.149,21.498,22.015,22.185,22.8,23.055,23.378,23.393,24.112,24.496,24.994,25.689,26.424,26.522,26.687,26.797,26.993,26.938,27.136,27.357,28.018,28.557,28.748,28.875,29.368,29.402
"12","4","  Farm","B359RA3",18.043,15.137,19.396,14.629,15.973,20.592,19.966,20.903,18.427,18.686,18.79,18.419,20.609,20.429,18.587,18.79,17.22,18.383,19.563,18.908,18.572,19.567,20.558,19.386,20.461,21.48,20.117,19.863,21.482,21.583,21.084,20.75,20.759,22.385,22.559,21.095,20.865,21.682,21.571,22.786,20.131,20.424,20.692,22.295,22.522,22.825,21.302,19.846,21.711,21.025,20.828,22.482,20.637,21.67,23.674,24.864,24.295,22.979,22.457,21.938,22.199,22.834,22.199,22.68,24.519,23.378,22.511,22.352,21.323,21.997,22.802,23.682,24.019,23.091,24.562,23.932,24.372,23.122,21.564,23.187,24.426,25.054,25.193,24.901,24.226,23.87,23.87,24.111,24.61,24.756
"13","5","Households and institutions","B193RA3",9.506,9.553,9.651,9.793,9.975,10.148,10.309,10.457,10.589,10.751,10.94,11.155,11.393,11.62,11.836,12.042,12.228,12.421,12.612,12.801,13.009,13.206,13.409,13.626,13.833,14.05,14.251,14.439,14.633,14.858,15.127,15.441,15.795,16.122,16.42,16.692,16.931,17.17,17.402,17.627,17.855,18.091,18.346,18.618,18.899,19.178,19.443,19.698,19.922,20.241,20.596,21,21.349,21.722,22.029,22.352,22.554,22.589,22.825,23.296,23.596,23.912,24.27,24.636,24.775,24.963,25.252,25.467,25.727,26.097,26.343,26.632,26.927,27.29,27.764,28.177,28.433,28.597,29.062,29.375,29.579,29.9,30.295,30.727,31.052,31.432,31.823,32.162,32.566,32.959
"14","6","  Households","B701RA3",9.183,9.224,9.288,9.371,9.47,9.586,9.713,9.851,9.999,10.177,10.383,10.615,10.87,11.118,11.356,11.586,11.799,12.016,12.229,12.438,12.67,12.883,13.097,13.322,13.53,13.754,13.962,14.156,14.362,14.599,14.885,15.22,15.597,15.944,16.258,16.543,16.792,17.042,17.285,17.522,17.764,18.005,18.254,18.515,18.771,19.044,19.318,19.593,19.847,20.172,20.502,20.866,21.127,21.462,21.76,22.13,22.401,22.415,22.664,23.198,23.453,23.754,24.122,24.534,24.645,24.817,25.121,25.314,25.549,25.959,26.158,26.44,26.684,27.025,27.497,27.916,28.042,28.144,28.659,29.026,29.256,29.548,29.834,30.086,30.154,30.34,30.583,30.86,31.248,31.682
"15","7","  Nonprofit institutions serving households \3\","B702RA3",10.108,10.167,10.362,10.679,11.111,11.455,11.713,11.883,11.962,12.068,12.198,12.351,12.527,12.682,12.821,12.945,13.044,13.157,13.273,13.393,13.525,13.668,13.83,14.011,14.205,14.393,14.568,14.729,14.881,15.058,15.266,15.505,15.777,16.031,16.27,16.493,16.692,16.891,17.08,17.262,17.44,17.657,17.915,18.211,18.552,18.835,19.07,19.258,19.388,19.68,20.091,20.592,21.168,21.633,21.949,22.135,22.143,22.233,22.423,22.711,23.119,23.464,23.781,24.017,24.222,24.446,24.688,24.947,25.259,25.517,25.871,26.17,26.579,26.982,27.443,27.826,28.376,28.679,29.017,29.197,29.34,29.719,30.339,31.15,32.034,32.833,33.54,34.002,34.422,34.708
"16","8","General government \4\","B765RA3",28.44,27.563,27.444,26.946,26.759,26.292,26.531,26.806,26.842,26.842,26.761,26.333,26.01,26.422,27.003,29.378,30.428,32.782,34.44,34.82,35.524,36.056,36.32,36.235,36.509,36.69,36.846,36.673,36.599,36.622,36.75,36.844,36.822,36.644,36.875,37.071,37.181,37.367,37.796,38.091,38.28,38.54,38.866,38.619,38.572,38.874,39.406,39.654,39.476,39.642,39.89,40.191,40.639,41.327,41.501,41.805,42.275,42.562,43.126,43.968,44.4,44.762,45.076,45.214,45.607,46.118,46.675,46.945,47.359,47.859,48.313,48.708,48.819,49.383,50.058,50.832,51.527,52.39,53.482,54.555,55.262,55.596,56.312,56.71,57.497,58.201,58.668,58.682,59.184,59.677
"17","9","  Federal","B766RA3",47.746,45.43,44.878,43.465,43.017,41.851,42.249,42.594,42.203,41.7,41.03,39.627,38.74,39.662,41.003,46.777,49.205,54.863,58.795,59.49,61.106,62.262,62.664,62.131,62.512,62.625,62.608,61.802,61.291,61.044,61.019,60.837,60.502,59.697,59.736,59.686,59.607,59.333,59.811,60.027,60.201,60.428,60.653,59.388,58.825,58.872,59.57,59.691,59.046,59.174,59.372,59.671,60.182,61.305,61.075,61.294,61.68,62.149,63.014,64.799,65.732,66.079,66.235,65.979,66.39,67.097,67.645,67.693,67.846,68.351,68.887,68.956,68.713,69.028,69.713,70.79,71.948,73.298,75.23,76.955,78.79,79.079,79.907,80.023,80.667,81.662,82.004,81.249,81.712,82.238
"18","10","  State and local","B767RA3",16.346,16.602,16.83,16.998,16.983,16.994,17.134,17.38,17.734,18.112,18.464,18.729,18.798,18.853,18.912,18.998,19.13,19.287,19.466,19.652,19.774,19.911,20.096,20.31,20.524,20.756,21.031,21.273,21.486,21.689,21.919,22.196,22.379,22.615,22.985,23.356,23.595,24.096,24.508,24.866,25.072,25.363,25.769,26.194,26.495,26.987,27.429,27.777,27.912,28.113,28.409,28.726,29.153,29.575,30.029,30.401,30.944,31.119,31.503,31.757,31.878,32.26,32.685,33.084,33.477,33.876,34.455,34.877,35.474,35.989,36.404,37.028,37.377,38.122,38.812,39.413,39.825,40.398,40.978,41.663,41.679,42.049,42.709,43.289,44.178,44.714,45.266,45.754,46.288,46.767
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009A3",9.008,9.069,9.153,9.258,9.378,9.513,9.659,9.814,9.977,10.144,10.314,10.487,10.657,10.84,11.03,11.227,11.428,11.642,11.864,12.093,12.345,12.567,12.776,12.973,13.135,13.328,13.53,13.742,13.978,14.197,14.411,14.62,14.824,15.025,15.224,15.422,15.607,15.821,16.049,16.292,16.574,16.825,17.071,17.311,17.514,17.772,18.053,18.357,18.766,19.039,19.405,19.749,20.042,20.302,20.606,20.981,21.25,21.479,21.783,22.216,22.469,22.895,23.22,23.665,23.813,24.053,24.361,24.669,24.898,25.174,25.479,25.911,26.221,26.543,26.943,27.31,27.543,27.802,28.205,28.576,28.901,29.225,29.612,29.928,30.15,30.265,30.58,30.986,31.368,31.805
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
