"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"24","17","  Federal grants-in-aid","B089RC1",13.7,18.3,22.1,30.5,33.5,34.9,43.6,49.1,54.8,63.5,64,69.7,69.4,66.3,67.9,72.3,76.2,82.4,78.4,85.7,91.8,104.4,124,141.7,155.7,166.8,174.5,181.5,188.1,200.8,219.2,233.1,261.3,287.2,321.7,332.2,343.4,340.8,359,371,458.1,505.3,472.5,443.2
"25","18","  From business (net)","W076RC1",0.5,0.6,0.6,0.7,0.9,1.1,1.2,1.4,1.6,1.9,2.2,2.5,2.9,3.2,3.6,4.2,4.4,6.7,4.9,5.4,6.4,7.1,7.9,9.2,10.5,12,13.5,15.2,17.7,21.6,24,28.6,29.8,32.6,33.8,36.5,36.5,38.8,40.5,43.6,44,43.4,44.2,41.9
"26","19","  From persons","B246RC1",1.1,1.2,1.4,1.7,1.7,2,2.4,2.9,3.3,3.7,4.1,4.7,5.7,6.4,7.2,8.1,9.2,10.6,11.2,12,13.4,14.9,18.7,21.9,23.5,25.2,26.5,27.8,30.3,31.1,34.2,38,42,45.6,49.5,53.7,56.5,59.3,61.4,63.3,64,63.2,65.2,67.5
"27","20","Current surplus of government enterprises","B115RC1",1.3,1.3,1.1,1.2,1.2,0.6,0.1,0.2,0.1,0,-0.5,-1.4,-2.6,-1.7,-0.4,1.3,2.9,2.6,2.7,4.4,5.6,5.6,5.7,5.8,7.3,7.8,10.6,12.4,10.9,8.7,9,5.4,2.4,0.1,-2.8,-6.7,-7.3,-11.1,-18.5,-22,-21.4,-19.8,-16.5,-14.3
"28","21","    Current expenditures","W024RC1",100.2,115.9,133,148.5,163.1,184.1,213.3,229.1,249.5,271.9,297.6,329.9,362.9,393.2,423.6,454.7,496.7,536.4,572.9,612.9,673.4,736,804.6,873.1,914.3,961,1011.4,1045,1084.1,1133.3,1212.6,1293.2,1417.9,1509.4,1596,1683.4,1775.4,1850.3,1973.3,2074.1,2191.2,2235.8,2243,2292.1
"29","22","Consumption expenditures","A991RC1",80.4,92.1,104.2,115.4,126.8,144.5,165.6,177.2,193,209.9,229.4,252.8,276.1,297.4,316.7,340,371.8,399.9,428.3,458.9,501.3,546.2,580.1,619,646.5,682.2,716.8,748.1,785.9,835.7,902,969.1,1039.7,1091,1127.1,1187.6,1256.6,1325.9,1411.4,1488.7,1508.4,1518.3,1517.4,1536.4
"30","23","Government social benefit payments to persons","B109RC1",13.2,16.1,19.3,22,24.1,25.3,30.8,34.1,37,40.8,44.3,51.2,57.1,61.2,66.9,71.2,77.3,84.3,90.7,98.5,109.3,127.7,156.5,180,195.2,206.7,217.6,224.3,227.6,235.8,252.3,271.4,305.1,333,353.6,385,406.6,403.9,433.3,455.4,492.6,523.8,532,544.3
"31","24","Interest payments \1\","B111RC1",6.6,7.7,9.4,11.1,12.2,14.2,16.7,17.6,19.2,21,23.5,25.6,29.3,34.2,39.5,43.2,47.3,51.8,53.5,55.1,62.3,61.8,67.6,73.6,72.2,71.8,76.6,72.4,70.2,61.4,57.8,52.1,65.4,84.4,115.2,110.5,111.8,120.1,121.5,127,188.8,192.1,192.9,211
"32","25","Subsidies","B114RC1",0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.5,7.7,0.9,0.1,0.4,0.4,0.4,7.1,3,1.4,1.6,0.5,0.5
"33","26","    Net state and local government saving","A924RC1",4.1,3,0.6,8.4,9.6,2.3,-5.6,2.8,8.4,13.4,8.2,5.4,4.1,-5.1,1.3,20.9,20.3,20.4,12.1,17,7.4,-6.5,-25.1,-37.5,-37.2,-27,-31.5,-12.5,1.7,15.4,9.2,9.9,-65.3,-120.9,-121.4,-108.4,-66.6,-39.4,-72.7,-165.1,-271.9,-237.3,-213.1,-252.7
"34","27","Social insurance funds","B118RC1",0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,1,1.5,1.8,1.3,1.3,1.2,1.2,1.4,1.3,1.9,2.2,2.5,2.3,2,2.4,3.1,4.2,4.6,4,2.8,1.2,1.7,1.7,2,2.6,1.4,3.2,7.3,7.2,4.6,2.7,1.7,2.2,3.2,4.2,3.9
"35","28","Other","B119RC1",3.9,2.8,0.4,8.2,9.3,1.9,-6,2.2,7.5,12,6.4,4.1,2.8,-6.3,0.1,19.5,18.9,18.6,9.9,14.5,5.1,-8.4,-27.5,-40.7,-41.4,-31.6,-35.6,-15.3,0.5,13.7,7.5,7.9,-67.9,-122.3,-124.7,-115.7,-73.8,-44,-75.4,-166.8,-274.1,-240.5,-217.3,-256.6
"36",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","29","  Total receipts","W077RC1",111.2,125.1,140.6,164.2,180.1,195.6,218.7,243.9,271,299,322,353.9,384.8,405.1,442.8,495.7,538.9,579.8,607.3,652.9,704.2,754.6,805.3,862.5,905.3,964,1012.2,1066.4,1121,1184.7,1261.8,1347.3,1404.4,1441.3,1526.6,1627.5,1765.6,1868.7,1959.9,1972.3,1987,2075.2,2103.8,2113.5
"38","30","    Current receipts","W023RC1",104.3,118.9,133.6,156.9,172.8,186.4,207.7,231.9,257.9,285.3,305.8,335.3,367,388.1,424.8,475.6,516.9,556.8,585,629.9,680.8,729.6,779.5,835.6,877.1,934.1,979.8,1032.6,1085.8,1148.7,1221.8,1303.1,1352.6,1388.4,1474.6,1575.1,1708.8,1810.9,1900.6,1909.1,1919.2,1998.5,2029.9,2039.4
"39","31","    Capital transfer receipts","AD06RC1",6.8,6.2,7,7.3,7.3,9.2,11,12,13.1,13.7,16.2,18.6,17.8,16.9,18,20.1,22,23,22.3,23.1,23.4,25,25.8,26.9,28.2,29.9,32.4,33.8,35.2,35.9,40,44.2,51.7,52.9,52,52.4,56.8,57.8,59.3,63.2,67.7,76.7,73.9,74.1
"40","32","  Total expenditures","W079RC1",120.4,135.4,153.1,168.2,184,208.1,238.8,253.6,271.5,299,329.3,364.7,394.2,421.2,451.8,490.4,540.2,586,625.1,669.8,735.6,807.2,876.9,944.5,983,1033.1,1089.7,1128.6,1179,1232.9,1326.7,1418.5,1554.8,1654.8,1741.8,1832.9,1925.3,2005.3,2141.2,2246.6,2358.3,2385.5,2368.6,2405.9
"41","33","    Current expenditures","W024RC1",100.2,115.9,133,148.5,163.1,184.1,213.3,229.1,249.5,271.9,297.6,329.9,362.9,393.2,423.6,454.7,496.7,536.4,572.9,612.9,673.4,736,804.6,873.1,914.3,961,1011.4,1045,1084.1,1133.3,1212.6,1293.2,1417.9,1509.4,1596,1683.4,1775.4,1850.3,1973.3,2074.1,2191.2,2235.8,2243,2292.1
"42","34","    Gross government investment","A799RC1",28.8,29.3,30.7,31.3,34,40.5,44.6,44.9,44,50.8,58.4,65.7,66.9,67,68.8,77.6,87.3,96.2,102.2,110.4,119.2,132.2,137.3,139.7,141.2,148.8,160,170.2,185.8,193.7,213.6,232.9,249.8,263.3,268.9,277.5,290.8,314.3,340.8,358.8,363,351.9,337.2,334.9
"43","35","    Capital transfer payments","W080RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,6.4,0,0,0,0,0,0,0
"44","36","    Net purchases of nonproduced assets","AD09RC1",1,1.1,1.6,1.7,1.7,1.9,1.9,1.7,1.6,1.8,2,2.2,2.2,2.2,2.2,2.6,3.1,3.7,4.2,4.3,4.9,5.7,5.8,5.9,5.9,6.2,6.6,6,5.8,7.6,8.6,8.6,10.1,11.2,11.4,11.3,10,11,13.6,13.8,12.3,10.6,10.1,10.2
"45","37","    Less: Consumption of fixed capital","A919RC1",9.7,10.9,12.2,13.3,14.9,18.3,21,22.1,23.5,25.5,28.6,33.1,37.8,41.3,42.8,44.4,46.9,50.3,54.1,57.8,61.9,66.7,70.9,74.1,78.3,82.9,88.3,92.6,96.9,101.8,108.1,116.2,123,129,134.5,143.8,157.3,170.3,186.6,200.2,208.2,212.7,221.7,231.4
"46","38","  Net lending or net borrowing (-)","AD03RC1",-9.2,-10.3,-12.5,-4,-3.9,-12.6,-20.1,-9.7,-0.5,0,-7.3,-10.8,-9.4,-16.1,-9,5.3,-1.3,-6.1,-17.9,-16.9,-31.4,-52.7,-71.6,-82,-77.8,-69.1,-77.5,-62.2,-57.9,-48.3,-64.8,-71.2,-150.5,-213.5,-215.2,-205.4,-159.7,-136.6,-181.2,-274.3,-371.4,-310.3,-264.8,-292.4
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","net of interest payments.  Interest payments includes interest accrued on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","actuarial liabilities of defined benefit pension plans for state and local government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
