"","Table 6#22C# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"43","36","  Transportation","A1756C0",20910,22170,23236,23360,23310,23675,24996,27205,29540,30675,32221,35001,38561,40107
"44","37","    Railroad transportation","B1757C0",4597,4401,4633,4350,4023,4118,4443,4581,5046,4855,4660,4665,5405,5410
"45","38","    Local and interurban passenger transit","B1758C0",857,849,608,667,682,730,769,800,763,894,1212,1689,1954,1972
"46","39","    Trucking and warehousing","B1759C0",6169,7202,7310,6872,6820,6806,7304,8701,10165,10608,10874,13612,14486,15659
"47","40","    Water transportation","B1760C0",1046,1094,1192,1192,1198,1222,1190,1474,1719,1610,1639,1732,1771,1858
"48","41","    Transportation by air","B1761C0",6219,6482,7038,7009,7454,8350,8799,8929,9614,10289,11439,11583,12927,13287
"49","42","    Pipelines, except natural gas","B1762C0",334,176,172,154,172,153,152,156,83,144,74,826,1017,982
"50","43","    Transportation services","B1763C0",1688,1966,2283,3116,2961,2296,2339,2564,2150,2275,2323,893,1000,939
"51","44","  Communications","A1764C0",38110,40048,42213,43339,44300,46413,48707,51103,57191,59382,63768,69727,79853,88205
"52","45","    Telephone and telegraph","B1765C0",31967,32973,34204,34557,34775,36407,37982,39635,42097,43920,47429,51360,60208,69315
"53","46","    Radio and television","B1766C0",6143,7075,8009,8782,9525,10006,10725,11468,15094,15462,16339,18368,19645,18890
"54","47","  Electric, gas, and sanitary services","B1767C0",33603,33562,35261,35999,37276,36407,36765,36964,39595,36226,35410,33565,33986,35153
"55","48","Wholesale trade","B1768C0",18135,19722,21673,23355,25497,27994,31495,36638,40243,44260,47210,49697,52498,55184
"56","49","Retail trade","B1769C0",26631,27893,28518,28459,28876,28638,30977,32744,32515,37092,39923,43330,45258,49436
"57","50","Finance, insurance, and real estate","A1770C0",41172,44982,48743,49323,51442,50321,55477,61173,70240,75029,87465,99891,114247,125121
"58","51","  Depository institutions","B1796C0",20384,22172,25304,24810,26019,24810,27029,29893,36102,40434,48578,54691,62124,68978
"59","52","    Federal Reserve banks","B1772C0",122,127,137,145,155,174,205,225,232,249,258,257,267,281
"60","53","    Commercial and mutual depository institutions","B1797C0",20262,22045,25167,24665,25864,24636,26824,29668,35870,40185,48320,54434,61857,68697
"61","54","  Nondepository institutions","B1798C0",1572,1714,1796,3013,2924,2862,3240,3541,4080,4429,4837,8101,11121,13676
"62","55","  Security and commodity brokers","B1775C0",1574,1775,1922,1510,1418,1519,1745,2055,2007,2856,3634,5288,7580,6944
"63","56","  Insurance carriers","B1776C0",6802,8007,8352,7825,8703,8871,10335,11600,13152,13054,14479,15170,14847,15931
"64","57","  Insurance agents, brokers, and service","B1777C0",1212,1246,1267,1378,1292,1370,1391,1556,1553,1714,1911,2637,2697,3051
"65","58","  Real estate","B1778C0",6258,6714,6911,7711,7738,7616,8109,8188,8479,8714,8937,8842,9289,9771
"66","59","  Holding and other investment offices","B1779C0",3370,3354,3191,3076,3348,3273,3628,4340,4867,3828,5089,5163,6588,6770
"67","60","Services","A1780C0",38275,42261,45736,46661,49803,51200,54253,61082,65179,72071,80994,88772,100963,107604
"68","61","  Hotels and other lodging places","B1781C0",2192,2165,2732,2591,2909,2574,2734,3418,3675,4450,6231,5245,5719,6118
"69","62","  Personal services","B1782C0",1200,1490,1788,1404,1487,1471,1479,1576,1741,1739,1926,2457,2554,2710
"70","63","  Business services","B1783C0",11892,13349,13027,14714,15696,16613,16796,18724,19892,24434,27249,32298,39531,43937
"71","64","  Auto repair, services, and parking","B1784C0",6167,7306,8039,8258,9193,9354,9591,10977,11843,12206,11569,12605,14870,15436
"72","65","  Miscellaneous repair services","B1785C0",457,492,590,476,568,627,641,665,696,756,795,753,723,850
"73","66","  Motion pictures","B1786C0",3179,3190,3608,3458,3703,2920,3305,3260,3540,4089,4275,7099,7093,6473
"74","67","  Amusement and recreation services","B1787C0",2739,2779,3479,3351,3658,3653,4565,5357,5315,4786,7298,4695,5031,4334
"75","68","  Other services","A1788C0",10449,11490,12473,12409,12589,13988,15142,17105,18477,19611,21651,23620,25442,27746
"76","69","    Health services","B1789C0",5678,5749,6293,5760,5492,6214,6315,6979,7656,7567,8611,8889,9174,9554
"77","70","    Legal services","B1790C0",581,686,468,472,405,310,330,674,618,733,779,685,762,863
"78","71","    Educational services","B1791C0",519,570,633,458,706,671,716,750,725,892,919,1094,1246,1468
"79","72","    Other \1\","B1792C0",3671,4485,5079,5719,5986,6793,7781,8702,9478,10419,11342,12952,14261,15861
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of social services; membership organizations; engineering and management services,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","except for commercial research and testing services and for management and public relations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
