"","Table 6#17D# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"30","23","      Furniture and related products","N3023C0",3505,3725,3081,1556,2247,2164,2406,4197,4963,3498,1429,1021,2047,2069,NA,NA
"31","24","      Miscellaneous manufacturing","N3024C0",9552,8820,7728,5066,9143,8343,8677,11282,14241,12363,7569,15825,19617,17699,NA,NA
"32","25","    Nondurable goods","N564RC0",76899,88004,99251,83851,73507,97961,140252,178888,217337,213478,179880,136063,167898,184375,200422,198492
"33","26","      Food and beverage and tobacco products","N3026C0",21539,31760,26772,29227,27069,28140,28336,29741,36370,36722,32228,45174,49595,45393,NA,NA
"34","27","      Textile mills and textile product mills","N3028C0",2534,2043,1042,-645,-122,262,679,932,1235,1163,680,484,1299,1095,NA,NA
"35","28","      Apparel and leather and allied products","N3029C0",2921,2029,2706,2076,4802,2727,3422,3947,3747,2946,1491,2189,2764,3064,NA,NA
"36","29","      Paper products","N3031C0",3114,5364,7121,-401,14,145,4553,6081,12046,8571,1653,5425,7982,6599,NA,NA
"37","30","      Printing and related support activities","N3032C0",5026,4998,4305,3058,3337,3452,3847,5388,5976,5114,2912,2326,4670,3859,NA,NA
"38","31","      Petroleum and coal products","N3033C0",2752,3559,27160,26907,5575,26702,51395,83109,80535,80135,80867,16496,26366,50809,NA,NA
"39","32","      Chemical products","N3034C0",32904,32194,26959,22215,30318,33725,42397,43789,71938,72284,58710,58030,66839,64634,NA,NA
"40","33","      Plastics and rubber products","N3035C0",6109,6057,3187,1413,2515,2807,5621,5902,5490,6544,1338,5940,8384,8922,NA,NA
"41","34","  Wholesale trade","N567RC0",50901,56301,62865,48230,54052,63050,83976,103414,116451,117839,98879,89093,117321,116262,141322,147459
"42","35","    Durable goods","N512RC0",30837,33910,38275,24686,27276,29161,46310,60810,67746,65069,49566,36517,56340,61805,NA,NA
"43","36","    Nondurable goods","N3038C0",20064,22391,24590,23544,26777,33889,37666,42605,48706,52769,49313,52576,60981,54457,NA,NA
"44","37","  Retail trade","N3039C0",61731,61693,53495,69570,79760,89690,99032,126952,136169,126169,87389,110525,125269,126183,161847,171563
"45","38","  Transportation and warehousing","N3040C0",12599,7667,9767,-968,-5684,4911,12325,28157,41163,24529,27631,22969,45145,30925,51743,62527
"46","39","    Air transportation","N3041C0",4372,2730,-434,-11941,-16604,-8105,-8406,-6242,2662,-1039,-2705,524,10843,6148,NA,NA
"47","40","    Rail transportation","N3042C0",568,195,1989,1146,1285,1394,2438,6811,10247,10042,9384,5626,8723,7438,NA,NA
"48","41","    Water transportation","N3043C0",245,-196,403,589,249,330,513,1234,1793,1203,1747,174,725,-137,NA,NA
"49","42","    Truck transportation","N3044C0",3190,2328,3046,2764,1750,4189,6886,10792,10070,6157,6741,4966,9264,6213,NA,NA
"50","43","    Transit and ground passenger transportation","N513RC0",683,415,614,690,907,700,814,857,934,671,436,965,1530,1254,NA,NA
"51","44","    Pipeline transportation","N3046C0",1008,549,-33,841,916,720,1005,1045,913,1323,1473,1730,1192,-4707,NA,NA
"52","45","    Other transportation and support activities \2\","N3047C0",1845,863,3543,4398,5132,5223,8377,12392,13032,4959,9422,7537,11273,13378,NA,NA
"53","46","    Warehousing and storage","N514RC0",688,782,638,546,681,460,697,1269,1512,1213,1132,1447,1595,1338,NA,NA
"54","47","  Information","N510RC0",32917,20428,-12059,-26638,-3923,15723,52311,91308,107307,108763,92881,81270,95175,83816,101207,108352
"55","48","    Publishing industries (includes software)","N511RC0",11019,16214,2136,2384,11405,14415,20206,27454,20537,18774,14095,13683,20322,20379,NA,NA
"56","49","    Motion picture and sound recording industries","N3051C0",1052,1691,835,3507,7984,7409,10986,6135,8478,10274,12713,12621,19975,22033,NA,NA
"57","50","    Broadcasting and telecommunications","N3091C0",23393,6825,241,-20478,-24020,-7462,13046,51106,66781,71872,56600,47678,47775,36165,NA,NA
"58","51","    Information and data processing services","N3053C0",-2548,-4303,-15270,-12051,709,1360,8073,6613,11511,7843,9473,7289,7103,5239,NA,NA
"59","52","  Finance and insurance","N3092C0",84944,86677,62978,96164,157545,189170,210973,247954,252235,166908,-43676,214733,220025,204948,315378,351184
"60","53","    Federal Reserve banks","N3093C0",25600,26676,31230,28878,23519,20079,20041,26579,33838,35995,35079,47329,71556,75942,NA,NA
"61","54","    Credit intermediation and related activities","N3056C0",49872,57299,61628,68217,89769,87111,78385,87518,72388,56800,40310,86942,73974,103264,NA,NA
"62","55","    Securities, commodity contracts, and investments","N3057C0",-1437,-1620,-23668,-5857,7019,12296,18059,24256,28554,-15178,-97931,32092,20864,4264,NA,NA
"63","56","    Insurance carriers and related activities","N3058C0",26567,19816,15482,8458,25395,55011,87184,99478,106303,85164,-12222,50118,58541,34285,NA,NA
"64","57","    Funds, trusts, and other financial vehicles","N3059C0",-15658,-15494,-21695,-3532,11843,14673,7305,10123,11152,4126,-8913,-1749,-4910,-12807,NA,NA
"65","58","  Real estate and rental and leasing","N3060C0",10087,9626,8998,7048,8968,9582,12248,27002,23358,18195,5881,7195,13330,2428,22281,26511
"66","59","    Real estate","N3061C0",6174,7310,8120,5169,7554,8849,13095,18682,12933,8493,2237,2299,7666,6349,NA,NA
"67","60","    Rental and leasing services and lessors of intangible assets \3\","N3062C0",3914,2315,878,1879,1414,733,-847,8320,10425,9702,3644,4896,5664,-3921,NA,NA
"68","61","  Professional, scientific, and technical services","N3063C0",28083,27691,8882,12332,24062,31897,39972,47384,56552,58142,64647,68570,82994,77471,77111,73765
"69","62","    Legal services","N3064C0",2712,4128,5945,8503,9194,9041,9702,12305,11716,11538,13775,15138,15420,16378,NA,NA
"70","63","    Computer systems design and related services","N3065C0",7076,3610,-13059,-9956,-2323,2135,4246,3354,6316,7829,9653,13863,14765,13395,NA,NA
"71","64","    Miscellaneous professional, scientific, and technical services \4\","N3066C0",18295,19953,15996,13785,17190,20721,26024,31725,38519,38775,41220,39570,52809,47698,NA,NA
"72","65","  Management of companies and enterprises \5\","N3067C0",53968,67913,86731,98821,113149,117365,138437,161721,162909,134608,139113,148131,186307,171001,173480,182280
"73","66","  Administrative and waste management services","N3070C0",8198,8985,8551,10157,10467,14067,15721,23627,20661,26124,23362,22868,28355,27862,31196,32433
"74","67","    Administrative and support services","N3071C0",6389,7533,7274,8594,8305,10878,12822,19201,19563,19886,18574,16351,20300,21744,NA,NA
"75","68","    Waste management and remediation services","N3072C0",1808,1452,1277,1562,2162,3188,2899,4427,1098,6238,4788,6517,8054,6118,NA,NA
"76","69","  Educational services","N3073C0",1926,1996,2020,1718,2333,3106,4346,5208,5295,5233,5895,9571,11403,9416,8324,7596
"77","70","  Health care and social assistance","N3074C0",13108,18938,22703,29064,38358,41832,44050,54214,58080,57590,61253,73226,78111,78519,87204,84730
"78","71","    Ambulatory health care services","N3075C0",10205,14022,16284,22363,27098,29563,31066,37011,39974,38992,42396,50687,52168,51573,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3076C0",1957,3357,3303,2634,6622,7290,7827,10365,10710,8629,9715,11731,13431,15564,NA,NA
"80","73","    Social assistance","N3077C0",946,1558,3116,4066,4638,4978,5157,6838,7397,9969,9142,10809,12512,11382,NA,NA
"81","74","  Arts, entertainment, and recreation","N3078C0",2904,2976,2514,3241,4097,4357,5992,8034,8226,7114,6354,6694,7625,9897,11280,11241
"82","75","    Performing arts, spectator sports, museums, and related activities","N3079C0",1200,1372,1127,1579,1899,2474,3335,3984,4655,4359,4100,4055,3977,6030,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3080C0",1704,1604,1387,1662,2197,1883,2657,4050,3571,2755,2254,2639,3648,3867,NA,NA
"84","77","  Accommodation and food services","N3081C0",9367,11901,14425,11690,13659,12516,16367,22255,24222,21348,14371,13353,17766,22887,28010,29775
"85","78","    Accommodation","N3082C0",2069,3243,4031,1489,2567,1495,3859,5860,6436,4670,1995,-4206,-2854,2888,NA,NA
"86","79","    Food services and drinking places","N3083C0",7298,8658,10394,10201,11092,11020,12507,16395,17786,16679,12375,17560,20620,19998,NA,NA
"87","80","  Other services, except government","N3084C0",3880,3572,5785,6914,4936,5826,6587,11197,12129,11024,7122,9624,15053,15404,16509,15180
"88","81","Rest of the world \6\","B394RC0",102761,122003,146179,170400,158757,166628,205032,239077,256164,353383,406697,357190,395181,421908,401840,403054
"89","82","  Receipts from the rest of the world","B3075C0",146786,177293,203036,183286,205280,250043,328177,383690,433769,510428,581990,498086,584607,644332,644336,657061
"90","83","  Less: Payments to the rest of the world","B3076C0",44025,55290,56857,12886,46523,83415,123145,144613,177605,157045,175293,140896,189426,222424,242495,254007
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","foreign affiliates, and earnings of unincorporated foreign affiliates (line 82), net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","corresponding payments (line 83).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
