"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","      To persons","W270RC1",518.1,551.3,584.3,638.5,708.5,772,814.5,899.4,993.8,1120.2,1252.9,1373,1510.9,1587,1676.9,1844.3,1981.9,2101.4,2255.3,2438.8,2582,2740,2813.2,2963.7,3077.5,3234.6,3415.8,3614.3,3874.6,4179.2,4453.8,4821.5,4949.9,4991.8,5133.2,5417.2,5687.2,6052.3,6389.9,6526.5,6245.7,6371.6,6627.1,6925.7,7118,7439.1
"12","5","      To the rest of the world","B4189C1",0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,2.7,2.4,1.9,2.3,3.5,4,4.8,5.1,6,6.3,6.3,6.7,7,11.4,11,11.7,12.4,12.9,14,15.9,16.4,15.7,17.1,14.4,14,14.2,14.8,15.6,15.9
"13","6","  Supplements to wages and salaries","A038RC1",67.7,73.6,82.5,94.9,106.3,118,135.3,151.5,174.8,199.7,227.7,252.8,283.9,306.8,336.4,372.5,406.4,441.5,468,510.3,559.5,601.5,637.5,705.6,741.3,773.5,784.6,805.6,837.8,896.2,952.3,1030.7,1092.1,1145.5,1226.6,1317.6,1394.8,1444.9,1503.1,1546.4,1535.6,1583.9,1635.9,1674.4,1720.1,1775.6
"14","7","Taxes on production and imports","W056RC1",83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.6,808,863.9,934.5,991.9,1034.6,1041.9,1026.1,1057.1,1102.6,1132,1162.4,1203.2
"15","8","Less: Subsidies \1\","A107RC1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.5,54.6,52.6,58.3,55.9,60.1,58,60.2,57.4
"16","9","Net operating surplus","W271RC1",228.1,222,246.6,279.5,317.3,323.3,357.1,405.4,456.8,526.1,563.6,575.7,669.6,683.5,767.4,921.4,982.9,987.1,1058.8,1174.8,1242.1,1258.4,1270.2,1341.3,1432.4,1589.5,1720.9,1895.9,2059.4,2153.6,2251.4,2344.2,2410.1,2517.3,2665.4,2885.5,3175.7,3483,3307,3176.5,3211.6,3562.8,3785.9,4153.2,4396.8,4482.3
"17","10","  Private enterprises","W260RC1",228.1,223.2,248.3,280.6,319.5,326,361.5,408.1,460.1,528.9,566.8,580.8,674.8,687.3,769.7,922.8,981.6,985.2,1056.6,1169.8,1235.4,1255.2,1262.3,1331.4,1421.6,1577.7,1705.3,1879,2041.9,2137.3,2235.2,2333.4,2404.9,2510.3,2661.5,2887.3,3182.1,3492.3,3323.5,3197.7,3232.2,3585.7,3810.5,4178.5,4426.4,4516.4
"18","11","    Net interest and miscellaneous payments, domestic industries","W272RC1",34.1,41.2,45.5,50.3,59.5,75.4,87.5,89.6,104.6,120,143.6,187.4,235,273.4,289.6,336.2,360.6,385.9,398.7,428.2,483.7,489.1,450.6,422.8,413,416,436.6,447.9,493.7,557.8,575.7,667.6,677.8,592.9,557.4,510.1,632.2,758.1,880.7,916.4,760.9,670.6,655.2,657.7,669.6,659.6
"19","12","    Business current transfer payments (net)","B029RC1",4.8,4.4,4.2,4.8,5.7,6.8,9,9.1,8.1,10.4,12.8,14,16.9,19.3,21.7,29.2,34.1,36,33.3,32.8,38.3,39.2,38.9,39.7,39.4,40.7,45,52.6,50.1,64.1,67.8,85.3,99.1,80.7,76.3,81.4,93.9,82.6,98.6,114.4,124.9,128.5,131.5,106.7,120.6,140.6
"20","13","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1143.7,1260.2,1336.6,1380.2
"21","14","    Rental income of persons with capital consumption adjustment","A048RC1",20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42,64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,485.3,533,595.8,640.2
"22","15","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",91.8,79.1,92.8,107.7,118.5,108.2,124.2,157.8,186.7,215.7,214.4,188.1,217.8,197.3,244.7,301.3,316.4,284.9,318,357.9,347.1,341.1,374.9,402.2,445.1,543.9,610.1,684.1,758.2,701.3,708.2,635,583.6,748.4,889.7,1078.3,1238.7,1390.3,1175.6,878.4,1039.8,1351.2,1394.7,1621,1703.8,1695.8
"23","16","      Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.4,445.5,309.1,269.4,370.6,379.1,454.8,474.3,592.6
"24","17","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",51.8,44.4,54.6,65.3,68.5,55.5,72.6,92.5,112.2,130.8,124.4,100.9,133.5,130.8,164.1,203.8,217,175.2,187.5,216.3,201,195.6,236.3,253.5,274,350.8,392.2,452.6,512.8,453,449.4,369.9,380.3,556.1,646,772.2,826.3,917,730.1,569.3,770.3,980.7,1015.6,1166.2,1229.5,1103.2
"25","18","        Net dividends","A449RC1",20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98,126.4,144.1,156.2,161.5,184.7,197.8,226.2,263.1,292.2,314.8,306.4,355.4,329.9,352.3,401.9,501.8,319.7,648.1,678.5,628.1,456.5,442.5,548.8,680.3,826.7,724.6
"26","19","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",31.4,24,34.3,43.4,45.4,32,46.2,62.4,78.5,91.2,82.9,53.6,75.2,69.4,92.7,125.3,131.3,86.9,91.9,118.2,74.7,51.6,80.1,92,89.3,153,166.1,189.5,220.6,138.2,143.1,14.5,50.4,203.8,244.1,270.4,506.6,268.9,51.6,-58.8,313.8,538.1,466.9,485.9,402.8,378.5
"27","20","  Current surplus of government enterprises \1\","A108RC1",0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2,2.2,5,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-24.5,-25.3,-29.6,-34.2
"28","21","Consumption of fixed capital","A262RC1",124.9,136.8,148.9,160.9,178.1,206.2,237.5,259.2,288.3,325.1,371.1,426,485,534.3,560.5,594.3,636.7,682.2,728,782.4,836.1,886.8,931.1,959.7,1003.6,1055.6,1122.8,1176,1240,1310.3,1400.9,1514.2,1604,1662.1,1727.2,1831.7,1982,2136,2264.4,2363.4,2368.4,2381.6,2450.6,2530.2,2627.2,2736.2
"29","22","  Private","A024RC1",89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335,381.9,420.4,438.8,463.5,496.4,531.6,566.3,608.3,650.1,689,722.4,744.2,780,824.3,882.6,931,990.1,1054.9,1135.9,1236.6,1317.7,1368,1422.4,1509.3,1635.3,1765,1865,1936.9,1925.7,1923.5,1971.1,2034.2,2120.8,2216.3
"30","23","  Government","A264RC1",35.4,38.5,41.2,43.4,46.6,53,58.7,62.7,67.2,72.9,80.4,91,103.1,113.9,121.8,130.8,140.2,150.6,161.6,174.1,186,197.8,208.8,215.6,223.6,231.2,240.2,245,249.9,255.3,264.9,277.7,286.3,294.1,304.9,322.4,346.7,371,399.4,426.5,442.7,458.1,479.6,496,506.4,519.9
"31",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","  Statistical discrepancy","A030RC1",1.6,5.3,9.5,7.1,6.1,7.4,13.2,20.5,19.3,23.2,44.8,43.9,36.7,6.8,54.2,38.7,51.3,76.7,40.6,-0.5,64.2,91.4,88.4,110.9,152.3,136.8,90.6,56.6,12.3,-60.1,-37.5,-99.5,-115,-72.8,-13.6,-8.6,-35.5,-217.3,17.5,99.4,75.3,49.2,-38.3,-209.2,-211.9,-176
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Prior to 1959, subsidies (line 8) and the current surplus of government enterprises (line 20) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
