"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"11","4","    Government","A553RC1",105.6,117.2,126.8,137.9,148.8,160.5,176.2,188.9,202.6,220,237.1,261.5,285.8,307.5,324.8,348.1,373.9,397.2,423.1,452,481.1,519,548.8,572,589,609.5,629,648.1,671.9,701.3,733.8,779.8,822,873.2,913.3,952.7,991.5,1035,1088.8,1144.1,1175.1,1191.1,1194.8,1198.3,1208.1,1222.1
"12","5","    Other","B203RC1",412.7,434.3,457.8,500.9,560,611.8,638.6,710.8,791.6,900.6,1016.2,1112,1225.5,1280,1352.7,1496.8,1608.7,1705.1,1833.2,1987.7,2101.9,2222.2,2265.7,2393.5,2490.3,2627.1,2789,2968.4,3205,3480.3,3724.2,4046.1,4132.4,4123.3,4224.5,4469.3,4700.4,5022.4,5306.3,5387.8,5076.3,5186.4,5438.4,5733.8,5916.6,6223.9
"13","6","  Supplements to wages and salaries","A038RC1",67.7,73.6,82.5,94.9,106.3,118,135.3,151.5,174.8,199.7,227.7,252.8,283.9,306.8,336.4,372.5,406.4,441.5,468,510.3,559.5,601.5,637.5,705.6,741.3,773.5,784.6,805.6,837.8,896.2,952.3,1030.7,1092.1,1145.5,1226.6,1317.6,1394.8,1444.9,1503.1,1546.4,1535.6,1583.9,1635.9,1674.4,1720.1,1775.6
"14","7","    Employer contributions for employee pension and insurance funds \1\","B040RC1",44.9,49.7,56,63.7,66.5,73.3,88.6,97.1,113.7,128.1,145.1,163.9,180.3,197,216.5,233.5,258.7,283.6,301.8,325.6,365.8,395,422.4,477.2,501.7,519.4,520.5,530.8,548.3,589,629,685.5,734.1,779.5,844.1,908.9,966.8,997.6,1041.4,1075.1,1077.5,1114.6,1142,1160.5,1193.9,1226.4
"15","8","    Employer contributions for government social insurance","B039RC1",22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.7,254.1,264.1,274.8,289.6,307.2,323.3,345.2,358,366,382.5,408.7,428.1,447.4,461.7,471.3,458.1,469.4,493.9,513.9,526.1,549.2
"16","9","Proprietors' income with IVA and CCAdj","A041RC1",77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1143.7,1260.2,1336.6,1380.2
"17","10","  Farm","B042RC1",12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,26.8,34.8,31.4,34.7,22,37.3,32.4,28.4,28.1,31.5,32.1,19.9,38,50.4,46.4,36,38.1,47,35.5,46,75.5,72.3,83.2,63.6
"18","11","  Nonfarm","A045RC1",64.2,64.9,70.5,78.1,83.4,88.7,96.2,113.8,128.5,146.1,157.3,159.9,160.7,157.9,180.1,207.3,220.1,233.7,257.6,299.1,308.9,322.3,329.2,367.6,399.2,424.8,462.4,510.1,555.5,615.7,672.3,726.3,804.7,851.1,862,911.6,932.6,1017.7,941.1,979.5,937.5,986.7,1068.1,1187.9,1253.5,1316.6
"19","12","Rental income of persons with CCAdj","A048RC1",20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42,64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,485.3,533,595.8,640.2
"20","13","Corporate profits with IVA and CCAdj","A051RC1",98.4,86.2,100.6,117.2,133.4,125.7,138.9,174.3,205.8,238.6,249,223.6,247.5,229.9,279.8,337.9,354.5,324.4,366,414.9,414.2,417.2,451.3,475.3,522,621.9,703,786.1,865.8,804.1,830.2,781.2,754,907.2,1056.4,1283.3,1477.7,1646.5,1529,1285.1,1397,1746.4,1816.6,2022.8,2106.9,2089.8
"21","14","  Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.4,445.5,309.1,269.4,370.6,379.1,454.8,474.3,592.6
"22","15","  Profits after tax with IVA and CCAdj","A551RC1",58.4,51.5,62.5,74.9,83.4,72.9,87.2,109.1,131.3,153.7,159,136.4,163.2,163.4,199.1,240.4,255.1,214.7,235.5,273.2,268.2,271.7,312.7,326.6,351,428.8,485.2,554.6,620.3,555.7,571.4,516.1,550.7,714.8,812.6,977.3,1065.3,1173.1,1083.5,976,1127.5,1375.9,1437.5,1568,1632.6,1497.2
"23","16","    Net dividends","B056RC1",24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,77.7,83.5,90.8,97.5,106.2,112.3,129.9,158,169.1,180.5,189.5,205.3,236,259,303.5,339.5,357.1,347.9,384.7,370.6,400.2,434,564.1,580.5,726,818.9,808.6,574.6,564,703.7,857.1,959.6,905.1
"24","17","    Undistributed profits with IVA and CCAdj","A127RC1",34.2,27.2,37.5,48,53.5,39.7,54.3,70,86.6,102.9,101.4,72.3,89.4,85.6,115.7,149.5,157.5,108.5,123.2,143.3,110.2,102.7,132.2,137.1,145.6,192.8,226.2,251.1,280.9,198.7,223.5,131.4,180.2,314.7,378.6,413.2,484.8,447.1,264.6,167.3,552.9,811.9,733.9,710.9,673,592.1
"25","18","Net interest and miscellaneous payments","W255RC1",33.6,40.5,45.2,49.3,57.2,73.5,85.9,89.9,105.9,118.8,141,186.2,238.4,277.5,291.8,336.1,348,365.2,369.5,394.7,442.7,450.1,408.5,383.7,371.4,365.9,376.5,381.9,414.7,477.8,488,565,566.4,490.5,466.2,403.5,496.8,580.9,663.4,693.4,563.4,489.4,488.1,491.7,499.8,486.3
"26","19","Taxes on production and imports","W056RC1",83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.6,808,863.9,934.5,991.9,1034.6,1041.9,1026.1,1057.1,1102.6,1132,1162.4,1203.2
"27","20","Less: Subsidies \2\","A107RC1",4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.5,54.6,52.6,58.3,55.9,60.1,58,60.2,57.4
"28","21","Business current transfer payments (net)","B029RC1",4.8,4.4,4.2,4.8,5.7,6.8,9,9.1,8.1,10.4,12.8,14,16.9,19.3,21.7,29.2,34.1,36,33.3,32.8,38.3,39.2,38.9,39.7,39.4,40.7,45,52.6,50.1,64.1,67.8,85.3,99.1,80.7,76.3,81.4,93.9,82.6,98.6,114.4,124.9,128.5,131.5,106.7,120.6,140.6
"29","22","  To persons (net)","B931RC1",3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.2,22.2,17.6,16.3,14.1,13.3,18.7,22.9,19.4,26,34,42.4,46.8,34.2,26.3,16.8,25.7,21.5,30.6,36.6,38.7,43,50.2,43.1,42.3,44.2
"30","23","  To government (net)","W061RC1",1.5,1.4,1.5,1.7,1.8,2.1,2.2,2.4,3,3.9,4.5,5.4,5.7,6.9,7.9,9.4,11.8,13,13.1,12.2,15.1,17,21.3,23.6,25.6,27.9,24.9,30.7,29.8,34.3,36.5,41.9,43.9,46.2,48.3,52.4,53.4,58.3,62,70.6,88.5,87.2,89.2,71.9,89,99.6
"31","24","  To the rest of the world (net)","W237RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.3,-0.4,1.4,-1,0.8,3.8,-2.6,1,8.5,0.2,1.7,12.2,14.8,2.8,6,7.2,-2.3,-1.7,-7.9,-8.3,-10.8,-3.2
"32","25","Current surplus of government enterprises \2\","A108RC1",0,-1.2,-1.7,-1.2,-2.2,-2.7,-4.4,-2.7,-3.3,-2.8,-3.2,-5.1,-5.2,-3.8,-2.3,-1.4,1.3,2,2.2,5,6.7,3.2,7.8,9.9,10.8,11.8,15.6,16.9,17.5,16.3,16.2,10.7,5.2,7,3.9,-1.8,-6.4,-9.3,-16.4,-21.2,-20.6,-22.9,-24.5,-25.3,-29.6,-34.2
"33",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Net cash flow with IVA","A904RC1",90,89.1,105.2,121.7,135.6,136,168,195.3,227.2,262.4,285,284.7,334.5,358.4,401.6,452.7,484.4,458.4,494.5,542.8,535.4,557.9,611.8,622.9,664,734.3,818.4,880.8,954.9,918,997.3,975.9,1079.8,1235.2,1320.2,1386.4,1524.2,1575.7,1462.1,1490.7,1897.1,2094.9,2071.5,2066.5,2080.8,2046.1
"35","27","    Undistributed profits with IVA and CCAdj","A127RC1",34.2,27.2,37.5,48,53.5,39.7,54.3,70,86.6,102.9,101.4,72.3,89.4,85.6,115.7,149.5,157.5,108.5,123.2,143.3,110.2,102.7,132.2,137.1,145.6,192.8,226.2,251.1,280.9,198.7,223.5,131.4,180.2,314.7,378.6,413.2,484.8,447.1,264.6,167.3,552.9,811.9,733.9,710.9,673,592.1
"36","28","    Consumption of fixed capital","A438RC1",55.7,61.8,67.6,73.4,82,96,113.5,125,140.5,159.3,183.4,212.1,244.9,272.5,285.9,303.2,326.9,349.9,371.3,399.4,427.2,455.3,480.9,496.2,519.8,550.4,593.6,629.8,674,719.3,774.6,844.5,894.9,920.5,941.5,982.7,1051.6,1128.6,1197.5,1259.2,1260.6,1262.5,1298.8,1348.5,1402.1,1457.4
"37","29","    Less: Capital transfers paid (net)","W976RC1",-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,0,0,0,0,0,0,2,0,1.3,10.4,1.4,8.9,1.5,0,0,0,0.9,0,-4.8,0,-0.1,9.5,12.2,0,0,-64.2,-83.6,-20.6,-38.8,-7.1,-5.7,3.4
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","30","  Proprietors' income with IVA and CCAdj","A041RC1",77,77.8,83.9,95.1,112.5,112.2,118.2,131,144.5,166,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.8,341.9,354.4,356,402.4,430.5,459.5,484.5,547.4,587.9,644.2,700.4,757.8,836.8,871,900.1,962.1,979,1053.7,979.2,1026.5,973,1032.7,1143.7,1260.2,1336.6,1380.2
"40","31","    Farm","B042RC1",12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,26.8,34.8,31.4,34.7,22,37.3,32.4,28.4,28.1,31.5,32.1,19.9,38,50.4,46.4,36,38.1,47,35.5,46,75.5,72.3,83.2,63.6
"41","32","      Proprietors' income with IVA","A043RC1",13.6,13.8,14.5,18.2,30.3,25.3,24.6,20.1,19.3,23.7,26.6,17.3,25.6,20.4,13.1,27.6,27.2,28.9,34.8,32.5,38.8,37.8,32.5,40.4,36.8,40.1,27.4,42.6,37.4,33.2,32.9,36.1,36.7,24.4,42.6,55.3,51.8,41.8,44.2,53.5,41.8,51.8,81.4,78.2,88.9,69.5
"42","33","      Capital consumption adjustment","B044RC1",-0.8,-0.9,-1.1,-1.2,-1.3,-1.8,-2.6,-2.9,-3.3,-3.8,-4.5,-5.6,-6.6,-7.1,-7,-6.7,-6.2,-6.1,-5.9,-5.7,-5.7,-5.7,-5.7,-5.6,-5.5,-5.4,-5.4,-5.3,-5,-4.8,-4.7,-4.7,-4.6,-4.5,-4.5,-4.8,-5.5,-5.9,-6.1,-6.5,-6.4,-5.8,-5.9,-5.8,-5.8,-5.9
"43","34","    Nonfarm","A045RC1",64.2,64.9,70.5,78.1,83.4,88.7,96.2,113.8,128.5,146.1,157.3,159.9,160.7,157.9,180.1,207.3,220.1,233.7,257.6,299.1,308.9,322.3,329.2,367.6,399.2,424.8,462.4,510.1,555.5,615.7,672.3,726.3,804.7,851.1,862,911.6,932.6,1017.7,941.1,979.5,937.5,986.7,1068.1,1187.9,1253.5,1316.6
"44","35","      Proprietors' income (without IVA and CCAdj)","B046RC1",65,65.9,71.8,79,85.5,92.8,98.9,116.2,130.7,148.3,159.1,161.7,157.2,154.4,167.8,185.3,189.1,197.9,228.1,270.4,280.2,303.7,313,349.7,381.3,411.7,449.5,490.5,526,579.5,627.7,674,730.4,763,768.9,816.1,871,947.8,865.5,838.5,796.8,842.9,885.7,1031.7,1087.4,1211.1
"45","36","      Inventory valuation adjustment","B179RC1",-0.5,-0.5,-0.6,-0.7,-1.9,-3.4,-1.1,-1.1,-1.1,-1.9,-2.6,-2.9,-1.3,-0.5,-0.5,-0.4,-0.2,0,-0.8,-1.2,-1.3,-1.1,-0.1,-0.5,-0.4,-0.7,-1.5,-0.4,1,1.3,-0.9,-1.7,1,0.4,-1.3,-4.6,-4,-3.6,-6.5,-4.6,1.4,-6.3,-10,-1.4,0.4,0.8
"46","37","      Capital consumption adjustment","B047RC1",-0.4,-0.5,-0.8,-0.2,-0.2,-0.7,-1.5,-1.4,-1,-0.4,0.8,1.1,4.7,4,12.8,22.4,31.2,35.8,30.3,29.8,30,19.7,16.3,18.4,18.3,13.9,14.4,20,28.5,35,45.5,54,73.4,87.7,94.5,100.1,65.6,73.5,82,145.6,139.3,150.1,192.4,157.6,165.6,104.7
"47","38","  Rental income of persons with CCAdj","A048RC1",20.4,20.7,21.9,22.8,23.3,23.3,22.5,20.6,16.2,16.9,16.6,19.7,25.4,26.1,27.5,27.9,29.5,21.9,20.2,25.1,24.4,31.4,42,64.3,93.6,117.5,129.2,147,152,169.9,183.1,187.7,207.5,217.3,238,255.4,238.4,207.5,189.4,262.1,333.7,402.8,485.3,533,595.8,640.2
"48","39","    Rental income of persons (without CCAdj)","B049RC1",21.4,21.8,23.1,24.2,24.9,25.4,25,23.3,19.4,20.8,21.1,25.1,31.3,32.4,33.8,34.4,36.1,28.8,27.5,32.6,32.2,39.2,49.8,72.1,101.8,126,138,155.9,161.2,179.4,193.1,198.4,219,229.1,250.6,269.4,254.2,224.7,206.6,278.4,348.3,416.8,499.3,547.1,611.2,657.4
"49","40","    Capital consumption adjustment","B050RC1",-1,-1,-1.2,-1.4,-1.7,-2.1,-2.4,-2.7,-3.2,-3.9,-4.6,-5.3,-5.9,-6.3,-6.3,-6.5,-6.6,-6.9,-7.3,-7.5,-7.8,-7.9,-7.8,-7.8,-8.2,-8.5,-8.8,-9,-9.2,-9.5,-10,-10.7,-11.5,-11.8,-12.6,-14,-15.7,-17.2,-17.2,-16.3,-14.6,-14.1,-14,-14.1,-15.4,-17.1
"50","41","  Corporate profits with IVA and CCAdj","A051RC1",98.4,86.2,100.6,117.2,133.4,125.7,138.9,174.3,205.8,238.6,249,223.6,247.5,229.9,279.8,337.9,354.5,324.4,366,414.9,414.2,417.2,451.3,475.3,522,621.9,703,786.1,865.8,804.1,830.2,781.2,754,907.2,1056.4,1283.3,1477.7,1646.5,1529,1285.1,1397,1746.4,1816.6,2022.8,2106.9,2089.8
"51","42","    Corporate profits with IVA","A052RC1",90.8,79.7,94.7,109.3,126.6,123.3,144.2,182.1,212.8,246.7,261,240.6,252,224.8,256.4,294.3,289.7,273.3,314.6,366.2,373.1,391.2,434.2,459.7,501.9,589.3,667,741.8,811,743.8,762.2,730.3,698.7,795.1,959.9,1215.2,1621.2,1815.7,1708.9,1345.5,1479.2,1799.7,1738.5,2126.6,2238.7,2419.5
"52","43","      Profits before tax (without IVA and CCAdj)","A053RC1",96.7,86.3,99.3,115.9,146.1,161.5,154.8,196.2,228.5,270.4,301.1,282.8,276.6,232.3,263.9,298.2,289.6,266.2,330.8,388.4,389.4,404.1,429.3,462.6,505.9,601.7,685.3,738.7,796.9,728.1,766.1,747.1,690.6,788.9,969.4,1254.6,1653.3,1851.4,1748.4,1382.4,1472.6,1840.7,1806.8,2136.1,2235.3,2419.9
"53","44","        Taxes on corporate income","A054RC1",40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.4,445.5,309.1,269.4,370.6,379.1,454.8,474.3,592.6
"54","45","        Profits after tax (without IVA and CCAdj)","A055RC1",56.7,51.5,61.1,73.5,96.2,108.7,103.1,130.9,154.1,185.6,211.1,195.6,192.3,165.8,183.2,200.7,190.2,156.5,200.4,246.7,243.3,258.6,290.7,313.9,334.9,408.6,467.4,507.3,551.5,479.7,507.4,482,487.3,596.6,725.7,948.5,1240.9,1378.1,1302.9,1073.3,1203.1,1470.1,1427.7,1681.3,1761.1,1827.3
"55","46","          Net dividends","B056RC1",24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,77.7,83.5,90.8,97.5,106.2,112.3,129.9,158,169.1,180.5,189.5,205.3,236,259,303.5,339.5,357.1,347.9,384.7,370.6,400.2,434,564.1,580.5,726,818.9,808.6,574.6,564,703.7,857.1,959.6,905.1
"56","47","          Undistributed profits (without IVA and CCAdj)","B057RC1",32.4,27.2,36.1,46.7,66.3,75.5,70.2,91.9,109.3,134.8,153.6,131.5,118.5,88.1,99.8,109.9,92.7,50.3,88,116.8,85.4,89.6,110.2,124.4,129.6,172.6,208.5,203.7,212,122.6,159.5,97.3,116.8,196.4,291.7,384.4,660.4,652.1,484,264.7,628.5,906.2,724,824.2,801.5,922.2
"57","48","      Inventory valuation adjustment","B058RC1",-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,15.7,-4,-16.8,8,6.1,-9.6,-39.5,-32.1,-35.7,-39.5,-37,6.7,-41,-68.3,-9.5,3.3,-0.5
"58","49","    Capital consumption adjustment","A059RC1",7.6,6.5,6,7.9,6.8,2.4,-5.4,-7.8,-7,-8.1,-12,-17.1,-4.5,5,23.3,43.6,64.8,51.1,51.4,48.7,41.2,26,17.1,15.5,20.1,32.6,36,44.2,54.8,60.3,68,50.9,55.4,112.1,96.5,68.2,-143.5,-169.2,-179.9,-60.4,-82.2,-53.3,78.1,-103.8,-131.8,-329.6
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes actual employer contributions and actuarially imputed employer contributions to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","reflect benefits accrued by defined benefit pension plan participants through service to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","employers in the current period.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2. Prior to 1959, subsidies (line 20) and the current surplus of government enterprises (line 25)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","are not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
