"","Table 5#6#6BU# Real Change in Private Inventories by Industry   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"32","24","D       Paper manufacturing","KC3220",566,-366,1047,-544,-188,559,-610,-203
"33","25","D       Printing and related support activities","KC3230",215,-498,701,-359,-266,314,-391,314
"34","26","D       Petroleum and coal product manufacturing","KC3240",1249,-794,-297,-307,1203,1057,-1762,871
"35","27","D       Chemical manufacturing","KC3250",2403,1155,3151,1854,-1156,-142,-292,693
"36","28","D       Plastics and rubber product manufacturing","KC3260",541,724,935,1,-592,941,417,1368
"37",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"38","29","D     Materials and supplies","KC30M0",9584,4654,8754,5654,-8485,-7218,-10336,1641
"39","30","D       Durable goods industries","KC30DM0",7406,4809,5611,7630,-7645,-6440,-7138,2527
"40","31","D       Nondurable goods industries","KC30NM0",2058,-271,3125,-1976,-861,-797,-3235,-824
"41","32","D     Work-in-process","KC30W0",3229,7559,1140,-4069,-8275,-2559,-1597,-578
"42","33","D       Durable goods industries","KC30DW0",1231,8043,-197,-4215,-7409,-3895,-1131,274
"43","34","D       Nondurable goods industries","KC30NW0",2069,-619,1393,146,-862,1343,-463,-775
"44","35","D     Finished goods","KC30F0",7897,6444,7069,6297,-4573,2293,-3219,4840
"45","36","D       Durable goods industries","KC30DF0",4881,5095,3113,3842,-3160,838,-3127,969
"46","37","D       Nondurable goods industries","KC30NF0",2960,1242,3972,2455,-1414,1454,-161,3774
"47","38","B Wholesale trade industries","KCWT0",25058,22539,19710,17606,-10727,96,-5,21024
"48",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"49","39","B     Durable goods industries","KCWTD0",16288,16667,13349,11958,-16263,-1027,-333,17387
"50","40","B     Nondurable goods industries","KCWTN0",8680,5620,6297,5648,5347,1086,304,4042
"51",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"52","41","B     Merchant wholesale industries","KC42W0",22281,20342,17545,15067,-8396,-755,1821,18719
"53","42","B       Durable goods industries","KC42WD0",14508,14823,11968,10008,-14289,-1594,1134,16037
"54","43","D         Motor vehicles, parts, and supplies wholesalers","KC42110",1421,444,2320,724,-1684,1985,1161,1209
"55","44","D         Furniture and home furnishings wholesalers","KC42120",179,146,278,423,-494,-14,389,118
"56","45","D         Lumber and other construction materials wholesalers","KC42130",376,-51,387,448,44,293,553,2034
"57","46","D         Professional and commercial equipment wholesalers","KC42140",4055,1941,3434,889,-1918,805,1414,3310
"58","47","D           Computers and software wholesalers","K421430",2691,1760,2193,-420,-1106,649,1572,3012
"59","48","D           Other professional and commercial equipment wholesalers","K4214X0",734,-191,1180,1309,-836,233,183,927
"60","49","D         Metal and mineral (except petroleum) wholesalers","KC42150",797,1417,292,346,-891,-22,-140,2921
"61","50","D         Electrical goods wholesalers","KC42160",774,1921,3266,3477,-4691,-897,-603,2537
"62","51","D         Hardware and plumbing and heating equipment wholesalers","KC42170",115,820,218,913,-593,-154,-28,895
"63","52","D         Machinery, equipment, and supplies wholesalers","KC42180",4543,5666,1099,747,-2921,-2676,-2214,3064
"64","53","D         Miscellaneous durable goods wholesalers","KC42190",1186,2498,434,2041,-1148,-725,890,-133
"65","54","B       Nondurable goods industries","KC42WN0",7715,5378,5534,5059,5669,792,690,3047
"66","55","D         Paper and paper products wholesalers","KC42210",737,151,46,479,-422,-46,349,436
"67","56","D         Drugs and druggists' sundries wholesalers","KC42220",1731,960,3177,4245,6423,1011,388,-298
"68","57","D         Apparel, piece goods, and notions wholesalers","KC42230",1413,14,-789,-35,-111,21,-677,694
"69","58","D         Grocery and related products wholesalers","KC42240",957,-21,2004,449,-1201,1283,-342,266
"70","59","D         Farm product raw material wholesalers","KC42250",1112,1908,944,621,349,-1442,958,-450
"71","60","D         Chemical and allied products wholesalers","KC42260",301,416,155,-399,195,-32,-135,-383
"72","61","D         Petroleum amd petroleum products wholesalers","KC42270",103,734,-1432,-479,1345,-362,-7,196
"73","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","KC42280",351,204,353,237,-205,535,187,353
"74","63","D         Miscellaneous nondurable goods wholesalers","KC42290",900,961,506,-59,-552,-199,-186,2318
"75","64","B     Nonmerchant wholesale industries","KC42N0",2756,2140,2140,2539,-2344,871,-1838,2335
"76","65","D       Durable goods industries","KC42ND0",1786,1847,1382,1950,-1974,571,-1482,1328
"77","66","D       Nondurable goods industries","KC42NN0",927,148,737,589,-364,298,-389,1010
"78","67","B Retail trade industries","KC440",14645,17298,27658,21616,-10822,26264,13052,12684
"79","68","D   Motor vehicle and parts dealers","KC4410",5078,2268,13060,12304,-8828,18926,6226,1374
"80","69","D   Furniture, furnishings, electronics, and appliance stores","KC44230",1014,1928,2118,2101,-593,1696,2641,1844
"81","70","D   Building material and garden equipment and supplies dealers","KC4440",1381,2339,2291,1380,-24,2351,3452,4613
"82","71","D   Food and beverage stores","KC4450",359,1246,1845,-153,728,668,-414,634
"83","72","D   Clothing and clothing accessories stores","KC4480",1169,1150,1273,2531,-1067,1524,199,295
"84","73","D   General merchandise stores","KC4520",171,874,2697,1064,-131,1556,696,3301
"85","74","D     Department stores","KC45210",259,-703,656,-625,-2095,-1535,-1888,-148
"86","75","D     Other general merchandise stores","KC45290",-90,1595,2051,1689,1945,3049,2529,3375
"87","76","D   Other retail stores","KC44X0",5432,7468,4352,2389,-926,-229,536,441
"88","77","B Other industries","KCOTH0",5414,5868,7346,12396,159,-1588,992,3148
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","B=Quarterly data published in the Survey of Current Business (NIPA table 5.6.6B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
