"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"46","39","E1WTR1 D       Writing equipment","E1WTR10",293,313,345,381,413,467,512,595,635,691,736,764,788,850,885,893,901,897,934,961,949,933,892,805,920,1080,1205,1276,1468,1634,1854,1999,2139,2311,2405,2488,2496,2449,2435,2632,2859,3062,2950,2984,2990,3106
"47","40","E1TOO1 D       Hand tools","E1TOO10",304,332,347,400,431,469,548,653,704,778,828,834,902,1006,1204,1368,1557,1806,2141,2447,2848,3011,3216,3340,3630,4049,4219,4468,4743,5079,5262,5367,5327,5754,6333,7154,7617,8294,9076,9637,10382,10830,11203,11713,12393,13812
"48","41","E1HDW1 D         Tools, hardware, and supplies","E1HDW10",276,310,326,375,401,437,513,606,652,703,733,733,769,861,1035,1142,1324,1559,1882,2167,2547,2716,2922,3062,3317,3672,3791,3985,4174,4421,4520,4552,4421,4671,5189,5888,6280,6821,7461,7923,8600,9008,9360,9866,10448,11717
"49","42","E1LWN1 D         Outdoor equipment and supplies","E1LWN10",28,22,21,25,30,32,35,47,52,75,95,101,133,145,169,226,233,247,259,280,301,295,294,278,313,377,427,483,569,659,741,815,906,1083,1144,1265,1337,1473,1614,1714,1783,1822,1842,1846,1945,2095
"50","43","E1TOD1 B   Other","E1TOD10",5706,5691,5707,6133,6579,7453,8213,9758,10431,11770,12875,13743,14566,16867,19523,21298,24152,27368,30479,34302,38205,40451,43409,43884,47673,55376,59049,65964,73225,80528,84912,89818,88722,91886,99342,108332,116284,124755,131375,140977,152974,163901,163716,170109,182603,194874
"51","44","E1OPT1 C     Ophthalmic products and orthopedic appliances (46)","E1OPT10",641,625,632,771,813,877,954,1066,998,1160,1342,1534,1553,1773,1957,2117,2359,2507,2663,2905,3210,3439,3614,3875,4420,5276,6182,7195,8380,10344,11357,13663,12543,13001,13385,14553,14979,16687,18621,19985,20835,22116,20753,21642,22396,23075
"52","45","E1WHG1 C     Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","E1WHG10",2023,1992,1959,2030,2194,2538,2908,3646,4115,4767,5208,5191,5625,7366,8501,8993,10125,11441,12757,14096,16244,15584,16422,16349,16853,20366,21227,23018,25605,27686,29344,29726,29543,30092,33085,36288,39673,42232,44784,48270,52579,57562,59219,60560,68045,73619
"53","46","E1WHE1 D       Sports and photographic equipment, bicycles and motorcycles","E1WHE10",1487,1502,1547,1585,1688,1926,2235,2791,3094,3583,3804,3961,4294,5425,6304,6984,7557,8278,8944,10057,11383,11887,12614,12512,12823,14688,15546,16337,17627,19346,20732,21575,22199,23581,25872,28517,30070,31810,33112,35799,38693,42155,44107,45381,49346,53914
"54","47","E1GUN1 D         Guns","E1GUN10",94,93,117,163,135,140,153,237,327,417,469,484,384,414,448,510,689,926,886,982,1043,1132,1194,1189,1170,1259,1252,1264,1376,1469,1536,1554,1514,1526,1592,1674,1674,1672,1641,1754,1886,2023,2081,2140,2179,2360
"55","48","E1SPT1 D         Sporting equipment","E1SPT10",789,859,917,861,870,960,1124,1442,1561,1683,1677,1584,1694,2197,2128,2304,2688,3294,3657,4028,4255,4590,4807,4755,5105,5997,6515,7197,8585,10000,11412,12609,13431,14820,16162,17819,18748,19769,20560,21981,23630,25352,26069,26813,27303,29571
"56","49","E1CAM1 D         Photographic equipment","E1CAM10",333,313,282,284,361,417,477,521,578,615,586,508,534,821,1095,1159,1219,1431,1592,1762,1897,2035,2100,2198,2437,2722,2813,2997,3236,3154,3051,2826,2582,2383,2534,2696,2856,3018,3192,3383,3628,3808,3783,3865,3972,4225
"57","50","E1BCY1 D         Bicycles","E1BCY10",196,172,167,201,233,276,303,349,348,463,556,701,833,969,1224,1269,839,853,1041,1166,1252,1375,1466,1478,1562,1809,1938,2114,2491,2615,2684,2660,2531,2484,2652,2860,2941,3029,3073,3285,3532,3789,3896,4007,4080,4420
"58","51","E1MCY1 D         Motorcycles","E1MCY10",75,65,64,77,89,133,178,242,280,404,516,684,848,1024,1408,1743,2122,1774,1768,2119,2936,2755,3047,2892,2550,2902,3029,2766,1940,2107,2049,1927,2141,2368,2932,3467,3850,4323,4646,5395,6017,7182,8277,8555,11811,13337
"59","52","E1BTA1 D       Pleasure boats and aircraft","E1BTA10",536,490,412,445,506,612,673,855,1021,1184,1404,1230,1331,1941,2198,2009,2569,3163,3812,4039,4861,3697,3808,3837,4030,5678,5681,6681,7978,8340,8613,8151,7344,6511,7213,7771,9603,10421,11672,12472,13886,15407,15113,15179,18699,19705
"60","53","E1BOA1 D         Pleasure boats","E1BOA10",473,435,362,392,454,563,627,801,967,1096,1302,1121,1213,1814,1995,1761,2232,2742,3301,3529,4286,3292,3424,3484,3667,5178,5193,6120,7324,7599,7787,7311,6533,5743,6422,6981,8701,9521,10747,11484,12786,14187,13916,13977,17218,18145
"61","54","E1AIR1 D         Pleasure aircraft","E1AIR10",63,55,50,53,52,49,46,54,54,88,102,109,118,127,203,248,337,422,512,510,575,405,384,353,363,501,488,561,653,741,826,840,811,768,791,790,902,901,924,988,1100,1220,1197,1202,1481,1561
"62","55","E1JRY1 C     Jewelry and watches (18)","E1JRY10",1951,1933,1903,2044,2159,2424,2699,3200,3463,3827,4016,4096,4412,4784,6012,6996,8098,9844,10985,12316,13032,14978,16041,15635,17395,19759,21056,24333,26237,28288,29175,30279,30192,31645,34023,36376,38420,40713,40944,43929,48079,50568,49152,51039,53639,57450
"63","56","E1BKS1 C     Books and maps (87)","E1BKS10",1091,1141,1213,1288,1413,1614,1652,1846,1855,2016,2309,2922,2976,2944,3053,3192,3570,3576,4074,4984,5719,6450,7332,8025,9004,9974,10584,11418,13003,14210,15035,16151,16444,17148,18849,21115,23212,25123,27026,28793,31481,33654,34593,36869,38523,40731
"64","57","E1TND1 A Nondurable goods","E1TND10",148459,152833,156581,162793,168150,178638,191546,208747,217065,235670,253141,271981,285493,308026,343082,384497,420729,458320,497147,550245,624459,696088,758887,787594,831164,884641,928702,958444,1015262,1083484,1166701,1249882,1284784,1330505,1379390,1437175,1485065,1555528,1618963,1683567,1804806,1947216,2017095,2080101,2200091,2377018
"65","58","E1TFD1 B   Food","E1TFD10",80643,82329,83985,86081,88247,93537,100710,109309,112438,122216,131483,143774,149686,161389,179612,201807,223210,242523,262643,289562,324670,355977,383515,403353,423761,447398,467578,492008,515205,553498,591639,636776,657503,669325,691850,720586,740851,768680,796200,829789,873119,925164,967911,1005829,1064519,1150277
"66","59","E1OPF1 C     Food and alcoholic beverages purchased for off-premise consumption (3)","E1OPF10",60768,61956,63196,64231,65553,69459,74548,80830,82962,89395,96041,104435,108238,115512,128029,144770,158608,169793,182766,199183,221734,243356,260360,272495,283101,297681,310509,323706,332143,351336,374717,401619,413539,415693,425637,445683,458611,478170,492520,508964,536900,566695,595186,615604,647100,690721
"67","60","E1FOP1 G       Food purchased for off-premise consumption","E1FOP10",54451,55504,56671,57272,58311,61885,66653,72402,74171,79595,85097,92178,94524,100694,112105,127200,139489,149455,160856,175577,195151,213618,228150,238085,246574,260625,271125,282376,290719,308621,329850,352740,363115,366840,375537,392812,404050,419935,431359,445769,470801,495517,521517,540143,567242,603763
"68","61","E1GRA1 D         Cereals","E1GRA10",1565,1757,1862,1792,1811,1969,2025,2191,2175,2328,2479,2793,3281,3569,4196,5489,6233,6555,7005,7327,8413,9989,11326,11663,11227,11926,12347,13458,14548,15982,17663,19499,20740,21589,22178,23273,24018,25054,25825,25207,27600,27448,28286,28710,30125,31953
"69","62","E1BAK1 D         Bakery products","E1BAK10",6110,6150,6146,6151,6239,6520,6879,7314,7339,7752,8137,8310,9067,9945,10504,12604,14358,15344,15979,16576,18898,21167,22477,24036,23545,24907,26416,25689,25983,27568,29455,31465,32413,32704,33871,35833,37275,39189,40712,41838,43424,45467,46647,48133,50506,53681
"70","63","E1BEE1 D         Beef and veal","E1BEE10",7414,7369,7514,7826,7979,8693,9582,10732,10487,11937,13716,14706,14520,15518,16897,18035,19636,20208,17272,20954,23939,24423,24459,24682,24405,24421,24144,25546,25807,26211,26749,27225,26647,25468,24704,24401,23617,23010,22052,23193,23429,25770,27645,26554,27864,29460
"71","64","E1POR1 D         Pork","E1POR10",2581,2560,2597,2709,2830,2965,3093,3535,3689,3533,4149,4738,4345,4769,5589,5601,6331,6597,7152,8603,9841,10471,11571,13022,14105,13612,14238,14623,14513,15173,15971,16801,17040,16920,17134,17722,18024,18526,18814,18795,20251,21923,23986,23332,24482,26048
"72","65","E1MEA1 D         Other meats","E1MEA10",2146,2247,2354,2334,2484,2585,2778,3052,3174,3313,3591,3828,3662,3897,4526,4949,5759,6364,6537,6903,7384,7768,7636,7766,7747,7636,8042,7832,8076,9018,10119,11329,12209,12864,13166,13765,14153,14709,15106,15546,16437,17297,18088,18464,19375,20592
"73","66","E1POU1 D         Poultry","E1POU10",1695,1846,1869,1949,2042,2250,2386,2738,2650,2730,2865,3734,3330,3594,4757,4588,5045,5420,5870,6809,7858,8793,9750,10129,10144,11344,11153,12165,12260,14142,16330,18754,20677,22239,23288,24901,26173,27795,29157,29613,29536,32013,34501,33747,35411,37735
"74","67","E1FIS1 D         Fish and seafood","E1FIS10",1010,1090,1104,1176,1203,1299,1444,1590,1552,1828,2171,2445,2246,2286,2459,2292,2161,2488,2885,3171,3565,3798,4006,3858,4863,5873,6187,6998,7663,7758,7889,7999,7795,7414,7400,7541,7550,7635,7624,9067,9868,10401,11058,12129,12727,13561
"75","68","E1GGS1 D         Eggs","E1GGS10",1188,1237,1229,1184,1311,1177,1322,1579,1530,1419,1353,1763,1579,1487,2015,1998,1963,2279,2492,2451,2801,2742,2810,2755,2682,2836,2419,2541,2385,2524,2689,2865,2943,2961,3280,3692,4066,4507,4919,5264,5282,5704,5966,5931,6223,6672
"76","69","E1MIL1 D         Fresh milk and cream","E1MIL10",6040,5870,5793,5746,5676,5622,6137,6283,6221,6377,6477,6826,6779,6990,7736,8597,9346,10260,11134,10751,11243,11616,11463,10765,10850,11552,12298,12656,13825,14088,14428,14743,14493,13919,13560,13458,13096,12837,12388,12510,12734,13915,14840,14316,15022,15870
"77","70","E1DAI1 D         Processed dairy products","E1DAI10",3632,3470,3548,3418,3490,3775,4016,4232,4258,4834,5192,5377,5587,5983,6524,7660,8593,9907,11556,11718,13170,14836,15436,15150,15278,15088,15742,15374,16076,17545,19272,21151,22373,23166,23499,24349,24808,25545,25990,27321,30266,29712,30990,32815,34433,36551
"78","71","E1FRU1 D         Fresh fruits","E1FRU10",2164,2149,2211,2142,2186,2271,2428,2525,2731,3073,2792,3216,3252,3622,4037,4190,4494,4467,5036,5571,5916,6175,6811,7064,7239,7597,7963,9097,9980,10522,11171,11857,12135,12164,12420,12955,13289,13778,14116,15052,15437,16789,17002,19468,20428,21704
"79","72","E1VEG1 D         Fresh vegetables","E1VEG10",3383,3515,3594,3711,3589,3681,3895,4061,4310,4474,4563,5492,5003,5088,5916,5519,5393,5374,6040,7046,7882,8665,10056,10966,11472,11599,11748,12152,14084,14431,14869,15293,15143,14658,15592,16922,18037,19411,20620,22543,23149,25146,26376,29417,30867,33000
"80","73","E1PFV1 D         Processed fruits and vegetables","E1PFV10",2482,2698,2801,2883,2963,3140,3411,3596,3457,3922,4297,4618,5116,5454,6159,7643,8559,9300,10690,11668,12473,13126,14466,15190,15112,15709,15175,15046,14844,15143,15528,15888,15643,15048,15185,15649,15857,16236,16424,17019,19073,19179,19751,20290,21290,22596
"81","74","E1JNB1 D         Juices and nonalcoholic drinks","E1JNB10",3915,4108,4438,4327,4347,4778,5178,5752,6221,6546,7012,6983,7084,8259,8466,9543,11486,13136,15520,17082,19032,21440,23166,25665,27832,29577,31231,34012,33831,36156,38903,41841,43384,44050,43693,44225,43969,44129,43707,44401,46689,48932,51733,52861,55467,58700
"82","75","E1CTM1 D         Coffee, tea and beverage materials","E1CTM10",814,854,923,900,904,994,1077,1196,1294,1361,1458,1452,1473,1718,1761,1985,2389,2732,3228,3553,3958,4459,4818,5338,5788,6151,6495,7074,7036,6938,6856,6736,6339,5798,6557,7509,8394,9425,10403,10568,11113,11646,12313,12581,13202,14165
