"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"15","8","    For consistent accounting at historical cost","B1404C1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,-0.1,0,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.1,-0.1,0,-0.1,0,0,-0.1,-0.1,0,0,0,0,0.2,0.5,0.6,0.4,0.1,0,0.3,0,-0.9,0,-0.5,0.4,-0.3,0.5,0.1,0.4,-0.7,-2.3,-7.3,-8.9,-12.9,-11.5,-9.7,-4.7,-4,3.7,4.7,9.4,11.7,16.2,21.7,15.1,5.9,-17.9,-11.1,-9.6,5.5
"16","9","    For current-cost valuation","B1405C1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.6,-0.9,-1,-1.1,-1.1,-1.4,-1.9,-2.3,-2.6,-2.4,-1.9,-1.6,-1.7,-2,-2.7,-3,-3.3,-3.7,-2.8,-2.7,-2.7,-2.8,-1.3,0,1.6,1.5,0,0.3,0.2,-1.1,-3.9,-6.7,-9.3,-11.2,-12.8
"17","10","  Nonfinancial","A2203C1",-0.3,-0.1,0.1,0.2,0.2,0,-0.1,-0.1,-0.5,-0.5,-0.4,-0.5,-0.5,-0.3,0.1,0.8,0.9,-1.6,-2.3,-2.6,-2.5,-2.4,-2.5,-2.1,-1.3,-0.4,1.1,0.5,0.4,0.1,0.7,1.9,2.5,5.4,6.4,7,7.8,8.1,8.3,8.6,9.1,8.3,8,9.9,9,5.5,-1.2,-3.2,-1.9,-3.2,-5.3,-7.2,6.5,17.8,35.2,56.2,76.2,62.7,62.6,62.3,56.7,46.3,39.6,40.3,42.9,54,57.6,63,65.3,67.5,68.9,51.8,47,87.5,71.5,49.7,-128.8,-156,-167.9,-56.8
"18","11","    For consistent accounting at historical cost","B1406C1",0.2,0.2,0.2,0,0,0,0,0,0,-0.1,0,0,0.3,1,1.5,2.2,2.3,0.1,0.4,0.7,0.8,1,1.7,2.1,2.9,3.6,5.1,5.5,6.1,5.7,6.4,7.2,7.4,10.1,10.7,11.3,12.1,12.8,13.6,14.8,16.4,17.1,18.3,21.1,21.8,24.2,26.7,28.1,33.8,37.7,42.8,50.4,75.8,91.8,102.4,118.4,135.8,121.5,119.9,124,121.4,113.6,108.6,104.9,106.1,117.2,122.9,124.8,123.9,120.5,119.3,105.8,102.9,144.5,131,120.4,-34.3,-36.1,-39.5,84.4
"19","12","    For current-cost valuation","B1407C1",-0.6,-0.3,-0.1,0.2,0.2,0,-0.1,-0.1,-0.5,-0.5,-0.4,-0.5,-0.8,-1.3,-1.4,-1.4,-1.4,-1.7,-2.8,-3.3,-3.4,-3.4,-4.2,-4.2,-4.2,-4,-4,-5,-5.7,-5.6,-5.7,-5.3,-4.9,-4.6,-4.4,-4.3,-4.4,-4.7,-5.3,-6.2,-7.3,-8.8,-10.3,-11.3,-12.8,-18.7,-27.9,-31.2,-35.8,-40.9,-48,-57.6,-69.3,-74.1,-67.2,-62.2,-59.7,-58.8,-57.2,-61.7,-64.7,-67.2,-69,-64.6,-63.3,-63.2,-65.3,-61.8,-58.6,-53,-50.5,-54,-56,-57,-59.4,-70.6,-94.5,-119.9,-128.4,-141.3
"20","13","Domestic noncorporate business","W282RC1",-0.9,-0.9,-0.7,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.8,-0.7,-0.7,-0.7,-0.7,-1.1,-1.2,-1,-1,-1.3,-1.2,-1.1,-1,-1,-1,-1.1,-1.3,-1.3,-1.1,-1.2,-1,-0.9,-0.9,-1.2,-1.4,-1.6,-2,-2.1,-2.4,-3,-2.7,-2.9,-4.1,-5.6,-6,-6.4,-6.9,-7.2,-8.5,-6,-5.9,3.2,13.5,22.5,27.5,24,24.8,25.5,15.8,12.5,15.7,17.5,14.1,15,20.5,29.7,34.7,47.2,57.4,78.9,93,104.3,108.3,73.3,80.7,89.9,152
"21","14","  Sole proprietorships and partnerships","A2204C1",-0.8,-0.7,-0.6,-0.4,-0.4,-0.4,-0.4,-0.3,-0.5,-0.5,-0.4,-0.4,-0.5,-0.6,-0.5,-0.5,-0.4,-0.4,-0.6,-0.7,-0.5,-0.4,-0.7,-0.6,-0.5,-0.4,-0.4,-0.3,-0.4,-0.6,-0.6,-0.5,-0.6,-0.5,-0.4,-0.3,-0.6,-0.8,-0.9,-1.1,-1.1,-1.3,-1.7,-1.3,-1.2,-2,-3.1,-3.2,-3.1,-3,-2.6,-3.1,0,0.5,9.7,20.2,29.2,34.5,31.2,32.4,33.3,23.8,20.7,23.8,25.9,22.8,24,29.8,39.3,44.5,57.5,68.3,90.4,104.8,116.8,122.3,88.8,97.7,107.2,168.7
"22","15","    Farm \1\","B044RC1",-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.4,-0.5,-0.4,-0.5,-0.6,-0.5,-0.5,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.8,-0.9,-1.1,-1.2,-1.3,-1.8,-2.6,-2.9,-3.3,-3.7,-4.4,-5.6,-6.5,-7.1,-7,-6.7,-6.2,-6.1,-5.9,-5.7,-5.8,-5.7,-5.7,-5.6,-5.4,-5.3,-5.3,-5.1,-4.8,-4.6,-4.5,-4.5,-4.4,-4.4,-4.4,-4.9,-5.5,-6,-6.4,-6.8
"23","16","    Nonfarm","A2205C1",-0.7,-0.7,-0.6,-0.4,-0.4,-0.4,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,-0.3,0,0,-0.1,0,0.1,0.1,0.1,0.2,0.2,0,0,0.1,0,0,0.1,0.2,-0.1,-0.2,-0.2,-0.4,-0.3,-0.4,-0.7,-0.1,0,-0.2,-0.5,-0.2,0.2,0.7,1.9,2.5,6.6,7.7,16.7,26.8,35.4,40.5,37.1,38.1,39.1,29.5,26.3,29.4,31.3,28.1,29.3,34.9,44.1,49.1,62,72.8,94.9,109.2,121.3,127.2,94.3,103.7,113.6,175.5
"24","17","      For consistent accounting at historical cost","B1409C1",-0.6,-0.7,-0.6,-0.6,-0.6,-0.5,-0.4,-0.4,-0.4,-0.3,-0.4,-0.3,-0.2,-0.1,0.1,0.1,0.2,0.3,0.6,0.7,0.9,0.9,1,1.1,1.1,1.1,1,1.4,1.4,1.2,1.3,1.2,1,1,1,1.1,0.8,0.7,0.9,0.9,1.2,1.4,1.5,2.3,2.8,3.6,4.8,5.6,6.9,8.5,11.1,13.4,19.8,22.1,29.9,39.4,47.8,53.1,49.7,51.6,53.2,44.1,41.3,43.9,46,43.1,45,50.4,59.7,65,78.4,90.3,113.2,128.1,141.2,149.8,121.3,135.5,147.5,210.2
"25","18","      For current-cost valuation","B1410C1",0,0,0.1,0.2,0.2,0.1,0.1,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.8,-1,-1,-0.9,-1.1,-1.1,-1.1,-1,-0.9,-1.1,-1.3,-1.2,-1.2,-1.1,-1,-0.9,-0.9,-0.9,-0.9,-1,-1.1,-1.3,-1.6,-1.8,-2.1,-2.4,-2.7,-3.8,-5.3,-5.9,-6.7,-7.8,-9.2,-11,-13.2,-14.4,-13.2,-12.6,-12.4,-12.6,-12.6,-13.5,-14.1,-14.6,-15,-14.5,-14.7,-15,-15.7,-15.5,-15.6,-15.9,-16.3,-17.4,-18.3,-18.9,-19.9,-22.6,-27,-31.8,-33.9,-34.7
"26","19","  Other private business \1\","A2206C1",-0.1,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-0.5,-0.6,-0.6,-0.7,-0.7,-0.9,-1,-1.1,-1.2,-1.4,-1.7,-2.1,-2.5,-2.8,-3.3,-3.9,-4.6,-5.4,-6.1,-6.5,-6.5,-6.6,-6.7,-7,-7.3,-7.6,-7.9,-8.1,-8.1,-8.1,-8.4,-8.7,-9.1,-9.3,-9.5,-9.8,-10.3,-10.9,-11.5,-11.8,-12.5,-14,-15.5,-17,-17.4,-16.7
"27","20","    Rental income of persons","B050RC1",-0.1,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.9,-1,-1.1,-1.3,-1.6,-1.9,-2.3,-2.5,-2.9,-3.5,-4.2,-4.9,-5.5,-5.8,-5.9,-6,-6.1,-6.4,-6.7,-7,-7.2,-7.4,-7.4,-7.5,-7.8,-8,-8.4,-8.6,-8.9,-9.2,-9.7,-10.3,-11,-11.3,-12,-13.4,-14.8,-16.2,-16.6,-15.8
"28","21","      Nonfarm tenant-occupied housing","B2611C1",-0.1,-0.1,-0.1,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.9,-0.9,-1.1,-1.2,-1.4,-1.8,-2.1,-2.3,-2.7,-3.3,-3.9,-4.6,-5.1,-5.5,-5.5,-5.7,-5.8,-6,-6.3,-6.6,-6.8,-6.9,-7,-7,-7.3,-7.5,-7.9,-8.1,-8.4,-8.7,-9.1,-9.7,-10.3,-10.6,-11.3,-12.6,-13.9,-15.2,-15.5,-14.7
"29","22","      Farm tenant-occupied housing","W283RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
"30","23","      Farms owned by nonoperator landlords","B2614C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2
"31","24","      Nonfarm nonresidential properties","B2615C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.5,-0.5,-0.6,-0.6
"32","25","    Proprietors' income","B1411C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.6,-0.6,-0.7,-0.8,-0.9
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Except for farm proprietorships and partnerships (line 15) and other private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","business (line 19), the capital consumption adjustment is calculated in two parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","The adjustment for consistent accounting at historical cost converts depreciation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","based on the service lives and depreciation schedules employed by firms when filing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","their income tax returns, to consistent service lives and empirically based depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","schedules.  The adjustment for current-cost valuation converts the historical-cost series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","with consistent accounting to a series valued at current cost.  For farm proprietorships",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and partnerships and for other private business, the historical-cost series is based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
