"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"11","2","General public service","G170021",4.5,4.9,5.4,5.7,6,6.6,7.2,7.8,8.3,9.4,11.4,13.4,15.4,17.5,19.6,23.3,27.2,29.4,33,34.6,37.6,41.7,44,48.1,52,55,64.4,76.1,76.5,79.5,82.6,89.2,93.8,101,102.9,105.7,109,108.3,115.9,123.1,133,137.7,148.6,160.3,166.1,176.6,187.5,199.6,209.5,222.5
"12","3","National defense","A997RC1",40.1,41,42.7,46.6,48.3,48.8,50.6,59.9,69.9,77.1,78.1,76.5,77.1,79.5,79.4,84.5,90.9,95.8,104.2,112.7,123.8,143.7,167.3,191.1,208.7,232.8,253.7,267.9,283.6,293.5,299.4,308,319.7,315.2,307.5,300.8,297,303.2,304.5,300.3,313,321.8,342,380.7,435.2,481.2,514.8,543.9,574.9,634
"13","4","Public order and safety","G170041",4.1,4.4,4.8,5,5.3,5.7,6.1,6.7,7.5,8.7,9.6,11,12.6,14.1,15.9,18.1,20.7,22.8,25.1,28.7,31.9,35.7,40,44.6,48.5,52.6,58,63.1,68.3,75.2,82.7,91.6,99.7,107.6,116.3,124.9,134,142.7,150.1,159.1,172.9,186.6,201.9,214.5,224.2,235.7,250.9,266.2,285.9,309.7
"14","5","Economic affairs","G170051",12,10.9,11.1,13.2,14.5,16.2,17.4,18.1,19.5,21.4,23.5,24.7,27.1,29.1,30.7,35.1,40.6,42.5,46.4,51.5,56.2,65,74.7,77.5,82.5,81,88.8,95.7,95.5,92.2,102.2,111.6,116.9,124.7,128.3,133.9,137.3,140.7,147.7,150.3,159.8,172.3,181.2,196.6,202.8,210.3,220.4,234.1,250.1,268.2
"15","6","Housing and community services","G170061",0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1.1,1,1.1,1.3,1.7,1.7,1.9,2,2.1,2.2,2.3,2.5,2.5,2.9,3.2,3.1,3.2,3.3,3.4,3.8,3.7,4.2,4.7,5.1,5.5,5.6,6.2,5.8,5.6,6,6.4,6.8,7.4,6.9,8,8.6,8.8,8.5,9.7,9.1,9.5,10.8
"16","7","Health","G170071",3.8,4.1,4.5,4.6,5,5.4,5.6,6.2,6.8,7.6,8.5,10,11,12.5,14.1,16.1,18.4,19.4,21.6,23.6,25,28.7,30.6,31.4,32.4,34.9,37.1,38.3,40.9,44.8,47.6,52.3,54.7,55.8,56.1,58.7,59.2,59.3,59.8,61.1,66.2,72,75.4,85.3,93.2,96.7,107.4,110.2,116.2,127.9
"17","8","Recreation and culture","G170081",0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.4,1.6,1.7,1.9,2.2,2.4,2.8,3.3,3.5,3.9,4.4,4.8,5.2,5.7,6.1,6.5,7,7.8,8.3,8.6,9.2,10.1,11,11.9,12.6,13,14,14.6,15.1,15.8,16.7,17.5,19.1,20.7,22.7,23.3,24.4,26.1,28,30.2,32.5
"18","9","Education","G170091",14,15.7,17.3,18.9,20.7,22.8,25.3,29,32.7,36.3,41.2,47.5,53.4,58.7,64.6,71.9,82.8,91.3,99,106.4,117,128.2,139.4,149.5,158.2,171.1,185.6,200.7,214.6,229.1,246,266.3,279.8,290.6,305.8,322.1,340.1,355.6,372.8,392.6,417.4,448.6,479,496.3,526.5,550.6,579.9,613.3,652,689.8
"19","10","Income security","G170101",1,1,1.2,1.3,1.4,1.5,1.9,2.2,2.6,2.7,3.2,3.9,4.6,5.5,6.3,7.9,8.6,9.8,11.3,12.1,13.4,14.8,15.9,16.7,18.5,20,21.3,22.2,23.5,25.2,27.6,30.9,33.8,37.3,39.2,42.9,44.8,45.9,49.1,53.1,56.8,61.5,67.5,75,76.6,76.5,81.2,88.9,86.7,91.4
"20","11","      Federal","A957RC1",49.9,49.7,51.6,57.8,60.8,62.8,65.7,75.7,87,95.3,98.3,98.6,101.9,107.6,108.8,117.9,129.5,137.1,150.7,163.3,178.9,207.4,238.3,263.3,286.4,309.9,338.3,358,373.7,381.7,398.5,419,438.3,444.1,441.2,440.7,440.1,446.5,457.5,454.6,473.3,496,530.2,590.5,660.3,721.4,765.8,811,848.8,934.4
"21","12","General public service","G170121",1.7,1.9,2,2.1,2.3,2.5,2.7,2.7,2.6,2.7,3.3,4.2,5.1,5.7,6,7.2,7.9,8.4,9.2,9.1,10.1,11.1,11.2,12.5,12.3,12.5,14.3,15.4,16.1,16.6,17.4,20.2,22,22.7,21.5,21.8,23.3,21.3,24.1,23.5,25,24.7,28.9,31.3,33,39.8,41.9,44.4,46.5,48.6
"22","13","National defense","A997RC1",40.1,41,42.7,46.6,48.3,48.8,50.6,59.9,69.9,77.1,78.1,76.5,77.1,79.5,79.4,84.5,90.9,95.8,104.2,112.7,123.8,143.7,167.3,191.1,208.7,232.8,253.7,267.9,283.6,293.5,299.4,308,319.7,315.2,307.5,300.8,297,303.2,304.5,300.3,313,321.8,342,380.7,435.2,481.2,514.8,543.9,574.9,634
"23","14","Public order and safety","G170141",0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.9,1.1,1.3,1.5,1.8,2,2.3,2.4,2.7,3.1,3.2,3.4,3.9,4.3,4.7,5,5.7,6.9,7.6,8.4,9.5,10.6,12.9,13.7,14.9,16.3,16.5,17.2,19.1,22.1,24.5,26.5,29.3,32.6,34.7,37,39.6,47.4
"24","15","Economic affairs","G170151",6.1,4.6,4.4,6.2,7,8.3,8.9,8.8,9.4,10.5,11.3,11.3,12.3,13.2,13.2,14.3,17.2,18,20.6,23.5,25.5,30.2,35.9,35.3,38.9,35.7,40.4,44,41.2,35.6,42.8,48.3,50.1,54.9,55.8,58.1,57.6,57.8,61.2,60,62.7,68.8,70.2,79.4,83.6,86.2,87.4,91.8,96,103.9
"25","16","Housing and community services","G170161",0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.3,0.4,0.5,0.4,0.5,0.5,0.5,0.7,0.5,0.5,0.6,0.5,0.5,0.5,1.2,0.5,0.2,0.4,0.6,1,1,-0.1,0.5,0.8,0.9,0.5,1.1,0.9,1.2,1.7
"26","17","Health","G170171",1.2,1.3,1.4,1.6,1.7,1.8,1.9,2.2,2.5,2.8,3,3.5,3.8,5,5.8,6.5,7.7,8.5,9.3,10.4,11.2,13,14,14.4,16,17.4,18.2,18.7,19.9,21.7,23.2,25.5,27.7,30,31.9,34.2,35.4,35.6,37.9,39.1,39,43.9,48.2,52.8,58.5,59.8,60.6,62.8,65.8,73.2
"27","18","Recreation and culture","G170181",0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,0.9,1,1.1,1.1,1.1,1,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2.1,2.2,2.2,2.3,2.4,2.5,2.3,2.7,2.8,3.3,3.2,3.7,3.9,3.9,3.9,4.2
"28","19","Education","G170191",0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.6,0.8,0.8,0.9,0.9,1,1.1,1.3,1.3,1.4,1.6,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.4,2.5,3,3.2,3.4,3.4,3.6,4,4.4,5,5.4,5.5,5.8,6.4,5.6,6,6.1
"29","20","Income security","G170201",0.3,0.3,0.4,0.5,0.5,0.5,0.7,0.8,0.9,0.7,0.8,1,1,1.3,1.4,2.1,2,2.3,2.9,3,3.3,3.8,3.7,3.8,3.8,4,3.9,3.6,3.8,3.9,4.1,4.5,4.9,6,5.8,6.3,6.4,6.3,6.9,7.4,7.2,7.7,8.1,10.3,11.1,11.7,15,20.8,15,15.2
"30","21","      State and local","A991RC1",30.7,33.5,36.6,39,41.9,45.8,50.2,56.1,62.6,70.4,79.8,91.5,102.7,113.2,126,143.7,165.1,179.5,195.9,213.2,233.3,258.4,282.3,304.9,324.1,347.7,381.8,418.1,441.4,471,504.5,547,577.5,606.2,634.2,668.2,701.3,730.2,764.5,808.6,870.6,930.6,994.2,1049.4,1096.5,1139.1,1212,1282.3,1366.1,1452.4
"31","22","General public service","G170221",2.8,3,3.5,3.6,3.7,4.1,4.5,5.1,5.7,6.7,8,9.2,10.2,11.8,13.5,16,19.3,21,23.8,25.5,27.5,30.6,32.8,35.6,39.7,42.5,50.1,60.7,60.3,62.9,65.2,69,71.8,78.3,81.4,83.9,85.7,87.1,91.8,99.7,107.9,113,119.7,129,133.1,136.9,145.5,155.2,163,173.9
"32","23","Public order and safety","G170231",3.8,4.1,4.4,4.7,5,5.3,5.8,6.3,7,8.2,9,10.3,11.7,12.9,14.6,16.6,18.9,20.8,22.8,26.3,29.1,32.6,36.7,41.2,44.7,48.3,53.3,58.1,62.6,68.3,75.1,83.2,90.2,97,103.4,111.2,119.1,126.4,133.5,141.9,153.8,164.5,177.4,187.9,194.9,203,216.2,229.2,246.2,262.2
"33","24","Economic affairs","G170241",6,6.3,6.7,7,7.5,8,8.6,9.3,10.2,11,12.1,13.5,14.8,15.8,17.5,20.8,23.4,24.5,25.8,28,30.7,34.8,38.8,42.2,43.6,45.3,48.5,51.8,54.3,56.6,59.4,63.3,66.8,69.8,72.5,75.8,79.7,82.9,86.5,90.3,97.1,103.5,111,117.2,119.3,124.1,133,142.3,154.1,164.3
"34","25","Housing and community services","G170251",0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,2.1,2.2,2.5,2.7,2.7,2.7,2.7,2.9,3.1,3.2,3.7,4.1,4.6,5.1,5.1,5,5.3,5.4,5.6,5.8,5.9,6.4,7,7.5,7.8,8,8,8.6,8.2,8.3,9.1
"35","26","Health","G170261",2.6,2.8,3,3.1,3.3,3.5,3.8,4,4.3,4.8,5.5,6.5,7.2,7.6,8.3,9.6,10.7,10.9,12.3,13.2,13.8,15.7,16.6,17,16.4,17.4,18.9,19.6,21,23.1,24.4,26.8,27,25.7,24.2,24.5,23.8,23.6,21.8,22,27.2,28.1,27.2,32.5,34.7,36.9,46.8,47.4,50.4,54.6
"36","27","Recreation and culture","G170271",0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.3,1.4,1.5,1.7,1.9,2.2,2.6,2.7,3,3.5,3.8,4.2,4.5,5,5.4,5.9,6.6,7.1,7.4,7.9,8.7,9.5,10.2,10.7,11,11.8,12.4,12.8,13.4,14.2,15.2,16.4,17.9,19.5,20,20.7,22.3,24.2,26.3,28.3
"37","28","Education","G170281",13.9,15.5,17.1,18.7,20.5,22.6,25,28.5,32,35.8,40.6,46.8,52.6,58,63.8,71.3,82,90.4,98.1,105.5,116,127.1,138.1,148.3,156.8,169.6,184.1,199.1,212.9,227.3,244.1,264.2,277.6,288.3,303.3,319.1,336.8,352.2,369.4,389,413.4,444.3,474.1,490.9,521,544.8,573.5,607.7,646.1,683.7
"38","29","Income security","G170291",0.7,0.7,0.7,0.8,0.9,1,1.2,1.4,1.7,2,2.4,3,3.5,4.2,5,5.8,6.6,7.4,8.4,9.2,10.1,11,12.1,12.9,14.8,16,17.4,18.5,19.7,21.4,23.5,26.4,28.9,31.3,33.4,36.6,38.4,39.6,42.3,45.7,49.6,53.8,59.4,64.7,65.5,64.8,66.1,68.2,71.8,76.2
"39",NA,"Government social benefits:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","30","      Government","W063RC1",22.9,24.7,28.4,29.1,30.7,31.7,34.4,38,46.3,53.9,59.6,72.5,86.2,95.8,109.8,129.9,165.1,179.8,191.7,205.9,230.1,274.4,311.5,346.5,373.6,384.1,406.7,432.4,451.7,480.4,524.6,578.9,654.5,735.7,782.9,820,867,908.8,937.6,960.1,996.1,1049.2,1150.8,1257.6,1326.1,1409.2,1494,1596.1,1701.1,1859.2
"41","31","General public service","G170311",0.1,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.8,0.8,0.6,0.4,0.3,0.5,0.4,0.4,0.6,0.4,0.5,0.7,0.6,0.8,0.7,0.8,1.6,2.2,1.5,1.3,0.9,1.4,1.2,1.4,1.4,1.7,1.6,1.4,1.3,1.4,1.2,1.6,2.3,3.1
"42","32","Public order and safety","G170321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3
"43","33","Economic affairs","G170331",0,0,0,0,0,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.6,0.6,0.5,0.6,0.7,1.1,1.2,2.4,2.3,2.5,2.1,1.6,1.5,1.3,1.4,1.5,1.4,1.5,1.5,1.5,1.5,1.8,1.7,1.7,1.8,1.6,1.7,1.7,1.7,1.7,2.2,2.7,2.4,2.1,2.5,2.9,2.8,3
"44","34","Housing and community services","G170341",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0,0,0.1,0.3,0.4,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","35","Health","G170351",1.3,1.4,1.8,1.9,2.2,2.2,2.5,4.1,8.8,11.2,12.8,14.5,16.6,18.9,22.1,26.3,32.1,36.9,41.9,47.4,54.5,64.2,76,86.5,97.4,107.4,116.4,126.9,137.9,148.7,169.2,192.4,226.6,261.7,289.5,313.4,342,366.8,384.5,391.5,405.1,429.3,488.8,531.8,563.6,615.6,660.5,724.8,779.7,832
"46","36","Recreation and culture","G170361",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.8,0.3,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6
"47","37","Education","G170371",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.7,1.2,1.6,1.9,2.7,3.5,4.3,4.9,5.8,8.3,8.1,7.6,7.8,8.2,9.3,10.3,9.7,10.5,10.5,11,10.9,11.2,11.8,14.1,14.4,15.1,16.7,19.3,19.9,21.8,21.9,23,25.2,26.4,27.1,31.4,34.8,36.5,39.7,42.5,44.6,48,54.7
"48","38","Income security","G170381",20.9,22.6,25.9,26.8,28,28.8,31.1,32.8,35.8,40.5,44.2,54.5,65,71.5,81.9,96.5,123.1,132.5,140.1,147.5,164.4,197.4,222.1,248,263.4,263.6,276.9,291.7,299.8,316.9,338.5,369,409,452.7,470.3,483.1,500,516.6,526.6,539.9,561,588.8,626,686.3,721.6,749.5,786.4,821.4,867.5,965.6
"49","39","      Federal","W015RC1",18.6,20.1,23.4,23.8,25,25.5,27.7,30.3,37.1,42.4,46.3,56.4,66.9,73.8,85.7,104.6,134.3,145.6,154.7,165.2,185.8,223.2,254.4,285.4,306.7,312.9,329.4,348.1,360.9,381.9,415.2,451.2,498,555.7,587.7,613.3,649.4,684.5,710,724.4,743.8,777.8,845.7,924.6,972.7,1024.9,1089.2,1193.1,1267.5,1404.1
"50","40","General public service","G170401",0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.2,0.2,0.6,0.8,0.6,0.4,0.3,0.5,0.4,0,0.2,0.2,0.2,0.3,0.2,0.3,0.1,0.2,1,1.6,0.9,0.7,0.3,0.7,0.4,0.4,0.3,0.5,0.4,0.4,0.6,0.8,0.7,0.7,0.8,0.8
"51","41","Public order and safety","G170411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1
"52","42","Economic affairs","G170421",0,0,0,0,0,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.5,0.5,0.1,0.2,0.3,0.5,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,1.1,1,0.9,1.3,1.6,1.8,1.9
"53","43","Housing and community services","G170431",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0,0,0.1,0.3,0.4,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","44","Health","G170441",0.8,0.9,1.1,0.9,1.1,1,1,2.1,6,7.2,8.2,8.9,9.7,10.6,12.3,14.8,17.7,20.9,24.3,27.9,32.5,39.1,46.6,54.2,61.2,68.4,73.7,79.7,86.3,91.7,104,113.9,124.2,139.6,154.1,168.2,186.7,202.9,215.9,215.9,215.5,224,253.9,272.9,289.3,315.4,345.1,413.4,442.6,479.3
"55","45","Recreation and culture","G170451",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.8,0.3,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6
"56","46","Education","G170461",0.5,0.4,0.3,0.2,0.2,0.1,0.2,0.4,0.8,1,1.3,2,2.5,3.2,3.7,4.5,6.7,6.4,5.7,5.7,6,6.9,7.7,7,7.6,7.3,7.4,7.1,7.1,7.6,9.4,9.1,9.4,10.6,12.7,12.3,13.1,12.8,13.8,15.4,15.9,15.6,18.4,20.7,21.1,22.6,23.7,23.9,25.1,29.5
"57","47","Income security","G170471",17.2,18.8,21.9,22.6,23.6,24.2,26.2,27.5,29.8,33.7,36.4,44.8,53.6,59,68.9,84.5,109,117,123.4,130.3,146,175.5,198.5,223.3,236.9,235.6,247.2,259.6,266.1,281,300.6,326.7,362.1,402.6,419,431,448.2,467.1,478.8,491.6,511,536.6,571.7,629,660.2,684.6,717.7,752.9,796.6,891.8
"58","48","      State and local","B109RC1",4.3,4.6,5,5.3,5.7,6.2,6.7,7.6,9.2,11.4,13.2,16.1,19.3,22,24.1,25.3,30.8,34.1,37,40.8,44.3,51.2,57.1,61.2,66.9,71.2,77.3,84.3,90.7,98.5,109.3,127.7,156.5,180,195.2,206.7,217.6,224.3,227.6,235.8,252.3,271.4,305.1,333,353.4,384.3,404.8,402.9,433.7,455
"59","49","General public service","G170491",0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0,0,0,0,0,0,0.4,0.4,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1.1,1.2,1.1,1,0.7,0.6,0.6,0.8,1.5,2.3
"60","50","Public order and safety","G170501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
"61","51","Economic affairs","G170511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.9,0.9,1.9,1.7,1.7,1.4,1.1,1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1.1,0.9,1,1.1,1.1,1,1.4,1.6,1.4,1.3,1.2,1.3,1,1
"62","52","Health","G170521",0.5,0.5,0.7,0.9,1.1,1.3,1.5,2,2.8,4.1,4.6,5.6,6.9,8.3,9.8,11.5,14.4,16,17.5,19.5,22,25.1,29.4,32.3,36.2,39,42.7,47.1,51.6,57,65.2,78.5,102.4,122.1,135.5,145.2,155.3,163.9,168.6,175.6,189.6,205.3,235,258.9,274.3,300.2,315.4,311.4,337.2,352.6
"63","53","Education","G170531",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1,1.1,1.2,1.3,1.6,1.7,1.9,2.1,2.2,2.4,2.6,2.7,2.9,3.1,3.5,3.9,4,4.2,4.6,5.3,5.7,6,6.6,7.6,8.7,9.1,9.1,9.8,10.5,11.5,13,14.1,15.4,17.1,18.8,20.7,22.9,25.2
"64","54","Income security","G170541",3.7,3.8,4,4.2,4.4,4.7,4.9,5.3,6,6.8,7.9,9.7,11.4,12.4,13,12,14.1,15.5,16.7,17.2,18.4,21.9,23.6,24.7,26.5,28,29.8,32,33.7,35.9,38,42.4,46.9,50.1,51.4,52.1,51.8,49.5,47.9,48.2,50,52.2,54.4,57.2,61.4,65,68.6,68.5,70.9,73.8
"65",NA,"Grants-in-aid to state and local governments:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","55","      Federal \2\","B089RC1",3.8,4,4.5,5,5.6,6.5,7.2,10.1,11.7,12.7,14.6,19.3,23.2,31.7,34.8,36.3,45.1,50.7,56.6,65.5,66.3,72.3,72.5,69.5,71.6,76.7,80.9,87.6,83.9,91.6,98.3,111.4,131.6,149.1,164,175.1,184.2,191.1,198.4,212.6,232.9,247.3,276.1,304.2,338,349.2,361.2,359,378.9,391.7
"67","56","General public service","G170561",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,2.9,7.4,6.5,6.5,7.6,8.6,8.3,7.2,7.2,4.9,5.2,5.3,5,5.1,6.5,0.8,1,0.6,0.7,0.9,0.8,0.9,1.1,1,2.1,2.4,2.4,3.6,2.1,2.4,2.5,12.5,3,3.1,2.4,2.7,2.6
"68","57","National defense","G170571",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,0.8,1,1.1,1.2,1.2,1.5,1.7,1.9,1.9,1.9,2.1,2.6,2.9,2.8,3,2.8,2.7,2.8,2.9,3.1,3.2,3.2,2.9,3.2,3.7,3.7,4,3.8,3.8,4.1
"69","58","Public order and safety","G170581",0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.5,0.6,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.3,0.2,0.2,0.3,0.4,0.5,0.4,0.4,0.4,0.7,1.1,1.1,1.1,1.2,1.3,2.5,3.5,3.9,4.5,4.9,3.8,2.9,4,5.4,5.8,5.4,5.7
