"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"35","26","    Nonresidential","A008RS2",-0.47,-0.56,-0.55,-0.08,0.17,0.06,-0.01,0.62,0.06,-0.07,0.16,0.51,0.64,0.11,0.06,0.1,0.66,1.44,0.86,0.23,0.19,0.9,0.21,0.08,0.09,0.13,0.76,0.52,0.05,0.12,0.04,-0.05,0,0,0.05,0.11,0.16,0.27,0.37,0.43,0.5,0.49,0.35,0.42,1.09,1.49,0.59,0.74,0.78,1.02,1.15,1.27,0.73,-0.11,-0.03,0.1,0.2,0.1,0.24,0.23,0.21,0.16,-0.08,0,0.05,0.02,-0.13,-0.15,-0.26,-0.18,0.01,-0.05,-0.05,0,0.15,0.33,0.37,0.28,0.18,-0.01
"36","27","      Structures","A009RS2",-0.28,-0.35,-0.38,0.02,0.01,0.09,0,0.34,-0.05,-0.03,0.04,0.18,0.23,0.1,0.02,0.06,0.3,0.71,0.39,-0.01,0.04,0.39,0.09,0.07,-0.04,0.07,0.33,0.18,-0.06,0.02,0,-0.02,0.03,0.03,0.05,0.11,0.14,0.12,0.19,0.25,0.25,0.29,0.27,0.3,0.55,0.46,0.18,0.31,0.37,0.49,0.44,0.68,0.42,-0.13,0.04,0.11,0.08,0.06,0.15,0.14,0.11,0.06,0,0.08,0.09,0.11,0.07,0.11,0.14,0.09,0.12,0.16,0.12,0.09,0.18,0.32,0.35,0.24,0.12,-0.06
"37","28","      Equipment and software","A010RS2",-0.2,-0.21,-0.16,-0.1,0.16,-0.03,-0.01,0.28,0.11,-0.04,0.13,0.33,0.42,0.01,0.04,0.05,0.36,0.74,0.47,0.24,0.15,0.51,0.12,0.01,0.13,0.05,0.43,0.35,0.11,0.1,0.05,-0.03,-0.03,-0.03,0,0.01,0.02,0.15,0.18,0.19,0.25,0.2,0.08,0.12,0.54,1.02,0.41,0.43,0.41,0.53,0.71,0.58,0.31,0.02,-0.07,-0.01,0.12,0.04,0.09,0.09,0.1,0.1,-0.08,-0.07,-0.04,-0.09,-0.2,-0.26,-0.4,-0.27,-0.11,-0.21,-0.17,-0.09,-0.03,0.01,0.01,0.04,0.05,0.04
"38","29","        Information processing equipment and software","A679RS2",-0.05,-0.04,-0.01,-0.02,0.03,0,0,0,0,0,0.01,0.02,0.02,0,0,0,0.12,0.09,0.02,0,0.01,0.04,-0.01,0,0.01,0.01,0.02,0.04,0.01,0.01,-0.01,-0.01,-0.02,-0.04,-0.02,-0.03,-0.07,-0.02,-0.01,0.01,0.01,-0.04,-0.04,0.01,0.03,0.11,0.02,-0.02,-0.09,-0.02,0.01,0.06,0.03,-0.08,-0.13,-0.11,-0.09,-0.09,-0.04,-0.07,-0.08,-0.05,-0.17,-0.13,-0.14,-0.17,-0.3,-0.31,-0.42,-0.31,-0.13,-0.23,-0.19,-0.15,-0.13,-0.1,-0.07,-0.05,-0.04,-0.07
"39","30","          Computers and peripheral equipment","B935RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.01,-0.02,-0.04,-0.02,-0.03,-0.08,-0.05,-0.04,-0.02,-0.03,-0.07,-0.06,-0.01,-0.06,-0.02,-0.04,-0.04,-0.14,-0.07,-0.11,-0.07,-0.06,-0.12,-0.16,-0.13,-0.11,-0.12,-0.05,-0.05,-0.07,-0.07,-0.11,-0.12,-0.09,-0.15,-0.25,-0.25,-0.3,-0.26,-0.14,-0.17,-0.11,-0.08,-0.05,-0.08,-0.08,-0.07,-0.07,-0.05
"40","31","          Software \1\","B985RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0.01,0.01,0,0,-0.01,0.01,0.01,0.01,0.01,0,-0.01,-0.01,-0.02,0,-0.01,-0.04,-0.03,0,-0.08,-0.01,-0.03,-0.01,-0.03,-0.03,-0.04,0.02,0.05,0.01,-0.03,-0.04,-0.04,-0.01,0.02,0.01,0.02,-0.02
"41","32","          Other","A937RS2",-0.05,-0.04,-0.01,-0.02,0.03,0,0,0,0,0,0.01,0.02,0.02,0,0,0,0.12,0.09,0.02,0,0.01,0.04,-0.01,0,0.01,0.01,0.02,0.04,0.01,0.01,0,0,0,0.01,0.01,0,0.01,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.08,0.12,0.06,0.01,0.06,0.05,0.12,0.12,0.08,0.05,0.04,0.03,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0,-0.01,-0.01,-0.03,-0.02,-0.08,-0.07,-0.05,-0.06,-0.05,-0.03,-0.04,-0.01,0,0.01,0.01,0
"42","33","        Industrial equipment","A680RS2",-0.07,-0.06,-0.05,0,0.09,0.01,0,0.12,0.01,0,0.05,0.07,0.03,0,0.01,0.01,0.1,0.15,0.15,0.08,0.06,0.2,0.01,0.05,0.03,0.07,0.19,0.15,0.05,0.04,0.03,-0.01,0,0.01,0.02,0.03,0.05,0.09,0.08,0.07,0.1,0.08,0.04,0.05,0.19,0.39,0.16,0.17,0.17,0.21,0.28,0.2,0.1,0.04,0.02,0.03,0.07,0.07,0.07,0.06,0.08,0.05,0.03,0.02,0.03,0.06,0.04,0.01,0.01,0.01,0.01,0.01,0,0.01,0.03,0.04,0.04,0.04,0.05,0.02
"43","34","        Transportation equipment","A681RS2",-0.09,-0.06,-0.05,-0.08,0.04,-0.02,0.01,0.06,0.08,-0.01,0.04,0.17,0.29,0.01,0.03,0.03,0.05,0.27,0.15,0.1,0.04,0.13,0.11,-0.06,0.07,-0.03,0.17,0.08,0.02,0.03,0,0,-0.02,-0.01,-0.01,0,0,0.03,0.05,0.06,0.08,0.08,0.04,0.02,0.17,0.18,0.11,0.14,0.18,0.18,0.2,0.13,0.07,0.02,0.02,0.05,0.1,0.02,0.02,0.05,0.04,0.06,0.03,0.01,0.04,-0.01,0.03,0.03,-0.01,0.02,0,-0.01,0.01,0.04,0.06,0.01,0.01,0.02,0,0.04
"44","35","        Other equipment","A862RS2",0,-0.04,-0.05,0,0.01,-0.02,-0.02,0.09,0.01,-0.03,0.02,0.07,0.07,0.01,0.01,0.01,0.09,0.23,0.15,0.06,0.04,0.14,0.01,0.03,0.02,0.01,0.05,0.08,0.03,0.02,0.02,0,0.01,0.01,0.01,0.01,0.04,0.05,0.05,0.05,0.05,0.07,0.04,0.03,0.15,0.34,0.12,0.15,0.15,0.16,0.22,0.19,0.12,0.03,0.03,0.03,0.04,0.03,0.04,0.06,0.06,0.04,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.05,0.03,0.03,0.04,0.05
"45","36","    Residential","A011RS2",-0.07,-0.23,-0.35,-0.02,0.13,-0.02,0.09,0.2,0.07,0.02,0.1,0.31,0.17,0.08,0.06,0.05,0.19,0.83,0.46,0.08,0.15,0.45,0.15,0.04,0.02,0.12,0.15,0.01,-0.01,0.02,0.04,0.01,0.01,-0.04,0.04,0.14,0.16,0.14,0.22,0.29,0.14,0.26,0.32,0.48,0.51,0.38,0.27,0.49,0.66,0.62,0.53,0.34,0.19,0.09,0.13,0.11,0.19,0.19,0.16,0.14,0.1,0.05,0.04,0.15,0.14,0.15,0.09,0.11,0.11,0.17,0.19,0.2,0.11,0.22,0.37,0.4,0.34,0.07,-0.06,-0.14
"46","37","  Change in private inventories","A014RS2",-0.04,-0.02,0.06,-0.18,-0.32,-0.09,0.02,0.04,-0.47,-0.02,0.03,0.18,0.26,0.03,-0.02,-0.04,0.05,0.41,0.03,-0.13,-0.02,0.24,-0.06,-0.1,-0.01,-0.02,0.05,0,-0.01,0,0,0,0,-0.01,0,0,0.02,0.02,0,0.02,0.01,0.02,0.01,0.03,0.11,0.01,-0.02,0.02,0.04,0.08,0.03,0.06,-0.05,-0.02,0.03,-0.03,-0.03,0.02,-0.04,0.01,-0.01,-0.01,-0.01,0,0,0,-0.02,-0.02,-0.04,-0.01,-0.01,0,0,-0.01,0.01,0.01,0.01,0.01,-0.02,0.11
"47","38","    Farm","B018RS2",0.01,-0.12,-0.17,-0.05,-0.24,-0.1,-0.01,-0.01,-0.46,-0.02,0,0.05,0.14,0.04,-0.02,-0.01,-0.05,-0.09,-0.03,-0.1,-0.02,0.03,-0.05,-0.1,-0.01,-0.02,0.01,-0.02,-0.01,-0.01,-0.01,0,0,-0.01,0,-0.01,0.01,0,-0.01,0,-0.01,0,0,0,-0.07,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,0,-0.04,-0.02,0,-0.03,-0.02,0,-0.06,-0.01,-0.01,0,-0.01,0,0,0,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,0,0,-0.01,0
"48","39","    Nonfarm","A015RS2",-0.05,0.1,0.23,-0.13,-0.08,0.01,0.03,0.05,0,0,0.03,0.13,0.12,-0.01,0,-0.02,0.1,0.5,0.06,-0.03,0.01,0.21,-0.01,0,0,0,0.04,0.01,0,0.01,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.03,0.18,0.03,0,0.04,0.06,0.08,0.04,0.07,0,0.01,0.03,0.01,-0.01,0.01,0.03,0.01,0,-0.01,0,0,0,0,-0.01,-0.01,-0.03,-0.01,-0.01,0,0,-0.01,0,0.01,0.01,0.01,-0.02,0.11
"49","40","Government consumption expenditures and gross investment","A822RS2",-0.31,-0.59,-1.22,0.43,1.17,0.13,0.46,0.32,0.03,-0.26,-0.18,1.13,-0.29,0.66,-0.62,0.5,7.07,1.39,0.6,0.47,0.01,1.2,0.43,0.25,0.49,0.9,1.16,0.94,0.67,0.09,0.27,0.43,0.56,0.48,0.61,0.57,0.89,0.93,1.25,1.37,1.82,1.71,1.63,1.51,2.1,2.16,1.41,1.43,1.28,1.63,2.15,1.97,1.33,0.82,1.02,0.62,0.37,0.58,0.54,0.62,0.81,0.7,0.52,0.49,0.51,0.5,0.43,0.32,0.23,0.54,0.67,0.46,0.46,0.75,0.77,1.02,0.85,0.8,0.83,-0.04
"50","41","  Federal","A823RS2",-0.08,-0.02,-0.13,0.04,0.31,0.06,0.5,0.1,0.1,-0.13,-0.26,0.61,-0.92,0.32,-0.77,0.37,6.65,0.72,-0.09,0.41,-0.05,0.49,0.14,0.11,0.37,0.75,0.67,0.59,0.55,-0.1,0.11,0.21,0.27,0.27,0.41,0.3,0.4,0.36,0.68,0.64,0.9,0.89,0.94,0.63,0.8,0.94,0.64,0.65,0.52,0.63,0.88,0.85,0.62,0.33,0.55,0.21,0.05,0.12,0.2,0.24,0.29,0.34,0.26,0.2,0.2,0.2,0.19,0.11,0.07,0.15,0.19,0.11,0.22,0.27,0.31,0.32,0.27,0.23,0.2,0.04
"51","42","    National defense","A824RS2",-0.03,-0.01,-0.03,-0.04,0.07,0.04,0.03,0.05,0.01,-0.01,-0.1,0.51,-0.99,0.34,-0.69,0.25,6.37,0.68,-0.04,0.24,-0.01,0.39,0.05,0.06,0.37,0.67,0.64,0.52,0.45,-0.1,0.08,0.15,0.2,0.23,0.27,0.24,0.3,0.28,0.52,0.52,0.67,0.7,0.81,0.49,0.6,0.62,0.45,0.45,0.4,0.45,0.63,0.6,0.46,0.24,0.49,0.13,-0.01,0.07,0.13,0.17,0.21,0.23,0.21,0.1,0.13,0.12,0.14,0.06,0.04,0.09,0.12,0.07,0.14,0.19,0.2,0.24,0.19,0.16,0.16,0.01
"52","43","      Consumption expenditures","A997RS2",-0.03,-0.01,-0.02,-0.03,0.06,0.03,0.03,0.02,0.01,-0.01,-0.11,0.18,-0.69,0.23,0.55,1.27,5.75,0.59,-0.08,0.22,-0.03,0.23,0,0.15,0.33,0.58,0.43,0.39,0.41,-0.14,0.08,0.12,0.17,0.21,0.28,0.24,0.28,0.26,0.48,0.45,0.59,0.64,0.64,0.47,0.57,0.57,0.39,0.39,0.35,0.41,0.58,0.53,0.39,0.21,0.47,0.16,0.06,0.12,0.13,0.15,0.19,0.21,0.2,0.07,0.1,0.1,0.14,0.07,0.05,0.09,0.12,0.08,0.15,0.19,0.19,0.22,0.18,0.16,0.14,0.01
"53","44","      Gross investment","A788RS2",0,-0.01,-0.01,0,0.02,0,0,0.03,0,0,0.01,0.33,-0.3,0.1,-1.24,-1.02,0.63,0.09,0.04,0.02,0.02,0.15,0.05,-0.09,0.04,0.08,0.21,0.13,0.03,0.04,0,0.03,0.03,0.02,0,0,0.02,0.03,0.04,0.07,0.08,0.06,0.17,0.02,0.03,0.05,0.06,0.06,0.06,0.04,0.05,0.07,0.07,0.03,0.02,-0.03,-0.07,-0.05,0,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0,-0.01,0,0.01,0,-0.01,0,0,0.01,0.01,0.01,0.01,0.01,0
"54","45","    Nondefense","A825RS2",-0.05,0,-0.1,0.07,0.23,0.02,0.47,0.05,0.1,-0.11,-0.17,0.1,0.06,-0.02,-0.08,0.12,0.27,0.04,-0.05,0.17,-0.05,0.11,0.09,0.05,0,0.08,0.04,0.07,0.11,0,0.03,0.06,0.07,0.04,0.13,0.05,0.1,0.08,0.16,0.13,0.23,0.19,0.13,0.14,0.21,0.32,0.18,0.2,0.12,0.18,0.26,0.25,0.16,0.09,0.06,0.08,0.06,0.04,0.07,0.07,0.08,0.11,0.05,0.11,0.08,0.08,0.05,0.05,0.03,0.05,0.07,0.04,0.08,0.08,0.11,0.08,0.07,0.07,0.05,0.03
"55","46","      Consumption expenditures","A542RS2",-0.04,0.02,-0.03,0.02,0.12,-0.01,0.41,0.03,0.1,-0.1,-0.18,0.03,0.01,0.02,-0.1,0.14,0.27,0.03,-0.07,0.16,-0.03,0.07,0.07,0.05,0.01,0.09,0.02,0.05,0.11,-0.01,0.02,0.06,0.06,0.03,0.11,0.07,0.09,0.05,0.14,0.11,0.2,0.17,0.11,0.13,0.17,0.27,0.16,0.18,0.1,0.15,0.22,0.21,0.14,0.08,0.06,0.07,0.05,0.04,0.06,0.06,0.07,0.11,0.05,0.1,0.07,0.07,0.05,0.05,0.03,0.05,0.06,0.04,0.08,0.08,0.1,0.08,0.07,0.06,0.05,0.03
"56","47","      Gross investment","A798RS2",-0.01,-0.02,-0.07,0.06,0.11,0.03,0.06,0.03,0,-0.01,0.02,0.07,0.05,-0.04,0.02,-0.02,0,0.01,0.02,0.01,-0.01,0.04,0.02,0,-0.01,0,0.01,0.02,0,0.01,0,0,0.01,0.01,0.03,-0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.04,0.05,0.02,0.02,0.01,0.03,0.04,0.04,0.02,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"57","48","  State and local","A829RS2",-0.23,-0.57,-1.09,0.4,0.87,0.07,-0.05,0.22,-0.07,-0.14,0.08,0.52,0.63,0.35,0.15,0.13,0.42,0.66,0.69,0.06,0.07,0.71,0.29,0.13,0.12,0.15,0.49,0.35,0.12,0.19,0.16,0.22,0.29,0.21,0.2,0.27,0.49,0.57,0.57,0.72,0.92,0.82,0.69,0.88,1.3,1.22,0.78,0.78,0.76,1,1.27,1.12,0.71,0.49,0.47,0.41,0.32,0.46,0.35,0.39,0.52,0.36,0.25,0.28,0.31,0.31,0.24,0.21,0.16,0.39,0.48,0.35,0.25,0.48,0.46,0.7,0.58,0.57,0.63,-0.08
"58","49","      Consumption expenditures","A991RS2",-0.05,-0.22,-0.46,0.04,0.48,0.17,-0.27,0.15,-0.05,-0.05,0.08,0.28,0.41,0.3,0.16,0.13,0.37,0.5,0.54,0.09,0.13,0.41,0.24,0.15,0.18,0.14,0.26,0.25,0.16,0.19,0.2,0.22,0.24,0.17,0.17,0.2,0.37,0.48,0.43,0.53,0.68,0.62,0.55,0.69,0.86,0.93,0.72,0.69,0.63,0.8,1,0.88,0.58,0.47,0.46,0.38,0.27,0.39,0.29,0.34,0.46,0.33,0.25,0.24,0.26,0.24,0.21,0.18,0.14,0.35,0.41,0.3,0.2,0.45,0.36,0.54,0.45,0.42,0.52,-0.13
"59","50","      Gross investment","A799RS2",-0.17,-0.35,-0.63,0.35,0.39,-0.09,0.22,0.07,-0.02,-0.09,0,0.24,0.22,0.05,-0.01,0,0.05,0.16,0.15,-0.03,-0.07,0.29,0.05,-0.01,-0.06,0.01,0.23,0.1,-0.05,0,-0.04,0.01,0.05,0.04,0.03,0.07,0.12,0.09,0.14,0.2,0.23,0.21,0.14,0.19,0.45,0.29,0.06,0.09,0.13,0.2,0.27,0.24,0.13,0.02,0.01,0.03,0.06,0.07,0.05,0.05,0.06,0.03,0.01,0.04,0.05,0.06,0.04,0.03,0.03,0.04,0.07,0.05,0.04,0.03,0.1,0.16,0.13,0.15,0.11,0.05
"60",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","51","  Final sales of computers to domestic purchasers \2\","W489RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.08,-0.13,-0.08,-0.07,-0.15,-0.18,-0.15,-0.15,-0.14,-0.07,-0.07,-0.1,-0.11,-0.16,-0.17,-0.13,-0.22,-0.38,-0.39,-0.46,-0.41,-0.23,-0.29,-0.2,-0.16,-0.1,-0.14,-0.14,-0.11,-0.12,-0.1
"62","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,10.65,9.28,5.74,3.65,3.7,2.99,2.41,3.28,3.51,3.86,4.16,3.38,2.57,2.27,2.2,2.36,2.19,1.89,1.13,1.99,2.73,2.17,1.64,2.49,3.14,3.88,3.53,3.04,3.27,0.15
"63","53","  Food \3\","B981RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.22,0.04,0.15,0.22,0.14,0.34,0.32,0.21,0.05,0.09,0.1,0.13,0.17,0.1,0.06,0.09,0.12,0.15,0.08,0.09,0.16,0.08,0.08,0.19,0.29,0.08
"64","54","  Energy goods and services","B982RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.05,0.05,-0.59,0.05,0.03,0.22,0.31,0.01,0.02,0.03,0.01,0.03,0.15,0.03,-0.28,0.12,0.51,0.07,-0.18,0.36,0.37,0.59,0.41,0.24,0.54,-0.71
"65","55","  Gross domestic purchases excluding food and energy","B983RS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.38,3.24,2.75,2.71,2.88,3.28,3.24,3.44,3.05,2.35,1.98,1.96,1.99,1.49,1.37,0.88,1.38,1.87,1.65,1.55,1.87,2.52,3.06,2.88,2.5,2.33,0.68
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
