"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40"
"12","4","  Nonfinancial","N463RC1",389.8,397.8,373.7,318.8,389.7,418.6,428.1,472.3,454.2,471.4,497,522,621.2,674.6,712.6,701.8,748.5,805.5,761.1,875.4,902,894.9,987.6,911.1,887.5,897.7,810.1,792.4,696.7,712.8,767.6,669.4,629.2,659,686.6,746.4,NA
"13","5","Rest of the world","B394RC1",160.1,171,146.6,201.2,158.7,145.9,156.6,170.3,149.1,158.9,163.1,191.8,213.2,197.3,215.2,194.4,234.2,233.3,252.9,237.4,246.9,255.3,251,274.1,282.2,311.2,370.5,427.1,412.3,367,397.2,332.4,315.8,301.2,323.2,307.1,NA
"14","6","  Receipts from the rest of the world","B933RC1",191.2,186.3,176.1,176.8,191.7,202.3,217.2,206.4,229.4,236.2,250.1,281,314.7,323.1,332.7,342.1,373.3,374.6,384.3,404.1,410.6,436,441.2,450,457.6,490,521.8,548.8,565.7,573.6,558.5,479.1,402.2,409.9,440.8,468.5,NA
"15","7","  Less: Payments to the rest of the world","B934RC1",31.1,15.3,29.5,-24.4,32.9,56.4,60.7,36.1,80.2,77.3,87,89.2,101.5,125.9,117.5,147.7,139.1,141.3,131.3,166.8,163.6,180.7,190.2,175.9,175.4,178.8,151.3,121.7,153.5,206.6,161.3,146.8,86.4,108.7,117.6,161.4,NA
"16","8","    Corporate profits with inventory valuation adjustment","A052RC1",730.2,762.6,708,682.2,713.3,737.7,761.8,838.4,837.9,853.5,903.1,974.3,1120.5,1171.3,1246,1242.8,1542.9,1573.5,1613,1708.5,1781.9,1771.4,1822.8,1762.7,1705.4,1779.1,1732.9,1704.1,1512.9,1463.8,1522.2,1199.3,1327.6,1355.1,1477.8,1586.3,NA
"17","9","Domestic industries","A390RC1",570.1,591.6,561.5,481,554.5,591.8,605.2,668.1,688.8,694.5,740,782.4,907.3,974,1030.8,1048.4,1308.7,1340.2,1360,1471.1,1535,1516.1,1571.8,1488.6,1423.2,1467.9,1362.4,1277,1100.6,1096.8,1125,866.9,1011.9,1053.9,1154.6,1279.2,NA
"18","10","  Financial","N392RC1",219.2,228.9,228.4,235.4,258.2,264.4,263.6,274.6,298.5,303.5,318.8,326.6,346.3,351.7,364,387.4,448,414.5,466.1,445.8,466.5,467.8,434.8,422.8,384.2,406.2,378.2,302.5,357,330.8,297.5,130.3,253.9,280.7,362.4,427.9,NA
"19","11","    Federal Reserve banks","B397RC1",31.7,29.8,28.1,25.8,24.3,24.3,23.3,22.2,21.7,20.8,19.5,18.3,19.1,19.1,20.1,21.9,22.9,25.5,26.8,31,31,33.6,35.8,34.9,38.2,38.5,37.5,36.5,35.9,31.1,34.6,41.1,28.8,46.1,57.6,67.9,NA
"20","12","    Other financial \2\","N398RC1",187.5,199.1,200.3,209.6,233.9,240.1,240.2,252.4,276.8,282.7,299.2,308.3,327.2,332.6,343.9,365.4,425.1,388.9,439.3,414.7,435.5,434.2,399,387.8,346,367.7,340.6,266,321.1,299.7,262.9,89.2,225.1,234.6,304.8,359.9,NA
"21","13","  Nonfinancial","N399RC1",350.9,362.8,333.1,245.6,296.3,327.4,341.7,393.5,390.3,391,421.2,455.8,561.1,622.4,666.8,661,860.7,925.8,893.9,1025.4,1068.5,1048.3,1137,1065.8,1039,1061.7,984.2,974.5,743.6,766,827.5,736.6,758,773.3,792.2,851.4,NA
"22","14","    Utilities","N419RC1",28,29.7,26.4,16.9,8.6,12.1,14.2,14.2,12.9,11.2,11.8,13.8,16.1,18.7,19.3,23.7,28,29.4,22.6,39.1,45.2,53.1,60.8,58.4,51.3,46.6,47.3,51.2,33.1,43.1,43.5,40.8,53.6,53.4,61.5,47.8,NA
"23","15","    Manufacturing","N400RC1",81.6,81.5,48.1,-12.2,32.7,46.4,51.9,59.7,60.3,49.1,66.9,101.4,131.7,148.1,161.3,175.3,242.8,234.8,246.5,264.9,294.4,302.3,336.4,285,288.9,316,244,265.7,187.6,160.1,205.7,148.6,121.6,132.3,129.7,160.5,NA
"24","16","      Durable goods","N406RC1",11.6,-4,-39,-76.3,-25.7,-8.4,1.4,1.8,-3.4,-9.4,-12,7.4,31.1,40.3,43.2,48.1,86.4,93.6,96.5,105.6,125.3,94.9,134.1,121.2,105.9,100.6,84.9,92.8,61,19.7,40.5,1.5,8,11.9,6.7,32.9,NA
"25","17","        Fabricated metal products","N408RC1",12.2,11,9.1,6.8,8.4,9.1,8.8,9.9,6.5,8.1,6.5,10.9,10.9,12.8,11.1,13.7,17,18,19.8,17.5,19.6,16.7,18.1,20.4,19.1,20.6,22.5,23,18.5,14.9,17.7,19.2,19.3,13.7,10.9,10,NA
"26","18","        Machinery","N409RC1",9.4,4.2,-7,1.2,1.9,1.7,1.4,0.5,0,1.8,0.6,1.7,3.8,7.2,9.2,8.3,11.5,12.5,14.3,19.9,18.8,18.7,20.1,19.3,20,21,19.3,19,17.1,13.1,14.6,19.6,12.8,10.4,8.1,12.7,NA
"27","19","        Computer and electronic products","N501RC1",-23,-36.2,-57.3,-77.8,-48.2,-37.6,-27.8,-23.7,-17.2,-16,-16.8,-8.9,-6.2,-5.8,-3.9,-1.4,6.5,8.6,10,11,10.1,19.1,22.6,17.7,17,10.5,11.6,5.5,14.5,2,0.1,2.2,3.2,3.9,3.1,4.2,NA
"28","20","        Electrical equipment, appliances, and components","N410RC1",3.9,1.8,1.4,0.6,0.4,-1.3,0.2,0.7,1.7,2,2.4,2.7,2.5,2.5,-0.1,-2.3,-4.3,-4.1,-0.4,2.9,12.6,8.8,12.3,12.1,3.5,-2.1,-4.5,-1.4,-3.6,-2,-2.6,-8.4,-6.3,-9.1,-9.6,-9,NA
"29","21","        Motor vehicles, bodies and trailers, and parts","N411RC1",-7.5,-9.4,-5.9,-12.6,-9.7,-0.8,-2.3,-5.3,-5.2,-12.9,-14.8,-13.9,-1.6,-8.2,-9.6,-7.8,3.9,3.9,-0.2,-3,1.2,-13.9,-5.6,-8.8,-15.1,-8.7,-24.9,-17,-35.3,-55.7,-45.4,-53.4,-54.8,-38.5,-16.6,-3.7,NA
"30","22","        Other durable goods \3\","N412RC1",16.5,24.6,20.7,5.5,21.5,20.6,21.1,19.7,10.7,7.6,10.1,14.8,21.6,31.9,36.5,37.6,51.8,54.7,53,57.4,63,45.5,66.7,60.6,61.4,59.3,60.9,63.7,49.8,47.4,56.2,22.3,33.9,31.5,10.8,18.9,NA
"31","23","      Nondurable goods","N401RC1",70,85.5,87.1,64.1,58.4,54.7,50.5,57.9,63.7,58.5,78.8,94.1,100.6,107.8,118.1,127.2,156.3,141.2,150,159.3,169.1,207.4,202.3,163.8,183,215.4,159.1,172.9,126.6,140.5,165.2,147.1,113.6,120.4,122.9,127.6,NA
"32","24","        Food and beverage and tobacco products","N402RC1",21.9,31.3,30.2,29.5,25.9,26.4,25.6,23,21.9,23.6,22.6,27.7,24.6,22.3,27.5,22.9,28.2,25.5,26.9,28.5,30.3,32.7,33.7,33.1,28.2,33.5,29.3,29.8,29.2,37.1,37.3,31.3,34.7,33.1,35.1,29.4,NA
"33","25","        Petroleum and coal products","N404RC1",34.6,33.3,32.4,18.5,5.8,1.4,-0.8,-1.1,17.7,16,27.1,33.1,41.3,46.7,40.6,67.8,71.9,75.7,80.7,89.5,73.4,89.1,84.1,59.9,78,110.9,64.8,57.5,64.5,42.5,79.3,79.7,29.4,15.2,15.8,25.3,NA
"34","26","        Chemical products","N403RC1",6,13.1,14.7,12.7,15.1,16.3,17.5,22.3,17.5,15.3,21.6,21.1,19.3,24.8,32.3,22.6,38.9,20.1,21.8,22.1,46.3,59.9,61.5,42.3,52.4,50.2,42.6,62.4,16.4,48.2,39.1,21.7,29.6,39.4,37.4,37.3,NA
"35","27","        Other nondurable goods \4\","N405RC1",7.5,7.7,9.8,3.3,11.6,10.6,8.2,13.6,6.6,3.5,7.5,12.1,15.4,13.9,17.8,14,17.4,19.9,20.5,19.2,19,25.6,23,28.5,24.3,20.8,22.5,23.2,16.6,12.7,9.5,14.4,19.8,32.8,34.5,35.7,NA
"36","28","    Wholesale trade","N414RC1",38.9,42.1,52.9,71.2,56.9,54.6,41,44,44,51,61.6,62.6,71.3,80,84.3,66.9,90.5,105.7,83.5,89.2,104.4,100.7,107.4,102.2,107.9,117,107.9,76,46.6,56.6,85.8,111.5,94,87.5,80.6,89.5,NA
"37","29","    Retail trade","N415RC1",67.3,68.8,74.4,80.1,80.9,78.6,80.1,86.7,86.4,94.8,88.9,85.6,102.3,95,88.6,87.6,101,128.1,117.9,143.3,132.3,123.3,136.4,140.7,127.9,137.2,118.7,102.4,75.6,80.2,77.1,79.7,83.1,95.1,98.8,87.8,NA
"38","30","    Transportation and warehousing","N417RC1",2.6,3.8,3.2,-4.7,-0.5,-2.8,-1.1,3.8,4,8.4,7.9,9.4,14.2,20.5,13.1,9.8,25.7,28.5,28.2,33.7,43.4,45.3,40.3,39.6,32.9,33,30.9,23.4,12.9,11.9,9.2,11.5,6.7,1.3,4.8,10.8,NA
"39","31","    Information","N502RC1",-20.7,-20.3,-24.3,-32.4,-13.3,-6.5,-2.5,7.1,-2.4,3.2,12.6,6.2,14.8,47.6,66.3,53.8,76.2,85.7,78.5,84.8,84.1,92.6,100.8,92.1,90.5,77.5,93.9,99.4,91.6,101.8,81.9,63.6,95.4,99.4,107,133.9,NA
"40","32","    Other nonfinancial \5\","N420RC1",153.1,157.2,152.4,126.7,131.1,144.9,158,178,185.1,173.3,171.6,176.8,210.6,212.5,234,244,296.6,313.6,316.7,370.4,364.8,331,354.9,347.8,339.6,334.4,341.5,356.4,296.3,312.1,324.4,280.8,303.6,304.2,309.9,321,NA
"41","33","Rest of the world","B394RC1",160.1,171,146.6,201.2,158.7,145.9,156.6,170.3,149.1,158.9,163.1,191.8,213.2,197.3,215.2,194.4,234.2,233.3,252.9,237.4,246.9,255.3,251,274.1,282.2,311.2,370.5,427.1,412.3,367,397.2,332.4,315.8,301.2,323.2,307.1,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","estate and rental and leasing; professional, scientific, and  technical services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","administrative and waste management services; educational services; health care and social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","assistance; arts, entertainment, and recreation; accommodation and food services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Note. Estimates in this table are based on the 2002 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
