"","Table 7#15# Relation of Net Farm Income in the National Income a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"11","4","      Monetary interest received by farm corporations","B1450C1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.5,0.5,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.7,0.8,0.7,0.8,0.8,0.9,0.4,0.3,0.4,0.3,0.3,0.4,0.5,0.6
"12","5","      Valuation adjustment, Commodity Credit Corporation loans","B2637C1",0,0,-0.1,0,0,-0.1,-0.9,-0.8,0,0.1,-0.1,-0.3,-0.4,-0.3,-0.8,-1.2,-2.2,0.2,-1.1,-0.9,0,-1.5,-0.2,-0.1,-0.1,-0.4,-0.1,-0.4,-0.9,-0.6,0.3,0,-0.1,0.4,0,0,3.2,-0.9,0.1,0.1,-0.3,-2.9
"13","6","      Change in farm materials and supplies inventories","W250RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,1.3,-0.3,1.2,-1.9,0.9,0.5,0.5,-1.1,0.6,-0.6,1.2,-0.2,-0.2,0.3,-0.3,-0.2,-0.3
"14","7","Less: Consumption of fixed capital, NIPAs","B366RC1",4.2,4.5,4.8,5.1,5.4,5.8,6.3,7.5,8.9,10,11.2,12.5,14.2,16.3,18,19,18.9,18.6,18.2,17.8,17.4,17.3,17.6,17.9,18.2,18.2,18.2,18.7,19.4,20.2,21,22,22.8,23.3,23.9,24.7,25.8,27.4,29.5,31.3,32.8,34.6
"15","8","      Gross rental value of farm housing, USDA","B2638C1",2.7,2.8,3,3.3,3.5,3.7,4.1,4.9,5.4,6.1,7.3,8.1,9.3,11,12.6,13.1,12.6,4.9,4.7,4.6,5,7.7,7.2,7.2,7.2,7.2,8.1,9,9.4,9.8,9.6,10,10.6,12.7,13.1,13.6,14.3,16.8,18.8,20.6,20.8,22.9
"16","9","      Patronage dividends received from cooperatives","B2639C1",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.6,0.8,0.6,0.6,0.6,0.6,0.2,0.2,0.2,0.3,0.3,0.7,0.4
"17","10","      Other \1\","B1451C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,0.8,1,1,0.8,1.1,1,1.2,0.9,1.3,1.5,1.6,1.8,2.1,1.7,1.8,2.1,2.1,1.9,1.7,1.5
"18","11","      Statistical differences \2\","W713RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.3,1.5,0.4,2.2,1.8,1.3,-1.3,-1.6
"19","12","Equals: Farm proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","A1024C1",11.7,11.8,13.6,13.6,14.2,18.4,32.5,25.1,24.2,18.6,17.4,22.5,25.5,11.9,21.5,14,3.7,23.3,23.7,25.9,33.1,30.9,39.8,39.1,32.8,44.2,38.5,44.9,27.9,49.5,41.5,36,34.2,36.4,38.1,24.3,48.1,66.8,56.3,37.4,52,64.7
"20","13","          Proprietors' income","B042RC1",11.6,11.7,12.8,12.9,13.4,17,29.1,23.5,22,17.2,16,19.9,22.2,11.7,19,13.3,6.2,20.9,21,22.8,28.9,26.8,33,32.2,27.5,35.8,32,35.6,23.4,38.4,32.6,28.9,28.5,29.6,30.5,18.5,36.5,49.7,43.9,29.3,39.4,48.7
"21","14","          Corporate profits","B1023C1",0.1,0.1,0.7,0.7,0.8,1.3,3.4,1.7,2.2,1.4,1.5,2.6,3.4,0.2,2.5,0.7,-2.5,2.4,2.7,3.1,4.2,4.1,6.8,7,5.3,8.4,6.5,9.3,4.5,11.1,8.9,7.1,5.7,6.8,7.6,5.8,11.6,17.1,12.4,8,12.6,15.9
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Consists largely of salaries paid to certain farm operators.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Statistical differences result from updates to the USDA farm income estimates that have not yet been incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","into the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","USDA U.S. Department of Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
