"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"11","4","Equals: Gross national product","A001RX1",985.4,900.8,841.5,731.1,720.9,798.4,869.7,981.9,1033.3,998.2,1078.7,1171.8,1372.7,1624.9,1889.5,2041.9,2018.3,1799.7,1786.3,1866.4,1855.8,2018.2,2176.1,2259.4,2362.1,2348.2,2517.9,2569.1,2621.4,2595.1,2780.5,2850.6,2918.6,3096.8,3232.8,3420.4,3639.5,3873.1,3971.1,4164.1,4291.6,4299.4,4446,4682.9,4964.5,4944,4921.4,5191.2,5433.7,5733.2,5930.2,5913.4,6052.5,5939.1,6202.3,6639.8,6893.9,7116.5,7342.2,7650.4,7924,8081.8,8055.6,8326.4,8563.2,8900.5,9129.4,9471.1,9881.8,10304,10812.1,11268.8,11404.6,11606.9,11914.2,12358.5,12735.5,13046.1,13362.8,13442.6,13083.7
"12","5","Less: Consumption of fixed capital","A262RX1",84.7,86.6,86.5,84.3,82.1,80.4,80.6,81.9,84.5,85.8,86.8,89,94.2,105.4,123.2,143.8,156.6,158.2,154.9,153.7,154.5,156.9,162.5,170.3,179.3,187.6,194.7,201.7,208.4,216.2,220.8,225.1,231.5,239.3,248.7,259,272,287.5,303.1,318.2,333.6,347.3,358.7,372.1,391.8,409.6,423.8,437.3,454.6,475.3,499.7,522.9,543.8,566.2,585.1,609.5,643.1,674.1,705.5,735.1,766.2,796.5,821.2,844,872.3,906.5,947,994.8,1051.4,1120.5,1199.4,1282.4,1350.8,1399.8,1441.3,1488.3,1541.4,1598.4,1660,1715.2,1737.9
"13","6","        Private","A024RX1",82.2,83.8,83.2,80.5,77.7,75.6,75.2,75.9,78,78.7,79,80.4,82.9,83.1,80.6,79.3,79.8,84.4,91.8,98.8,104.7,110.2,115.6,119.7,124.5,129.4,134.9,140.6,146,152.5,155.2,157.3,161.5,166.6,173.3,181,191.6,204.3,216.5,228.3,241.4,253.6,264.9,278.6,298.1,315.1,327.7,339.4,354.6,373.2,394.8,414.7,432.3,451.1,465.7,484.5,510.9,534,557.6,580.1,604.1,627.1,645.1,662.3,686,716.5,753.7,797.6,850,913.9,986.2,1062.7,1125.5,1168.9,1204.5,1244.4,1290.8,1341,1394.8,1441.3,1453.8
"14","7","        Government","A264RX1",8.1,8.6,9,9.4,9.7,10.1,10.5,11.2,11.7,12.4,13.1,13.8,16.7,27.4,47.8,70.9,84.5,81,69.1,59.6,53.5,49.5,49.4,53.7,58.5,62.2,64,65.2,66.4,67.6,69.7,72.3,74.5,77.5,80.4,83.1,85.3,88,91.6,94.8,96.9,98.1,97.9,97,96.7,97.4,98.8,100.6,102.4,104.2,106.6,109.6,112.8,116.3,120.6,126.4,133.8,142,150.1,157.5,164.8,172.4,179.3,185.1,189.7,193,195.8,199.2,202.9,207.6,213.8,220,225.4,231,236.8,243.9,250.6,257.4,265.3,274,283.7
"15","8","          General government","A265RX1",6.6,6.9,7.2,7.5,7.8,8,8.5,9,9.5,10,10.6,11.2,13.9,24.1,43.6,65.8,78.9,75.5,64.1,54.8,48.8,44.7,44.5,48.5,52.9,56.4,57.9,58.9,59.9,60.9,62.7,64.8,66.6,69.2,71.8,74.1,75.9,78.1,81.2,83.8,85.5,86.2,85.5,84.2,83.4,83.5,84.4,85.6,86.9,88.3,90.1,92.4,94.9,97.7,101.3,106.3,112.8,120,127.2,133.7,140.1,146.8,152.7,157.4,160.9,163.3,165.4,167.9,170.9,174.6,179.5,184.5,188.8,193.3,197.7,203.3,208.7,214.9,221.7,229.5,238.4
"16","9","          Government enterprises","A266RX1",1.9,2.1,2.2,2.4,2.5,2.5,2.6,2.7,2.8,3,3.1,3.3,3.4,3.5,3.5,3.5,3.5,3.5,3.5,3.7,3.8,4,4.2,4.5,4.7,4.9,5.1,5.3,5.6,5.8,6.2,6.5,6.9,7.3,7.7,8.1,8.6,9,9.5,10.1,10.7,11.2,11.7,12.3,13,13.6,14.3,14.8,15.3,15.8,16.5,17.2,17.9,18.6,19.3,20.1,21,21.9,22.8,23.6,24.5,25.4,26.5,27.5,28.6,29.5,30.4,31.2,31.9,32.9,34.2,35.5,36.6,37.7,39.1,40.6,41.9,42.6,43.6,44.5,45.3
"17","10","Equals: Net national product","A027RX1",905.3,817.5,757.5,647.7,639.9,720.9,793.6,906.7,956.4,918.6,1000.2,1093.5,1294,1539.7,1789.7,1920,1879.3,1653.3,1643.6,1727.9,1716,1881.2,2037.5,2113.2,2207.5,2181.7,2348.2,2391.6,2436.6,2398.1,2584.8,2651.8,2713.7,2888.1,3016.5,3197.2,3407,3628.2,3708.8,3888.6,4000,3990,4126.5,4354.1,4619.4,4574.3,4531.4,4793.3,5021.7,5304.6,5475.4,5424.6,5539.7,5388.7,5636.5,6057.1,6275.2,6464.3,6656.3,6935.7,7177.8,7301.9,7245,7494.3,7702.3,8005.9,8192.1,8484.8,8837.7,9189,9616.9,9989,10054.4,10207.1,10473,10870.2,11194.1,11447.6,11702.6,11727.5,11346.2
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income \1\","A261RX1",969.8,896.8,826.5,722.1,709.5,789.6,867.4,963.9,1028.3,984.8,1057.7,1154.4,1362.5,1627,1900.1,2011.3,1977.4,1782.7,1759.6,1857.6,1832.2,1996.5,2138.4,2226.6,2322.6,2313.2,2485.9,2560,2601.4,2572.4,2759.8,2836,2900,3070.7,3210.9,3388.4,3602.7,3815.3,3921.1,4113.8,4249.4,4241.7,4370,4614.2,4888.5,4857.9,4830.9,5075.1,5321.5,5613.1,5747.7,5744.1,5917.2,5862.3,6049.9,6524.4,6780.5,6978.9,7262.5,7628.2,7805.2,7917.2,7908.5,8143.3,8349.8,8734.4,9029.3,9402.7,9870.9,10383.2,10861.8,11377.1,11461.1,11576.9,11823.1,12272,12718,13189.9,13268,13219,12796.9
"20","12","  Gross national income \2\","A023RX1",978.2,904.8,833.1,727.4,714,793.6,872.2,967.8,1033.7,990.3,1063.6,1159.2,1369.1,1633.6,1906.5,2018,1983.2,1790.3,1769.8,1869.8,1843.2,2008.8,2153.3,2242.2,2337.6,2329.1,2503.6,2579.3,2621.8,2589.9,2777.9,2855.7,2921.7,3095.1,3237,3416.5,3632.1,3842.8,3949.8,4144.4,4279.2,4271.1,4402.9,4649.3,4936,4911.9,4872.8,5125.1,5377.5,5668.7,5822.8,5818.5,5982.4,5930.5,6116.1,6587,6825.2,7008.8,7291.4,7664.6,7843.3,7965.1,7949,8182.7,8389.7,8764.3,9065,9439.9,9898.3,10403.7,10894.1,11419.9,11518.7,11630.8,11896.6,12366.6,12815.2,13259.6,13376.8,13349.5,12893.2
"21","13","  Net domestic product","A362RX1",896.7,809.4,750.9,642.4,635.4,716.9,788.9,902.7,950.9,912.9,994.3,1088.5,1287.3,1533,1783.3,1913.3,1873.5,1645.8,1633.4,1715.7,1704.8,1868.8,2022.3,2097.5,2192.5,2165.7,2330.3,2372,2416,2380.4,2566.6,2631.9,2691.7,2863.4,2990,3168.6,3377.1,3600.1,3679.8,3857.4,3969.8,3960.1,4093.3,4318.4,4571,4519,4488.8,4742.5,4964.5,5248,5398.4,5348.4,5473,5319.1,5568.9,5993.3,6230.1,6434.4,6627.5,6899.1,7139.5,7253.6,7204.3,7454.8,7662.4,7976.2,8156.4,8447.5,8810.4,9168.7,9584.7,9946.3,9996.9,10153.2,10399.4,10775.5,11097,11377.8,11593.9,11597.1,11249.9
"22","14","  Net domestic income \3\","W256RX1",889.4,813.5,742.4,638.6,628.4,712,791.4,888.4,951.3,904.8,978.7,1075.6,1283.5,1542.1,1800.9,1888.7,1837.6,1636.2,1616.3,1719.2,1691.7,1859.1,1998.6,2079.6,2167,2145.9,2315.4,2382.8,2416.4,2375,2563.9,2637.3,2694.9,2861.6,2994.4,3164.5,3369.3,3568.9,3657.7,3837.1,3957,3930.9,4048.6,4283.6,4541.5,4485.8,4438.2,4673.6,4906,5180.7,5286.3,5249.3,5399.8,5310.1,5479.2,5938.6,6159.1,6323.2,6575.2,6913.8,7056.6,7134,7095.3,7308.3,7485.7,7837.7,8091,8415.9,8827.1,9269.3,9667.2,10098.3,10111.4,10177.3,10381.8,10783.6,11176.7,11591.6,11607.9,11504.1,11060
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
