"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"48","41","S1 Food services and drinking places","T060410",407285,424296,429274,436068,452209,468026,483577,501203,509597,500468,479542,489229,503620,518659,526374,545140
"49","42","S4   Full-service restaurants","T060420",177619,184474,187830,192816,198968,205327,211114,218921,222632,215124,205340,207082,216015,223700,226213,236962
"50","43","S4   Limited-service eating places","T060430",174161,180310,182468,184496,192536,200960,208341,213865,215618,214489,207456,214492,219392,223909,229623,235526
"51","44","S4   Special food Services","T060440",34696,38209,37895,37431,38636,40028,42482,45877,48870,48929,45716,46810,47539,50013,49886,51836
"52","45","S4   Drinking places (alcoholic beverages)","T060450",20809,21264,21040,21260,22035,21717,21661,22519,22416,21913,21029,20852,20674,21029,20649,20805
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  S1   Retail and food services except motor vehicle and parts dealers","T060460",2833337,2947470,3026941,3131491,3245419,3383820,3538433,3678358,3739944,3677133,3553786,3645169,3733055,3819711,3935899,4055664
"55","47","  S1   Retail trade except motor vehicle and parts dealers","T060470",2428595,2525916,2599546,2696438,2794287,2916597,3055160,3177340,3230535,3176811,3074244,3155930,3229477,3301166,3409631,3510559
"56","48","  S2   GAFO-Department store merchandise stores \1\","T060480",788765,842805,876908,924619,979018,1041600,1112571,1174236,1215095,1206342,1162228,1211413,1253176,1291787,1337446,1382652
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes Furniture and home furnishings stores (line 8), Electronics and appliance stores (line 11),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Clothing and accessories stores (line 19), General merchandise stores (line 23), Sporting goods, hobby,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","book, and music stores (line 29), and Office supplies, stationary, and gift stores (line 34) industries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
