"","Table 3#4U# Personal Current Tax Receipts","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114"
"11","3","  Income taxes","B231RC0",402645,400585,402529,409621,439507,448427,457067,467379,463172,472028,477004,476232,459568,461448,464132,469212,461343,470239,479431,498975,480339,505254,515625,529534,526741,555921,544221,553445,567680,594377,591549,607583,636390,673639,674219,689392,724327,739297,757034,778630,800573,820909,841613,861701,869970,885970,904390,930190,976845,987129,1011261,1024157,1051361,1049164,882020,1002674,848197,837181,825817,820065,803730,811446,716822,782082,773333,792461,816753,830117,902181,925277,949097,970613,1025029,1040509,1059917,1092781,1144159,1162383,1177935,1194371,1200297,1189601,1171597,1135581,918728,853504,840064,845672,901946,933558,956510,974474,1109256,1124668,1142696,1139772,1137753,1150177,1162668,1208345,1263424,1294387,1311009,1333627,1359275,1380221,1406490,1441710,1501024,1527235,1550794
"12","4","    Withheld","PTN0180",344088,343792,345988,352228,360904,367772,374760,383504,388720,396804,401532,401152,397956,399624,401264,404456,396296,402712,409584,427156,409924,432456,441512,454992,450576,464016,469572,479444,485340,494844,506528,518992,527080,543244,556508,568448,578004,588560,600296,614440,625168,638884,655564,674328,694312,709184,724072,743960,765484,768932,787440,796148,814708,813628,791736,782820,735860,735068,731732,731952,731684,743152,706296,719664,721192,740044,761804,771280,781900,796888,812652,824720,848448,855796,868032,896332,936296,948176,955928,964140,965088,954204,945352,927768,863468,818476,818616,831924,846544,878356,898064,910600,973011,982735,997871,993879,1033610,1042996,1048883,1084919,1062226,1081327,1087942,1101950,1121511,1135131,1154407,1181895,1190555,1210414,1229009
"13","5","    Declarations and settlements \2\","PTN1000",130885,129121,128869,129721,148803,150855,152507,154075,147908,148680,148928,148536,141788,142000,143044,144932,144835,147315,149635,151607,145999,148382,149697,150126,153277,169017,151761,151113,168272,185465,170953,174523,198650,219735,207051,210284,240119,244533,250534,257986,275425,282045,286069,287393,300838,301966,305498,311410,345465,352301,357925,362113,385501,384384,239132,368702,293869,283645,275617,269645,250934,247182,189414,241306,239045,239321,241853,245741,300709,308817,316873,326321,372973,381105,388277,392841,414623,420967,428767,436991,455269,657021,503345,434069,328640,308408,294828,287128,308282,308082,311326,316754,368493,374181,377073,378141,343028,346064,352669,362310,430314,442176,452183,460792,470432,477758,484751,492483,544121,550474,555437
"14","6","    Less: Refunds","PTN2000",72328,72328,72328,72328,70200,70200,70200,70200,73456,73456,73456,73456,80176,80176,80176,80176,79788,79788,79788,79788,75584,75584,75584,75584,77112,77112,77112,77112,85932,85932,85932,85932,89340,89340,89340,89340,93796,93796,93796,93796,100020,100020,100020,100020,125180,125180,125180,125180,134104,134104,134104,134104,148848,148848,148848,148848,181532,181532,181532,181532,178888,178888,178888,178888,186904,186904,186904,186904,180428,180428,180428,180428,196392,196392,196392,196392,206760,206760,206760,206760,220060,421624,277100,226256,273380,273380,273380,273380,252880,252880,252880,252880,232248,232248,232248,232248,238884,238884,238884,238884,229116,229116,229116,229116,232668,232668,232668,232668,233652,233652,233652
"15","7","  Other taxes","B035RC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","8","State and local","W071RC0",99411,97227,104140,107598,113385,118249,114509,112413,119335,122553,123722,124626,121197,124526,126101,129420,127470,136898,136698,140154,136451,138310,143566,145941,146892,141914,151151,152003,156833,152354,160645,162604,165285,165897,169346,174164,177782,176887,184075,189248,195535,201439,201602,206308,208140,209393,216433,223978,232121,243253,236676,234782,250753,259807,232012,229500,221328,212140,227312,226620,218620,207716,238352,242524,239620,235444,250788,263932,270312,272444,277508,285476,295636,308660,299004,306700,318456,325620,322180,327672,335488,355388,334236,309036,284100,279044,293692,294248,291428,282152,300716,316220,316172,318432,327964,333704,334652,342573,349033,360398,377640,386399,362168,362405,376768,373830,385556,397122,399054,411446,410203
"17","9","  Income taxes","B245RC0",88279,85800,92491,95826,101291,105833,102142,99814,106638,109512,110751,111475,107950,111221,112227,115482,112714,122258,121935,124601,121765,123948,128663,130524,131395,125763,135082,136724,140623,136122,144241,145962,148999,149633,152847,157825,160726,159572,166757,171613,177707,183227,183384,187762,189319,190540,197424,204845,212702,224026,217048,215640,231612,240092,212146,209494,201496,191528,206600,205688,197468,185996,215732,219596,216188,212024,226888,239476,245788,247824,252500,259932,269692,282352,272560,280004,291356,298548,295044,300556,309220,328936,307652,282268,256656,251216,265244,264904,261572,251660,269860,285504,285280,287368,296636,302212,302482,310259,316686,327697,344930,353452,329059,329459,343793,340425,351893,363489,365082,377805,376104
"18","10","  Motor vehicle licenses","S210300",7035,7285,7430,7454,7608,7839,7707,7858,7929,8197,8075,8215,8256,8174,8613,8505,9010,8969,8958,9675,8902,8564,8948,9294,9103,9563,9391,8619,9612,9642,9787,9943,9371,9258,9488,9095,9709,10044,9819,10116,10220,10461,10393,10586,10727,10655,10793,11017,11421,11396,11691,11124,10981,11354,11435,11530,11388,12136,12112,12076,12020,12348,13032,13232,13460,13428,13700,14120,13920,13796,14036,14332,14564,14724,14700,14740,14956,14864,15024,15116,14756,14948,14972,14932,15084,15136,15360,15984,16004,16316,16560,16404,16772,16840,17052,17204,17709,17755,17679,17909,17824,17982,18066,17848,17840,18141,18366,18296,18494,18332,18757
"19","11","  Property taxes","S210400",2427,2446,2489,2554,2662,2744,2811,2867,2898,2946,2995,3049,3087,3166,3263,3376,3569,3650,3692,3697,3572,3578,3626,3716,3936,4040,4113,4155,4090,4125,4183,4266,4430,4520,4580,4614,4577,4599,4627,4669,4712,4779,4869,4980,5112,5176,5162,5074,4911,4821,4804,4856,4982,5065,5107,5106,5060,5088,5184,5360,5600,5760,5832,5820,5716,5680,5716,5816,5988,6140,6276,6392,6496,6592,6688,6784,6872,6936,6972,6976,6956,6976,7036,7140,7284,7408,7496,7560,7564,7552,7512,7448,7388,7344,7328,7320,7279,7272,7298,7359,7453,7532,7597,7646,7680,7712,7743,7773,7830,7878,7919
"20","12","  Other taxes \3\","S210500",1670,1696,1730,1764,1824,1833,1849,1874,1870,1898,1901,1887,1904,1965,1998,2057,2177,2021,2113,2181,2212,2220,2329,2407,2458,2548,2565,2505,2508,2465,2434,2433,2485,2486,2431,2630,2770,2672,2872,2850,2896,2972,2956,2980,2982,3022,3054,3042,3087,3010,3133,3162,3178,3296,3324,3370,3384,3388,3416,3496,3532,3612,3756,3876,4256,4312,4484,4520,4616,4684,4696,4820,4884,4992,5056,5172,5272,5272,5140,5024,4556,4528,4576,4696,5076,5284,5592,5800,6288,6624,6784,6864,6732,6880,6948,6968,7182,7287,7369,7434,7433,7433,7446,7452,7455,7551,7553,7564,7648,7431,7423
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Excludes estate and gift taxes, which are classified in the NIPAs as capital transfers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Estimates of personal current tax receipts do not include deductions for federal refundable tax credits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","The amounts by which federal refundable tax credits reduce personal current tax liabilities are recorded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","in the NIPAs as social benefits to persons, not as reductions to personal current tax receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Consists largely of hunting, fishing, and other personal licenses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
