"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"22","14","Structures","A755RG3",15.066,15.339,15.479,15.763,15.896,16.415,16.356,16.611,16.983,17.334,17.649,17.95,18.233,18.383,18.679,19.158,19.465,19.922,20.506,20.955,21.563,22.42,23.427,24.282,24.923,25.289,25.486,25.812,25.956,26.48,26.811,27.195,27.869,28.452,29.182,29.866,30.572,31.415,32.179,32.99,33.757,34.849,35.967,36.834,37.67,38.544,39.495,40.636,41.941,43.012,43.938,45.035,45.873,46.463,46.746,46.727,46.423,46.244,46.308,46.452,46.625,47.006,47.354,47.661,47.962,48.087,48.372,48.772,49.169,49.558,50.017,50.485,50.817,51.162,51.577,52.019,52.602,53.066,53.486,54,54.381,55.019,55.348,55.727,56.2,56.55,56.951,57.141,57.408,57.641,57.834,57.499,57.389,57.781,58.108,58.695,59.266,59.788,60.231,60.632,61.232,61.596,62.304,63.146,63.918,64.322,64.792,65.249,65.485,65.766,66.492,66.874,67.332,67.826,68.453,69.149,69.629,70.156,70.816,71.459,72.072,72.774,73.349,74.006,75.063,75.858,76.561,77.337,78.325,79.244,80.385,80.98,81.248,81.877,82.348,83.398,84.858,84.954,85.468,86.729,88.495,90.465,92.75,94.789,96.403,98.403,101.324,103.87,105.814,107.712,108.896,110.869,112.287,112.605,113.252,114.181,114.701,115.413,116.532,117.671,116.969,114.508,112.514,112.584,112.827,112.868,113.313,114.227,115.037
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RG3",34.848,35.028,35.375,35.338,35.404,35.707,35.955,37.141,38.087,38.436,37.755,36.967,37.599,37.879,38.064,37.162,37.19,37.365,37.67,37.611,38.32,39.103,40.709,42.169,42.07,43.351,44.117,44.905,45.943,46.439,47.212,48.477,48.844,49.415,49.958,51.531,52.338,52.852,53.712,54.465,55.69,57.305,57.849,58.688,60.405,61.732,62.74,63.385,64.16,66.424,67.781,68.045,68.301,69.289,70.483,70.343,71.197,71.745,72.627,73.119,73.851,74.297,75.038,74.999,75.774,76.355,76.957,77.08,76.709,77.623,78.55,79.384,79.453,80.208,81.523,81.45,80.042,80.117,81.682,82.058,82.914,83.788,84.038,84.561,84.853,84.91,85.007,85.431,86.975,87.509,88.283,88.694,88.877,89.895,90.22,90.681,91.907,92.909,94.148,94.951,96.159,97.314,98.651,99.003,99.695,100.232,100.289,100.854,101.894,102.391,102.942,103.453,103.903,103.691,103.822,103.526,102.564,101.84,102.353,102.517,102.737,102.738,102.722,102.876,102.528,103.008,102.727,102.443,101.848,101.599,101.784,101.584,101.265,101.012,100.567,101.045,99.476,98.269,98.417,98.656,98.828,99.417,98.363,99.352,100.347,100.672,99.038,99.943,100.343,99.883,99.425,99.098,98.984,99.21,99.226,98.736,97.683,96.962,96.517,94.761,95.555,97.725,98.58,100.074,99.918,100.265,100.309,100.408,101.089
"25","16","  Gross domestic product excluding motor vehicle output","A962RG3",22.253,22.559,22.89,23.192,23.525,23.867,24.055,24.342,24.697,25.031,25.311,25.546,25.965,26.114,26.358,26.711,27.076,27.544,28.084,28.588,29.18,29.836,30.752,31.695,32.455,32.911,33.526,34.118,34.485,34.847,35.309,35.898,36.517,37.108,37.626,38.236,38.869,39.636,40.324,41.159,41.905,42.916,43.824,44.701,45.669,46.69,47.764,49.138,50.452,51.324,52.263,53.199,53.964,54.63,55.384,55.993,56.466,56.878,57.454,57.87,58.594,59.129,59.608,59.976,60.665,60.97,61.251,61.639,61.979,62.269,62.647,63.09,63.605,63.953,64.434,64.918,65.508,66.163,66.927,67.476,68.181,68.859,69.336,69.773,70.644,71.493,72.178,72.78,73.541,74.057,74.614,75.039,75.472,75.908,76.248,76.682,77.134,77.538,77.879,78.274,78.684,79.041,79.46,79.885,80.36,80.716,81.069,81.483,81.909,82.207,82.613,82.989,83.413,83.806,84.046,84.387,84.55,84.791,85.103,85.331,85.7,86.076,86.39,86.753,87.452,87.898,88.447,88.922,89.578,90.232,90.523,90.791,91.136,91.562,92,92.549,93.298,93.627,94.164,94.683,95.515,96.34,97.104,97.813,98.719,99.401,100.52,101.36,102.131,103.085,103.908,104.409,105.577,106.419,106.957,107.212,107.776,108.661,109.896,109.59,109.886,109.935,110.123,110.02,110.297,110.828,111.417,111.522,112.042
"26","17","  Final sales of computers \3\","BB01RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16533.544,15127.625,14055.866,13274.051,13210.134,12859.518,12174.26,11377.93,10781.163,10009.468,9344.643,8930.999,8904.729,8876.953,8693.252,8351.712,8137.658,7980.712,7782.412,7666.179,7069.618,6623.135,6204.281,5934.518,5596.971,5335.122,5090.685,4914.563,4695.581,4488.368,4316.164,4115.777,3840.258,3724.217,3766.554,3723.464,3435.697,3258.313,3135.905,3144.538,3106.467,3002.661,2956.156,2923.414,2924.168,2801.742,2757.001,2636.875,2474.65,2429.206,2428.539,2378.387,2322.94,2248.79,2093.282,2028.031,1978.508,1855.677,1737.975,1661.468,1586.687,1509.79,1440.599,1380.787,1348.661,1324.296,1287.964,1205.973,1131.373,1078.382,991.189,918.041,835.764,758.941,706.512,649.638,590.142,551.69,514.13,486.77,442.28,406.28,359.489,332.061,304.928,290.742,275.366,261.069,248.057,237.631,228.184,221.809,199.821,191.461,181.494,172.493,162.705,156.029,148.472,141.176,135.897,131.329,126.23,124.787,122.714,122.503,119.093,113.279,107.457,102.137,97.628,92.778,89.666,85.204,81.548,78.689,76.537,73.359,69.17,66.076,63.927,60.645,58.936,56.832,54.817,52.638,49.853,49.454,48.465,47.656,46.585,45.959,44.357
"27","18","  Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.106,37.843,38.518,39.32,40.047,41.033,41.901,42.755,43.715,44.722,45.774,47.092,48.341,49.213,50.134,51.034,51.771,52.427,53.173,53.749,54.253,54.687,55.288,55.718,56.452,56.996,57.498,57.864,58.563,58.897,59.204,59.602,59.952,60.274,60.652,61.103,61.639,62.023,62.542,62.993,63.514,64.156,64.935,65.472,66.163,66.86,67.329,67.788,68.662,69.479,70.13,70.727,71.506,72.031,72.627,73.063,73.497,73.98,74.356,74.812,75.307,75.752,76.142,76.568,77.01,77.397,77.855,78.315,78.834,79.227,79.634,80.112,80.632,81.019,81.49,81.945,82.458,82.897,83.203,83.576,83.794,84.086,84.522,84.823,85.269,85.681,86.04,86.448,87.162,87.652,88.215,88.694,89.415,90.083,90.417,90.713,91.086,91.525,91.972,92.558,93.261,93.565,94.119,94.64,95.466,96.288,97.016,97.77,98.719,99.426,100.487,101.367,102.154,103.103,103.92,104.422,105.578,106.433,106.996,107.259,107.801,108.686,109.911,109.598,109.936,110.054,110.293,110.23,110.512,111.054,111.65,111.767,112.323
"28","19","  Implicit price deflator for final sales of domestic product","A190RD3",22.488,22.79,23.123,23.413,23.739,24.082,24.272,24.579,24.948,25.281,25.535,25.741,26.165,26.315,26.553,26.864,27.222,27.676,28.207,28.702,29.293,29.943,30.867,31.826,32.55,33.026,33.639,34.24,34.633,35,35.47,36.08,36.693,37.277,37.806,38.451,39.081,39.835,40.522,41.347,42.113,43.143,44.034,44.905,45.889,46.911,47.989,49.342,50.581,51.485,52.438,53.369,54.136,54.814,55.574,56.166,56.635,57.052,57.64,58.048,58.767,59.294,59.788,60.157,60.861,61.182,61.48,61.858,62.178,62.5,62.901,63.349,63.896,64.254,64.763,65.239,65.777,66.416,67.218,67.754,68.463,69.15,69.619,70.062,70.918,71.752,72.42,73.033,73.807,74.329,74.881,75.305,75.738,76.19,76.53,76.967,77.449,77.869,78.236,78.646,79.077,79.464,79.92,80.34,80.819,81.182,81.531,81.961,82.417,82.724,83.129,83.513,83.956,84.336,84.582,84.908,85.054,85.273,85.599,85.826,86.194,86.564,86.872,87.231,87.902,88.356,88.88,89.336,89.949,90.581,90.869,91.119,91.438,91.845,92.26,92.807,93.486,93.762,94.285,94.797,95.608,96.425,97.13,97.847,98.758,99.434,100.469,101.312,102.071,102.982,103.764,104.233,105.366,106.194,106.715,106.94,107.462,108.315,109.545,109.127,109.468,109.579,109.808,109.734,110.018,110.55,111.116,111.169,111.692
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
