"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"33","26","    Nonresidential","B008RG3",14.967,14.265,13.281,12.022,11.817,12.229,12.355,12.336,13.369,13.474,13.33,13.637,14.534,16.066,16.584,16.918,17.35,19.192,22.326,24.249,24.811,25.319,27.749,28.377,28.632,28.907,29.3,31.608,33.223,33.386,33.824,33.978,33.783,33.788,33.784,33.955,34.342,34.854,35.741,36.999,38.527
"34","27","      Structures","B009RG3",4.65,4.402,4.027,3.495,3.531,3.543,3.708,3.702,4.206,4.126,4.081,4.147,4.438,4.951,5.381,5.5,5.744,6.433,7.798,8.675,8.645,8.753,9.761,10.021,10.217,10.093,10.295,11.176,11.655,11.468,11.53,11.516,11.446,11.537,11.636,11.801,12.143,12.58,12.973,13.621,14.518
"35","28","      Equipment and software","B010RG3",24.423,23.444,22.221,20.959,20.136,21.272,21.084,21.051,22.256,22.792,22.551,23.155,24.628,27.086,27.228,27.751,28.219,30.891,34.996,37.519,38.967,39.944,43.338,44.215,44.321,45.385,45.815,49.219,52.009,53.025,53.998,54.445,54.146,53.878,53.581,53.558,53.607,53.749,54.94,56.416,57.985
"36","29","        Information processing equipment and software","B679RG3",201.271,187.113,174.299,168.535,156.509,168.759,167.882,168.332,169.604,169.286,167.998,170.198,175.579,183.681,181.105,178.693,179.452,223.505,254.565,260.124,261.978,267.625,283.623,278.589,277.626,280.352,283.597,291.649,305.778,309.317,312.09,310.384,306.116,298.87,288.242,283.871,276.444,262.656,259.012,257.158,259.297
"37","30","          Computers and peripheral equipment","B935RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496986.194,390212.067,288275.275,204487.975,134306.512,112349.361,92834.959,65070.732,52869.906,45116.45,40849.551
"38","31","          Software \1\","B985RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.855,149.653,146.999,141.353,135.995,137.107,133.618,129.357,127.722,127.897,129.05
"39","32","          Other","B937RG3",36.225,33.677,31.371,30.333,28.169,30.374,30.216,30.297,30.526,30.469,30.237,30.633,31.601,33.06,32.596,32.162,32.298,40.227,45.817,46.818,47.152,48.168,51.047,50.141,49.968,50.459,51.043,52.492,55.035,55.672,56.208,56.279,56.311,56.124,56.446,56.829,56.886,57.549,59.294,60.845,62.881
"40","33","        Industrial equipment","B680RG3",7.168,6.739,6.264,5.837,5.833,6.593,6.66,6.675,7.36,7.455,7.442,7.778,8.196,8.45,8.433,8.511,8.57,9.231,10.002,10.838,11.359,11.825,13.336,13.42,13.801,14.056,14.57,16.092,17.296,17.705,18.107,18.469,18.316,18.315,18.373,18.537,18.814,19.312,20.152,20.998,21.708
"41","34","        Transportation equipment","B681RG3",10.542,10.067,9.612,9.114,8.35,8.623,8.529,8.558,8.857,9.334,9.259,9.483,10.319,12.479,12.745,13.583,14.21,14.974,17.362,18.602,19.463,19.809,21.066,22.325,21.487,22.435,21.995,24.146,25.231,25.596,26.132,26.091,26.034,25.754,25.634,25.409,25.341,25.315,25.726,26.438,27.241
"42","35","        Other equipment","B862RG3",9.173,9.171,8.829,8.258,8.272,8.362,8.146,8.027,8.597,8.684,8.484,8.645,9.111,9.718,9.812,9.933,10.067,10.887,12.612,13.63,14.082,14.396,15.565,15.686,16.008,16.247,16.408,16.978,17.83,18.252,18.535,18.796,18.803,19.001,19.134,19.307,19.484,19.928,20.6,21.368,22.127
"43","36","    Residential","B011RG3",5.275,5.161,4.672,3.808,3.756,4.169,4.109,4.31,4.728,4.877,4.91,5.057,5.524,5.935,6.424,7.048,7.524,8.169,9.784,10.606,10.747,11.012,11.801,12.125,12.212,12.261,12.516,12.835,12.868,12.836,12.875,12.962,12.983,13.003,12.901,13.003,13.372,13.857,14.339,15.1,16.144
"44","37","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","38","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","39","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","Government consumption expenditures and gross investment","B822RG3",6.389,6.192,5.88,5.352,5.511,5.929,5.979,6.159,6.29,6.303,6.201,6.129,6.507,6.539,6.645,6.559,6.633,8.213,8.875,9.218,9.482,9.488,10.118,10.321,10.429,10.65,11.093,11.716,12.234,12.602,12.653,12.809,13.065,13.398,13.69,14.07,14.444,15.044,15.671,16.52,17.517
"48","41","  Federal","B823RG3",6.924,6.617,6.566,6.253,6.321,6.755,6.834,7.463,7.584,7.713,7.568,7.27,7.651,7.506,7.577,7.444,7.512,9.584,10.168,10.074,10.503,10.442,10.898,11.005,11.08,11.337,11.947,12.562,13.125,13.663,13.564,13.677,13.908,14.202,14.506,14.995,15.379,15.914,16.386,17.287,18.226
"49","42","    National defense","B824RG3",7.046,6.803,6.716,6.577,6.428,6.773,6.974,7.133,7.37,7.4,7.345,6.984,7.457,7.297,7.371,7.251,7.298,9.36,10.037,9.986,10.322,10.313,10.737,10.779,10.825,11.114,11.732,12.397,12.957,13.45,13.34,13.44,13.633,13.897,14.209,14.62,15.024,15.535,15.994,16.834,17.757
"50","43","      Consumption expenditures","B977RG3",5.885,5.696,5.663,5.585,5.449,5.698,5.867,6.009,6.093,6.127,6.087,5.637,5.888,5.713,5.778,5.903,6.187,8.159,8.706,8.614,8.918,8.877,9.151,9.152,9.279,9.579,10.187,10.681,11.138,11.631,11.462,11.577,11.753,12.004,12.323,12.771,13.193,13.696,14.133,14.942,15.764
"51","44","      Gross investment","B788RG3",15.934,14.682,13.316,12.028,11.999,13.373,13.775,13.973,15.392,15.377,15.216,15.544,17.143,16.92,17.044,15.872,14.68,16.4,19.05,20.208,20.686,21.174,23.092,23.463,22.922,23.167,23.858,25.938,27.354,27.72,28.154,28.143,28.471,28.844,29.084,29.067,29.15,29.545,30.056,30.842,32.506
"52","45","    Nondefense","B825RG3",6.975,6.591,6.576,6.089,6.321,6.802,6.834,7.635,7.719,7.883,7.707,7.428,7.654,7.875,7.666,7.185,8.018,9.788,10.052,9.815,10.475,10.262,10.807,11.375,11.671,11.679,12.181,12.421,12.942,13.739,13.775,13.946,14.359,14.783,15.037,15.798,16.104,16.708,17.215,18.327,19.284
"53","46","      Consumption expenditures","B542RG3",5.533,5.209,5.339,5.144,5.214,5.53,5.493,6.353,6.398,6.58,6.415,6.098,6.171,6.234,6.216,5.564,6.667,8.538,8.718,8.36,9.015,8.832,9.239,9.719,10.018,10.077,10.582,10.738,11.147,12.002,11.981,12.133,12.57,12.958,13.164,13.858,14.301,14.9,15.294,16.339,17.217
"54","47","      Gross investment","B798RG3",19.607,18.801,17.288,14.661,15.888,17.576,17.948,18.708,19.154,19.096,18.881,19.303,20.744,22.016,20.288,22.063,20.279,20.417,20.922,22.192,22.601,22.028,23.665,24.961,25.175,24.496,24.383,25.71,27.285,27.214,27.962,28.277,28.407,29.092,29.733,31.03,30.372,31.09,32.455,34.034,35.549
"55","48","  State and local","B829RG3",4.809,4.675,4.395,3.956,4.096,4.42,4.451,4.432,4.541,4.505,4.441,4.48,4.781,5.284,5.675,5.895,6.09,6.654,7.466,8.346,8.418,8.494,9.365,9.768,9.958,10.123,10.32,10.981,11.456,11.608,11.851,12.066,12.357,12.743,13.028,13.293,13.662,14.334,15.137,15.945,17.013
"56","49","      Consumption expenditures","B991RG3",4.13,4.087,3.94,3.699,3.718,3.924,4.005,3.851,3.952,3.917,3.885,3.94,4.143,4.507,4.844,5.061,5.248,5.735,6.376,7.131,7.256,7.445,8.07,8.476,8.735,9.056,9.292,9.751,10.2,10.485,10.812,11.158,11.528,11.952,12.258,12.554,12.915,13.602,14.505,15.321,16.346
"57","50","      Gross investment","B799RG3",7.401,6.961,6.238,5.071,5.792,6.742,6.487,7.015,7.167,7.122,6.949,6.938,7.679,8.965,9.578,9.391,9.331,10.207,11.947,13.336,13.122,12.691,14.579,14.967,14.878,14.478,14.555,15.953,16.546,16.27,16.259,16.046,16.084,16.375,16.611,16.795,17.222,17.905,18.462,19.31,20.612
"58",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","51","  Final sales of computers to domestic purchasers \2\","W489RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","53","  Food \3\","B981RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","54","  Energy goods and services","B982RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","55","  Gross domestic purchases excluding food and energy","B983RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","56","  Gross domestic product","B191RG3",10.584,10.175,9.165,8.122,7.909,8.296,8.461,8.554,8.868,8.701,8.591,8.666,9.231,9.991,10.553,10.806,11.082,12.358,13.731,14.51,14.502,14.615,15.622,15.962,16.164,16.328,16.562,17.133,17.733,18.142,18.348,18.604,18.814,19.071,19.273,19.572,19.928,20.493,21.124,22.022,23.11
"65","57","      Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","58","      Food \3\","BB10RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","59","      Energy goods and services","BB11RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","60","      Gross domestic product excluding food and energy","BB03RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","61","  Final sales of domestic product","B190RG3",10.345,9.949,8.971,7.969,7.779,8.179,8.349,8.44,8.753,8.627,8.52,8.592,9.152,9.898,10.455,10.707,10.983,12.249,13.575,14.349,14.36,14.474,15.456,15.808,16.025,16.188,16.424,16.988,17.586,17.993,18.198,18.455,18.663,18.92,19.125,19.424,19.781,20.346,20.978,21.88,22.968
"70","62","  Final sales to domestic purchasers","B713RG3",10.118,9.703,8.761,7.761,7.566,7.947,8.109,8.21,8.53,8.398,8.312,8.371,8.902,9.609,10.147,10.379,10.657,11.964,13.248,14.021,14.056,14.22,15.224,15.543,15.729,15.907,16.13,16.672,17.239,17.617,17.823,18.071,18.263,18.505,18.724,19.028,19.361,19.907,20.492,21.367,22.421
"71","63","  Implicit price deflator for gross domestic purchases","A712RD3",10.375,9.968,8.95,7.881,7.659,8.072,8.233,8.334,8.71,8.447,8.383,8.47,9.026,9.715,10.239,10.47,10.757,12.114,13.416,14.185,14.182,14.389,15.465,15.702,15.864,16.026,16.291,16.839,17.379,17.747,17.964,18.212,18.404,18.646,18.863,19.167,19.499,20.046,20.628,21.5,22.553
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
