"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"22","14","Structures","A755RA3",52.308,52.07,52.241,49.731,49.39,47.835,49.397,50.825,51.686,53.798,54.661,55.639,57.53,57.544,57.558,59.2,60.873,59.574,58.841,57.513,55.601,54.88,52.557,49.206,47.961,46.625,48.35,50.002,53.114,52.468,51.493,53.926,55.066,58.967,58.718,58.19,58.066,63.261,65.477,66.319,64.095,64.653,65.861,65.743,64.368,58.271,58.103,60.713,60.975,60.044,58.389,58.797,56.293,54.662,53.023,53.884,55.519,56.64,59.962,61.499,64.045,66.235,67.219,67.68,68.908,69.791,69.772,70.525,71.678,70.782,70.556,70.135,70.039,70.49,71.525,72.338,70.232,71.517,70.875,71.268,71.121,69.99,70.631,70.191,71.769,70.152,68.381,66.03,63.677,63.753,63.452,64.088,65.77,66.255,65.764,66.972,66.459,67.32,68.588,70.635,69.711,72.362,72.548,72.44,72.296,71.826,72.769,73.243,74.537,77.133,77.814,79.488,80.311,80.177,80.929,80.666,80.886,84.286,86.457,87.261,87.666,87.55,87.977,89.518,90.815,91.119,91.612,91.806,91.482,93.619,92.397,90.428,90.399,89.761,89.048,89.647,89.728,91.358,94.373,95.252,95.389,97.778,97.981,97.753,99.081,100.218,100.141,100.56,100.775,100.145,97.601,94.939,93.613,94.332,93.215,90.573,87.646,87.606,85.474,81.616,74.141,71.513,71.502,68.472,65.703,67.38,66.01,66.207,63.441
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RA3",31.5,28.836,31.611,29.094,25.489,28.08,26.71,17.572,32.239,30.33,30.947,32.423,34.667,34.609,32.049,38.761,43.361,40.519,39.281,37.869,34.277,33.092,36.992,33.274,27.081,29.676,34.183,33.705,38.702,40.45,39.455,40.738,45.668,44.92,45.743,45.571,43.683,48.166,46.702,49.6,50.52,44.386,40.98,38.132,35.677,28.83,30.857,36.668,36.089,37.557,35.801,32.535,30.563,35.076,35.382,31.294,36.213,38.574,44.923,50.465,51.559,49.085,49.818,55.473,53.597,55.836,59.341,57.722,55.227,56.569,57.903,56.442,56.244,55.41,54.993,57.11,56.078,60.449,57.622,61.23,64.032,60.142,58.585,56.734,55.512,56.347,56.557,49.217,44.943,48.644,52.121,49.566,50.501,54.22,55.008,58.418,58.095,58.999,57.236,63.283,67.431,64.753,66.294,68.283,67.289,65.51,64.769,68.91,62.272,70.459,70.726,67.734,70.474,70.147,74.887,78.363,76.917,76.8,77.133,87.22,84.931,85.476,88.201,89.969,91.325,87.847,83.589,80.672,77.343,83.19,81.915,85.767,89.684,91.027,94.165,91.082,88.607,93.309,93.466,94.444,95.186,93.716,98.085,97.783,98.115,99.667,105.077,97.14,100.471,98.498,99.465,96.827,99.215,100.286,99.782,95.909,93.834,84.226,79.483,63.992,53.525,53.253,66.657,68.836,75.184,74.677,78.963,76.572,88.908
"25","16","  Gross domestic product excluding motor vehicle output","A962RA3",33.653,33.898,33.975,33.939,34.07,34.001,34.389,34.487,34.696,35.007,35.268,35.295,35.841,36.733,37.228,37.542,38.333,38.935,38.775,39.226,39.029,39.186,38.608,38.618,38.409,38.594,39.064,39.615,40.324,40.56,40.814,41.065,41.337,42.235,42.989,42.988,43.228,44.802,45.329,45.825,45.864,46.189,46.691,46.952,47.219,46.527,46.347,46.97,48.006,47.545,48.221,47.745,47.024,47.088,46.887,47.102,47.492,48.493,49.207,50.025,50.99,52.016,52.511,52.712,53.312,53.687,54.412,54.915,55.573,55.748,56.252,56.599,56.935,57.601,58.14,59.083,59.445,60.056,60.497,61.186,61.668,62.312,62.89,63.109,63.843,64.071,64.062,63.777,63.632,63.925,64.062,64.425,65.116,65.679,66.347,66.93,67.071,67.478,67.919,68.596,69.116,70.212,70.617,71.348,71.572,71.808,72.466,72.815,73.617,74.586,75.249,76.231,76.723,77.918,78.733,79.215,80.055,80.808,81.903,82.96,83.825,84.485,85.493,87.022,87.206,89.119,89.366,90.029,89.849,90.23,90.022,90.203,90.858,91.308,91.663,91.798,92.274,92.865,94.471,95.316,95.985,96.743,97.325,98.21,99.212,99.596,100.194,100.999,102.255,102.702,102.698,103.558,103.715,104.537,105.16,106.059,105.926,106.386,105.428,104.02,103.023,102.85,102.857,104.082,104.862,105.335,105.884,106.791,106.885
"26","17","  Final sales of computers \3\","BB01RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074,0.093,0.11,0.127,0.138,0.146,0.166,0.192,0.207,0.241,0.287,0.311,0.338,0.345,0.377,0.436,0.461,0.439,0.45,0.461,0.548,0.626,0.717,0.758,0.85,0.959,1.1,1.22,1.227,1.333,1.283,1.385,1.474,1.564,1.51,1.59,1.738,1.846,1.98,2.012,2.125,2.24,2.325,2.431,2.345,2.628,2.659,2.639,2.763,2.693,2.67,2.791,2.795,2.903,3.124,3.432,3.439,3.8,4.048,4.182,4.531,4.564,4.969,5.214,5.51,5.633,5.939,6.582,7.645,8.596,9.49,11.087,12.615,13.745,15.218,16.594,18.872,21.203,23.988,24.894,27.215,29.951,33.416,36.628,40.894,45.086,48.343,47.857,53.674,59.24,60.952,64.038,69.825,67.357,64.18,67.344,66.744,66.835,70.697,72.742,74.733,74.631,84.747,88.063,82.642,82.449,83.604,89.258,90.925,97.706,101.725,109.645,117.805,123.074,126.754,133.311,134.013,137.926,154.133,166.826,174.447,188.38,190.921,196.412,200.153,194.671,192.68,200.528,209.533,212.272,240.628,275.883,288.492
"27","18","  Gross domestic product excluding final sales of computers","BB00RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.902,47.661,48.086,48.687,48.748,48.777,49.092,49.179,49.312,48.243,48.089,48.956,49.948,49.539,50.11,49.418,48.578,48.865,48.664,48.692,49.226,50.277,51.208,52.246,53.207,54.067,54.516,54.9,55.424,55.847,56.754,57.143,57.659,57.856,58.44,58.694,58.968,59.564,60.043,61.071,61.355,62.116,62.416,63.228,63.852,64.257,64.765,64.913,65.57,65.849,65.853,65.244,64.923,65.342,65.577,65.781,66.508,67.161,67.822,68.522,68.601,69.039,69.356,70.251,70.907,71.871,72.304,73.047,73.124,73.197,73.744,74.142,74.552,75.784,76.365,77.132,77.618,78.675,79.557,80.137,80.817,81.462,82.446,83.804,84.457,85.031,86.055,87.626,87.747,89.379,89.427,89.915,89.534,90.164,89.956,90.237,91.023,91.506,91.925,91.922,92.278,93.02,94.502,95.331,96.053,96.742,97.448,98.256,99.229,99.608,100.344,100.818,102.104,102.445,102.453,103.173,103.397,104.211,104.733,105.436,105.214,105.321,104.238,102.397,101.11,100.948,101.357,102.589,103.513,103.949,104.536,105.253,105.682
"28","19","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.57,45.914,46.344,46.832,46.881,46.923,47.019,46.96,46.985,45.536,45.068,46.161,47.209,46.803,47.387,46.847,46.111,46.293,46.485,46.529,47.066,48.371,49.547,50.684,51.904,52.847,53.342,53.793,54.183,54.862,55.722,56.179,56.541,56.918,57.54,57.683,57.894,58.448,58.835,59.793,59.788,60.298,60.64,61.467,61.887,62.081,62.486,62.642,63.254,63.43,63.38,62.555,62.128,62.417,62.667,62.863,63.473,64.196,64.77,65.566,65.758,66.214,66.623,67.555,68.275,69.232,69.59,70.347,70.481,70.504,70.712,71.071,71.659,72.876,73.644,74.054,74.735,75.706,76.676,77.429,78.335,79.26,80.379,81.649,82.554,83.299,84.443,85.981,86.451,88.093,88.32,88.865,88.471,88.998,88.964,89.301,90.123,90.754,91.284,91.595,91.843,92.734,94.08,94.908,95.683,96.695,97.477,98.382,99.226,99.546,100.308,100.92,102.018,102.329,102.478,102.704,102.878,103.66,103.943,103.778,103.311,103.134,102.309,100.297,98.416,97.865,98.532,99.162,100.109,101.309,102.344,102.245,102.691
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
